context: So that happened, huh? response:	To think that that's how I'd reunite with Kazuhiko.
context: It reminds me of when we first came to this world.\At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu? response:	What?
context: At first, there was so much confusion,\and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What? response:	Hey, are you going to ignore that?
context: and then everyone just sat around, unable to do anything.\Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that? response:	She just said pan
context: Wait a second, it's only a coincidence.\Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that?\She just said pan response:	Ow...
context: Look, there are happy people like that, too!\You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that?\She just said pan\Ow... response:	What's with them?
context: You're overthinking it. Really!\You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that?\She just said pan\Ow...\What's with them? response:	I'm overthinking it, huh?
context: You may look like you only think about panties,\but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that?\She just said pan\Ow...\What's with them?\I'm overthinking it, huh? response:	I hope so.
context: but you're actually really delicate, aren't you, Naotsugu?\What?\Hey, are you going to ignore that?\She just said pan\Ow...\What's with them?\I'm overthinking it, huh?\I hope so. response:	But if the same sense of apathy is overcoming Akihabara...
context: What?\Hey, are you going to ignore that?\She just said pan\Ow...\What's with them?\I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara... response:	It might be worse than last time.
context: Hey, are you going to ignore that?\She just said pan\Ow...\What's with them?\I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time. response:	Eat Grass
context: She just said pan\Ow...\What's with them?\I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass response:	This world tried to do something to me that I didn't want, regardless of my feelings.
context: Ow...\What's with them?\I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings. response:	So I'm going to do what I want to it.
context: What's with them?\I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it. response:	So Londark was talking like that...
context: I'm overthinking it, huh?\I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that... response:	There are more and more adventurers who can't adapt to this world
context: I hope so.\But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world response:	and are getting angry.
context: But if the same sense of apathy is overcoming Akihabara...\It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry. response:	But there are people who can't adapt to this society.
context: It might be worse than last time.\Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society. response:	Are we just going to abandon them?
context: Eat Grass\This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them? response:	And adventurers like that are working with People of the Land who want to start wars.
context: This world tried to do something to me that I didn't want, regardless of my feelings.\So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars. response:	Sometimes, adventurers even encourage them to do so.
context: So I'm going to do what I want to it.\So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so. response:	A war, huh?
context: So Londark was talking like that...\There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh? response:	I didn't think it would happen.
context: There are more and more adventurers who can't adapt to this world\and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen. response:	Not between adventurers, at least.
context: and are getting angry.\But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen.\Not between adventurers, at least. response:	But if the People of the Land get involved, things change.
context: But there are people who can't adapt to this society.\Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change. response:	War has always been a part of their lives.
context: Are we just going to abandon them?\And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives. response:	Unlike us, who were born in peaceful Japan.
context: And adventurers like that are working with People of the Land who want to start wars.\Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan. response:	And once one starts, will we be able to continue to stay out of it?
context: Sometimes, adventurers even encourage them to do so.\A war, huh?\I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it? response:	Oh, damn it!
context: A war, huh?\I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it! response:	If this were a quest, there'd be no problem.
context: I didn't think it would happen.\Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem. response:	Even if it were a fight, I can handle monsters.
context: Not between adventurers, at least.\But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters. response:	But...
context: But if the People of the Land get involved, things change.\War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But... response:	If a war starts between
context: War has always been a part of their lives.\Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But...\If a war starts between response:	People of the Land and adventurers, or among adventurers themselves,
context: Unlike us, who were born in peaceful Japan.\And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves, response:	what can the current Round Table do?
context: And once one starts, will we be able to continue to stay out of it?\Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do? response:	It hurts not having Crusty here.
context: Oh, damn it!\If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here. response:	I hope something comes of what I asked of Isaac...
context: If this were a quest, there'd be no problem.\Even if it were a fight, I can handle monsters.\But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac... response:	Hey!
context: Even if it were a fight, I can handle monsters.\But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey! response:	Make them run faster!
context: But...\If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey!\Make them run faster! response:	They're pathetic, giving up so easily.
context: If a war starts between\People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey!\Make them run faster!\They're pathetic, giving up so easily. response:	It can't be helped.
context: People of the Land and adventurers, or among adventurers themselves,\what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey!\Make them run faster!\They're pathetic, giving up so easily.\It can't be helped. response:	People of the Land don't have that much stamina.
context: what can the current Round Table do?\It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey!\Make them run faster!\They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina. response:	The villain gave me the most boring jo
context: It hurts not having Crusty here.\I hope something comes of what I asked of Isaac...\Hey!\Make them run faster!\They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo response:	H-Hey...
context: I hope something comes of what I asked of Isaac...\Hey!\Make them run faster!\They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey... response:	Work harder!
context: Hey!\Make them run faster!\They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey...\Work harder! response:	Isaac?
context: Make them run faster!\They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey...\Work harder!\Isaac? response:	Sir Isaac!
context: They're pathetic, giving up so easily.\It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey...\Work harder!\Isaac?\Sir Isaac! response:	Sir Isaac...
context: It can't be helped.\People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey...\Work harder!\Isaac?\Sir Isaac!\Sir Isaac... response:	But why was Sara kidnapped?
context: People of the Land don't have that much stamina.\The villain gave me the most boring jo\H-Hey...\Work harder!\Isaac?\Sir Isaac!\Sir Isaac...\But why was Sara kidnapped? response:	Hatred, I guess. The unjustified kind.
context: The villain gave me the most boring jo\H-Hey...\Work harder!\Isaac?\Sir Isaac!\Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind. response:	Hatred?
context: H-Hey...\Work harder!\Isaac?\Sir Isaac!\Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred? response:	That Camus guy is no good.
context: Work harder!\Isaac?\Sir Isaac!\Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good. response:	Supposedly, he's a People of the Land merchant.
context: Isaac?\Sir Isaac!\Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant. response:	But he keeps hitting on every girl he sees.
context: Sir Isaac!\Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees. response:	My, he hasn't hit on me.
context: Sir Isaac...\But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me. response:	Anyway, he came after us, too.
context: But why was Sara kidnapped?\Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too. response:	Would you please become my beautiful bride?
context: Hatred, I guess. The unjustified kind.\Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride? response:	He was creepy, so we ran away.
context: Hatred?\That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away. response:	But I guess another girl from our guild rejected him before,
context: That Camus guy is no good.\Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before, response:	and he's holding a grudge.
context: Supposedly, he's a People of the Land merchant.\But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge. response:	There he is!
context: But he keeps hitting on every girl he sees.\My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is! response:	Isn't Sara acting weird?
context: My, he hasn't hit on me.\Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is!\Isn't Sara acting weird? response:	She looks more like she's been seduced than kidnapped.
context: Anyway, he came after us, too.\Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped. response:	No way.
context: Would you please become my beautiful bride?\He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way. response:	Either way, he's no good!
context: He was creepy, so we ran away.\But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good! response:	Kurinon...
context: But I guess another girl from our guild rejected him before,\and he's holding a grudge.\There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good!\Kurinon... response:	Bastard! What have you done to Sara?!
context: and he's holding a grudge.\There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?! response:	Would you please become my beautiful...
context: There he is!\Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful... response:	Heck, no!
context: Isn't Sara acting weird?\She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no! response:	Camus/Traveling Merchant
context: She looks more like she's been seduced than kidnapped.\No way.\Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant response:	Sara/Maid
context: No way.\Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant\Sara/Maid response:	Kurinon/Priest, Lv. 91
context: Either way, he's no good!\Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91 response:	Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party
context: Kurinon...\Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party response:	The genius...
context: Bastard! What have you done to Sara?!\Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius... response:	Gotcha.
context: Would you please become my beautiful...\Heck, no!\Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha. response:	Sara!
context: Heck, no!\Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha.\Sara! response:	It's okay, she's just knocked out.
context: Camus/Traveling Merchant\Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha.\Sara!\It's okay, she's just knocked out. response:	Fate must have brought us together.
context: Sara/Maid\Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha.\Sara!\It's okay, she's just knocked out.\Fate must have brought us together. response:	You want to get hit again, huh?!
context: Kurinon/Priest, Lv. 91\Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha.\Sara!\It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?! response:	Would you please become my beautiful bride?
context: Genius of Marriage Camaysar/Genius, Lv. 83 Rank/Party\The genius...\Gotcha.\Sara!\It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride? response:	I will...
context: The genius...\Gotcha.\Sara!\It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride?\I will... response:	No way! Not Kurinon!
context: Gotcha.\Sara!\It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride?\I will...\No way! Not Kurinon! response:	Be careful!
context: Sara!\It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride?\I will...\No way! Not Kurinon!\Be careful! response:	It looks like he's using some kind of strange skill!
context: It's okay, she's just knocked out.\Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride?\I will...\No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill! response:	Souji!
context: Fate must have brought us together.\You want to get hit again, huh?!\Would you please become my beautiful bride?\I will...\No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill!\Souji! response:	Sou!
context: You want to get hit again, huh?!\Would you please become my beautiful bride?\I will...\No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill!\Souji!\Sou! response:	I suppose these weirdos
context: Would you please become my beautiful bride?\I will...\No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill!\Souji!\Sou!\I suppose these weirdos response:	are showing up now because the defensive barrier is gone.
context: I will...\No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill!\Souji!\Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone. response:	I won't let you deceive these girls!
context: No way! Not Kurinon!\Be careful!\It looks like he's using some kind of strange skill!\Souji!\Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls! response:	Would you please become my beautiful bride?
context: Be careful!\It looks like he's using some kind of strange skill!\Souji!\Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride? response:	How dare you say that to Sou?!
context: It looks like he's using some kind of strange skill!\Souji!\Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?! response:	Oh, my! You're into that sort of thing?
context: Souji!\Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing? response:	There's a lot to carry!
context: Sou!\I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry! response:	In times like these, I wish we had a magic bag...
context: I suppose these weirdos\are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag... response:	Well, this is all stuff to make a magic bag.
context: are showing up now because the defensive barrier is gone.\I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag. response:	I think you did great, Tohya.
context: I won't let you deceive these girls!\Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya. response:	When you were talking with that knight...
context: Would you please become my beautiful bride?\How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight... response:	Is it that important
context: How dare you say that to Sou?!\Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight...\Is it that important response:	whether you can die or not?
context: Oh, my! You're into that sort of thing?\There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight...\Is it that important\whether you can die or not? response:	Have you ever died?
context: There's a lot to carry!\In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight...\Is it that important\whether you can die or not?\Have you ever died? response:	Did you ever die in the old world?
context: In times like these, I wish we had a magic bag...\Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight...\Is it that important\whether you can die or not?\Have you ever died?\Did you ever die in the old world? response:	You told him exactly how you felt.
context: Well, this is all stuff to make a magic bag.\I think you did great, Tohya.\When you were talking with that knight...\Is it that important\whether you can die or not?\Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt. response:	But I couldn't make him understand.
context: I think you did great, Tohya.\When you were talking with that knight...\Is it that important\whether you can die or not?\Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand. response:	That isn't true!
context: When you were talking with that knight...\Is it that important\whether you can die or not?\Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand.\That isn't true! response:	Even if he doesn't understand yet, he won't forget it!
context: Is it that important\whether you can die or not?\Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it! response:	I think there's meaning in the fact that you were able to say it.
context: whether you can die or not?\Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it. response:	Everyone's so amazing.
context: Have you ever died?\Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing. response:	Minori, Tohya, Isuzu...
context: Did you ever die in the old world?\You told him exactly how you felt.\But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu... response:	Even Rudy, maybe.
context: You told him exactly how you felt.\But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe. response:	Everyone seems like they're really doing the right thing.
context: But I couldn't make him understand.\That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing. response:	So are you, Serara.
context: That isn't true!\Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara. response:	No...
context: Even if he doesn't understand yet, he won't forget it!\I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara.\No... response:	On this journey, I realized that I have a long way to go...
context: I think there's meaning in the fact that you were able to say it.\Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara.\No...\On this journey, I realized that I have a long way to go... response:	I'm glad I understood that, I think.
context: Everyone's so amazing.\Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara.\No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think. response:	We're going to have to walk home...
context: Minori, Tohya, Isuzu...\Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara.\No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home... response:	You okay, Miss Isuzu?
context: Even Rudy, maybe.\Everyone seems like they're really doing the right thing.\So are you, Serara.\No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu? response:	There...
context: Everyone seems like they're really doing the right thing.\So are you, Serara.\No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu?\There... response:	I'm fine.
context: So are you, Serara.\No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu?\There...\I'm fine. response:	It isn't as far as I thought.
context: No...\On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu?\There...\I'm fine.\It isn't as far as I thought. response:	Shall we ask the people around here if they need any of the stuff we don't?
context: On this journey, I realized that I have a long way to go...\I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu?\There...\I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't? response:	It might be better than throwing it away...
context: I'm glad I understood that, I think.\We're going to have to walk home...\You okay, Miss Isuzu?\There...\I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away... response:	It's strange.
context: We're going to have to walk home...\You okay, Miss Isuzu?\There...\I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange. response:	I thought they would protect us.
context: You okay, Miss Isuzu?\There...\I'm fine.\It isn't as far as I thought.\Shall we ask the people around here if they need any of the stuff we don't?\It might be better than throwing it away...\It's strange.\I thought they would protect us. response:	But they were useless.
