context: Princess? response:	What is the matter? You're here alone, and so late at night...
context: You know...\What?\If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you. response:	Princess...
context: What?\If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess... response:	I will send one of the guards with you.
context: If something happens, I'll protect you.\Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you. response:	Ask him to lead the way to Albion.
context: Of course, that's to be expected!\You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion. response:	The guard...
context: You're my familiar!\Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard... response:	It's about time he would show up, I'd think.
context: Oh, yeah, yeah.\This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think. response:	What?
context: This is the Ruby of Water, that my mother has entrusted me with.\Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think.\What? response:	Verdande!
context: Right now, this is the only reward that I can give you.\Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think.\What?\Verdande! response:	Oh, my cute little Verdande!
context: Princess...\I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think.\What?\Verdande!\Oh, my cute little Verdande! response:	You thought I would leave you behind again,
context: I will send one of the guards with you.\Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think.\What?\Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again, response:	because I went to the lake without you the other day?
context: Ask him to lead the way to Albion.\The guard...\It's about time he would show up, I'd think.\What?\Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day? response:	You touch my heart so!
context: The guard...\It's about time he would show up, I'd think.\What?\Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so! response:	Let me tell you, we can't take a big mole with us.
context: It's about time he would show up, I'd think.\What?\Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us. response:	What is it?
context: What?\Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it? response:	No!
context: Verdande!\Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it?\No! response:	Wait!
context: Oh, my cute little Verdande!\You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it?\No!\Wait! response:	Where do you think you're touching?!
context: You thought I would leave you behind again,\because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it?\No!\Wait!\Where do you think you're touching?! response:	Guiche!
context: because I went to the lake without you the other day?\You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it?\No!\Wait!\Where do you think you're touching?!\Guiche! response:	I see, the ring.
context: You touch my heart so!\Let me tell you, we can't take a big mole with us.\What is it?\No!\Wait!\Where do you think you're touching?!\Guiche!\I see, the ring. response:	The ring?
context: Let me tell you, we can't take a big mole with us.\What is it?\No!\Wait!\Where do you think you're touching?!\Guiche!\I see, the ring.\The ring? response:	Verdande loves gems, especially ones that are valuable.
context: What is it?\No!\Wait!\Where do you think you're touching?!\Guiche!\I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable. response:	You've got to be kidding!
context: No!\Wait!\Where do you think you're touching?!\Guiche!\I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding! response:	I won't stand for a mole eating the valuable ring the Princess gave me!
context: Wait!\Where do you think you're touching?!\Guiche!\I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me! response:	Enough of that! Help me out here!
context: Where do you think you're touching?!\Guiche!\I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here! response:	Verdande!
context: Guiche!\I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande! response:	Who is it?!
context: I see, the ring.\The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande!\Who is it?! response:	Up above!
context: The ring?\Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande!\Who is it?!\Up above! response:	A griffon...
context: Verdande loves gems, especially ones that are valuable.\You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande!\Who is it?!\Up above!\A griffon... response:	Who are you?
context: You've got to be kidding!\I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande!\Who is it?!\Up above!\A griffon...\Who are you? response:	I am Wardes, leader of the griffon squad,
context: I won't stand for a mole eating the valuable ring the Princess gave me!\Enough of that! Help me out here!\Verdande!\Who is it?!\Up above!\A griffon...\Who are you?\I am Wardes, leader of the griffon squad, response:	ordered by Lady Henrietta to accompany you on this trip.
context: Enough of that! Help me out here!\Verdande!\Who is it?!\Up above!\A griffon...\Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip. response:	It's you!
context: Verdande!\Who is it?!\Up above!\A griffon...\Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you! response:	Of the famous Magic Guards?
context: Who is it?!\Up above!\A griffon...\Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards? response:	Louise...
context: Up above!\A griffon...\Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards?\Louise... response:	Sorry to surprise you.
context: A griffon...\Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards?\Louise...\Sorry to surprise you. response:	I had thought that my fiancee was in trouble.
context: Who are you?\I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards?\Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble. response:	Fiancee?
context: I am Wardes, leader of the griffon squad,\ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards?\Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee? response:	You're kidding!
context: ordered by Lady Henrietta to accompany you on this trip.\It's you!\Of the famous Magic Guards?\Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee?\You're kidding! response:	You are as light as ever! Just like a feather.
context: It's you!\Of the famous Magic Guards?\Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee?\You're kidding!\You are as light as ever! Just like a feather. response:	It has been a while, Lord Wardes.
context: Of the famous Magic Guards?\Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee?\You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes. response:	What's the commotion, so early in the morning?
context: Louise...\Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee?\You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning? response:	Who's that good-looking guy?!
context: Sorry to surprise you.\I had thought that my fiancee was in trouble.\Fiancee?\You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?! response:	Louise... That wench!
context: I had thought that my fiancee was in trouble.\Fiancee?\You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench! response:	The top of the elite, the leader of the griffon squad,
context: Fiancee?\You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad, response:	is going to guard us personally?
context: You're kidding!\You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally? response:	I can't feel anything but impressed by all of this!
context: You are as light as ever! Just like a feather.\It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this! response:	Whatever.
context: It has been a while, Lord Wardes.\What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever. response:	I was very surprised.
context: What's the commotion, so early in the morning?\Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever.\I was very surprised. response:	I had not heard that you would be coming here, Lord Wardes.
context: Who's that good-looking guy?!\Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes. response:	We can't move the entire griffon squad on a secret mission.
context: Louise... That wench!\The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission. response:	When I was asked by the princess to do something about the letter,
context: The top of the elite, the leader of the griffon squad,\is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter, response:	I requested to guard you all personally.
context: is going to guard us personally?\I can't feel anything but impressed by all of this!\Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally. response:	You asked to personally?
context: I can't feel anything but impressed by all of this!\Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally? response:	Of course.
context: Whatever.\I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally?\Of course. response:	Hearing your name, there's no way that I could stay put.
context: I was very surprised.\I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put. response:	Lord Wardes...
context: I had not heard that you would be coming here, Lord Wardes.\We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes... response:	What's this Lord Wardes thing...
context: We can't move the entire griffon squad on a secret mission.\When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing... response:	Something wrong?
context: When I was asked by the princess to do something about the letter,\I requested to guard you all personally.\You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing...\Something wrong? response:	Oh, nothing...
context: I requested to guard you all personally.\You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing...\Something wrong?\Oh, nothing... response:	Hey, aren't we going to the port?
context: You asked to personally?\Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing...\Something wrong?\Oh, nothing...\Hey, aren't we going to the port? response:	This is in the mountains, no matter how you look at it.
context: Of course.\Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing...\Something wrong?\Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it. response:	You really don't know anything.
context: Hearing your name, there's no way that I could stay put.\Lord Wardes...\What's this Lord Wardes thing...\Something wrong?\Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything. response:	Are you tired?
context: Lord Wardes...\What's this Lord Wardes thing...\Something wrong?\Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired? response:	No, not at all...
context: What's this Lord Wardes thing...\Something wrong?\Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired?\No, not at all... response:	This is a good chance to catch up on all the time we have spent apart.
context: Something wrong?\Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart. response:	Oh, yes...
context: Oh, nothing...\Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes... response:	Well, I won't be surprised at whatever comes my way.
context: Hey, aren't we going to the port?\This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way. response:	Oh, it's in sight now.
context: This is in the mountains, no matter how you look at it.\You really don't know anything.\Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now. response:	That is the port village, La Rochelle.
context: You really don't know anything.\Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle. response:	All the buildings here are carved out of one boulder.
context: Are you tired?\No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder. response:	Thanks to Square-class mages specializing in Earth,
context: No, not at all...\This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth, response:	it's a work of art.
context: This is a good chance to catch up on all the time we have spent apart.\Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art. response:	We will spend the night here, and depart tomorrow evening.
context: Oh, yes...\Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening. response:	Understood?
context: Well, I won't be surprised at whatever comes my way.\Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood? response:	Understood, Mister Wardes!
context: Oh, it's in sight now.\That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes! response:	Saito, at least answer him. Don't you think it's rude?
context: That is the port village, La Rochelle.\All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude? response:	It's all right, Louise.
context: All the buildings here are carved out of one boulder.\Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise. response:	I don't like to act like nobility.
context: Thanks to Square-class mages specializing in Earth,\it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility. response:	There we go.
context: it's a work of art.\We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility.\There we go. response:	You know, I'll tell you this much.
context: We will spend the night here, and depart tomorrow evening.\Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility.\There we go.\You know, I'll tell you this much. response:	What?
context: Understood?\Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility.\There we go.\You know, I'll tell you this much.\What? response:	My parents decided on this fiancee thing.
context: Understood, Mister Wardes!\Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility.\There we go.\You know, I'll tell you this much.\What?\My parents decided on this fiancee thing. response:	Hmm.
context: Saito, at least answer him. Don't you think it's rude?\It's all right, Louise.\I don't like to act like nobility.\There we go.\You know, I'll tell you this much.\What?\My parents decided on this fiancee thing.\Hmm. response:	What was that hmm for?
context: It's all right, Louise.\I don't like to act like nobility.\There we go.\You know, I'll tell you this much.\What?\My parents decided on this fiancee thing.\Hmm.\What was that hmm for? response:	He's stuck-up,
context: I don't like to act like nobility.\There we go.\You know, I'll tell you this much.\What?\My parents decided on this fiancee thing.\Hmm.\What was that hmm for?\He's stuck-up, response:	but he seems to be the most decent of all the nobles I've met,
context: There we go.\You know, I'll tell you this much.\What?\My parents decided on this fiancee thing.\Hmm.\What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met, response:	so he's a good guy, isn't he?
context: You know, I'll tell you this much.\What?\My parents decided on this fiancee thing.\Hmm.\What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he? response:	That's right! I've always looked up to him, from when I was a child!
context: What?\My parents decided on this fiancee thing.\Hmm.\What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child! response:	He had lost his parents early on,
context: My parents decided on this fiancee thing.\Hmm.\What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on, response:	and went through many hardships to become leader of the Magic Guards!
context: Hmm.\What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards! response:	Unlike you...
context: What was that hmm for?\He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you... response:	What?
context: He's stuck-up,\but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you...\What? response:	Well, you know...
context: but he seems to be the most decent of all the nobles I've met,\so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you...\What?\Well, you know... response:	I guess I didn't have to tag along.
context: so he's a good guy, isn't he?\That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you...\What?\Well, you know...\I guess I didn't have to tag along. response:	You're a familiar! It's a given that you're coming with me!
context: That's right! I've always looked up to him, from when I was a child!\He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you...\What?\Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me! response:	Oh man... I just don't know.
context: He had lost his parents early on,\and went through many hardships to become leader of the Magic Guards!\Unlike you...\What?\Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know. response:	What, you were in love with Louise?
context: and went through many hardships to become leader of the Magic Guards!\Unlike you...\What?\Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise? response:	I'm not in love with her!
context: Unlike you...\What?\Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her! response:	So savage, so selfish, such a twisted personality...
context: What?\Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality... response:	Then why are you so depressed?
context: Well, you know...\I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed? response:	I'll protect you!
context: I guess I didn't have to tag along.\You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you! response:	I just wish I hadn't said something that cool.
context: You're a familiar! It's a given that you're coming with me!\Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool. response:	That's all.
context: Oh man... I just don't know.\What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool.\That's all. response:	To summon a human familiar... Nothing less from you, Louise.
context: What, you were in love with Louise?\I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise. response:	Even you would say that, Lord Wardes?
context: I'm not in love with her!\So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes? response:	No, I'm not being sarcastic.
context: So savage, so selfish, such a twisted personality...\Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic. response:	This is an amazing thing, Louise.
context: Then why are you so depressed?\I'll protect you!\I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise. response:	I heard that you two had a duel.
context: I'll protect you!\I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel. response:	That was...
context: I just wish I hadn't said something that cool.\That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel.\That was... response:	Is it true that the duel was the first time you wielded a sword, Saito?
context: That's all.\To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito? response:	Well, yeah.
context: To summon a human familiar... Nothing less from you, Louise.\Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah. response:	Is it also true that you used the Staff of Destruction
context: Even you would say that, Lord Wardes?\No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction response:	to capture Fouquet the Sculptor as well?
context: No, I'm not being sarcastic.\This is an amazing thing, Louise.\I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well? response:	I guess.
context: This is an amazing thing, Louise.\I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess. response:	You really know the details.
context: I heard that you two had a duel.\That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess.\You really know the details. response:	Being where I am, I get all sorts of detailed information.
context: That was...\Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess.\You really know the details.\Being where I am, I get all sorts of detailed information. response:	Even about a peasant familiar like him?
context: Is it true that the duel was the first time you wielded a sword, Saito?\Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess.\You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him? response:	That's why I've grown an interest in you.
context: Well, yeah.\Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess.\You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you. response:	I had thought I would like to ask you for a practice match.
context: Is it also true that you used the Staff of Destruction\to capture Fouquet the Sculptor as well?\I guess.\You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match. response:	The ship leaves tomorrow night.
context: to capture Fouquet the Sculptor as well?\I guess.\You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night. response:	It's boring to just spend idle time, right?
context: I guess.\You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right? response:	Lord Wardes!
context: You really know the details.\Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes! response:	Of course, I won't force you to do so.
context: Being where I am, I get all sorts of detailed information.\Even about a peasant familiar like him?\That's why I've grown an interest in you.\I had thought I would like to ask you for a practice match.\The ship leaves tomorrow night.\It's boring to just spend idle time, right?\Lord Wardes!\Of course, I won't force you to do so. response:	I don't mind.
