context: Now, why don't you come with me, tiger boy? response:	Now, why don't you come with me, tiger boy?
context: I'll end this in the blink of an eye.\Dachshund.\Hey, how's it coming?\My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you. response:	I'll kill you!
context: Dachshund.\Hey, how's it coming?\My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you! response:	Ow!
context: Hey, how's it coming?\My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you!\Ow! response:	Are you enjoying your cruise on the Moby Dick?
context: My body...\It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick? response:	Excuse me.
context: It hurts.\Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me. response:	Why is she here?
context: Well, if you're looking for someone to blame, try the officers who made this emergency plan,\or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here? response:	Oh, Ms. Lucy?
context: or yourself for coming up with the foolish idea of trying to destroy Lovecraft's mind.\I'll kill you.\I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here?\Oh, Ms. Lucy? response:	She has no strategic value, given that her trick's known now, but she insisted on staying.
context: I'll kill you.\I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying. response:	Now, where were we?
context: I'll kill you!\Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we? response:	We're looking for a book.
context: Ow!\Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book. response:	A book?
context: Are you enjoying your cruise on the Moby Dick?\Excuse me.\Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book.\A book? response:	There's only a single copy in the world.
context: Excuse me.\Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book.\A book?\There's only a single copy in the world. response:	It's said to be impervious to any degree of firepower or special abilities.
context: Why is she here?\Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book.\A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities. response:	Someone with a gift foresaw that it would be found sealed away here in Yokohama.
context: Oh, Ms. Lucy?\She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book.\A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama. response:	What does that book have to do with me?
context: She has no strategic value, given that her trick's known now, but she insisted on staying.\Now, where were we?\We're looking for a book.\A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me? response:	You're literally the tiger beetle... The guide post.
context: Now, where were we?\We're looking for a book.\A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post. response:	In fact, I brought you here because
context: We're looking for a book.\A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because response:	I couldn't have you turning to ashes along with the rest of the city.
context: A book?\There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city. response:	What?
context: There's only a single copy in the world.\It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What? response:	The Gifted Special Operations Division is neutralized.
context: It's said to be impervious to any degree of firepower or special abilities.\Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized. response:	All that's left is the Armed Detective Agency and the Port Mafia.
context: Someone with a gift foresaw that it would be found sealed away here in Yokohama.\What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia. response:	These two organizations happen to be quite a pain.
context: What does that book have to do with me?\You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain. response:	We've decided to burn down the entire city.
context: You're literally the tiger beetle... The guide post.\In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city. response:	It'll make our search easier as well.
context: In fact, I brought you here because\I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well. response:	No one has such a powerful gift!
context: I couldn't have you turning to ashes along with the rest of the city.\What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift! response:	Does this not look familiar?
context: What?\The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar? response:	Said emergency plan is, basically, a combo of our two abilities.
context: The Gifted Special Operations Division is neutralized.\All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities. response:	My gift gives me the ability to share senses between a host and other trees,
context: All that's left is the Armed Detective Agency and the Port Mafia.\These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees, response:	across my vines.
context: These two organizations happen to be quite a pain.\We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines. response:	I've connected every tree in Yokohama to you.
context: We've decided to burn down the entire city.\It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you. response:	The unwitting go on as usual, walking on the roots,
context: It'll make our search easier as well.\No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots, response:	hitting the trunks, and cutting down branches.
context: No one has such a powerful gift!\Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches. response:	That pain is being sent into you as we speak.
context: Does this not look familiar?\Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak. response:	Now, it's time for a quiz.
context: Said emergency plan is, basically, a combo of our two abilities.\My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz. response:	What do you think will happen to the city if you engage your curse right now?
context: My gift gives me the ability to share senses between a host and other trees,\across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now? response:	The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.
context: across my vines.\I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed. response:	This is the emergency plan.
context: I've connected every tree in Yokohama to you.\The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan. response:	Also known as the Yokohama Incineration Operation.
context: The unwitting go on as usual, walking on the roots,\hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation. response:	Your town will be destroyed, all because of you.
context: hitting the trunks, and cutting down branches.\That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you. response:	Why?
context: That pain is being sent into you as we speak.\Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why? response:	I never asked for this ability.
context: Now, it's time for a quiz.\What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why?\I never asked for this ability. response:	So why do all these terrible things happen because of me?
context: What do you think will happen to the city if you engage your curse right now?\The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why?\I never asked for this ability.\So why do all these terrible things happen because of me? response:	Isn't everyone equal in the eyes of the Lord?
context: The moment I rip this doll's head off, roughly 20 percent of the town will be cursed.\This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why?\I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord? response:	You're right.
context: This is the emergency plan.\Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why?\I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right. response:	But this is the world we live in.
context: Also known as the Yokohama Incineration Operation.\Your town will be destroyed, all because of you.\Why?\I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in. response:	God exists.
context: Your town will be destroyed, all because of you.\Why?\I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in.\God exists. response:	But He doesn't love you.
context: Why?\I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in.\God exists.\But He doesn't love you. response:	No!
context: I never asked for this ability.\So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in.\God exists.\But He doesn't love you.\No! response:	No! No!
context: So why do all these terrible things happen because of me?\Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in.\God exists.\But He doesn't love you.\No!\No! No! response:	I'll burn this world down!
context: Isn't everyone equal in the eyes of the Lord?\You're right.\But this is the world we live in.\God exists.\But He doesn't love you.\No!\No! No!\I'll burn this world down! response:	I'll curse it!
context: You're right.\But this is the world we live in.\God exists.\But He doesn't love you.\No!\No! No!\I'll burn this world down!\I'll curse it! response:	I'll curse it!
context: But this is the world we live in.\God exists.\But He doesn't love you.\No!\No! No!\I'll burn this world down!\I'll curse it!\I'll curse it! response:	I'll curse it!
context: God exists.\But He doesn't love you.\No!\No! No!\I'll burn this world down!\I'll curse it!\I'll curse it!\I'll curse it! response:	Say, dear.
context: But He doesn't love you.\No!\No! No!\I'll burn this world down!\I'll curse it!\I'll curse it!\I'll curse it!\Say, dear. response:	Yes?
context: No!\No! No!\I'll burn this world down!\I'll curse it!\I'll curse it!\I'll curse it!\Say, dear.\Yes? response:	Did you always have that scar?
context: No! No!\I'll burn this world down!\I'll curse it!\I'll curse it!\I'll curse it!\Say, dear.\Yes?\Did you always have that scar? response:	Looks like it's begun.
context: I'll burn this world down!\I'll curse it!\I'll curse it!\I'll curse it!\Say, dear.\Yes?\Did you always have that scar?\Looks like it's begun. response:	All I need to do now is to destroy this doll and trigger the ability.
context: I'll curse it!\I'll curse it!\I'll curse it!\Say, dear.\Yes?\Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability. response:	Okay!
context: I'll curse it!\I'll curse it!\Say, dear.\Yes?\Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay! response:	I surrender!
context: I'll curse it!\Say, dear.\Yes?\Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender! response:	The Agency and I will help you unconditionally.
context: Say, dear.\Yes?\Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender!\The Agency and I will help you unconditionally. response:	So please don't destroy the doll!
context: Yes?\Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll! response:	I see.
context: Did you always have that scar?\Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see. response:	That is an interesting proposal.
context: Looks like it's begun.\All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see.\That is an interesting proposal. response:	Very well. Let's form a cooperative framework.
context: All I need to do now is to destroy this doll and trigger the ability.\Okay!\I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework. response:	But only with the survivors.
context: Okay!\I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors. response:	Damn, traffic jam.
context: I surrender!\The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam. response:	It's so peaceful.
context: The Agency and I will help you unconditionally.\So please don't destroy the doll!\I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam.\It's so peaceful. response:	How is it peaceful?
context: So please don't destroy the doll!\I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam.\It's so peaceful.\How is it peaceful? response:	What the hell?!
context: I see.\That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam.\It's so peaceful.\How is it peaceful?\What the hell?! response:	Minoura-san!
context: That is an interesting proposal.\Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam.\It's so peaceful.\How is it peaceful?\What the hell?!\Minoura-san! response:	Let me out!
context: Very well. Let's form a cooperative framework.\But only with the survivors.\Damn, traffic jam.\It's so peaceful.\How is it peaceful?\What the hell?!\Minoura-san!\Let me out! response:	Damn it.
context: But only with the survivors.\Damn, traffic jam.\It's so peaceful.\How is it peaceful?\What the hell?!\Minoura-san!\Let me out!\Damn it. response:	The city... I need to do something.
context: Damn, traffic jam.\It's so peaceful.\How is it peaceful?\What the hell?!\Minoura-san!\Let me out!\Damn it.\The city... I need to do something. response:	Oh my, I came to check on you on my way to the garbage.
context: It's so peaceful.\How is it peaceful?\What the hell?!\Minoura-san!\Let me out!\Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage. response:	This is a pleasant sight.
context: How is it peaceful?\What the hell?!\Minoura-san!\Let me out!\Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight. response:	You're...
context: What the hell?!\Minoura-san!\Let me out!\Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're... response:	Please.
context: Minoura-san!\Let me out!\Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're...\Please. response:	Let me out of here.
context: Let me out!\Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're...\Please.\Let me out of here. response:	No way.
context: Damn it.\The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're...\Please.\Let me out of here.\No way. response:	I hate privileged people like you.
context: The city... I need to do something.\Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're...\Please.\Let me out of here.\No way.\I hate privileged people like you. response:	Maybe you'll know how I feel
context: Oh my, I came to check on you on my way to the garbage.\This is a pleasant sight.\You're...\Please.\Let me out of here.\No way.\I hate privileged people like you.\Maybe you'll know how I feel response:	when the city burns down and you're discarded like this useless doll.
context: This is a pleasant sight.\You're...\Please.\Let me out of here.\No way.\I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll. response:	I know your pain well.
context: You're...\Please.\Let me out of here.\No way.\I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well. response:	Don't talk like you know!
context: Please.\Let me out of here.\No way.\I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know! response:	Have you washed dishes all day with bloody fingers?
context: Let me out of here.\No way.\I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers? response:	Have you ever been tortured with a hot iron poker?
context: No way.\I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker? response:	Do you have any idea how much pain and agony these scars give me?
context: I hate privileged people like you.\Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me? response:	On the first day, it's the bone that hurts.
context: Maybe you'll know how I feel\when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts. response:	But it's the third day that it hurts the most.
context: when the city burns down and you're discarded like this useless doll.\I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most. response:	The burn chafes every time you move.
context: I know your pain well.\Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move. response:	It hurts like hell.
context: Don't talk like you know!\Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell. response:	I was there, too.
context: Have you washed dishes all day with bloody fingers?\Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell.\I was there, too. response:	I know your fear and loneliness well.
context: Have you ever been tortured with a hot iron poker?\Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell.\I was there, too.\I know your fear and loneliness well. response:	But loneliness wasn't a king lording over us forever.
context: Do you have any idea how much pain and agony these scars give me?\On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell.\I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever. response:	Loneliness is just a soft, puffy cloud forming and vanishing on a whim.
context: On the first day, it's the bone that hurts.\But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell.\I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim. response:	Many people on the ground carry wounds the way we do.
context: But it's the third day that it hurts the most.\The burn chafes every time you move.\It hurts like hell.\I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do. response:	Abandon them, and you're abandoning your past self.
context: The burn chafes every time you move.\It hurts like hell.\I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self. response:	Is that what you want?
context: It hurts like hell.\I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want? response:	Where am I?
context: I was there, too.\I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I? response:	It's too late.
context: I know your fear and loneliness well.\But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I?\It's too late. response:	Yokohama's done.
context: But loneliness wasn't a king lording over us forever.\Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I?\It's too late.\Yokohama's done. response:	No, there's still a way.
context: Loneliness is just a soft, puffy cloud forming and vanishing on a whim.\Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I?\It's too late.\Yokohama's done.\No, there's still a way. response:	Dazai-san only needs to touch the doll to end the curse.
context: Many people on the ground carry wounds the way we do.\Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I?\It's too late.\Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse. response:	Are you stupid?
context: Abandon them, and you're abandoning your past self.\Is that what you want?\Where am I?\It's too late.\Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid? response:	We're in the sky.
context: Is that what you want?\Where am I?\It's too late.\Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky. response:	How do you think you're going to give him the doll?
context: Where am I?\It's too late.\Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky.\How do you think you're going to give him the doll? response:	I see.
context: It's too late.\Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky.\How do you think you're going to give him the doll?\I see. response:	You're doing it.
context: Yokohama's done.\No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky.\How do you think you're going to give him the doll?\I see.\You're doing it. response:	You'll get shot and killed by anti-air guns.
context: No, there's still a way.\Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky.\How do you think you're going to give him the doll?\I see.\You're doing it.\You'll get shot and killed by anti-air guns. response:	Or you'll hit the ground and die.
context: Dazai-san only needs to touch the doll to end the curse.\Are you stupid?\We're in the sky.\How do you think you're going to give him the doll?\I see.\You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die. response:	Or you'll get shredded up by the madmen on the ground.
context: Are you stupid?\We're in the sky.\How do you think you're going to give him the doll?\I see.\You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground. response:	You know those are your only options, and you're still going to do it.
context: We're in the sky.\How do you think you're going to give him the doll?\I see.\You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it. response:	There was an old book at the orphanage.
context: How do you think you're going to give him the doll?\I see.\You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage. response:	It said, I've never regretted anything I've done.
context: I see.\You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done. response:	I've only ever regretted the things that I didn't do.
context: You're doing it.\You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do. response:	What was the name of the author?
context: You'll get shot and killed by anti-air guns.\Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author? response:	It's a parachute.
context: Or you'll hit the ground and die.\Or you'll get shredded up by the madmen on the ground.\You know those are your only options, and you're still going to do it.\There was an old book at the orphanage.\It said, I've never regretted anything I've done.\I've only ever regretted the things that I didn't do.\What was the name of the author?\It's a parachute. response:	I kept one hidden in case I needed to escape.
