context: Teppei! response:	The Earth Engine Impacter...
context: Those guys!\Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei!\You're Teppei, right? response:	Daichi?
context: Who gave you permission to use the lead gears?!\I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei!\You're Teppei, right?\Daichi? response:	Hey...
context: I knew it...\Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei!\You're Teppei, right?\Daichi?\Hey... response:	Isn't she the girl
context: Of course we're using them.\If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei!\You're Teppei, right?\Daichi?\Hey...\Isn't she the girl response:	we saw back then?
context: If they were all as quiet and obedient as she is, it wouldn't be a problem.\But some of them use their singularities without warning.\Teppei!\You're Teppei, right?\Daichi?\Hey...\Isn't she the girl\we saw back then? response:	Is he the boy who was there when Hana awoke?
context: But some of them use their singularities without warning.\Teppei!\You're Teppei, right?\Daichi?\Hey...\Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke? response:	Did I not forbid the use of the lead gears?
context: Teppei!\You're Teppei, right?\Daichi?\Hey...\Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears? response:	Salty Dog does not only inspect Globe.
context: You're Teppei, right?\Daichi?\Hey...\Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe. response:	I got even better at this.
context: Daichi?\Hey...\Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this. response:	We are also its internal police force.
context: Hey...\Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force. response:	Ah... Daichi!
context: Isn't she the girl\we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force.\Ah... Daichi! response:	You're exceeding your authority!
context: we saw back then?\Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force.\Ah... Daichi!\You're exceeding your authority! response:	In an emergency, I am authorized to take any steps I deem necessary.
context: Is he the boy who was there when Hana awoke?\Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force.\Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary. response:	I'll keep the promise I made that day.
context: Did I not forbid the use of the lead gears?\Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force.\Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day. response:	Let's go.
context: Salty Dog does not only inspect Globe.\I got even better at this.\We are also its internal police force.\Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go. response:	You, too, Teppei!
context: I got even better at this.\We are also its internal police force.\Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go.\You, too, Teppei! response:	Daichi!
context: We are also its internal police force.\Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go.\You, too, Teppei!\Daichi! response:	Stop it!
context: Ah... Daichi!\You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go.\You, too, Teppei!\Daichi!\Stop it! response:	Are you okay?
context: You're exceeding your authority!\In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go.\You, too, Teppei!\Daichi!\Stop it!\Are you okay? response:	What are these things?
context: In an emergency, I am authorized to take any steps I deem necessary.\I'll keep the promise I made that day.\Let's go.\You, too, Teppei!\Daichi!\Stop it!\Are you okay?\What are these things? response:	What's going on?
context: I'll keep the promise I made that day.\Let's go.\You, too, Teppei!\Daichi!\Stop it!\Are you okay?\What are these things?\What's going on? response:	Don't let that animal out of its cage!
context: Let's go.\You, too, Teppei!\Daichi!\Stop it!\Are you okay?\What are these things?\What's going on?\Don't let that animal out of its cage! response:	I'm sorry about earlier...
context: You, too, Teppei!\Daichi!\Stop it!\Are you okay?\What are these things?\What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier... response:	It hurt, didn't it?
context: Daichi!\Stop it!\Are you okay?\What are these things?\What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it? response:	I'll make sure those people never touch you again.
context: Stop it!\Are you okay?\What are these things?\What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again. response:	I don't think he fired the gun.
context: Are you okay?\What are these things?\What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun. response:	I think the gun made him fire it.
context: What are these things?\What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it. response:	I believe Livlaster, that energy generator,
context: What's going on?\Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator, response:	is more like an extra-dimensional life form
context: Don't let that animal out of its cage!\I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form response:	in the shape of a gun than an actual gun.
context: I'm sorry about earlier...\It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun. response:	Yes, it has a will.
context: It hurt, didn't it?\I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will. response:	And that will activated the Earth Engine.
context: I'll make sure those people never touch you again.\I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine. response:	That's the obvious conclusion.
context: I don't think he fired the gun.\I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion. response:	In other words, the Livlaster used him to activate the Earth Engine?
context: I think the gun made him fire it.\I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine? response:	Then, once the investigation ends,
context: I believe Livlaster, that energy generator,\is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends, response:	we have him swear an oath of secrecy,
context: is more like an extra-dimensional life form\in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy, response:	and send him back to the mainland?
context: in the shape of a gun than an actual gun.\Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland? response:	Now that the Kiltgang's active phase has begun, can we get away with that?
context: Yes, it has a will.\And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that? response:	Technology and Research Division 3 is complaining that they can't set a schedule
context: And that will activated the Earth Engine.\That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule response:	for the Machine Goodfellow demonstration experiments.
context: That's the obvious conclusion.\In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments. response:	Yes, that's fine.
context: In other words, the Livlaster used him to activate the Earth Engine?\Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine. response:	Why are they letting the designer children determine the development schedule?
context: Then, once the investigation ends,\we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule? response:	That's my policy.
context: we have him swear an oath of secrecy,\and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy. response:	Something wrong with it?
context: and send him back to the mainland?\Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it? response:	Isn't allowing them too much freedom dangerous?
context: Now that the Kiltgang's active phase has begun, can we get away with that?\Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous? response:	What about the Ego Block?
context: Technology and Research Division 3 is complaining that they can't set a schedule\for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block? response:	It's fine... It was unharmed.
context: for the Machine Goodfellow demonstration experiments.\Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed. response:	In Ego Block form,
context: Yes, that's fine.\Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form, response:	we can use the Entangle Link to travel through hyperspace.
context: Why are they letting the designer children determine the development schedule?\That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace. response:	But if we materialize in Ego Block form too close to Earth,
context: That's my policy.\Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth, response:	it causes a libido burst.
context: Something wrong with it?\Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst. response:	Final approach must be
context: Isn't allowing them too much freedom dangerous?\What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be response:	through normal space via the Kiltgang.
context: What about the Ego Block?\It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be\through normal space via the Kiltgang. response:	If they knew how this worked
context: It's fine... It was unharmed.\In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be\through normal space via the Kiltgang.\If they knew how this worked response:	when they designed their defense system, they can't be underestimated.
context: In Ego Block form,\we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be\through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated. response:	Life never goes the way you think it should, does it?
context: we can use the Entangle Link to travel through hyperspace.\But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be\through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it? response:	So, what was the Impacter that shot down the Malkin like?
context: But if we materialize in Ego Block form too close to Earth,\it causes a libido burst.\Final approach must be\through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like? response:	A manned Impacter, using a Livlaster?
context: it causes a libido burst.\Final approach must be\through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster? response:	Well, I'm told letting them do what they want
context: Final approach must be\through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want response:	is the most efficient way to develop the Machine Goodfellows.
context: through normal space via the Kiltgang.\If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows. response:	Told?
context: If they knew how this worked\when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told? response:	By whom?
context: when they designed their defense system, they can't be underestimated.\Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told?\By whom? response:	Good evening, CEO Kube.
context: Life never goes the way you think it should, does it?\So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told?\By whom?\Good evening, CEO Kube. response:	Something seems to have happened aboard the Tenkaidou.
context: So, what was the Impacter that shot down the Malkin like?\A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told?\By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou. response:	I'm impressed you're aware of that.
context: A manned Impacter, using a Livlaster?\Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told?\By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that. response:	Very impressed.
context: Well, I'm told letting them do what they want\is the most efficient way to develop the Machine Goodfellows.\Told?\By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed. response:	Stop talking like that.
context: is the most efficient way to develop the Machine Goodfellows.\Told?\By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed.\Stop talking like that. response:	You don't like it?
context: Told?\By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed.\Stop talking like that.\You don't like it? response:	I think it's really cool and computer-y.
context: By whom?\Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed.\Stop talking like that.\You don't like it?\I think it's really cool and computer-y. response:	Your secretary, Hitomi-chan, was wearing a very attractive suit today.
context: Good evening, CEO Kube.\Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed.\Stop talking like that.\You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today. response:	You should ask her on a date.
context: Something seems to have happened aboard the Tenkaidou.\I'm impressed you're aware of that.\Very impressed.\Stop talking like that.\You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date. response:	The Kiltgang won't reach Earth sooner than anticipated, will they?
context: I'm impressed you're aware of that.\Very impressed.\Stop talking like that.\You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they? response:	My simulation's predictions are perfect.
context: Very impressed.\Stop talking like that.\You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect. response:	Globe will buy the required time.
context: Stop talking like that.\You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time. response:	And if you'd gone for it, you could easily have had Hitomi-chan tonight.
context: You don't like it?\I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight. response:	She was totally up for it.
context: I think it's really cool and computer-y.\Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it. response:	Humanity will survive.
context: Your secretary, Hitomi-chan, was wearing a very attractive suit today.\You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive. response:	The chosen humanity...
context: You should ask her on a date.\The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive.\The chosen humanity... response:	No, the humanity I choose.
context: The Kiltgang won't reach Earth sooner than anticipated, will they?\My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive.\The chosen humanity...\No, the humanity I choose. response:	What is the Macbeth Revolution's present likelihood of success?
context: My simulation's predictions are perfect.\Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive.\The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success? response:	One hundred percent.
context: Globe will buy the required time.\And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive.\The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent. response:	You're certain?
context: And if you'd gone for it, you could easily have had Hitomi-chan tonight.\She was totally up for it.\Humanity will survive.\The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain? response:	Puck doesn't lie.
context: She was totally up for it.\Humanity will survive.\The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain?\Puck doesn't lie. response:	I refuse to accept this method!
context: Humanity will survive.\The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain?\Puck doesn't lie.\I refuse to accept this method! response:	He's still a kid!
context: The chosen humanity...\No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain?\Puck doesn't lie.\I refuse to accept this method!\He's still a kid! response:	I can't have him behaving as he did yesterday.
context: No, the humanity I choose.\What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain?\Puck doesn't lie.\I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday. response:	Science Chief, do it.
context: What is the Macbeth Revolution's present likelihood of success?\One hundred percent.\You're certain?\Puck doesn't lie.\I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it. response:	Good morning, Daichi-kun.
context: One hundred percent.\You're certain?\Puck doesn't lie.\I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun. response:	I saw you yesterday...
context: You're certain?\Puck doesn't lie.\I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday... response:	I'm this base's science chief, Peter Westvillage.
context: Puck doesn't lie.\I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage. response:	Today, we'll be discussing the Livlaster,
context: I refuse to accept this method!\He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster, response:	so I had these two accompany me.
context: He's still a kid!\I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me. response:	What's that girl's name?
context: I can't have him behaving as he did yesterday.\Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name? response:	That is none of your business.
context: Science Chief, do it.\Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name?\That is none of your business. response:	There are many things in this world that you don't need to know.
context: Good morning, Daichi-kun.\I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know. response:	That's kind of exciting.
context: I saw you yesterday...\I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting. response:	The gun you had is the second of its kind.
context: I'm this base's science chief, Peter Westvillage.\Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind. response:	We believed the Livlaster you had to be a type of weapon.
context: Today, we'll be discussing the Livlaster,\so I had these two accompany me.\What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon. response:	But its bearer, this girl...
context: so I had these two accompany me.\What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl... response:	Hana Mutou cannot fire it.
context: What's that girl's name?\That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it. response:	So we trained this boy, Teppei Arashi, instead.
context: That is none of your business.\There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead. response:	Hana Mutou...
context: There are many things in this world that you don't need to know.\That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou... response:	Your name's Hana!
context: That's kind of exciting.\The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana! response:	Science Chief, you're talking too much!
context: The gun you had is the second of its kind.\We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much! response:	It doesn't matter.
context: We believed the Livlaster you had to be a type of weapon.\But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter. response:	He'll be working with us on this plan for a while.
context: But its bearer, this girl...\Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while. response:	Where did you plan to take these two yesterday?
context: Hana Mutou cannot fire it.\So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday? response:	I just...
context: So we trained this boy, Teppei Arashi, instead.\Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just... response:	Come out of there.
context: Hana Mutou...\Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just...\Come out of there. response:	I'll show you my boomerang.
context: Your name's Hana!\Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just...\Come out of there.\I'll show you my boomerang. response:	Boomerang?
context: Science Chief, you're talking too much!\It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just...\Come out of there.\I'll show you my boomerang.\Boomerang? response:	I just wanted to show them my boomerang.
context: It doesn't matter.\He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just...\Come out of there.\I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang. response:	Your boomerang?
context: He'll be working with us on this plan for a while.\Where did you plan to take these two yesterday?\I just...\Come out of there.\I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang.\Your boomerang? response:	Long ago, I promised her.
context: Where did you plan to take these two yesterday?\I just...\Come out of there.\I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her. response:	Promised...
context: I just...\Come out of there.\I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her.\Promised... response:	Then he's just an idiot?
context: Come out of there.\I'll show you my boomerang.\Boomerang?\I just wanted to show them my boomerang.\Your boomerang?\Long ago, I promised her.\Promised...\Then he's just an idiot? response:	Why were they suddenly in so much pain yesterday?
