context: The Death of Dende... Come Forth! Intense, Wide-open Power! response:	That's Freeza's true self? He's smaller, more simple-looking, and less formidable...
context: Okay, okay. I get you, I get you.\If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me!\I see you!\Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run! response:	No!
context: If you mean everything you said, then I've decided to see for myself the power of this so-called, legendary Super Saiyan,\the strongest warrior in history.\Don't you mock me!\I see you!\Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run!\No! response:	V- Vegeta's... h- Had it!
context: the strongest warrior in history.\Don't you mock me!\I see you!\Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it! response:	P- Piccolo-san...
context: Don't you mock me!\I see you!\Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it!\P- Piccolo-san... response:	What's the matter, Freeza!? You can't defeat me by running away!
context: I see you!\Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away! response:	What? L- It can't be! Where is he?
context: Kakarrot won't even get a turn!\l- Incredible!\He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he? response:	There's no way I... a Super Saiyan like me could have lost sight of him!
context: l- Incredible!\He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him! response:	What!?
context: He's completely got Freeza on the run!\No!\V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!? response:	Im... possible...
context: No!\V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible... response:	I raise my speed in earnest for just a moment, and you can't keep up, can you?
context: V- Vegeta's... h- Had it!\P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you? response:	And you call yourself a Super Saiyan?
context: P- Piccolo-san...\What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan? response:	l- It can't be...
context: What's the matter, Freeza!? You can't defeat me by running away!\What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be... response:	How can he toy with Vegeta, with all his power and speed?
context: What? L- It can't be! Where is he?\There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed? response:	He really is an unthinkable beast after all!
context: There's no way I... a Super Saiyan like me could have lost sight of him!\What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed?\He really is an unthinkable beast after all! response:	F- Father!
context: What!?\Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed?\He really is an unthinkable beast after all!\F- Father! response:	A little longer... a little bit longer, and I will have recovered!
context: Im... possible...\I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed?\He really is an unthinkable beast after all!\F- Father!\A little longer... a little bit longer, and I will have recovered! response:	Overwhelming speed and power-
context: I raise my speed in earnest for just a moment, and you can't keep up, can you?\And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed?\He really is an unthinkable beast after all!\F- Father!\A little longer... a little bit longer, and I will have recovered!\Overwhelming speed and power- response:	and yet, it's still not enough to match Freeza's ultimate power?
context: And you call yourself a Super Saiyan?\l- It can't be...\How can he toy with Vegeta, with all his power and speed?\He really is an unthinkable beast after all!\F- Father!\A little longer... a little bit longer, and I will have recovered!\Overwhelming speed and power-\and yet, it's still not enough to match Freeza's ultimate power? response:	What will be the fate of Vegeta, now that he has been shown his limits?
