context: It's the last painting Mashiro did before she came to Japan. response:	Has this helped you understand...
context: See you later.\That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit. response:	I don't need someone...
context: That was the Student Council President?\That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone... response:	who's afraid of a little work ordering me around.
context: That's Tatebayashi Soichiro-senpai.\Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around. response:	Akasaka-kun, don't you think you should...
context: Jin-san, you don't get along with him?\It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should... response:	choose your words a little more carefully?
context: It's not intentional on my part.\At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully? response:	On top of that, can you kindly refrain from eating tomatoes during class?
context: At any rate, this'll be a difficult obstacle to overcome.\Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class? response:	Don't bring up such irrelevant topics.
context: Maybe me being the director wasn't such a good idea...\If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics. response:	Just so you know,
context: If that's what you think, just quit.\I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know, response:	I have greater faith in tomatoes than in anything else in the world.
context: I don't need someone...\who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world. response:	We have to increase our numbers.
context: who's afraid of a little work ordering me around.\Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers. response:	Let's look for people who can rival Shiina's talent.
context: Akasaka-kun, don't you think you should...\choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent. response:	Easier said than done. Not many people...
context: choose your words a little more carefully?\On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people... response:	can produce work of the same quality.
context: On top of that, can you kindly refrain from eating tomatoes during class?\Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality. response:	There is one.
context: Don't bring up such irrelevant topics.\Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality.\There is one. response:	Rita.
context: Just so you know,\I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality.\There is one.\Rita. response:	Do you think she'll help us?
context: I have greater faith in tomatoes than in anything else in the world.\We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality.\There is one.\Rita.\Do you think she'll help us? response:	She told me she gave up on art.
context: We have to increase our numbers.\Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality.\There is one.\Rita.\Do you think she'll help us?\She told me she gave up on art. response:	Rita would never give up on art.
context: Let's look for people who can rival Shiina's talent.\Easier said than done. Not many people...\can produce work of the same quality.\There is one.\Rita.\Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art. response:	Why not?
context: Easier said than done. Not many people...\can produce work of the same quality.\There is one.\Rita.\Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art.\Why not? response:	Rita loves art.
context: can produce work of the same quality.\There is one.\Rita.\Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art.\Why not?\Rita loves art. response:	She's certainly talented.
context: There is one.\Rita.\Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art.\Why not?\Rita loves art.\She's certainly talented. response:	This is...
context: Rita.\Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art.\Why not?\Rita loves art.\She's certainly talented.\This is... response:	She's already a professional artist?
context: Do you think she'll help us?\She told me she gave up on art.\Rita would never give up on art.\Why not?\Rita loves art.\She's certainly talented.\This is...\She's already a professional artist? response:	You didn't see them?
context: She told me she gave up on art.\Rita would never give up on art.\Why not?\Rita loves art.\She's certainly talented.\This is...\She's already a professional artist?\You didn't see them? response:	See what?
context: Rita would never give up on art.\Why not?\Rita loves art.\She's certainly talented.\This is...\She's already a professional artist?\You didn't see them?\See what? response:	Rita's paintings were at the exhibition.
context: Why not?\Rita loves art.\She's certainly talented.\This is...\She's already a professional artist?\You didn't see them?\See what?\Rita's paintings were at the exhibition. response:	What?
context: Rita loves art.\She's certainly talented.\This is...\She's already a professional artist?\You didn't see them?\See what?\Rita's paintings were at the exhibition.\What? response:	You're kidding!
context: She's certainly talented.\This is...\She's already a professional artist?\You didn't see them?\See what?\Rita's paintings were at the exhibition.\What?\You're kidding! response:	What were you two looking at?
context: This is...\She's already a professional artist?\You didn't see them?\See what?\Rita's paintings were at the exhibition.\What?\You're kidding!\What were you two looking at? response:	Rita.
context: She's already a professional artist?\You didn't see them?\See what?\Rita's paintings were at the exhibition.\What?\You're kidding!\What were you two looking at?\Rita. response:	Rita!
context: You didn't see them?\See what?\Rita's paintings were at the exhibition.\What?\You're kidding!\What were you two looking at?\Rita.\Rita! response:	Rita, I have a favor to ask you.
context: See what?\Rita's paintings were at the exhibition.\What?\You're kidding!\What were you two looking at?\Rita.\Rita!\Rita, I have a favor to ask you. response:	Do you want me to take you back to England?
context: Rita's paintings were at the exhibition.\What?\You're kidding!\What were you two looking at?\Rita.\Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England? response:	Draw Nyapollon with me.
context: What?\You're kidding!\What were you two looking at?\Rita.\Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me. response:	We don't have enough people,
context: You're kidding!\What were you two looking at?\Rita.\Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people, response:	and nobody else can match the quality of Shiina's work.
context: What were you two looking at?\Rita.\Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work. response:	Shiina said you'd be able to do it.
context: Rita.\Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it. response:	I'd appreciate your help, too.
context: Rita!\Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too. response:	I'll have to decline.
context: Rita, I have a favor to ask you.\Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline. response:	I'm not as good as Mashiro.
context: Do you want me to take you back to England?\Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro. response:	That's not true.
context: Draw Nyapollon with me.\We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro.\That's not true. response:	You're a good artist.
context: We don't have enough people,\and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro.\That's not true.\You're a good artist. response:	Please stop.
context: and nobody else can match the quality of Shiina's work.\Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro.\That's not true.\You're a good artist.\Please stop. response:	I've already decided never to draw again.
context: Shiina said you'd be able to do it.\I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro.\That's not true.\You're a good artist.\Please stop.\I've already decided never to draw again. response:	Why?
context: I'd appreciate your help, too.\I'll have to decline.\I'm not as good as Mashiro.\That's not true.\You're a good artist.\Please stop.\I've already decided never to draw again.\Why? response:	You're a great artist.
context: I'll have to decline.\I'm not as good as Mashiro.\That's not true.\You're a good artist.\Please stop.\I've already decided never to draw again.\Why?\You're a great artist. response:	Rita?
context: I'm not as good as Mashiro.\That's not true.\You're a good artist.\Please stop.\I've already decided never to draw again.\Why?\You're a great artist.\Rita? response:	Don't be ridiculous.
context: That's not true.\You're a good artist.\Please stop.\I've already decided never to draw again.\Why?\You're a great artist.\Rita?\Don't be ridiculous. response:	Don't be ridiculous.
context: You're a good artist.\Please stop.\I've already decided never to draw again.\Why?\You're a great artist.\Rita?\Don't be ridiculous.\Don't be ridiculous. response:	I don't want to hear those words from you of all people.
context: Please stop.\I've already decided never to draw again.\Why?\You're a great artist.\Rita?\Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people. response:	Why not?
context: I've already decided never to draw again.\Why?\You're a great artist.\Rita?\Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not? response:	Whose fault do you think it is that I gave up on art?
context: Why?\You're a great artist.\Rita?\Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art? response:	It's all your fault.
context: You're a great artist.\Rita?\Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault. response:	Do you remember the other children...
context: Rita?\Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children... response:	who came to my grandfather's studio?
context: Don't be ridiculous.\Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children...\who came to my grandfather's studio? response:	Did you notice how they disappeared, one by one?
context: Don't be ridiculous.\I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one? response:	You probably don't even remember their names or their faces.
context: I don't want to hear those words from you of all people.\Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces. response:	You only ever looked at your own paintings.
context: Why not?\Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings. response:	Why?
context: Whose fault do you think it is that I gave up on art?\It's all your fault.\Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why? response:	They all grew to hate the art they'd so loved because of you.
context: It's all your fault.\Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you. response:	They couldn't even stand to look at...
context: Do you remember the other children...\who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at... response:	a canvas or a pencil anymore.
context: who came to my grandfather's studio?\Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore. response:	It's my fault?
context: Did you notice how they disappeared, one by one?\You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault? response:	That's right.
context: You probably don't even remember their names or their faces.\You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault?\That's right. response:	No matter how hard I tried,
context: You only ever looked at your own paintings.\Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault?\That's right.\No matter how hard I tried, response:	I couldn't measure up to you.
context: Why?\They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault?\That's right.\No matter how hard I tried,\I couldn't measure up to you. response:	It makes me realize what it means to have true talent.
context: They all grew to hate the art they'd so loved because of you.\They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault?\That's right.\No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent. response:	After ten years, I was the only one left.
context: They couldn't even stand to look at...\a canvas or a pencil anymore.\It's my fault?\That's right.\No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left. response:	You'd swept them all away.
context: a canvas or a pencil anymore.\It's my fault?\That's right.\No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away. response:	Unaware and apathetic,
context: It's my fault?\That's right.\No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic, response:	you didn't care that everyone had left.
context: That's right.\No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left. response:	I couldn't forgive you for being that way.
context: No matter how hard I tried,\I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way. response:	I wished you'd just disappear...
context: I couldn't measure up to you.\It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear... response:	that you'd go somewhere far away...
context: It makes me realize what it means to have true talent.\After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away... response:	so I helped you become a manga artist.
context: After ten years, I was the only one left.\You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist. response:	I figured you deserved a life of drawing boring manga,
context: You'd swept them all away.\Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga, response:	and ruining your own reputation,
context: Unaware and apathetic,\you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation, response:	so you could understand a little of what we felt.
context: you didn't care that everyone had left.\I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt. response:	But...
context: I couldn't forgive you for being that way.\I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt.\But... response:	But why did you have to make your debut?
context: I wished you'd just disappear...\that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt.\But...\But why did you have to make your debut? response:	Rita?
context: that you'd go somewhere far away...\so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt.\But...\But why did you have to make your debut?\Rita? response:	I want you to become the world's most famous painter.
context: so I helped you become a manga artist.\I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt.\But...\But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter. response:	You could have at least let me brag someday...
context: I figured you deserved a life of drawing boring manga,\and ruining your own reputation,\so you could understand a little of what we felt.\But...\But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday... response:	that I once studied at the same studio with you.
context: and ruining your own reputation,\so you could understand a little of what we felt.\But...\But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you. response:	I want to think I'm a part of you.
context: so you could understand a little of what we felt.\But...\But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you. response:	I want to believe I exist inside your talent.
context: But...\But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent. response:	I'm sure Sorata doesn't understand how I feel.
context: But why did you have to make your debut?\Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel. response:	Did you get everything off your chest, freeloader?
context: Rita?\I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader? response:	If you're done, budge.
context: I want you to become the world's most famous painter.\You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge. response:	You're in the way.
context: You could have at least let me brag someday...\that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way. response:	Thanks to you, we've lost precious work time.
context: that I once studied at the same studio with you.\I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time. response:	You could have just walked past me.
context: I want to think I'm a part of you.\I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me. response:	I hate women.
context: I want to believe I exist inside your talent.\I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women. response:	I avoid being near them as much as humanly possible.
context: I'm sure Sorata doesn't understand how I feel.\Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible. response:	You recluse types with computerized friends sure do think differently.
context: Did you get everything off your chest, freeloader?\If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently. response:	I trust computers,
context: If you're done, budge.\You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers, response:	and I am objectively aware that I am a recluse.
context: You're in the way.\Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse. response:	If that was meant as an insult,
context: Thanks to you, we've lost precious work time.\You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult, response:	your mind is further gone than I can possibly fathom.
context: You could have just walked past me.\I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom. response:	Don't mock me!
context: I hate women.\I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me! response:	I'm not mocking you.
context: I avoid being near them as much as humanly possible.\You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you. response:	I just think you're a coward.
context: You recluse types with computerized friends sure do think differently.\I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you.\I just think you're a coward. response:	Smiling those stupid fake smiles.
context: I trust computers,\and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles. response:	Imagine how we must feel...
context: and I am objectively aware that I am a recluse.\If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel... response:	looking at your depressing face.
context: If that was meant as an insult,\your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face. response:	How do you think I feel when I smile?
context: your mind is further gone than I can possibly fathom.\Don't mock me!\I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile? response:	Creating art was my world!
context: Don't mock me!\I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world! response:	Ever since I can remember,
context: I'm not mocking you.\I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember, response:	I've always been told that I would be a fantastic artist!
context: I just think you're a coward.\Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist! response:	But my grandfather told me to stop trying.
context: Smiling those stupid fake smiles.\Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying. response:	I could never outdo Mashiro so I should just stop...
context: Imagine how we must feel...\looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop... response:	There was no point in continuing to paint!
context: looking at your depressing face.\How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint! response:	I know it's cowardly to cling to Mashiro...
context: How do you think I feel when I smile?\Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro... response:	even after being told that!
context: Creating art was my world!\Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that! response:	It's all Mashiro's fault.
context: Ever since I can remember,\I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault. response:	It's her fault for existing!
context: I've always been told that I would be a fantastic artist!\But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault.\It's her fault for existing! response:	I have one question.
context: But my grandfather told me to stop trying.\I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault.\It's her fault for existing!\I have one question. response:	Where was your will in that story?
context: I could never outdo Mashiro so I should just stop...\There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault.\It's her fault for existing!\I have one question.\Where was your will in that story? response:	What?
context: There was no point in continuing to paint!\I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault.\It's her fault for existing!\I have one question.\Where was your will in that story?\What? response:	I understand that people around you...
context: I know it's cowardly to cling to Mashiro...\even after being told that!\It's all Mashiro's fault.\It's her fault for existing!\I have one question.\Where was your will in that story?\What?\I understand that people around you... response:	had high expectations, and you failed to meet them.
context: even after being told that!\It's all Mashiro's fault.\It's her fault for existing!\I have one question.\Where was your will in that story?\What?\I understand that people around you...\had high expectations, and you failed to meet them. response:	But you don't seem to have explained what you want.
context: It's all Mashiro's fault.\It's her fault for existing!\I have one question.\Where was your will in that story?\What?\I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want. response:	Why are you taking such enjoyment from analyzing people?
context: It's her fault for existing!\I have one question.\Where was your will in that story?\What?\I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people? response:	You're a jerk!
context: I have one question.\Where was your will in that story?\What?\I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk! response:	Rita!
context: Where was your will in that story?\What?\I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita! response:	Rita-san!
context: What?\I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita!\Rita-san! response:	Akasaka, let's go after her!
context: I understand that people around you...\had high expectations, and you failed to meet them.\But you don't seem to have explained what you want.\Why are you taking such enjoyment from analyzing people?\You're a jerk!\Rita!\Rita-san!\Akasaka, let's go after her! response:	You go after her.
