context: Raise your arms and face this way. response:	Raise your arms and face this way
context: Everything in sight was shimmering in the extreme heat,\except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me. response:	I apologize.
context: except the Yokohama sea.\Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me.\I apologize. response:	You two wanted to prove that the former boss was not resurrected by Arahabaki,
context: Just the sea, in the distance,\basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki, response:	and it was a hoax put together by enemy gifted, didn't you?
context: basking gently in the moonlight.\That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you? response:	No.
context: That alone is vivid in my memory.\That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No. response:	That was interesting indeed.
context: That moment, I heard the voice of the beast.\It was a voice utterly devoid of emotion.\It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed. response:	Thanks to you, the mystery is solved.
context: It was a voice utterly devoid of emotion.\It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed.\Thanks to you, the mystery is solved. response:	Episode 27
context: It terrified me.\I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27 response:	The God of Fire
context: I apologize.\You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27\The God of Fire response:	A derelict at the edge of town
context: You two wanted to prove that the former boss was not resurrected by Arahabaki,\and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27\The God of Fire\A derelict at the edge of town response:	Chuuya and Dazai collide violently
context: and it was a hoax put together by enemy gifted, didn't you?\No.\That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27\The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently response:	Tell me who's behind it!
context: No.\That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27\The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it! response:	No way!
context: That was interesting indeed.\Thanks to you, the mystery is solved.\Episode 27\The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it!\No way! response:	Chuuya quickly closes in on Dazai
context: Thanks to you, the mystery is solved.\Episode 27\The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai response:	He unleashes a powerful downward kick
context: Episode 27\The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick response:	Dazai kicks the ground beneath him, leaping into the air away from Chuuya
context: The God of Fire\A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya response:	As he descends, he swings down with the club in his hands
context: A derelict at the edge of town\Chuuya and Dazai collide violently\Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands response:	Hup!
context: Chuuya and Dazai collide violently\Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup! response:	Chuuya blocks with both hands
context: Tell me who's behind it!\No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands response:	Agh!
context: No way!\Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands\Agh! response:	Dazai lands on the ground
context: Chuuya quickly closes in on Dazai\He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands\Agh!\Dazai lands on the ground response:	Immediately, Chuuya delivers a storm of punches
context: He unleashes a powerful downward kick\Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands\Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches response:	You don't get it, do you?!
context: Dazai kicks the ground beneath him, leaping into the air away from Chuuya\As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands\Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?! response:	No, I do.
context: As he descends, he swings down with the club in his hands\Hup!\Chuuya blocks with both hands\Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do. response:	Unlike a certain grade-school kid I happen to know!
context: Hup!\Chuuya blocks with both hands\Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know! response:	Dazai takes a step back
context: Chuuya blocks with both hands\Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back response:	Chuuya hammers him relentlessly with his fists
context: Agh!\Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists response:	Come on, come on! You're never going to win if you're always on the defensive!
context: Dazai lands on the ground\Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive! response:	Well, too bad for you.
context: Immediately, Chuuya delivers a storm of punches\You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you. response:	The club emits a destruction beam
context: You don't get it, do you?!\No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam response:	Hang on a second!
context: No, I do.\Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam\Hang on a second! response:	Remember our promise?
context: Unlike a certain grade-school kid I happen to know!\Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam\Hang on a second!\Remember our promise? response:	The loser has to obey one order from the winner, like a dog.
context: Dazai takes a step back\Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam\Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog. response:	Now, what should I have you do?
context: Chuuya hammers him relentlessly with his fists\Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam\Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do? response:	I was so sure I could win, too!
context: Come on, come on! You're never going to win if you're always on the defensive!\Well, too bad for you.\The club emits a destruction beam\Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too! response:	The strength of your ability is your downfall.
context: Well, too bad for you.\The club emits a destruction beam\Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall. response:	It's so strong that you never learn to be cunning or to think tactically,
context: The club emits a destruction beam\Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically, response:	whether it's video games or riddles.
context: Hang on a second!\Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles. response:	Riddles?
context: Remember our promise?\The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles? response:	I don't remember ever doing riddles, let alone losing!
context: The loser has to obey one order from the winner, like a dog.\Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing! response:	Then let's have a contest to see who can catch the perpetrator first.
context: Now, what should I have you do?\I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first. response:	If you win, we can call off the bet we had.
context: I was so sure I could win, too!\The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had. response:	But if I win, you're my dog for life.
context: The strength of your ability is your downfall.\It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life. response:	You're on! I'll do it!
context: It's so strong that you never learn to be cunning or to think tactically,\whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it! response:	I'm neither cunning or tactical?
context: whether it's video games or riddles.\Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical? response:	Why would I ever show you what I have up my sleeve?
context: Riddles?\I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve? response:	Does the fact you always have your fists closed and engage with your opponents
context: I don't remember ever doing riddles, let alone losing!\Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents response:	using just your kicks have something to do with what you have up your sleeve?
context: Then let's have a contest to see who can catch the perpetrator first.\If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve? response:	How I fight is none of your business.
context: If you win, we can call off the bet we had.\But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business. response:	I see.
context: But if I win, you're my dog for life.\You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see. response:	So you're being lazy on purpose.
context: You're on! I'll do it!\I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see.\So you're being lazy on purpose. response:	Say, why are you looking for the god of fire, Arahabaki?
context: I'm neither cunning or tactical?\Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki? response:	What got you interested?
context: Why would I ever show you what I have up my sleeve?\Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested? response:	Why are you so insistent on dying young?
context: Does the fact you always have your fists closed and engage with your opponents\using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young? response:	What's wrong?
context: using just your kicks have something to do with what you have up your sleeve?\How I fight is none of your business.\I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young?\What's wrong? response:	Shut up for a second!
context: How I fight is none of your business.\I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young?\What's wrong?\Shut up for a second! response:	Oh, those two.
context: I see.\So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young?\What's wrong?\Shut up for a second!\Oh, those two. response:	The blue bracelets they're wearing...
context: So you're being lazy on purpose.\Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young?\What's wrong?\Shut up for a second!\Oh, those two.\The blue bracelets they're wearing... response:	They're members of the Sheep, aren't they?
context: Say, why are you looking for the god of fire, Arahabaki?\What got you interested?\Why are you so insistent on dying young?\What's wrong?\Shut up for a second!\Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they? response:	Is there a problem?
context: What got you interested?\Why are you so insistent on dying young?\What's wrong?\Shut up for a second!\Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem? response:	Does this seem like a good time for them to see me?
context: Why are you so insistent on dying young?\What's wrong?\Shut up for a second!\Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me? response:	Hey, Nakahara Chuuya-kun!
context: What's wrong?\Shut up for a second!\Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun! response:	Let's get to work!
context: Shut up for a second!\Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work! response:	Boss's orders!
context: Oh, those two.\The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders! response:	What are you, mental?!
context: The blue bracelets they're wearing...\They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders!\What are you, mental?! response:	Shut up, dammit!
context: They're members of the Sheep, aren't they?\Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders!\What are you, mental?!\Shut up, dammit! response:	Chuuya.
context: Is there a problem?\Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders!\What are you, mental?!\Shut up, dammit!\Chuuya. response:	Finally, there you are.
context: Does this seem like a good time for them to see me?\Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders!\What are you, mental?!\Shut up, dammit!\Chuuya.\Finally, there you are. response:	We were looking for you.
context: Hey, Nakahara Chuuya-kun!\Let's get to work!\Boss's orders!\What are you, mental?!\Shut up, dammit!\Chuuya.\Finally, there you are.\We were looking for you. response:	Hey, guys.
context: Let's get to work!\Boss's orders!\What are you, mental?!\Shut up, dammit!\Chuuya.\Finally, there you are.\We were looking for you.\Hey, guys. response:	You're safe.
context: Boss's orders!\What are you, mental?!\Shut up, dammit!\Chuuya.\Finally, there you are.\We were looking for you.\Hey, guys.\You're safe. response:	Akira and Shougo were abducted by the Port Mafia.
context: What are you, mental?!\Shut up, dammit!\Chuuya.\Finally, there you are.\We were looking for you.\Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia. response:	Let's go to their base and give them some pain.
context: Shut up, dammit!\Chuuya.\Finally, there you are.\We were looking for you.\Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain. response:	Like we always do.
context: Chuuya.\Finally, there you are.\We were looking for you.\Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do. response:	Don't worry about that.
context: Finally, there you are.\We were looking for you.\Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do.\Don't worry about that. response:	We're dealing with that right now.
context: We were looking for you.\Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do.\Don't worry about that.\We're dealing with that right now. response:	Dealing with it?
context: Hey, guys.\You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do.\Don't worry about that.\We're dealing with that right now.\Dealing with it? response:	Yeah, dealing with it.
context: You're safe.\Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do.\Don't worry about that.\We're dealing with that right now.\Dealing with it?\Yeah, dealing with it. response:	Never mind that.
context: Akira and Shougo were abducted by the Port Mafia.\Let's go to their base and give them some pain.\Like we always do.\Don't worry about that.\We're dealing with that right now.\Dealing with it?\Yeah, dealing with it.\Never mind that. response:	Could you tell me what you learned about Arahabaki?
context: Let's go to their base and give them some pain.\Like we always do.\Don't worry about that.\We're dealing with that right now.\Dealing with it?\Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki? response:	Have you discovered anything?
context: Like we always do.\Don't worry about that.\We're dealing with that right now.\Dealing with it?\Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything? response:	Who's he?
context: Don't worry about that.\We're dealing with that right now.\Dealing with it?\Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he? response:	Is he interested in joining?
context: We're dealing with that right now.\Dealing with it?\Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he?\Is he interested in joining? response:	Something like that.
context: Dealing with it?\Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he?\Is he interested in joining?\Something like that. response:	Sorry, but would you mind answering his question?
context: Yeah, dealing with it.\Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he?\Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question? response:	Please.
context: Never mind that.\Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he?\Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question?\Please. response:	Sure, I guess.
context: Could you tell me what you learned about Arahabaki?\Have you discovered anything?\Who's he?\Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question?\Please.\Sure, I guess. response:	Based on our investigation, rumors about people seeing
context: Have you discovered anything?\Who's he?\Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question?\Please.\Sure, I guess.\Based on our investigation, rumors about people seeing response:	the previous boss or the black flame have exploded in the past week.
context: Who's he?\Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question?\Please.\Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week. response:	What's the oldest confirmable rumor?
context: Is he interested in joining?\Something like that.\Sorry, but would you mind answering his question?\Please.\Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor? response:	Probably eight years ago.
context: Something like that.\Sorry, but would you mind answering his question?\Please.\Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago. response:	The giant explosion that created Suribachi City at the end of the conflict.
context: Sorry, but would you mind answering his question?\Please.\Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict. response:	Arahabaki didn't cause any damage prior to that.
context: Please.\Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that. response:	I thought so.
context: Sure, I guess.\Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so. response:	Is this kid really a newcomer to the Sheep?
context: Based on our investigation, rumors about people seeing\the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep? response:	More importantly, let's come up with a plan to get our guys back.
context: the previous boss or the black flame have exploded in the past week.\What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back. response:	They were abducted from the factory road past the river.
context: What's the oldest confirmable rumor?\Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river. response:	Hang on. You went past the river?
context: Probably eight years ago.\The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river? response:	You went to steal booze again?!
context: The giant explosion that created Suribachi City at the end of the conflict.\Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?! response:	So close to the Port Mafia base?!
context: Arahabaki didn't cause any damage prior to that.\I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?! response:	It's right in the middle of the conflict!
context: I thought so.\Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict! response:	It's like asking to be abducted.
context: Is this kid really a newcomer to the Sheep?\More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted. response:	Please don't shout.
context: More importantly, let's come up with a plan to get our guys back.\They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout. response:	We're upholding our defensive policy, aren't we?
context: They were abducted from the factory road past the river.\Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we? response:	Besides, this is a good opportunity.
context: Hang on. You went past the river?\You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity. response:	Lay your hands on the Sheep and we hit back a hundred times harder. Right?
context: You went to steal booze again?!\So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right? response:	Isn't it what you always say?
context: So close to the Port Mafia base?!\It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say? response:	That anyone who has the means others don't,
context: It's right in the middle of the conflict!\It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't, response:	they ought to fulfill that responsibility.
context: It's like asking to be abducted.\Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility. response:	Fulfill your responsibility as someone who has an ability. Please.
context: Please don't shout.\We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please. response:	That's great.
context: We're upholding our defensive policy, aren't we?\Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great. response:	You two sure are interesting.
context: Besides, this is a good opportunity.\Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting. response:	He's the one with the strongest power,
context: Lay your hands on the Sheep and we hit back a hundred times harder. Right?\Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting.\He's the one with the strongest power, response:	and he acts like a sheep in the eyes of wolves.
context: Isn't it what you always say?\That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves. response:	It seems that leading an organization
context: That anyone who has the means others don't,\they ought to fulfill that responsibility.\Fulfill your responsibility as someone who has an ability. Please.\That's great.\You two sure are interesting.\He's the one with the strongest power,\and he acts like a sheep in the eyes of wolves.\It seems that leading an organization response:	is a lot harder than you'd imagine.
