context: I will make it such that those who drank cannot use false names. response:	You can only converse with fellow immortals by using your real names.
context: Where are we going to go now?\Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations response:	would be the Martillo Family and the Gandor Family.
context: Here's the thing about that...\When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family. response:	As such...
context: When you steal money from the mafia,\if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such... response:	let's start by going to the Gandor Family hideout, which is near here.
context: if that money is taken from a really big family,\then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here. response:	Now, today, we're just going to case the place.
context: then a lot of people come after you, and it's a lot of trouble.\The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place. response:	We're going to case the place!
context: The way around that is to go after a smaller family,\not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place! response:	Look, assuming we take that back to them,
context: not affiliated with anyone else.\According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them, response:	you think we're really going to get any money?
context: According to my information, around here, those organizations\would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money? response:	We'll just have to trust them.
context: would be the Martillo Family and the Gandor Family.\As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them. response:	But, Dallas, you saw how easily he killed Scott, right?
context: As such...\let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right? response:	Once he's through with us, he might just eliminate us, too, right?
context: let's start by going to the Gandor Family hideout, which is near here.\Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right? response:	Forget about Scott.
context: Now, today, we're just going to case the place.\We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott. response:	Relax. Those guys want this booze.
context: We're going to case the place!\Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze. response:	So all we have to do is hold the booze at gunpoint.
context: Look, assuming we take that back to them,\you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint. response:	Tell them we won't hand it over until we get our money.
context: you think we're really going to get any money?\We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money. response:	I get you!
context: We'll just have to trust them.\But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you! response:	That shot must have made you smarter, too, didn't it?
context: But, Dallas, you saw how easily he killed Scott, right?\Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it? response:	Huh, Miria... That must be, you know, the organization's graft money.
context: Once he's through with us, he might just eliminate us, too, right?\Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money. response:	A bribe, huh?
context: Forget about Scott.\Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh? response:	The three of them carrying it so cautiously
context: Relax. Those guys want this booze.\So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously response:	in the middle of the night like that must mean...
context: So all we have to do is hold the booze at gunpoint.\Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean... response:	It's money, right?
context: Tell them we won't hand it over until we get our money.\I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right? response:	Right!
context: I get you!\That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right?\Right! response:	So there's only one thing we can do- take that money from them, now!
context: That shot must have made you smarter, too, didn't it?\Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right?\Right!\So there's only one thing we can do- take that money from them, now! response:	Why?
context: Huh, Miria... That must be, you know, the organization's graft money.\A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right?\Right!\So there's only one thing we can do- take that money from them, now!\Why? response:	Because they're carrying it now.
context: A bribe, huh?\The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right?\Right!\So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now. response:	If we come back tomorrow, their safe will be empty.
context: The three of them carrying it so cautiously\in the middle of the night like that must mean...\It's money, right?\Right!\So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty. response:	Oh, yeah! Isaac, you're so smart!
context: in the middle of the night like that must mean...\It's money, right?\Right!\So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart! response:	Hold it!
context: It's money, right?\Right!\So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it! response:	What?!
context: Right!\So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it!\What?! response:	Who are you?!
context: So there's only one thing we can do- take that money from them, now!\Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it!\What?!\Who are you?! response:	The man who came back alive from Reichenbach Falls, for a purpose...
context: Why?\Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it!\What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose... response:	Professor Moriarty!
context: Because they're carrying it now.\If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it!\What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty! response:	Okay, then, make it Jack the Ripper.
context: If we come back tomorrow, their safe will be empty.\Oh, yeah! Isaac, you're so smart!\Hold it!\What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper. response:	Are you trying to mock us?!
context: Oh, yeah! Isaac, you're so smart!\Hold it!\What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?! response:	We don't have time to be messing around with a bastard like you!
context: Hold it!\What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you! response:	Well then, how about messing with me?
context: What?!\Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me? response:	What?
context: Who are you?!\The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What? response:	Isaac- san...
context: The man who came back alive from Reichenbach Falls, for a purpose...\Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What?\Isaac- san... response:	He's so useless.
context: Professor Moriarty!\Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What?\Isaac- san...\He's so useless. response:	What do I do? I can't count on him.
context: Okay, then, make it Jack the Ripper.\Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What?\Isaac- san...\He's so useless.\What do I do? I can't count on him. response:	I can't search out any other immortals like this.
context: Are you trying to mock us?!\We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What?\Isaac- san...\He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this. response:	Back then, before I realized it, I gave out my real name.
context: We don't have time to be messing around with a bastard like you!\Well then, how about messing with me?\What?\Isaac- san...\He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name. response:	Which means that there was another immortal there.
context: Well then, how about messing with me?\What?\Isaac- san...\He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there. response:	I am not about to get devoured.
context: What?\Isaac- san...\He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured. response:	I'll have to devour them, first.
context: Isaac- san...\He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first. response:	Didn't he just die a minute ago?
context: He's so useless.\What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago? response:	Ah, hello.
context: What do I do? I can't count on him.\I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello. response:	You're that man from the newspaper, right?
context: I can't search out any other immortals like this.\Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right? response:	H-Hi there.
context: Back then, before I realized it, I gave out my real name.\Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right?\H-Hi there. response:	Aren't they nice? I bought a whole bunch of them.
context: Which means that there was another immortal there.\I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them. response:	They cut very well.
context: I am not about to get devoured.\I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well. response:	Oh...
context: I'll have to devour them, first.\Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh... response:	You're the man from that newspaper.
context: Didn't he just die a minute ago?\Ah, hello.\You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh...\You're the man from that newspaper. response:	H-Hi there.
context: Ah, hello.\You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh...\You're the man from that newspaper.\H-Hi there. response:	And just what is this about?
context: You're that man from the newspaper, right?\H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh...\You're the man from that newspaper.\H-Hi there.\And just what is this about? response:	Well, as it happens...
context: H-Hi there.\Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh...\You're the man from that newspaper.\H-Hi there.\And just what is this about?\Well, as it happens... response:	Are you Gandor- san?
context: Aren't they nice? I bought a whole bunch of them.\They cut very well.\Oh...\You're the man from that newspaper.\H-Hi there.\And just what is this about?\Well, as it happens...\Are you Gandor- san? response:	Yes, I am.
context: They cut very well.\Oh...\You're the man from that newspaper.\H-Hi there.\And just what is this about?\Well, as it happens...\Are you Gandor- san?\Yes, I am. response:	My name is Eve Genoard.
context: Oh...\You're the man from that newspaper.\H-Hi there.\And just what is this about?\Well, as it happens...\Are you Gandor- san?\Yes, I am.\My name is Eve Genoard. response:	I am Dallas Genoard's younger sister.
context: You're the man from that newspaper.\H-Hi there.\And just what is this about?\Well, as it happens...\Are you Gandor- san?\Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister. response:	Genoard...
context: H-Hi there.\And just what is this about?\Well, as it happens...\Are you Gandor- san?\Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard... response:	Dallas? You mean that filthy punk?!
context: And just what is this about?\Well, as it happens...\Are you Gandor- san?\Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?! response:	You know who my brother is, right?
context: Well, as it happens...\Are you Gandor- san?\Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right? response:	I'm looking for him.
context: Are you Gandor- san?\Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him. response:	Please, tell me where my brother is!
context: Yes, I am.\My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is! response:	You're absolutely certain you want to know?
context: My name is Eve Genoard.\I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know? response:	Then you leave us little choice.
context: I am Dallas Genoard's younger sister.\Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice. response:	Gandor!
context: Genoard...\Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice.\Gandor! response:	We have to find them.
context: Dallas? You mean that filthy punk?!\You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice.\Gandor!\We have to find them. response:	Nice, you and Nick take the roof and head to the dining car.
context: You know who my brother is, right?\I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice.\Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car. response:	Donny, you're with me.
context: I'm looking for him.\Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice.\Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me. response:	Nice, I'll be coming back here for sure, so don't overdo anything.
context: Please, tell me where my brother is!\You're absolutely certain you want to know?\Then you leave us little choice.\Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything. response:	You're pretty passionate, huh, Boss?
context: You're absolutely certain you want to know?\Then you leave us little choice.\Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss? response:	That was our first!
context: Then you leave us little choice.\Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first! response:	Huh?!
context: Gandor!\We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first!\Huh?! response:	Your first? You mean...
context: We have to find them.\Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first!\Huh?!\Your first? You mean... response:	Boss, you and Jacuzzi have been an item for ten years, right?
context: Nice, you and Nick take the roof and head to the dining car.\Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first!\Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right? response:	And yet you never once kissed?!
context: Donny, you're with me.\Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first!\Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?! response:	Come on, Jacuzzi, there are limits to cowardice, you know!
context: Nice, I'll be coming back here for sure, so don't overdo anything.\You're pretty passionate, huh, Boss?\That was our first!\Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know! response:	And that goes for you, too, Boss!
context: You're pretty passionate, huh, Boss?\That was our first!\Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss! response:	So then, why did you kill him, Ladd? It was a good offer, wasn't it?
context: That was our first!\Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it? response:	Indeed it was. But did you see his eyes?
context: Huh?!\Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes? response:	That mug of his said, There's no way I'm gonna get killed here.
context: Your first? You mean...\Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here. response:	He was so convinced that he wasn't going to be killed by us.
context: Boss, you and Jacuzzi have been an item for ten years, right?\And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us. response:	He looked down his nose at me, Ladd Russo- sama!
context: And yet you never once kissed?!\Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama! response:	It's like somehow, my urge-to-kill gauge hit its max!
context: Come on, Jacuzzi, there are limits to cowardice, you know!\And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max! response:	Yeah, but still...
context: And that goes for you, too, Boss!\So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still... response:	But what really galls me is how, right to the very end,
context: So then, why did you kill him, Ladd? It was a good offer, wasn't it?\Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end, response:	he had that look of confidence on his face!
context: Indeed it was. But did you see his eyes?\That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face! response:	Where does he get off, the son of a bitch!
context: That mug of his said, There's no way I'm gonna get killed here.\He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch! response:	Hey!
context: He was so convinced that he wasn't going to be killed by us.\He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey! response:	Keep it down!
context: He looked down his nose at me, Ladd Russo- sama!\It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey!\Keep it down! response:	Look at this!
context: It's like somehow, my urge-to-kill gauge hit its max!\Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey!\Keep it down!\Look at this! response:	This is not good.
context: Yeah, but still...\But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey!\Keep it down!\Look at this!\This is not good. response:	There's no way past.
context: But what really galls me is how, right to the very end,\he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey!\Keep it down!\Look at this!\This is not good.\There's no way past. response:	Have I found myself a new victim?
context: he had that look of confidence on his face!\Where does he get off, the son of a bitch!\Hey!\Keep it down!\Look at this!\This is not good.\There's no way past.\Have I found myself a new victim? response:	What are you doing, Chane?
context: Where does he get off, the son of a bitch!\Hey!\Keep it down!\Look at this!\This is not good.\There's no way past.\Have I found myself a new victim?\What are you doing, Chane? response:	The white suits might come past here to attack.
context: Hey!\Keep it down!\Look at this!\This is not good.\There's no way past.\Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack. response:	Are you trying to protect Guth and those other fools?
context: Keep it down!\Look at this!\This is not good.\There's no way past.\Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools? response:	They are planning to kill you.
context: Look at this!\This is not good.\There's no way past.\Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you. response:	I know.
context: This is not good.\There's no way past.\Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know. response:	Once they have gotten you back, they won't have any use for me.
context: There's no way past.\Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me. response:	Ultimately, what they really need is the secret of immortality.
context: Have I found myself a new victim?\What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality. response:	Their goal is to become immortals themselves.
context: What are you doing, Chane?\The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves. response:	Both you and I don't really matter to them.
context: The white suits might come past here to attack.\Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them. response:	Very smart, Chane.
context: Are you trying to protect Guth and those other fools?\They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane. response:	I gave up my voice in order to protect the knowledge I got from you.
context: They are planning to kill you.\I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you. response:	I'm not scared anymore.
context: I know.\Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore. response:	I'm not afraid of those who are trying to take you from me.
context: Once they have gotten you back, they won't have any use for me.\Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me. response:	Are you saying you will protect me, Chane?
context: Ultimately, what they really need is the secret of immortality.\Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane? response:	You are immortal. You do not age.
context: Their goal is to become immortals themselves.\Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age. response:	In time, I will grow older than you,
context: Both you and I don't really matter to them.\Very smart, Chane.\I gave up my voice in order to protect the knowledge I got from you.\I'm not scared anymore.\I'm not afraid of those who are trying to take you from me.\Are you saying you will protect me, Chane?\You are immortal. You do not age.\In time, I will grow older than you, response:	and in time, I will die, before you.
