context: NO AURA, NO LIFE WE OPPOSE THE SHUTDOWN OF AURA response:	Muginami! That's dangerous!
context: Yes.\What is it about?\I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum. response:	However, there are no archaeological traces from that period.
context: What is it about?\I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period. response:	So therefore you can't analyze it?
context: I just know that a story exists.\20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it? response:	Not too long ago, my answer would have been yes.
context: 20,000 years ago,\civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes. response:	But the truth is different.
context: civilization on Earth once collapsed.\As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different. response:	20,000 years ago, a superior civilization existed on earth.
context: As an archaeologist,\what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth. response:	We are
context: what is your assessment of what the world was like 20,000 years ago?\That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are response:	the descendants of those who left Earth during that time.
context: That would fall under the Last Glacial Maximum.\However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time. response:	I see.
context: However, there are no archaeological traces from that period.\So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time.\I see. response:	So in a way, you and Muginami are both from this planet.
context: So therefore you can't analyze it?\Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet. response:	Aren't you shocked?
context: Not too long ago, my answer would have been yes.\But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked? response:	Sure, I'm shocked.
context: But the truth is different.\20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked. response:	But also a little disappointed.
context: 20,000 years ago, a superior civilization existed on earth.\We are\the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed. response:	I mean,
context: We are\the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed.\I mean, response:	if you're both earthlings, this is like coming home for you.
context: the descendants of those who left Earth during that time.\I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you. response:	Huh? Coming home?
context: I see.\So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home? response:	They're so talented!
context: So in a way, you and Muginami are both from this planet.\Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented! response:	Anyway,
context: Aren't you shocked?\Sure, I'm shocked.\But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented!\Anyway, response:	our ancestors left this planet 20,000 years ago
context: Sure, I'm shocked.\But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago response:	Wow!
context: But also a little disappointed.\I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago\Wow! response:	after a great war took place.
context: I mean,\if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago\Wow!\after a great war took place. response:	It was because the Vox had lost control,
context: if you're both earthlings, this is like coming home for you.\Huh? Coming home?\They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago\Wow!\after a great war took place.\It was because the Vox had lost control, response:	nearly destroying the world.
context: Huh? Coming home?\They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago\Wow!\after a great war took place.\It was because the Vox had lost control,\nearly destroying the world. response:	The giant green demon will sunder the heavens...
context: They're so talented!\Anyway,\our ancestors left this planet 20,000 years ago\Wow!\after a great war took place.\It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens... response:	The giant blue demon will devour the stars...
context: Anyway,\our ancestors left this planet 20,000 years ago\Wow!\after a great war took place.\It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars... response:	The giant orange demon will spew out darkness...
context: our ancestors left this planet 20,000 years ago\Wow!\after a great war took place.\It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness... response:	Through countless sacrifices, they will rule the land.
context: Wow!\after a great war took place.\It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land. response:	Feeding off a tainted heart, they awaken from within the mind.
context: after a great war took place.\It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind. response:	And the demons shall rise.
context: It was because the Vox had lost control,\nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise. response:	This poem has been passed down for generations in Le Garite.
context: nearly destroying the world.\The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite. response:	My older brother used to scare me
context: The giant green demon will sunder the heavens...\The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me response:	by saying a giant blue demon was going to eat me.
context: The giant blue demon will devour the stars...\The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me. response:	A giant blue demon...
context: The giant orange demon will spew out darkness...\Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon... response:	Is that something like the boogeyman?
context: Through countless sacrifices, they will rule the land.\Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman? response:	New nations were established in a faraway galaxy.
context: Feeding off a tainted heart, they awaken from within the mind.\And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy. response:	And a pact was signed to preserve Earth, where man originated.
context: And the demons shall rise.\This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated. response:	We established Earth as an inviolable neutral territory,
context: This poem has been passed down for generations in Le Garite.\My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory, response:	and severed all contact with those who remained.
context: My older brother used to scare me\by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained. response:	For what purpose?
context: by saying a giant blue demon was going to eat me.\A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose? response:	We feared that the Circle of Rin-ne forged by the Vox
context: A giant blue demon...\Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox response:	would once again destroy the world.
context: Is that something like the boogeyman?\New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world. response:	Wait...
context: New nations were established in a faraway galaxy.\And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait... response:	If that's what happened, then why did two come to this planet?
context: And a pact was signed to preserve Earth, where man originated.\We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet? response:	The situation has changed and the Vox has become necessary again.
context: We established Earth as an inviolable neutral territory,\and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again. response:	Oh, I see.
context: and severed all contact with those who remained.\For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see. response:	But this has served to revive the legend as well.
context: For what purpose?\We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well. response:	The legend...
context: We feared that the Circle of Rin-ne forged by the Vox\would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well.\The legend... response:	This is all very interesting.
context: would once again destroy the world.\Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well.\The legend...\This is all very interesting. response:	But I don't know what I can do.
context: Wait...\If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well.\The legend...\This is all very interesting.\But I don't know what I can do. response:	You are an archeologist and have researched the Vox for a long time.
context: If that's what happened, then why did two come to this planet?\The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well.\The legend...\This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time. response:	We'd like you to shed some new light on this legend, from your vantage point.
context: The situation has changed and the Vox has become necessary again.\Oh, I see.\But this has served to revive the legend as well.\The legend...\This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point. response:	I'm not a fan of science fiction.
context: Oh, I see.\But this has served to revive the legend as well.\The legend...\This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction. response:	Let me put it this way then.
context: But this has served to revive the legend as well.\The legend...\This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then. response:	A child who ran away
context: The legend...\This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away response:	because of familial strife, returns now only to claim his inheritance.
context: This is all very interesting.\But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance. response:	What would you do if you were the parent?
context: But I don't know what I can do.\You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent? response:	I'd give him a good punch.
context: You are an archeologist and have researched the Vox for a long time.\We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch. response:	I'm glad we agree!
context: We'd like you to shed some new light on this legend, from your vantage point.\I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree! response:	Thank you very much!
context: I'm not a fan of science fiction.\Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree!\Thank you very much! response:	The giant blue demon...
context: Let me put it this way then.\A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree!\Thank you very much!\The giant blue demon... response:	Madoka, are you still awake?
context: A child who ran away\because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree!\Thank you very much!\The giant blue demon...\Madoka, are you still awake? response:	Lan?
context: because of familial strife, returns now only to claim his inheritance.\What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree!\Thank you very much!\The giant blue demon...\Madoka, are you still awake?\Lan? response:	Yeah, come in.
context: What would you do if you were the parent?\I'd give him a good punch.\I'm glad we agree!\Thank you very much!\The giant blue demon...\Madoka, are you still awake?\Lan?\Yeah, come in. response:	Can I sleep here tonight?
context: I'd give him a good punch.\I'm glad we agree!\Thank you very much!\The giant blue demon...\Madoka, are you still awake?\Lan?\Yeah, come in.\Can I sleep here tonight? response:	Huh?
context: I'm glad we agree!\Thank you very much!\The giant blue demon...\Madoka, are you still awake?\Lan?\Yeah, come in.\Can I sleep here tonight?\Huh? response:	Sure, but what's wrong?
context: Thank you very much!\The giant blue demon...\Madoka, are you still awake?\Lan?\Yeah, come in.\Can I sleep here tonight?\Huh?\Sure, but what's wrong? response:	I thought you might be scared.
context: The giant blue demon...\Madoka, are you still awake?\Lan?\Yeah, come in.\Can I sleep here tonight?\Huh?\Sure, but what's wrong?\I thought you might be scared. response:	Huh?
context: Madoka, are you still awake?\Lan?\Yeah, come in.\Can I sleep here tonight?\Huh?\Sure, but what's wrong?\I thought you might be scared.\Huh? response:	I'll bet you're the one who's actually scared.
context: Lan?\Yeah, come in.\Can I sleep here tonight?\Huh?\Sure, but what's wrong?\I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared. response:	Am not!
context: Yeah, come in.\Can I sleep here tonight?\Huh?\Sure, but what's wrong?\I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared.\Am not! response:	You remembered the scary story from this afternoon and got frightened didn't you?
context: Can I sleep here tonight?\Huh?\Sure, but what's wrong?\I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you? response:	Really?
context: Huh?\Sure, but what's wrong?\I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really? response:	D-Don't be silly!
context: Sure, but what's wrong?\I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly! response:	I'm not a child!
context: I thought you might be scared.\Huh?\I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly!\I'm not a child! response:	Look! A demon!
context: Huh?\I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly!\I'm not a child!\Look! A demon! response:	No!
context: I'll bet you're the one who's actually scared.\Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly!\I'm not a child!\Look! A demon!\No! response:	Huh?
context: Am not!\You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly!\I'm not a child!\Look! A demon!\No!\Huh? response:	There, there, little Lan.
context: You remembered the scary story from this afternoon and got frightened didn't you?\Really?\D-Don't be silly!\I'm not a child!\Look! A demon!\No!\Huh?\There, there, little Lan. response:	You don't have to be afraid anymore.
context: Really?\D-Don't be silly!\I'm not a child!\Look! A demon!\No!\Huh?\There, there, little Lan.\You don't have to be afraid anymore. response:	Midori isn't a demon, right?
context: D-Don't be silly!\I'm not a child!\Look! A demon!\No!\Huh?\There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right? response:	The first time I touched Midori,
context: I'm not a child!\Look! A demon!\No!\Huh?\There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori, response:	I had this nostalgic feeling.
context: Look! A demon!\No!\Huh?\There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling. response:	I think I've known Midori from long ago.
context: No!\Huh?\There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago. response:	I believe that meeting Midori was fate.
context: Huh?\There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate. response:	I love things like that.
context: There, there, little Lan.\You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that. response:	It's so poetic.
context: You don't have to be afraid anymore.\Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that.\It's so poetic. response:	It's illogical.
context: Midori isn't a demon, right?\The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that.\It's so poetic.\It's illogical. response:	And demons are logical?
context: The first time I touched Midori,\I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that.\It's so poetic.\It's illogical.\And demons are logical? response:	Shall we turn in?
context: I had this nostalgic feeling.\I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that.\It's so poetic.\It's illogical.\And demons are logical?\Shall we turn in? response:	Uh-huh.
context: I think I've known Midori from long ago.\I believe that meeting Midori was fate.\I love things like that.\It's so poetic.\It's illogical.\And demons are logical?\Shall we turn in?\Uh-huh. response:	Good night.
context: I believe that meeting Midori was fate.\I love things like that.\It's so poetic.\It's illogical.\And demons are logical?\Shall we turn in?\Uh-huh.\Good night. response:	What are you afraid of?
context: I love things like that.\It's so poetic.\It's illogical.\And demons are logical?\Shall we turn in?\Uh-huh.\Good night.\What are you afraid of? response:	Do I look scared?
context: It's so poetic.\It's illogical.\And demons are logical?\Shall we turn in?\Uh-huh.\Good night.\What are you afraid of?\Do I look scared? response:	If the legend is true...
context: It's illogical.\And demons are logical?\Shall we turn in?\Uh-huh.\Good night.\What are you afraid of?\Do I look scared?\If the legend is true... response:	This time, the Earth really may be destroyed.
context: And demons are logical?\Shall we turn in?\Uh-huh.\Good night.\What are you afraid of?\Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed. response:	That's why I want your help.
context: Shall we turn in?\Uh-huh.\Good night.\What are you afraid of?\Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help. response:	To prevent the tragedy
context: Uh-huh.\Good night.\What are you afraid of?\Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy response:	that occurred 20,000 years ago.
context: Good night.\What are you afraid of?\Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago. response:	As of this moment, all operations associated with Vox Aura will be shut down.
context: What are you afraid of?\Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down. response:	I am banning Madoka Kyono from piloting Aura.
context: Do I look scared?\If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura. response:	What?
context: If the legend is true...\This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What? response:	Why is that?
context: This time, the Earth really may be destroyed.\That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What?\Why is that? response:	Is it because I might cause Midori to lose control again?
context: That's why I want your help.\To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What?\Why is that?\Is it because I might cause Midori to lose control again? response:	Yes, exactly.
context: To prevent the tragedy\that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What?\Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly. response:	But...!
context: that occurred 20,000 years ago.\As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What?\Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly.\But...! response:	Please rescind your orders!
context: As of this moment, all operations associated with Vox Aura will be shut down.\I am banning Madoka Kyono from piloting Aura.\What?\Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly.\But...!\Please rescind your orders! response:	Lan...
context: I am banning Madoka Kyono from piloting Aura.\What?\Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly.\But...!\Please rescind your orders!\Lan... response:	You based your decision on a groundless legend that's never been proven.
context: What?\Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly.\But...!\Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven. response:	I agree with Lan!
context: Why is that?\Is it because I might cause Midori to lose control again?\Yes, exactly.\But...!\Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan! response:	What's wrong with piloting Midori?
context: Is it because I might cause Midori to lose control again?\Yes, exactly.\But...!\Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori? response:	You two...
context: Yes, exactly.\But...!\Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori?\You two... response:	If you know the legend surrounding the Vox,
context: But...!\Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox, response:	I shouldn't have to explain.
context: Please rescind your orders!\Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain. response:	Continuing to operate Aura poses a risk that cannot be ignored.
context: Lan...\You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored. response:	I beg your pardon,
context: You based your decision on a groundless legend that's never been proven.\I agree with Lan!\What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon, response:	but I don't believe we can put up any resistance without Aura.
context: I agree with Lan!\What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura. response:	Please reconsider.
context: What's wrong with piloting Midori?\You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider. response:	Request denied.
context: You two...\If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied. response:	Set up a defense strategy immediately
context: If you know the legend surrounding the Vox,\I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied.\Set up a defense strategy immediately response:	centered on Vox Lympha and Ignis.
context: I shouldn't have to explain.\Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis. response:	But...!
context: Continuing to operate Aura poses a risk that cannot be ignored.\I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...! response:	This is the decision reached by the Novumundus High Council.
context: I beg your pardon,\but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council. response:	It will not be changed.
context: but I don't believe we can put up any resistance without Aura.\Please reconsider.\Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council.\It will not be changed. response:	Things won't go perfect this time around.
context: Please reconsider.\Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around. response:	What will you do, Madoka?
context: Request denied.\Set up a defense strategy immediately\centered on Vox Lympha and Ignis.\But...!\This is the decision reached by the Novumundus High Council.\It will not be changed.\Things won't go perfect this time around.\What will you do, Madoka? response:	Cap, it's Kyono.
