context: Unforgivable! Unforgivable! Unforgivable! response:	What's unforgivable?
context: Tuxedo Mask!\Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean... response:	What if there's no set date?!
context: Motoki!\I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?! response:	The ceremony can be held whenever the grand prize winner wishes,
context: I'm so happy! This is bliss!\Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes, response:	no matter how many years in the future that may be.
context: Oh, but I'm not good at sewing.\I could never make a dress!\Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be. response:	Wow!
context: I could never make a dress!\Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow! response:	All right! Then I better hurry and find...
context: Hey, hey!\It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find... response:	Rei.
context: It's says a free wedding reception,\but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find...\Rei. response:	Oh, Usagi! Rei.
context: but what if the woman doesn't have a fiance... No, I mean...\What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei. response:	Oh, Usagi!
context: What if there's no set date?!\The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei.\Oh, Usagi! response:	What are you doing here?
context: The ceremony can be held whenever the grand prize winner wishes,\no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here? response:	Oh, nothing really!
context: no matter how many years in the future that may be.\Wow!\All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here?\Oh, nothing really! response:	What about you?
context: Wow!\All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here?\Oh, nothing really!\What about you? response:	By the way, your mother is a full-time housewife, right?
context: All right! Then I better hurry and find...\Rei.\Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here?\Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right? response:	Huh? So, what about it?
context: Rei.\Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here?\Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it? response:	Usagi.
context: Oh, Usagi! Rei.\Oh, Usagi!\What are you doing here?\Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi. response:	What do you want?
context: Oh, Usagi!\What are you doing here?\Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi.\What do you want? response:	Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!
context: What are you doing here?\Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?! response:	Rei, what's going on?!
context: Oh, nothing really!\What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?! response:	A handmade wedding dress contest...
context: What about you?\By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest... response:	So, your name is Rei?
context: By the way, your mother is a full-time housewife, right?\Huh? So, what about it?\Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei? response:	Yes!
context: Huh? So, what about it?\Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei?\Yes! response:	Oh, dear...
context: Usagi.\What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei?\Yes!\Oh, dear... response:	I didn't know Usagi had a nice friend like you!
context: What do you want?\Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei?\Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you! response:	Oh, yes! We go to different schools,
context: Handmade Wedding Dress Contest Grand Prize: A Free Wedding Reception First Prize: VCR Deck Second Prize: CD Player Rei, what's going on?!\Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei?\Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools, response:	but we are very good friends!
context: Rei, what's going on?!\A handmade wedding dress contest...\So, your name is Rei?\Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends! response:	How can she say that? She just followed me home.
context: A handmade wedding dress contest...\So, your name is Rei?\Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home. response:	That's my cake!
context: So, your name is Rei?\Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home.\That's my cake! response:	Usagi! She's just unbelievable sometimes.
context: Yes!\Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes. response:	Go ahead, please help yourself.
context: Oh, dear...\I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself. response:	Wow! Thank you! Go ahead, please help yourself.
context: I didn't know Usagi had a nice friend like you!\Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself. response:	Wow! Thank you!
context: Oh, yes! We go to different schools,\but we are very good friends!\How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you! response:	What's going on, Usagi?
context: but we are very good friends!\How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi? response:	I don't know!
context: How can she say that? She just followed me home.\That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi?\I don't know! response:	Your homemade cake is delicious!
context: That's my cake!\Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi?\I don't know!\Your homemade cake is delicious! response:	You must be a wonderful cook!
context: Usagi! She's just unbelievable sometimes.\Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi?\I don't know!\Your homemade cake is delicious!\You must be a wonderful cook! response:	Oh, my!
context: Go ahead, please help yourself.\Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi?\I don't know!\Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my! response:	You goody two shoes! One look, and you can tell it's from
context: Wow! Thank you! Go ahead, please help yourself.\Wow! Thank you!\What's going on, Usagi?\I don't know!\Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from response:	the cake store in front of the train station! Ouch!
context: Wow! Thank you!\What's going on, Usagi?\I don't know!\Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch! response:	That hurt!
context: What's going on, Usagi?\I don't know!\Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt! response:	Usagi is one lucky girl!
context: I don't know!\Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl! response:	You are such a wonderful mother,
context: Your homemade cake is delicious!\You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl!\You are such a wonderful mother, response:	you must also be good at sewing, right?
context: You must be a wonderful cook!\Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right? response:	What?!
context: Oh, my!\You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right?\What?! response:	It has always been my dream to learn sewing
context: You goody two shoes! One look, and you can tell it's from\the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing response:	from somebody wonderful like you!
context: the cake store in front of the train station! Ouch!\That hurt!\Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing\from somebody wonderful like you! response:	For example, sewing a wedding dress.
context: That hurt!\Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress. response:	Sewing, you say?
context: Usagi is one lucky girl!\You are such a wonderful mother,\you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say? response:	Thank you for having me!
context: You are such a wonderful mother,\you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me! response:	If she's not good at sewing, why didn't you just tell me so earlier?!
context: you must also be good at sewing, right?\What?!\It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?! response:	Hey! So, you were planning on making my mom help you
context: What?!\It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you response:	and participate in that wedding dress contest, weren't you?!
context: It has always been my dream to learn sewing\from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?! response:	Why you little, dirty, lying, sneaky, tramp!
context: from somebody wonderful like you!\For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp! response:	You're unbelievable! If you have time for a contest like that,
context: For example, sewing a wedding dress.\Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that, response:	I wish you'd train yourself more
context: Sewing, you say?\Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more response:	in preparation for the monsters' next move!
context: Thank you for having me!\If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move! response:	You too, Usagi!
context: If she's not good at sewing, why didn't you just tell me so earlier?!\Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi! response:	Huh? What? Hey, Usagi!
context: Hey! So, you were planning on making my mom help you\and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi! response:	A wedding dress contest?
context: and participate in that wedding dress contest, weren't you?!\Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest? response:	That's right. And Rei's talking about participating too!
context: Why you little, dirty, lying, sneaky, tramp!\You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too! response:	Ami, doesn't that get on your nerves?!
context: You're unbelievable! If you have time for a contest like that,\I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?! response:	Not really. I don't have any plans to get married anyway.
context: I wish you'd train yourself more\in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway. response:	Don't you get it? It's a dream! A dream! Every girl's dream!
context: in preparation for the monsters' next move!\You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream! response:	Hey, Ami, I know you get good grades in home economics.
context: You too, Usagi!\Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics. response:	Teach me how to sew?
context: Huh? What? Hey, Usagi!\A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew? response:	Well, if you really want me to.
context: A wedding dress contest?\That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to. response:	Yay! I'm not gonna lose to that Rei!
context: That's right. And Rei's talking about participating too!\Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei! response:	What?!
context: Ami, doesn't that get on your nerves?!\Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?! response:	If you want to learn the basics, these should get you started.
context: Not really. I don't have any plans to get married anyway.\Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started. response:	The actual sewing lessons will come after that.
context: Don't you get it? It's a dream! A dream! Every girl's dream!\Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that. response:	Ami, you're something else...
context: Hey, Ami, I know you get good grades in home economics.\Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else... response:	It's mine! No, it's mine! Don't! I'm first! No, you're not!
context: Teach me how to sew?\Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not! response:	I'm the one who'll win the contest! No, I am!
context: Well, if you really want me to.\Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am! response:	I got this first!
context: Yay! I'm not gonna lose to that Rei!\What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first! response:	No, I was first!
context: What?!\If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first! response:	Ms. Haruna... No, I was first!
context: If you want to learn the basics, these should get you started.\The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first!\Ms. Haruna... No, I was first! response:	Ms. Haruna...
context: The actual sewing lessons will come after that.\Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna... response:	Oh, this silk is...
context: Ami, you're something else...\It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is... response:	Beautiful.
context: It's mine! No, it's mine! Don't! I'm first! No, you're not!\I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is...\Beautiful. response:	It is very beautiful.
context: I'm the one who'll win the contest! No, I am!\I got this first!\No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is...\Beautiful.\It is very beautiful. response:	Excuse me?
context: I got this first!\No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is...\Beautiful.\It is very beautiful.\Excuse me? response:	This is a wonderful silk.
context: No, I was first!\Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is...\Beautiful.\It is very beautiful.\Excuse me?\This is a wonderful silk. response:	A silk worthy of becoming your wedding dress.
context: Ms. Haruna... No, I was first!\Ms. Haruna...\Oh, this silk is...\Beautiful.\It is very beautiful.\Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress. response:	Oh, I can just see you standing under a sky full of stars
context: Ms. Haruna...\Oh, this silk is...\Beautiful.\It is very beautiful.\Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars response:	and walking along a shoreline.
context: Oh, this silk is...\Beautiful.\It is very beautiful.\Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline. response:	Every star is sure to sparkle and bestow their blessing upon you.
context: Beautiful.\It is very beautiful.\Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you. response:	Here.
context: It is very beautiful.\Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here. response:	I wish you happiness.
context: Excuse me?\This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness. response:	A grand wedding reception for free?!
context: This is a wonderful silk.\A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness.\A grand wedding reception for free?! response:	I didn't know that.
context: A silk worthy of becoming your wedding dress.\Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness.\A grand wedding reception for free?!\I didn't know that. response:	See? Naru, that's why I have to enter the contest!
context: Oh, I can just see you standing under a sky full of stars\and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness.\A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest! response:	Don't you think so?
context: and walking along a shoreline.\Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness.\A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so? response:	I get it now.
context: Every star is sure to sparkle and bestow their blessing upon you.\Here.\I wish you happiness.\A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now. response:	You nod off all the time during home economics,
context: Here.\I wish you happiness.\A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now.\You nod off all the time during home economics, response:	but you even visited Ms. Akiyama at her home to ask her about sewing.
context: I wish you happiness.\A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing. response:	I knew something fishy was going on.
context: A grand wedding reception for free?!\I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on. response:	Because I just don't know what to do.
context: I didn't know that.\See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do. response:	But making a dress isn't that easy, you know.
context: See? Naru, that's why I have to enter the contest!\Don't you think so?\I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know. response:	Not to mention your short attention span.
context: Don't you think so?\I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span. response:	I'll be fine!
context: I get it now.\You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine! response:	After all, they say, A woman's conviction can crack a rock.
context: You nod off all the time during home economics,\but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock. response:	What does that mean?
context: but you even visited Ms. Akiyama at her home to ask her about sewing.\I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean? response:	Oh? Did I get that saying wrong? What does that mean?
context: I knew something fishy was going on.\Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean? response:	Oh? Did I get that saying wrong?
context: Because I just don't know what to do.\But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong? response:	What the heck is she up to?
context: But making a dress isn't that easy, you know.\Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to? response:	Juban Heights Hey, who is the guy?
context: Not to mention your short attention span.\I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy? response:	Juban Heights He and the bouquet don't go well together.
context: I'll be fine!\After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy?\Juban Heights He and the bouquet don't go well together. response:	He and the bouquet don't go well together.
context: After all, they say, A woman's conviction can crack a rock.\What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy?\Juban Heights He and the bouquet don't go well together.\He and the bouquet don't go well together. response:	He looks like a loser.
context: What does that mean?\Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy?\Juban Heights He and the bouquet don't go well together.\He and the bouquet don't go well together.\He looks like a loser. response:	You shouldn't say things like that.
context: Oh? Did I get that saying wrong? What does that mean?\Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy?\Juban Heights He and the bouquet don't go well together.\He and the bouquet don't go well together.\He looks like a loser.\You shouldn't say things like that. response:	He's visiting Ms. Akiyama's apartment!
context: Oh? Did I get that saying wrong?\What the heck is she up to?\Juban Heights Hey, who is the guy?\Juban Heights He and the bouquet don't go well together.\He and the bouquet don't go well together.\He looks like a loser.\You shouldn't say things like that.\He's visiting Ms. Akiyama's apartment! response:	Don't tell me that's...
