context: Crap, that's the second bell. response:	We're not going to make it!
context: Yeah.\Let us help you with that, Kud-o.\Th-Thank you!\May I help you?\No, um, that's what we're supposed to say.\Um...\In this case, it's...\Help me! response:	That makes us sound like dangerous people.
context: Let us help you with that, Kud-o.\Th-Thank you!\May I help you?\No, um, that's what we're supposed to say.\Um...\In this case, it's...\Help me!\That makes us sound like dangerous people. response:	Th-That was wrong?
context: Th-Thank you!\May I help you?\No, um, that's what we're supposed to say.\Um...\In this case, it's...\Help me!\That makes us sound like dangerous people.\Th-That was wrong? response:	Help you?
context: May I help you?\No, um, that's what we're supposed to say.\Um...\In this case, it's...\Help me!\That makes us sound like dangerous people.\Th-That was wrong?\Help you? response:	So we're being helped?
context: No, um, that's what we're supposed to say.\Um...\In this case, it's...\Help me!\That makes us sound like dangerous people.\Th-That was wrong?\Help you?\So we're being helped? response:	Um...
context: Um...\In this case, it's...\Help me!\That makes us sound like dangerous people.\Th-That was wrong?\Help you?\So we're being helped?\Um... response:	You're taking these to your room, right?
context: In this case, it's...\Help me!\That makes us sound like dangerous people.\Th-That was wrong?\Help you?\So we're being helped?\Um...\You're taking these to your room, right? response:	Th-Thank you very much.
context: Help me!\That makes us sound like dangerous people.\Th-That was wrong?\Help you?\So we're being helped?\Um...\You're taking these to your room, right?\Th-Thank you very much. response:	But, um... Boys can't come into the girls' dorm.
context: That makes us sound like dangerous people.\Th-That was wrong?\Help you?\So we're being helped?\Um...\You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm. response:	I heard recently that the Disciplinary Committee posts guards around it...
context: Th-That was wrong?\Help you?\So we're being helped?\Um...\You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it... response:	Alright! Leave this to me!
context: Help you?\So we're being helped?\Um...\You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me! response:	O-Okay.
context: So we're being helped?\Um...\You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay. response:	Thank you very much!
context: Um...\You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay.\Thank you very much! response:	So this is your room?
context: You're taking these to your room, right?\Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay.\Thank you very much!\So this is your room? response:	You have some sophisticated tastes.
context: Th-Thank you very much.\But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay.\Thank you very much!\So this is your room?\You have some sophisticated tastes. response:	My grandpa loves Japan.
context: But, um... Boys can't come into the girls' dorm.\I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay.\Thank you very much!\So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan. response:	He sends a lot of things to help me blend in with Japanese culture.
context: I heard recently that the Disciplinary Committee posts guards around it...\Alright! Leave this to me!\O-Okay.\Thank you very much!\So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture. response:	Are you staying alone in this room?
context: Alright! Leave this to me!\O-Okay.\Thank you very much!\So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room? response:	Yes. I don't have a roommate.
context: O-Okay.\Thank you very much!\So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate. response:	It's...
context: Thank you very much!\So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate.\It's... response:	a bit lonely.
context: So this is your room?\You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate.\It's...\a bit lonely. response:	You two are roommates, right?
context: You have some sophisticated tastes.\My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate.\It's...\a bit lonely.\You two are roommates, right? response:	Yeah. You can call us musclemates, too.
context: My grandpa loves Japan.\He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate.\It's...\a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too. response:	No idea what musclemates are, but we are roommates.
context: He sends a lot of things to help me blend in with Japanese culture.\Are you staying alone in this room?\Yes. I don't have a roommate.\It's...\a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates. response:	How did you become roommates?
context: Are you staying alone in this room?\Yes. I don't have a roommate.\It's...\a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates? response:	We submitted a request, and they granted it.
context: Yes. I don't have a roommate.\It's...\a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it. response:	We've known each other since we were kids, so the RA probably took that into consideration.
context: It's...\a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration. response:	Friends from childhood?
context: a bit lonely.\You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood? response:	Being good friends is a very good thing.
context: You two are roommates, right?\Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing. response:	What's wrong?
context: Yeah. You can call us musclemates, too.\No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing.\What's wrong? response:	When I was little, I moved from country to country, so I've never known anyone for that long.
context: No idea what musclemates are, but we are roommates.\How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long. response:	And... I have a hard time making friends.
context: How did you become roommates?\We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends. response:	Come on. Say something.
context: We submitted a request, and they granted it.\We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something. response:	Do you want a roommate, Kud?
context: We've known each other since we were kids, so the RA probably took that into consideration.\Friends from childhood?\Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud? response:	Yes.
context: Friends from childhood?\Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud?\Yes. response:	I hope I can find one.
context: Being good friends is a very good thing.\What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud?\Yes.\I hope I can find one. response:	I don't like being alone.
context: What's wrong?\When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud?\Yes.\I hope I can find one.\I don't like being alone. response:	Oh, really?
context: When I was little, I moved from country to country, so I've never known anyone for that long.\And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud?\Yes.\I hope I can find one.\I don't like being alone.\Oh, really? response:	Sounds like you get lonely easily.
context: And... I have a hard time making friends.\Come on. Say something.\Do you want a roommate, Kud?\Yes.\I hope I can find one.\I don't like being alone.\Oh, really?\Sounds like you get lonely easily. response:	That's not...
context: Come on. Say something.\Do you want a roommate, Kud?\Yes.\I hope I can find one.\I don't like being alone.\Oh, really?\Sounds like you get lonely easily.\That's not... response:	completely true...
context: Do you want a roommate, Kud?\Yes.\I hope I can find one.\I don't like being alone.\Oh, really?\Sounds like you get lonely easily.\That's not...\completely true... response:	or completely false...
context: Yes.\I hope I can find one.\I don't like being alone.\Oh, really?\Sounds like you get lonely easily.\That's not...\completely true...\or completely false... response:	So basically, you need someone in your room to be on muscles duty.
context: I hope I can find one.\I don't like being alone.\Oh, really?\Sounds like you get lonely easily.\That's not...\completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty. response:	That's an interesting duty...
context: I don't like being alone.\Oh, really?\Sounds like you get lonely easily.\That's not...\completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty... response:	How about Riki?
context: Oh, really?\Sounds like you get lonely easily.\That's not...\completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki? response:	He might not look it, but he's got some good muscles under those clothes.
context: Sounds like you get lonely easily.\That's not...\completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes. response:	He'll be an amazing muscles dutyman in the future.
context: That's not...\completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future. response:	Naoe-san? Really?!
context: completely true...\or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?! response:	Um...
context: or completely false...\So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um... response:	Well, um...
context: So basically, you need someone in your room to be on muscles duty.\That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um...\Well, um... response:	You wouldn't feel lonely with Riki here, right?
context: That's an interesting duty...\How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um...\Well, um...\You wouldn't feel lonely with Riki here, right? response:	Huh?
context: How about Riki?\He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um...\Well, um...\You wouldn't feel lonely with Riki here, right?\Huh? response:	But wouldn't that mean I'd be alone?
context: He might not look it, but he's got some good muscles under those clothes.\He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um...\Well, um...\You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone? response:	No!
context: He'll be an amazing muscles dutyman in the future.\Naoe-san? Really?!\Um...\Well, um...\You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone?\No! response:	Riki!
context: Naoe-san? Really?!\Um...\Well, um...\You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone?\No!\Riki! response:	Then it'd be like you didn't like me anymore!
context: Um...\Well, um...\You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone?\No!\Riki!\Then it'd be like you didn't like me anymore! response:	Don't cry just from imagining it...
context: Well, um...\You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone?\No!\Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it... response:	My heart is as naive as toilet paper.
context: You wouldn't feel lonely with Riki here, right?\Huh?\But wouldn't that mean I'd be alone?\No!\Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper. response:	Please keep that in mind.
context: Huh?\But wouldn't that mean I'd be alone?\No!\Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind. response:	Maybe you should train that instead of your muscles.
context: But wouldn't that mean I'd be alone?\No!\Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles. response:	Wafu!
context: No!\Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu! response:	Roommates are as wonderful as I thought!
context: Riki!\Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought! response:	Why don't you ask the RA about it, Kud?
context: Then it'd be like you didn't like me anymore!\Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud? response:	The RA?
context: Don't cry just from imagining it...\My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA? response:	I'll go ask now!
context: My heart is as naive as toilet paper.\Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now! response:	Okay.
context: Please keep that in mind.\Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now!\Okay. response:	I'll sign off on the search and the move.
context: Maybe you should train that instead of your muscles.\Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now!\Okay.\I'll sign off on the search and the move. response:	Really?
context: Wafu!\Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now!\Okay.\I'll sign off on the search and the move.\Really? response:	But the new term just started.
context: Roommates are as wonderful as I thought!\Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now!\Okay.\I'll sign off on the search and the move.\Really?\But the new term just started. response:	It'll be hard finding someone who wants to change rooms.
context: Why don't you ask the RA about it, Kud?\The RA?\I'll go ask now!\Okay.\I'll sign off on the search and the move.\Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms. response:	I see...
context: The RA?\I'll go ask now!\Okay.\I'll sign off on the search and the move.\Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see... response:	Anyway, I'll put a memo on the billboard for you about looking for a roommate.
context: I'll go ask now!\Okay.\I'll sign off on the search and the move.\Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate. response:	I'll send something out on the mailing list about it too.
context: Okay.\I'll sign off on the search and the move.\Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too. response:	But if no one responds, we'll end the search there.
context: I'll sign off on the search and the move.\Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there. response:	Is that okay with you?
context: Really?\But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you? response:	Yes!
context: But the new term just started.\It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you?\Yes! response:	You okay?
context: It'll be hard finding someone who wants to change rooms.\I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you?\Yes!\You okay? response:	I'm kind of excited.
context: I see...\Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you?\Yes!\You okay?\I'm kind of excited. response:	I hope you can find someone.
context: Anyway, I'll put a memo on the billboard for you about looking for a roommate.\I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you?\Yes!\You okay?\I'm kind of excited.\I hope you can find someone. response:	Yes. We'll be together for a long time.
context: I'll send something out on the mailing list about it too.\But if no one responds, we'll end the search there.\Is that okay with you?\Yes!\You okay?\I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time. response:	But now that that's over, you boys had better go back to your dorm.
context: But if no one responds, we'll end the search there.\Is that okay with you?\Yes!\You okay?\I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm. response:	If the Disciplinary Committee finds you, they'll kill you.
context: Is that okay with you?\Yes!\You okay?\I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you. response:	It seems it's always you people causing trouble.
context: Yes!\You okay?\I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble. response:	But this is quite a blatant infraction right here.
context: You okay?\I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here. response:	I'm sorry.
context: I'm kind of excited.\I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry. response:	Naoe-san and Inohara-san came here to help me
context: I hope you can find someone.\Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me response:	Regardless of the reason, boys are not allowed in the girls' dorm.
context: Yes. We'll be together for a long time.\But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm. response:	You will be punished.
context: But now that that's over, you boys had better go back to your dorm.\If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished. response:	All three of you will be writing formal apologies.
context: If the Disciplinary Committee finds you, they'll kill you.\It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies. response:	Now come with me.
context: It seems it's always you people causing trouble.\But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies.\Now come with me. response:	Yes, ma'am...
context: But this is quite a blatant infraction right here.\I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am... response:	Pick up the pace!
context: I'm sorry.\Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am...\Pick up the pace! response:	Damn it, it's like her blood ain't red!
context: Naoe-san and Inohara-san came here to help me\Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red! response:	Futaki Kanata, the Ice Queen of the Disciplinary Committee?
context: Regardless of the reason, boys are not allowed in the girls' dorm.\You will be punished.\All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee? response:	Yeah.
context: You will be punished.\All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah. response:	Her and the counselor held us for an hour after that to wring us out,
context: All three of you will be writing formal apologies.\Now come with me.\Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out, response:	threaten us,
context: Now come with me.\Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us, response:	and lecture us!
context: Yes, ma'am...\Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us! response:	I'm very sorry about that.
context: Pick up the pace!\Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us!\I'm very sorry about that. response:	It's not your fault.
context: Damn it, it's like her blood ain't red!\Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us!\I'm very sorry about that.\It's not your fault. response:	Hey now, Kud-o.
context: Futaki Kanata, the Ice Queen of the Disciplinary Committee?\Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us!\I'm very sorry about that.\It's not your fault.\Hey now, Kud-o. response:	Your tiny body'll get tinier if you're down.
context: Yeah.\Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us!\I'm very sorry about that.\It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down. response:	Well, speak of the devil.
context: Her and the counselor held us for an hour after that to wring us out,\threaten us,\and lecture us!\I'm very sorry about that.\It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil. response:	We're waiting on approval from the student council's executive committee for that.
context: threaten us,\and lecture us!\I'm very sorry about that.\It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that. response:	You know what that means.
context: and lecture us!\I'm very sorry about that.\It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means. response:	We're cracking down extra hard on rule-breakers this month.
context: I'm very sorry about that.\It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month. response:	That was so scary!
context: It's not your fault.\Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary! response:	Yes...
context: Hey now, Kud-o.\Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes... response:	Don't worry about it.
context: Your tiny body'll get tinier if you're down.\Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes...\Don't worry about it. response:	More importantly, about Noumi's search for a roommate
context: Well, speak of the devil.\We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate response:	Hey, hey, Kud-o! I saw your ad in the mailing list!
context: We're waiting on approval from the student council's executive committee for that.\You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list! response:	I'm in a triple, so I'm full up!
context: You know what that means.\We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up! response:	It's too bad!
context: We're cracking down extra hard on rule-breakers this month.\That was so scary!\Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad! response:	I would spin you around three times a day if we were roommates!
context: That was so scary!\Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates! response:	Y-Yes...
context: Yes...\Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes... response:	Komari, don't you have a roommate too?
context: Don't worry about it.\More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too? response:	I do. Sorry, Kuu-chan...
context: More importantly, about Noumi's search for a roommate\Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan... response:	That's okay.
context: Hey, hey, Kud-o! I saw your ad in the mailing list!\I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay. response:	What about you, Rin?
context: I'm in a triple, so I'm full up!\It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin? response:	You don't have a roommate, right?
context: It's too bad!\I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin?\You don't have a roommate, right? response:	Really?
context: I would spin you around three times a day if we were roommates!\Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin?\You don't have a roommate, right?\Really? response:	Rin, how about it?
context: Y-Yes...\Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin?\You don't have a roommate, right?\Really?\Rin, how about it? response:	Sorry!
context: Komari, don't you have a roommate too?\I do. Sorry, Kuu-chan...\That's okay.\What about you, Rin?\You don't have a roommate, right?\Really?\Rin, how about it?\Sorry! response:	When is she going to get over her shyness?
