context: In the northern area... response:	Multiple Ashikabis and Sekireis are moving suspiciously...
context: Takami-kun, I'm the Game Master.\Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange. response:	What's wrong?
context: Games are more exciting when the players make improvised moves.\As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong? response:	The soldiers are moving too fast.
context: As the Game Master,\I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong?\The soldiers are moving too fast. response:	In addition to that, their numbers are increasing quickly.
context: I have but to enjoy it.\Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly. response:	Emergency alarm!
context: Trains on all the lines have stopped.\Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm! response:	Everybody, move away from where you are immediately!
context: Good! How about the checkpoint?\Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately! response:	Move away? To where?
context: Kusano-tan's diversionary tactic is also succe...\That's strange.\What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where? response:	Wherever you can.
context: That's strange.\What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can. response:	It's likely MBI figured out our plans.
context: What's wrong?\The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can.\It's likely MBI figured out our plans. response:	Ku-chan!
context: The soldiers are moving too fast.\In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can.\It's likely MBI figured out our plans.\Ku-chan! response:	It's so exciting, isn't it, Takami-kun?
context: In addition to that, their numbers are increasing quickly.\Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can.\It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun? response:	Shit!
context: Emergency alarm!\Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can.\It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit! response:	They've read our movements, huh?
context: Everybody, move away from where you are immediately!\Move away? To where?\Wherever you can.\It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh? response:	We're completely surrounded.
context: Move away? To where?\Wherever you can.\It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh?\We're completely surrounded. response:	I'll find an escape route right now.
context: Wherever you can.\It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now. response:	The three of us can manage somehow.
context: It's likely MBI figured out our plans.\Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow. response:	But... those guys are...
context: Ku-chan!\It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are... response:	Sorry, our aim was off!
context: It's so exciting, isn't it, Takami-kun?\Shit!\They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off! response:	Be careful!
context: Shit!\They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off!\Be careful! response:	The cell phone's dead!
context: They've read our movements, huh?\We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off!\Be careful!\The cell phone's dead! response:	Anyway, we'll leave here now!
context: We're completely surrounded.\I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off!\Be careful!\The cell phone's dead!\Anyway, we'll leave here now! response:	Seo-tan?! Seo-tan! What happened?!
context: I'll find an escape route right now.\The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off!\Be careful!\The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?! response:	Matsu-san!
context: The three of us can manage somehow.\But... those guys are...\Sorry, our aim was off!\Be careful!\The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san! response:	Y-Yes!
context: But... those guys are...\Sorry, our aim was off!\Be careful!\The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes! response:	I'm going to help Ku-chan.
context: Sorry, our aim was off!\Be careful!\The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes!\I'm going to help Ku-chan. response:	Don't be crazy, Mina-tan!
context: Be careful!\The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan! response:	I can't run away leaving Ku-chan behind.
context: The cell phone's dead!\Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind. response:	But if the Discipline Squad is there...
context: Anyway, we'll leave here now!\Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there... response:	Even though you're an Ashikabi, you'll be killed without any mercy!
context: Seo-tan?! Seo-tan! What happened?!\Matsu-san!\Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy! response:	Killed?!
context: Matsu-san!\Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?! response:	Even so, I have to go!
context: Y-Yes!\I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go! response:	I promised Ku-chan.
context: I'm going to help Ku-chan.\Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go!\I promised Ku-chan. response:	Don't worry. I'm right here.
context: Don't be crazy, Mina-tan!\I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here. response:	Please stay with me, big brother.
context: I can't run away leaving Ku-chan behind.\But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother. response:	So I have to go. I'm sorry.
context: But if the Discipline Squad is there...\Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry. response:	And yet thou hidest thyself in this place...
context: Even though you're an Ashikabi, you'll be killed without any mercy!\Killed?!\Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place... response:	In the end, thou art the same as those two!
context: Killed?!\Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two! response:	Let's go, Minato-san!
context: Even so, I have to go!\I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san! response:	Yeah.
context: I promised Ku-chan.\Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah. response:	Shigi-kun, go ahead toward the railway bridge.
context: Don't worry. I'm right here.\Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge. response:	Matsu-san?
context: Please stay with me, big brother.\So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san? response:	There's a change in the plan.
context: So I have to go. I'm sorry.\And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan. response:	A change?
context: And yet thou hidest thyself in this place...\In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan.\A change? response:	The four of you, continue forward toward the rail bridge, please.
context: In the end, thou art the same as those two!\Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please. response:	What do you mean?
context: Let's go, Minato-san!\Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean? response:	Leave Kusano-tan up to me!
context: Yeah.\Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me! response:	Why am I so irritated about this?
context: Shigi-kun, go ahead toward the railway bridge.\Matsu-san?\There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this? response:	It's nothing to do with me.
context: Matsu-san?\There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me. response:	W-What's going on?!
context: There's a change in the plan.\A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?! response:	I, Matsu, will save Kusano-tan without fail!
context: A change?\The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail! response:	M-Matsu?!
context: The four of you, continue forward toward the rail bridge, please.\What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?! response:	This sound of exhaust!
context: What do you mean?\Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust! response:	Didst thou not say thou couldst not leave Maison Izumo?!
context: Leave Kusano-tan up to me!\Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?! response:	Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.
context: Why am I so irritated about this?\It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk. response:	So even I can take a risk sometimes.
context: It's nothing to do with me.\W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes. response:	Oh, my, that disturbs the neighbors.
context: W-What's going on?!\I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors. response:	Even armored trucks are out and around now, huh?
context: I, Matsu, will save Kusano-tan without fail!\M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh? response:	You!
context: M-Matsu?!\This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You! response:	Bummer! There are soldiers all over.
context: This sound of exhaust!\Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over. response:	I wonder if the other guys are fine.
context: Didst thou not say thou couldst not leave Maison Izumo?!\Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine. response:	Everything rests on their luck, now.
context: Mina-tan is... that wimpy Mina-tan is doing his best, even putting his life at risk.\So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now. response:	This is the bridge.
context: So even I can take a risk sometimes.\Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge. response:	Will Ku-chan be all right?
context: Oh, my, that disturbs the neighbors.\Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right? response:	Matsu-san told me she'd save her without fail.
context: Even armored trucks are out and around now, huh?\You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail. response:	I believe in her.
context: You!\Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her. response:	Shit!
context: Bummer! There are soldiers all over.\I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her.\Shit! response:	Is the tear gas ready?
context: I wonder if the other guys are fine.\Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her.\Shit!\Is the tear gas ready? response:	Yes!
context: Everything rests on their luck, now.\This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her.\Shit!\Is the tear gas ready?\Yes! response:	Big brother!
context: This is the bridge.\Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her.\Shit!\Is the tear gas ready?\Yes!\Big brother! response:	Ready!
context: Will Ku-chan be all right?\Matsu-san told me she'd save her without fail.\I believe in her.\Shit!\Is the tear gas ready?\Yes!\Big brother!\Ready! response:	Fire! Fire!
context: Matsu-san told me she'd save her without fail.\I believe in her.\Shit!\Is the tear gas ready?\Yes!\Big brother!\Ready!\Fire! Fire! response:	Kusano-tan, it's Matsu! Matsu is here for you!
context: I believe in her.\Shit!\Is the tear gas ready?\Yes!\Big brother!\Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you! response:	Maa-chan!
context: Shit!\Is the tear gas ready?\Yes!\Big brother!\Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan! response:	I secured Kusano-tan!
context: Is the tear gas ready?\Yes!\Big brother!\Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan! response:	Great...
context: Yes!\Big brother!\Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan!\Great... response:	But wait! Matsu-san, isn't it bad that you're outside?!
context: Big brother!\Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?! response:	Oh well, it's too late to back out now.
context: Ready!\Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now. response:	Now that I've stepped outside, I won't end up just running away!
context: Fire! Fire!\Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away! response:	Kusano-tan, please go all-out!
context: Kusano-tan, it's Matsu! Matsu is here for you!\Maa-chan!\I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out! response:	Right!
context: Maa-chan!\I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right! response:	Fire!
context: I secured Kusano-tan!\Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right!\Fire! response:	Right!
context: Great...\But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right!\Fire!\Right! response:	What? A toy?
context: But wait! Matsu-san, isn't it bad that you're outside?!\Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right!\Fire!\Right!\What? A toy? response:	We'll paralyze the capital,
context: Oh well, it's too late to back out now.\Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right!\Fire!\Right!\What? A toy?\We'll paralyze the capital, response:	and sow enough confusion so that Sekireis will be the least of our enemies' concerns!
context: Now that I've stepped outside, I won't end up just running away!\Kusano-tan, please go all-out!\Right!\Fire!\Right!\What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns! response:	An emergency in Block C!
context: Kusano-tan, please go all-out!\Right!\Fire!\Right!\What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C! response:	A water pipe's exploded!
context: Right!\Fire!\Right!\What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded! response:	Call from a civilian in Block D!
context: Fire!\Right!\What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D! response:	Report the situation! What happened?!
context: Right!\What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?! response:	This is Block A. Unusual vegetation is...
context: What? A toy?\We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is... response:	I'm sorry, but please sleep for a while.
context: We'll paralyze the capital,\and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while. response:	Incredible...
context: and sow enough confusion so that Sekireis will be the least of our enemies' concerns!\An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible... response:	Now, let's go!
context: An emergency in Block C!\A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible...\Now, let's go! response:	R-Right...
context: A water pipe's exploded!\Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible...\Now, let's go!\R-Right... response:	Huh? It's so noisy.
context: Call from a civilian in Block D!\Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible...\Now, let's go!\R-Right...\Huh? It's so noisy. response:	What time is it now?
context: Report the situation! What happened?!\This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible...\Now, let's go!\R-Right...\Huh? It's so noisy.\What time is it now? response:	What's the matter?
context: This is Block A. Unusual vegetation is...\I'm sorry, but please sleep for a while.\Incredible...\Now, let's go!\R-Right...\Huh? It's so noisy.\What time is it now?\What's the matter? response:	It's Ku.
context: I'm sorry, but please sleep for a while.\Incredible...\Now, let's go!\R-Right...\Huh? It's so noisy.\What time is it now?\What's the matter?\It's Ku. response:	Are you sure it's Ku-chan?
context: Incredible...\Now, let's go!\R-Right...\Huh? It's so noisy.\What time is it now?\What's the matter?\It's Ku.\Are you sure it's Ku-chan? response:	I have no doubt!
context: Now, let's go!\R-Right...\Huh? It's so noisy.\What time is it now?\What's the matter?\It's Ku.\Are you sure it's Ku-chan?\I have no doubt! response:	They're out just in time.
context: R-Right...\Huh? It's so noisy.\What time is it now?\What's the matter?\It's Ku.\Are you sure it's Ku-chan?\I have no doubt!\They're out just in time. response:	All right! We're almost to the prefectural border!
context: Huh? It's so noisy.\What time is it now?\What's the matter?\It's Ku.\Are you sure it's Ku-chan?\I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border! response:	A little bit more, Kuno-san!
context: What time is it now?\What's the matter?\It's Ku.\Are you sure it's Ku-chan?\I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san! response:	Y-Yes!
context: What's the matter?\It's Ku.\Are you sure it's Ku-chan?\I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes! response:	That's right. Once we cross there, we'll be free.
context: It's Ku.\Are you sure it's Ku-chan?\I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free. response:	I can call everyone now and...
context: Are you sure it's Ku-chan?\I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and... response:	Stop, please!
context: I have no doubt!\They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please! response:	Jeez, you guys! Where do you think you're going?
context: They're out just in time.\All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going? response:	You know that from here on is the outside of the capital.
context: All right! We're almost to the prefectural border!\A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital. response:	Those who try to escape need to be punished harshly.
context: A little bit more, Kuno-san!\Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly. response:	These guys are...
context: Y-Yes!\That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are... response:	The Discipline Squad, number 104, Haihane.
context: That's right. Once we cross there, we'll be free.\I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane. response:	Likewise, number 105, Benitsubasa.
context: I can call everyone now and...\Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa. response:	The Discipline Squad!
context: Stop, please!\Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad! response:	Shit!
context: Jeez, you guys! Where do you think you're going?\You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit! response:	Number 88, Musubi.
context: You know that from here on is the outside of the capital.\Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit!\Number 88, Musubi. response:	I won't lose to someone junior to me!
context: Those who try to escape need to be punished harshly.\These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit!\Number 88, Musubi.\I won't lose to someone junior to me! response:	We'll cross this bridge!
context: These guys are...\The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit!\Number 88, Musubi.\I won't lose to someone junior to me!\We'll cross this bridge! response:	Musubi-chan!
context: The Discipline Squad, number 104, Haihane.\Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit!\Number 88, Musubi.\I won't lose to someone junior to me!\We'll cross this bridge!\Musubi-chan! response:	Now we're the one starting the fight...
context: Likewise, number 105, Benitsubasa.\The Discipline Squad!\Shit!\Number 88, Musubi.\I won't lose to someone junior to me!\We'll cross this bridge!\Musubi-chan!\Now we're the one starting the fight... response:	How fun! It was worth the wait.
context: The Discipline Squad!\Shit!\Number 88, Musubi.\I won't lose to someone junior to me!\We'll cross this bridge!\Musubi-chan!\Now we're the one starting the fight...\How fun! It was worth the wait. response:	Have we been underestimated? I don't like that.
context: Shit!\Number 88, Musubi.\I won't lose to someone junior to me!\We'll cross this bridge!\Musubi-chan!\Now we're the one starting the fight...\How fun! It was worth the wait.\Have we been underestimated? I don't like that. response:	Here I come!
