context: Maccachin, behave while I'm gone, okay? response:	Don't you dare steal any steamed buns.
context: I'll go!\Right?\I want a selfie with him to post online!\Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27\So young...\Hurry up and finish. response:	Oh, sorry.
context: Right?\I want a selfie with him to post online!\Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27\So young...\Hurry up and finish.\Oh, sorry. response:	Victor's had way too much to drink.
context: I want a selfie with him to post online!\Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27\So young...\Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink. response:	Let's all go to a hot spring.
context: Okay, let's get right to it.\Yay!\Georgi Popovich, Age 27\So young...\Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring. response:	Celestino, keep it together!
context: Yay!\Georgi Popovich, Age 27\So young...\Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together! response:	Hot spring... Hasetsu Hot Springs, great place...
context: Georgi Popovich, Age 27\So young...\Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place... response:	Victor.
context: So young...\Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor. response:	What are you saying?
context: Hurry up and finish.\Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying? response:	Hey! Don't strip!
context: Oh, sorry.\Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying?\Hey! Don't strip! response:	This is getting kind of R-rated...
context: Victor's had way too much to drink.\Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying?\Hey! Don't strip!\This is getting kind of R-rated... response:	Age 19
context: Let's all go to a hot spring.\Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying?\Hey! Don't strip!\This is getting kind of R-rated...\Age 19 response:	Age 17
context: Celestino, keep it together!\Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying?\Hey! Don't strip!\This is getting kind of R-rated...\Age 19\Age 17 response:	Is it okay to post this online?
context: Hot spring... Hasetsu Hot Springs, great place...\Victor.\What are you saying?\Hey! Don't strip!\This is getting kind of R-rated...\Age 19\Age 17\Is it okay to post this online? response:	Hey! Someone help!
context: Victor.\What are you saying?\Hey! Don't strip!\This is getting kind of R-rated...\Age 19\Age 17\Is it okay to post this online?\Hey! Someone help! response:	Don't. Restrain yourself.
context: What are you saying?\Hey! Don't strip!\This is getting kind of R-rated...\Age 19\Age 17\Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself. response:	Hey, did you see the photo Phichit-kun upped?
context: Hey! Don't strip!\This is getting kind of R-rated...\Age 19\Age 17\Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped? response:	That was pretty risque!
context: This is getting kind of R-rated...\Age 19\Age 17\Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque! response:	Phichit-kun!
context: Age 19\Age 17\Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun! response:	Sorry.
context: Age 17\Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun!\Sorry. response:	I couldn't stop myself from sharing it online.
context: Is it okay to post this online?\Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online. response:	Hey, we managed to hold back. Cheater.
context: Hey! Someone help!\Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater. response:	Now they'll think I was fooling around before the competition.
context: Don't. Restrain yourself.\Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition. response:	If I mess up now...
context: Hey, did you see the photo Phichit-kun upped?\That was pretty risque!\Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now... response:	Yuri, why didn't you invite me?
context: That was pretty risque!\Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me? response:	Chris...
context: Phichit-kun!\Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me?\Chris... response:	Looks like you got into shape.
context: Sorry.\I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me?\Chris...\Looks like you got into shape. response:	Christophe Giacometti, Age 25
context: I couldn't stop myself from sharing it online.\Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me?\Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25 response:	Guess your master's giving you very thorough training.
context: Hey, we managed to hold back. Cheater.\Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me?\Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training. response:	Chris!
context: Now they'll think I was fooling around before the competition.\If I mess up now...\Yuri, why didn't you invite me?\Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris! response:	How's it going?
context: If I mess up now...\Yuri, why didn't you invite me?\Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris!\How's it going? response:	I'm not motivated without you.
context: Yuri, why didn't you invite me?\Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris!\How's it going?\I'm not motivated without you. response:	Hey, Victor and Chris are together!
context: Chris...\Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris!\How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together! response:	I want a photo with them at the banquet!
context: Looks like you got into shape.\Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris!\How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet! response:	You're always like that at the start of a season.
context: Christophe Giacometti, Age 25\Guess your master's giving you very thorough training.\Chris!\How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season. response:	Me, too!
context: Guess your master's giving you very thorough training.\Chris!\How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too! response:	Victor!
context: Chris!\How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too!\Victor! response:	Chris is right.
context: How's it going?\I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too!\Victor!\Chris is right. response:	He can't get serious without you.
context: I'm not motivated without you.\Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too!\Victor!\Chris is right.\He can't get serious without you. response:	Come back to the fold.
context: Hey, Victor and Chris are together!\I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too!\Victor!\Chris is right.\He can't get serious without you.\Come back to the fold. response:	Victor!
context: I want a photo with them at the banquet!\You're always like that at the start of a season.\Me, too!\Victor!\Chris is right.\He can't get serious without you.\Come back to the fold.\Victor! response:	Are you really a coach now?
context: You're always like that at the start of a season.\Me, too!\Victor!\Chris is right.\He can't get serious without you.\Come back to the fold.\Victor!\Are you really a coach now? response:	Just split up with him already.
context: Me, too!\Victor!\Chris is right.\He can't get serious without you.\Come back to the fold.\Victor!\Are you really a coach now?\Just split up with him already. response:	Yuri, the sin of keeping Victor to yourself is grave.
context: Victor!\Chris is right.\He can't get serious without you.\Come back to the fold.\Victor!\Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave. response:	You know it won't last. Don't you feel sorry for him?
context: Chris is right.\He can't get serious without you.\Come back to the fold.\Victor!\Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him? response:	The whole world is hoping for his return.
context: He can't get serious without you.\Come back to the fold.\Victor!\Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return. response:	Now, Group 1 in the Men's Single Short Program is about to take to the ice.
context: Come back to the fold.\Victor!\Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice. response:	Listen, Phichit.
context: Victor!\Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit. response:	I'm certain that these short and free skate programs
context: Are you really a coach now?\Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs response:	will become your signature performances.
context: Just split up with him already.\Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances. response:	Looks like I don't need to say anything more.
context: Yuri, the sin of keeping Victor to yourself is grave.\You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more. response:	First up is Phichit Chulanont from Thailand, age 20.
context: You know it won't last. Don't you feel sorry for him?\The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20. response:	After placing fourth in Skate America, the first Grand Prix Series event,
context: The whole world is hoping for his return.\Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event, response:	he'll need to place second or higher here in order to qualify for the finals.
context: Now, Group 1 in the Men's Single Short Program is about to take to the ice.\Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals. response:	This will be the first time a Thai skater performs this piece.
context: Listen, Phichit.\I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece. response:	Write a new chapter for skating in Southeast Asia!
context: I'm certain that these short and free skate programs\will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia! response:	The music is Shall We Skate? from The King and the Skater.
context: will become your signature performances.\Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater. response:	The audience is already clapping to the familiar theme.
context: Looks like I don't need to say anything more.\First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme. response:	The King and the Skater was the first movie he saw,
context: First up is Phichit Chulanont from Thailand, age 20.\After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw, response:	and it's had a big influence on him.
context: After placing fourth in Skate America, the first Grand Prix Series event,\he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him. response:	His first planned jump is a triple axel.
context: he'll need to place second or higher here in order to qualify for the finals.\This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel. response:	Nailed it.
context: This will be the first time a Thai skater performs this piece.\Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it. response:	He's said he wanted to skate to this music for a long time.
context: Write a new chapter for skating in Southeast Asia!\The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time. response:	Phichit-kun's giving everything he has to this season, too.
context: The music is Shall We Skate? from The King and the Skater.\The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too. response:	Many different people have skated to this music,
context: The audience is already clapping to the familiar theme.\The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music, response:	but I'll overwrite that history!
context: The King and the Skater was the first movie he saw,\and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history! response:	This music is mine!
context: and it's had a big influence on him.\His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history!\This music is mine! response:	More jumps are on the way as his program enters its second half.
context: His first planned jump is a triple axel.\Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half. response:	The first is a combination.
context: Nailed it.\He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination. response:	A triple Lutz, followed by a triple toe loop.
context: He's said he wanted to skate to this music for a long time.\Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop. response:	Yes!
context: Phichit-kun's giving everything he has to this season, too.\Many different people have skated to this music,\but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes! response:	Now we have a jump added to the second half to secure a win...
context: Many different people have skated to this music,\but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win... response:	The quadruple toe loop.
context: but I'll overwrite that history!\This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop. response:	Oh, he fell!
context: This music is mine!\More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell! response:	But he got enough rotations in.
context: More jumps are on the way as his program enters its second half.\The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell!\But he got enough rotations in. response:	He got up immediately, so his program's proceeding.
context: The first is a combination.\A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding. response:	Following this, he'll do a combination spin.
context: A triple Lutz, followed by a triple toe loop.\Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin. response:	He's got the entire audience on his side.
context: Yes!\Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side. response:	He's made the music his own...
context: Now we have a jump added to the second half to secure a win...\The quadruple toe loop.\Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own... response:	Bravo!
context: The quadruple toe loop.\Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own...\Bravo! response:	An amazing performance by Phichit Chulanont!
context: Oh, he fell!\But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont! response:	Oh, man...
context: But he got enough rotations in.\He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont!\Oh, man... response:	Keep it together!
context: He got up immediately, so his program's proceeding.\Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together! response:	His short program score is 86.75!
context: Following this, he'll do a combination spin.\He's got the entire audience on his side.\He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together!\His short program score is 86.75! response:	It's his new personal best by a large margin!
context: He's got the entire audience on his side.\He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin! response:	RK: 1 Phichit Chulanont Total
context: He's made the music his own...\Bravo!\An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total response:	Yeah!
context: Bravo!\An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah! response:	Next is a skater who made a grand debut in the first event, Skate America,
context: An amazing performance by Phichit Chulanont!\Oh, man...\Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America, response:	by finishing third.
context: Oh, man...\Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third. response:	Here's Guang-Hong Ji from China, age 17, now competing on his home turf.
context: Keep it together!\His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf. response:	Guang-Hong! Jiayou!
context: His short program score is 86.75!\It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou! response:	He is skating to Le Parfum des Fleurs.
context: It's his new personal best by a large margin!\RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs. response:	Phichit-kun was amazing.
context: RK: 1 Phichit Chulanont Total\Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing. response:	Wait, I can do this.
context: Yeah!\Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this. response:	His first planned jump is a quadruple toe loop,
context: Next is a skater who made a grand debut in the first event, Skate America,\by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop, response:	which was just added to his roster this year.
context: by finishing third.\Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year. response:	Guang-Hong landed his quadruple toe loop!
context: Here's Guang-Hong Ji from China, age 17, now competing on his home turf.\Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop! response:	After seeing Phichit-kun's performance, I'm no longer unsure.
context: Guang-Hong! Jiayou!\He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure. response:	People who want to see Victor skate will never be satisfied with my skating.
context: He is skating to Le Parfum des Fleurs.\Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating. response:	The people who're cheering for me wouldn't be satisfied with the old me, either.
context: Phichit-kun was amazing.\Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either. response:	If that's the case,
context: Wait, I can do this.\His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case, response:	I want to be hated as the man who took Victor from the whole world!
context: His first planned jump is a quadruple toe loop,\which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world! response:	Victor, is he all right?
context: which was just added to his roster this year.\Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right? response:	Shh!
context: Guang-Hong landed his quadruple toe loop!\After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh! response:	I've never seen Yuri like this.
context: After seeing Phichit-kun's performance, I'm no longer unsure.\People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh!\I've never seen Yuri like this. response:	Yuri, it's about to start.
context: People who want to see Victor skate will never be satisfied with my skating.\The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh!\I've never seen Yuri like this.\Yuri, it's about to start. response:	Come watch with us.
context: The people who're cheering for me wouldn't be satisfied with the old me, either.\If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh!\I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us. response:	I'm fine.
context: If that's the case,\I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh!\I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us.\I'm fine. response:	I'll watch from over here.
context: I want to be hated as the man who took Victor from the whole world!\Victor, is he all right?\Shh!\I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us.\I'm fine.\I'll watch from over here. response:	The last skater from Group 1 is Katsuki Yuri from Japan.
context: Victor, is he all right?\Shh!\I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us.\I'm fine.\I'll watch from over here.\The last skater from Group 1 is Katsuki Yuri from Japan. response:	The time to seduce me by picturing pork cutlet bowls and women during your skate is over.
context: Shh!\I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us.\I'm fine.\I'll watch from over here.\The last skater from Group 1 is Katsuki Yuri from Japan.\The time to seduce me by picturing pork cutlet bowls and women during your skate is over. response:	You can fight with your own personal charm.
context: I've never seen Yuri like this.\Yuri, it's about to start.\Come watch with us.\I'm fine.\I'll watch from over here.\The last skater from Group 1 is Katsuki Yuri from Japan.\The time to seduce me by picturing pork cutlet bowls and women during your skate is over.\You can fight with your own personal charm. response:	You can envision it just fine, can't you?
context: Yuri, it's about to start.\Come watch with us.\I'm fine.\I'll watch from over here.\The last skater from Group 1 is Katsuki Yuri from Japan.\The time to seduce me by picturing pork cutlet bowls and women during your skate is over.\You can fight with your own personal charm.\You can envision it just fine, can't you? response:	Don't ever take your eyes off me.
