context: Inari... response:	You shut Uka up in the Ama-no-Iwato?
context: Please keep smiling next to me\Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back. response:	So anyway, the last boss is crazy hard.
context: Please keep smiling next to me\Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard. response:	You should give it a shot one of these days.
context: Huh? Lady Uka's not back yet?\But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days. response:	Sure! Let me borrow it sometime.
context: But it's November!\Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime. response:	There you are, Kouji!
context: Well, it's never really exactly one month...\We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji! response:	Okay, see you later!
context: We can only assume she must still be in Izumo.\Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later! response:	Sure.
context: Huh.\I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later!\Sure. response:	Bye!
context: I wonder when she's coming back.\So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later!\Sure.\Bye! response:	You two sure are friendly these days!
context: So anyway, the last boss is crazy hard.\You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later!\Sure.\Bye!\You two sure are friendly these days! response:	Huh? Wait... Don't tell me...
context: You should give it a shot one of these days.\Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later!\Sure.\Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me... response:	You're into Fushimi?
context: Sure! Let me borrow it sometime.\There you are, Kouji!\Okay, see you later!\Sure.\Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi? response:	K-Keep it to yourself, okay?
context: There you are, Kouji!\Okay, see you later!\Sure.\Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay? response:	Fox, Twilight, Milky Way
context: Okay, see you later!\Sure.\Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way response:	Fox, Twilight, Milky Way
context: Sure.\Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way response:	U-Um...
context: Bye!\You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um... response:	I'm sorry. I wanted to apologize.
context: You two sure are friendly these days!\Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize. response:	When I wrote you that letter, I... I didn't know.
context: Huh? Wait... Don't tell me...\You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know. response:	Letter? What letter?
context: You're into Fushimi?\K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter? response:	M-My confession of love?
context: K-Keep it to yourself, okay?\Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love? response:	I asked Fushimi of all people to give it to you. I'm sorry.
context: Fox, Twilight, Milky Way\Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry. response:	A letter?
context: Fox, Twilight, Milky Way\U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter? response:	I never got any letter.
context: U-Um...\I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter. response:	What's up, Minami?
context: I'm sorry. I wanted to apologize.\When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter.\What's up, Minami? response:	The letter...
context: When I wrote you that letter, I... I didn't know.\Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter.\What's up, Minami?\The letter... response:	Fushimi never...
context: Letter? What letter?\M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter.\What's up, Minami?\The letter...\Fushimi never... response:	What's wrong with me? How can I be so distracted at such a crucial time?
context: M-My confession of love?\I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter.\What's up, Minami?\The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time? response:	You can tell me everything.
context: I asked Fushimi of all people to give it to you. I'm sorry.\A letter?\I never got any letter.\What's up, Minami?\The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything. response:	I don't want to fade away.
context: A letter?\I never got any letter.\What's up, Minami?\The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away. response:	No!
context: I never got any letter.\What's up, Minami?\The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away.\No! response:	Getting my divine power back from Inari would solve everything,
context: What's up, Minami?\The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything, response:	but not being able to see Inari anymore would be even worse!
context: The letter...\Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse! response:	Touka?
context: Fushimi never...\What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka? response:	What?
context: What's wrong with me? How can I be so distracted at such a crucial time?\You can tell me everything.\I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka?\What? response:	Do you have a minute?
context: You can tell me everything.\I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka?\What?\Do you have a minute? response:	Lady Uka still hasn't returned.
context: I don't want to fade away.\No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka?\What?\Do you have a minute?\Lady Uka still hasn't returned. response:	When will she be back?
context: No!\Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka?\What?\Do you have a minute?\Lady Uka still hasn't returned.\When will she be back? response:	How should I know? Quit buggin' me!
context: Getting my divine power back from Inari would solve everything,\but not being able to see Inari anymore would be even worse!\Touka?\What?\Do you have a minute?\Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me! response:	Don't talk to me like that!
context: but not being able to see Inari anymore would be even worse!\Touka?\What?\Do you have a minute?\Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that! response:	Excuse me for interrupting your studies!
context: Touka?\What?\Do you have a minute?\Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies! response:	Where is she, and what's she up to?
context: What?\Do you have a minute?\Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to? response:	What a drag.
context: Do you have a minute?\Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag. response:	We gotta pick up litter now? Seriously?
context: Lady Uka still hasn't returned.\When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously? response:	I'm looking forward to it.
context: When will she be back?\How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it. response:	A real, live angel!
context: How should I know? Quit buggin' me!\Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel! response:	But it looks like rain.
context: Don't talk to me like that!\Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel!\But it looks like rain. response:	If it rains, can we go home?
context: Excuse me for interrupting your studies!\Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel!\But it looks like rain.\If it rains, can we go home? response:	Always looking for a way out, huh?
context: Where is she, and what's she up to?\What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel!\But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh? response:	Uh, Fushimi?
context: What a drag.\We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel!\But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi? response:	Here.
context: We gotta pick up litter now? Seriously?\I'm looking forward to it.\A real, live angel!\But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi?\Here. response:	A charm?
context: I'm looking forward to it.\A real, live angel!\But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi?\Here.\A charm? response:	Exp el Evil, Invite Fortune
context: A real, live angel!\But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi?\Here.\A charm?\Exp el Evil, Invite Fortune response:	Exp el Evil, Invite Fortune
context: But it looks like rain.\If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi?\Here.\A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune response:	Yasaka Shrine Charm
context: If it rains, can we go home?\Always looking for a way out, huh?\Uh, Fushimi?\Here.\A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm response:	You gave me one ages ago, not to mention a souvenir from the beach,
context: Always looking for a way out, huh?\Uh, Fushimi?\Here.\A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach, response:	but I still haven't given you anything in return.
context: Uh, Fushimi?\Here.\A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return. response:	If you don't need it, you can just throw it away.
context: Here.\A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away. response:	Thanks, Tanbabashi! I love it!
context: A charm?\Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it! response:	S-Sure.
context: Exp el Evil, Invite Fortune\Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure. response:	Where are you cleanin' up?
context: Exp el Evil, Invite Fortune\Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up? response:	Just over the bridge. Not far from here.
context: Yasaka Shrine Charm\You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here. response:	Are all the guys workin' up past Yotsutsuji?
context: You gave me one ages ago, not to mention a souvenir from the beach,\but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji? response:	Yeah. Just gettin' up to the Ganriki shrine is exhausting!
context: but I still haven't given you anything in return.\If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting! response:	I can believe it!
context: If you don't need it, you can just throw it away.\Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it! response:	We're still better off than Miyamaki. He's way up on the shrine summit.
context: Thanks, Tanbabashi! I love it!\S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit. response:	Inari...
context: S-Sure.\Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari... response:	I'm so glad it worked out!
context: Where are you cleanin' up?\Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out! response:	Don't exaggerate.
context: Just over the bridge. Not far from here.\Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out!\Don't exaggerate. response:	When you have social anxiety,
context: Are all the guys workin' up past Yotsutsuji?\Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety, response:	being put into a random group is a matter of life and death!
context: Yeah. Just gettin' up to the Ganriki shrine is exhausting!\I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death! response:	You gotta try to do something about that anxiety of yours, Maru.
context: I can believe it!\We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru. response:	Well, what would a normie know about it, anyway?
context: We're still better off than Miyamaki. He's way up on the shrine summit.\Inari...\I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway? response:	You'll be fine!
context: Inari...\I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine! response:	The geeks in all those romantic comedies all end up pretty normal by the end.
context: I'm so glad it worked out!\Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end. response:	Well, here's our assigned area.
context: Don't exaggerate.\When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area. response:	So those two are together, huh?
context: When you have social anxiety,\being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh? response:	Go get'em!
context: being put into a random group is a matter of life and death!\You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh?\Go get'em! response:	C-Could we please have...
context: You gotta try to do something about that anxiety of yours, Maru.\Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh?\Go get'em!\C-Could we please have... response:	some... garbage bags...
context: Well, what would a normie know about it, anyway?\You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh?\Go get'em!\C-Could we please have...\some... garbage bags... response:	It's been a whole year and she doesn't know her classmates' names, but look at Maru go!
context: You'll be fine!\The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh?\Go get'em!\C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go! response:	Hey! Why are you ignorin' her?
context: The geeks in all those romantic comedies all end up pretty normal by the end.\Well, here's our assigned area.\So those two are together, huh?\Go get'em!\C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her? response:	Are you out of bags?
context: Well, here's our assigned area.\So those two are together, huh?\Go get'em!\C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags? response:	Did I do somethin' to deserve the silent treatment?
context: So those two are together, huh?\Go get'em!\C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment? response:	If it's somethin' I did, just tell me!
context: Go get'em!\C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me! response:	What's the big idea, ignorin' us both like that?
context: C-Could we please have...\some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that? response:	I feel so blah.
context: some... garbage bags...\It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah. response:	The sooner we finish, the sooner we can go home.
context: It's been a whole year and she doesn't know her classmates' names, but look at Maru go!\Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home. response:	Let's do this!
context: Hey! Why are you ignorin' her?\Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this! response:	You're a hard worker, huh?
context: Are you out of bags?\Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh? response:	You think?
context: Did I do somethin' to deserve the silent treatment?\If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh?\You think? response:	Everyone else is just doin' the bare minimum.
context: If it's somethin' I did, just tell me!\What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum. response:	Wh-What is it?
context: What's the big idea, ignorin' us both like that?\I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum.\Wh-What is it? response:	You got some dirt in your hair.
context: I feel so blah.\The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair. response:	It's not comin' out.
context: The sooner we finish, the sooner we can go home.\Let's do this!\You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair.\It's not comin' out. response:	Your hair's so pretty. Why don't you put it up?
context: Let's do this!\You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up? response:	P-Pretty?!
context: You're a hard worker, huh?\You think?\Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?! response:	Anyone got a hair tie?
context: You think?\Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie? response:	Hey!
context: Everyone else is just doin' the bare minimum.\Wh-What is it?\You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie?\Hey! response:	Ow!
context: Wh-What is it?\You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie?\Hey!\Ow! response:	I'm talkin' here!
context: You got some dirt in your hair.\It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie?\Hey!\Ow!\I'm talkin' here! response:	S-Sanjou! Calm down!
context: It's not comin' out.\Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie?\Hey!\Ow!\I'm talkin' here!\S-Sanjou! Calm down! response:	What're you whisperin' about, huh? It's creepy!
context: Your hair's so pretty. Why don't you put it up?\P-Pretty?!\Anyone got a hair tie?\Hey!\Ow!\I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy! response:	Don't think I'm afraid to hit a girl!
context: P-Pretty?!\Anyone got a hair tie?\Hey!\Ow!\I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl! response:	It's okay. I promise I won't get mad.
context: Anyone got a hair tie?\Hey!\Ow!\I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad. response:	Tell me what's wrong.
context: Hey!\Ow!\I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong. response:	Huh?
context: Ow!\I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh? response:	We're sorry. We didn't want to ignore you.
context: I'm talkin' here!\S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you. response:	It's Kangetsu, in Class E.
context: S-Sanjou! Calm down!\What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E. response:	Who's that?
context: What're you whisperin' about, huh? It's creepy!\Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that? response:	The girl who's always with Momoyama.
context: Don't think I'm afraid to hit a girl!\It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama. response:	Kangetsu's the one who told us to ignore you.
context: It's okay. I promise I won't get mad.\Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you. response:	Why?
context: Tell me what's wrong.\Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why? response:	Kangetsu? Where is she?
context: Huh?\We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she? response:	Inari!
context: We're sorry. We didn't want to ignore you.\It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she?\Inari! response:	There's no use broodin' about it.
context: It's Kangetsu, in Class E.\Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she?\Inari!\There's no use broodin' about it. response:	Maru doesn't deserve to be caught up in this with me.
context: Who's that?\The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she?\Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me. response:	Kangetsu!
context: The girl who's always with Momoyama.\Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she?\Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu! response:	Why are you ignorin' us? Why be so mean?
context: Kangetsu's the one who told us to ignore you.\Why?\Kangetsu? Where is she?\Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean? response:	If it's my fault, I apologize, but leave my friends
context: Why?\Kangetsu? Where is she?\Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends response:	Who's the mean one here, huh?
context: Kangetsu? Where is she?\Inari!\There's no use broodin' about it.\Maru doesn't deserve to be caught up in this with me.\Kangetsu!\Why are you ignorin' us? Why be so mean?\If it's my fault, I apologize, but leave my friends\Who's the mean one here, huh? response:	Minami trusted you with that letter,
