context: My birthday? response:	Yeah, your birthday. When is it?
context: After all that happened...\It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time. response:	You're really good at cooking!
context: It's so awkward to be alone with Okumura.\What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking! response:	I guess so. There were only guys at our place and everyone sucked at cooking,
context: What's next?\Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking, response:	so I had no choice but to do it myself.
context: Umm, you sieve the flour and mix it well with the rest.\I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself. response:	Done.
context: I'll do it!\Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done. response:	But you know,
context: Konekomaru, you're good! You really haven't done this before?\Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done.\But you know, response:	it's a lot more fun to cook for someone else, not just for yourself!
context: Yeah, I just watched and learned.\But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself! response:	You're right.
context: But you too are so good at this, it's hard to believe that this is your first time.\You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right. response:	Let's make the best cake ever, Konekomaru!
context: You're really good at cooking!\I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru! response:	Don't do that! The fluff is the life of the dough!
context: I guess so. There were only guys at our place and everyone sucked at cooking,\so I had no choice but to do it myself.\Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough! response:	Do it lighter! More gently!
context: so I had no choice but to do it myself.\Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently! response:	Huh? Like this?
context: Done.\But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this? response:	Don't stop!
context: But you know,\it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this?\Don't stop! response:	Sure...
context: it's a lot more fun to cook for someone else, not just for yourself!\You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this?\Don't stop!\Sure... response:	You're working hard.
context: You're right.\Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this?\Don't stop!\Sure...\You're working hard. response:	Yuki!
context: Let's make the best cake ever, Konekomaru!\Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this?\Don't stop!\Sure...\You're working hard.\Yuki! response:	I got the message this morning that the herbs I ordered have arrived.
context: Don't do that! The fluff is the life of the dough!\Do it lighter! More gently!\Huh? Like this?\Don't stop!\Sure...\You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived. response:	Right away.
context: Do it lighter! More gently!\Huh? Like this?\Don't stop!\Sure...\You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away. response:	Umm, True Cross Academy, Faculty of Pharma...
context: Huh? Like this?\Don't stop!\Sure...\You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma... response:	Ah, this time it's my personal order.
context: Don't stop!\Sure...\You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order. response:	That's unusual.
context: Sure...\You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual. response:	I heard about the party.
context: You're working hard.\Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual.\I heard about the party. response:	It was your idea, wasn't it?
context: Yuki!\I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual.\I heard about the party.\It was your idea, wasn't it? response:	I'm sure Kamiki will be happy.
context: I got the message this morning that the herbs I ordered have arrived.\Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual.\I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy. response:	I'm doing it partially for my own sake.
context: Right away.\Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual.\I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake. response:	Granny and Mom celebrate my birthday,
context: Umm, True Cross Academy, Faculty of Pharma...\Ah, this time it's my personal order.\That's unusual.\I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday, response:	but this will be the first time I celebrate with my friends.
context: Ah, this time it's my personal order.\That's unusual.\I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends. response:	I've made friends since I started the cram school,
context: That's unusual.\I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school, response:	so I thought we could all celebrate together.
context: I heard about the party.\It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together. response:	It's selfish, isn't it?
context: It was your idea, wasn't it?\I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it? response:	I think it's wonderful.
context: I'm sure Kamiki will be happy.\I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful. response:	By the way, when is your and Rin's birthday?
context: I'm doing it partially for my own sake.\Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday? response:	It's on December 27th.
context: Granny and Mom celebrate my birthday,\but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th. response:	Have you ever had a birthday party?
context: but this will be the first time I celebrate with my friends.\I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party? response:	Well... more or less.
context: I've made friends since I started the cram school,\so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party?\Well... more or less. response:	More or less?
context: so I thought we could all celebrate together.\It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party?\Well... more or less.\More or less? response:	It's so close to Christmas, we always celebrated the two together at the monastery.
context: It's selfish, isn't it?\I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party?\Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery. response:	But it never had this birthday feeling.
context: I think it's wonderful.\By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party?\Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling. response:	I hope the party will be a success.
context: By the way, when is your and Rin's birthday?\It's on December 27th.\Have you ever had a birthday party?\Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success. response:	Yeah! You should come too, Yuki. It'll be fun!
context: It's on December 27th.\Have you ever had a birthday party?\Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun! response:	This is...
context: Have you ever had a birthday party?\Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is... response:	It's just the first try though.
context: Well... more or less.\More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though. response:	Well, this is my level!
context: More or less?\It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though.\Well, this is my level! response:	No way, no way, no way!
context: It's so close to Christmas, we always celebrated the two together at the monastery.\But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though.\Well, this is my level!\No way, no way, no way! response:	Huh? What about Norway?
context: But it never had this birthday feeling.\I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though.\Well, this is my level!\No way, no way, no way!\Huh? What about Norway? response:	There's no way this'll do!
context: I hope the party will be a success.\Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though.\Well, this is my level!\No way, no way, no way!\Huh? What about Norway?\There's no way this'll do! response:	Konekomaru! You were supposed to keep an eye him!
context: Yeah! You should come too, Yuki. It'll be fun!\This is...\It's just the first try though.\Well, this is my level!\No way, no way, no way!\Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him! response:	I just... looked away for a moment...
context: This is...\It's just the first try though.\Well, this is my level!\No way, no way, no way!\Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment... response:	Leave Konekomaru alone! It's perfect, isn't it?
context: It's just the first try though.\Well, this is my level!\No way, no way, no way!\Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it? response:	It's totally wrong!
context: Well, this is my level!\No way, no way, no way!\Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong! response:	What's wrong with it?
context: No way, no way, no way!\Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it? response:	Looks like a perfectly fine birthday cake to me.
context: Huh? What about Norway?\There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me. response:	Huh?!
context: There's no way this'll do!\Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?! response:	So birthday cakes and Christmas cakes are different?
context: Konekomaru! You were supposed to keep an eye him!\I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different? response:	You always learn new stuff, even at the age of 15... Right, Rin?
context: I just... looked away for a moment...\Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin? response:	What should we do with this?
context: Leave Konekomaru alone! It's perfect, isn't it?\It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this? response:	Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.
context: It's totally wrong!\What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students. response:	Giving a cake celebrating the birth of God... to a demon?
context: What's wrong with it?\Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon? response:	Sorry to keep you waiting.
context: Looks like a perfectly fine birthday cake to me.\Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting. response:	Man, you sure don't need the uniform to be gorgeous.
context: Huh?!\So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous. response:	Oh come on! Let's go.
context: So birthday cakes and Christmas cakes are different?\You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go. response:	Yeah.
context: You always learn new stuff, even at the age of 15... Right, Rin?\What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah. response:	Did I warn you for nothing, Paku?
context: What should we do with this?\Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku? response:	What's wrong?
context: Thank you for your patronage. This is just a small token of our gratitude. Exorcist cram school students.\Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku?\What's wrong? response:	Nothing...
context: Giving a cake celebrating the birth of God... to a demon?\Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku?\What's wrong?\Nothing... response:	You're such a weirdo, Shima!
context: Sorry to keep you waiting.\Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku?\What's wrong?\Nothing...\You're such a weirdo, Shima! response:	How about this one?
context: Man, you sure don't need the uniform to be gorgeous.\Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku?\What's wrong?\Nothing...\You're such a weirdo, Shima!\How about this one? response:	I think it's pretty nice.
context: Oh come on! Let's go.\Yeah.\Did I warn you for nothing, Paku?\What's wrong?\Nothing...\You're such a weirdo, Shima!\How about this one?\I think it's pretty nice. response:	You're standing too close!
context: Yeah.\Did I warn you for nothing, Paku?\What's wrong?\Nothing...\You're such a weirdo, Shima!\How about this one?\I think it's pretty nice.\You're standing too close! response:	I think Izumo was collecting this series.
context: Did I warn you for nothing, Paku?\What's wrong?\Nothing...\You're such a weirdo, Shima!\How about this one?\I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series. response:	Those eyes charmed me.
context: What's wrong?\Nothing...\You're such a weirdo, Shima!\How about this one?\I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me. response:	Charmed me... Charmed me... Charmed me...
context: Nothing...\You're such a weirdo, Shima!\How about this one?\I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me... response:	Charmed him?!
context: You're such a weirdo, Shima!\How about this one?\I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?! response:	My heart is whispering too.
context: How about this one?\I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too. response:	My heart... My heart... My heart...
context: I think it's pretty nice.\You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too.\My heart... My heart... My heart... response:	Her heart?!
context: You're standing too close!\I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too.\My heart... My heart... My heart...\Her heart?! response:	They fell for each other?
context: I think Izumo was collecting this series.\Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too.\My heart... My heart... My heart...\Her heart?!\They fell for each other? response:	This is going way too fast!
context: Those eyes charmed me.\Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too.\My heart... My heart... My heart...\Her heart?!\They fell for each other?\This is going way too fast! response:	Where did they go?
context: Charmed me... Charmed me... Charmed me...\Charmed him?!\My heart is whispering too.\My heart... My heart... My heart...\Her heart?!\They fell for each other?\This is going way too fast!\Where did they go? response:	It's raining.
context: Charmed him?!\My heart is whispering too.\My heart... My heart... My heart...\Her heart?!\They fell for each other?\This is going way too fast!\Where did they go?\It's raining. response:	Damn, I don't have an umbrella with me.
context: My heart is whispering too.\My heart... My heart... My heart...\Her heart?!\They fell for each other?\This is going way too fast!\Where did they go?\It's raining.\Damn, I don't have an umbrella with me. response:	It's okay, I brought mine.
context: My heart... My heart... My heart...\Her heart?!\They fell for each other?\This is going way too fast!\Where did they go?\It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine. response:	Sharing an umbrella?!
context: Her heart?!\They fell for each other?\This is going way too fast!\Where did they go?\It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?! response:	What's wrong?
context: They fell for each other?\This is going way too fast!\Where did they go?\It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?!\What's wrong? response:	I've got something in my eye.
context: This is going way too fast!\Where did they go?\It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?!\What's wrong?\I've got something in my eye. response:	Which one? Let me see.
context: Where did they go?\It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?!\What's wrong?\I've got something in my eye.\Which one? Let me see. response:	NOOO!
context: It's raining.\Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?!\What's wrong?\I've got something in my eye.\Which one? Let me see.\NOOO! response:	I got it.
context: Damn, I don't have an umbrella with me.\It's okay, I brought mine.\Sharing an umbrella?!\What's wrong?\I've got something in my eye.\Which one? Let me see.\NOOO!\I got it. response:	Izumo?
context: It's okay, I brought mine.\Sharing an umbrella?!\What's wrong?\I've got something in my eye.\Which one? Let me see.\NOOO!\I got it.\Izumo? response:	What are you two doing?
context: Sharing an umbrella?!\What's wrong?\I've got something in my eye.\Which one? Let me see.\NOOO!\I got it.\Izumo?\What are you two doing? response:	She found us out.
context: What's wrong?\I've got something in my eye.\Which one? Let me see.\NOOO!\I got it.\Izumo?\What are you two doing?\She found us out. response:	She found us out, my ass! You and you!
context: I've got something in my eye.\Which one? Let me see.\NOOO!\I got it.\Izumo?\What are you two doing?\She found us out.\She found us out, my ass! You and you! response:	Didn't you try to k...
context: Which one? Let me see.\NOOO!\I got it.\Izumo?\What are you two doing?\She found us out.\She found us out, my ass! You and you!\Didn't you try to k... response:	K-Kiss Paku here?
context: NOOO!\I got it.\Izumo?\What are you two doing?\She found us out.\She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here? response:	Huh?
context: I got it.\Izumo?\What are you two doing?\She found us out.\She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here?\Huh? response:	I didn't! I didn't!
context: Izumo?\What are you two doing?\She found us out.\She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here?\Huh?\I didn't! I didn't! response:	What are you saying, Izumo?
context: What are you two doing?\She found us out.\She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here?\Huh?\I didn't! I didn't!\What are you saying, Izumo? response:	Then what were you doing so close to each other?
context: She found us out.\She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here?\Huh?\I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other? response:	We were looking for your birthday pre -
context: She found us out, my ass! You and you!\Didn't you try to k...\K-Kiss Paku here?\Huh?\I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre - response:	And that's how she found out.
context: Didn't you try to k...\K-Kiss Paku here?\Huh?\I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out. response:	Are you seriously this stupid?
context: K-Kiss Paku here?\Huh?\I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid? response:	Sorry...
context: Huh?\I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid?\Sorry... response:	Why are you so mad?
context: I didn't! I didn't!\What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid?\Sorry...\Why are you so mad? response:	I won't let you just use me like that!
context: What are you saying, Izumo?\Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid?\Sorry...\Why are you so mad?\I won't let you just use me like that! response:	Use you?
context: Then what were you doing so close to each other?\We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid?\Sorry...\Why are you so mad?\I won't let you just use me like that!\Use you? response:	Yeah! You're just using me to have your little fun!
context: We were looking for your birthday pre -\And that's how she found out.\Are you seriously this stupid?\Sorry...\Why are you so mad?\I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun! response:	Izumo, you should be happy rather than...
context: And that's how she found out.\Are you seriously this stupid?\Sorry...\Why are you so mad?\I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than... response:	Sorry, it was my idea to make a surprise party...
context: Are you seriously this stupid?\Sorry...\Why are you so mad?\I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party... response:	There's nothing to apologize for. Moriyama wanted to make you happy.
context: Sorry...\Why are you so mad?\I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy. response:	Is celebrating your birthday such a nuisance?
context: Why are you so mad?\I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance? response:	That's not it...
context: I won't let you just use me like that!\Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it... response:	Then what is?
context: Use you?\Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it...\Then what is? response:	I'm just saying that it's unfair.
context: Yeah! You're just using me to have your little fun!\Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it...\Then what is?\I'm just saying that it's unfair. response:	Unfair?
context: Izumo, you should be happy rather than...\Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it...\Then what is?\I'm just saying that it's unfair.\Unfair? response:	It's unfair to start celebrating birthdays now!
context: Sorry, it was my idea to make a surprise party...\There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it...\Then what is?\I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now! response:	What about everyone who's had their birthday after we started school?
context: There's nothing to apologize for. Moriyama wanted to make you happy.\Is celebrating your birthday such a nuisance?\That's not it...\Then what is?\I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school? response:	One of us has to be 16 already!
context: Is celebrating your birthday such a nuisance?\That's not it...\Then what is?\I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school?\One of us has to be 16 already! response:	I remember you guys were talking about scooter licenses!
context: That's not it...\Then what is?\I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school?\One of us has to be 16 already!\I remember you guys were talking about scooter licenses! response:	You're too sharp, Izumo.
context: Then what is?\I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school?\One of us has to be 16 already!\I remember you guys were talking about scooter licenses!\You're too sharp, Izumo. response:	See, I was right.
context: I'm just saying that it's unfair.\Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school?\One of us has to be 16 already!\I remember you guys were talking about scooter licenses!\You're too sharp, Izumo.\See, I was right. response:	If you want to do this, then do it properly for everyone!
context: Unfair?\It's unfair to start celebrating birthdays now!\What about everyone who's had their birthday after we started school?\One of us has to be 16 already!\I remember you guys were talking about scooter licenses!\You're too sharp, Izumo.\See, I was right.\If you want to do this, then do it properly for everyone! response:	Otherwise I won't take part in it.
