context: July 15th (Thurs) 8:30 PM response:	This isn't good... This isn't good at all!
context: I didn't even touch the arrow!\Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise. response:	Hayato, breakfast is ready.
context: Th-The arrow...\Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready. response:	Honestly, why don't you ever answer me?
context: Y-Yoshikage!\Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me? response:	I couldn't sleep very well last night.
context: Hayato! Hayato?!\July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night. response:	He... He found out that I saw him kill someone.
context: July 16th (Fri) 7:30 AM\Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone. response:	Anyway, I made sure that he wouldn't be able to lay a finger
context: Are you planning to sleep all day, Hayato?\Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger response:	on me or Mom, but...
context: Hurry up and wake\What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but... response:	What should I do now?
context: What, you're already awake? That's a surprise.\Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now? response:	I-I don't understand... What happened, Yoshikage?
context: Hayato, breakfast is ready.\Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage? response:	You've been acting strange since last night.
context: Honestly, why don't you ever answer me?\I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night. response:	Listen to me, Yoshikage!
context: I couldn't sleep very well last night.\He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage! response:	That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!
context: He... He found out that I saw him kill someone.\Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason! response:	They're going to come check this house tomorrow.
context: Anyway, I made sure that he wouldn't be able to lay a finger\on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow. response:	There's no need to worry.
context: on me or Mom, but...\What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry. response:	B-But, Yoshikage!
context: What should I do now?\I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage! response:	Deadly Queen has gained a third ability.
context: I-I don't understand... What happened, Yoshikage?\You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability. response:	What could have happened to make you so carefree?
context: You've been acting strange since last night.\Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree? response:	-Morioh's Very Own-
context: Listen to me, Yoshikage!\That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own- response:	Miso-stewed Cow Tongue
context: That Rohan Kishibe has started investigating Hayato Kawajiri for some reason!\They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue response:	Miso-stewed cow tongue.
context: They're going to come check this house tomorrow.\There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue. response:	What? No way! We're on the air already?
context: There's no need to worry.\B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already? response:	Er, um... It's now 7:55, so here's the weather today for the prefecture.
context: B-But, Yoshikage!\Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture. response:	Today should be sunny.
context: Deadly Queen has gained a third ability.\What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny. response:	Hayato! Hey, Hayato! Answer the phone.
context: What could have happened to make you so carefree?\-Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone. response:	After that bath last night, he changed.
context: -Morioh's Very Own-\Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed. response:	Wh-What could have happened?
context: Miso-stewed Cow Tongue\Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened? response:	Hayato! I asked you to answer the phone!
context: Miso-stewed cow tongue.\What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone! response:	My precious tea set!
context: What? No way! We're on the air already?\Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set! response:	This is all your fault!
context: Er, um... It's now 7:55, so here's the weather today for the prefecture.\Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault! response:	Why do you always ignore me?!
context: Today should be sunny.\Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault!\Why do you always ignore me?! response:	Fine! You think your mother's just a bother, right?!
context: Hayato! Hey, Hayato! Answer the phone.\After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?! response:	Do whatever you want, then!
context: After that bath last night, he changed.\Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then! response:	Now, now. Let's not fight first thing in the morning.
context: Wh-What could have happened?\Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning. response:	If it broke, I'll just buy you another one.
context: Hayato! I asked you to answer the phone!\My precious tea set!\This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one. response:	Hello, Kawajiri residence.
context: My precious tea set!\This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence. response:	No, it's not.
context: This is all your fault!\Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not. response:	They had the wrong number.
context: Why do you always ignore me?!\Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not.\They had the wrong number. response:	Hayato's just at an age where he doesn't want to talk much.
context: Fine! You think your mother's just a bother, right?!\Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much. response:	We're family, so we all need to get along.
context: Do whatever you want, then!\Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along. response:	You know, get along.
context: Now, now. Let's not fight first thing in the morning.\If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along. response:	Well, I'll head off to work now.
context: If it broke, I'll just buy you another one.\Hello, Kawajiri residence.\No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now. response:	Do you mind if I give you a goodbye kiss?
context: Hello, Kawajiri residence.\No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss? response:	Huh?
context: No, it's not.\They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh? response:	I'll be off now.
context: They had the wrong number.\Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now. response:	H-He left...
context: Hayato's just at an age where he doesn't want to talk much.\We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now.\H-He left... response:	No, I'm right here.
context: We're family, so we all need to get along.\You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now.\H-He left...\No, I'm right here. response:	Why don't we walk together part of the way?
context: You know, get along.\Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now.\H-He left...\No, I'm right here.\Why don't we walk together part of the way? response:	Going from feeling refreshed to falling into despair...
context: Well, I'll head off to work now.\Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now.\H-He left...\No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair... response:	So much has happened lately. I've been on an emotional roller coaster.
context: Do you mind if I give you a goodbye kiss?\Huh?\I'll be off now.\H-He left...\No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster. response:	But now I'll be able to feel at ease.
context: Huh?\I'll be off now.\H-He left...\No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease. response:	Since you cornered me last night, I was able to mature.
context: I'll be off now.\H-He left...\No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature. response:	Really, your will last night was so strong.
context: H-He left...\No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong. response:	To think that you would actually turn around and threaten me, Yoshikage Kira...
context: No, I'm right here.\Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira... response:	Y-Yoshikage Kira?
context: Why don't we walk together part of the way?\Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira? response:	Did I just say my real name?
context: Going from feeling refreshed to falling into despair...\So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name? response:	A-Are you planning to kill me after all?
context: So much has happened lately. I've been on an emotional roller coaster.\But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all? response:	Kill you?
context: But now I'll be able to feel at ease.\Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all?\Kill you? response:	Because you found out my secret?
context: Since you cornered me last night, I was able to mature.\Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all?\Kill you?\Because you found out my secret? response:	There's no need for that. Because I've matured.
context: Really, your will last night was so strong.\To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all?\Kill you?\Because you found out my secret?\There's no need for that. Because I've matured. response:	No matter where you go and what you do with anyone,
context: To think that you would actually turn around and threaten me, Yoshikage Kira...\Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all?\Kill you?\Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone, response:	it doesn't matter, because now, none can rival me.
context: Y-Yoshikage Kira?\Did I just say my real name?\A-Are you planning to kill me after all?\Kill you?\Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me. response:	I have no interest in you anymore. If I wanted to kill you...
context: Did I just say my real name?\A-Are you planning to kill me after all?\Kill you?\Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you... response:	I would have gotten rid of you last night.
context: A-Are you planning to kill me after all?\Kill you?\Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night. response:	From now on, we're all going to get along and live happily together.
context: Kill you?\Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together. response:	So just relax... Like we're family.
context: Because you found out my secret?\There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family. response:	Well, I have to head to the station.
context: There's no need for that. Because I've matured.\No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station. response:	Make sure you study hard, Hayato.
context: No matter where you go and what you do with anyone,\it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato. response:	Rival... He just said none can rival him...
context: it doesn't matter, because now, none can rival me.\I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him... response:	Which means there must be others
context: I have no interest in you anymore. If I wanted to kill you...\I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others response:	that have the same kind of abilities as him.
context: I would have gotten rid of you last night.\From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him. response:	But what's with that creepy confidence?
context: From now on, we're all going to get along and live happily together.\So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence? response:	If he's unrivaled now, does that mean he's gained some other abilities?
context: So just relax... Like we're family.\Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities? response:	What should I do?
context: Well, I have to head to the station.\Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do? response:	What am I supposed to do?
context: Make sure you study hard, Hayato.\Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do? response:	You're...
context: Rival... He just said none can rival him...\Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do?\You're... response:	Hayato Kawajiri-kun,
context: Which means there must be others\that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do?\You're...\Hayato Kawajiri-kun, response:	aren't you?
context: that have the same kind of abilities as him.\But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do?\You're...\Hayato Kawajiri-kun,\aren't you? response:	De
context: But what's with that creepy confidence?\If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do?\You're...\Hayato Kawajiri-kun,\aren't you?\De response:	Dead
context: If he's unrivaled now, does that mean he's gained some other abilities?\What should I do?\What am I supposed to do?\You're...\Hayato Kawajiri-kun,\aren't you?\De\Dead response:	Deadly
context: What should I do?\What am I supposed to do?\You're...\Hayato Kawajiri-kun,\aren't you?\De\Dead\Deadly response:	Deadly Qu
context: What am I supposed to do?\You're...\Hayato Kawajiri-kun,\aren't you?\De\Dead\Deadly\Deadly Qu response:	Deadly Que
context: You're...\Hayato Kawajiri-kun,\aren't you?\De\Dead\Deadly\Deadly Qu\Deadly Que response:	Deadly Quee
context: Hayato Kawajiri-kun,\aren't you?\De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee response:	Deadly Queen
context: aren't you?\De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen response:	Ko
context: De\Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Ko response:	Kosaku
context: Dead\Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Ko\Kosaku response:	Kosaku Kawa
context: Deadly\Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Ko\Kosaku\Kosaku Kawa response:	Kosaku Kawajiri
context: Deadly Qu\Deadly Que\Deadly Quee\Deadly Queen\Ko\Kosaku\Kosaku Kawa\Kosaku Kawajiri response:	July 16th (Fri) 8:24 AM
context: Deadly Que\Deadly Quee\Deadly Queen\Ko\Kosaku\Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM response:	I've been waiting for you.
context: Deadly Quee\Deadly Queen\Ko\Kosaku\Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you. response:	My name is Rohan Kishibe.
context: Deadly Queen\Ko\Kosaku\Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe. response:	There's something that I wanted to ask you out of curiosity.
context: Ko\Kosaku\Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity. response:	It's about this picture.
context: Kosaku\Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture. response:	This is you, right?
context: Kosaku Kawa\Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right? response:	Were you taking video of your dad in the corner there?
context: Kosaku Kawajiri\July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there? response:	Wait.
context: July 16th (Fri) 8:24 AM\I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there?\Wait. response:	What... is this?
context: I've been waiting for you.\My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there?\Wait.\What... is this? response:	Well, I know that was sudden...
context: My name is Rohan Kishibe.\There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there?\Wait.\What... is this?\Well, I know that was sudden... response:	But it's much faster to just read
context: There's something that I wanted to ask you out of curiosity.\It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there?\Wait.\What... is this?\Well, I know that was sudden...\But it's much faster to just read response:	about Hayato Kawajiri than to ask bothersome questions,
context: It's about this picture.\This is you, right?\Were you taking video of your dad in the corner there?\Wait.\What... is this?\Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions, response:	and I can get honest answers this way, too.
context: This is you, right?\Were you taking video of your dad in the corner there?\Wait.\What... is this?\Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too. response:	You mustn't read any further.
context: Were you taking video of your dad in the corner there?\Wait.\What... is this?\Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further. response:	Huh? What's that supposed to mean?
context: Wait.\What... is this?\Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean? response:	What Heaven's Door turns into a book
context: What... is this?\Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book response:	should just be the memories of this boy's life experiences, without any falsehoods.
context: Well, I know that was sudden...\But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods. response:	And yet... a warning?
context: But it's much faster to just read\about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning? response:	You mustn't read any further.
context: about Hayato Kawajiri than to ask bothersome questions,\and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further. response:	What in the world is this?
context: and I can get honest answers this way, too.\You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further.\What in the world is this? response:	Is this warning what he experienced?
context: You mustn't read any further.\Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further.\What in the world is this?\Is this warning what he experienced? response:	I thought I'd just casually look into this child,
context: Huh? What's that supposed to mean?\What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further.\What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child, response:	but now this has definitely caught my interest.
context: What Heaven's Door turns into a book\should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further.\What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child,\but now this has definitely caught my interest. response:	You mustn't read any further.
context: should just be the memories of this boy's life experiences, without any falsehoods.\And yet... a warning?\You mustn't read any further.\What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child,\but now this has definitely caught my interest.\You mustn't read any further. response:	You mustn't read any further?
context: And yet... a warning?\You mustn't read any further.\What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child,\but now this has definitely caught my interest.\You mustn't read any further.\You mustn't read any further? response:	Who in the world could this warning be for?
context: You mustn't read any further.\What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child,\but now this has definitely caught my interest.\You mustn't read any further.\You mustn't read any further?\Who in the world could this warning be for? response:	An old guy walked by with his fly down.
context: What in the world is this?\Is this warning what he experienced?\I thought I'd just casually look into this child,\but now this has definitely caught my interest.\You mustn't read any further.\You mustn't read any further?\Who in the world could this warning be for?\An old guy walked by with his fly down. response:	He sneezed and said, Damn it.
