context: You've lost contact with Metal Bat? response:	Yes. I've already contacted every hero higher than Class A for backup.
context: Not bad for a human.\He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing.\It's still alive? response:	Wait a second, hero hunter!
context: He's a coward for not finishing him off.\No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter! response:	Two on one, eh?
context: No, that guy may actually prove useful, Hedrojellyfish.\Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter!\Two on one, eh? response:	We are not your enemies.
context: Hey, that's Metal Bat's little sister.\The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter!\Two on one, eh?\We are not your enemies. response:	I'm sure this will interest you.
context: The more hostages, the better.\Hey.\So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter!\Two on one, eh?\We are not your enemies.\I'm sure this will interest you. response:	The Monster Association?
context: Hey.\So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter!\Two on one, eh?\We are not your enemies.\I'm sure this will interest you.\The Monster Association? response:	He took the bait.
context: So you're the creepy gaze I was sensing.\It's still alive?\Wait a second, hero hunter!\Two on one, eh?\We are not your enemies.\I'm sure this will interest you.\The Monster Association?\He took the bait. response:	Follow me. I'll take you to our lair.
context: It's still alive?\Wait a second, hero hunter!\Two on one, eh?\We are not your enemies.\I'm sure this will interest you.\The Monster Association?\He took the bait.\Follow me. I'll take you to our lair. response:	I'm not interested. Get lost.
context: Wait a second, hero hunter!\Two on one, eh?\We are not your enemies.\I'm sure this will interest you.\The Monster Association?\He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost. response:	I'll pretend I didn't see that.
context: Two on one, eh?\We are not your enemies.\I'm sure this will interest you.\The Monster Association?\He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that. response:	But we'll be meeting again.
context: We are not your enemies.\I'm sure this will interest you.\The Monster Association?\He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again. response:	As long as you continue hunting heroes, that is.
context: I'm sure this will interest you.\The Monster Association?\He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is. response:	Just you wait!
context: The Monster Association?\He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait! response:	Disgusting.
context: He took the bait.\Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait!\Disgusting. response:	Well, this is a disappointment.
context: Follow me. I'll take you to our lair.\I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait!\Disgusting.\Well, this is a disappointment. response:	My Mohipunch...
context: I'm not interested. Get lost.\I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait!\Disgusting.\Well, this is a disappointment.\My Mohipunch... response:	My Pine-a-pow...
context: I'll pretend I didn't see that.\But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait!\Disgusting.\Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow... response:	Pineapple gets five points.
context: But we'll be meeting again.\As long as you continue hunting heroes, that is.\Just you wait!\Disgusting.\Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow...\Pineapple gets five points. response:	Smash
context: As long as you continue hunting heroes, that is.\Just you wait!\Disgusting.\Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow...\Pineapple gets five points.\Smash response:	Mohican gets two. That's out of a hundred, by the way.
context: Just you wait!\Disgusting.\Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow...\Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way. response:	You're unbelievably weak!
context: Disgusting.\Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow...\Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak! response:	Do you know how much I've trained my horn and this body for the destined day?!
context: Well, this is a disappointment.\My Mohipunch...\My Pine-a-pow...\Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?! response:	Well, do you?!
context: My Mohipunch...\My Pine-a-pow...\Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?! response:	Rhino Wrestler, get the hostages!
context: My Pine-a-pow...\Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages! response:	We're heading back!
context: Pineapple gets five points.\Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back! response:	What the hell? We're not fighting Metal Knight?
context: Smash\Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight? response:	Correct. That's just a remote-controlled robot.
context: Mohican gets two. That's out of a hundred, by the way.\You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot. response:	Besides, today is not the day. You're forbidden to act on your own.
context: You're unbelievably weak!\Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own. response:	Okay, fine. Are we taking both of these guys?
context: Do you know how much I've trained my horn and this body for the destined day?!\Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys? response:	No, just the kid is enough.
context: Well, do you?!\Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough. response:	D-Don't!
context: Rhino Wrestler, get the hostages!\We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't! response:	Damn it! Metal Bat asked us to watch over them!
context: We're heading back!\What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them! response:	We'll stop you, even if it kills us!
context: What the hell? We're not fighting Metal Knight?\Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us! response:	Okay, you can die, then!
context: Correct. That's just a remote-controlled robot.\Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then! response:	How do you like that, Phoenix Man?
context: Besides, today is not the day. You're forbidden to act on your own.\Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man? response:	What do you think my threat level is now?
context: Okay, fine. Are we taking both of these guys?\No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now? response:	Who knows? Centichoro, we've fulfilled our objective.
context: No, just the kid is enough.\D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective. response:	You can fall back!
context: D-Don't!\Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back! response:	You're burrowing? I think not!
context: Damn it! Metal Bat asked us to watch over them!\We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not! response:	I will not let go!
context: We'll stop you, even if it kills us!\Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not!\I will not let go! response:	This is fine. Today is not not the day.
context: Okay, you can die, then!\How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day. response:	Get him!
context: How do you like that, Phoenix Man?\What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day.\Get him! response:	You've got this, Heavy Kong!
context: What do you think my threat level is now?\Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong! response:	Damn it... Backup's not coming.
context: Who knows? Centichoro, we've fulfilled our objective.\You can fall back!\You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming. response:	What the hell is going on?
context: You can fall back!\You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on? response:	Are you a Class A hero?
context: You're burrowing? I think not!\I will not let go!\This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero? response:	How many of you do I have to kill to raise my threat level?
context: I will not let go!\This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level? response:	Monsters my electricity doesn't affect?
context: This is fine. Today is not not the day.\Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect? response:	This isn't my lucky day.
context: Get him!\You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day. response:	Class A hero Lightning Genji...
context: You've got this, Heavy Kong!\Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji... response:	You're actually very lucky.
context: Damn it... Backup's not coming.\What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky. response:	The other cities are facing much worse.
context: What the hell is going on?\Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse. response:	What the heck is going on?
context: Are you a Class A hero?\How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse.\What the heck is going on? response:	Charanko (Fist of Water Polo, Carbonation) Green Room
context: How many of you do I have to kill to raise my threat level?\Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room response:	Hey! You're the only one slacking!
context: Monsters my electricity doesn't affect?\This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking! response:	We're supposed to make our entrance now, you moron!
context: This isn't my lucky day.\Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron! response:	Hurry it up, Charanko!
context: Class A hero Lightning Genji...\You're actually very lucky.\The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko! response:	Okay, let's go.
context: You're actually very lucky.\The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go. response:	Ladies and gentlemen! Thank you all for waiting!
context: The other cities are facing much worse.\What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting! response:	The 22nd Super Fight!
context: What the heck is going on?\Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight! response:	Here are all of our entrants!
context: Charanko (Fist of Water Polo, Carbonation) Green Room\Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants! response:	First up is the Class A Rank 19 hero who's also known
context: Hey! You're the only one slacking!\We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known response:	as Lightning Max, entering for the first time!
context: We're supposed to make our entrance now, you moron!\Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time! response:	Max from Hyper Karate!
context: Hurry it up, Charanko!\Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate! response:	I can only see myself winning.
context: Okay, let's go.\Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning. response:	Our only lady entrant!
context: Ladies and gentlemen! Thank you all for waiting!\The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant! response:	Her lightning-speed attacks could be considered art.
context: The 22nd Super Fight!\Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art. response:	Ring-Ring from Palm Bells Fist!
context: Here are all of our entrants!\First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist! response:	I want to fight already.
context: First up is the Class A Rank 19 hero who's also known\as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already. response:	Next is Benpats from Bad Roads Martial Arts.
context: as Lightning Max, entering for the first time!\Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts. response:	And now, one of our top four regulars!
context: Max from Hyper Karate!\I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars! response:	His serpentine arms enclose his opponent and take them down!
context: I can only see myself winning.\Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down! response:	The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!
context: Our only lady entrant!\Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist! response:	Did you have to mention the lowest rank part?
context: Her lightning-speed attacks could be considered art.\Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part? response:	We still have many more!
context: Ring-Ring from Palm Bells Fist!\I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more! response:	Always electrifying, Boltane from Fist of Thunder and Lightning!
context: I want to fight already.\Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning! response:	Bazuzu from Bazuzu's Nuclear Fist!
context: Next is Benpats from Bad Roads Martial Arts.\And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist! response:	Gatling from Many Striking Fists!
context: And now, one of our top four regulars!\His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists! response:	The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!
context: His serpentine arms enclose his opponent and take them down!\The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi! response:	Dave from Crushing Giant Method!
context: The man ranked the lowest of the Class A heroes, Snek from Snakebite Fist!\Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method! response:	Rosie from Psychoanalytic Martial Art!
context: Did you have to mention the lowest rank part?\We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art! response:	Mentai from Spice Fist!
context: We still have many more!\Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist! response:	Jakumen from Giga Pro Wrestling!
context: Always electrifying, Boltane from Fist of Thunder and Lightning!\Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling! response:	Choze from Combat Arts of the Chosen People!
context: Bazuzu from Bazuzu's Nuclear Fist!\Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People! response:	A former student of the Fist of Flowing Water Crushing Rock,
context: Gatling from Many Striking Fists!\The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock, response:	Sourface from Sourface-Style Kempo!
context: The kindred spirit from Sunflower Dojo's Gentle Art of Self-Defense, Hamukichi!\Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo! response:	I'm so nervous, I think I'm gonna puke...
context: Dave from Crushing Giant Method!\Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke... response:	This is his seventh consecutive entry!
context: Rosie from Psychoanalytic Martial Art!\Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry! response:	Can this man who refuses to give up finally make it to the top?
context: Mentai from Spice Fist!\Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top? response:	Zakkos from Fist of Crazy Collision, Fierce Truth!
context: Jakumen from Giga Pro Wrestling!\Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth! response:	I'm going to get my first victory and propose!
context: Choze from Combat Arts of the Chosen People!\A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose! response:	Next up...
context: A former student of the Fist of Flowing Water Crushing Rock,\Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up... response:	We have a man who asked that no one go for his head on the surveys we handed out.
context: Sourface from Sourface-Style Kempo!\I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out. response:	Did he really come here to fight?
context: I'm so nervous, I think I'm gonna puke...\This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight? response:	Charanko from Fist of Water Polo, Carbonation!
context: This is his seventh consecutive entry!\Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation! response:	Why am I getting booed already?
context: Can this man who refuses to give up finally make it to the top?\Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already? response:	Isn't that the Class S hero Genos?
context: Zakkos from Fist of Crazy Collision, Fierce Truth!\I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos? response:	Guess he likes martial arts, too.
context: I'm going to get my first victory and propose!\Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too. response:	And now for the strongest man in Super Fight history,
context: Next up...\We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history, response:	our returning two-time champion!
context: We have a man who asked that no one go for his head on the surveys we handed out.\Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion! response:	His fights are always one-sided.
context: Did he really come here to fight?\Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided. response:	But according to him, he hasn't even shown us all his strength yet.
context: Charanko from Fist of Water Polo, Carbonation!\Why am I getting booed already?\Isn't that the Class S hero Genos?\Guess he likes martial arts, too.\And now for the strongest man in Super Fight history,\our returning two-time champion!\His fights are always one-sided.\But according to him, he hasn't even shown us all his strength yet. response:	Bakuzan from Art of the Darkness Hellkill!
