context: If only we could be together for ever and ever. response:	But, in reality...
context: This is also the time when the instant couples...\New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F. response:	He and Arima are 10th grade's two greatest heart throbs!
context: New couples began popping up all over the place.\But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs! response:	He's really popular, too!
context: But this is a pair of guys...\Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too! response:	He carried the trash cans for me.
context: Both of them are good-looking, so they stand out.\Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me. response:	He fetched a ball for me.
context: Hey hey, what's that guy's name?\Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me. response:	He really likes girls, doesn't he?
context: Oh, Asaba?\What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he? response:	He's so cute!
context: What?! Miyazawa, don't you know who Asaba is?\He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute! response:	Firefighters are really cool.
context: He's Asaba Hideaki from class 1-F.\He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool. response:	If he and Arima are friends,
context: He and Arima are 10th grade's two greatest heart throbs!\He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool.\If he and Arima are friends, response:	I guess I should make friends with him, too.
context: He's really popular, too!\He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too. response:	I'm going out with Arima, after all...
context: He carried the trash cans for me.\He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all... response:	Oh, hi...
context: He fetched a ball for me.\He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi... response:	Oh, you're Arima's girlfriend.
context: He really likes girls, doesn't he?\He's so cute!\Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend. response:	The guys all say you're cute...
context: He's so cute!\Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute... response:	Hey, Miyazawa. Whatcha up to?
context: Firefighters are really cool.\If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to? response:	Arima...
context: If he and Arima are friends,\I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima... response:	Hm?
context: I guess I should make friends with him, too.\I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima...\Hm? response:	Am I c...
context: I'm going out with Arima, after all...\Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima...\Hm?\Am I c... response:	You're very cute!
context: Oh, hi...\Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima...\Hm?\Am I c...\You're very cute! response:	Damn you! Asaba!
context: Oh, you're Arima's girlfriend.\The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima...\Hm?\Am I c...\You're very cute!\Damn you! Asaba! response:	Even though I've withdrawn from active duty...
context: The guys all say you're cute...\Hey, Miyazawa. Whatcha up to?\Arima...\Hm?\Am I c...\You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty... response:	You're dead meat!
context: Hey, Miyazawa. Whatcha up to?\Arima...\Hm?\Am I c...\You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat! response:	Just you watch, Asaba!
context: Arima...\Hm?\Am I c...\You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba! response:	You're about to feel my true wrath!
context: Hm?\Am I c...\You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath! response:	Ah...
context: Am I c...\You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath!\Ah... response:	Ah...
context: You're very cute!\Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath!\Ah...\Ah... response:	You bitch! Aren't you some kind of petite model student or something?!
context: Damn you! Asaba!\Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath!\Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?! response:	Humph! It's your fault for making me mad.
context: Even though I've withdrawn from active duty...\You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath!\Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad. response:	Damn bitch!
context: You're dead meat!\Just you watch, Asaba!\You're about to feel my true wrath!\Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch! response:	Now I'm really pissed!
context: Just you watch, Asaba!\You're about to feel my true wrath!\Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed! response:	Stuff it! I'll give you those words right back!
context: You're about to feel my true wrath!\Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back! response:	We met in the worst way possible...
context: Ah...\Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible... response:	who fought at first sight of each other.
context: Ah...\You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other. response:	I wonder what's up with Miyazawa and Asaba.
context: You bitch! Aren't you some kind of petite model student or something?!\Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba. response:	They're at each other's throats.
context: Humph! It's your fault for making me mad.\Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats. response:	But she's usually so sweet, and Asaba's normally really nice to girls...
context: Damn bitch!\Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls... response:	I hear you're not getting along with Asaba.
context: Now I'm really pissed!\Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba. response:	*Pout!* I don't want to hear that name right now.
context: Stuff it! I'll give you those words right back!\We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now. response:	I might go into combat mode and then there's no telling what I'd do.
context: We met in the worst way possible...\who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do. response:	What're you talking about?
context: who fought at first sight of each other.\I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about? response:	I swear! Arima, how come you're friends with him?!
context: I wonder what's up with Miyazawa and Asaba.\They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?! response:	What's so good about him?!
context: They're at each other's throats.\But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?! response:	Nothing in particular.
context: But she's usually so sweet, and Asaba's normally really nice to girls...\I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular. response:	When he talks to me, I talk back. I don't see him as a friend or anything.
context: I hear you're not getting along with Asaba.\*Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything. response:	I can't figure him out.
context: *Pout!* I don't want to hear that name right now.\I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out. response:	Whatcha lookin' at?
context: I might go into combat mode and then there's no telling what I'd do.\What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at? response:	Movie listings. Wanna take a look?
context: What're you talking about?\I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look? response:	Sure! The movies...
context: I swear! Arima, how come you're friends with him?!\What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies... response:	I haven't seen any lately. Anything good playing?
context: What's so good about him?!\Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing? response:	I was thinking this might be good...
context: Nothing in particular.\When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good... response:	Um...say, Miyazawa?
context: When he talks to me, I talk back. I don't see him as a friend or anything.\I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa? response:	If you're not busy or anything,
context: I can't figure him out.\Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything, response:	do you want to go see it with me this Sunday?
context: Whatcha lookin' at?\Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday? response:	Yes! Let's go, let's go,
context: Movie listings. Wanna take a look?\Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go, response:	Yay, a first date!
context: Sure! The movies...\I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date! response:	A lot's happened since I came to this school,
context: I haven't seen any lately. Anything good playing?\I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school, response:	but I've finally made it this far!
context: I was thinking this might be good...\Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far! response:	There went my mood.
context: Um...say, Miyazawa?\If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood. response:	Hey, aren't WE in a good mood today.
context: If you're not busy or anything,\do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today. response:	None of your business.
context: do you want to go see it with me this Sunday?\Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today.\None of your business. response:	You going on a date with Arima or something?
context: Yes! Let's go, let's go,\Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something? response:	What if I am?
context: Yay, a first date!\A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something?\What if I am? response:	Arima's got pretty weird tastes.
context: A lot's happened since I came to this school,\but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes. response:	He could have had his pick of better chicks if he wanted to.
context: but I've finally made it this far!\There went my mood.\Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to. response:	What're you doing?!
context: There went my mood.\Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?! response:	Let go!
context: Hey, aren't WE in a good mood today.\None of your business.\You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go! response:	Well, I bet Arima'll get tired of this thing soon enough.
context: None of your business.\You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough. response:	I guess there's nothing to worry about.
context: You going on a date with Arima or something?\What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about. response:	Shut up.
context: What if I am?\Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up. response:	I'm taking Arima for myself.
context: Arima's got pretty weird tastes.\He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself. response:	Oh my god...
context: He could have had his pick of better chicks if he wanted to.\What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself.\Oh my god... response:	I heard there's a lot of them lately, but you're really a...
context: What're you doing?!\Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a... response:	I'M NOT!
context: Let go!\Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT! response:	I love women!
context: Well, I bet Arima'll get tired of this thing soon enough.\I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women! response:	*My sweet,*
context: I guess there's nothing to worry about.\Shut up.\I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women!\*My sweet,* response:	Cute little lambs...
context: Shut up.\I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women!\*My sweet,*\Cute little lambs... response:	I've always loved having them all around me.
context: I'm taking Arima for myself.\Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women!\*My sweet,*\Cute little lambs...\I've always loved having them all around me. response:	I've come to hold a certain ambition.
context: Oh my god...\I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women!\*My sweet,*\Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition. response:	I want more and more girls around me!
context: I heard there's a lot of them lately, but you're really a...\I'M NOT!\I love women!\*My sweet,*\Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me! response:	I'm going to create Asaba Mary-Land someday!
context: I'M NOT!\I love women!\*My sweet,*\Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday! response:	And that's where Arima comes in.
context: I love women!\*My sweet,*\Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in. response:	He's the partner I've been seeking all these years.
context: *My sweet,*\Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years. response:	His good looks will contribute greatly to my ambition.
context: Cute little lambs...\I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition. response:	All the little Marys will be charmed by our brilliance...
context: I've always loved having them all around me.\I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance... response:	Hey, Mister High School Pervert!
context: I've come to hold a certain ambition.\I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert! response:	What the hell're you trying to get Arima mixed up in?!
context: I want more and more girls around me!\I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?! response:	It doesn't matter!
context: I'm going to create Asaba Mary-Land someday!\And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter! response:	I don't care as long as I'm happy!
context: And that's where Arima comes in.\He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy! response:	So that's why you're dissing me, because I'm the girlfriend.
context: He's the partner I've been seeking all these years.\His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend. response:	You finally figured it out.
context: His good looks will contribute greatly to my ambition.\All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out. response:	Since you were a quiet little model student...
context: All the little Marys will be charmed by our brilliance...\Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student... response:	Seems I miscalculated.
context: Hey, Mister High School Pervert!\What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated. response:	But I guess I don't hafta go to all the trouble of trying to break you two up.
context: What the hell're you trying to get Arima mixed up in?!\It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up. response:	With a girlfriend like you, Arima'll be the one to run away.
context: It doesn't matter!\I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away. response:	You're really pissing me off!
context: I don't care as long as I'm happy!\So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off! response:	What a jerk!
context: So that's why you're dissing me, because I'm the girlfriend.\You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk! response:	I never figured you to be such an ass!
context: You finally figured it out.\Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk!\I never figured you to be such an ass! response:	How can you be so indifferent?
context: Since you were a quiet little model student...\Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk!\I never figured you to be such an ass!\How can you be so indifferent? response:	Aren't you ashamed?
context: Seems I miscalculated.\But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk!\I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed? response:	Well, lemme ask you something then...
context: But I guess I don't hafta go to all the trouble of trying to break you two up.\With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk!\I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then... response:	What about yourself?
context: With a girlfriend like you, Arima'll be the one to run away.\You're really pissing me off!\What a jerk!\I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then...\What about yourself? response:	I don't think you and me are all that different.
context: You're really pissing me off!\What a jerk!\I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different. response:	You played the model student and deceived everyone else, didn't you?
context: What a jerk!\I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you? response:	If I'm a jerk, then so are you.
context: I never figured you to be such an ass!\How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you. response:	Why don't you stop and think about whether you're all that well suited for Arima.
context: How can you be so indifferent?\Aren't you ashamed?\Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima. response:	Just try to come up with some kind of retort.
context: Aren't you ashamed?\Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort. response:	I'll even give up on Arima if my argument is wrong.
context: Well, lemme ask you something then...\What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong. response:	Touche.
context: What about yourself?\I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche. response:	Miyazawa?
context: I don't think you and me are all that different.\You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa? response:	It's always been in the back of my mind so I can't refute it.
context: You played the model student and deceived everyone else, didn't you?\If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it. response:	What did you say to Miyazawa?
context: If I'm a jerk, then so are you.\Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa? response:	I know you're trying to use me.
context: Why don't you stop and think about whether you're all that well suited for Arima.\Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me. response:	Not to be conceited,
context: Just try to come up with some kind of retort.\I'll even give up on Arima if my argument is wrong.\Touche.\Miyazawa?\It's always been in the back of my mind so I can't refute it.\What did you say to Miyazawa?\I know you're trying to use me.\Not to be conceited, response:	but many people have tried to use me in the past.
