context: I don't see you up this early very often, Ichika. response:	Although I'm still the last one of the five of us.
context: You're not failing anything on my watch!\But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't... response:	Nothing.
context: But I'm not...\I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't...\Nothing. response:	Let's start, then.
context: I haven't seen Itsuki either, come to think of it.\I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't...\Nothing.\Let's start, then. response:	What are you working on right now?
context: I bet she's busy studying in her room.\There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't...\Nothing.\Let's start, then.\What are you working on right now? response:	Natural Immunity
context: There's no way she'd be dozing off at her desk or anything, right?\Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't...\Nothing.\Let's start, then.\What are you working on right now?\Natural Immunity response:	How do our bodies respond to disease agents?
context: Something the matter, Miku?\You should be more honest with yourself.\Th-There isn't...\Nothing.\Let's start, then.\What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents? response:	Biology.
context: You should be more honest with yourself.\Th-There isn't...\Nothing.\Let's start, then.\What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents?\Biology. response:	Let's continue, then.
context: Th-There isn't...\Nothing.\Let's start, then.\What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents?\Biology.\Let's continue, then. response:	Is there anything you couldn't understand?
context: Nothing.\Let's start, then.\What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents?\Biology.\Let's continue, then.\Is there anything you couldn't understand? response:	Um...
context: Let's start, then.\What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents?\Biology.\Let's continue, then.\Is there anything you couldn't understand?\Um... response:	Oh, uh...
context: What are you working on right now?\Natural Immunity\How do our bodies respond to disease agents?\Biology.\Let's continue, then.\Is there anything you couldn't understand?\Um...\Oh, uh... response:	Sorry about the day before yesterday.
context: Natural Immunity\How do our bodies respond to disease agents?\Biology.\Let's continue, then.\Is there anything you couldn't understand?\Um...\Oh, uh...\Sorry about the day before yesterday. response:	What're you talking about?
context: How do our bodies respond to disease agents?\Biology.\Let's continue, then.\Is there anything you couldn't understand?\Um...\Oh, uh...\Sorry about the day before yesterday.\What're you talking about? response:	G-Good question.
context: Biology.\Let's continue, then.\Is there anything you couldn't understand?\Um...\Oh, uh...\Sorry about the day before yesterday.\What're you talking about?\G-Good question. response:	I don't know why I'm telling you this, Miku.
context: Let's continue, then.\Is there anything you couldn't understand?\Um...\Oh, uh...\Sorry about the day before yesterday.\What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku. response:	I'm sorry, too.
context: Is there anything you couldn't understand?\Um...\Oh, uh...\Sorry about the day before yesterday.\What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too. response:	Now what are you talking about, Miku?
context: Um...\Oh, uh...\Sorry about the day before yesterday.\What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku? response:	G-Good question!
context: Oh, uh...\Sorry about the day before yesterday.\What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku?\G-Good question! response:	Um... About this part...
context: Sorry about the day before yesterday.\What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku?\G-Good question!\Um... About this part... response:	Oh, you're up to here already?
context: What're you talking about?\G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku?\G-Good question!\Um... About this part...\Oh, you're up to here already? response:	Well...
context: G-Good question.\I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku?\G-Good question!\Um... About this part...\Oh, you're up to here already?\Well... response:	Good job making it this far on your own.
context: I don't know why I'm telling you this, Miku.\I'm sorry, too.\Now what are you talking about, Miku?\G-Good question!\Um... About this part...\Oh, you're up to here already?\Well...\Good job making it this far on your own. response:	I scored 100s on all my midterms!
context: I'm sorry, too.\Now what are you talking about, Miku?\G-Good question!\Um... About this part...\Oh, you're up to here already?\Well...\Good job making it this far on your own.\I scored 100s on all my midterms! response:	We all got perfect scores, too!
context: Now what are you talking about, Miku?\G-Good question!\Um... About this part...\Oh, you're up to here already?\Well...\Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too! response:	I guess I have to admit that you're an excellent tutor.
context: G-Good question!\Um... About this part...\Oh, you're up to here already?\Well...\Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor. response:	What the hell is this?!
context: Um... About this part...\Oh, you're up to here already?\Well...\Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?! response:	Hip, hip, hooray!
context: Oh, you're up to here already?\Well...\Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray! response:	It's a huge success!
context: Well...\Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray!\It's a huge success! response:	It's almost like a dream!
context: Good job making it this far on your own.\I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray!\It's a huge success!\It's almost like a dream! response:	Yeah.
context: I scored 100s on all my midterms!\We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray!\It's a huge success!\It's almost like a dream!\Yeah. response:	There's no way they'd get any 100s.
context: We all got perfect scores, too!\I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray!\It's a huge success!\It's almost like a dream!\Yeah.\There's no way they'd get any 100s. response:	They really worked hard this past week.
context: I guess I have to admit that you're an excellent tutor.\What the hell is this?!\Hip, hip, hooray!\It's a huge success!\It's almost like a dream!\Yeah.\There's no way they'd get any 100s.\They really worked hard this past week. response:	What?!
context: What the hell is this?!\Hip, hip, hooray!\It's a huge success!\It's almost like a dream!\Yeah.\There's no way they'd get any 100s.\They really worked hard this past week.\What?! response:	You're staying over to study again?!
context: Hip, hip, hooray!\It's a huge success!\It's almost like a dream!\Yeah.\There's no way they'd get any 100s.\They really worked hard this past week.\What?!\You're staying over to study again?! response:	The exam is tomorrow.
context: It's a huge success!\It's almost like a dream!\Yeah.\There's no way they'd get any 100s.\They really worked hard this past week.\What?!\You're staying over to study again?!\The exam is tomorrow. response:	I don't care how efficient we are. We're going to cram.
context: It's almost like a dream!\Yeah.\There's no way they'd get any 100s.\They really worked hard this past week.\What?!\You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram. response:	Itsuki!
context: Yeah.\There's no way they'd get any 100s.\They really worked hard this past week.\What?!\You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki! response:	Maybe it's worth allowing it for tonight.
context: There's no way they'd get any 100s.\They really worked hard this past week.\What?!\You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight. response:	And now it's exam day.
context: They really worked hard this past week.\What?!\You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day. response:	You're up early, Uesugi-kun.
context: What?!\You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun. response:	Itsuki, just to be sure...
context: You're staying over to study again?!\The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure... response:	Our school's reporting time is 8:30, right?
context: The exam is tomorrow.\I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right? response:	That's right.
context: I don't care how efficient we are. We're going to cram.\Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right. response:	And the exams start fifteen minutes after that.
context: Itsuki!\Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that. response:	Okay.
context: Maybe it's worth allowing it for tonight.\And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that.\Okay. response:	Any chance that clock's broken?
context: And now it's exam day.\You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken? response:	Oh...
context: You're up early, Uesugi-kun.\Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken?\Oh... response:	my god!
context: Itsuki, just to be sure...\Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken?\Oh...\my god! response:	Hurry up, everyone!
context: Our school's reporting time is 8:30, right?\That's right.\And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken?\Oh...\my god!\Hurry up, everyone! response:	We're leaving you behind, Uesugi-san!
context: That's right.\And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken?\Oh...\my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san! response:	I thought you guys got a ride to school every day.
context: And the exams start fifteen minutes after that.\Okay.\Any chance that clock's broken?\Oh...\my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day. response:	Ebata-san is Dad's secretary.
context: Okay.\Any chance that clock's broken?\Oh...\my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary. response:	If only he were at home with Dad.
context: Any chance that clock's broken?\Oh...\my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad. response:	Y-Yeah.
context: Oh...\my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah. response:	What happens if we're late?
context: my god!\Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah.\What happens if we're late? response:	What do I tell their father?
context: Hurry up, everyone!\We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah.\What happens if we're late?\What do I tell their father? response:	I don't want people to see me without makeup.
context: We're leaving you behind, Uesugi-san!\I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah.\What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup. response:	Everyone's seen what you look like from the other four!
context: I thought you guys got a ride to school every day.\Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah.\What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four! response:	Thank you.
context: Ebata-san is Dad's secretary.\If only he were at home with Dad.\Y-Yeah.\What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you. response:	Commendable! But not right now!
context: If only he were at home with Dad.\Y-Yeah.\What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now! response:	Wake up!
context: Y-Yeah.\What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now!\Wake up! response:	I can't take it anymore.
context: What happens if we're late?\What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now!\Wake up!\I can't take it anymore. response:	Don't give up.
context: What do I tell their father?\I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now!\Wake up!\I can't take it anymore.\Don't give up. response:	No, I'm spent.
context: I don't want people to see me without makeup.\Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now!\Wake up!\I can't take it anymore.\Don't give up.\No, I'm spent. response:	Itsuki!
context: Everyone's seen what you look like from the other four!\Thank you.\Commendable! But not right now!\Wake up!\I can't take it anymore.\Don't give up.\No, I'm spent.\Itsuki! response:	I'm too hungry! I can't move!
context: Thank you.\Commendable! But not right now!\Wake up!\I can't take it anymore.\Don't give up.\No, I'm spent.\Itsuki!\I'm too hungry! I can't move! response:	They all look so good!
context: Commendable! But not right now!\Wake up!\I can't take it anymore.\Don't give up.\No, I'm spent.\Itsuki!\I'm too hungry! I can't move!\They all look so good! response:	You don't have time to choose.
context: Wake up!\I can't take it anymore.\Don't give up.\No, I'm spent.\Itsuki!\I'm too hungry! I can't move!\They all look so good!\You don't have time to choose. response:	What would you like?
context: I can't take it anymore.\Don't give up.\No, I'm spent.\Itsuki!\I'm too hungry! I can't move!\They all look so good!\You don't have time to choose.\What would you like? response:	Well, you know, I'm...
context: Don't give up.\No, I'm spent.\Itsuki!\I'm too hungry! I can't move!\They all look so good!\You don't have time to choose.\What would you like?\Well, you know, I'm... response:	I'll buy you something.
context: No, I'm spent.\Itsuki!\I'm too hungry! I can't move!\They all look so good!\You don't have time to choose.\What would you like?\Well, you know, I'm...\I'll buy you something. response:	I owe you for the trouble, though I won't say with what in particular.
context: Itsuki!\I'm too hungry! I can't move!\They all look so good!\You don't have time to choose.\What would you like?\Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular. response:	What should I have?
context: I'm too hungry! I can't move!\They all look so good!\You don't have time to choose.\What would you like?\Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have? response:	It's hard to decide, isn't it?
context: They all look so good!\You don't have time to choose.\What would you like?\Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it? response:	I thought you were in a hurry!
context: You don't have time to choose.\What would you like?\Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry! response:	Hey, Nino, we're almost there.
context: What would you like?\Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there. response:	Even if we do make it to the exam,
context: Well, you know, I'm...\I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam, response:	do you honestly think we can avoid failing?
context: I'll buy you something.\I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing? response:	Just so you know, I'm going to tell Dad exactly what happens.
context: I owe you for the trouble, though I won't say with what in particular.\What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens. response:	There wasn't much time, but I believe I've done what I could.
context: What should I have?\It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could. response:	I'm counting on you to do your part, too.
context: It's hard to decide, isn't it?\I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too. response:	Futaro-kun!
context: I thought you were in a hurry!\Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun! response:	Nino!
context: Hey, Nino, we're almost there.\Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun!\Nino! response:	We're late.
context: Even if we do make it to the exam,\do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun!\Nino!\We're late. response:	And the exam's starting soon.
context: do you honestly think we can avoid failing?\Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun!\Nino!\We're late.\And the exam's starting soon. response:	I'm sorry. It's because I made a stop on the way.
context: Just so you know, I'm going to tell Dad exactly what happens.\There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun!\Nino!\We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way. response:	Me, too.
context: There wasn't much time, but I believe I've done what I could.\I'm counting on you to do your part, too.\Futaro-kun!\Nino!\We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too. response:	Do you think the guidance teacher will let us off?
context: I'm counting on you to do your part, too.\Futaro-kun!\Nino!\We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off? response:	I know.
context: Futaro-kun!\Nino!\We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off?\I know. response:	We have Yotsuba.
context: Nino!\We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off?\I know.\We have Yotsuba. response:	Itsuki, call Yotsuba.
context: We're late.\And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off?\I know.\We have Yotsuba.\Itsuki, call Yotsuba. response:	Hello? Yotsuba?
context: And the exam's starting soon.\I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off?\I know.\We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba? response:	You're at school already, right?
context: I'm sorry. It's because I made a stop on the way.\Me, too.\Do you think the guidance teacher will let us off?\I know.\We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right? response:	Oh, no, it's fine.
context: Me, too.\Do you think the guidance teacher will let us off?\I know.\We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine. response:	Just stay inside.
context: Do you think the guidance teacher will let us off?\I know.\We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine.\Just stay inside. response:	Hey!
context: I know.\We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine.\Just stay inside.\Hey! response:	What are you thinking?
context: We have Yotsuba.\Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine.\Just stay inside.\Hey!\What are you thinking? response:	I call it Operation Doppelganger.
context: Itsuki, call Yotsuba.\Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine.\Just stay inside.\Hey!\What are you thinking?\I call it Operation Doppelganger. response:	Good morning!
context: Hello? Yotsuba?\You're at school already, right?\Oh, no, it's fine.\Just stay inside.\Hey!\What are you thinking?\I call it Operation Doppelganger.\Good morning! response:	You!
context: You're at school already, right?\Oh, no, it's fine.\Just stay inside.\Hey!\What are you thinking?\I call it Operation Doppelganger.\Good morning!\You! response:	You're late!
context: Oh, no, it's fine.\Just stay inside.\Hey!\What are you thinking?\I call it Operation Doppelganger.\Good morning!\You!\You're late! response:	Hang on.
context: Just stay inside.\Hey!\What are you thinking?\I call it Operation Doppelganger.\Good morning!\You!\You're late!\Hang on. response:	Don't you remember this ribbon?
context: Hey!\What are you thinking?\I call it Operation Doppelganger.\Good morning!\You!\You're late!\Hang on.\Don't you remember this ribbon? response:	I do remember seeing it just a moment ago.
context: What are you thinking?\I call it Operation Doppelganger.\Good morning!\You!\You're late!\Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago. response:	I went outside to help a teacher with something.
context: I call it Operation Doppelganger.\Good morning!\You!\You're late!\Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something. response:	O-Okay.
context: Good morning!\You!\You're late!\Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay. response:	The bell's sounded already.
context: You!\You're late!\Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay.\The bell's sounded already. response:	Be sure to take your seat before exams start.
context: You're late!\Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start. response:	Okay.
context: Hang on.\Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start.\Okay. response:	Like the shadows, unknowable.
context: Don't you remember this ribbon?\I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable. response:	Good morning!
context: I do remember seeing it just a moment ago.\I went outside to help a teacher with something.\O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable.\Good morning! response:	Good morning!
context: I went outside to help a teacher with something.\O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable.\Good morning!\Good morning! response:	G-Good morning.
context: O-Okay.\The bell's sounded already.\Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable.\Good morning!\Good morning!\G-Good morning. response:	M-Morning.
context: The bell's sounded already.\Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable.\Good morning!\Good morning!\G-Good morning.\M-Morning. response:	What's that girl doing, going in and out so many times?
context: Be sure to take your seat before exams start.\Okay.\Like the shadows, unknowable.\Good morning!\Good morning!\G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times? response:	I can't believe I lied to a teacher.
context: Okay.\Like the shadows, unknowable.\Good morning!\Good morning!\G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher. response:	What disrespect!
context: Like the shadows, unknowable.\Good morning!\Good morning!\G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect! response:	You're way too uptight.
context: Good morning!\Good morning!\G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect!\You're way too uptight. response:	Thank goodness.
context: Good morning!\G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect!\You're way too uptight.\Thank goodness. response:	You all made it in.
context: G-Good morning.\M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect!\You're way too uptight.\Thank goodness.\You all made it in. response:	It's the real one.
context: M-Morning.\What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect!\You're way too uptight.\Thank goodness.\You all made it in.\It's the real one. response:	Huh? Where's Uesugi-san?
context: What's that girl doing, going in and out so many times?\I can't believe I lied to a teacher.\What disrespect!\You're way too uptight.\Thank goodness.\You all made it in.\It's the real one.\Huh? Where's Uesugi-san? response:	Good morning.
context: I can't believe I lied to a teacher.\What disrespect!\You're way too uptight.\Thank goodness.\You all made it in.\It's the real one.\Huh? Where's Uesugi-san?\Good morning. response:	You're late, and now you're messing with me?
context: What disrespect!\You're way too uptight.\Thank goodness.\You all made it in.\It's the real one.\Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me? response:	Figures.
context: You're way too uptight.\Thank goodness.\You all made it in.\It's the real one.\Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me?\Figures. response:	Come to the guidance office!
context: Thank goodness.\You all made it in.\It's the real one.\Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me?\Figures.\Come to the guidance office! response:	Futaro...
context: You all made it in.\It's the real one.\Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me?\Figures.\Come to the guidance office!\Futaro... response:	Hurry up and go!
context: It's the real one.\Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me?\Figures.\Come to the guidance office!\Futaro...\Hurry up and go! response:	You'll be fine without me!
context: Huh? Where's Uesugi-san?\Good morning.\You're late, and now you're messing with me?\Figures.\Come to the guidance office!\Futaro...\Hurry up and go!\You'll be fine without me! response:	Believe in the effort you put in for yourselves!
context: Good morning.\You're late, and now you're messing with me?\Figures.\Come to the guidance office!\Futaro...\Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves! response:	What are you blabbering to yourself about?!
context: You're late, and now you're messing with me?\Figures.\Come to the guidance office!\Futaro...\Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?! response:	Let's get good grades and surprise Futaro-kun.
context: Figures.\Come to the guidance office!\Futaro...\Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun. response:	You too, Nino.
context: Come to the guidance office!\Futaro...\Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino. response:	Wh-Why me?
context: Futaro...\Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me? response:	Let's give it everything we've got.
context: Hurry up and go!\You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me?\Let's give it everything we've got. response:	Let's do this!
context: You'll be fine without me!\Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me?\Let's give it everything we've got.\Let's do this! response:	Yeah!
context: Believe in the effort you put in for yourselves!\What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me?\Let's give it everything we've got.\Let's do this!\Yeah! response:	Yeah...
context: What are you blabbering to yourself about?!\Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me?\Let's give it everything we've got.\Let's do this!\Yeah!\Yeah... response:	Social Studies
context: Let's get good grades and surprise Futaro-kun.\You too, Nino.\Wh-Why me?\Let's give it everything we've got.\Let's do this!\Yeah!\Yeah...\Social Studies response:	So many difficult questions.
