context: Hot Summer Day response:	Spirits of the Dead
context: A shrine?\Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation. response:	I trust you understand.
context: Look at it with these.\Is that\It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand. response:	Tamadate Souta... yeah, I understand.
context: Is that\It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand. response:	The mission begins at 2200.
context: It's a secret GHQ facility. What I want is inside.\What you want?\The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200. response:	Bring him to the designated point by then.
context: What you want?\The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then. response:	You make it sound so easy...
context: The rock that started it all.\That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy... response:	It is easy. Just use bait.
context: That's what we need to get our hands on most right now.\You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait. response:	Bait?
context: You and the Void you draw will be the key to the operation.\I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait.\Bait? response:	I hear he's an Egoist fan.
context: I trust you understand.\Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait.\Bait?\I hear he's an Egoist fan. response:	You want me to use Inori?! That's horrible!
context: Tamadate Souta... yeah, I understand.\The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait.\Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible! response:	Why not?
context: The mission begins at 2200.\Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait.\Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not? response:	You use something the other person is interested in to bring him in.
context: Bring him to the designated point by then.\You make it sound so easy...\It is easy. Just use bait.\Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in. response:	It's the most basic play there is.
context: You make it sound so easy...\It is easy. Just use bait.\Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is. response:	Even if that something is Inori?!
context: It is easy. Just use bait.\Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?! response:	I can see there's no point in arguing any further.
context: Bait?\I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further. response:	If you can't do it, you don't have to. Just stay in bed.
context: I hear he's an Egoist fan.\You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed. response:	Hey!
context: You want me to use Inori?! That's horrible!\Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey! response:	Wait!
context: Why not?\You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait! response:	I haven't gone on a trip with friends in forever!
context: You use something the other person is interested in to bring him in.\It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait!\I haven't gone on a trip with friends in forever! response:	Thanks for coming with us, Kanon.
context: It's the most basic play there is.\Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon. response:	What are you talking about? I am a member of the club, you know.
context: Even if that something is Inori?!\I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know. response:	Even if in name only.
context: I can see there's no point in arguing any further.\If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only. response:	But since Yahiro didn't come...
context: If you can't do it, you don't have to. Just stay in bed.\Hey!\Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come... response:	He doesn't have anything to do with this!
context: Hey!\Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this! response:	I'm so glad you're here.
context: Wait!\I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here. response:	If I were all alone with Yuzuriha, I'd...
context: I haven't gone on a trip with friends in forever!\Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd... response:	Wow, Inori, you've got great skin!
context: Thanks for coming with us, Kanon.\What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin! response:	Hey, can I touch you?!
context: What are you talking about? I am a member of the club, you know.\Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?! response:	Huh? Um...
context: Even if in name only.\But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um... response:	Whoa! It's so smooth!
context: But since Yahiro didn't come...\He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth! response:	What about here, then?
context: He doesn't have anything to do with this!\I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth!\What about here, then? response:	Don't... touch there...
context: I'm so glad you're here.\If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth!\What about here, then?\Don't... touch there... response:	I wonder how Yuzuriha feels about Shu.
context: If I were all alone with Yuzuriha, I'd...\Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth!\What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu. response:	Hey, Shu.
context: Wow, Inori, you've got great skin!\Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth!\What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu. response:	What?
context: Hey, can I touch you?!\Huh? Um...\Whoa! It's so smooth!\What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What? response:	Is there really nothing between you and Inori?
context: Huh? Um...\Whoa! It's so smooth!\What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What?\Is there really nothing between you and Inori? response:	I told you before, there really isn't
context: Whoa! It's so smooth!\What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What?\Is there really nothing between you and Inori?\I told you before, there really isn't response:	If there isn't, I'm going for it.
context: What about here, then?\Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What?\Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it. response:	I'm going for Inori.
context: Don't... touch there...\I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What?\Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori. response:	Want to start tonight?
context: I wonder how Yuzuriha feels about Shu.\Hey, Shu.\What?\Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight? response:	A mission you drag your friends into...
context: Hey, Shu.\What?\Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight?\A mission you drag your friends into... response:	It's certainly not a job that suits Ouma.
context: What?\Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma. response:	I disagree. That's what friends are for.
context: Is there really nothing between you and Inori?\I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for. response:	That sounds like you.
context: I told you before, there really isn't\If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you. response:	A life with no adventure in it is boring.
context: If there isn't, I'm going for it.\I'm going for Inori.\Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring. response:	The least a friend can do is stir up a little trouble in your heart.
context: I'm going for Inori.\Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart. response:	Tsutsugami Gai.
context: Want to start tonight?\A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai. response:	Sir.
context: A mission you drag your friends into...\It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir. response:	What do you want?
context: It's certainly not a job that suits Ouma.\I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir.\What do you want? response:	Are you sure about this?
context: I disagree. That's what friends are for.\That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir.\What do you want?\Are you sure about this? response:	It doesn't matter. I'm not entirely convinced he's even my son.
context: That sounds like you.\A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir.\What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son. response:	His mother was a no-good woman.
context: A life with no adventure in it is boring.\The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir.\What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman. response:	Unlike you.
context: The least a friend can do is stir up a little trouble in your heart.\Tsutsugami Gai.\Sir.\What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you. response:	Sorry this was so sudden.
context: Tsutsugami Gai.\Sir.\What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you.\Sorry this was so sudden. response:	The stars are really pretty, huh?
context: Sir.\What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh? response:	We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.
context: What do you want?\Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh. response:	It's not a problem. There's no problem with leaving them alone together.
context: Are you sure about this?\It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together. response:	There's something I want to show you.
context: It doesn't matter. I'm not entirely convinced he's even my son.\His mother was a no-good woman.\Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you. response:	I was so touched by Egoist's music video, I just couldn't contain myself.
context: His mother was a no-good woman.\Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself. response:	So I tried making one of my own.
context: Unlike you.\Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own. response:	What's he doing?
context: Sorry this was so sudden.\The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing? response:	Blooming wildflower
context: The stars are really pretty, huh?\We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing?\Blooming wildflower response:	I beg you, please tell me
context: We hardly ever see them in Tokyo... well, I guess this is Tokyo too, huh.\It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing?\Blooming wildflower\I beg you, please tell me response:	He's doing something I'd do...
context: It's not a problem. There's no problem with leaving them alone together.\There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing?\Blooming wildflower\I beg you, please tell me\He's doing something I'd do... response:	Does he think Inori'll be interested in just any guy who does that?
context: There's something I want to show you.\I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing?\Blooming wildflower\I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that? response:	Why do people fight and hurt each other?
context: I was so touched by Egoist's music video, I just couldn't contain myself.\So I tried making one of my own.\What's he doing?\Blooming wildflower\I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other? response:	It's pretty.
context: So I tried making one of my own.\What's he doing?\Blooming wildflower\I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty. response:	I-Inori!
context: What's he doing?\Blooming wildflower\I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty.\I-Inori! response:	When your singing moved me, that feeling was real!
context: Blooming wildflower\I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty.\I-Inori!\When your singing moved me, that feeling was real! response:	I want to know you better, Inori!
context: I beg you, please tell me\He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty.\I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori! response:	Because I... really... l-lo...
context: He's doing something I'd do...\Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty.\I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo... response:	Stop right there!
context: Does he think Inori'll be interested in just any guy who does that?\Why do people fight and hurt each other?\It's pretty.\I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo...\Stop right there! response:	Shu?!
context: Why do people fight and hurt each other?\It's pretty.\I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo...\Stop right there!\Shu?! response:	Why are you here?!
context: It's pretty.\I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo...\Stop right there!\Shu?!\Why are you here?! response:	Inori is my
context: I-Inori!\When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo...\Stop right there!\Shu?!\Why are you here?!\Inori is my response:	Shu.
context: When your singing moved me, that feeling was real!\I want to know you better, Inori!\Because I... really... l-lo...\Stop right there!\Shu?!\Why are you here?!\Inori is my\Shu. response:	Hey, what's the big idea? Don't draw that thing out here!
context: I want to know you better, Inori!\Because I... really... l-lo...\Stop right there!\Shu?!\Why are you here?!\Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here! response:	How long have you been there?!
context: Because I... really... l-lo...\Stop right there!\Shu?!\Why are you here?!\Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?! response:	You have no self-control.
context: Stop right there!\Shu?!\Why are you here?!\Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control. response:	Ayase?
context: Shu?!\Why are you here?!\Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control.\Ayase? response:	Inori is my!
context: Why are you here?!\Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control.\Ayase?\Inori is my! response:	H-Hey!
context: Inori is my\Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control.\Ayase?\Inori is my!\H-Hey! response:	This is an unexpected development.
context: Shu.\Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control.\Ayase?\Inori is my!\H-Hey!\This is an unexpected development. response:	What now, Gai?
context: Hey, what's the big idea? Don't draw that thing out here!\How long have you been there?!\You have no self-control.\Ayase?\Inori is my!\H-Hey!\This is an unexpected development.\What now, Gai? response:	There'll be no change of plans. We'll go now, as is. Got it?
context: How long have you been there?!\You have no self-control.\Ayase?\Inori is my!\H-Hey!\This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it? response:	Aye-aye!
context: You have no self-control.\Ayase?\Inori is my!\H-Hey!\This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye! response:	Inori is my what?
context: Ayase?\Inori is my!\H-Hey!\This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what? response:	We're all here, then?
context: Inori is my!\H-Hey!\This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what?\We're all here, then? response:	Tsugumi's blinded the guards. The issue is what's inside here.
context: H-Hey!\This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here. response:	Ogumo!
context: This is an unexpected development.\What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo! response:	Yes, Sir.
context: What now, Gai?\There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir. response:	When you confess your feelings, you should do a proper job.
context: There'll be no change of plans. We'll go now, as is. Got it?\Aye-aye!\Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job. response:	Shu, shoot the gate with that camera.
context: Aye-aye!\Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera. response:	Is this a Void for opening things?
context: Inori is my what?\We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things? response:	Let's go.
context: We're all here, then?\Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go. response:	What's your business?
context: Tsugumi's blinded the guards. The issue is what's inside here.\Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go.\What's your business? response:	My apologies, Chief Keido
context: Ogumo!\Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go.\What's your business?\My apologies, Chief Keido response:	Don't worry about it.
context: Yes, Sir.\When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go.\What's your business?\My apologies, Chief Keido\Don't worry about it. response:	I'm just a wraith passing by.
context: When you confess your feelings, you should do a proper job.\Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go.\What's your business?\My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by. response:	Could they be on to us?
context: Shu, shoot the gate with that camera.\Is this a Void for opening things?\Let's go.\What's your business?\My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by.\Could they be on to us? response:	No, this isn't about us. This is...
context: Is this a Void for opening things?\Let's go.\What's your business?\My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is... response:	Hurry!
context: Let's go.\What's your business?\My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is...\Hurry! response:	Shu!
context: What's your business?\My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is...\Hurry!\Shu! response:	Let's go.
context: My apologies, Chief Keido\Don't worry about it.\I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is...\Hurry!\Shu!\Let's go. response:	Why would a Void like this come from inside Souta?
context: Don't worry about it.\I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is...\Hurry!\Shu!\Let's go.\Why would a Void like this come from inside Souta? response:	I couldn't care less about the reason.
context: I'm just a wraith passing by.\Could they be on to us?\No, this isn't about us. This is...\Hurry!\Shu!\Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason. response:	The important thing...
context: Could they be on to us?\No, this isn't about us. This is...\Hurry!\Shu!\Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing... response:	What is this room?
context: No, this isn't about us. This is...\Hurry!\Shu!\Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing...\What is this room? response:	Our objective lies ahead. Shoot.
context: Hurry!\Shu!\Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing...\What is this room?\Our objective lies ahead. Shoot. response:	Does this mean...?!
context: Shu!\Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing...\What is this room?\Our objective lies ahead. Shoot.\Does this mean...?! response:	Gai? What are you...
context: Let's go.\Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing...\What is this room?\Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you... response:	We're withdrawing.
context: Why would a Void like this come from inside Souta?\I couldn't care less about the reason.\The important thing...\What is this room?\Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you...\We're withdrawing. response:	I should have known it was you, Keido.
context: I couldn't care less about the reason.\The important thing...\What is this room?\Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you...\We're withdrawing.\I should have known it was you, Keido. response:	The double grief of a lost bliss is to recall its happy hour in pain...
context: The important thing...\What is this room?\Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you...\We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain... response:	Kurosu.
context: What is this room?\Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you...\We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu. response:	I won't stop.
context: Our objective lies ahead. Shoot.\Does this mean...?!\Gai? What are you...\We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop. response:	Are you okay?
context: Does this mean...?!\Gai? What are you...\We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop.\Are you okay? response:	Shu...
context: Gai? What are you...\We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop.\Are you okay?\Shu... response:	Huh? Where's Inori?!
context: We're withdrawing.\I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop.\Are you okay?\Shu...\Huh? Where's Inori?! response:	She went back.
context: I should have known it was you, Keido.\The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop.\Are you okay?\Shu...\Huh? Where's Inori?!\She went back. response:	What's your problem?
context: The double grief of a lost bliss is to recall its happy hour in pain...\Kurosu.\I won't stop.\Are you okay?\Shu...\Huh? Where's Inori?!\She went back.\What's your problem? response:	Souta.
context: Kurosu.\I won't stop.\Are you okay?\Shu...\Huh? Where's Inori?!\She went back.\What's your problem?\Souta. response:	I'm not going to help you anymore.
context: I won't stop.\Are you okay?\Shu...\Huh? Where's Inori?!\She went back.\What's your problem?\Souta.\I'm not going to help you anymore. response:	You have feelings for Inori after all, don't you?
context: Are you okay?\Shu...\Huh? Where's Inori?!\She went back.\What's your problem?\Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you? response:	If you feel that way, then tell me from the start!
context: Shu...\Huh? Where's Inori?!\She went back.\What's your problem?\Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start! response:	I never know what you're thinking!
context: Huh? Where's Inori?!\She went back.\What's your problem?\Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking! response:	You're no better!
context: She went back.\What's your problem?\Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better! response:	You're pushy, you have no tact, and you're oblivious to everyone around you!
context: What's your problem?\Souta.\I'm not going to help you anymore.\You have feelings for Inori after all, don't you?\If you feel that way, then tell me from the start!\I never know what you're thinking!\You're no better!\You're pushy, you have no tact, and you're oblivious to everyone around you! response:	That really bothers me about you.
