context: You just can't stand to be on your own! response:	Who isn't alone in this society?
context: We can say that your qualities are as close to ideal as they come\for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion. response:	However, such obfuscation is nothing but a simple, short-term strategy.
context: for serving as an example to the citizens of the coming new era.\Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy. response:	In the long term, this course of action is not desirable.
context: Furthermore, you hold an emotional antipathy that is completely contrary to your theoretical assessment of the Sibyl System,\and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable. response:	We should eventually make the truth public.
context: and that conflict continues to exist.\If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public. response:	If we can create an environment where every citizen still enjoys and accepts our governance
context: If we can establish a means of winning you over to our side,\we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance response:	after they are made aware of our true form,
context: we will be able to obtain valuable sample data for taking the governance of society to the next level.\What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form, response:	such an achievement will solidify the stability and prosperity of the future human society.
context: What are you up to?\The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society. response:	Continuing to observe and analyze your movements
context: The true form of the Sibyl System is currently kept secret out of consideration for public opinion.\However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements response:	will provide us with valuable hints on how to build a methodology
context: However, such obfuscation is nothing but a simple, short-term strategy.\In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology response:	for winning over the citizens in the future and getting them to adapt.
context: In the long term, this course of action is not desirable.\We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt. response:	You think it'll all go as smoothly as that?
context: We should eventually make the truth public.\If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that? response:	As long as you refrain from jeopardizing the secrecy of this information,
context: If we can create an environment where every citizen still enjoys and accepts our governance\after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information, response:	your life and your freedom of action will be guaranteed.
context: after they are made aware of our true form,\such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed. response:	We hope you will cooperate with us.
context: such an achievement will solidify the stability and prosperity of the future human society.\Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us. response:	If you wish to follow your own drive for self-preservation, there is only one choice.
context: Continuing to observe and analyze your movements\will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice. response:	You're right. I don't want to die in vain,
context: will provide us with valuable hints on how to build a methodology\for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain, response:	and it's true that the current society cannot hold without Sibyl.
context: for winning over the citizens in the future and getting them to adapt.\You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl. response:	We feel that we can trust in your respect for the law when you make decisions.
context: You think it'll all go as smoothly as that?\As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions. response:	Do you know the most demeaning thing you can do to the law that we should respect?
context: As long as you refrain from jeopardizing the secrecy of this information,\your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect? response:	Creating and administering a law that is unworthy of protection.
context: your life and your freedom of action will be guaranteed.\We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection. response:	You shouldn't underestimate humans.
context: We hope you will cooperate with us.\If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans. response:	We're always aiming for a better society.
context: If you wish to follow your own drive for self-preservation, there is only one choice.\You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society. response:	One day, someone will come to this room to turn off the power.
context: You're right. I don't want to die in vain,\and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power. response:	We will find a new path. You can count on it.
context: and it's true that the current society cannot hold without Sibyl.\We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it. response:	There is no place for the Sibyl System in our future!
context: We feel that we can trust in your respect for the law when you make decisions.\Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future! response:	Akane Tsunemori...
context: Do you know the most demeaning thing you can do to the law that we should respect?\Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori... response:	Fight.
context: Creating and administering a law that is unworthy of protection.\You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight. response:	Struggle.
context: You shouldn't underestimate humans.\We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight.\Struggle. response:	So that it may lead us to evolve.
context: We're always aiming for a better society.\One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight.\Struggle.\So that it may lead us to evolve. response:	2 months later
context: One day, someone will come to this room to turn off the power.\We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight.\Struggle.\So that it may lead us to evolve.\2 months later response:	Hey, it's been a while.
context: We will find a new path. You can count on it.\There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight.\Struggle.\So that it may lead us to evolve.\2 months later\Hey, it's been a while. response:	I came to talk to you today,
context: There is no place for the Sibyl System in our future!\Akane Tsunemori...\Fight.\Struggle.\So that it may lead us to evolve.\2 months later\Hey, it's been a while.\I came to talk to you today, response:	since I've decided what I'm going to do next.
context: Akane Tsunemori...\Fight.\Struggle.\So that it may lead us to evolve.\2 months later\Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next. response:	My Crime Coefficient went up to 140.
context: Fight.\Struggle.\So that it may lead us to evolve.\2 months later\Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140. response:	There's no longer any chance of recovery.
context: Struggle.\So that it may lead us to evolve.\2 months later\Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery. response:	But it's not in my nature to sit around and mope in an isolation facility.
context: So that it may lead us to evolve.\2 months later\Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility. response:	So I decided to go back to where I used to work.
context: 2 months later\Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work. response:	You told me to take a different path.
context: Hey, it's been a while.\I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path. response:	Guess I didn't live up to your expectations.
context: I came to talk to you today,\since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations. response:	I ended up being a terrible son in every way, didn't I?
context: since I've decided what I'm going to do next.\My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I? response:	But strangely enough, I don't have any regrets.
context: My Crime Coefficient went up to 140.\There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets. response:	There's nothing good about being a detective.
context: There's no longer any chance of recovery.\But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective. response:	But it's a job that someone needs to do.
context: But it's not in my nature to sit around and mope in an isolation facility.\So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do. response:	Right... Dad?
context: So I decided to go back to where I used to work.\You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad? response:	Sorry to drag you out here.
context: You told me to take a different path.\Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here. response:	That's okay. It's my duty to accompany Enforcers when they go outside.
context: Guess I didn't live up to your expectations.\I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside. response:	Unlike Kagari, at least my dad was able to get a proper grave.
context: I ended up being a terrible son in every way, didn't I?\But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave. response:	Division 2 was told to give up their investigation on him, right?
context: But strangely enough, I don't have any regrets.\There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right? response:	Yeah.
context: There's nothing good about being a detective.\But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah. response:	I don't think Kagari is alive.
context: But it's a job that someone needs to do.\Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive. response:	I'm sure the top brass found evidence of that,
context: Right... Dad?\Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that, response:	but they're trying to sweep it under the rug and keep it from the public.
context: Sorry to drag you out here.\That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public. response:	I wonder where Kougami is.
context: That's okay. It's my duty to accompany Enforcers when they go outside.\Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is. response:	When the collar comes off such a wild hunting dog,
context: Unlike Kagari, at least my dad was able to get a proper grave.\Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog, response:	he becomes no different from a wolf.
context: Division 2 was told to give up their investigation on him, right?\Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf. response:	Now that he's back in the wild,
context: Yeah.\I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild, response:	maybe he's living a comparatively free and easygoing life.
context: I don't think Kagari is alive.\I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life. response:	Would his life really be all that relaxing?
context: I'm sure the top brass found evidence of that,\but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing? response:	It's not like he took it easy as an Enforcer, right?
context: but they're trying to sweep it under the rug and keep it from the public.\I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right? response:	He was a perseverant, cunning man who didn't know when to give up.
context: I wonder where Kougami is.\When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up. response:	No matter how bad the situation, he'll always pull through.
context: When the collar comes off such a wild hunting dog,\he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through. response:	If anything, I'm more concerned about you, Inspector Tsunemori.
context: he becomes no different from a wolf.\Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori. response:	What? Me?
context: Now that he's back in the wild,\maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me? response:	You're ever the worrier, Ginoza.
context: maybe he's living a comparatively free and easygoing life.\Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza. response:	Let's look at the future, rather than the past.
context: Would his life really be all that relaxing?\It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past. response:	A new Inspector will be assigned tomorrow, right?
context: It's not like he took it easy as an Enforcer, right?\He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right? response:	It's unusual to hire a minor, isn't it?
context: He was a perseverant, cunning man who didn't know when to give up.\No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it? response:	We're partially responsible for that.
context: No matter how bad the situation, he'll always pull through.\If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that. response:	By the way, it's not important, but do you mind if I ask you something?
context: If anything, I'm more concerned about you, Inspector Tsunemori.\What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something? response:	What is it?
context: What? Me?\You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it? response:	Were your glasses just for show?
context: You're ever the worrier, Ginoza.\Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show? response:	What?
context: Let's look at the future, rather than the past.\A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show?\What? response:	I don't like how my face looks, especially my eyes.
context: A new Inspector will be assigned tomorrow, right?\It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes. response:	But I don't care about that anymore, so it didn't seem to matter.
context: It's unusual to hire a minor, isn't it?\We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter. response:	The face of Division 1 sure has changed, hasn't it?
context: We're partially responsible for that.\By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it? response:	Shu, Masa, Shinya...
context: By the way, it's not important, but do you mind if I ask you something?\What is it?\Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya... response:	They're all gone.
context: What is it?\Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone. response:	It means that old-fashioned guys aren't suited for this job.
context: Were your glasses just for show?\What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job. response:	Isn't calling them old-fashioned a bit harsh?
context: What?\I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh? response:	Why don't you call them romantics?
context: I don't like how my face looks, especially my eyes.\But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics? response:	Do you think they might take comfort in that?
context: But I don't care about that anymore, so it didn't seem to matter.\The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that? response:	This is the Criminal Investigation Department, part of the Public Safety Bureau.
context: The face of Division 1 sure has changed, hasn't it?\Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau. response:	Access to this block is currently restricted to ensure safety.
context: Shu, Masa, Shinya...\They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety. response:	Excuse me!
context: They're all gone.\It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me! response:	Are you Inspector Tsunemori?
context: It means that old-fashioned guys aren't suited for this job.\Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori? response:	Yes.
context: Isn't calling them old-fashioned a bit harsh?\Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori?\Yes. response:	You've got rotten luck, having to deal with an incident right after getting posted.
context: Why don't you call them romantics?\Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted. response:	I'm Shimotsuki Mika. I've been assigned to the CID as of today.
context: Do you think they might take comfort in that?\This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today. response:	Pleased to meet you!
context: This is the Criminal Investigation Department, part of the Public Safety Bureau.\Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you! response:	Sorry, but the CID is very short on manpower.
context: Access to this block is currently restricted to ensure safety.\Excuse me!\Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower. response:	I'll do what I can to help, but you'll have to hit the ground running.
context: Excuse me!\Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running. response:	I'm aware of that.
context: Are you Inspector Tsunemori?\Yes.\You've got rotten luck, having to deal with an incident right after getting posted.\I'm Shimotsuki Mika. I've been assigned to the CID as of today.\Pleased to meet you!\Sorry, but the CID is very short on manpower.\I'll do what I can to help, but you'll have to hit the ground running.\I'm aware of that. response:	I'm looking forward to the work.
