context: Ourarch-enemy Naraku had totally concealed himself from us. response:	Fifty years ago, Onigumo the brigand gave rise to Naraku.
context: But because of the war, the shrine was burned down.\And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too.\I had one, too! response:	The message said ourgod was in a dark, dank place.
context: And the sacred object containing the spirit of the Monkey God was stolen!\And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place. response:	Mine said it was small and suffocating.
context: And you think that the sacred object is in the village?\Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating. response:	In my dream, our god said it smelled of vegetables!
context: Yes.\We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables! response:	Something's coming closer.
context: We believe that the sacred object is buried in the field.\I know this because I had a dream message.\I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer. response:	Listen... I won't make any judgments.
context: I know this because I had a dream message.\I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments. response:	But the spell you put on Inuyasha... you should break it.
context: I saw it, too.\I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it. response:	No way!
context: I had one, too!\The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way! response:	Why?
context: The message said ourgod was in a dark, dank place.\Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way!\Why? response:	Well...
context: Mine said it was small and suffocating.\In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way!\Why?\Well... response:	We've forgotten how to undo the spell.
context: In my dream, our god said it smelled of vegetables!\Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way!\Why?\Well...\We've forgotten how to undo the spell. response:	What did you say?!
context: Something's coming closer.\Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way!\Why?\Well...\We've forgotten how to undo the spell.\What did you say?! response:	If you feign ignorance, you'll get hurt.
context: Listen... I won't make any judgments.\But the spell you put on Inuyasha... you should break it.\No way!\Why?\Well...\We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt. response:	Inuyasha doesn't know how to take it easy with kids.
context: But the spell you put on Inuyasha... you should break it.\No way!\Why?\Well...\We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids. response:	We're not feigning ignorance!
context: No way!\Why?\Well...\We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance! response:	We really did forget it!
context: Why?\Well...\We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it! response:	Oh dear...
context: Well...\We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it!\Oh dear... response:	You'll die!
context: We've forgotten how to undo the spell.\What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it!\Oh dear...\You'll die! response:	Wait!
context: What did you say?!\If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it!\Oh dear...\You'll die!\Wait! response:	If we find the Monkey God, your spell can be broken!
context: If you feign ignorance, you'll get hurt.\Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it!\Oh dear...\You'll die!\Wait!\If we find the Monkey God, your spell can be broken! response:	Besides, we learned the trick from the Monkey God!
context: Inuyasha doesn't know how to take it easy with kids.\We're not feigning ignorance!\We really did forget it!\Oh dear...\You'll die!\Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God! response:	We must hurry back to the village and find the sacred object!
context: We're not feigning ignorance!\We really did forget it!\Oh dear...\You'll die!\Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object! response:	Huh?
context: We really did forget it!\Oh dear...\You'll die!\Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh? response:	We're going on ahead!
context: Oh dear...\You'll die!\Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead! response:	What?
context: You'll die!\Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead!\What? response:	You shoulda just waited back there!
context: Wait!\If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead!\What?\You shoulda just waited back there! response:	Hey!
context: If we find the Monkey God, your spell can be broken!\Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead!\What?\You shoulda just waited back there!\Hey! response:	Aren't you tired, Inuyasha?
context: Besides, we learned the trick from the Monkey God!\We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead!\What?\You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha? response:	Don't ask!
context: We must hurry back to the village and find the sacred object!\Huh?\We're going on ahead!\What?\You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha?\Don't ask! response:	No way am I gonna keep hanging on to this... rock!
context: Huh?\We're going on ahead!\What?\You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock! response:	How clumsy, Inuyasha.
context: We're going on ahead!\What?\You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha. response:	Look at you, mutt!
context: What?\You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt! response:	W-Wha...!
context: You shoulda just waited back there!\Hey!\Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...! response:	You!
context: Hey!\Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...!\You! response:	Such a shame that you can't use Tetsusaiga with that arm.
context: Aren't you tired, Inuyasha?\Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm. response:	- How wasteful... - Hey, stop!
context: Don't ask!\No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop! response:	Give it back!
context: No way am I gonna keep hanging on to this... rock!\How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back! response:	You can leave Kagome to me!
context: How clumsy, Inuyasha.\Look at you, mutt!\W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me! response:	Why you...!
context: Look at you, mutt!\W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me!\Why you...! response:	I, yourelderbrother, shall gladly use Tetsusaiga.
context: W-Wha...!\You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga. response:	Let's go, Kagome!
context: You!\Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome! response:	Wait, you!
context: Such a shame that you can't use Tetsusaiga with that arm.\- How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you! response:	Wait... - !
context: - How wasteful... - Hey, stop!\Give it back!\You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you!\Wait... - ! response:	No way will I wait!
context: Give it back!\You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you!\Wait... - !\No way will I wait! response:	The sacred object of the Monkey God?
context: You can leave Kagome to me!\Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you!\Wait... - !\No way will I wait!\The sacred object of the Monkey God? response:	Yes, it's supposed to be in this village.
context: Why you...!\I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you!\Wait... - !\No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village. response:	- Yeah, you have it! - Give it back!
context: I, yourelderbrother, shall gladly use Tetsusaiga.\Let's go, Kagome!\Wait, you!\Wait... - !\No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back! response:	I know of no such thing.
context: Let's go, Kagome!\Wait, you!\Wait... - !\No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing. response:	He's here already!
context: Wait, you!\Wait... - !\No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing.\He's here already! response:	Hey, what's the hold-up?!
context: Wait... - !\No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing.\He's here already!\Hey, what's the hold-up?! response:	Ourlives are at stake!
context: No way will I wait!\The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing.\He's here already!\Hey, what's the hold-up?!\Ourlives are at stake! response:	Huh?
context: The sacred object of the Monkey God?\Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing.\He's here already!\Hey, what's the hold-up?!\Ourlives are at stake!\Huh? response:	The Dog God!
context: Yes, it's supposed to be in this village.\- Yeah, you have it! - Give it back!\I know of no such thing.\He's here already!\Hey, what's the hold-up?!\Ourlives are at stake!\Huh?\The Dog God! response:	Where's the Monkey God?!
context: - Yeah, you have it! - Give it back!\I know of no such thing.\He's here already!\Hey, what's the hold-up?!\Ourlives are at stake!\Huh?\The Dog God!\Where's the Monkey God?! response:	Get this rock off, or I'll kill you!
context: I know of no such thing.\He's here already!\Hey, what's the hold-up?!\Ourlives are at stake!\Huh?\The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you! response:	That was quick, Inuyasha.
context: He's here already!\Hey, what's the hold-up?!\Ourlives are at stake!\Huh?\The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha. response:	Hey, don'tgo nearhim!
context: Hey, what's the hold-up?!\Ourlives are at stake!\Huh?\The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim! response:	Why you...!
context: Ourlives are at stake!\Huh?\The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...! response:	Can't you remember how to undo this spell?!
context: Huh?\The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?! response:	Not at all!
context: The Dog God!\Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?!\Not at all! response:	Yourhand got stuck to the boulder due to a spell those monkeys put on you?
context: Where's the Monkey God?!\Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you? response:	Are you really a Dog God?
context: Get this rock off, or I'll kill you!\That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God? response:	That's why I've been telling you, I'm not!!
context: That was quick, Inuyasha.\Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!! response:	He's the farthest thing from a God.
context: Hey, don'tgo nearhim!\Why you...!\Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God. response:	Only the Monkey God can undo the spell.
context: Why you...!\Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell. response:	That's the story!
context: Can't you remember how to undo this spell?!\Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story! response:	So if you're hiding anything, I'll destroy the village!
context: Not at all!\Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village! response:	Inuyasha! Sit!
context: Yourhand got stuck to the boulder due to a spell those monkeys put on you?\Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit! response:	Kagome... you!
context: Are you really a Dog God?\That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you! response:	Be quiet.
context: That's why I've been telling you, I'm not!!\He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you!\Be quiet. response:	Shall we split up and search?
context: He's the farthest thing from a God.\Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you!\Be quiet.\Shall we split up and search? response:	We don't want anymore plundering.
context: Only the Monkey God can undo the spell.\That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you!\Be quiet.\Shall we split up and search?\We don't want anymore plundering. response:	Thank you so much!
context: That's the story!\So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you!\Be quiet.\Shall we split up and search?\We don't want anymore plundering.\Thank you so much! response:	So what's it look like?
context: So if you're hiding anything, I'll destroy the village!\Inuyasha! Sit!\Kagome... you!\Be quiet.\Shall we split up and search?\We don't want anymore plundering.\Thank you so much!\So what's it look like? response:	It's a rock about this size.
context: Inuyasha! Sit!\Kagome... you!\Be quiet.\Shall we split up and search?\We don't want anymore plundering.\Thank you so much!\So what's it look like?\It's a rock about this size. response:	It's engraved with the symbol of the Monkey God.
context: Kagome... you!\Be quiet.\Shall we split up and search?\We don't want anymore plundering.\Thank you so much!\So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God. response:	It's perfectly round.
context: Be quiet.\Shall we split up and search?\We don't want anymore plundering.\Thank you so much!\So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round. response:	Could that be it?
context: Shall we split up and search?\We don't want anymore plundering.\Thank you so much!\So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it? response:	There was a rock like that up in the mountain in the back.
context: We don't want anymore plundering.\Thank you so much!\So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back. response:	- It's in the mountain! - The mountain!
context: Thank you so much!\So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain! response:	The mountain!
context: So what's it look like?\It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain! response:	Awright! The mountain overin the back, huh?
context: It's a rock about this size.\It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh? response:	- This one? - Nope.
context: It's engraved with the symbol of the Monkey God.\It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope. response:	No?!
context: It's perfectly round.\Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope.\No?! response:	Damn it!
context: Could that be it?\There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope.\No?!\Damn it! response:	Inuyasha!
context: There was a rock like that up in the mountain in the back.\- It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope.\No?!\Damn it!\Inuyasha! response:	I remember seeing it along this riverbed.
context: - It's in the mountain! - The mountain!\The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope.\No?!\Damn it!\Inuyasha!\I remember seeing it along this riverbed. response:	- The riverbed! - The riverbed!
context: The mountain!\Awright! The mountain overin the back, huh?\- This one? - Nope.\No?!\Damn it!\Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed! response:	The riverbed!
context: Awright! The mountain overin the back, huh?\- This one? - Nope.\No?!\Damn it!\Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed! response:	This one?
context: - This one? - Nope.\No?!\Damn it!\Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed!\This one? response:	Nope.
context: No?!\Damn it!\Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed!\This one?\Nope. response:	It doesn't look godly at all.
context: Damn it!\Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed!\This one?\Nope.\It doesn't look godly at all. response:	This isn't it?!
context: Inuyasha!\I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed!\This one?\Nope.\It doesn't look godly at all.\This isn't it?! response:	Inuyasha!
context: I remember seeing it along this riverbed.\- The riverbed! - The riverbed!\The riverbed!\This one?\Nope.\It doesn't look godly at all.\This isn't it?!\Inuyasha! response:	Maybe it's that rock in the forest.
context: - The riverbed! - The riverbed!\The riverbed!\This one?\Nope.\It doesn't look godly at all.\This isn't it?!\Inuyasha!\Maybe it's that rock in the forest. response:	Next to the Jizo shrine overin the east...
context: The riverbed!\This one?\Nope.\It doesn't look godly at all.\This isn't it?!\Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east... response:	I know! The one over in the south valley!
context: This one?\Nope.\It doesn't look godly at all.\This isn't it?!\Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley! response:	There was a rock under the house...
context: Nope.\It doesn't look godly at all.\This isn't it?!\Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house... response:	We're back.
context: It doesn't look godly at all.\This isn't it?!\Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house...\We're back. response:	Inuyasha...
context: This isn't it?!\Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house...\We're back.\Inuyasha... response:	What are you doing?
context: Inuyasha!\Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house...\We're back.\Inuyasha...\What are you doing? response:	You guys help look forthe sacred object, too.
context: Maybe it's that rock in the forest.\Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house...\We're back.\Inuyasha...\What are you doing?\You guys help look forthe sacred object, too. response:	I see.
context: Next to the Jizo shrine overin the east...\I know! The one over in the south valley!\There was a rock under the house...\We're back.\Inuyasha...\What are you doing?\You guys help look forthe sacred object, too.\I see. response:	So all this happened in my absence.
context: I know! The one over in the south valley!\There was a rock under the house...\We're back.\Inuyasha...\What are you doing?\You guys help look forthe sacred object, too.\I see.\So all this happened in my absence. response:	It's such a problem.
context: There was a rock under the house...\We're back.\Inuyasha...\What are you doing?\You guys help look forthe sacred object, too.\I see.\So all this happened in my absence.\It's such a problem. response:	I understand.
context: We're back.\Inuyasha...\What are you doing?\You guys help look forthe sacred object, too.\I see.\So all this happened in my absence.\It's such a problem.\I understand. response:	I'll do something with my spiritual powers.
context: Inuyasha...\What are you doing?\You guys help look forthe sacred object, too.\I see.\So all this happened in my absence.\It's such a problem.\I understand.\I'll do something with my spiritual powers. response:	What?!
context: What are you doing?\You guys help look forthe sacred object, too.\I see.\So all this happened in my absence.\It's such a problem.\I understand.\I'll do something with my spiritual powers.\What?! response:	You'll find the Monkey God?!
context: You guys help look forthe sacred object, too.\I see.\So all this happened in my absence.\It's such a problem.\I understand.\I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?! response:	Of course.
context: I see.\So all this happened in my absence.\It's such a problem.\I understand.\I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?!\Of course. response:	However, my powers are only effective from morning.
context: So all this happened in my absence.\It's such a problem.\I understand.\I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning. response:	It's okay!
context: It's such a problem.\I understand.\I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning.\It's okay! response:	What do you mean?
context: I understand.\I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning.\It's okay!\What do you mean? response:	Well, I wanted to have a place to stay tonight.
context: I'll do something with my spiritual powers.\What?!\You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning.\It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight. response:	We've been saved!
context: What?!\You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning.\It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved! response:	You're being tricked.
context: You'll find the Monkey God?!\Of course.\However, my powers are only effective from morning.\It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked. response:	Are you sure about telling such a lie?
context: Of course.\However, my powers are only effective from morning.\It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked.\Are you sure about telling such a lie? response:	It'll work out somehow.
context: However, my powers are only effective from morning.\It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow. response:	There's something fishy about all this.
context: It's okay!\What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this. response:	How pitiful, though. Falling for such a trick.
context: What do you mean?\Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick. response:	Hey!
context: Well, I wanted to have a place to stay tonight.\We've been saved!\You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey! response:	Hurry up and do something, or you'll regret it.
context: We've been saved!\You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it. response:	Why?
context: You're being tricked.\Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it.\Why? response:	With my hand like this...
context: Are you sure about telling such a lie?\It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it.\Why?\With my hand like this... response:	I can't use the Tetsusaiga!
context: It'll work out somehow.\There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it.\Why?\With my hand like this...\I can't use the Tetsusaiga! response:	If Inuyasha...
context: There's something fishy about all this.\How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it.\Why?\With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha... response:	remains stuck...
context: How pitiful, though. Falling for such a trick.\Hey!\Hurry up and do something, or you'll regret it.\Why?\With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha...\remains stuck... response:	Hiraikotsu!
context: Hey!\Hurry up and do something, or you'll regret it.\Why?\With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha...\remains stuck...\Hiraikotsu! response:	Wind Tunnel!
context: Hurry up and do something, or you'll regret it.\Why?\With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha...\remains stuck...\Hiraikotsu!\Wind Tunnel! response:	Get back, Miroku!
context: Why?\With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha...\remains stuck...\Hiraikotsu!\Wind Tunnel!\Get back, Miroku! response:	Stone-Reaver, Soul-Stealer!
context: With my hand like this...\I can't use the Tetsusaiga!\If Inuyasha...\remains stuck...\Hiraikotsu!\Wind Tunnel!\Get back, Miroku!\Stone-Reaver, Soul-Stealer! response:	W-What?
context: I can't use the Tetsusaiga!\If Inuyasha...\remains stuck...\Hiraikotsu!\Wind Tunnel!\Get back, Miroku!\Stone-Reaver, Soul-Stealer!\W-What? response:	It's a good thing, Inuyasha.
context: If Inuyasha...\remains stuck...\Hiraikotsu!\Wind Tunnel!\Get back, Miroku!\Stone-Reaver, Soul-Stealer!\W-What?\It's a good thing, Inuyasha. response:	Yes, yes.
context: remains stuck...\Hiraikotsu!\Wind Tunnel!\Get back, Miroku!\Stone-Reaver, Soul-Stealer!\W-What?\It's a good thing, Inuyasha.\Yes, yes. response:	You have anotherweapon.
