context: Never before in all the world had such a mysterious phantom manifested... response:	And whenever that strange figure appeared before people,
context: But I think she could've been a little nicer to us!\That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady! response:	I'm not all that ladylike myself, but still...
context: That kind of behavior is the reason she'll never be able to snag a boyfriend!\He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still... response:	So I'm the butt of their jokes when they think I'm not here...
context: He's got her number!\Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here... response:	Bastard! What the hell'd you do that for?!
context: Or even if she got a boyfriend, I bet he'd run away first chance he had.\She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?! response:	Don't play dumb! You just doused me with a mug of booze!
context: She was born a lady outside, but she's a barbarian on the inside.\Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze! response:	Don't go making weird accusations!
context: Mm. Only a Man who was truly wild could be a match for her.\Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations! response:	If it wasn't you, then who did it?!
context: Lucy should learn a little from Team Shadow Gear's Levy!\She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?! response:	How do I know?!
context: She should act more like a lady!\I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?! response:	Ow!
context: I'm not all that ladylike myself, but still...\So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?!\Ow! response:	What was that for?!
context: So I'm the butt of their jokes when they think I'm not here...\Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?!\Ow!\What was that for?! response:	You're the one that started it!
context: Bastard! What the hell'd you do that for?!\Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?!\Ow!\What was that for?!\You're the one that started it! response:	What have we here?! A fight?!
context: Don't play dumb! You just doused me with a mug of booze!\Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?!\Ow!\What was that for?!\You're the one that started it!\What have we here?! A fight?! response:	What's going on all of a sudden?
context: Don't go making weird accusations!\If it wasn't you, then who did it?!\How do I know?!\Ow!\What was that for?!\You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden? response:	Something about getting splashed with booze...
context: If it wasn't you, then who did it?!\How do I know?!\Ow!\What was that for?!\You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze... response:	Hey! If you're gonna fight, take it elsewhere!
context: How do I know?!\Ow!\What was that for?!\You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere! response:	Just when I was getting into it...
context: Ow!\What was that for?!\You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it... response:	What the hell are you doin'?!
context: What was that for?!\You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?! response:	Asshole! You lookin' for a fight?!
context: You're the one that started it!\What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?! response:	Don't bug me when I'm eatin'!
context: What have we here?! A fight?!\What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'! response:	What the hell?!
context: What's going on all of a sudden?\Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?! response:	Move it! We're tryin' to have a fight here!
context: Something about getting splashed with booze...\Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here! response:	Seven years have passed and you still haven't picked a job?!
context: Hey! If you're gonna fight, take it elsewhere!\Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?! response:	I'm looking for the job that only I can do!
context: Just when I was getting into it...\What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do! response:	What's going on?!
context: What the hell are you doin'?!\Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?! response:	Everyone, calm down! What started this?!
context: Asshole! You lookin' for a fight?!\Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?! response:	Leave them be. This is no different than usual.
context: Don't bug me when I'm eatin'!\What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual. response:	But at this rate, they'll destroy the guild hall!
context: What the hell?!\Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall! response:	We can always fix it later.
context: Move it! We're tryin' to have a fight here!\Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later. response:	Not getting upset by every little thing is the mark of an adult.
context: Seven years have passed and you still haven't picked a job?!\I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult. response:	Honestly, this bunch hasn't matured at all.
context: I'm looking for the job that only I can do!\What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all. response:	If anything, they've become even more boisterous these past seven years...
context: What's going on?!\Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years... response:	Morons... You've taken it too far!
context: Everyone, calm down! What started this?!\Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far! response:	Even Erza-san joined in!
context: Leave them be. This is no different than usual.\But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in! response:	I figured she would...
context: But at this rate, they'll destroy the guild hall!\We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would... response:	It looks like Erza hasn't matured any either.
context: We can always fix it later.\Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either. response:	It's become a regular riot!
context: Not getting upset by every little thing is the mark of an adult.\Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot! response:	Ouch!
context: Honestly, this bunch hasn't matured at all.\If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch! response:	Lucy's... voice? And her scent, too...
context: If anything, they've become even more boisterous these past seven years...\Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too... response:	Lucy, is that you?!
context: Morons... You've taken it too far!\Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?! response:	Don't touch me there!
context: Even Erza-san joined in!\I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there! response:	Lucy, he says?
context: I figured she would...\It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there!\Lucy, he says? response:	Lucy's here?
context: It looks like Erza hasn't matured any either.\It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there!\Lucy, he says?\Lucy's here? response:	I could hear her voice...
context: It's become a regular riot!\Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there!\Lucy, he says?\Lucy's here?\I could hear her voice... response:	But I can't see her!
context: Ouch!\Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there!\Lucy, he says?\Lucy's here?\I could hear her voice...\But I can't see her! response:	Lucy, where are you?
context: Lucy's... voice? And her scent, too...\Lucy, is that you?!\Don't touch me there!\Lucy, he says?\Lucy's here?\I could hear her voice...\But I can't see her!\Lucy, where are you? response:	The cat's out of the bag!
context: Lucy, is that you?!\Don't touch me there!\Lucy, he says?\Lucy's here?\I could hear her voice...\But I can't see her!\Lucy, where are you?\The cat's out of the bag! response:	I see. So that's what happened...
context: Don't touch me there!\Lucy, he says?\Lucy's here?\I could hear her voice...\But I can't see her!\Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened... response:	What a weird sight...
context: Lucy, he says?\Lucy's here?\I could hear her voice...\But I can't see her!\Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened...\What a weird sight... response:	S-Stop staring at me like that. I'm getting embarrassed.
context: Lucy's here?\I could hear her voice...\But I can't see her!\Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed. response:	Creepy!
context: I could hear her voice...\But I can't see her!\Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy! response:	Who's creepy?!
context: But I can't see her!\Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?! response:	This is a real pickle...
context: Lucy, where are you?\The cat's out of the bag!\I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?!\This is a real pickle... response:	For now, we rounded up some clothes for you, but...
context: The cat's out of the bag!\I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but... response:	You can't change back to normal?
context: I see. So that's what happened...\What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal? response:	No... I came here because I thought you guys could do something...
context: What a weird sight...\S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something... response:	I don't see what the problem is.
context: S-Stop staring at me like that. I'm getting embarrassed.\Creepy!\Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is. response:	It could be a lot of fun, so let's go out on a job with you like that!
context: Creepy!\Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that! response:	I can't go like this!
context: Who's creepy?!\This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this! response:	Doesn't anyone know of a way to cancel out invisibility magic?!
context: This is a real pickle...\For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?! response:	Easier said than done...
context: For now, we rounded up some clothes for you, but...\You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done... response:	Hmmm...
context: You can't change back to normal?\No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm... response:	Okay! I have a good idea!
context: No... I came here because I thought you guys could do something...\I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm...\Okay! I have a good idea! response:	What?!
context: I don't see what the problem is.\It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm...\Okay! I have a good idea!\What?! response:	Toasting you with flames will probably fix it!
context: It could be a lot of fun, so let's go out on a job with you like that!\I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm...\Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it! response:	Y-You have grounds to believe that?
context: I can't go like this!\Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm...\Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that? response:	True, when I turned to stone that one time, he did the same thing to me.
context: Doesn't anyone know of a way to cancel out invisibility magic?!\Easier said than done...\Hmmm...\Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me. response:	But if we can't think of anything else, I guess that's the only way to go.
context: Easier said than done...\Hmmm...\Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go. response:	Mm. If you're a Man, you'll do it without hesitation.
context: Hmmm...\Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation. response:	I'm a girl!
context: Okay! I have a good idea!\What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl! response:	Alright, here I go, Lucy!
context: What?!\Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy! response:	I'll help you, Natsu-nii!
context: Toasting you with flames will probably fix it!\Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii! response:	Wait! I'm not mentally prepared yet!
context: Y-You have grounds to believe that?\True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet! response:	Ready... go!
context: True, when I turned to stone that one time, he did the same thing to me.\But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go! response:	Hot-hot-hot-hot-hot!
context: But if we can't think of anything else, I guess that's the only way to go.\Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot! response:	Hmm, looks like it didn't work...
context: Mm. If you're a Man, you'll do it without hesitation.\I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work... response:	Of course it didn't!
context: I'm a girl!\Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't! response:	Keep your chin up, Lu-chan.
context: Alright, here I go, Lucy!\I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan. response:	I'm sure we'll find a way...
context: I'll help you, Natsu-nii!\Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way... response:	Oui. I believe a time like this is made for me to step up.
context: Wait! I'm not mentally prepared yet!\Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up. response:	Reedus!
context: Ready... go!\Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus! response:	Do you have some kind of plan?
context: Hot-hot-hot-hot-hot!\Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan? response:	Leave it to me...
context: Hmm, looks like it didn't work...\Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan?\Leave it to me... response:	All I have to do is paint Lucy's face!
context: Of course it didn't!\Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face! response:	Th-That looks like her and doesn't look like her at the same time...
context: Keep your chin up, Lu-chan.\I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time... response:	Unlike the real Lucy, she's beautiful!
context: I'm sure we'll find a way...\Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful! response:	I kind of have mixed feelings...
context: Oui. I believe a time like this is made for me to step up.\Reedus!\Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings... response:	Hmm... Then what if I add this?!
context: Reedus!\Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?! response:	Now this, I hate!
context: Do you have some kind of plan?\Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate! response:	I can paint better than that!
context: Leave it to me...\All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that! response:	Don't!
context: All I have to do is paint Lucy's face!\Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that!\Don't! response:	Finished! Looks just like you!
context: Th-That looks like her and doesn't look like her at the same time...\Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that!\Don't!\Finished! Looks just like you! response:	I'm not a cat!
context: Unlike the real Lucy, she's beautiful!\I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that!\Don't!\Finished! Looks just like you!\I'm not a cat! response:	That's right! Lucy's face is more like this, this, and like this!
context: I kind of have mixed feelings...\Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that!\Don't!\Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this! response:	No, her eyes are more like this!
context: Hmm... Then what if I add this?!\Now this, I hate!\I can paint better than that!\Don't!\Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this! response:	H-Hey...
context: Now this, I hate!\I can paint better than that!\Don't!\Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey... response:	Mmm...
context: I can paint better than that!\Don't!\Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey...\Mmm... response:	What do you mean, mmm?!
context: Don't!\Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey...\Mmm...\What do you mean, mmm?! response:	Aren't her nose and mouth like this?
context: Finished! Looks just like you!\I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey...\Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this? response:	In that case, there's more of an impact if we go like this.
context: I'm not a cat!\That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey...\Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this. response:	You guys suck. Let me give it a whack!
context: That's right! Lucy's face is more like this, this, and like this!\No, her eyes are more like this!\H-Hey...\Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack! response:	Nah, leave it to me.
context: No, her eyes are more like this!\H-Hey...\Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me. response:	I used to take drawing class when I was a kid.
context: H-Hey...\Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid. response:	I would go bolder, like so!
context: Mmm...\What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so! response:	It's important to have distinct characteristics.
context: What do you mean, mmm?!\Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics. response:	She's a girl, so we should make her cuter!
context: Aren't her nose and mouth like this?\In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter! response:	She needs sparkling eyes!
context: In that case, there's more of an impact if we go like this.\You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes! response:	Or better yet, how about black hair?
context: You guys suck. Let me give it a whack!\Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair? response:	It may look good on her!
context: Nah, leave it to me.\I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her! response:	I'd rather try out a different hairstyle.
context: I used to take drawing class when I was a kid.\I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle. response:	Like very short or with dreads...
context: I would go bolder, like so!\It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads... response:	She'd look good with an afro, too, don't you think?
context: It's important to have distinct characteristics.\She's a girl, so we should make her cuter!\She needs sparkling eyes!\Or better yet, how about black hair?\It may look good on her!\I'd rather try out a different hairstyle.\Like very short or with dreads...\She'd look good with an afro, too, don't you think? response:	Then we have to paint her face, too!
