context: Milika here! response:	In this video, I try walking in on three of my classmates in a relationship.
context: Is this really the time to be impressed?!\But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker! response:	I'll make you regret humiliating me.
context: But how did you know where we live?\Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker!\I'll make you regret humiliating me. response:	Just you wait!
context: Don't underestimate the Milika-sama.\I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker!\I'll make you regret humiliating me.\Just you wait! response:	I'm going to make you fall for me!
context: I secretly followed you here.\I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker!\I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me! response:	Should we call the cops?
context: I'm so hungry.\I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker!\I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me!\Should we call the cops? response:	D-Don't!
context: I can't wait for Nagisa-chan's dinner.\Yeah.\You're practically a stalker!\I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me!\Should we call the cops?\D-Don't! response:	We have a new (outdoor) tenant...
context: Yeah.\You're practically a stalker!\I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me!\Should we call the cops?\D-Don't!\We have a new (outdoor) tenant... response:	Newbie
context: You're practically a stalker!\I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me!\Should we call the cops?\D-Don't!\We have a new (outdoor) tenant...\Newbie response:	Girlfriend, Girlfriend
context: I'll make you regret humiliating me.\Just you wait!\I'm going to make you fall for me!\Should we call the cops?\D-Don't!\We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend response:	Setting up the tent was hard...
context: Just you wait!\I'm going to make you fall for me!\Should we call the cops?\D-Don't!\We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend\Setting up the tent was hard... response:	I can't believe she'd...
context: I'm going to make you fall for me!\Should we call the cops?\D-Don't!\We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd... response:	I'm camping out here until you fall in love with me.
context: Should we call the cops?\D-Don't!\We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me. response:	What a nuisance.
context: D-Don't!\We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance. response:	What do we do?
context: We have a new (outdoor) tenant...\Newbie\Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance.\What do we do? response:	Living in a tent sounds tough, though.
context: Newbie\Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance.\What do we do?\Living in a tent sounds tough, though. response:	I don't think she's going to last.
context: Girlfriend, Girlfriend\Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance.\What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last. response:	Yeah.
context: Setting up the tent was hard...\I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance.\What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah. response:	They did say it's going to be chilly tonight.
context: I can't believe she'd...\I'm camping out here until you fall in love with me.\What a nuisance.\What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight. response:	Don't underestimate me!
context: I'm camping out here until you fall in love with me.\What a nuisance.\What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me! response:	S-So cold...
context: What a nuisance.\What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold... response:	It's May...
context: What do we do?\Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold...\It's May... response:	What's happening?
context: Living in a tent sounds tough, though.\I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold...\It's May...\What's happening? response:	I'm d-dying...
context: I don't think she's going to last.\Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold...\It's May...\What's happening?\I'm d-dying... response:	I'm going to die!
context: Yeah.\They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold...\It's May...\What's happening?\I'm d-dying...\I'm going to die! response:	Milika-san.
context: They did say it's going to be chilly tonight.\Don't underestimate me!\S-So cold...\It's May...\What's happening?\I'm d-dying...\I'm going to die!\Milika-san. response:	Stop putting yourself in danger and go home.
context: Don't underestimate me!\S-So cold...\It's May...\What's happening?\I'm d-dying...\I'm going to die!\Milika-san.\Stop putting yourself in danger and go home. response:	I-I told you, I'm not going home until you fall for me!
context: S-So cold...\It's May...\What's happening?\I'm d-dying...\I'm going to die!\Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me! response:	You're still saying that?!
context: It's May...\What's happening?\I'm d-dying...\I'm going to die!\Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?! response:	Are you going to live out there forever?
context: What's happening?\I'm d-dying...\I'm going to die!\Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever? response:	You ass!
context: I'm d-dying...\I'm going to die!\Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever?\You ass! response:	I care about my two girlfriends.
context: I'm going to die!\Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever?\You ass!\I care about my two girlfriends. response:	Please give up.
context: Milika-san.\Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever?\You ass!\I care about my two girlfriends.\Please give up. response:	Yeah.
context: Stop putting yourself in danger and go home.\I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever?\You ass!\I care about my two girlfriends.\Please give up.\Yeah. response:	Everyone's making fun of me.
context: I-I told you, I'm not going home until you fall for me!\You're still saying that?!\Are you going to live out there forever?\You ass!\I care about my two girlfriends.\Please give up.\Yeah.\Everyone's making fun of me. response:	Hell no!
context: You're still saying that?!\Are you going to live out there forever?\You ass!\I care about my two girlfriends.\Please give up.\Yeah.\Everyone's making fun of me.\Hell no! response:	I just need to buy an expensive sleeping bag to bear the cold!
context: Are you going to live out there forever?\You ass!\I care about my two girlfriends.\Please give up.\Yeah.\Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold! response:	And I can just kill all the bugs!
context: You ass!\I care about my two girlfriends.\Please give up.\Yeah.\Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs! response:	I'll stock up on everything I need!
context: I care about my two girlfriends.\Please give up.\Yeah.\Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need! response:	Arrives Tomorrow
context: Please give up.\Yeah.\Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow response:	Confirm Order
context: Yeah.\Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order response:	Order Details
context: Everyone's making fun of me.\Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order\Order Details response:	Subtotal
context: Hell no!\I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order\Order Details\Subtotal response:	Shipping Handling
context: I just need to buy an expensive sleeping bag to bear the cold!\And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order\Order Details\Subtotal\Shipping Handling response:	Total
context: And I can just kill all the bugs!\I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order\Order Details\Subtotal\Shipping Handling\Total response:	Discount
context: I'll stock up on everything I need!\Arrives Tomorrow\Confirm Order\Order Details\Subtotal\Shipping Handling\Total\Discount response:	Total
context: Arrives Tomorrow\Confirm Order\Order Details\Subtotal\Shipping Handling\Total\Discount\Total response:	Arrives Tomorrow
context: Confirm Order\Order Details\Subtotal\Shipping Handling\Total\Discount\Total\Arrives Tomorrow response:	Confirm Order
context: Order Details\Subtotal\Shipping Handling\Total\Discount\Total\Arrives Tomorrow\Confirm Order response:	Arrives Tomorrow
context: Subtotal\Shipping Handling\Total\Discount\Total\Arrives Tomorrow\Confirm Order\Arrives Tomorrow response:	Confirm Order
context: Shipping Handling\Total\Discount\Total\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Confirm Order response:	Arrives Tomorrow
context: Total\Discount\Total\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Confirm Order\Arrives Tomorrow response:	Now I just need to hang on until it arrives!
context: Discount\Total\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives! response:	And to make sure I don't run out of money...
context: Total\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money... response:	I'll shoot videos to keep it coming in!
context: Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in! response:	Milika here!
context: Confirm Order\Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here! response:	Today, I'm going to survive out in the cold in nothing but a T-shirt.
context: Arrives Tomorrow\Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt. response:	S-So cold...
context: Confirm Order\Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold... response:	Why are you so lightly dressed, then?
context: Arrives Tomorrow\Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then? response:	It's the cleavage that earns the clicks!
context: Now I just need to hang on until it arrives!\And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks! response:	Sh-She's so strong.
context: And to make sure I don't run out of money...\I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong. response:	Her cleavage...
context: I'll shoot videos to keep it coming in!\Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage... response:	I climbed up from F-tier MeTuber status.
context: Milika here!\Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status. response:	I'll show you what I'm made of!
context: Today, I'm going to survive out in the cold in nothing but a T-shirt.\S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of! response:	I can overcome the cold with exercise.
context: S-So cold...\Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise. response:	One, two, three...
context: Why are you so lightly dressed, then?\It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three... response:	Four, five, six...
context: It's the cleavage that earns the clicks!\Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three...\Four, five, six... response:	My chest's right in the shot.
context: Sh-She's so strong.\Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three...\Four, five, six...\My chest's right in the shot. response:	One, two, three...
context: Her cleavage...\I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three...\Four, five, six...\My chest's right in the shot.\One, two, three... response:	Four, five, six...
context: I climbed up from F-tier MeTuber status.\I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three...\Four, five, six...\My chest's right in the shot.\One, two, three...\Four, five, six... response:	Good, they're bouncing!
context: I'll show you what I'm made of!\I can overcome the cold with exercise.\One, two, three...\Four, five, six...\My chest's right in the shot.\One, two, three...\Four, five, six...\Good, they're bouncing! response:	Good, I'm getting warm!
context: I can overcome the cold with exercise.\One, two, three...\Four, five, six...\My chest's right in the shot.\One, two, three...\Four, five, six...\Good, they're bouncing!\Good, I'm getting warm! response:	It's working!
context: One, two, three...\Four, five, six...\My chest's right in the shot.\One, two, three...\Four, five, six...\Good, they're bouncing!\Good, I'm getting warm!\It's working! response:	She's actually going to stay until morning.
context: Four, five, six...\My chest's right in the shot.\One, two, three...\Four, five, six...\Good, they're bouncing!\Good, I'm getting warm!\It's working!\She's actually going to stay until morning. response:	She's got a lot of stamina.
context: My chest's right in the shot.\One, two, three...\Four, five, six...\Good, they're bouncing!\Good, I'm getting warm!\It's working!\She's actually going to stay until morning.\She's got a lot of stamina. response:	Time to take a break.
context: One, two, three...\Four, five, six...\Good, they're bouncing!\Good, I'm getting warm!\It's working!\She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break. response:	I-I can't!
context: Four, five, six...\Good, they're bouncing!\Good, I'm getting warm!\It's working!\She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break.\I-I can't! response:	It gets cold as soon as I stop!
context: Good, they're bouncing!\Good, I'm getting warm!\It's working!\She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break.\I-I can't!\It gets cold as soon as I stop! response:	I-I can't keep this up all night!
context: Good, I'm getting warm!\It's working!\She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break.\I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night! response:	I'm not falling for her.
context: It's working!\She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break.\I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her. response:	How sad.
context: She's actually going to stay until morning.\She's got a lot of stamina.\Time to take a break.\I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her.\How sad. response:	Go home! Go home!
context: She's got a lot of stamina.\Time to take a break.\I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her.\How sad.\Go home! Go home! response:	I'm not giving up!
context: Time to take a break.\I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her.\How sad.\Go home! Go home!\I'm not giving up! response:	Shake them! Shake them!
context: I-I can't!\It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her.\How sad.\Go home! Go home!\I'm not giving up!\Shake them! Shake them! response:	I-It's still only 2:00 AM.
context: It gets cold as soon as I stop!\I-I can't keep this up all night!\I'm not falling for her.\How sad.\Go home! Go home!\I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM. response:	I'm going viral!
context: I-I can't keep this up all night!\I'm not falling for her.\How sad.\Go home! Go home!\I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral! response:	Hurry up, Amazun!
context: I'm not falling for her.\How sad.\Go home! Go home!\I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun! response:	Ramen! Yum!
context: How sad.\Go home! Go home!\I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun!\Ramen! Yum! response:	I'm already cold again!
context: Go home! Go home!\I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun!\Ramen! Yum!\I'm already cold again! response:	Saturday, May 15
context: I'm not giving up!\Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun!\Ramen! Yum!\I'm already cold again!\Saturday, May 15 response:	She's still at it.
context: Shake them! Shake them!\I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun!\Ramen! Yum!\I'm already cold again!\Saturday, May 15\She's still at it. response:	I-It's finally morning.
context: I-It's still only 2:00 AM.\I'm going viral!\Hurry up, Amazun!\Ramen! Yum!\I'm already cold again!\Saturday, May 15\She's still at it.\I-It's finally morning. response:	Delivery.
context: I'm going viral!\Hurry up, Amazun!\Ramen! Yum!\I'm already cold again!\Saturday, May 15\She's still at it.\I-It's finally morning.\Delivery. response:	It's here!
context: Hurry up, Amazun!\Ramen! Yum!\I'm already cold again!\Saturday, May 15\She's still at it.\I-It's finally morning.\Delivery.\It's here! response:	My stuff's here!
context: Ramen! Yum!\I'm already cold again!\Saturday, May 15\She's still at it.\I-It's finally morning.\Delivery.\It's here!\My stuff's here! response:	S-So many packages...
context: I'm already cold again!\Saturday, May 15\She's still at it.\I-It's finally morning.\Delivery.\It's here!\My stuff's here!\S-So many packages... response:	I have nothing to fear now.
context: Saturday, May 15\She's still at it.\I-It's finally morning.\Delivery.\It's here!\My stuff's here!\S-So many packages...\I have nothing to fear now. response:	See this? This is me actually trying.
context: She's still at it.\I-It's finally morning.\Delivery.\It's here!\My stuff's here!\S-So many packages...\I have nothing to fear now.\See this? This is me actually trying. response:	Well?
context: I-It's finally morning.\Delivery.\It's here!\My stuff's here!\S-So many packages...\I have nothing to fear now.\See this? This is me actually trying.\Well? response:	Say something.
context: Delivery.\It's here!\My stuff's here!\S-So many packages...\I have nothing to fear now.\See this? This is me actually trying.\Well?\Say something. response:	Uh...
context: It's here!\My stuff's here!\S-So many packages...\I have nothing to fear now.\See this? This is me actually trying.\Well?\Say something.\Uh... response:	You should go home and take a shower.
context: My stuff's here!\S-So many packages...\I have nothing to fear now.\See this? This is me actually trying.\Well?\Say something.\Uh...\You should go home and take a shower. response:	You smell horrible.
context: S-So many packages...\I have nothing to fear now.\See this? This is me actually trying.\Well?\Say something.\Uh...\You should go home and take a shower.\You smell horrible. response:	I sweated like crazy!
context: I have nothing to fear now.\See this? This is me actually trying.\Well?\Say something.\Uh...\You should go home and take a shower.\You smell horrible.\I sweated like crazy! response:	I'm not done yet!
context: See this? This is me actually trying.\Well?\Say something.\Uh...\You should go home and take a shower.\You smell horrible.\I sweated like crazy!\I'm not done yet! response:	Water
context: Well?\Say something.\Uh...\You should go home and take a shower.\You smell horrible.\I sweated like crazy!\I'm not done yet!\Water response:	Search! Search! Search!
context: Say something.\Uh...\You should go home and take a shower.\You smell horrible.\I sweated like crazy!\I'm not done yet!\Water\Search! Search! Search! response:	Survival
context: Uh...\You should go home and take a shower.\You smell horrible.\I sweated like crazy!\I'm not done yet!\Water\Search! Search! Search!\Survival response:	Heating
context: You should go home and take a shower.\You smell horrible.\I sweated like crazy!\I'm not done yet!\Water\Search! Search! Search!\Survival\Heating response:	Fill a black bag with water...
context: You smell horrible.\I sweated like crazy!\I'm not done yet!\Water\Search! Search! Search!\Survival\Heating\Fill a black bag with water... response:	Throw it in a bag lined with tin foil...
context: I sweated like crazy!\I'm not done yet!\Water\Search! Search! Search!\Survival\Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil... response:	And leave it in the sun.
context: I'm not done yet!\Water\Search! Search! Search!\Survival\Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun. response:	Don't forget to film!
context: Water\Search! Search! Search!\Survival\Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film! response:	One hour.
context: Search! Search! Search!\Survival\Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film!\One hour. response:	Two hours. Done.
context: Survival\Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film!\One hour.\Two hours. Done. response:	Tighten the ropes, hang it up...
context: Heating\Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film!\One hour.\Two hours. Done.\Tighten the ropes, hang it up... response:	Open some holes, and...
context: Fill a black bag with water...\Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film!\One hour.\Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and... response:	That feels great!
context: Throw it in a bag lined with tin foil...\And leave it in the sun.\Don't forget to film!\One hour.\Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and...\That feels great! response:	So warm!
context: And leave it in the sun.\Don't forget to film!\One hour.\Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and...\That feels great!\So warm! response:	Bliss!
context: Don't forget to film!\One hour.\Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and...\That feels great!\So warm!\Bliss! response:	How about that?
context: One hour.\Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and...\That feels great!\So warm!\Bliss!\How about that? response:	Are you impressed?
context: Two hours. Done.\Tighten the ropes, hang it up...\Open some holes, and...\That feels great!\So warm!\Bliss!\How about that?\Are you impressed? response:	Y-You're so strong.
context: Tighten the ropes, hang it up...\Open some holes, and...\That feels great!\So warm!\Bliss!\How about that?\Are you impressed?\Y-You're so strong. response:	Told you!
context: Open some holes, and...\That feels great!\So warm!\Bliss!\How about that?\Are you impressed?\Y-You're so strong.\Told you! response:	She's actually going to live here.
context: That feels great!\So warm!\Bliss!\How about that?\Are you impressed?\Y-You're so strong.\Told you!\She's actually going to live here. response:	What do we do?
context: So warm!\Bliss!\How about that?\Are you impressed?\Y-You're so strong.\Told you!\She's actually going to live here.\What do we do? response:	Girlfriend, Girlfriend
context: Bliss!\How about that?\Are you impressed?\Y-You're so strong.\Told you!\She's actually going to live here.\What do we do?\Girlfriend, Girlfriend response:	Wash, wash, wash.
context: How about that?\Are you impressed?\Y-You're so strong.\Told you!\She's actually going to live here.\What do we do?\Girlfriend, Girlfriend\Wash, wash, wash. response:	No looking!
context: Are you impressed?\Y-You're so strong.\Told you!\She's actually going to live here.\What do we do?\Girlfriend, Girlfriend\Wash, wash, wash.\No looking! response:	Grab
context: Y-You're so strong.\Told you!\She's actually going to live here.\What do we do?\Girlfriend, Girlfriend\Wash, wash, wash.\No looking!\Grab response:	What a pain this has turned into.
context: Told you!\She's actually going to live here.\What do we do?\Girlfriend, Girlfriend\Wash, wash, wash.\No looking!\Grab\What a pain this has turned into. response:	Yeah.
context: She's actually going to live here.\What do we do?\Girlfriend, Girlfriend\Wash, wash, wash.\No looking!\Grab\What a pain this has turned into.\Yeah. response:	She really seems committed.
context: What do we do?\Girlfriend, Girlfriend\Wash, wash, wash.\No looking!\Grab\What a pain this has turned into.\Yeah.\She really seems committed. response:	She's cute, she's got a good figure, and she's really aggressive.
context: Girlfriend, Girlfriend\Wash, wash, wash.\No looking!\Grab\What a pain this has turned into.\Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive. response:	All right.
context: Wash, wash, wash.\No looking!\Grab\What a pain this has turned into.\Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right. response:	I have a plan, Nagisa-chan.
context: No looking!\Grab\What a pain this has turned into.\Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan. response:	Hear me out.
context: Grab\What a pain this has turned into.\Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan.\Hear me out. response:	Whisper, whisper, whisper...
context: What a pain this has turned into.\Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper... response:	What?!
context: Yeah.\She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper...\What?! response:	I don't know, Saki-san...
context: She really seems committed.\She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper...\What?!\I don't know, Saki-san... response:	Do you really want her evil boobs to take Naoya away from us?
context: She's cute, she's got a good figure, and she's really aggressive.\All right.\I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper...\What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us? response:	Well...
context: All right.\I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper...\What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well... response:	Unless I do something about the problem with Milika-san...
context: I have a plan, Nagisa-chan.\Hear me out.\Whisper, whisper, whisper...\What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san... response:	Going out with Saki-chan and Minase-san,
context: Hear me out.\Whisper, whisper, whisper...\What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san, response:	and making them both happy, isn't going to be easy.
context: Whisper, whisper, whisper...\What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy. response:	I need to really think about it more.
context: What?!\I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more. response:	What can I do?
context: I don't know, Saki-san...\Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do? response:	Naoya.
context: Do you really want her evil boobs to take Naoya away from us?\Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do?\Naoya. response:	Saki-chan, Minase-san...
context: Well...\Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do?\Naoya.\Saki-chan, Minase-san... response:	What's wrong?
context: Unless I do something about the problem with Milika-san...\Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do?\Naoya.\Saki-chan, Minase-san...\What's wrong? response:	It's about Milika.
context: Going out with Saki-chan and Minase-san,\and making them both happy, isn't going to be easy.\I need to really think about it more.\What can I do?\Naoya.\Saki-chan, Minase-san...\What's wrong?\It's about Milika. response:	We decided we have to do something.
