context: The next day, Chizu-chan came to school looking refreshed, response:	as if she'd finally pulled a splinter out of her heart.
context: I wonder if Chizu said what she wanted to say.\It must be complicated.\When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling. response:	Chi...
context: It must be complicated.\When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling.\Chi... response:	We used to come down this street a lot.
context: When you like someone.\Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling.\Chi...\We used to come down this street a lot. response:	Together with Ryu.
context: Sad things, things that make you cry.\But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling.\Chi...\We used to come down this street a lot.\Together with Ryu. response:	It's Ryu's running course now.
context: But there's a lot of happy things too.\Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling.\Chi...\We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now. response:	Hey, that field.
context: Do you remember? How you tripped over there,\how we used to eat here.\Tohru was always smiling.\Chi...\We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now.\Hey, that field. response:	The place Ryu made you cry.
context: how we used to eat here.\Tohru was always smiling.\Chi...\We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry. response:	You sure do remember a lot.
context: Tohru was always smiling.\Chi...\We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry.\You sure do remember a lot. response:	Does he still make you cry?
context: Chi...\We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry? response:	N-No way.
context: We used to come down this street a lot.\Together with Ryu.\It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry?\N-No way. response:	Ryu, you idiot!
context: Together with Ryu.\It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry?\N-No way.\Ryu, you idiot! response:	I hate Ryu!
context: It's Ryu's running course now.\Hey, that field.\The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry?\N-No way.\Ryu, you idiot!\I hate Ryu! response:	No, he doesn't make me cry. He doesn't.
context: Hey, that field.\The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry?\N-No way.\Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't. response:	But...
context: The place Ryu made you cry.\You sure do remember a lot.\Does he still make you cry?\N-No way.\Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't.\But... response:	I lash out at him sometimes.
context: You sure do remember a lot.\Does he still make you cry?\N-No way.\Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes. response:	Ryu's nice, isn't he?
context: Does he still make you cry?\N-No way.\Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes.\Ryu's nice, isn't he? response:	He doesn't lie either.
context: N-No way.\Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either. response:	You two are close together,
context: Ryu, you idiot!\I hate Ryu!\No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either.\You two are close together, response:	so I guess it hurts when he says things.
context: I hate Ryu!\No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either.\You two are close together,\so I guess it hurts when he says things. response:	Even if it wouldn't have hurt if someone else had said it.
context: No, he doesn't make me cry. He doesn't.\But...\I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either.\You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it. response:	Man,
context: But...\I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either.\You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man, response:	so you get in that kind of fight with Ryu now, huh?
context: I lash out at him sometimes.\Ryu's nice, isn't he?\He doesn't lie either.\You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh? response:	You look good in your uniform.
context: Ryu's nice, isn't he?\He doesn't lie either.\You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform. response:	You're in high school now, huh?
context: He doesn't lie either.\You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh? response:	I didn't think you'd get married.
context: You two are close together,\so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married. response:	I thought you'd never settle down.
context: so I guess it hurts when he says things.\Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down. response:	You make it sound so bad.
context: Even if it wouldn't have hurt if someone else had said it.\Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad. response:	Why did you decide to get married?
context: Man,\so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married? response:	You're only 24.
context: so you get in that kind of fight with Ryu now, huh?\You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married?\You're only 24. response:	I felt like I wanted to be with her forever.
context: You look good in your uniform.\You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever. response:	So did I, ever since I was little.
context: You're in high school now, huh?\I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little. response:	She seemed like a mellow, cute girl.
context: I didn't think you'd get married.\I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl. response:	She's actually pretty tough.
context: I thought you'd never settle down.\You make it sound so bad.\Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough. response:	It doesn't matter how much he cared for me,
context: You make it sound so bad.\Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me, response:	or how many memories we made together.
context: Why did you decide to get married?\You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together. response:	Or even that I'm in high school now.
context: You're only 24.\I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now. response:	A kid from the block is still a kid from the block.
context: I felt like I wanted to be with her forever.\So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block. response:	Yeah?
context: So did I, ever since I was little.\She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah? response:	Chi...
context: She seemed like a mellow, cute girl.\She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah?\Chi... response:	Say Chi.
context: She's actually pretty tough.\It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah?\Chi...\Say Chi. response:	Say it.
context: It doesn't matter how much he cared for me,\or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah?\Chi...\Say Chi.\Say it. response:	Do you know why I call you Chi?
context: or how many memories we made together.\Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah?\Chi...\Say Chi.\Say it.\Do you know why I call you Chi? response:	No idea.
context: Or even that I'm in high school now.\A kid from the block is still a kid from the block.\Yeah?\Chi...\Say Chi.\Say it.\Do you know why I call you Chi?\No idea. response:	Say it.
context: A kid from the block is still a kid from the block.\Yeah?\Chi...\Say Chi.\Say it.\Do you know why I call you Chi?\No idea.\Say it. response:	Chi.
context: Yeah?\Chi...\Say Chi.\Say it.\Do you know why I call you Chi?\No idea.\Say it.\Chi. response:	Properly.
context: Chi...\Say Chi.\Say it.\Do you know why I call you Chi?\No idea.\Say it.\Chi.\Properly. response:	Chi.
context: Say Chi.\Say it.\Do you know why I call you Chi?\No idea.\Say it.\Chi.\Properly.\Chi. response:	Bingo.
context: Say it.\Do you know why I call you Chi?\No idea.\Say it.\Chi.\Properly.\Chi.\Bingo. response:	You smiled.
context: Do you know why I call you Chi?\No idea.\Say it.\Chi.\Properly.\Chi.\Bingo.\You smiled. response:	Chi.
context: No idea.\Say it.\Chi.\Properly.\Chi.\Bingo.\You smiled.\Chi. response:	Tohru.
context: Say it.\Chi.\Properly.\Chi.\Bingo.\You smiled.\Chi.\Tohru. response:	Chi.
context: Chi.\Properly.\Chi.\Bingo.\You smiled.\Chi.\Tohru.\Chi. response:	Chi.
context: Properly.\Chi.\Bingo.\You smiled.\Chi.\Tohru.\Chi.\Chi. response:	Tohru,
context: Chi.\Bingo.\You smiled.\Chi.\Tohru.\Chi.\Chi.\Tohru, response:	I like you.
context: Bingo.\You smiled.\Chi.\Tohru.\Chi.\Chi.\Tohru,\I like you. response:	I like you too.
context: You smiled.\Chi.\Tohru.\Chi.\Chi.\Tohru,\I like you.\I like you too. response:	I thought you'd say that.
context: Chi.\Tohru.\Chi.\Chi.\Tohru,\I like you.\I like you too.\I thought you'd say that. response:	That's not what I meant.
context: Tohru.\Chi.\Chi.\Tohru,\I like you.\I like you too.\I thought you'd say that.\That's not what I meant. response:	It still makes me happy though.
context: Chi.\Chi.\Tohru,\I like you.\I like you too.\I thought you'd say that.\That's not what I meant.\It still makes me happy though. response:	Hey, I'm not a sister or relative or anything.
context: Chi.\Tohru,\I like you.\I like you too.\I thought you'd say that.\That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything. response:	I'm just a kid from the block.
context: Tohru,\I like you.\I like you too.\I thought you'd say that.\That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block. response:	But can I come visit you next time you're back?
context: I like you.\I like you too.\I thought you'd say that.\That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back? response:	You idiot.
context: I like you too.\I thought you'd say that.\That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot. response:	You sound so depressing.
context: I thought you'd say that.\That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot.\You sound so depressing. response:	I think of you as a sister.
context: That's not what I meant.\It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot.\You sound so depressing.\I think of you as a sister. response:	Maybe even cuter than Ryu.
context: It still makes me happy though.\Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot.\You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu. response:	Don't tell Ryu though.
context: Hey, I'm not a sister or relative or anything.\I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot.\You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though. response:	Sister, huh?
context: I'm just a kid from the block.\But can I come visit you next time you're back?\You idiot.\You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh? response:	He must be a different person in front of his girlfriend.
context: But can I come visit you next time you're back?\You idiot.\You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend. response:	But I'm still happy.
context: You idiot.\You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy. response:	I can tell that you think highly of me.
context: You sound so depressing.\I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me. response:	As my brother.
context: I think of you as a sister.\Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me.\As my brother. response:	Chi.
context: Maybe even cuter than Ryu.\Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me.\As my brother.\Chi. response:	Congratulations, Tohru.
context: Don't tell Ryu though.\Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me.\As my brother.\Chi.\Congratulations, Tohru. response:	Hey, out for a run?
context: Sister, huh?\He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me.\As my brother.\Chi.\Congratulations, Tohru.\Hey, out for a run? response:	Where's Chizuru?
context: He must be a different person in front of his girlfriend.\But I'm still happy.\I can tell that you think highly of me.\As my brother.\Chi.\Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru? response:	I walked her home, don't worry.
context: But I'm still happy.\I can tell that you think highly of me.\As my brother.\Chi.\Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry. response:	You heading home?
context: I can tell that you think highly of me.\As my brother.\Chi.\Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry.\You heading home? response:	Yeah, I'll be back.
context: As my brother.\Chi.\Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry.\You heading home?\Yeah, I'll be back. response:	Hold on.
context: Chi.\Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry.\You heading home?\Yeah, I'll be back.\Hold on. response:	Here, bread.
context: Congratulations, Tohru.\Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry.\You heading home?\Yeah, I'll be back.\Hold on.\Here, bread. response:	You're so proper.
context: Hey, out for a run?\Where's Chizuru?\I walked her home, don't worry.\You heading home?\Yeah, I'll be back.\Hold on.\Here, bread.\You're so proper. response:	How old is this?
context: Where's Chizuru?\I walked her home, don't worry.\You heading home?\Yeah, I'll be back.\Hold on.\Here, bread.\You're so proper.\How old is this? response:	From yesterday.
context: I walked her home, don't worry.\You heading home?\Yeah, I'll be back.\Hold on.\Here, bread.\You're so proper.\How old is this?\From yesterday. response:	Should be fine, it's winter.
context: You heading home?\Yeah, I'll be back.\Hold on.\Here, bread.\You're so proper.\How old is this?\From yesterday.\Should be fine, it's winter. response:	Thanks.
context: Yeah, I'll be back.\Hold on.\Here, bread.\You're so proper.\How old is this?\From yesterday.\Should be fine, it's winter.\Thanks. response:	You've gotten huge too.
context: Hold on.\Here, bread.\You're so proper.\How old is this?\From yesterday.\Should be fine, it's winter.\Thanks.\You've gotten huge too. response:	You're going to be taller than me.
context: Here, bread.\You're so proper.\How old is this?\From yesterday.\Should be fine, it's winter.\Thanks.\You've gotten huge too.\You're going to be taller than me. response:	I will, I'm in my growth spurt.
context: You're so proper.\How old is this?\From yesterday.\Should be fine, it's winter.\Thanks.\You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt. response:	Neither of you are exactly smooth talkers.
context: How old is this?\From yesterday.\Should be fine, it's winter.\Thanks.\You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers. response:	Good luck.
context: From yesterday.\Should be fine, it's winter.\Thanks.\You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck. response:	You're a better match for her.
context: Should be fine, it's winter.\Thanks.\You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her. response:	Brother...
context: Thanks.\You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her.\Brother... response:	Brother?
context: You've gotten huge too.\You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her.\Brother...\Brother? response:	I think so too.
context: You're going to be taller than me.\I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her.\Brother...\Brother?\I think so too. response:	Boys will be boys.
context: I will, I'm in my growth spurt.\Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her.\Brother...\Brother?\I think so too.\Boys will be boys. response:	Huh?
context: Neither of you are exactly smooth talkers.\Good luck.\You're a better match for her.\Brother...\Brother?\I think so too.\Boys will be boys.\Huh? response:	Ryu-chan.
context: Good luck.\You're a better match for her.\Brother...\Brother?\I think so too.\Boys will be boys.\Huh?\Ryu-chan. response:	Weren't you with Chizu?
context: You're a better match for her.\Brother...\Brother?\I think so too.\Boys will be boys.\Huh?\Ryu-chan.\Weren't you with Chizu? response:	It's so late, I thought she'd be at your place.
context: Brother...\Brother?\I think so too.\Boys will be boys.\Huh?\Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place. response:	Where could that silly girl be?
context: Brother?\I think so too.\Boys will be boys.\Huh?\Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be? response:	I think I know.
context: I think so too.\Boys will be boys.\Huh?\Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know. response:	I'll go check.
context: Boys will be boys.\Huh?\Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know.\I'll go check. response:	Thanks, Ryu-chan.
context: Huh?\Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know.\I'll go check.\Thanks, Ryu-chan. response:	She's a girl after all, believe it or not.
context: Ryu-chan.\Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know.\I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not. response:	Want me to cheer you up?
context: Weren't you with Chizu?\It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know.\I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up? response:	Are you trying to be nice to me?
context: It's so late, I thought she'd be at your place.\Where could that silly girl be?\I think I know.\I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me? response:	Or are you trying to start a fight? Which is it?
context: Where could that silly girl be?\I think I know.\I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it? response:	Neither.
context: I think I know.\I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither. response:	What the hell?
context: I'll go check.\Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither.\What the hell? response:	Why are you here?
context: Thanks, Ryu-chan.\She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither.\What the hell?\Why are you here? response:	This is where we last hung out when my brother lived here.
context: She's a girl after all, believe it or not.\Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither.\What the hell?\Why are you here?\This is where we last hung out when my brother lived here. response:	You were here when he moved to Sapporo.
context: Want me to cheer you up?\Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither.\What the hell?\Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo. response:	Didn't I tell you not to talk to me for a while?
context: Are you trying to be nice to me?\Or are you trying to start a fight? Which is it?\Neither.\What the hell?\Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while? response:	I'll shut up, then.
context: Or are you trying to start a fight? Which is it?\Neither.\What the hell?\Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then. response:	I'm lying.
context: Neither.\What the hell?\Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying. response:	Sorry.
context: What the hell?\Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying.\Sorry. response:	It was your birthday that day.
context: Why are you here?\This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying.\Sorry.\It was your birthday that day. response:	Sorry.
context: This is where we last hung out when my brother lived here.\You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying.\Sorry.\It was your birthday that day.\Sorry. response:	I was the only one that was there to celebrate this year.
context: You were here when he moved to Sapporo.\Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying.\Sorry.\It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year. response:	Sorry.
context: Didn't I tell you not to talk to me for a while?\I'll shut up, then.\I'm lying.\Sorry.\It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year.\Sorry. response:	I think you were the only one who remembered my birthday.
context: I'll shut up, then.\I'm lying.\Sorry.\It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday. response:	Thanks for the pouch.
context: I'm lying.\Sorry.\It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch. response:	You called Tohru over, didn't you?
context: Sorry.\It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you? response:	I asked him if he was hungry.
context: It was your birthday that day.\Sorry.\I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry. response:	He said you'd given him some bread.
context: Sorry.\I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread. response:	I'm not shocked or anything though, just because you called him.
context: I was the only one that was there to celebrate this year.\Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him. response:	He spent three and a half hours to come here, after all.
context: Sorry.\I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all. response:	I'm happy. Thanks.
context: I think you were the only one who remembered my birthday.\Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks. response:	It was like you said.
context: Thanks for the pouch.\You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said. response:	That I was hopelessly in love with Tohru?
context: You called Tohru over, didn't you?\I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru? response:	Maybe I never really thought it would work out.
context: I asked him if he was hungry.\He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out. response:	Maybe he was just an older brother that I admired.
context: He said you'd given him some bread.\I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired. response:	I know.
context: I'm not shocked or anything though, just because you called him.\He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know. response:	I know you really liked him.
context: He spent three and a half hours to come here, after all.\I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know.\I know you really liked him. response:	Comfort me, Ryu.
context: I'm happy. Thanks.\It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know.\I know you really liked him.\Comfort me, Ryu. response:	It was the first snow of the year.
context: It was like you said.\That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know.\I know you really liked him.\Comfort me, Ryu.\It was the first snow of the year. response:	The holy night,
context: That I was hopelessly in love with Tohru?\Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know.\I know you really liked him.\Comfort me, Ryu.\It was the first snow of the year.\The holy night, response:	with wishes deep.
context: Maybe I never really thought it would work out.\Maybe he was just an older brother that I admired.\I know.\I know you really liked him.\Comfort me, Ryu.\It was the first snow of the year.\The holy night,\with wishes deep. response:	Next episode: Christmas
