context: I'm hungry, Nako. response:	Me too.
context: What?\I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah?\In that case, I'd better...\I think you're the type\who gets carried away when praised, so...\Get carried away... response:	I-I'm so sorry!
context: I think she wants me to work hard to\become someone who deserves the amount I was given.\Yeah?\In that case, I'd better...\I think you're the type\who gets carried away when praised, so...\Get carried away...\I-I'm so sorry! response:	I meant in a good way! A good way!
context: become someone who deserves the amount I was given.\Yeah?\In that case, I'd better...\I think you're the type\who gets carried away when praised, so...\Get carried away...\I-I'm so sorry!\I meant in a good way! A good way! response:	I started working here because I wanted to change.
context: Yeah?\In that case, I'd better...\I think you're the type\who gets carried away when praised, so...\Get carried away...\I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change. response:	Oh yeah, you've mentioned this before.
context: In that case, I'd better...\I think you're the type\who gets carried away when praised, so...\Get carried away...\I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before. response:	I'm pretty happy with the way I act at home,
context: I think you're the type\who gets carried away when praised, so...\Get carried away...\I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home, response:	or, well, I think that's the real me.
context: who gets carried away when praised, so...\Get carried away...\I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me. response:	But outside of my home...
context: Get carried away...\I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home... response:	So the person speaking to me now
context: I-I'm so sorry!\I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now response:	isn't the real Nakochi?
context: I meant in a good way! A good way!\I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now\isn't the real Nakochi? response:	What?
context: I started working here because I wanted to change.\Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now\isn't the real Nakochi?\What? response:	When I'm with you or Minchi...
context: Oh yeah, you've mentioned this before.\I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now\isn't the real Nakochi?\What?\When I'm with you or Minchi... response:	I guess just a little bit...
context: I'm pretty happy with the way I act at home,\or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now\isn't the real Nakochi?\What?\When I'm with you or Minchi...\I guess just a little bit... response:	Come out, real Nakochi!
context: or, well, I think that's the real me.\But outside of my home...\So the person speaking to me now\isn't the real Nakochi?\What?\When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi! response:	Stop it! Not the forehead!
context: But outside of my home...\So the person speaking to me now\isn't the real Nakochi?\What?\When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead! response:	I don't want you to see it!
context: So the person speaking to me now\isn't the real Nakochi?\What?\When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it! response:	Please! Not the forehead!
context: isn't the real Nakochi?\What?\When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead! response:	Pay, huh?
context: What?\When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead!\Pay, huh? response:	I'm jealous.
context: When I'm with you or Minchi...\I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead!\Pay, huh?\I'm jealous. response:	I had 15,000 deducted,
context: I guess just a little bit...\Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead!\Pay, huh?\I'm jealous.\I had 15,000 deducted, response:	so a lot of my freedom money is gone.
context: Come out, real Nakochi!\Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead!\Pay, huh?\I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone. response:	Oh, is that empty? Can I have it?
context: Stop it! Not the forehead!\I don't want you to see it!\Please! Not the forehead!\Pay, huh?\I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it? response:	Sure, but why?
context: I don't want you to see it!\Please! Not the forehead!\Pay, huh?\I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why? response:	I'm gonna fill it up with water to drink!
context: Please! Not the forehead!\Pay, huh?\I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink! response:	Ohana
context: Pay, huh?\I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink!\Ohana response:	That's kinda depressing.
context: I'm jealous.\I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing. response:	What are you gonna spend yours on, Tsurugi?
context: I had 15,000 deducted,\so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi? response:	Tilefish.
context: so a lot of my freedom money is gone.\Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish. response:	What? Tilefish?
context: Oh, is that empty? Can I have it?\Sure, but why?\I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish? response:	I've always wanted to try out
context: Sure, but why?\I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish?\I've always wanted to try out response:	the Matsukasayaki method of cooking.
context: I'm gonna fill it up with water to drink!\Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking. response:	There's no way they're gonna let
context: Ohana\That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let response:	me use expensive ingredients, so...
context: That's kinda depressing.\What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so... response:	I-I see...
context: What are you gonna spend yours on, Tsurugi?\Tilefish.\What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so...\I-I see... response:	What about you, Oshimizu?
context: Tilefish.\What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so...\I-I see...\What about you, Oshimizu? response:	I don't really have any hobbies...
context: What? Tilefish?\I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so...\I-I see...\What about you, Oshimizu?\I don't really have any hobbies... response:	nor is there anything I really want to study... Yeah,
context: I've always wanted to try out\the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so...\I-I see...\What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah, response:	I guess I'll just save it.
context: the Matsukasayaki method of cooking.\There's no way they're gonna let\me use expensive ingredients, so...\I-I see...\What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it. response:	What?! That's such a waste!
context: There's no way they're gonna let\me use expensive ingredients, so...\I-I see...\What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste! response:	Money is meant to be spent!
context: me use expensive ingredients, so...\I-I see...\What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent! response:	But
context: I-I see...\What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent!\But response:	My grandmother said that money polishes people!
context: What about you, Oshimizu?\I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent!\But\My grandmother said that money polishes people! response:	Polishes people?
context: I don't really have any hobbies...\nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent!\But\My grandmother said that money polishes people!\Polishes people? response:	I know!
context: nor is there anything I really want to study... Yeah,\I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent!\But\My grandmother said that money polishes people!\Polishes people?\I know! response:	Let's go shopping after school!
context: I guess I'll just save it.\What?! That's such a waste!\Money is meant to be spent!\But\My grandmother said that money polishes people!\Polishes people?\I know!\Let's go shopping after school! response:	Shopping?!
context: What?! That's such a waste!\Money is meant to be spent!\But\My grandmother said that money polishes people!\Polishes people?\I know!\Let's go shopping after school!\Shopping?! response:	That's a great idea!
context: Money is meant to be spent!\But\My grandmother said that money polishes people!\Polishes people?\I know!\Let's go shopping after school!\Shopping?!\That's a great idea! response:	Why don't you buy yourself a drink if you have
context: But\My grandmother said that money polishes people!\Polishes people?\I know!\Let's go shopping after school!\Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have response:	the money to go shopping?
context: My grandmother said that money polishes people!\Polishes people?\I know!\Let's go shopping after school!\Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping? response:	I'll pack some barley tea for lunch tomorrow.
context: Polishes people?\I know!\Let's go shopping after school!\Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow. response:	I like this.
context: I know!\Let's go shopping after school!\Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this. response:	Yuina likes clothing that shows too much skin,
context: Let's go shopping after school!\Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin, response:	and Minchi only looks at the 3 for 1000 yen T-shirts.
context: Shopping?!\That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts. response:	T-Shirts on Sale 3 for 1000 yen
context: That's a great idea!\Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen response:	Wow, beige polka dots!
context: Why don't you buy yourself a drink if you have\the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots! response:	So cute!
context: the money to go shopping?\I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute! response:	Ohana actually has pretty good taste.
context: I'll pack some barley tea for lunch tomorrow.\I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste. response:	She's from Tokyo, after all.
context: I like this.\Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all. response:	Man, these puffed sleeves are so cute!
context: Yuina likes clothing that shows too much skin,\and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute! response:	Maybe I'll try them on!
context: and Minchi only looks at the 3 for 1000 yen T-shirts.\T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on! response:	You don't have the money for them.
context: T-Shirts on Sale 3 for 1000 yen\Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them. response:	Jeez, at least let me dream!
context: Wow, beige polka dots!\So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream! response:	I-I want to try that on too!
context: So cute!\Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too! response:	I can't believe it's the same dress...
context: Ohana actually has pretty good taste.\She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress... response:	I didn't realize it was a sexy dress.
context: She's from Tokyo, after all.\Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress. response:	I wanna be sexy too...
context: Man, these puffed sleeves are so cute!\Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too... response:	No No!
context: Maybe I'll try them on!\You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too...\No No! response:	You're wasting your body!
context: You don't have the money for them.\Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too...\No No!\You're wasting your body! response:	Okay, one more time, Oshimizu!
context: Jeez, at least let me dream!\I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too...\No No!\You're wasting your body!\Okay, one more time, Oshimizu! response:	House!
context: I-I want to try that on too!\I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too...\No No!\You're wasting your body!\Okay, one more time, Oshimizu!\House! response:	H-House?
context: I can't believe it's the same dress...\I didn't realize it was a sexy dress.\I wanna be sexy too...\No No!\You're wasting your body!\Okay, one more time, Oshimizu!\House!\H-House? response:	Hey, you done yet?
context: I didn't realize it was a sexy dress.\I wanna be sexy too...\No No!\You're wasting your body!\Okay, one more time, Oshimizu!\House!\H-House?\Hey, you done yet? response:	Y-Yeah
context: I wanna be sexy too...\No No!\You're wasting your body!\Okay, one more time, Oshimizu!\House!\H-House?\Hey, you done yet?\Y-Yeah response:	Okay, then!
context: No No!\You're wasting your body!\Okay, one more time, Oshimizu!\House!\H-House?\Hey, you done yet?\Y-Yeah\Okay, then! response:	Wow! You look great!
context: You're wasting your body!\Okay, one more time, Oshimizu!\House!\H-House?\Hey, you done yet?\Y-Yeah\Okay, then!\Wow! You look great! response:	You look so mature, Nakochi!
context: Okay, one more time, Oshimizu!\House!\H-House?\Hey, you done yet?\Y-Yeah\Okay, then!\Wow! You look great!\You look so mature, Nakochi! response:	I'm showing too much leg Umm
context: House!\H-House?\Hey, you done yet?\Y-Yeah\Okay, then!\Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm response:	Girls really do change after you give them a new outfit!
context: H-House?\Hey, you done yet?\Y-Yeah\Okay, then!\Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit! response:	Change?
context: Hey, you done yet?\Y-Yeah\Okay, then!\Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change? response:	Nakochi?
context: Y-Yeah\Okay, then!\Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change?\Nakochi? response:	Thank you!
context: Okay, then!\Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change?\Nakochi?\Thank you! response:	Excuse me...
context: Wow! You look great!\You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change?\Nakochi?\Thank you!\Excuse me... response:	Hello!
context: You look so mature, Nakochi!\I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change?\Nakochi?\Thank you!\Excuse me...\Hello! response:	I'll buy all of this!
context: I'm showing too much leg Umm\Girls really do change after you give them a new outfit!\Change?\Nakochi?\Thank you!\Excuse me...\Hello!\I'll buy all of this! response:	All of it?!
context: Girls really do change after you give them a new outfit!\Change?\Nakochi?\Thank you!\Excuse me...\Hello!\I'll buy all of this!\All of it?! response:	She's so rich
context: Change?\Nakochi?\Thank you!\Excuse me...\Hello!\I'll buy all of this!\All of it?!\She's so rich response:	Madam Manager
context: Nakochi?\Thank you!\Excuse me...\Hello!\I'll buy all of this!\All of it?!\She's so rich\Madam Manager response:	Financially, we're not in the best state at the moment.
context: Thank you!\Excuse me...\Hello!\I'll buy all of this!\All of it?!\She's so rich\Madam Manager\Financially, we're not in the best state at the moment. response:	Did we really have the money to raise Nako's salary?
context: Excuse me...\Hello!\I'll buy all of this!\All of it?!\She's so rich\Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary? response:	Are you in any position to talk about this?
context: Hello!\I'll buy all of this!\All of it?!\She's so rich\Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this? response:	Well, no
context: I'll buy all of this!\All of it?!\She's so rich\Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no response:	Karaoke
context: All of it?!\She's so rich\Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no\Karaoke response:	These flowers cover the entire field...
context: She's so rich\Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no\Karaoke\These flowers cover the entire field... response:	Oshimizu looks a little more fashionable now,
context: Madam Manager\Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no\Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now, response:	but did she really have to pick such a lame song?
context: Financially, we're not in the best state at the moment.\Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no\Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song? response:	What should I sing...
context: Did we really have the money to raise Nako's salary?\Are you in any position to talk about this?\Well, no\Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing... response:	Oh! The spirit boat progression song!
context: Are you in any position to talk about this?\Well, no\Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song! response:	Where's Houzen Temple's Alleyway in the Moon
context: Well, no\Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon response:	You still haven't decided?
context: Karaoke\These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided? response:	I always just have my siblings' leftovers,
context: These flowers cover the entire field...\Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers, response:	so I don't really know
context: Oshimizu looks a little more fashionable now,\but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know response:	Ginger pudding is pretty unique,
context: but did she really have to pick such a lame song?\What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique, response:	but this hamburger steak with 10 different vegetables...
context: What should I sing...\Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables... response:	I wonder which vegetables they used.
context: Oh! The spirit boat progression song!\Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used. response:	Oh, you can order however much you like!
context: Where's Houzen Temple's Alleyway in the Moon\You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like! response:	I'll just eat your leftovers.
context: You still haven't decided?\I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers. response:	What?
context: I always just have my siblings' leftovers,\so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers.\What? response:	Oh, don't worry! We can split the bill in half.
context: so I don't really know\Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half. response:	Excuse me!
context: Ginger pudding is pretty unique,\but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half.\Excuse me! response:	Are you ready to order?
context: but this hamburger steak with 10 different vegetables...\I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order? response:	I want the cheapest one
context: I wonder which vegetables they used.\Oh, you can order however much you like!\I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order?\I want the cheapest one response:	The house blend!
context: Oh, you can order however much you like!\I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order?\I want the cheapest one\The house blend! response:	With extra milk! Lots of it!
context: I'll just eat your leftovers.\What?\Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order?\I want the cheapest one\The house blend!\With extra milk! Lots of it! response:	Milk?
context: What?\Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order?\I want the cheapest one\The house blend!\With extra milk! Lots of it!\Milk? response:	I can't drink coffee because it's too bitter,
context: Oh, don't worry! We can split the bill in half.\Excuse me!\Are you ready to order?\I want the cheapest one\The house blend!\With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter, response:	but I do like cafe au lait.
context: Excuse me!\Are you ready to order?\I want the cheapest one\The house blend!\With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait. response:	But I don't have any money, so
context: Are you ready to order?\I want the cheapest one\The house blend!\With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so response:	This is just too sad!
context: I want the cheapest one\The house blend!\With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so\This is just too sad! response:	What's wrong, Nakochi?
context: The house blend!\With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so\This is just too sad!\What's wrong, Nakochi? response:	I did so many things today
context: With extra milk! Lots of it!\Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so\This is just too sad!\What's wrong, Nakochi?\I did so many things today response:	that I'm not used to,
context: Milk?\I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so\This is just too sad!\What's wrong, Nakochi?\I did so many things today\that I'm not used to, response:	that it's left me tired.
context: I can't drink coffee because it's too bitter,\but I do like cafe au lait.\But I don't have any money, so\This is just too sad!\What's wrong, Nakochi?\I did so many things today\that I'm not used to,\that it's left me tired. response:	I'm having fun, though.
context: but I do like cafe au lait.\But I don't have any money, so\This is just too sad!\What's wrong, Nakochi?\I did so many things today\that I'm not used to,\that it's left me tired.\I'm having fun, though. response:	Ohana?
context: But I don't have any money, so\This is just too sad!\What's wrong, Nakochi?\I did so many things today\that I'm not used to,\that it's left me tired.\I'm having fun, though.\Ohana? response:	See, although we work together all the time,
context: This is just too sad!\What's wrong, Nakochi?\I did so many things today\that I'm not used to,\that it's left me tired.\I'm having fun, though.\Ohana?\See, although we work together all the time, response:	it's the first time we've been out together like this.
context: What's wrong, Nakochi?\I did so many things today\that I'm not used to,\that it's left me tired.\I'm having fun, though.\Ohana?\See, although we work together all the time,\it's the first time we've been out together like this. response:	Now that you mention it,
context: I did so many things today\that I'm not used to,\that it's left me tired.\I'm having fun, though.\Ohana?\See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it, response:	you also don't seem to have any friends, right?
context: that I'm not used to,\that it's left me tired.\I'm having fun, though.\Ohana?\See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right? response:	What?
context: that it's left me tired.\I'm having fun, though.\Ohana?\See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right?\What? response:	I don't mean it in a bad way!
context: I'm having fun, though.\Ohana?\See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right?\What?\I don't mean it in a bad way! response:	In a good way!
context: Ohana?\See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right?\What?\I don't mean it in a bad way!\In a good way! response:	I don't seem to have any friends in a good way?
context: See, although we work together all the time,\it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right?\What?\I don't mean it in a bad way!\In a good way!\I don't seem to have any friends in a good way? response:	No, that's not what I meant!
context: it's the first time we've been out together like this.\Now that you mention it,\you also don't seem to have any friends, right?\What?\I don't mean it in a bad way!\In a good way!\I don't seem to have any friends in a good way?\No, that's not what I meant! response:	How do I put it...
context: Now that you mention it,\you also don't seem to have any friends, right?\What?\I don't mean it in a bad way!\In a good way!\I don't seem to have any friends in a good way?\No, that's not what I meant!\How do I put it... response:	You're always so frank and straightforward,
context: you also don't seem to have any friends, right?\What?\I don't mean it in a bad way!\In a good way!\I don't seem to have any friends in a good way?\No, that's not what I meant!\How do I put it...\You're always so frank and straightforward, response:	I figured you'd have a lot of enemies!
