context: Starting tomorrow, I'm going to China for high-altitude training. response:	I wanted to encourage Kiyose before leaving Japan,
context: You two sure are close.\Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves. response:	No one's enjoying himself more than you.
context: Race Completion Certificates Issued Here Saitama Ageo Athletic Field\The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you. response:	Haiji!
context: The Ageo City Marathon is about as long as Hakone's sections.\It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji! response:	They said they want to do the mountains of Hakone.”
context: It's the perfect dry run.\Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.” response:	What?
context: Make sure you experience what it's like to run on city streets\and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.”\What? response:	What are you talking about, Hana?
context: and the tension of a race.\Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana? response:	Didn't you say hearing Haiji do that fires you up?
context: Anyway, I won't say anything else.\Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up? response:	Hana's such a good girl.
context: Go enjoy yourselves.\No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl. response:	Yeah.
context: No one's enjoying himself more than you.\Haiji!\They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah. response:	The twins missed their opportunity to apologize to Haiji.
context: Haiji!\They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji. response:	And she's giving them a chance to return to normal.
context: They said they want to do the mountains of Hakone.”\What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal. response:	Now we wait for Haiji to come through.
context: What?\What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through. response:	You want to do it?
context: What are you talking about, Hana?\Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it? response:	You guys want to do it that badly?
context: Didn't you say hearing Haiji do that fires you up?\Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly? response:	Kiyose Haiji doesn't play along that easily.
context: Hana's such a good girl.\Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily. response:	Come on. Put out your hands.
context: Yeah.\The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands. response:	Hey!
context: The twins missed their opportunity to apologize to Haiji.\And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey! response:	Are you okay?
context: And she's giving them a chance to return to normal.\Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey!\Are you okay? response:	Your face is bright red.
context: Now we wait for Haiji to come through.\You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey!\Are you okay?\Your face is bright red. response:	Don't worry about it!
context: You want to do it?\You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey!\Are you okay?\Your face is bright red.\Don't worry about it! response:	Go ahead!
context: You guys want to do it that badly?\Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey!\Are you okay?\Your face is bright red.\Don't worry about it!\Go ahead! response:	The mountains of Hakone are?
context: Kiyose Haiji doesn't play along that easily.\Come on. Put out your hands.\Hey!\Are you okay?\Your face is bright red.\Don't worry about it!\Go ahead!\The mountains of Hakone are? response:	The steepest in?
context: Come on. Put out your hands.\Hey!\Are you okay?\Your face is bright red.\Don't worry about it!\Go ahead!\The mountains of Hakone are?\The steepest in? response:	In the world, right?
context: Hey!\Are you okay?\Your face is bright red.\Don't worry about it!\Go ahead!\The mountains of Hakone are?\The steepest in?\In the world, right? response:	It's in the world.
context: Are you okay?\Your face is bright red.\Don't worry about it!\Go ahead!\The mountains of Hakone are?\The steepest in?\In the world, right?\It's in the world. response:	In the world.
context: Your face is bright red.\Don't worry about it!\Go ahead!\The mountains of Hakone are?\The steepest in?\In the world, right?\It's in the world.\In the world. response:	Perfect! You can do it!
context: Don't worry about it!\Go ahead!\The mountains of Hakone are?\The steepest in?\In the world, right?\It's in the world.\In the world.\Perfect! You can do it! response:	Should we not have joined them?
context: Go ahead!\The mountains of Hakone are?\The steepest in?\In the world, right?\It's in the world.\In the world.\Perfect! You can do it!\Should we not have joined them? response:	You're pretty bad, too.
context: The mountains of Hakone are?\The steepest in?\In the world, right?\It's in the world.\In the world.\Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too. response:	What?
context: The steepest in?\In the world, right?\It's in the world.\In the world.\Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too.\What? response:	Ageo City Marathon
context: In the world, right?\It's in the world.\In the world.\Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too.\What?\Ageo City Marathon response:	Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...
context: It's in the world.\In the world.\Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too.\What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak... response:	Reveals Actual Name
context: In the world.\Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too.\What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name response:	Sendai J High School track coach claims incident with KK
context: Perfect! You can do it!\Should we not have joined them?\You're pretty bad, too.\What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK response:	is in the past” and refuses to speak?
context: Should we not have joined them?\You're pretty bad, too.\What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak? response:	If you weren't going to talk, don't accept an interview request!
context: You're pretty bad, too.\What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request! response:	J and KK? They're identifying them!
context: What?\Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them! response:	Don't let it bother you.
context: Ageo City Marathon\Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you. response:	Chairman's Office
context: Sendai J High School Track Coach Claims incident with KK is in the past...” and refuses to speak...\Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office response:	For this incident...
context: Reveals Actual Name\Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office\For this incident... response:	We're terribly sorry!
context: Sendai J High School track coach claims incident with KK\is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office\For this incident...\We're terribly sorry! response:	Incoming Call Home
context: is in the past” and refuses to speak?\If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office\For this incident...\We're terribly sorry!\Incoming Call Home response:	It's me.
context: If you weren't going to talk, don't accept an interview request!\J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office\For this incident...\We're terribly sorry!\Incoming Call Home\It's me. response:	Are you okay? I read the magazine article.
context: J and KK? They're identifying them!\Don't let it bother you.\Chairman's Office\For this incident...\We're terribly sorry!\Incoming Call Home\It's me.\Are you okay? I read the magazine article. response:	Dad's mad, okay? Are you sure you're okay?
context: Don't let it bother you.\Chairman's Office\For this incident...\We're terribly sorry!\Incoming Call Home\It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay? response:	People in the country like to talk.
context: Chairman's Office\For this incident...\We're terribly sorry!\Incoming Call Home\It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk. response:	Put yourself in our shoes. Please.
context: For this incident...\We're terribly sorry!\Incoming Call Home\It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please. response:	I know.
context: We're terribly sorry!\Incoming Call Home\It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please.\I know. response:	What are you doing for New Year's?
context: Incoming Call Home\It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please.\I know.\What are you doing for New Year's? response:	I'm not going home.
context: It's me.\Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please.\I know.\What are you doing for New Year's?\I'm not going home. response:	Don't tell me you've made bad friends in
context: Are you okay? I read the magazine article.\Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please.\I know.\What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in response:	I'm running at Hakone!
context: Dad's mad, okay? Are you sure you're okay?\People in the country like to talk.\Put yourself in our shoes. Please.\I know.\What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone! response:	Sorry. I didn't mean to eavesdrop.
context: People in the country like to talk.\Put yourself in our shoes. Please.\I know.\What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop. response:	I don't get along with my parents.
context: Put yourself in our shoes. Please.\I know.\What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents. response:	I forgot to tell you before, but neither do I.
context: I know.\What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I. response:	We haven't met once since I started college.
context: What are you doing for New Year's?\I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college. response:	It's not serious.
context: I'm not going home.\Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious. response:	My mom got remarried. She's living with a man I don't know very well.
context: Don't tell me you've made bad friends in\I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well. response:	I don't know how close we're supposed to be.
context: I'm running at Hakone!\Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be. response:	Oh.
context: Sorry. I didn't mean to eavesdrop.\I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh. response:	I don't like close relationships, parents or otherwise.
context: I don't get along with my parents.\I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise. response:	Everyone's alone.
context: I forgot to tell you before, but neither do I.\We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone. response:	It's stupid to try to understand others.
context: We haven't met once since I started college.\It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others. response:	But living here's been throwing me off my pace.
context: It's not serious.\My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace. response:	The track team's short distance team offered to be our water station staff.
context: My mom got remarried. She's living with a man I don't know very well.\I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff. response:	It's a first for all of us,
context: I don't know how close we're supposed to be.\Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us, response:	so I'm thinking we should make time next week to rehearse.
context: Oh.\I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse. response:	I agree. What about the shopping center vendors?
context: I don't like close relationships, parents or otherwise.\Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors? response:	I'm having them arrange transportation and lodging for the athletes,
context: Everyone's alone.\It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes, response:	as well as recording our times.
context: It's stupid to try to understand others.\But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times. response:	Also, about the forms we're submitting to the student association...
context: But living here's been throwing me off my pace.\The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association... response:	What would we do without Shindo?
context: The track team's short distance team offered to be our water station staff.\It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo? response:	He never accepts my offers for help.
context: It's a first for all of us,\so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help. response:	Have you been getting enough sleep?
context: so I'm thinking we should make time next week to rehearse.\I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep? response:	I'm great. This is actually fine for me.
context: I agree. What about the shopping center vendors?\I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me. response:	At least there wasn't a huge commotion over the article.
context: I'm having them arrange transportation and lodging for the athletes,\as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article. response:	We have our landlord to thank for handling it quickly.
context: as well as recording our times.\Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly. response:	The school has agreed to wait and see, too.
context: Also, about the forms we're submitting to the student association...\What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too. response:	That guy actually does his job, huh?
context: What would we do without Shindo?\He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh? response:	He bragged about being called Tazaki the Beggar.
context: He never accepts my offers for help.\Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar. response:	Is that something to brag about?
context: Have you been getting enough sleep?\I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about? response:	Thanks for waiting.
context: I'm great. This is actually fine for me.\At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting. response:	I bought liquor.
context: At least there wasn't a huge commotion over the article.\We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting.\I bought liquor. response:	Yeah!
context: We have our landlord to thank for handling it quickly.\The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting.\I bought liquor.\Yeah! response:	Let's gather in the twins' room.
context: The school has agreed to wait and see, too.\That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting.\I bought liquor.\Yeah!\Let's gather in the twins' room. response:	Merry Christmas
context: That guy actually does his job, huh?\He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting.\I bought liquor.\Yeah!\Let's gather in the twins' room.\Merry Christmas response:	Kansei University
context: He bragged about being called Tazaki the Beggar.\Is that something to brag about?\Thanks for waiting.\I bought liquor.\Yeah!\Let's gather in the twins' room.\Merry Christmas\Kansei University response:	January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!
context: Is that something to brag about?\Thanks for waiting.\I bought liquor.\Yeah!\Let's gather in the twins' room.\Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!! response:	Hakone
context: Thanks for waiting.\I bought liquor.\Yeah!\Let's gather in the twins' room.\Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone response:	Tokyo-Hakone Round-Trip College Ekiden Race
context: I bought liquor.\Yeah!\Let's gather in the twins' room.\Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race response:	Kansei University
context: Yeah!\Let's gather in the twins' room.\Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University response:	You'll tire yourself out if you move too much.
context: Let's gather in the twins' room.\Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much. response:	I'll now tell all of you who I've signed up for each section.
context: Merry Christmas\Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section. response:	First, section one. Prince.
context: Kansei University\January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince. response:	What?
context: January January 1st Tuesday New Year's Day New Year's Day is the day for planning It's tomorrow!!! Yeah!!! I'm so nervous heh heh We'll be popular tomorrow!!\Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What? response:	Are you trying to throw the race?
context: Hakone\Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What?\Are you trying to throw the race? response:	I can't imagine anyone else running section one.
context: Tokyo-Hakone Round-Trip College Ekiden Race\Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What?\Are you trying to throw the race?\I can't imagine anyone else running section one. response:	You're the only one who can stand there so calmly
context: Kansei University\You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What?\Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly response:	that you seem almost oblivious, even with all that attention on you.
context: You'll tire yourself out if you move too much.\I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What?\Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you. response:	Is that a compliment?
context: I'll now tell all of you who I've signed up for each section.\First, section one. Prince.\What?\Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment? response:	Naturally, I'm not throwing the race.
context: First, section one. Prince.\What?\Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race. response:	I made this line-up to win.
context: What?\Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win. response:	Are you sure?
context: Are you trying to throw the race?\I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure? response:	There have been a lot of fast-paced developments the past few years.
context: I can't imagine anyone else running section one.\You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years. response:	It's possible this year will be slow-paced in response to that.
context: You're the only one who can stand there so calmly\that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that. response:	Even if Prince falls behind, we'll get it back in section two.
context: that you seem almost oblivious, even with all that attention on you.\Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two. response:	Musa, that's your job.
context: Is that a compliment?\Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job. response:	Seriously?
context: Naturally, I'm not throwing the race.\I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously? response:	You can do it, Musa.
context: I made this line-up to win.\Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously?\You can do it, Musa. response:	H-Hold on! Kakeru should run that section.
context: Are you sure?\There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section. response:	Right, Kakeru? Right?
context: There have been a lot of fast-paced developments the past few years.\It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right? response:	You heard him.
context: It's possible this year will be slow-paced in response to that.\Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him. response:	You can run ten kilometers in about twenty-nine minutes.
context: Even if Prince falls behind, we'll get it back in section two.\Musa, that's your job.\Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes. response:	That's on par with other runners.
context: Musa, that's your job.\Seriously?\You can do it, Musa.\H-Hold on! Kakeru should run that section.\Right, Kakeru? Right?\You heard him.\You can run ten kilometers in about twenty-nine minutes.\That's on par with other runners. response:	But more than that,
