context: Inside the human body... response:	are working hard every day.
context: Yeah.\The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney.\Oh, I'm lost! response:	It's not just the lungs that are at risk.
context: The Pneumococci are pathogenic bacteria of the respiratory system\that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk. response:	The germ fled into the blood vessels after all!
context: that trigger pneumonia and other diseases,\not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all! response:	What do you... I mean, we're not untangled at all yet!
context: not to mention highly toxic germs that wield capsules!\No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet! response:	Pneumonia's not the only disease that's caused by the Pneumococci.
context: No way! I'm actually on my way to the lungs myself!\URINE\This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci. response:	There's something called pneumococcal bacteremia.
context: URINE\This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia. response:	The Pneumococci attack each organ through the blood vessels,
context: This is a kidney.\Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels, response:	seizing control of the meninges enveloping the brain,
context: Oh, I'm lost!\It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain, response:	PNEUMOCOCCUS BACTEREMIA
context: It's not just the lungs that are at risk.\The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA response:	ultimately destroying this world!
context: The germ fled into the blood vessels after all!\What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world! response:	Those guys are super fast!
context: What do you... I mean, we're not untangled at all yet!\Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast! response:	They've been known to invade an entire body in a mere 24 hours.
context: Pneumonia's not the only disease that's caused by the Pneumococci.\There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours. response:	Th-There's a disease like that?
context: There's something called pneumococcal bacteremia.\The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that? response:	Yeah. Since this body's immune system has been compromised.
context: The Pneumococci attack each organ through the blood vessels,\seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised. response:	Normally, it can withstand something like this, but...
context: seizing control of the meninges enveloping the brain,\PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but... response:	This is U-1146.
context: PNEUMOCOCCUS BACTEREMIA\ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146. response:	Requesting backup to pursue the invading germ.
context: ultimately destroying this world!\Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ. response:	We're short-handed, too! Try to get by on your own!
context: Those guys are super fast!\They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own! response:	What's this?
context: They've been known to invade an entire body in a mere 24 hours.\Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this? response:	RECEPTOR
context: Th-There's a disease like that?\Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR response:	My receptor's responding!
context: Yeah. Since this body's immune system has been compromised.\Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR\My receptor's responding! response:	He must still be nearby.
context: Normally, it can withstand something like this, but...\This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR\My receptor's responding!\He must still be nearby. response:	Couldn't they have come up with a better design?
context: This is U-1146.\Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR\My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design? response:	SALT
context: Requesting backup to pursue the invading germ.\We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR\My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design?\SALT response:	Hey, did you hear that guy say anything? Like where he was headed?
context: We're short-handed, too! Try to get by on your own!\What's this?\RECEPTOR\My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed? response:	Also, what was he doing there?
context: What's this?\RECEPTOR\My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there? response:	- A response! - Um...
context: RECEPTOR\My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um... response:	He was looking at a map!
context: My receptor's responding!\He must still be nearby.\Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um...\He was looking at a map! response:	He seemed to be looking for the lungs!
context: He must still be nearby.\Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs! response:	So he was lost, too?
context: Couldn't they have come up with a better design?\SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too? response:	Yeah, probably.
context: SALT\Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably. response:	All right.
context: Hey, did you hear that guy say anything? Like where he was headed?\Also, what was he doing there?\- A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably.\All right. response:	The lungs, huh?
context: Also, what was he doing there?\- A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably.\All right.\The lungs, huh? response:	Gotcha.
context: - A response! - Um...\He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably.\All right.\The lungs, huh?\Gotcha. response:	I've got to get there, too!
context: He was looking at a map!\He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably.\All right.\The lungs, huh?\Gotcha.\I've got to get there, too! response:	Even if I'm afraid of the Pneumococcus!
context: He seemed to be looking for the lungs!\So he was lost, too?\Yeah, probably.\All right.\The lungs, huh?\Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus! response:	That's my job!
context: So he was lost, too?\Yeah, probably.\All right.\The lungs, huh?\Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job! response:	Lungs are this way.
context: Yeah, probably.\All right.\The lungs, huh?\Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way. response:	DENDRITIC CELLS
context: All right.\The lungs, huh?\Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way.\DENDRITIC CELLS response:	All right, follow me.
context: The lungs, huh?\Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way.\DENDRITIC CELLS\All right, follow me. response:	Since we're heading toward the same destination.
context: Gotcha.\I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way.\DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination. response:	I'm so sorry!
context: I've got to get there, too!\Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way.\DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination.\I'm so sorry! response:	Let's get moving.
context: Even if I'm afraid of the Pneumococcus!\That's my job!\Lungs are this way.\DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination.\I'm so sorry!\Let's get moving. response:	Remember the way there.
context: That's my job!\Lungs are this way.\DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination.\I'm so sorry!\Let's get moving.\Remember the way there. response:	R-Right!
context: Lungs are this way.\DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination.\I'm so sorry!\Let's get moving.\Remember the way there.\R-Right! response:	BLOOD VESSELS
context: DENDRITIC CELLS\All right, follow me.\Since we're heading toward the same destination.\I'm so sorry!\Let's get moving.\Remember the way there.\R-Right!\BLOOD VESSELS response:	This is an amazing area we're passing through, huh?
context: All right, follow me.\Since we're heading toward the same destination.\I'm so sorry!\Let's get moving.\Remember the way there.\R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh? response:	Well, yes.
context: Since we're heading toward the same destination.\I'm so sorry!\Let's get moving.\Remember the way there.\R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes. response:	DENDRITE
context: I'm so sorry!\Let's get moving.\Remember the way there.\R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE response:	- This way. - Hello!
context: Let's get moving.\Remember the way there.\R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE\- This way. - Hello! response:	Heave-ho! Heave-ho! Heave-ho! Heave-ho!
context: Remember the way there.\R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho! response:	It's the Platelets!
context: R-Right!\BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets! response:	Oh my! They're so cute!
context: BLOOD VESSELS\This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute! response:	PLATELETS
context: This is an amazing area we're passing through, huh?\Well, yes.\DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute!\PLATELETS response:	Heave-ho! Heave-ho!
context: Well, yes.\DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho! response:	They're called Platelets?
context: DENDRITE\- This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho!\They're called Platelets? response:	Right.
context: - This way. - Hello!\Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho!\They're called Platelets?\Right. response:	Hello!
context: Heave-ho! Heave-ho! Heave-ho! Heave-ho!\It's the Platelets!\Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho!\They're called Platelets?\Right.\Hello! response:	Thanks for your hard work!
context: It's the Platelets!\Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho!\They're called Platelets?\Right.\Hello!\Thanks for your hard work! response:	Hello!
context: Oh my! They're so cute!\PLATELETS\Heave-ho! Heave-ho!\They're called Platelets?\Right.\Hello!\Thanks for your hard work!\Hello! response:	Good work.
context: PLATELETS\Heave-ho! Heave-ho!\They're called Platelets?\Right.\Hello!\Thanks for your hard work!\Hello!\Good work. response:	SAFETY FIRST
context: Heave-ho! Heave-ho!\They're called Platelets?\Right.\Hello!\Thanks for your hard work!\Hello!\Good work.\SAFETY FIRST response:	Excuse me!
context: They're called Platelets?\Right.\Hello!\Thanks for your hard work!\Hello!\Good work.\SAFETY FIRST\Excuse me! response:	Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM
context: Right.\Hello!\Thanks for your hard work!\Hello!\Good work.\SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM response:	ROAD CLOSED
context: Hello!\Thanks for your hard work!\Hello!\Good work.\SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED response:	PLATELETS
context: Thanks for your hard work!\Hello!\Good work.\SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS response:	We're still doing some construction up ahead!
context: Hello!\Good work.\SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS\We're still doing some construction up ahead! response:	The road's closed?
context: Good work.\SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS\We're still doing some construction up ahead!\The road's closed? response:	But we're in a hurry!
context: SAFETY FIRST\Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS\We're still doing some construction up ahead!\The road's closed?\But we're in a hurry! response:	Did something happen?
context: Excuse me!\Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS\We're still doing some construction up ahead!\The road's closed?\But we're in a hurry!\Did something happen? response:	We're so sorry!
context: Roadwork is delayed, and we are deeply sorry. THE PLATELETS TEAM\ROAD CLOSED\PLATELETS\We're still doing some construction up ahead!\The road's closed?\But we're in a hurry!\Did something happen?\We're so sorry! response:	You see, you see...
context: ROAD CLOSED\PLATELETS\We're still doing some construction up ahead!\The road's closed?\But we're in a hurry!\Did something happen?\We're so sorry!\You see, you see... response:	There was some trouble, so construction's been delayed.
context: PLATELETS\We're still doing some construction up ahead!\The road's closed?\But we're in a hurry!\Did something happen?\We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed. response:	And so, you see, the delivery people made a fatal mistake!
context: We're still doing some construction up ahead!\The road's closed?\But we're in a hurry!\Did something happen?\We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake! response:	We can't unload the cargo.
context: The road's closed?\But we're in a hurry!\Did something happen?\We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo. response:	It's too high! Can't reach! Bring the ladder!
context: But we're in a hurry!\Did something happen?\We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder! response:	ABSENT
context: Did something happen?\We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT response:	Heave-ho!
context: We're so sorry!\You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho! response:	- Th-That's adorable... - Th-That's adorable...
context: You see, you see...\There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable... response:	Then, we'll unload it for you.
context: There was some trouble, so construction's been delayed.\And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you. response:	Sorry to trouble you when you're busy!
context: And so, you see, the delivery people made a fatal mistake!\We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy! response:	Not at all!
context: We can't unload the cargo.\It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all! response:	Did you see that Pneumococcus?
context: It's too high! Can't reach! Bring the ladder!\ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus? response:	The one who looked like this?
context: ABSENT\Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus?\The one who looked like this? response:	I don't know.
context: Heave-ho!\- Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus?\The one who looked like this?\I don't know. response:	Thank you!
context: - Th-That's adorable... - Th-That's adorable...\Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus?\The one who looked like this?\I don't know.\Thank you! response:	BLOOD CLOTS
context: Then, we'll unload it for you.\Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus?\The one who looked like this?\I don't know.\Thank you!\BLOOD CLOTS response:	Still, it doesn't make sense.
context: Sorry to trouble you when you're busy!\Not at all!\Did you see that Pneumococcus?\The one who looked like this?\I don't know.\Thank you!\BLOOD CLOTS\Still, it doesn't make sense. response:	Well,
context: Not at all!\Did you see that Pneumococcus?\The one who looked like this?\I don't know.\Thank you!\BLOOD CLOTS\Still, it doesn't make sense.\Well, response:	the fact that my receptor's been acting up...
context: Did you see that Pneumococcus?\The one who looked like this?\I don't know.\Thank you!\BLOOD CLOTS\Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up... response:	You're right, it is! Do you think maybe it's broken?
context: The one who looked like this?\I don't know.\Thank you!\BLOOD CLOTS\Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken? response:	Well, it's pretty beat-up.
context: I don't know.\Thank you!\BLOOD CLOTS\Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up. response:	Oh well, whatever.
context: Thank you!\BLOOD CLOTS\Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever. response:	It's not like anything particularly strange is going on.
context: BLOOD CLOTS\Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on. response:	This is the Helper T Cell.
context: Still, it doesn't make sense.\Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell. response:	HELPER T CELLS
context: Well,\the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS response:	HELPER T COMMANDER NEWS
context: the fact that my receptor's been acting up...\You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS response:	We've been informed
context: You're right, it is! Do you think maybe it's broken?\Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed response:	that a Pneumococcus is on the run within these very blood vessels!
context: Well, it's pretty beat-up.\Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels! response:	We are mobilizing the Killer T Cells!
context: Oh well, whatever.\It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells! response:	Since our most elite Lymphocyte force is on its way,
context: It's not like anything particularly strange is going on.\This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way, response:	you have nothing to worry about!
context: This is the Helper T Cell.\HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about! response:	We are ready to put our pride on the line
context: HELPER T CELLS\HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line response:	to exterminate the enemy! No matter what!
context: HELPER T COMMANDER NEWS\We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what! response:	Commander Helper T Cell?
context: We've been informed\that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell? response:	You have cookie crumbs all over your mouth.
context: that a Pneumococcus is on the run within these very blood vessels!\We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth. response:	You're right! Oh man...
context: We are mobilizing the Killer T Cells!\Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man... response:	Well, anyway, so there you have it!
context: Since our most elite Lymphocyte force is on its way,\you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it! response:	Is that them?
context: you have nothing to worry about!\We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it!\Is that them? response:	LYMPHATIC VESSEL
context: We are ready to put our pride on the line\to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL response:	KILLER T CELLS (CYTOTOXIC T CELLS)
context: to exterminate the enemy! No matter what!\Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS) response:	In the name of the Killer T Cell Division,
context: Commander Helper T Cell?\You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division, response:	finish the target within two seconds of sighting!
context: You have cookie crumbs all over your mouth.\You're right! Oh man...\Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting! response:	Any moron who lets him escape will be sent to the spleen!
context: You're right! Oh man...\Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen! response:	Yes, sir!
context: Well, anyway, so there you have it!\Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir! response:	They're pretty pompous, aren't they?
context: Is that them?\LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they? response:	They're actually related to us, White Blood Cells.
context: LYMPHATIC VESSEL\KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells. response:	LYMPHOCYTES
context: KILLER T CELLS (CYTOTOXIC T CELLS)\In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES response:	They're called Lymphocytes.
context: In the name of the Killer T Cell Division,\finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes. response:	Oh, never mind.
context: finish the target within two seconds of sighting!\Any moron who lets him escape will be sent to the spleen!\Yes, sir!\They're pretty pompous, aren't they?\They're actually related to us, White Blood Cells.\LYMPHOCYTES\They're called Lymphocytes.\Oh, never mind. response:	Let's get moving.
