context: I'm surprised you're knockin' back the booze during an emergency like this. response:	Hey, I know this guy. He's Gryder, a notorious drunk around these parts.
context: You called, girl?\And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy?\No... response:	Fine. I'll take care of this punk nice and quick!
context: And you summoned me again from muddy water...\You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick! response:	Man!
context: You looking to get hurt?!\I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick!\Man! response:	No fair! I'm gonna hit him first!
context: I-I'm sorry...\But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first! response:	Actually, you're going to turn right around!
context: But don't threaten me! Do something about that machine monster!\Why do you always summon me when I'm on a date?\Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around! response:	Totally hot!
context: Why do you always summon me when I'm on a date?\Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot! response:	Stay outta my way!
context: Out of jealousy?\No...\Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot!\Stay outta my way! response:	You stay outta my way!
context: No...\Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot!\Stay outta my way!\You stay outta my way! response:	Both of you, shut the hell up!
context: Fine. I'll take care of this punk nice and quick!\Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot!\Stay outta my way!\You stay outta my way!\Both of you, shut the hell up! response:	Why is this happening?!
context: Man!\No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot!\Stay outta my way!\You stay outta my way!\Both of you, shut the hell up!\Why is this happening?! response:	They're not working together at all!
context: No fair! I'm gonna hit him first!\Actually, you're going to turn right around!\Totally hot!\Stay outta my way!\You stay outta my way!\Both of you, shut the hell up!\Why is this happening?!\They're not working together at all! response:	Only a little left...
context: Actually, you're going to turn right around!\Totally hot!\Stay outta my way!\You stay outta my way!\Both of you, shut the hell up!\Why is this happening?!\They're not working together at all!\Only a little left... response:	Say, Nico, I wonder how many more years this tree will live...
context: Totally hot!\Stay outta my way!\You stay outta my way!\Both of you, shut the hell up!\Why is this happening?!\They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live... response:	Katja-sama! What are you doing here?!
context: Stay outta my way!\You stay outta my way!\Both of you, shut the hell up!\Why is this happening?!\They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?! response:	I was looking at this tree.
context: You stay outta my way!\Both of you, shut the hell up!\Why is this happening?!\They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree. response:	You can't do that! Don't wander around outside! The situation we're in right now...
context: Both of you, shut the hell up!\Why is this happening?!\They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now... response:	I know it very well. And how little time we have left, too.
context: Why is this happening?!\They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too. response:	In that case...
context: They're not working together at all!\Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case... response:	Maybe this tree will remember us... is what I was thinking.
context: Only a little left...\Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking. response:	One more thing...
context: Say, Nico, I wonder how many more years this tree will live...\Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing... response:	Word is that Fabrizio was found and taken away.
context: Katja-sama! What are you doing here?!\I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away. response:	Oh?
context: I was looking at this tree.\You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away.\Oh? response:	Maybe it's my turn next...
context: You can't do that! Don't wander around outside! The situation we're in right now...\I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next... response:	If you're scared, you can escape, Nico.
context: I know it very well. And how little time we have left, too.\In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico. response:	Is it that disagreeable to be paired up with me?
context: In that case...\Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me? response:	No, but...
context: Maybe this tree will remember us... is what I was thinking.\One more thing...\Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but... response:	If you don't like it, you're free to run to that naked bastard.
context: One more thing...\Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard. response:	I don't dislike you, Gajeel-kun.
context: Word is that Fabrizio was found and taken away.\Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun. response:	But... But... Grey-sama...
context: Oh?\Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama... response:	On a beautiful, warm day,
context: Maybe it's my turn next...\If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day, response:	Juvia and Grey-sama, drinking tea in a fancy open cafe...
context: If you're scared, you can escape, Nico.\Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe... response:	Juvia wishes a tranquil day like this would last forever...
context: Is it that disagreeable to be paired up with me?\No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever... response:	Gimme some tea! Tea, I said! With iron in it!
context: No, but...\If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it! response:	They've got that inside the shop, so get it from there!
context: If you don't like it, you're free to run to that naked bastard.\I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there! response:	The shop doesn't get much sunlight inside, so the iron is probably all rusty!
context: I don't dislike you, Gajeel-kun.\But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty! response:	It's better to be out here!
context: But... But... Grey-sama...\On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here! response:	Gajeel-kun...
context: On a beautiful, warm day,\Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun... response:	Don't get in Juvia's way.
context: Juvia and Grey-sama, drinking tea in a fancy open cafe...\Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way. response:	What's the problem? We're just gonna drink together is all.
context: Juvia wishes a tranquil day like this would last forever...\Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all. response:	Juvia told you... don't get in my way!
context: Gimme some tea! Tea, I said! With iron in it!\They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way! response:	Knock it off! You'll rust me out!
context: They've got that inside the shop, so get it from there!\The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out! response:	That's what it's like...
context: The shop doesn't get much sunlight inside, so the iron is probably all rusty!\It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like... response:	I don't get you. But it's a pain in the ass...
context: It's better to be out here!\Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass... response:	That's the kind of woman Juvia is.
context: Gajeel-kun...\Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is. response:	Are you alright, Wendy?
context: Don't get in Juvia's way.\What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy? response:	Yes! I'll do my best.
context: What's the problem? We're just gonna drink together is all.\Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best. response:	We'll almost be at our destination once we make it past this mountain pass.
context: Juvia told you... don't get in my way!\Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass. response:	Right!
context: Knock it off! You'll rust me out!\That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right! response:	What the heck is that?
context: That's what it's like...\I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that? response:	A storm...
context: I don't get you. But it's a pain in the ass...\That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that?\A storm... response:	I guess the weather in the mountains changes quickly...
context: That's the kind of woman Juvia is.\Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that?\A storm...\I guess the weather in the mountains changes quickly... response:	What is this?! This is way too powerful!
context: Are you alright, Wendy?\Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that?\A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful! response:	Yesterday, the weather was... I can't remember.
context: Yes! I'll do my best.\We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that?\A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember. response:	It's that Grim Reaper guy!
context: We'll almost be at our destination once we make it past this mountain pass.\Right!\What the heck is that?\A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy! response:	He's like a walking freakish weather system.
context: Right!\What the heck is that?\A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system. response:	I take it that he used to be Erigor-san of Eisenwald.
context: What the heck is that?\A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald. response:	Eisenwald... Erigor...
context: A storm...\I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor... response:	They ring no bells...
context: I guess the weather in the mountains changes quickly...\What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells... response:	What's with you? You've got a lousy memory.
context: What is this?! This is way too powerful!\Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory. response:	But I do know what the weather is going to be like next...
context: Yesterday, the weather was... I can't remember.\It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next... response:	A blast of wind from above!
context: It's that Grim Reaper guy!\He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above! response:	Along with occasional tornadoes from the side!
context: He's like a walking freakish weather system.\I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side! response:	Not even flies
context: I take it that he used to be Erigor-san of Eisenwald.\Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies response:	would dare defy natural phenomena.
context: Eisenwald... Erigor...\They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena. response:	This guy...
context: They ring no bells...\What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena.\This guy... response:	Bickslow-san, I'll support you!
context: What's with you? You've got a lousy memory.\But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you! response:	Alright! We ain't flies!
context: But I do know what the weather is going to be like next...\A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies! response:	Don't underestimate Fairy Tail wizards!
context: A blast of wind from above!\Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards! response:	A gale from below!
context: Along with occasional tornadoes from the side!\Not even flies\would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below! response:	What's wrong? Are you just all talk?
context: Not even flies\would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk? response:	Dammit!
context: would dare defy natural phenomena.\This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk?\Dammit! response:	I'll heal you...
context: This guy...\Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk?\Dammit!\I'll heal you... response:	We don't got time for that!
context: Bickslow-san, I'll support you!\Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk?\Dammit!\I'll heal you...\We don't got time for that! response:	That's...
context: Alright! We ain't flies!\Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk?\Dammit!\I'll heal you...\We don't got time for that!\That's... response:	Fairy... Tail... It's not coming to me...
context: Don't underestimate Fairy Tail wizards!\A gale from below!\What's wrong? Are you just all talk?\Dammit!\I'll heal you...\We don't got time for that!\That's...\Fairy... Tail... It's not coming to me... response:	But I know what the next weather pattern will be...
context: A gale from below!\What's wrong? Are you just all talk?\Dammit!\I'll heal you...\We don't got time for that!\That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be... response:	Storm... A storm! A storm from right in front of you!
context: What's wrong? Are you just all talk?\Dammit!\I'll heal you...\We don't got time for that!\That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you! response:	I'll stop it!
context: Dammit!\I'll heal you...\We don't got time for that!\That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it! response:	Roar of the Sky Dragon!
context: I'll heal you...\We don't got time for that!\That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon! response:	What kind of soul does that girl have?!
context: We don't got time for that!\That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?! response:	Followed by lightning from behind!
context: That's...\Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind! response:	You hit'em, huh?
context: Fairy... Tail... It's not coming to me...\But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh? response:	I've already moved the souls to other dolls!
context: But I know what the next weather pattern will be...\Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls! response:	Take this! Zero Distance Baryon Formation!
context: Storm... A storm! A storm from right in front of you!\I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation! response:	What...?!
context: I'll stop it!\Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?! response:	Hey, it's cowardly to fly out of the way!
context: Roar of the Sky Dragon!\What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way! response:	So it seems... I had forgotten...
context: What kind of soul does that girl have?!\Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten... response:	By the way, who are you two?
context: Followed by lightning from behind!\You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two? response:	What the hell?
context: You hit'em, huh?\I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two?\What the hell? response:	He's already forgotten about us.
context: I've already moved the souls to other dolls!\Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two?\What the hell?\He's already forgotten about us. response:	Wing Slash of the Sky Dragon!
context: Take this! Zero Distance Baryon Formation!\What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two?\What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon! response:	You challenge me, master of weather phenomena, with wind magic?
context: What...?!\Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two?\What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic? response:	You should know your place!
context: Hey, it's cowardly to fly out of the way!\So it seems... I had forgotten...\By the way, who are you two?\What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place! response:	Wendy! Watch out!
context: So it seems... I had forgotten...\By the way, who are you two?\What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out! response:	Be careful of flying objects due to strong wind!
context: By the way, who are you two?\What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind! response:	Cow stink!
context: What the hell?\He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink! response:	Oh, no... It's my fault...
context: He's already forgotten about us.\Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault... response:	Bickslow-san!
context: Wing Slash of the Sky Dragon!\You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault...\Bickslow-san! response:	The Infinity Clock was completed and stolen by Oracion Seis.
context: You challenge me, master of weather phenomena, with wind magic?\You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis. response:	So what are you people after now?
context: You should know your place!\Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now? response:	According to my calculations,
context: Wendy! Watch out!\Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations, response:	the situation is becoming more complicated than first anticipated, Nii-san.
context: Be careful of flying objects due to strong wind!\Cow stink!\Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san. response:	So much that my calculations can't keep up.
context: Cow stink!\Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up. response:	I know!
context: Oh, no... It's my fault...\Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know! response:	You want to help us, don't you? After all, you're a fellow Exceed!
context: Bickslow-san!\The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed! response:	You guess correctly.
context: The Infinity Clock was completed and stolen by Oracion Seis.\So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly. response:	If they're not careful,
context: So what are you people after now?\According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful, response:	it's likely the humans will find themselves powerless to do anything.
context: According to my calculations,\the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything. response:	You say this now?!
context: the situation is becoming more complicated than first anticipated, Nii-san.\So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?! response:	I thought Zentopia's teachings were everything to you.
context: So much that my calculations can't keep up.\I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you. response:	Doctrine is important too, but this is no time to be particular.
context: I know!\You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular. response:	I see.
context: You want to help us, don't you? After all, you're a fellow Exceed!\You guess correctly.\If they're not careful,\it's likely the humans will find themselves powerless to do anything.\You say this now?!\I thought Zentopia's teachings were everything to you.\Doctrine is important too, but this is no time to be particular.\I see. response:	So what should we do?
