context: So here's where you were. response:	What are you reading?
context: Come on! Let's get started!\Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane... response:	Diet? Low-calorie? Get outta here!
context: Stop right where you are!\Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here! response:	Our slogan is, Are you gonna eat that?
context: Who gave you permission to have a picnic here?!\Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that? response:	That's right! We're...
context: Wanna suck some mayonnaise?\Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're... response:	J-Jiggle Jugs?
context: Lackey A! Lackey B!\Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs? response:	There are rules in this plane!
context: Tell'em who owns this plane!\Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs?\There are rules in this plane! response:	No girls with a good figure can picnic here!
context: Gotcha, Boss!\The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here! response:	Wanna suck some mayonnaise?
context: The owners of this grassy plane...\Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise? response:	I figured something like this would happen...
context: Diet? Low-calorie? Get outta here!\Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen... response:	And I put my spare flower in my hair...
context: Our slogan is, Are you gonna eat that?\That's right! We're...\J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair... response:	So we're gonna confiscate all your vittles!
context: That's right! We're...\J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles! response:	Where's the meat?! I want meat!
context: J-Jiggle Jugs?\There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat! response:	Suck some mayonnaise?
context: There are rules in this plane!\No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise? response:	You're gonna regret this...
context: No girls with a good figure can picnic here!\Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this... response:	My first time...
context: Wanna suck some mayonnaise?\I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this...\My first time... response:	This was my second try at the first picnic of my life!
context: I figured something like this would happen...\And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this...\My first time...\This was my second try at the first picnic of my life! response:	Want some mayonnaise?
context: And I put my spare flower in my hair...\So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this...\My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise? response:	I'll make you pay for this.
context: So we're gonna confiscate all your vittles!\Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this...\My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this. response:	Requip! Magic Sword, Scarlet Sakura!
context: Where's the meat?! I want meat!\Suck some mayonnaise?\You're gonna regret this...\My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura! response:	It's time for you bastards to learn
context: Suck some mayonnaise?\You're gonna regret this...\My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn response:	what things past cannot be recalled means, from top to toe!
context: You're gonna regret this...\My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe! response:	Wanna suck some mayonnaise?!
context: My first time...\This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?! response:	I knew it would end like this...
context: This was my second try at the first picnic of my life!\Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this... response:	Elfman... Lisanna...
context: Want some mayonnaise?\I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna... response:	Let go of me!
context: I'll make you pay for this.\Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna...\Let go of me! response:	Lisanna!
context: Requip! Magic Sword, Scarlet Sakura!\It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna...\Let go of me!\Lisanna! response:	Well, I'm getting tired of playing...
context: It's time for you bastards to learn\what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna...\Let go of me!\Lisanna!\Well, I'm getting tired of playing... response:	You're so close, I'll finish the three of you off at the same time.
context: what things past cannot be recalled means, from top to toe!\Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna...\Let go of me!\Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time. response:	Stop it. What's so fun about doing this?
context: Wanna suck some mayonnaise?!\I knew it would end like this...\Elfman... Lisanna...\Let go of me!\Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this? response:	I'm not a powerless lamb anymore, am I?
context: I knew it would end like this...\Elfman... Lisanna...\Let go of me!\Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I? response:	Now, as someone with power,
context: Elfman... Lisanna...\Let go of me!\Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power, response:	my job is to eliminate those who would oppose His Grace.
context: Let go of me!\Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace. response:	Do you know what a crime it is to make an enemy out of Zentopia?!
context: Lisanna!\Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?! response:	You're about to find out!
context: Well, I'm getting tired of playing...\You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out! response:	Oh, no, you don't!
context: You're so close, I'll finish the three of you off at the same time.\Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't! response:	It's useless!
context: Stop it. What's so fun about doing this?\I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't!\It's useless! response:	This Holy Tact can control your magic!
context: I'm not a powerless lamb anymore, am I?\Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't!\It's useless!\This Holy Tact can control your magic! response:	Die pitifully,
context: Now, as someone with power,\my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't!\It's useless!\This Holy Tact can control your magic!\Die pitifully, response:	Fairy Tail wizards!
context: my job is to eliminate those who would oppose His Grace.\Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't!\It's useless!\This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards! response:	That power is awesome!
context: Do you know what a crime it is to make an enemy out of Zentopia?!\You're about to find out!\Oh, no, you don't!\It's useless!\This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards!\That power is awesome! response:	Maybe I overdid it a little...
context: You're about to find out!\Oh, no, you don't!\It's useless!\This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little... response:	What is this?!
context: Oh, no, you don't!\It's useless!\This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little...\What is this?! response:	Nee-chan! No! Don't do it!
context: It's useless!\This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it! response:	Wha...?! I don't believe it! Another Satan Soul?!
context: This Holy Tact can control your magic!\Die pitifully,\Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?! response:	I didn't know you could do that!
context: Die pitifully,\Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that! response:	Elf-niichan... What's that?
context: Fairy Tail wizards!\That power is awesome!\Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that? response:	Oh, crap... Get back, Lisanna!
context: That power is awesome!\Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna! response:	That's not Satan Soul...
context: Maybe I overdid it a little...\What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul... response:	You've never seen it before. Master forbade her to use it!
context: What is this?!\Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it! response:	The name is...
context: Nee-chan! No! Don't do it!\Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is... response:	This octopus tentacle is heavy!
context: Wha...?! I don't believe it! Another Satan Soul?!\I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy! response:	Wait a second, octopus!
context: I didn't know you could do that!\Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy!\Wait a second, octopus! response:	This will neutralize the poison in that ink!
context: Elf-niichan... What's that?\Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink! response:	Nice timing!
context: Oh, crap... Get back, Lisanna!\That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing! response:	Where'd you call me from?! A stinkin' puddle?!
context: That's not Satan Soul...\You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?! response:	Sorry, that's all the water there is...
context: You've never seen it before. Master forbade her to use it!\The name is...\This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is... response:	Thank you, Lucy... and... Aquas?
context: The name is...\This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas? response:	Aquarius!
context: This octopus tentacle is heavy!\Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius! response:	You caught a Natsu!
context: Wait a second, octopus!\This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu! response:	This time I'll let you off the hook for summoning me from there,
context: This will neutralize the poison in that ink!\Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there, response:	but work on summoning two Spirits at the same time, get it?!
context: Nice timing!\Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?! response:	That way, Scorpio and I can be together here...
context: Where'd you call me from?! A stinkin' puddle?!\Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here... response:	I'll do my best!
context: Sorry, that's all the water there is...\Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best! response:	That Spirit is setting a bad example...
context: Thank you, Lucy... and... Aquas?\Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example... response:	Romeo! Can you get that octopus to open its mouth?!
context: Aquarius!\You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?! response:	Leave it to me, Natsu-nii!
context: You caught a Natsu!\This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii! response:	Purple Net!
context: This time I'll let you off the hook for summoning me from there,\but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net! response:	Roar of the...
context: but work on summoning two Spirits at the same time, get it?!\That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net!\Roar of the... response:	The idea is to shoot flames right into the octopus's mouth!
context: That way, Scorpio and I can be together here...\I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth! response:	That's kind of nasty...
context: I'll do my best!\That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty... response:	Grilled octopus is delicious!
context: That Spirit is setting a bad example...\Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious! response:	This one's nasty, too.
context: Romeo! Can you get that octopus to open its mouth?!\Leave it to me, Natsu-nii!\Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too. response:	You underestimated him.
context: Leave it to me, Natsu-nii!\Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too.\You underestimated him. response:	Kanaloa is a veteran soldier, too.
context: Purple Net!\Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too. response:	A simple strategy just won't work.
context: Roar of the...\The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work. response:	Oh, no...
context: The idea is to shoot flames right into the octopus's mouth!\That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no... response:	This isn't good...
context: That's kind of nasty...\Grilled octopus is delicious!\This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no...\This isn't good... response:	He's got motion sickness already?!
context: Grilled octopus is delicious!\This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no...\This isn't good...\He's got motion sickness already?! response:	It seems the battle is done.
context: This one's nasty, too.\You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no...\This isn't good...\He's got motion sickness already?!\It seems the battle is done. response:	Well, Kanaloa... Collect the part.
context: You underestimated him.\Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no...\This isn't good...\He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part. response:	No, you don't!
context: Kanaloa is a veteran soldier, too.\A simple strategy just won't work.\Oh, no...\This isn't good...\He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't! response:	My father entrusted the hand of that clock to me!
context: A simple strategy just won't work.\Oh, no...\This isn't good...\He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me! response:	So it's mine! First off, give it back to me!
context: Oh, no...\This isn't good...\He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me! response:	Why are you people trying to steal the clock parts in the first place?
context: This isn't good...\He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place? response:	Steal? You make us sound like common thieves.
context: He's got motion sickness already?!\It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves. response:	Safekeeping.
context: It seems the battle is done.\Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping. response:	What does that mean?!
context: Well, Kanaloa... Collect the part.\No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?! response:	That clock is called the Infinity Clock.
context: No, you don't!\My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?!\That clock is called the Infinity Clock. response:	Our orders from the Archbishop of Zentopia
context: My father entrusted the hand of that clock to me!\So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia response:	are to collect its parts.
context: So it's mine! First off, give it back to me!\Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts. response:	Infinity Clock?
context: Why are you people trying to steal the clock parts in the first place?\Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock? response:	Why would the Archbishop of Zentopia want that?
context: Steal? You make us sound like common thieves.\Safekeeping.\What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that? response:	Time is etched, and then chaos descends...
context: Safekeeping.\What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends... response:	Do you know what that means?
context: What does that mean?!\That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means? response:	The sentence you keep hearing in your dreams...
context: That clock is called the Infinity Clock.\Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams... response:	But I don't know what it means...
context: Our orders from the Archbishop of Zentopia\are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means... response:	Once every 100 years,
context: are to collect its parts.\Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years, response:	the magic that the Infinity Clock has accumulated is released and comes into action...
context: Infinity Clock?\Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action... response:	During that time, if the six scattered parts are brought together...
context: Why would the Archbishop of Zentopia want that?\Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together... response:	What will happen?
context: Time is etched, and then chaos descends...\Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen? response:	Time will be etched...
context: Do you know what that means?\The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched... response:	What?!
context: The sentence you keep hearing in your dreams...\But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched...\What?! response:	According to the cardinal,
context: But I don't know what it means...\Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched...\What?!\According to the cardinal, response:	a certain magic guild is searching for the Infinity Clock
context: Once every 100 years,\the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched...\What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock response:	and we're the only ones who can stop them. In other words...
context: the magic that the Infinity Clock has accumulated is released and comes into action...\During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched...\What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words... response:	Byro...
context: During that time, if the six scattered parts are brought together...\What will happen?\Time will be etched...\What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro... response:	This is a crusade.
context: What will happen?\Time will be etched...\What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro...\This is a crusade. response:	If all the pieces of the clock are brought together...
context: Time will be etched...\What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro...\This is a crusade.\If all the pieces of the clock are brought together... response:	Chaos will descend...
context: What?!\According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro...\This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend... response:	Is that what it means?
context: According to the cardinal,\a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro...\This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend...\Is that what it means? response:	The stakes have suddenly risen...
context: a certain magic guild is searching for the Infinity Clock\and we're the only ones who can stop them. In other words...\Byro...\This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend...\Is that what it means?\The stakes have suddenly risen... response:	Do you understand?
context: and we're the only ones who can stop them. In other words...\Byro...\This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend...\Is that what it means?\The stakes have suddenly risen...\Do you understand? response:	A magic guild cannot safeguard items like these.
context: Byro...\This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend...\Is that what it means?\The stakes have suddenly risen...\Do you understand?\A magic guild cannot safeguard items like these. response:	Certainly, if even one mistake is made in safekeeping them...
context: This is a crusade.\If all the pieces of the clock are brought together...\Chaos will descend...\Is that what it means?\The stakes have suddenly risen...\Do you understand?\A magic guild cannot safeguard items like these.\Certainly, if even one mistake is made in safekeeping them... response:	But...
