context: 23rd - Summer Break 25th - Summer School Starts response:	x becomes 4. Substitute this value in the formula to calculate the value of y.
context: Sorry about that.\But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable! response:	We have some from kindergarten, too!
context: But I like a young man who does the unheard-of!\Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too! response:	Don't show him!
context: Good for you!\Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too!\Don't show him! response:	Here, for your folks.
context: Once it's inside your stomach, there's no difference.\Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too!\Don't show him!\Here, for your folks. response:	Thank you very much. And thank you for all the cake.
context: Since the ingredients are all the same.\Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too!\Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake. response:	We'll be going to the gala concert to cheer you on.
context: Thank you very much!\Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too!\Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on. response:	Good luck!
context: Want to see some pictures of Kaori back in grade school?\She was so adorable!\We have some from kindergarten, too!\Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck! response:	Right, I'll do my best.
context: She was so adorable!\We have some from kindergarten, too!\Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best. response:	I'll walk you to the street.
context: We have some from kindergarten, too!\Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best.\I'll walk you to the street. response:	So that's Arima-kun, huh?
context: Don't show him!\Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh? response:	He's got manners, and he's a good kid, don't you think?
context: Here, for your folks.\Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think? response:	Yes...
context: Thank you very much. And thank you for all the cake.\We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes... response:	Really! They even hauled out the pictures of me as a newborn!
context: We'll be going to the gala concert to cheer you on.\Good luck!\Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn! response:	Stark naked, no less! I can never get married now!
context: Good luck!\Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now! response:	You sure have cheerful parents.
context: Right, I'll do my best.\I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents. response:	My mom's always stuffing starving dogs with food.
context: I'll walk you to the street.\So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food. response:	Starving?
context: So that's Arima-kun, huh?\He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving? response:	Huh?
context: He's got manners, and he's a good kid, don't you think?\Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving?\Huh? response:	Hey, did you get taller?
context: Yes...\Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving?\Huh?\Hey, did you get taller? response:	Huh? I don't know...
context: Really! They even hauled out the pictures of me as a newborn!\Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving?\Huh?\Hey, did you get taller?\Huh? I don't know... response:	Oh, I see. It's because you're not looking down anymore.
context: Stark naked, no less! I can never get married now!\You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving?\Huh?\Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore. response:	Anyway, it sure is hot this year.
context: You sure have cheerful parents.\My mom's always stuffing starving dogs with food.\Starving?\Huh?\Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year. response:	A meaningless conversation. Familiar scenery.
context: My mom's always stuffing starving dogs with food.\Starving?\Huh?\Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery. response:	It's so humid! It's so deplorable,
context: Starving?\Huh?\Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable, response:	it's really muggy, don't you think?
context: Huh?\Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think? response:	Even so, the reason I remember it so well is probably...
context: Hey, did you get taller?\Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably... response:	Oh, but I do like summer because there are fireworks.
context: Huh? I don't know...\Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks. response:	31st - Gala Concert
context: Oh, I see. It's because you're not looking down anymore.\Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert response:	Make that part flow more elegantly!
context: Anyway, it sure is hot this year.\A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly! response:	But the accompanist can't just ignore instructions!
context: A meaningless conversation. Familiar scenery.\It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions! response:	Or else the violin won't stand out.
context: It's so humid! It's so deplorable,\it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out. response:	It will too stand out! Because I'm gonna be playing it!
context: it's really muggy, don't you think?\Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it! response:	It's peaceful.
context: Even so, the reason I remember it so well is probably...\Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful. response:	You're so arrogant!
context: Oh, but I do like summer because there are fireworks.\31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant! response:	Follow what I'm doing!
context: 31st - Gala Concert\Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant!\Follow what I'm doing! response:	Where's my green tea and red bean shaved ice?
context: Make that part flow more elegantly!\But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice? response:	It's not that simple! You runaway horse!
context: But the accompanist can't just ignore instructions!\Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse! response:	Huh? I'm eating it.
context: Or else the violin won't stand out.\It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it. response:	You monster!
context: It will too stand out! Because I'm gonna be playing it!\It's peaceful.\You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster! response:	That was my shaved ice! I've had enough! I don't want to go to summer school!
context: It's peaceful.\You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school! response:	I want to play!
context: You're so arrogant!\Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play! response:	I want to go to the festival! I want to watch fireworks!
context: Follow what I'm doing!\Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks! response:	It's peaceful.
context: Where's my green tea and red bean shaved ice?\It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful. response:	Done!
context: It's not that simple! You runaway horse!\Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done! response:	The year's first fireworks!
context: Huh? I'm eating it.\You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done!\The year's first fireworks! response:	So pretty!
context: You monster!\That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done!\The year's first fireworks!\So pretty! response:	You sure we won't get caught?
context: That was my shaved ice! I've had enough! I don't want to go to summer school!\I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done!\The year's first fireworks!\So pretty!\You sure we won't get caught? response:	Sneaking into the pool area and lighting firecrackers...
context: I want to play!\I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done!\The year's first fireworks!\So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers... response:	Oh, no worries!
context: I want to go to the festival! I want to watch fireworks!\It's peaceful.\Done!\The year's first fireworks!\So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries! response:	I mean, the teachers have all gone home anyway.
context: It's peaceful.\Done!\The year's first fireworks!\So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway. response:	And as for water, we've got a whole boatload at our disposal!
context: Done!\The year's first fireworks!\So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal! response:	But lay off the rockets, okay?
context: The year's first fireworks!\So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay? response:	Kashiwagi-san?
context: So pretty!\You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san? response:	Oh, crap! Summer school again tomorrow!
context: You sure we won't get caught?\Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow! response:	Well, just suck it up.
context: Sneaking into the pool area and lighting firecrackers...\Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up. response:	It's your fault for being a moron.
context: Oh, no worries!\I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron. response:	Shut up, you lousy scholarship student!
context: I mean, the teachers have all gone home anyway.\And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student! response:	What are you two gonna do?
context: And as for water, we've got a whole boatload at our disposal!\But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do? response:	I mean high school. You're not attending summer school,
context: But lay off the rockets, okay?\Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school, response:	so does that mean you two are on the music college track?
context: Kashiwagi-san?\Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track? response:	I'm...
context: Oh, crap! Summer school again tomorrow!\Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm... response:	For now, let me just say that I'm going to rock the audience at the gala,
context: Well, just suck it up.\It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala, response:	and claim the spotlight!
context: It's your fault for being a moron.\Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight! response:	Because we're the almighty duo, after all!
context: Shut up, you lousy scholarship student!\What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all! response:	That's the spirit, that's the spirit!
context: What are you two gonna do?\I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit! response:	So glorious!
context: I mean high school. You're not attending summer school,\so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious! response:	Yeah... those two look great together.
context: so does that mean you two are on the music college track?\I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together. response:	What are you gaping at?
context: I'm...\For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together.\What are you gaping at? response:	Why? Why?
context: For now, let me just say that I'm going to rock the audience at the gala,\and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together.\What are you gaping at?\Why? Why? response:	It's totally dark at the bottom... I can't hear a sound...
context: and claim the spotlight!\Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together.\What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound... response:	It's like my...
context: Because we're the almighty duo, after all!\That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together.\What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my... response:	Help me... please help me.
context: That's the spirit, that's the spirit!\So glorious!\Yeah... those two look great together.\What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me. response:	I can't hear anything. It's dark... it's dark...
context: So glorious!\Yeah... those two look great together.\What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark... response:	The fact that you can't hear the notes means...
context: Yeah... those two look great together.\What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means... response:	Not bound by sound?
context: What are you gaping at?\Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound? response:	The images you have within you.
context: Why? Why?\It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you. response:	The sounds that rise up from the bottom of your soul...
context: It's totally dark at the bottom... I can't hear a sound...\It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul... response:	You've been letting them override all else without realizing it.
context: It's like my...\Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it. response:	The sounds within you, the imagined scenery...
context: Help me... please help me.\I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery... response:	Wasn't there ever a moment when you sensed...
context: I can't hear anything. It's dark... it's dark...\The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed... response:	the notes suffused with your desires and emotions?
context: The fact that you can't hear the notes means...\Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions? response:	Losing the ability to hear the notes. I'm sure that that's a gift.
context: Not bound by sound?\The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift. response:	A gift?
context: The images you have within you.\The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift? response:	Close your eyes, cover your ears, and play as you feel for now.
context: The sounds that rise up from the bottom of your soul...\You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now. response:	You have the technical ability to pull that off.
context: You've been letting them override all else without realizing it.\The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off. response:	The ability to trace the sounds within you, the sounds you imagine.
context: The sounds within you, the imagined scenery...\Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine. response:	And those are the memories Saki left you...
context: Wasn't there ever a moment when you sensed...\the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you... response:	Did you get taller?
context: the notes suffused with your desires and emotions?\Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller? response:	Oh, I see.
context: Losing the ability to hear the notes. I'm sure that that's a gift.\A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller?\Oh, I see. response:	It's because you're not looking down anymore.
context: A gift?\Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller?\Oh, I see.\It's because you're not looking down anymore. response:	It's because you're looking up now.
context: Close your eyes, cover your ears, and play as you feel for now.\You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller?\Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now. response:	Kousei!
context: You have the technical ability to pull that off.\The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller?\Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now.\Kousei! response:	Kousei...
context: The ability to trace the sounds within you, the sounds you imagine.\And those are the memories Saki left you...\Did you get taller?\Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now.\Kousei!\Kousei... response:	He's alive!
context: And those are the memories Saki left you...\Did you get taller?\Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now.\Kousei!\Kousei...\He's alive! response:	He's in pain!
context: Did you get taller?\Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now.\Kousei!\Kousei...\He's alive!\He's in pain! response:	That's proof that he's alive!
context: Oh, I see.\It's because you're not looking down anymore.\It's because you're looking up now.\Kousei!\Kousei...\He's alive!\He's in pain!\That's proof that he's alive! response:	How could you...?
context: It's because you're not looking down anymore.\It's because you're looking up now.\Kousei!\Kousei...\He's alive!\He's in pain!\That's proof that he's alive!\How could you...? response:	How could you drown in such a shallow pool?
context: It's because you're looking up now.\Kousei!\Kousei...\He's alive!\He's in pain!\That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool? response:	Everyone's gonna blame me!
context: Kousei!\Kousei...\He's alive!\He's in pain!\That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me! response:	He freakin' slammed his head right into his savior's face.
context: Kousei...\He's alive!\He's in pain!\That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face. response:	Not bad.
context: He's alive!\He's in pain!\That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad. response:	Is it because it's a pool?
context: He's in pain!\That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool? response:	Is it because the moon's out?
context: That's proof that he's alive!\How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool?\Is it because the moon's out? response:	Maybe... just maybe, the light can reach even the bottom of a dark ocean.
context: How could you...?\How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean. response:	31st - Gala Concert
context: How could you drown in such a shallow pool?\Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert response:	Miyazono-san's playing, too, right?
context: Everyone's gonna blame me!\He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right? response:	Yeah, that kid who stopped playing midway.
context: He freakin' slammed his head right into his savior's face.\Not bad.\Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway. response:	The people who run this are reckless for sure.
context: Not bad.\Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure. response:	I think she'll actually make an impact. Can't wait.
context: Is it because it's a pool?\Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait. response:	Wonder if she'll play it right today?
context: Is it because the moon's out?\Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today? response:	She'll probably go bonkers again.
context: Maybe... just maybe, the light can reach even the bottom of a dark ocean.\31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again. response:	Well, I came today just to see her.
context: 31st - Gala Concert\Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her. response:	Curse
context: Miyazono-san's playing, too, right?\Yeah, that kid who stopped playing midway.\The people who run this are reckless for sure.\I think she'll actually make an impact. Can't wait.\Wonder if she'll play it right today?\She'll probably go bonkers again.\Well, I came today just to see her.\Curse response:	All right! There's nobody I know around here.
