context: By the decree of the Heavenly Lord response:	I've come to invite High God Zhe Yan to the Nine Heavens to save a person.
context: It's no wonder that Zhe Yan seemed so hesitant when he came over.\He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened? response:	Your Highness is fine now.
context: He wasn't injured at all because he never went to Yingzhou.\Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now. response:	You won't need me around anymore.
context: Why would he keep this from me?\Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now.\You won't need me around anymore. response:	Please inform the Water King that I have urgent matters to handle.
context: Seventeenth, don't panic.\The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle. response:	I'll return to the Peach Tree Woods.
context: The Crown Prince is very powerful.\He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods. response:	Emissary.
context: He must be worried that you might not accept his elixir\so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary. response:	High God, what brings you to the Celestial Palace in such a hurry?
context: so he had Zhe Yan bring it to you.\What happened?\Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry? response:	I'm here to visit Crown Prince Ye Hua.
context: What happened?\Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua. response:	Please wait here, High God.
context: Your Highness is fine now.\You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God. response:	Allow me to inform Xiwu Palace.
context: You won't need me around anymore.\Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace. response:	When you see High God Bai Qian, you're not to say a word.
context: Please inform the Water King that I have urgent matters to handle.\I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word. response:	Even if she keeps asking questions
context: I'll return to the Peach Tree Woods.\Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions response:	you're only allowed to tell her that I've been busy with official matters.
context: Emissary.\High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters. response:	Yes.
context: High God, what brings you to the Celestial Palace in such a hurry?\I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes. response:	I remember this celestial maid.
context: I'm here to visit Crown Prince Ye Hua.\Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid. response:	Do you serve in the Crown Prince's study?
context: Please wait here, High God.\Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study? response:	How has your master been?
context: Allow me to inform Xiwu Palace.\When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been? response:	What is he doing now?
context: When you see High God Bai Qian, you're not to say a word.\Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now? response:	His Highness has been doing well.
context: Even if she keeps asking questions\you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now?\His Highness has been doing well. response:	He was discussing matters
context: you're only allowed to tell her that I've been busy with official matters.\Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now?\His Highness has been doing well.\He was discussing matters response:	with the Star Lords of Calamity, Conflict, and Relationship.
context: Yes.\I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now?\His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship. response:	Now, he's awaiting your arrival in his study.
context: I remember this celestial maid.\Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now?\His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study. response:	He just lost tens of thousands of years of cultivation
context: Do you serve in the Crown Prince's study?\How has your master been?\What is he doing now?\His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation response:	but he's already sitting in his study discussing official issues?
context: How has your master been?\What is he doing now?\His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues? response:	That's too fast a recovery.
context: What is he doing now?\His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery. response:	However, it means that he's now feeling well.
context: His Highness has been doing well.\He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well. response:	You're here?
context: He was discussing matters\with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well.\You're here? response:	Have a seat.
context: with the Star Lords of Calamity, Conflict, and Relationship.\Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well.\You're here?\Have a seat. response:	What is this?
context: Now, he's awaiting your arrival in his study.\He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well.\You're here?\Have a seat.\What is this? response:	A couple of hours ago I used soul-tracking magic
context: He just lost tens of thousands of years of cultivation\but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well.\You're here?\Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic response:	on the eldest prince of the West Sea's spirit
context: but he's already sitting in his study discussing official issues?\That's too fast a recovery.\However, it means that he's now feeling well.\You're here?\Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit response:	but I was distracted and threw up some blood.
context: That's too fast a recovery.\However, it means that he's now feeling well.\You're here?\Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood. response:	I know that you're focused on looking after Mo Yuan
context: However, it means that he's now feeling well.\You're here?\Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan response:	but you should also take care of yourself.
context: You're here?\Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself. response:	If Mo Yuan wakes up and you're passed out won't that be wrong?
context: Have a seat.\What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong? response:	What do you think I saw in the prince's spirit?
context: What is this?\A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit? response:	Mo Yuan?
context: A couple of hours ago I used soul-tracking magic\on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan? response:	Can you tell me what those four mythical beasts
context: on the eldest prince of the West Sea's spirit\but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts response:	guarding the divine fungal grass look like?
context: but I was distracted and threw up some blood.\I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like? response:	You created that elixir that Zhe Yan gave me, didn't you?
context: I know that you're focused on looking after Mo Yuan\but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you? response:	How much cultivation have you got left?
context: but you should also take care of yourself.\If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left? response:	All right, I did make it.
context: If Mo Yuan wakes up and you're passed out won't that be wrong?\What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it. response:	Some time ago, the Heavenly Lord sent me to the Eastern Sea.
context: What do you think I saw in the prince's spirit?\Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea. response:	When I went past Yingzhou
context: Mo Yuan?\Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou response:	I remembered that you needed the divine fungal grass
context: Can you tell me what those four mythical beasts\guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass response:	so I got you a few blades.
context: guarding the divine fungal grass look like?\You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades. response:	As for those four beasts, they don't look pretty.
context: You created that elixir that Zhe Yan gave me, didn't you?\How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty. response:	If they had looked prettier
context: How much cultivation have you got left?\All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier response:	I'd have captured one for you
context: All right, I did make it.\Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you response:	so that you could tame it and keep it for entertainment.
context: Some time ago, the Heavenly Lord sent me to the Eastern Sea.\When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment. response:	You happen to have quite a lot of time on your hands.
context: When I went past Yingzhou\I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands. response:	You make it sound as if it was nothing.
context: I remembered that you needed the divine fungal grass\so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing. response:	I still remember that when my father returned from Yingzhou
context: so I got you a few blades.\As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou response:	he was severely wounded.
context: As for those four beasts, they don't look pretty.\If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded. response:	How much cultivation did you use up for that elixir?
context: If they had looked prettier\I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir? response:	Why did you make Zhe Yan keep this from me when he brought me the elixir?
context: I'd have captured one for you\so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir? response:	Is that so?
context: so that you could tame it and keep it for entertainment.\You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so? response:	Zhe Yan didn't tell you that I created that elixir?
context: You happen to have quite a lot of time on your hands.\You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir? response:	I shouldn't have entrusted this matter to him.
context: You make it sound as if it was nothing.\I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him. response:	He took all the credit.
context: I still remember that when my father returned from Yingzhou\he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit. response:	Don't worry.
context: he was severely wounded.\How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry. response:	I was born with more cultivation than most deities.
context: How much cultivation did you use up for that elixir?\Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry.\I was born with more cultivation than most deities. response:	The Heavenly Lord also transferred quite a lot of his to me once.
context: Why did you make Zhe Yan keep this from me when he brought me the elixir?\Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once. response:	It was a breeze for me to make the elixir.
context: Is that so?\Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir. response:	It's nothing serious.
context: Zhe Yan didn't tell you that I created that elixir?\I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious. response:	I saw that you've been using your left hand
context: I shouldn't have entrusted this matter to him.\He took all the credit.\Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand response:	to pour tea and hold your tea cup today.
context: He took all the credit.\Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today. response:	Shouldn't you move your right hand?
context: Don't worry.\I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand? response:	I was too careless.
context: I was born with more cultivation than most deities.\The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless. response:	When I was retrieving the divine fungal grass
context: The Heavenly Lord also transferred quite a lot of his to me once.\It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass response:	I was bitten by the beast, Taowu.
context: It was a breeze for me to make the elixir.\It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu. response:	It's not serious at all.
context: It's nothing serious.\I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all. response:	The Medicine King took a look at it.
context: I saw that you've been using your left hand\to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it. response:	I will recover in a few months.
context: to pour tea and hold your tea cup today.\Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months. response:	Ye Hua, I've been around for so many years.
context: Shouldn't you move your right hand?\I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years. response:	I know that you're making things up.
context: I was too careless.\When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up. response:	But I also know that you lying so that I won't feel bad...
context: When I was retrieving the divine fungal grass\I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad... response:	Since that's the case, I'm relieved now.
context: I was bitten by the beast, Taowu.\It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now. response:	Qian Qian, what is there to worry about?
context: It's not serious at all.\The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about? response:	However, the eldest prince of the West Sea
context: The Medicine King took a look at it.\I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea response:	took that elixir some time ago.
context: I will recover in a few months.\Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago. response:	His condition might be unstable.
context: Ye Hua, I've been around for so many years.\I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable. response:	Yet you choose to come to the Nine Heavens at such a time.
context: I know that you're making things up.\But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time. response:	Things could go wrong.
context: But I also know that you lying so that I won't feel bad...\Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong. response:	He might not be able to put on this strong front for too long...
context: Since that's the case, I'm relieved now.\Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long... response:	You're right.
context: Qian Qian, what is there to worry about?\However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long...\You're right. response:	I'd better get going.
context: However, the eldest prince of the West Sea\took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long...\You're right.\I'd better get going. response:	Recuperate well.
context: took that elixir some time ago.\His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long...\You're right.\I'd better get going.\Recuperate well. response:	Zhen! Have you seen Zhe Yan?
context: His condition might be unstable.\Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long...\You're right.\I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan? response:	Zhe Yan is working in the Peach Tree Woods.
context: Yet you choose to come to the Nine Heavens at such a time.\Things could go wrong.\He might not be able to put on this strong front for too long...\You're right.\I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods. response:	I heard that he's overwhelmed by a guilty conscience these days.
context: Things could go wrong.\He might not be able to put on this strong front for too long...\You're right.\I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days. response:	He hasn't done anything like that for years
context: He might not be able to put on this strong front for too long...\You're right.\I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years response:	so now that he did he feels particularly guilty.
context: You're right.\I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty. response:	He has to keep himself busy in the woods to feel better.
context: I'd better get going.\Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better. response:	What exactly happened?
context: Recuperate well.\Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened? response:	Can you explain it to me clearly?
context: Zhen! Have you seen Zhe Yan?\Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly? response:	I'm really anxious right now.
context: Zhe Yan is working in the Peach Tree Woods.\I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now. response:	Can you not even tell me a bit about it?
context: I heard that he's overwhelmed by a guilty conscience these days.\He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it? response:	Just a bit would do.
context: He hasn't done anything like that for years\so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do. response:	If you won't tell me, I'm really going to leave.
context: so now that he did he feels particularly guilty.\He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave. response:	I'm really leaving.
context: He has to keep himself busy in the woods to feel better.\What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving. response:	I'm going now!
context: What exactly happened?\Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now! response:	Your Highness!
context: Can you explain it to me clearly?\I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now!\Your Highness! response:	Why have you left your bed?
context: I'm really anxious right now.\Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now!\Your Highness!\Why have you left your bed? response:	High God Zhe Yan said that you still need to rest.
context: Can you not even tell me a bit about it?\Just a bit would do.\If you won't tell me, I'm really going to leave.\I'm really leaving.\I'm going now!\Your Highness!\Why have you left your bed?\High God Zhe Yan said that you still need to rest. response:	It's best that you don't leave the bed or move around.
