context: 'The Destruction of Planet Namek!? A Demonic Flash Pierces the Ground' response:	I- indeed. It appears that somehow you really are a Super Saiyan.
context: If I could have you wait briefly, I can have those who have been in your care resurrected.\However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama! response:	Er, Kaio-sama? Kaio-sama? Are you hearing me?
context: However, Chaozu there is now dead a second time, and so...\That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me? response:	-Hey, keep it down! -What a start!
context: That is...\J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start! response:	I- I'm not going to let myself die in a place like this!
context: J- just a moment! Are you alive?\Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this! response:	Father!
context: Y- yes, gratefully so, thanks to the Dragonballs of Planet Namek...\Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father! response:	Planet Namek has not been lost!
context: Which would mean that Piccolo is not dead either, correct?\A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost! response:	Goku and Gohan and Piccolo and the girl called Bulma are all alive!
context: A- as I believe you are aware, myself and Piccolo were originally one single...\-That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive! response:	-All right! -Thank goodness!
context: -That's right! Then perhaps... -Kaio-sama!\Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness! response:	I restrained my power too much, did I?
context: Er, Kaio-sama? Kaio-sama? Are you hearing me?\-Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I? response:	That's because you were fearful of being caught in the explosion of the planet.
context: -Hey, keep it down! -What a start!\I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet. response:	You failed.
context: I- I'm not going to let myself die in a place like this!\Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed. response:	As a result, I've hung on to life.
context: Father!\Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life. response:	Hung on to life, you say?
context: Planet Namek has not been lost!\Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life.\Hung on to life, you say? response:	You don't seem to understand at all, do you?
context: Goku and Gohan and Piccolo and the girl called Bulma are all alive!\-All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you? response:	You have avoided the planet's instantaneous explosion,
context: -All right! -Thank goodness!\I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion, response:	but I've completely destroyed its core. Do you understand what that means?
context: I restrained my power too much, did I?\That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means? response:	Five more minutes.
context: That's because you were fearful of being caught in the explosion of the planet.\You failed.\As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes. response:	Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!
context: You failed.\As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust! response:	Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.
context: As a result, I've hung on to life.\Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship. response:	Unfortunately for you, it will be I who can hope to do so.
context: Hung on to life, you say?\You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so. response:	At least, it's a much greater hope than you have.
context: You don't seem to understand at all, do you?\You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have. response:	In this event, I will show you my 100 percent full power!
context: You have avoided the planet's instantaneous explosion,\but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power! response:	There's no way you can defeat me! Prepare yourself for this!
context: but I've completely destroyed its core. Do you understand what that means?\Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this! response:	Why wait until now for full power?
context: Five more minutes.\Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this!\Why wait until now for full power? response:	I know why. If you used all your power, your body couldn't withstand it!
context: Five more minutes, and then Planet Namek will undergo a great explosion, becoming space dust!\Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this!\Why wait until now for full power?\I know why. If you used all your power, your body couldn't withstand it! response:	I can't let you stall for any more time!
context: Five minutes will be plenty. I will defeat you, then leave together with my friends in my spaceship.\Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this!\Why wait until now for full power?\I know why. If you used all your power, your body couldn't withstand it!\I can't let you stall for any more time! response:	I'm going to settle this now!
context: Unfortunately for you, it will be I who can hope to do so.\At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this!\Why wait until now for full power?\I know why. If you used all your power, your body couldn't withstand it!\I can't let you stall for any more time!\I'm going to settle this now! response:	There are five minutes until the destruction of Planet Namek.
context: At least, it's a much greater hope than you have.\In this event, I will show you my 100 percent full power!\There's no way you can defeat me! Prepare yourself for this!\Why wait until now for full power?\I know why. If you used all your power, your body couldn't withstand it!\I can't let you stall for any more time!\I'm going to settle this now!\There are five minutes until the destruction of Planet Namek. response:	What will be the outcome of this fierce battle?
