context: We finally defeated the commander of Oracion Seis, Brain! response:	That dude Jura's crazy powerful!
context: Stop it, Jellal...\It's impossible for you with your body like that.\I will...\Come here.\Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily? response:	Oh? Still alive?
context: It's impossible for you with your body like that.\I will...\Come here.\Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive? response:	No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.
context: I will...\Come here.\Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought. response:	I want to see you suffer in fear even more.
context: Come here.\Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more. response:	Time for the main dish already, Erza Scarlet?
context: Pitiful... This is that Jellal?\Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet? response:	My sword slash was deflected?
context: Just a pathetic clown.\Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected? response:	Erza, stand back! This guy's dangerous!
context: Did you forget how to use magic along with your memories, Jellal-kun?\Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous! response:	Again?
context: Someone like Jellal defeated so easily?\Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again? response:	What?
context: Oh? Still alive?\No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again?\What? response:	Erza!
context: No... It's that he used up more magic power casting the self-destruction magic circle on himself than I had thought.\I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again?\What?\Erza! response:	I see...
context: I want to see you suffer in fear even more.\Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again?\What?\Erza!\I see... response:	So that is your magic!
context: Time for the main dish already, Erza Scarlet?\My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again?\What?\Erza!\I see...\So that is your magic! response:	Yes... My Reflector can warp and twist anything.
context: My sword slash was deflected?\Erza, stand back! This guy's dangerous!\Again?\What?\Erza!\I see...\So that is your magic!\Yes... My Reflector can warp and twist anything. response:	It can reflect back magic, and using the bending of light, can even make illusions.
context: Erza, stand back! This guy's dangerous!\Again?\What?\Erza!\I see...\So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions. response:	What incredible magic...
context: Again?\What?\Erza!\I see...\So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic... response:	Here I come!
context: What?\Erza!\I see...\So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come! response:	Didn't you hear me?
context: Erza!\I see...\So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come!\Didn't you hear me? response:	Magic cannot hit me!
context: I see...\So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come!\Didn't you hear me?\Magic cannot hit me! response:	What'll we do?
context: So that is your magic!\Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come!\Didn't you hear me?\Magic cannot hit me!\What'll we do? response:	He's hurt bad!
context: Yes... My Reflector can warp and twist anything.\It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come!\Didn't you hear me?\Magic cannot hit me!\What'll we do?\He's hurt bad! response:	Don't die on us, dude!
context: It can reflect back magic, and using the bending of light, can even make illusions.\What incredible magic...\Here I come!\Didn't you hear me?\Magic cannot hit me!\What'll we do?\He's hurt bad!\Don't die on us, dude! response:	It was a trap...
context: What incredible magic...\Here I come!\Didn't you hear me?\Magic cannot hit me!\What'll we do?\He's hurt bad!\Don't die on us, dude!\It was a trap... response:	What a joke...
context: Here I come!\Didn't you hear me?\Magic cannot hit me!\What'll we do?\He's hurt bad!\Don't die on us, dude!\It was a trap...\What a joke... response:	Brain used up all the rest of his power and could only get rid of one of you.
context: Didn't you hear me?\Magic cannot hit me!\What'll we do?\He's hurt bad!\Don't die on us, dude!\It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you. response:	Who is it?
context: Magic cannot hit me!\What'll we do?\He's hurt bad!\Don't die on us, dude!\It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it? response:	Up there!
context: What'll we do?\He's hurt bad!\Don't die on us, dude!\It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there! response:	Pitiful...
context: He's hurt bad!\Don't die on us, dude!\It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there!\Pitiful... response:	He's a disgrace to the Six Generals.
context: Don't die on us, dude!\It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there!\Pitiful...\He's a disgrace to the Six Generals. response:	Well, as long as Midnight is here, we haven't been defeated.
context: It was a trap...\What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there!\Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated. response:	Perhaps I will clean up the rest of you fools.
context: What a joke...\Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there!\Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools. response:	The...
context: Brain used up all the rest of his power and could only get rid of one of you.\Who is it?\Up there!\Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The... response:	The...
context: Who is it?\Up there!\Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The...\The... response:	The...
context: Up there!\Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The...\The...\The... response:	The staff is talking!
context: Pitiful...\He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The...\The...\The...\The staff is talking! response:	You talk too, even though you're a cat.
context: He's a disgrace to the Six Generals.\Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The...\The...\The...\The staff is talking!\You talk too, even though you're a cat. response:	Aye...
context: Well, as long as Midnight is here, we haven't been defeated.\Perhaps I will clean up the rest of you fools.\The...\The...\The...\The staff is talking!\You talk too, even though you're a cat.\Aye... response:	That's the staff that Brain had.
context: Perhaps I will clean up the rest of you fools.\The...\The...\The...\The staff is talking!\You talk too, even though you're a cat.\Aye...\That's the staff that Brain had. response:	What's going on?
context: The...\The...\The...\The staff is talking!\You talk too, even though you're a cat.\Aye...\That's the staff that Brain had.\What's going on? response:	Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!
context: The...\The...\The staff is talking!\You talk too, even though you're a cat.\Aye...\That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now! response:	Wait, we don't know what it is!
context: The...\The staff is talking!\You talk too, even though you're a cat.\Aye...\That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is! response:	Stop this big city, you rotted stick!
context: The staff is talking!\You talk too, even though you're a cat.\Aye...\That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick! response:	R-Rotted stick? How rude!
context: You talk too, even though you're a cat.\Aye...\That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude! response:	Stick I'll accept, but what do you mean rotted, huh?
context: Aye...\That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh? response:	I am the seventh member of Oracion Seis.
context: That's the staff that Brain had.\What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis. response:	I have awakened from my slumber to defeat...
context: What's going on?\Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat... response:	I said stop this city!
context: Hey-hey-hey-hey-hey-hey- hey-hey-hey-hey-hey-now!\Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city! response:	Huh? But Oracion Seis has 6 members.
context: Wait, we don't know what it is!\Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members. response:	Professor Happy's Fairy Tail Lectures!
context: Stop this big city, you rotted stick!\R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures! response:	That's right!
context: R-Rotted stick? How rude!\Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right! response:	There are six members, and thus Six Wizard Generals.
context: Stick I'll accept, but what do you mean rotted, huh?\I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals. response:	The name is read as Oracion Seis.
context: I am the seventh member of Oracion Seis.\I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis. response:	Huh? That is strange.
context: I have awakened from my slumber to defeat...\I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange. response:	See? There are supposed to be six, so what's with the seventh?
context: I said stop this city!\Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh? response:	And wait... Are we dropping the whole talking staff thing already?
context: Huh? But Oracion Seis has 6 members.\Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already? response:	It's all so ridiculous I don't know where to start.
context: Professor Happy's Fairy Tail Lectures!\That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start. response:	You violent brat...
context: That's right!\There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat... response:	Soon I'll be able to see the guild of those fools...
context: There are six members, and thus Six Wizard Generals.\The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools... response:	I must clean up the trash without delay.
context: The name is read as Oracion Seis.\Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay. response:	You mean Caitshelter?
context: Huh? That is strange.\See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter? response:	Exactly! We will begin our destruction by crushing them!
context: See? There are supposed to be six, so what's with the seventh?\And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them! response:	Dance, my blades!
context: And wait... Are we dropping the whole talking staff thing already?\It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades! response:	You think you can hit me through sheer number?
context: It's all so ridiculous I don't know where to start.\You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number? response:	I told you before that I could reflect attacks back.
context: You violent brat...\Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back. response:	Erza!
context: Soon I'll be able to see the guild of those fools...\I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza! response:	More...
context: I must clean up the trash without delay.\You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza!\More... response:	Show me even more suffering!
context: You mean Caitshelter?\Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza!\More...\Show me even more suffering! response:	Nothing is better than that expression on your face...
context: Exactly! We will begin our destruction by crushing them!\Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza!\More...\Show me even more suffering!\Nothing is better than that expression on your face... response:	Impressive, as I thought.
context: Dance, my blades!\You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza!\More...\Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought. response:	But...
context: You think you can hit me through sheer number?\I told you before that I could reflect attacks back.\Erza!\More...\Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought.\But... response:	Spiral Pain!
context: I told you before that I could reflect attacks back.\Erza!\More...\Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought.\But...\Spiral Pain! response:	Oh, no!
context: Erza!\More...\Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought.\But...\Spiral Pain!\Oh, no! response:	Over already?
context: More...\Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought.\But...\Spiral Pain!\Oh, no!\Over already? response:	So powerful...
context: Show me even more suffering!\Nothing is better than that expression on your face...\Impressive, as I thought.\But...\Spiral Pain!\Oh, no!\Over already?\So powerful... response:	Please don't die yet, Erza.
context: Nothing is better than that expression on your face...\Impressive, as I thought.\But...\Spiral Pain!\Oh, no!\Over already?\So powerful...\Please don't die yet, Erza. response:	Entertain me until we get to Caitshelter.
context: Impressive, as I thought.\But...\Spiral Pain!\Oh, no!\Over already?\So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter. response:	Caitshelter?
context: But...\Spiral Pain!\Oh, no!\Over already?\So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter? response:	Our first target.
context: Spiral Pain!\Oh, no!\Over already?\So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter?\Our first target. response:	Why attack there?
context: Oh, no!\Over already?\So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter?\Our first target.\Why attack there? response:	Because the clan who created Nirvana to stop the war far in the past is there.
context: Over already?\So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter?\Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there. response:	The Nirvit.
context: So powerful...\Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter?\Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit. response:	But Nirvana was a far more dangerous magic than they predicted.
context: Please don't die yet, Erza.\Entertain me until we get to Caitshelter.\Caitshelter?\Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted. response:	So they sealed away the magic that they themselves created.
context: Entertain me until we get to Caitshelter.\Caitshelter?\Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created. response:	Afraid it would be used for evil,
context: Caitshelter?\Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil, response:	they continued to protect the seal for decades, and then centuries.
context: Our first target.\Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries. response:	Caitshelter is a guild formed specifically by the descendants of the Nirvit.
context: Why attack there?\Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit. response:	They have the power to seal Nirvana once again, that is why we must destroy them.
context: Because the clan who created Nirvana to stop the war far in the past is there.\The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them. response:	Isn't it a waste to let this incredible power stay asleep?
context: The Nirvit.\But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep? response:	With this power, the world can be led toward chaos!
context: But Nirvana was a far more dangerous magic than they predicted.\So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos! response:	This is also a warning to everyone.
context: So they sealed away the magic that they themselves created.\Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone. response:	We'll force the Nirvit, who love being neutral, to go to war!
context: Afraid it would be used for evil,\they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war! response:	With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!
context: they continued to protect the seal for decades, and then centuries.\Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other! response:	Doesn't it just give you the chills?
context: Caitshelter is a guild formed specifically by the descendants of the Nirvit.\They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills? response:	You fiend!
context: They have the power to seal Nirvana once again, that is why we must destroy them.\Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend! response:	Stop acting like you're a good guy, Jellal...
context: Isn't it a waste to let this incredible power stay asleep?\With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal... response:	Your...
context: With this power, the world can be led toward chaos!\This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal...\Your... response:	Your soul is darkness itself, after all.
context: This is also a warning to everyone.\We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all. response:	You are a sinister, vicious man with blood on your hands...
context: We'll force the Nirvit, who love being neutral, to go to war!\With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands... response:	That's not true!
context: With the power of Nirvana, we'll engulf their hearts in darkness, and make them kill each other!\Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true! response:	Yes, it is.
context: Doesn't it just give you the chills?\You fiend!\Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is. response:	You forced children into slave labor.
context: You fiend!\Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is.\You forced children into slave labor. response:	You killed your friends.
context: Stop acting like you're a good guy, Jellal...\Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is.\You forced children into slave labor.\You killed your friends. response:	You even tried to kill Erza.
context: Your...\Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is.\You forced children into slave labor.\You killed your friends.\You even tried to kill Erza. response:	Do you know how many people you've caused to suffer?
context: Your soul is darkness itself, after all.\You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is.\You forced children into slave labor.\You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer? response:	Do you know how many people you've frightened, threatened, and made cry?
context: You are a sinister, vicious man with blood on your hands...\That's not true!\Yes, it is.\You forced children into slave labor.\You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry? response:	Jellal...
context: That's not true!\Yes, it is.\You forced children into slave labor.\You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal... response:	Come here.
context: Yes, it is.\You forced children into slave labor.\You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here. response:	Jellal...
context: You forced children into slave labor.\You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here.\Jellal... response:	You're a perfect fit for the new Six Generals.
context: You killed your friends.\You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here.\Jellal...\You're a perfect fit for the new Six Generals. response:	I know...
context: You even tried to kill Erza.\Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here.\Jellal...\You're a perfect fit for the new Six Generals.\I know... response:	I know the light within Jellal...
context: Do you know how many people you've caused to suffer?\Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here.\Jellal...\You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal... response:	Erza...
context: Do you know how many people you've frightened, threatened, and made cry?\Jellal...\Come here.\Jellal...\You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal...\Erza... response:	You can still stand?
context: Jellal...\Come here.\Jellal...\You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal...\Erza...\You can still stand? response:	Live, and grab the future in front of you.
context: Come here.\Jellal...\You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal...\Erza...\You can still stand?\Live, and grab the future in front of you. response:	It is your words that give me the courage, that are my light.
context: Jellal...\You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal...\Erza...\You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light. response:	Just as the rumors say, Erza...
context: You're a perfect fit for the new Six Generals.\I know...\I know the light within Jellal...\Erza...\You can still stand?\Live, and grab the future in front of you.\It is your words that give me the courage, that are my light.\Just as the rumors say, Erza... response:	I'll take great satisfaction in destroying you!
