context: A recently opened restaurant in a corner of Hargeon, 8island. response:	I would like a blue-sky with meat sauce, and a holly soda-poyo.
context: When you look at it overall, there are quite a lot of them.\Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart. response:	Each of them have a number of associated guilds,
context: Why?\Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds, response:	and they control the world of Dark Guilds.
context: Because lately it seems like their activity has increased.\We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds. response:	Then there's the guild that acts independently of the rest, Raven's Tail.
context: We have to strengthen the bonds between guilds.\What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail. response:	Huh?
context: What's the big oval?\Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh? response:	Eisenwald?
context: Juvia knows. It is the Baram Alliance.\The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald? response:	Yes. That's the guild that Erigor was in.
context: The Baram Alliance is the most powerful force of Dark Guilds,\combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald?\Yes. That's the guild that Erigor was in. response:	So that was one of the guilds associated with Oracion Seis, huh?
context: combining the three guilds of Oracion Seis, Tartaros, and Grimoire Heart.\Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh? response:	There's a lot of names that I remember up there...
context: Each of them have a number of associated guilds,\and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there... response:	Aren't there some that used to be official guilds, too?
context: and they control the world of Dark Guilds.\Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too? response:	Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.
context: Then there's the guild that acts independently of the rest, Raven's Tail.\Huh?\Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them. response:	And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom
context: Huh?\Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom response:	were all from Oracion Seis!
context: Eisenwald?\Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis! response:	Please, don't go smiling about it...
context: Yes. That's the guild that Erigor was in.\So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it... response:	Uh-oh... I hope they're not angry...
context: So that was one of the guilds associated with Oracion Seis, huh?\There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry... response:	Don't worry'bout it! There's nothing to fear!
context: There's a lot of names that I remember up there...\Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear! response:	From the rumors I hear, they've only got six members!
context: Aren't there some that used to be official guilds, too?\Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members! response:	Damn, how small a guild is it?
context: Ghoul Spirits, the one that the Raijin Tribe destroyed, was also one of them.\And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it? response:	But even with only six people, they're a member of the strongest organization.
context: And the guilds Juvia and Gajeel-kun destroyed when we were in Phantom\were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization. response:	About that Oracion Seis...
context: were all from Oracion Seis!\Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis... response:	We're going to attack them.
context: Please, don't go smiling about it...\Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them. response:	How was the regular meeting?
context: Uh-oh... I hope they're not angry...\Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them.\How was the regular meeting? response:	Way to miss the point!
context: Don't worry'bout it! There's nothing to fear!\From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them.\How was the regular meeting?\Way to miss the point! response:	Master, what are you talking about?
context: From the rumors I hear, they've only got six members!\Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them.\How was the regular meeting?\Way to miss the point!\Master, what are you talking about? response:	At the regular meeting the other day, we discussed the recent activity by Oracion Seis.
context: Damn, how small a guild is it?\But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them.\How was the regular meeting?\Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis. response:	As it is not something we can ignore, we decided that some guild has to fight them.
context: But even with only six people, they're a member of the strongest organization.\About that Oracion Seis...\We're going to attack them.\How was the regular meeting?\Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them. response:	You pulled the short straw again, Gramps?
context: About that Oracion Seis...\We're going to attack them.\How was the regular meeting?\Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps? response:	And Fairy Tail will take on that role?
context: We're going to attack them.\How was the regular meeting?\Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role? response:	No... The enemy this time is too powerful.
context: How was the regular meeting?\Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful. response:	If it were only us, then afterwards the Baram Alliance would retaliate only here.
context: Way to miss the point!\Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here. response:	And that is why we have formed an alliance ourselves.
context: Master, what are you talking about?\At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves. response:	An alliance?
context: At the regular meeting the other day, we discussed the recent activity by Oracion Seis.\As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance? response:	Fairy Tail!
context: As it is not something we can ignore, we decided that some guild has to fight them.\You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail! response:	Blue Pegasus!
context: You pulled the short straw again, Gramps?\And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail!\Blue Pegasus! response:	Lamia Scale!
context: And Fairy Tail will take on that role?\No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail!\Blue Pegasus!\Lamia Scale! response:	Caitshelter!
context: No... The enemy this time is too powerful.\If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail!\Blue Pegasus!\Lamia Scale!\Caitshelter! response:	These four guilds will each send out members to strike these guys down!
context: If it were only us, then afterwards the Baram Alliance would retaliate only here.\And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail!\Blue Pegasus!\Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down! response:	But we could handle it ourselves, no problem!
context: And that is why we have formed an alliance ourselves.\An alliance?\Fairy Tail!\Blue Pegasus!\Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem! response:	Or actually, I could even handle it myself!
context: An alliance?\Fairy Tail!\Blue Pegasus!\Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself! response:	Naive fool! The Master is thinking about the consequences afterwards!
context: Fairy Tail!\Blue Pegasus!\Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards! response:	So... Wait a second...
context: Blue Pegasus!\Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second... response:	The enemy only has six members, right?
context: Lamia Scale!\Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right? response:	How crazy powerful are these people, then?
context: Caitshelter!\These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then? response:	I can hear it...
context: These four guilds will each send out members to strike these guys down!\But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it... response:	The sound of the breaking of the light!
context: But we could handle it ourselves, no problem!\Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light! response:	Don't be so hasty, Cobra.
context: Or actually, I could even handle it myself!\Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra. response:	Well, being hasty ain't so bad.
context: Naive fool! The Master is thinking about the consequences afterwards!\So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad. response:	That magic we're talking about is hidden here, Racer.
context: So... Wait a second...\The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer. response:	A magic that will bring about darkness and break all light, yes!
context: The enemy only has six members, right?\How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes! response:	Nirvana...
context: How crazy powerful are these people, then?\I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana... response:	The legendary magic will finally be ours.
context: I can hear it...\The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours. response:	Is this Nirvana magic really all it's cracked up to be?
context: The sound of the breaking of the light!\Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be? response:	Behold. The land has begun to die.
context: Don't be so hasty, Cobra.\Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die. response:	Just because Nirvana is nearby.
context: Well, being hasty ain't so bad.\That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby. response:	Why do I have a feeling like something really bad is going to happen?
context: That magic we're talking about is hidden here, Racer.\A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen? response:	And wait... Why am I participating in this again?
context: A magic that will bring about darkness and break all light, yes!\Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again? response:	It's not a picnic for me either, you know.
context: Nirvana...\The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know. response:	Stop complaining.
context: The legendary magic will finally be ours.\Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining. response:	The master chose who went.
context: Is this Nirvana magic really all it's cracked up to be?\Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining.\The master chose who went. response:	Shouldn't we be happy he trusts us with this duty?
context: Behold. The land has begun to die.\Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty? response:	But when it comes to fighting, there's Juvia or Gajeel...
context: Just because Nirvana is nearby.\Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel... response:	Well, the two of them had other jobs to do.
context: Why do I have a feeling like something really bad is going to happen?\And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do. response:	So... Are we... there yet?
context: And wait... Why am I participating in this again?\It's not a picnic for me either, you know.\Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet? response:	In the end, it's the usual gang.
context: It's not a picnic for me either, you know.\Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang. response:	Don't you think that's for the best?
context: Stop complaining.\The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best? response:	This will be the first time teaming up with other guilds.
context: The master chose who went.\Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds. response:	The first thing that's important is forming better ties with the other guilds.
context: Shouldn't we be happy he trusts us with this duty?\But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds. response:	I can see it!
context: But when it comes to fighting, there's Juvia or Gajeel...\Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it! response:	There's the meeting place!
context: Well, the two of them had other jobs to do.\So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place! response:	This place's decor is seriously creepy...
context: So... Are we... there yet?\In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place!\This place's decor is seriously creepy... response:	This is Master Bob's villa, from Blue Pegasus.
context: In the end, it's the usual gang.\Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus. response:	Him?
context: Don't you think that's for the best?\This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him? response:	Master Bob, from Blue Pegasus.
context: This will be the first time teaming up with other guilds.\The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus. response:	FYI, a man.
context: The first thing that's important is forming better ties with the other guilds.\I can see it!\There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus.\FYI, a man. response:	I-I'm not so good with him...
context: I can see it!\There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him... response:	Now, now, don't go there.
context: There's the meeting place!\This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him...\Now, now, don't go there. response:	He's powerful enough to give our own master a run for his money, despite...
context: This place's decor is seriously creepy...\This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite... response:	I see...
context: This is Master Bob's villa, from Blue Pegasus.\Him?\Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see... response:	Are we there yet?
context: Him?\Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet? response:	Yes, we're here, Natsu.
context: Master Bob, from Blue Pegasus.\FYI, a man.\I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet?\Yes, we're here, Natsu. response:	Yes, you've arrived!
context: FYI, a man.\I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived! response:	Arrived!
context: I-I'm not so good with him...\Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived!\Arrived! response:	Hey, hey, hey, hey!
context: Now, now, don't go there.\He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived!\Arrived!\Hey, hey, hey, hey! response:	Fairy...
context: He's powerful enough to give our own master a run for his money, despite...\I see...\Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived!\Arrived!\Hey, hey, hey, hey!\Fairy... response:	Fairy...
context: I see...\Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived!\Arrived!\Hey, hey, hey, hey!\Fairy...\Fairy... response:	Sorry to keep you waiting!
context: Are we there yet?\Yes, we're here, Natsu.\Yes, you've arrived!\Arrived!\Hey, hey, hey, hey!\Fairy...\Fairy...\Sorry to keep you waiting! response:	We...
context: Yes, we're here, Natsu.\Yes, you've arrived!\Arrived!\Hey, hey, hey, hey!\Fairy...\Fairy...\Sorry to keep you waiting!\We... response:	Trimens!
context: Yes, you've arrived!\Arrived!\Hey, hey, hey, hey!\Fairy...\Fairy...\Sorry to keep you waiting!\We...\Trimens! response:	Hibiki of the Hundred Nights!
context: Arrived!\Hey, hey, hey, hey!\Fairy...\Fairy...\Sorry to keep you waiting!\We...\Trimens!\Hibiki of the Hundred Nights! response:	Eve of the Holy Night!
context: Hey, hey, hey, hey!\Fairy...\Fairy...\Sorry to keep you waiting!\We...\Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night! response:	Ren of the Silent Night.
context: Fairy...\Fairy...\Sorry to keep you waiting!\We...\Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night. response:	Trimens from Blue Pegasus?
context: Fairy...\Sorry to keep you waiting!\We...\Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus? response:	How cool!
context: Sorry to keep you waiting!\We...\Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool! response:	And the one called Hibiki...
context: We...\Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool!\And the one called Hibiki... response:	He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!
context: Trimens!\Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer! response:	You're that Hibiki Laytis!
context: Hibiki of the Hundred Nights!\Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis! response:	Crap! I forgot to put on clothes!
context: Eve of the Holy Night!\Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes! response:	Those guys? Not a chance...
context: Ren of the Silent Night.\Trimens from Blue Pegasus?\How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance... response:	Your beauty doesn't do the rumors justice.
context: Trimens from Blue Pegasus?\How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice. response:	How do you do, Titania?
context: How cool!\And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania? response:	Now, come this way.
context: And the one called Hibiki...\He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way. response:	Have a hot towel.
context: He's always at the top of the I wish he were my boyfriend ranking in Weekly Sorcerer!\You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way.\Have a hot towel. response:	Are you hungry?
context: You're that Hibiki Laytis!\Crap! I forgot to put on clothes!\Those guys? Not a chance...\Your beauty doesn't do the rumors justice.\How do you do, Titania?\Now, come this way.\Have a hot towel.\Are you hungry? response:	No...
