context: P- please listen to us! response:	We come from a planet called Earth, and in no way do we mean you any-
context: Thanks for believing us.\Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live. response:	Until they came!
context: Then again, those guys sound just like Saiyans, huh?\Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came! response:	Those guys appeared before us without any warning.
context: Say, by any chance, did the guys that attacked you have tails?\Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning. response:	They said they were going to deliver our world to Freeza- sama,
context: Tails? No, they didn't have those.\I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama, response:	and that we should be thankful.
context: I- I see. Then they weren't Saiyans, huh?\Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful. response:	And then they suddenly started killing our dads and moms like they were worms.
context: Which would mean that there are other bad folks out here in space.\So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms. response:	They were going to kill all the people who were on the planet,
context: So, what happened to your planet?\Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet, response:	and turn it over to Freeza!
context: Our planet was peaceful, and a very easy place to live.\Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza! response:	I'm surprised you guys survived.
context: Until they came!\Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived. response:	The adults who realized what Freeza's scheme was had us escape in spaceships.
context: Those guys appeared before us without any warning.\They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships. response:	But all of the other spaceships were chased down by Freeza, and shot down!
context: They said they were going to deliver our world to Freeza- sama,\and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down! response:	So this mirror-clad spaceship is the only one that survived.
context: and that we should be thankful.\And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived. response:	Mirror-clad spaceship? I see, so the mirrors reflect outer space.
context: And then they suddenly started killing our dads and moms like they were worms.\They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space. response:	That explains why we couldn't see the shape of your ship, either.
context: They were going to kill all the people who were on the planet,\and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either. response:	So where are you guys going now? Do you have any destination?
context: and turn it over to Freeza!\I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination? response:	Yeah, there's a planet where our dads used to travel to on business long ago.
context: I'm surprised you guys survived.\The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago. response:	We're sure that they will take us in.
context: The adults who realized what Freeza's scheme was had us escape in spaceships.\But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in. response:	Is this planet far away?
context: But all of the other spaceships were chased down by Freeza, and shot down!\So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away? response:	Not to worry. We'll get to that planet, no matter how many years it takes.
context: So this mirror-clad spaceship is the only one that survived.\Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes. response:	Hang in there, all right?
context: Mirror-clad spaceship? I see, so the mirrors reflect outer space.\That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right? response:	Yeah. You guys, too.
context: That explains why we couldn't see the shape of your ship, either.\So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too. response:	Right.
context: So where are you guys going now? Do you have any destination?\Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too.\Right. response:	Okay, let's go. We've lost quite a bit of time, so we need to hurry.
context: Yeah, there's a planet where our dads used to travel to on business long ago.\We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry. response:	Oh, that's okay, isn't it? Planet Namek isn't going anywhere.
context: We're sure that they will take us in.\Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere. response:	Planet Namek? Are you guys going to Planet Namek?
context: Is this planet far away?\Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek? response:	That's right. You know it?
context: Not to worry. We'll get to that planet, no matter how many years it takes.\Hang in there, all right?\Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it? response:	We passed it about two weeks ago.
context: Hang in there, all right?\Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago. response:	If you go straight in the direction KS-162, there should be quite a shortcut.
context: Yeah. You guys, too.\Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut. response:	Huh? You mean it?
context: Right.\Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it? response:	Y- yeah...
context: Okay, let's go. We've lost quite a bit of time, so we need to hurry.\Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah... response:	The direction KS-162, right? Thank you! Come on, we're going.
context: Oh, that's okay, isn't it? Planet Namek isn't going anywhere.\Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going. response:	Bye-bye.
context: Planet Namek? Are you guys going to Planet Namek?\That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye. response:	Oh, but that shortcut is...
context: That's right. You know it?\We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is... response:	Well, they're gone.
context: We passed it about two weeks ago.\If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is...\Well, they're gone. response:	They were nice folks, huh?
context: If you go straight in the direction KS-162, there should be quite a shortcut.\Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh? response:	Bun...
context: Huh? You mean it?\Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh?\Bun... response:	Okay, we'll hurry on, too!
context: Y- yeah...\The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh?\Bun...\Okay, we'll hurry on, too! response:	All right! Guys, let's go!
context: The direction KS-162, right? Thank you! Come on, we're going.\Bye-bye.\Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh?\Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go! response:	Take direction KS-162 and head to Planet Namek.
context: Bye-bye.\Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh?\Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek. response:	That's a bit of a relief, huh?
context: Oh, but that shortcut is...\Well, they're gone.\They were nice folks, huh?\Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh? response:	What's the matter?
context: Well, they're gone.\They were nice folks, huh?\Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter? response:	Oh, I'm just worried about the other bad aliens those kids talked about.
context: They were nice folks, huh?\Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about. response:	But they weren't the Saiyans, right?
context: Bun...\Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right? response:	However, the Saiyans did have allies.
context: Okay, we'll hurry on, too!\All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies. response:	They've got nothing to do with us.
context: All right! Guys, let's go!\Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us. response:	Well, I'm going to bed. I'm completely exhausted.
context: Take direction KS-162 and head to Planet Namek.\That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted. response:	However, Kuririn's concerns were by no means off the mark.
context: That's a bit of a relief, huh?\What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark. response:	Eighteen days after Vegeta left Earth...
context: What's the matter?\Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth... response:	All right, here...
context: Oh, I'm just worried about the other bad aliens those kids talked about.\But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here... response:	Something is coming!
context: But they weren't the Saiyans, right?\However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here...\Something is coming! response:	Is it Freeza- sama?
context: However, the Saiyans did have allies.\They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here...\Something is coming!\Is it Freeza- sama? response:	It couldn't be! He just left!
context: They've got nothing to do with us.\Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here...\Something is coming!\Is it Freeza- sama?\It couldn't be! He just left! response:	I- it's an older model. It's a soldier.
context: Well, I'm going to bed. I'm completely exhausted.\However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here...\Something is coming!\Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier. response:	That signal is Vegeta- sama's.
context: However, Kuririn's concerns were by no means off the mark.\Eighteen days after Vegeta left Earth...\All right, here...\Something is coming!\Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's. response:	That's strange. We didn't get any word that he was returning.
context: Eighteen days after Vegeta left Earth...\All right, here...\Something is coming!\Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning. response:	Could something have happened to him?
context: All right, here...\Something is coming!\Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him? response:	Hey, this is the control room! Vegeta- sama is arriving!
context: Something is coming!\Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving! response:	Fall out to greet him at once!
context: Is it Freeza- sama?\It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once! response:	He's here.
context: It couldn't be! He just left!\I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here. response:	There's just one pod, all right. Where's Nappa- san?
context: I- it's an older model. It's a soldier.\That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san? response:	What's the matter? He's not coming out.
context: That signal is Vegeta- sama's.\That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out. response:	H- hey, his life signs are awfully low.
context: That's strange. We didn't get any word that he was returning.\Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low. response:	What?
context: Could something have happened to him?\Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What? response:	He's using the life-support equipment!
context: Hey, this is the control room! Vegeta- sama is arriving!\Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What?\He's using the life-support equipment! response:	This is bad! Hurry and take him to the treatment center!
context: Fall out to greet him at once!\He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center! response:	W- w- what is that!?
context: He's here.\There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!? response:	An earthquake?
context: There's just one pod, all right. Where's Nappa- san?\What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake? response:	B- Bulma- san, has something happened to cause this shaking!?
context: What's the matter? He's not coming out.\H- hey, his life signs are awfully low.\What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!? response:	You guys make light of outer space,
context: H- hey, his life signs are awfully low.\What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space, response:	so that's why you're so surprised by something like this.
context: What?\He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this. response:	This is a shortcut, so it's going to be a little bumpy.
context: He's using the life-support equipment!\This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy. response:	How can she sleep through a situation like this?
context: This is bad! Hurry and take him to the treatment center!\W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this? response:	I- it's settled down.
context: W- w- what is that!?\An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down. response:	That was mean, Bulma- san.
context: An earthquake?\B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san. response:	I didn't think that you would try anything like this!
context: B- Bulma- san, has something happened to cause this shaking!?\You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this! response:	No, you misunderstand, Bulma- san!
context: You guys make light of outer space,\so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san! response:	How would you know!? You're a student of that Old Man Turtle, too, after all!
context: so that's why you're so surprised by something like this.\This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all! response:	Poor Kuririn- san...
context: This is a shortcut, so it's going to be a little bumpy.\How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san... response:	Look at that!
context: How can she sleep through a situation like this?\I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that! response:	We made it! We've arrived at Planet Namek!
context: I- it's settled down.\That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that!\We made it! We've arrived at Planet Namek! response:	That was fast, huh? It's only been about ten days.
context: That was mean, Bulma- san.\I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that!\We made it! We've arrived at Planet Namek!\That was fast, huh? It's only been about ten days. response:	That's what a shortcut will do for you.
context: I didn't think that you would try anything like this!\No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that!\We made it! We've arrived at Planet Namek!\That was fast, huh? It's only been about ten days.\That's what a shortcut will do for you. response:	Is that really...
context: No, you misunderstand, Bulma- san!\How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that!\We made it! We've arrived at Planet Namek!\That was fast, huh? It's only been about ten days.\That's what a shortcut will do for you.\Is that really... response:	Sure it is. Isn't it obvious? Just like those kids said.
context: How would you know!? You're a student of that Old Man Turtle, too, after all!\Poor Kuririn- san...\Look at that!\We made it! We've arrived at Planet Namek!\That was fast, huh? It's only been about ten days.\That's what a shortcut will do for you.\Is that really...\Sure it is. Isn't it obvious? Just like those kids said. response:	Bulma and the others had arrived in no time. But was this really Planet Namek?
