context: I got a boyfriend recently. response:	Naoya is way too proper, and he can be a bit weird,
context: Duck\Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great. response:	Sure, there are some things about it that aren't,
context: Animal Onesie\Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great.\Sure, there are some things about it that aren't, response:	but I get to date my beloved Naoya-kun.
context: Cuteness is crucial!\U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun. response:	That outweighs all of it.
context: U-Um... And lucky panties.\Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it. response:	And we get to live under the same roof.
context: Naoya, snacks please.\I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof. response:	We're even sleeping on the same futon.
context: I never would have thought Naoya-kun would suggest dating Saki-san along with me.\This relationship...\It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon. response:	But I don't think this is going to last forever.
context: This relationship...\It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever. response:	If Saki-san gets fed up with this arrangement,
context: It's great.\Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement, response:	I'm probably going to be the one who gets dumped.
context: Sure, there are some things about it that aren't,\but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped. response:	Still, if I work hard in the limited time I have,
context: but I get to date my beloved Naoya-kun.\That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have, response:	and I make myself indispensable to them...
context: That outweighs all of it.\And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them... response:	I'll be able to enjoy this happiness for one day longer.
context: And we get to live under the same roof.\We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer. response:	Mizuse Nagisa is modest
context: We're even sleeping on the same futon.\But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest response:	I might even become Naoya-kun's favorite.
context: But I don't think this is going to last forever.\If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite. response:	But how do I do that?
context: If Saki-san gets fed up with this arrangement,\I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that? response:	Naoya-kun and Saki-san's smartphones.
context: I'm probably going to be the one who gets dumped.\Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones. response:	Chunks of Personal Information
context: Still, if I work hard in the limited time I have,\and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information response:	Chunks of personal information!
context: and I make myself indispensable to them...\I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information! response:	I can't make this arrangement last by being nice.
context: I'll be able to enjoy this happiness for one day longer.\Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice. response:	If I can find naughty sites in his browsing history,
context: Mizuse Nagisa is modest\I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history, response:	I might even learn about what kind of girls he likes.
context: I might even become Naoya-kun's favorite.\But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes. response:	B-But what if he has really crazy tastes?
context: But how do I do that?\Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes? response:	I-I'd still accept it, though.
context: Naoya-kun and Saki-san's smartphones.\Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though. response:	But I'm not emotionally prepared for this.
context: Chunks of Personal Information\Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this. response:	Okay.
context: Chunks of personal information!\I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay. response:	I'll start with Saki-san's smartphone.
context: I can't make this arrangement last by being nice.\If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone. response:	I have to get to know Saki-san in order to make this work.
context: If I can find naughty sites in his browsing history,\I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work. response:	First, her browser history...
context: I might even learn about what kind of girls he likes.\B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history... response:	Enter search terms or website address
context: B-But what if he has really crazy tastes?\I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address response:	Recent searches
context: I-I'd still accept it, though.\But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address\Recent searches response:	First time having sex when...
context: But I'm not emotionally prepared for this.\Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address\Recent searches\First time having sex when... response:	First time having sex how...
context: Okay.\I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address\Recent searches\First time having sex when...\First time having sex how... response:	First time having sex where...
context: I'll start with Saki-san's smartphone.\I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address\Recent searches\First time having sex when...\First time having sex how...\First time having sex where... response:	First time having sex how to ask...
context: I have to get to know Saki-san in order to make this work.\First, her browser history...\Enter search terms or website address\Recent searches\First time having sex when...\First time having sex how...\First time having sex where...\First time having sex how to ask... response:	High school percentage sex...
context: First, her browser history...\Enter search terms or website address\Recent searches\First time having sex when...\First time having sex how...\First time having sex where...\First time having sex how to ask...\High school percentage sex... response:	How to get boyfriend in the mood...
context: Enter search terms or website address\Recent searches\First time having sex when...\First time having sex how...\First time having sex where...\First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood... response:	sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex
context: Recent searches\First time having sex when...\First time having sex how...\First time having sex where...\First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex response:	I shouldn't have looked!
context: First time having sex when...\First time having sex how...\First time having sex where...\First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked! response:	Um...
context: First time having sex how...\First time having sex where...\First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um... response:	I'll take this secret to the grave.
context: First time having sex where...\First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um...\I'll take this secret to the grave. response:	tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap
context: First time having sex how to ask...\High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap response:	10 Minutes Later...
context: High school percentage sex...\How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later... response:	Sh-She's...
context: How to get boyfriend in the mood...\sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's... response:	Saki-san's searches are almost all about sex stuff.
context: sex sex sex sex sex sex sex sex sex sex sex sex sex sex sex\I shouldn't have looked!\Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff. response:	Every now and then, there are dogs and sweets and game streams and stuff.
context: I shouldn't have looked!\Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff. response:	Pictures of the world's cutest Shiba Inu paws!
context: Um...\I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws! response:	There's nothing useful in here.
context: I'll take this secret to the grave.\tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here. response:	Huh?
context: tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap tap\10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh? response:	I like dogs, sweets, and games
context: 10 Minutes Later...\Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh?\I like dogs, sweets, and games response:	Is this her private account on Quitter?
context: Sh-She's...\Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh?\I like dogs, sweets, and games\Is this her private account on Quitter? response:	I like dogs, sweets, and games
context: Saki-san's searches are almost all about sex stuff.\Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh?\I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games response:	I like dogs, sweets, and games
context: Every now and then, there are dogs and sweets and game streams and stuff.\Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh?\I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games response:	I like dogs, sweets, and games
context: Pictures of the world's cutest Shiba Inu paws!\There's nothing useful in here.\Huh?\I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games response:	I like dogs, sweets, and games
context: There's nothing useful in here.\Huh?\I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games response:	I like dogs, sweets, and games
context: Huh?\I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games response:	I like dogs, sweets, and games
context: I like dogs, sweets, and games\Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games response:	Tweets
context: Is this her private account on Quitter?\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets response:	Likes
context: I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets\Likes response:	I like dogs, sweets, and games
context: I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets\Likes\I like dogs, sweets, and games response:	Tweets
context: I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets\Likes\I like dogs, sweets, and games\Tweets response:	Media
context: I like dogs, sweets, and games\I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets\Likes\I like dogs, sweets, and games\Tweets\Media response:	Tweets
context: I like dogs, sweets, and games\I like dogs, sweets, and games\Tweets\Likes\I like dogs, sweets, and games\Tweets\Media\Tweets response:	Media
context: I like dogs, sweets, and games\Tweets\Likes\I like dogs, sweets, and games\Tweets\Media\Tweets\Media response:	Tweets
context: Tweets\Likes\I like dogs, sweets, and games\Tweets\Media\Tweets\Media\Tweets response:	You suck, Naoya!
context: Likes\I like dogs, sweets, and games\Tweets\Media\Tweets\Media\Tweets\You suck, Naoya! response:	I can't believe you want to date two girls!
context: I like dogs, sweets, and games\Tweets\Media\Tweets\Media\Tweets\You suck, Naoya!\I can't believe you want to date two girls! response:	I hope your dick rots off!
context: Tweets\Media\Tweets\Media\Tweets\You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off! response:	She's definitely angry.
context: Media\Tweets\Media\Tweets\You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry. response:	No, that would be a problem...
context: Tweets\Media\Tweets\You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry.\No, that would be a problem... response:	Maybe not that...
context: Media\Tweets\You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry.\No, that would be a problem...\Maybe not that... response:	She's talking about sex again!
context: Tweets\You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry.\No, that would be a problem...\Maybe not that...\She's talking about sex again! response:	She queeted about me.
context: You suck, Naoya!\I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry.\No, that would be a problem...\Maybe not that...\She's talking about sex again!\She queeted about me. response:	Nagisa-chan's too cute.
context: I can't believe you want to date two girls!\I hope your dick rots off!\She's definitely angry.\No, that would be a problem...\Maybe not that...\She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute. response:	I really don't want her to be the girl I share a guy with...
context: I hope your dick rots off!\She's definitely angry.\No, that would be a problem...\Maybe not that...\She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with... response:	But...
context: She's definitely angry.\No, that would be a problem...\Maybe not that...\She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But... response:	She's such a good girl, and she's cute...
context: No, that would be a problem...\Maybe not that...\She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute... response:	I think I'd like to get close to her... maybe...
context: Maybe not that...\She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe... response:	S-Saki-san...
context: She's talking about sex again!\She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san... response:	Minase-san?
context: She queeted about me.\Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san? response:	What are you doing?
context: Nagisa-chan's too cute.\I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san?\What are you doing? response:	N-N-N-Naoya-kun!
context: I really don't want her to be the girl I share a guy with...\But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san?\What are you doing?\N-N-N-Naoya-kun! response:	I-I was just, um...
context: But...\She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san?\What are you doing?\N-N-N-Naoya-kun!\I-I was just, um... response:	Th-Things are stuff, and...
context: She's such a good girl, and she's cute...\I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san?\What are you doing?\N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and... response:	Minase-san?
context: I think I'd like to get close to her... maybe...\S-Saki-san...\Minase-san?\What are you doing?\N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and...\Minase-san? response:	I was going through Saki-san's phone.
context: S-Saki-san...\Minase-san?\What are you doing?\N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone. response:	Her search history and stuff.
context: Minase-san?\What are you doing?\N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone.\Her search history and stuff. response:	Saki-chan's phone?
context: What are you doing?\N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone? response:	Huh? Naoya? Nagisa-chan?
context: N-N-N-Naoya-kun!\I-I was just, um...\Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan? response:	What are you two up to?
context: I-I was just, um...\Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to? response:	Huh? Is that my phone?
context: Th-Things are stuff, and...\Minase-san?\I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone? response:	U-Um, it's...
context: Minase-san?\I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone?\U-Um, it's... response:	This is... I was...
context: I was going through Saki-san's phone.\Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone?\U-Um, it's...\This is... I was... response:	I was...
context: Her search history and stuff.\Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone?\U-Um, it's...\This is... I was...\I was... response:	I looked through your search history!
context: Saki-chan's phone?\Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone?\U-Um, it's...\This is... I was...\I was...\I looked through your search history! response:	Huh?
context: Huh? Naoya? Nagisa-chan?\What are you two up to?\Huh? Is that my phone?\U-Um, it's...\This is... I was...\I was...\I looked through your search history!\Huh? response:	First time having sex when
context: What are you two up to?\Huh? Is that my phone?\U-Um, it's...\This is... I was...\I was...\I looked through your search history!\Huh?\First time having sex when response:	First time having sex how
context: Huh? Is that my phone?\U-Um, it's...\This is... I was...\I was...\I looked through your search history!\Huh?\First time having sex when\First time having sex how response:	First time having sex where
context: U-Um, it's...\This is... I was...\I was...\I looked through your search history!\Huh?\First time having sex when\First time having sex how\First time having sex where response:	First time having sex how to ask
context: This is... I was...\I was...\I looked through your search history!\Huh?\First time having sex when\First time having sex how\First time having sex where\First time having sex how to ask response:	High school percentage sex
context: I was...\I looked through your search history!\Huh?\First time having sex when\First time having sex how\First time having sex where\First time having sex how to ask\High school percentage sex response:	How to get boyfriend in the mood
context: I looked through your search history!\Huh?\First time having sex when\First time having sex how\First time having sex where\First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood response:	I-I-I-It's not what you think!
context: Huh?\First time having sex when\First time having sex how\First time having sex where\First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think! response:	My friend kept griping that she hasn't done it yet, so I...
context: First time having sex when\First time having sex how\First time having sex where\First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I... response:	I'm really sorry!
context: First time having sex how\First time having sex where\First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry! response:	I mean... I-I don't really know what you're into, but...
context: First time having sex where\First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but... response:	It's not what you think! I swear!
context: First time having sex how to ask\High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear! response:	I think it's all right, whatever you're interested in!
context: High school percentage sex\How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in! response:	J-Just kill me!
context: How to get boyfriend in the mood\I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me! response:	What are you trying to accomplish, Naoya?!
context: I-I-I-It's not what you think!\My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?! response:	I, uh...
context: My friend kept griping that she hasn't done it yet, so I...\I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh... response:	I just wanted to learn about you more!
context: I'm really sorry!\I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more! response:	I promise I'll accept you for whomever you might be!
context: I mean... I-I don't really know what you're into, but...\It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be! response:	Just forget it all!
context: It's not what you think! I swear!\I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all! response:	Naoya-kun!
context: I think it's all right, whatever you're interested in!\J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun! response:	A-Are you all right?
context: J-Just kill me!\What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun!\A-Are you all right? response:	I'm going to sleep to try to forget it, too.
context: What are you trying to accomplish, Naoya?!\I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too. response:	I'm sorry. It was my fault.
context: I, uh...\I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault. response:	It's fine.
context: I just wanted to learn about you more!\I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine. response:	I get that you wanted to look because you were worried about me dating two girls.
context: I promise I'll accept you for whomever you might be!\Just forget it all!\Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls. response:	Let me do this much.
context: Just forget it all!\Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much. response:	Naoya-kun...
context: Naoya-kun!\A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun... response:	Naoya-kun!
context: A-Are you all right?\I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun...\Naoya-kun! response:	Zzz...
context: I'm going to sleep to try to forget it, too.\I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun...\Naoya-kun!\Zzz... response:	Nagisa's Sleepover Gear
context: I'm sorry. It was my fault.\It's fine.\I get that you wanted to look because you were worried about me dating two girls.\Let me do this much.\Naoya-kun...\Naoya-kun!\Zzz...\Nagisa's Sleepover Gear response:	No, I'm not really an otaku...
