context: Be careful, alright? response:	And it's fine if you decide to head right on back here, you know!
context: I suddenly realized that thing was in my back pocket, and...\I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up... response:	Hurry! We've gotta get going quick!
context: I think he's pretty much the only one who could've done it.\Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick! response:	Reg, go hide any traces of the campfire!
context: Leader... I wonder if he's cheering us on...\There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire! response:	I'm on it!
context: There's a page that's a different size than the others.\I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it! response:	Uh, I'll...
context: I'll depart at dawn to come capture you?!\Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll... response:	go check that we're not leaving anything behind!
context: Reg, do you have any idea how long it's been since dawn?!\Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll...\go check that we're not leaving anything behind! response:	Are you ready?
context: Nope...\But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll...\go check that we're not leaving anything behind!\Are you ready? response:	Of course.
context: But, considering that it was already bright out when we woke up...\Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll...\go check that we're not leaving anything behind!\Are you ready?\Of course. response:	Let's go!
context: Hurry! We've gotta get going quick!\Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll...\go check that we're not leaving anything behind!\Are you ready?\Of course.\Let's go! response:	Shiggy said that if we make it to the second layer, no one will come after us.
context: Reg, go hide any traces of the campfire!\I'm on it!\Uh, I'll...\go check that we're not leaving anything behind!\Are you ready?\Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us. response:	But, why would Leader do something so contrary to normal?
context: I'm on it!\Uh, I'll...\go check that we're not leaving anything behind!\Are you ready?\Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal? response:	He must be testing us.
context: Uh, I'll...\go check that we're not leaving anything behind!\Are you ready?\Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us. response:	This is our final lesson.
context: go check that we're not leaving anything behind!\Are you ready?\Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson. response:	The point is that if we get caught now,
context: Are you ready?\Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson.\The point is that if we get caught now, response:	we never had any chance of making it to the bottom of the netherworld...
context: Of course.\Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld... response:	Reg...
context: Let's go!\Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg... response:	Behind us...
context: Shiggy said that if we make it to the second layer, no one will come after us.\But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us... response:	Jump right now!
context: But, why would Leader do something so contrary to normal?\He must be testing us.\This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us...\Jump right now! response:	Silkfangs can't leave their territory! It'll act as an anchor!
context: He must be testing us.\This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor! response:	What an irredeemable plan!
context: This is our final lesson.\The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan! response:	Seems it gave up and let go...
context: The point is that if we get caught now,\we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go... response:	Riko, you okay?
context: we never had any chance of making it to the bottom of the netherworld...\Reg...\Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay? response:	Yeah, I'm okay. I'm just fine.
context: Reg...\Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine. response:	She's not used to this, so I bet it's really draining her stamina.
context: Behind us...\Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina. response:	It's her first time this deep...
context: Jump right now!\Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep... response:	We're on an untracked path...
context: Silkfangs can't leave their territory! It'll act as an anchor!\What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path... response:	and on top of that...
context: What an irredeemable plan!\Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path...\and on top of that... response:	Seems our pursuers still haven't caught up with us yet.
context: Seems it gave up and let go...\Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet. response:	We've strayed from the usual route...
context: Riko, you okay?\Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route... response:	so even if they come after us, they won't find us that easily.
context: Yeah, I'm okay. I'm just fine.\She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily. response:	Besides, the search parties move in groups of at least three people,
context: She's not used to this, so I bet it's really draining her stamina.\It's her first time this deep...\We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people, response:	so we should see them com-
context: It's her first time this deep...\We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com- response:	What is it, Riko?
context: We're on an untracked path...\and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko? response:	Look at that, Reg!
context: and on top of that...\Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko?\Look at that, Reg! response:	The break in the clouds there...
context: Seems our pursuers still haven't caught up with us yet.\We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko?\Look at that, Reg!\The break in the clouds there... response:	It's the second layer: the Forest of Temptation!
context: We've strayed from the usual route...\so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko?\Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation! response:	So this is the second layer.
context: so even if they come after us, they won't find us that easily.\Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko?\Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer. response:	If a Red Whistle goes down there, it's treated as a suicide.
context: Besides, the search parties move in groups of at least three people,\so we should see them com-\What is it, Riko?\Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide. response:	Where?!
context: so we should see them com-\What is it, Riko?\Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?! response:	What was that...?
context: What is it, Riko?\Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...? response:	My own voice...?
context: Look at that, Reg!\The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...?\My own voice...? response:	Oof!
context: The break in the clouds there...\It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...?\My own voice...?\Oof! response:	Riko?!
context: It's the second layer: the Forest of Temptation!\So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...?\My own voice...?\Oof!\Riko?! response:	The view's so amazing I just kinda collapsed.
context: So this is the second layer.\If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...?\My own voice...?\Oof!\Riko?!\The view's so amazing I just kinda collapsed. response:	Riko, let's take a little break.
context: If a Red Whistle goes down there, it's treated as a suicide.\Where?!\What was that...?\My own voice...?\Oof!\Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break. response:	Huh? But...
context: Where?!\What was that...?\My own voice...?\Oof!\Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But... response:	I need to take a pee, anyway.
context: What was that...?\My own voice...?\Oof!\Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway. response:	Ah, well, then I will too.
context: My own voice...?\Oof!\Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too. response:	Riko, I was thinking about your delusion about the meaning of the letter...
context: Oof!\Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter... response:	About it being our final lesson?
context: Riko?!\The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson? response:	That's no delusion!
context: The view's so amazing I just kinda collapsed.\Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion! response:	Yeah... I have a feeling you're not mistaken.
context: Riko, let's take a little break.\Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken. response:	Leader said it's necessary for him to patrol every night.
context: Huh? But...\I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night. response:	Perhaps he was able to see through us and uncover our nightly plotting,
context: I need to take a pee, anyway.\Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting, response:	and even the fact that I'm a robot...
context: Ah, well, then I will too.\Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot... response:	On top of that, if he took the trouble to place that envelope in my pocket,
context: Riko, I was thinking about your delusion about the meaning of the letter...\About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket, response:	we need to make a clean escape and show him we're up to the task.
context: About it being our final lesson?\That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task. response:	Yeah!
context: That's no delusion!\Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah! response:	What's the matter, Reg?
context: Yeah... I have a feeling you're not mistaken.\Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg? response:	What's that? Something flashed over there!
context: Leader said it's necessary for him to patrol every night.\Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg?\What's that? Something flashed over there! response:	Huh?!
context: Perhaps he was able to see through us and uncover our nightly plotting,\and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg?\What's that? Something flashed over there!\Huh?! response:	It was around that group of three boulders up there...
context: and even the fact that I'm a robot...\On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg?\What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there... response:	Y-you think it's a search party?
context: On top of that, if he took the trouble to place that envelope in my pocket,\we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg?\What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party? response:	It's a cave raider!
context: we need to make a clean escape and show him we're up to the task.\Yeah!\What's the matter, Reg?\What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider! response:	There's just one of them... but he's heading straight for us!
context: Yeah!\What's the matter, Reg?\What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us! response:	What gives?!
context: What's the matter, Reg?\What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?! response:	We even took care to stay off the usual route...
context: What's that? Something flashed over there!\Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route... response:	Taking the trouble to head down this way off the main route...
context: Huh?!\It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route... response:	There's no doubt he's targeting us.
context: It was around that group of three boulders up there...\Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us. response:	Let's hurry!
context: Y-you think it's a search party?\It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry! response:	Reg...
context: It's a cave raider!\There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry!\Reg... response:	you see our pursuer anywhere?
context: There's just one of them... but he's heading straight for us!\What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry!\Reg...\you see our pursuer anywhere? response:	I'm trying to look now.
context: What gives?!\We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry!\Reg...\you see our pursuer anywhere?\I'm trying to look now. response:	Think we can give him the slip before we reach the second layer?
context: We even took care to stay off the usual route...\Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry!\Reg...\you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer? response:	Ah, uh...
context: Taking the trouble to head down this way off the main route...\There's no doubt he's targeting us.\Let's hurry!\Reg...\you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh... response:	He's... right above us...
context: There's no doubt he's targeting us.\Let's hurry!\Reg...\you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us... response:	Huh?!
context: Let's hurry!\Reg...\you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us...\Huh?! response:	What the heck? He's way too fast.
context: Reg...\you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us...\Huh?!\What the heck? He's way too fast. response:	He's caught up to us.
context: you see our pursuer anywhere?\I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us...\Huh?!\What the heck? He's way too fast.\He's caught up to us. response:	It's just one person...
context: I'm trying to look now.\Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us...\Huh?!\What the heck? He's way too fast.\He's caught up to us.\It's just one person... response:	Can we somehow slip away?
context: Think we can give him the slip before we reach the second layer?\Ah, uh...\He's... right above us...\Huh?!\What the heck? He's way too fast.\He's caught up to us.\It's just one person...\Can we somehow slip away? response:	I'd expect nothing less from Lyza's daughter.
context: Ah, uh...\He's... right above us...\Huh?!\What the heck? He's way too fast.\He's caught up to us.\It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter. response:	You're pretty darn fast, huh, Riko?
context: He's... right above us...\Huh?!\What the heck? He's way too fast.\He's caught up to us.\It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko? response:	Habo?! But why?
context: Huh?!\What the heck? He's way too fast.\He's caught up to us.\It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why? response:	How about that?
context: What the heck? He's way too fast.\He's caught up to us.\It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that? response:	I've got some skills of my own, don't you think?
context: He's caught up to us.\It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that?\I've got some skills of my own, don't you think? response:	Black Whistle Hablog...
context: It's just one person...\Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog... response:	To think someone who's not a White Whistle could be so skilled...
context: Can we somehow slip away?\I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled... response:	What should I do?!
context: I'd expect nothing less from Lyza's daughter.\You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?! response:	I could let Riko escape alone first...
context: You're pretty darn fast, huh, Riko?\Habo?! But why?\How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first... response:	That being said...
context: Habo?! But why?\How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first...\That being said... response:	well, I never suspected it!
context: How about that?\I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first...\That being said...\well, I never suspected it! response:	That you were a supreme treasure of the netherworld, I mean!
context: I've got some skills of my own, don't you think?\Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first...\That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean! response:	Is even your skin a Relic?
context: Black Whistle Hablog...\To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first...\That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic? response:	You sure can't tell just by looking at it!
context: To think someone who's not a White Whistle could be so skilled...\What should I do?!\I could let Riko escape alone first...\That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it! response:	Huh?!
context: What should I do?!\I could let Riko escape alone first...\That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?! response:	Oh, nothing mechanical about those balls of yours, I see!
context: I could let Riko escape alone first...\That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see! response:	Stop it!
context: That being said...\well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it! response:	Let me go!
context: well, I never suspected it!\That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go! response:	Hey, stop kicking.
context: That you were a supreme treasure of the netherworld, I mean!\Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go!\Hey, stop kicking. response:	Taking into account the weight of your backpack, you're pretty darn light...
context: Is even your skin a Relic?\You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light... response:	I guess he still hasn't learned the hand signals...
context: You sure can't tell just by looking at it!\Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals... response:	Sorry, my bad.
context: Huh?!\Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad. response:	I still haven't told you what I'm here about.
context: Oh, nothing mechanical about those balls of yours, I see!\Stop it!\Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about. response:	You see... I'm not actually here to capture you two.
context: Stop it!\Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two. response:	Huh?
context: Let me go!\Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh? response:	Nat and Shiggy came and paid me a visit...
context: Hey, stop kicking.\Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit... response:	Please!
context: Taking into account the weight of your backpack, you're pretty darn light...\I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit...\Please! response:	I'm not asking you to take them all the way to the Seeker Camp!
context: I guess he still hasn't learned the hand signals...\Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp! response:	Just at least help them escape to the second layer!
context: Sorry, my bad.\I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer! response:	Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!
context: I still haven't told you what I'm here about.\You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld! response:	Reg was really fast...
context: You see... I'm not actually here to capture you two.\Huh?\Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!\Reg was really fast... response:	but I'm sure, Habo, with your speed you can cat-
context: Huh?\Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!\Reg was really fast...\but I'm sure, Habo, with your speed you can cat- response:	So...
context: Nat and Shiggy came and paid me a visit...\Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!\Reg was really fast...\but I'm sure, Habo, with your speed you can cat-\So... response:	You're telling me Reg is truly a treasure of the netherworld, right?
context: Please!\I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!\Reg was really fast...\but I'm sure, Habo, with your speed you can cat-\So...\You're telling me Reg is truly a treasure of the netherworld, right? response:	Y-yes!
context: I'm not asking you to take them all the way to the Seeker Camp!\Just at least help them escape to the second layer!\Besides, this is your last chance to see the true form of a supreme treasure of the netherworld!\Reg was really fast...\but I'm sure, Habo, with your speed you can cat-\So...\You're telling me Reg is truly a treasure of the netherworld, right?\Y-yes! response:	I'm going!
