context: Listen to me, Kousei, response:	I want you to study the sheet music over and over,
context: Wait, could that be...\I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist. response:	Arima-kun?
context: I've been waiting for you, Kaori Miyazono... Hmm?\She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist.\Arima-kun? response:	I see. So that kid's Kousei Arima, huh?
context: She's got a different accompanist. A kid, at that.\What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh? response:	That's right. He's grown up since then, but that's the face of the pianist, Arima...
context: What are you doing?\I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima... response:	Kousei Arima.
context: I can't set my chair just right.\Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima. response:	So they know each other? Actually, why is he accompanying her?
context: Hurry it up, you slowpoke. Adjust it with both hands!\He somehow looks familiar...\It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her? response:	Finally got it right.
context: He somehow looks familiar...\It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right. response:	Jeez!
context: It's Arima. The pianist.\Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez! response:	Huh. Synthetic and all-natural. Talk about a mismatched couple!
context: Arima-kun?\I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple! response:	What kind of performance do you have planned?
context: I see. So that kid's Kousei Arima, huh?\That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned? response:	Elohim, Essaim... Elohim, Essaim... I implore you...
context: That's right. He's grown up since then, but that's the face of the pianist, Arima...\Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you... response:	Your face is totally frozen.
context: Kousei Arima.\So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen. response:	A song dedicated to the virtuoso violinist, Sarasate.
context: So they know each other? Actually, why is he accompanying her?\Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate. response:	Saint-Saens's Introduction and Rondo Capriccioso.
context: Finally got it right.\Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso. response:	All right, that was a good start. I can hear the notes, too.
context: Jeez!\Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too. response:	I'm glad we're doing this song.
context: Huh. Synthetic and all-natural. Talk about a mismatched couple!\What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song. response:	There are some parts where I could go off-key,
context: What kind of performance do you have planned?\Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key, response:	but if I listen closely to the violin, and keep an eye on the sheet music...
context: Elohim, Essaim... Elohim, Essaim... I implore you...\Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music... response:	Technically, it's not a difficult song.
context: Your face is totally frozen.\A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song. response:	Ah... Kousei's playing the piano again...
context: A song dedicated to the virtuoso violinist, Sarasate.\Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again... response:	Kaori Miyazono... In a complete departure from her previous performance,
context: Saint-Saens's Introduction and Rondo Capriccioso.\All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance, response:	she's being docile here.
context: All right, that was a good start. I can hear the notes, too.\I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here. response:	Out of consideration for Arima, maybe?
context: I'm glad we're doing this song.\There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe? response:	And now she's showing her true colors!
context: There are some parts where I could go off-key,\but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors! response:	Awesome!
context: but if I listen closely to the violin, and keep an eye on the sheet music...\Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome! response:	The notes...
context: Technically, it's not a difficult song.\Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome!\The notes... response:	They're vanishing...
context: Ah... Kousei's playing the piano again...\Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome!\The notes...\They're vanishing... response:	The sound of the piano...
context: Kaori Miyazono... In a complete departure from her previous performance,\she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome!\The notes...\They're vanishing...\The sound of the piano... response:	I can't hear it!
context: she's being docile here.\Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome!\The notes...\They're vanishing...\The sound of the piano...\I can't hear it! response:	Huh? What's going on?
context: Out of consideration for Arima, maybe?\And now she's showing her true colors!\Awesome!\The notes...\They're vanishing...\The sound of the piano...\I can't hear it!\Huh? What's going on? response:	Huh? The accompanist...
context: And now she's showing her true colors!\Awesome!\The notes...\They're vanishing...\The sound of the piano...\I can't hear it!\Huh? What's going on?\Huh? The accompanist... response:	The sound is out of sync.
context: Awesome!\The notes...\They're vanishing...\The sound of the piano...\I can't hear it!\Huh? What's going on?\Huh? The accompanist...\The sound is out of sync. response:	Kousei!
context: The notes...\They're vanishing...\The sound of the piano...\I can't hear it!\Huh? What's going on?\Huh? The accompanist...\The sound is out of sync.\Kousei! response:	The accompanist who never played a false note,
context: They're vanishing...\The sound of the piano...\I can't hear it!\Huh? What's going on?\Huh? The accompanist...\The sound is out of sync.\Kousei!\The accompanist who never played a false note, response:	who played with such stunning precision...
context: The sound of the piano...\I can't hear it!\Huh? What's going on?\Huh? The accompanist...\The sound is out of sync.\Kousei!\The accompanist who never played a false note,\who played with such stunning precision... response:	As if I'm at the bottom of a dark sea, I can't hear anything.
context: I can't hear it!\Huh? What's going on?\Huh? The accompanist...\The sound is out of sync.\Kousei!\The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything. response:	There's no one here. It's dark.. It's dark...
context: Huh? What's going on?\Huh? The accompanist...\The sound is out of sync.\Kousei!\The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark... response:	It's dark. I'm at the bottom of a dark sea...
context: Huh? The accompanist...\The sound is out of sync.\Kousei!\The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea... response:	He's pounding on the keys, but this isn't the accompaniment, is it?
context: The sound is out of sync.\Kousei!\The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it? response:	This accompanist blows.
context: Kousei!\The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows. response:	Too bad, I did like the violin.
context: The accompanist who never played a false note,\who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin. response:	In spite of your inexperience, you were holding your own till now.
context: who played with such stunning precision...\As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now. response:	What got into you all of a sudden, Arima?
context: As if I'm at the bottom of a dark sea, I can't hear anything.\There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima? response:	The piano is destroying this performance!
context: There's no one here. It's dark.. It's dark...\It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance! response:	Dammit, dammit, dammit!
context: It's dark. I'm at the bottom of a dark sea...\He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit! response:	I'm pounding the keys so hard...
context: He's pounding on the keys, but this isn't the accompaniment, is it?\This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard... response:	So why?
context: This accompanist blows.\Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why? response:	Why is it that the only thing I can't hear is my own playing?
context: Too bad, I did like the violin.\In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing? response:	Probably a smart move. A deduction's inevitable,
context: In spite of your inexperience, you were holding your own till now.\What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable, response:	but if he keeps on playing, it could affect the violinist.
context: What got into you all of a sudden, Arima?\The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist. response:	Lousy piano playing!
context: The piano is destroying this performance!\Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing! response:	Don't mess it up for her!
context: Dammit, dammit, dammit!\I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her! response:	You shouldn't have been playing from the start!
context: I'm pounding the keys so hard...\So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start! response:	Sorry... If I keep playing like this...
context: So why?\Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this... response:	If I play... I'll only make trouble for you.
context: Why is it that the only thing I can't hear is my own playing?\Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you. response:	No way! Now even the violinist's stopped playing!
context: Probably a smart move. A deduction's inevitable,\but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing! response:	Does this mean they're disqualified?
context: but if he keeps on playing, it could affect the violinist.\Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified? response:	Well, not disqualified, but...
context: Lousy piano playing!\Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but... response:	This is unheard of!
context: Don't mess it up for her!\You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of! response:	It's over for them.
context: You shouldn't have been playing from the start!\Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of!\It's over for them. response:	Why did she stop?
context: Sorry... If I keep playing like this...\If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of!\It's over for them.\Why did she stop? response:	There's no reason for her to accommodate that awful accompanist...
context: If I play... I'll only make trouble for you.\No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of!\It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist... response:	And she was so cool...
context: No way! Now even the violinist's stopped playing!\Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of!\It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool... response:	Don't worry.
context: Does this mean they're disqualified?\Well, not disqualified, but...\This is unheard of!\It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry. response:	I hereby appoint you as my accompanist.
context: Well, not disqualified, but...\This is unheard of!\It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry.\I hereby appoint you as my accompanist. response:	You still have to play!
context: This is unheard of!\It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry.\I hereby appoint you as my accompanist.\You still have to play! response:	But I want you.
context: It's over for them.\Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry.\I hereby appoint you as my accompanist.\You still have to play!\But I want you. response:	I'm going to play with everything I've got.
context: Why did she stop?\There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry.\I hereby appoint you as my accompanist.\You still have to play!\But I want you.\I'm going to play with everything I've got. response:	So that the people who've heard me......will never forget me.
context: There's no reason for her to accommodate that awful accompanist...\And she was so cool...\Don't worry.\I hereby appoint you as my accompanist.\You still have to play!\But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me. response:	I'm a musician, after all!
context: And she was so cool...\Don't worry.\I hereby appoint you as my accompanist.\You still have to play!\But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all! response:	Again.
context: Don't worry.\I hereby appoint you as my accompanist.\You still have to play!\But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again. response:	Maybe there's only a dark road up ahead.
context: I hereby appoint you as my accompanist.\You still have to play!\But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead. response:	But you still have to believe and keeping going.
context: You still have to play!\But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going. response:	Believe that the stars will light your path, even a little bit.
context: But I want you.\I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit. response:	Come on...
context: I'm going to play with everything I've got.\So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on... response:	Let's go on a journey!
context: So that the people who've heard me......will never forget me.\I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey! response:	Are they allowed to start over?
context: I'm a musician, after all!\Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey!\Are they allowed to start over? response:	It's allowed as long as it's within the time limit,
context: Again.\Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit, response:	but nothing after they stopped will count.
context: Maybe there's only a dark road up ahead.\But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count. response:	This competition is over for that girl now.
context: But you still have to believe and keeping going.\Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now. response:	Then...
context: Believe that the stars will light your path, even a little bit.\Come on...\Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now.\Then... response:	What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?
context: Come on...\Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself? response:	Kousei...
context: Let's go on a journey!\Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei... response:	For you...
context: Are they allowed to start over?\It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you... response:	For you... I'm casting about for an excuse again.
context: It's allowed as long as it's within the time limit,\but nothing after they stopped will count.\This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you...\For you... I'm casting about for an excuse again. response:	There was resolve in your eyes.
context: but nothing after they stopped will count.\This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes. response:	So what was it that you saw in me?
context: This competition is over for that girl now.\Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me? response:	But you have me.
context: Then...\What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me?\But you have me. response:	Look up, and look at me.
context: What are you doing, Kousei? Are you gonna make Kaori-chan play by herself?\Kousei...\For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me?\But you have me.\Look up, and look at me. response:	Look at me...
context: Kousei...\For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me?\But you have me.\Look up, and look at me.\Look at me... response:	Brace yourself...
context: For you...\For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me?\But you have me.\Look up, and look at me.\Look at me...\Brace yourself... response:	Now we're talking!
context: For you... I'm casting about for an excuse again.\There was resolve in your eyes.\So what was it that you saw in me?\But you have me.\Look up, and look at me.\Look at me...\Brace yourself...\Now we're talking! response:	Kousei!
context: There was resolve in your eyes.\So what was it that you saw in me?\But you have me.\Look up, and look at me.\Look at me...\Brace yourself...\Now we're talking!\Kousei! response:	He started playing.
context: So what was it that you saw in me?\But you have me.\Look up, and look at me.\Look at me...\Brace yourself...\Now we're talking!\Kousei!\He started playing. response:	But they still sound out of sync.
context: But you have me.\Look up, and look at me.\Look at me...\Brace yourself...\Now we're talking!\Kousei!\He started playing.\But they still sound out of sync. response:	What are you going to do, Arima?
context: Look up, and look at me.\Look at me...\Brace yourself...\Now we're talking!\Kousei!\He started playing.\But they still sound out of sync.\What are you going to do, Arima? response:	Focus... Focus...
context: Look at me...\Brace yourself...\Now we're talking!\Kousei!\He started playing.\But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus... response:	Focus!
context: Brace yourself...\Now we're talking!\Kousei!\He started playing.\But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus...\Focus! response:	Both the sound and the notes are disappearing like nobody's business.
context: Now we're talking!\Kousei!\He started playing.\But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business. response:	All week long, the sheet music was always where I could see it.
context: Kousei!\He started playing.\But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it. response:	All during my lunch breaks, I listened to it.
context: He started playing.\But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it. response:	Whatever I have inside of me... Draw it out!
context: But they still sound out of sync.\What are you going to do, Arima?\Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out! response:	Focus, focus... focus...
context: What are you going to do, Arima?\Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus... response:	Focus!
context: Focus... Focus...\Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus! response:	Are you listening, Kousei?
context: Focus!\Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus!\Are you listening, Kousei? response:	You mustn't play so violently.
context: Both the sound and the notes are disappearing like nobody's business.\All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus!\Are you listening, Kousei?\You mustn't play so violently. response:	The piano is you.
context: All week long, the sheet music was always where I could see it.\All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus!\Are you listening, Kousei?\You mustn't play so violently.\The piano is you. response:	If you touch it gently, it will smile.
context: All during my lunch breaks, I listened to it.\Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus!\Are you listening, Kousei?\You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile. response:	If you pound it with force, it will become enraged.
context: Whatever I have inside of me... Draw it out!\Focus, focus... focus...\Focus!\Are you listening, Kousei?\You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile.\If you pound it with force, it will become enraged. response:	Touch it like you're caressing a baby's head.
context: Focus, focus... focus...\Focus!\Are you listening, Kousei?\You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile.\If you pound it with force, it will become enraged.\Touch it like you're caressing a baby's head. response:	All right, again.
context: Focus!\Are you listening, Kousei?\You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile.\If you pound it with force, it will become enraged.\Touch it like you're caressing a baby's head.\All right, again. response:	Twinkle, twinkle, little star... How I wonder what you are...
context: Are you listening, Kousei?\You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile.\If you pound it with force, it will become enraged.\Touch it like you're caressing a baby's head.\All right, again.\Twinkle, twinkle, little star... How I wonder what you are... response:	Up above the world so high... Like a diamond in the sky...
context: You mustn't play so violently.\The piano is you.\If you touch it gently, it will smile.\If you pound it with force, it will become enraged.\Touch it like you're caressing a baby's head.\All right, again.\Twinkle, twinkle, little star... How I wonder what you are...\Up above the world so high... Like a diamond in the sky... response:	Twinkle, twinkle, little star... How I wonder what you are.
