context: Choose some kind of bread and a drink for tomorrow's breakfast. response:	Aye-aye!
context: Good morning!\Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth... response:	Girls have it rough, even when they're little kids...
context: Too much energy this early in the morning...\Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids... response:	Sayaka-chan, what kind of container are you using to hold your teeth?
context: Nobu-kun is good at it.\It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth? response:	Did your parents buy you a cute one?
context: It's'cause he's got a big brother.\He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one? response:	What's that?
context: He'll imitate everything the older one does.\Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that? response:	You don't know about the case people use
context: Huh...\Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that?\You don't know about the case people use response:	to hold their kids' baby teeth as a keepsake?
context: Aren't you gonna do it, Sayaka-chan?\This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake? response:	Keepsake?
context: This time, she lost one of her upper teeth...\Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake? response:	They have these cute tiny ones.
context: Girls have it rough, even when they're little kids...\Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones. response:	Tiny!
context: Sayaka-chan, what kind of container are you using to hold your teeth?\Did your parents buy you a cute one?\What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones.\Tiny! response:	Cute!
context: Did your parents buy you a cute one?\What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones.\Tiny!\Cute! response:	Right?
context: What's that?\You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones.\Tiny!\Cute!\Right? response:	Yeah! Mine is a butterfly!
context: You don't know about the case people use\to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones.\Tiny!\Cute!\Right?\Yeah! Mine is a butterfly! response:	I bought one for Kouki, but...
context: to hold their kids' baby teeth as a keepsake?\Keepsake?\They have these cute tiny ones.\Tiny!\Cute!\Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but... response:	I bet Rin would love that!
context: Keepsake?\They have these cute tiny ones.\Tiny!\Cute!\Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that! response:	We're saving the kids' teeth, too.
context: They have these cute tiny ones.\Tiny!\Cute!\Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too. response:	I'm such an idiot! I had no idea they had those things!
context: Tiny!\Cute!\Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things! response:	It's been like this ever since I met Rin.
context: Cute!\Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin. response:	Fretting and getting nervous over the littlest things...
context: Right?\Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things... response:	Daikichi, this is for you.
context: Yeah! Mine is a butterfly!\I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you. response:	I drew it at school.
context: I bought one for Kouki, but...\I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school. response:	Daikichi
context: I bet Rin would love that!\We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school.\Daikichi response:	The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.
context: We're saving the kids' teeth, too.\I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast. response:	I had to write about someone at home.
context: I'm such an idiot! I had no idea they had those things!\It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home. response:	Ah, well...
context: It's been like this ever since I met Rin.\Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well... response:	It's so cute!
context: Fretting and getting nervous over the littlest things...\Daikichi, this is for you.\I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well...\It's so cute! response:	What is this?
context: Daikichi, this is for you.\I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well...\It's so cute!\What is this? response:	You put your baby teeth in there when they come out.
context: I drew it at school.\Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well...\It's so cute!\What is this?\You put your baby teeth in there when they come out. response:	It's like a keepsake...
context: Daikichi\The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well...\It's so cute!\What is this?\You put your baby teeth in there when they come out.\It's like a keepsake... response:	A keepsake!
context: The meat and potato stew Daikichi makes is really delicious. Also, Daikichi can run very fast.\I had to write about someone at home.\Ah, well...\It's so cute!\What is this?\You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake! response:	Thank you, Kouki-kun's mother!
context: I had to write about someone at home.\Ah, well...\It's so cute!\What is this?\You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother! response:	Thank you.
context: Ah, well...\It's so cute!\What is this?\You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother!\Thank you. response:	But isn't that Kouki's...?
context: It's so cute!\What is this?\You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...? response:	It's okay, it's okay...
context: What is this?\You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...?\It's okay, it's okay... response:	I throw my teeth!
context: You put your baby teeth in there when they come out.\It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth! response:	Until now, I've thrown all my teeth onto the roof.
context: It's like a keepsake...\A keepsake!\Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof. response:	Is that okay?
context: A keepsake!\Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay? response:	That's fine, that's fine.
context: Thank you, Kouki-kun's mother!\Thank you.\But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine. response:	Throwing'em or keeping'em, either way works.
context: Thank you.\But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works. response:	I see.
context: But isn't that Kouki's...?\It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see. response:	Rin! I'm gonna do my best with this jump rope thing, too!
context: It's okay, it's okay...\I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too! response:	There you go, touching your tooth again...
context: I throw my teeth!\Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again... response:	It'll come out on its own.
context: Until now, I've thrown all my teeth onto the roof.\Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own. response:	Any way you slice it, she's gonna look like she got clocked.
context: Is that okay?\That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked. response:	As long as she doesn't smile...
context: That's fine, that's fine.\Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile... response:	There you go.
context: Throwing'em or keeping'em, either way works.\I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go. response:	Good. Okay, let's go.
context: I see.\Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go.\Good. Okay, let's go. response:	Are you getting bigger again?
context: Rin! I'm gonna do my best with this jump rope thing, too!\There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go.\Good. Okay, let's go.\Are you getting bigger again? response:	Huh? You too, Daikichi-san?
context: There you go, touching your tooth again...\It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go.\Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san? response:	I'm starting to get a spare tire...
context: It'll come out on its own.\Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go.\Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire... response:	Me too!
context: Any way you slice it, she's gonna look like she got clocked.\As long as she doesn't smile...\There you go.\Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too! response:	It's tough when you get to be our age.
context: As long as she doesn't smile...\There you go.\Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age. response:	Somehow, I wanna stop it in its tracks.
context: There you go.\Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks. response:	Daikichi-san is doing it boxer-style!
context: Good. Okay, let's go.\Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style! response:	That's amazing!
context: Are you getting bigger again?\Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing! response:	It's easier on the knees this way.
context: Huh? You too, Daikichi-san?\I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way. response:	Huh...
context: I'm starting to get a spare tire...\Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way.\Huh... response:	Daikichi! Teach me how to do that, too!
context: Me too!\It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too! response:	Forget about it!
context: It's tough when you get to be our age.\Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too!\Forget about it! response:	What?! Only you get to look cool?!
context: Somehow, I wanna stop it in its tracks.\Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?! response:	First, learn how to jump rope the normal way!
context: Daikichi-san is doing it boxer-style!\That's amazing!\It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way! response:	What was that?!
context: That's amazing!\It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?! response:	Get back here!
context: It's easier on the knees this way.\Huh...\Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?!\Get back here! response:	Me too! Me too!
context: Huh...\Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?!\Get back here!\Me too! Me too! response:	Rin-chan, you're so good at doing it backwards!
context: Daikichi! Teach me how to do that, too!\Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?!\Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards! response:	Wow, kids are incredible...
context: Forget about it!\What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?!\Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible... response:	Really?
context: What?! Only you get to look cool?!\First, learn how to jump rope the normal way!\What was that?!\Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really? response:	They have energy to burn, don't they?
context: First, learn how to jump rope the normal way!\What was that?!\Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really?\They have energy to burn, don't they? response:	Rock, paper, scissors!
context: What was that?!\Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really?\They have energy to burn, don't they?\Rock, paper, scissors! response:	I don't know where they get it from...
context: Get back here!\Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really?\They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from... response:	One more time!
context: Me too! Me too!\Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really?\They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from...\One more time! response:	Although, adults are incredible, too...
context: Rin-chan, you're so good at doing it backwards!\Wow, kids are incredible...\Really?\They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from...\One more time!\Although, adults are incredible, too... response:	Adults?
context: Wow, kids are incredible...\Really?\They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from...\One more time!\Although, adults are incredible, too...\Adults? response:	I think you two already know this, but I'm not Rin's dad.
context: Really?\They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from...\One more time!\Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad. response:	We've only been living together for about a year now.
context: They have energy to burn, don't they?\Rock, paper, scissors!\I don't know where they get it from...\One more time!\Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now. response:	Until then, I used all my time for myself,
context: Rock, paper, scissors!\I don't know where they get it from...\One more time!\Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself, response:	but once I started living with Rin, my lifestyle suddenly changed...
context: I don't know where they get it from...\One more time!\Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed... response:	You guys, though, you've been with your kids ever since they were born...
context: One more time!\Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born... response:	For me, it's still early days, so it's nothing, really,
context: Although, adults are incredible, too...\Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really, response:	but I've been wondering whether you're okay with not having any
context: Adults?\I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any response:	so-called time for yourself all the way down the line...
context: I think you two already know this, but I'm not Rin's dad.\We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line... response:	I'm fine...
context: We've only been living together for about a year now.\Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine... response:	Me too!
context: Until then, I used all my time for myself,\but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine...\Me too! response:	Me too.
context: but once I started living with Rin, my lifestyle suddenly changed...\You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine...\Me too!\Me too. response:	Really?
context: You guys, though, you've been with your kids ever since they were born...\For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine...\Me too!\Me too.\Really? response:	Well, after all...
context: For me, it's still early days, so it's nothing, really,\but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine...\Me too!\Me too.\Really?\Well, after all... response:	What? What?!
context: but I've been wondering whether you're okay with not having any\so-called time for yourself all the way down the line...\I'm fine...\Me too!\Me too.\Really?\Well, after all...\What? What?! response:	Rin, come to think of it, wasn't today the jump rope contest?
context: so-called time for yourself all the way down the line...\I'm fine...\Me too!\Me too.\Really?\Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest? response:	Yeah...
context: I'm fine...\Me too!\Me too.\Really?\Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah... response:	Rin...
context: Me too!\Me too.\Really?\Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin... response:	I screwed up...
context: Me too.\Really?\Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin...\I screwed up... response:	How many times around did you get?
context: Really?\Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin...\I screwed up...\How many times around did you get? response:	15 times.
context: Well, after all...\What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin...\I screwed up...\How many times around did you get?\15 times. response:	That's awful!
context: What? What?!\Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin...\I screwed up...\How many times around did you get?\15 times.\That's awful! response:	What about backwards-style jumping?
context: Rin, come to think of it, wasn't today the jump rope contest?\Yeah...\Rin...\I screwed up...\How many times around did you get?\15 times.\That's awful!\What about backwards-style jumping? response:	203 times.
context: Yeah...\Rin...\I screwed up...\How many times around did you get?\15 times.\That's awful!\What about backwards-style jumping?\203 times. response:	You can jump like that?!
context: Rin...\I screwed up...\How many times around did you get?\15 times.\That's awful!\What about backwards-style jumping?\203 times.\You can jump like that?! response:	I'm gonna guess you got first place for that?
context: I screwed up...\How many times around did you get?\15 times.\That's awful!\What about backwards-style jumping?\203 times.\You can jump like that?!\I'm gonna guess you got first place for that? response:	Yeah.
context: How many times around did you get?\15 times.\That's awful!\What about backwards-style jumping?\203 times.\You can jump like that?!\I'm gonna guess you got first place for that?\Yeah. response:	Here's my certificate.
context: 15 times.\That's awful!\What about backwards-style jumping?\203 times.\You can jump like that?!\I'm gonna guess you got first place for that?\Yeah.\Here's my certificate. response:	Certificate of Merit
context: That's awful!\What about backwards-style jumping?\203 times.\You can jump like that?!\I'm gonna guess you got first place for that?\Yeah.\Here's my certificate.\Certificate of Merit response:	1st year division
context: What about backwards-style jumping?\203 times.\You can jump like that?!\I'm gonna guess you got first place for that?\Yeah.\Here's my certificate.\Certificate of Merit\1st year division response:	1st place, backwards-style jumping rope
context: 203 times.\You can jump like that?!\I'm gonna guess you got first place for that?\Yeah.\Here's my certificate.\Certificate of Merit\1st year division\1st place, backwards-style jumping rope response:	Kaga Rin
context: You can jump like that?!\I'm gonna guess you got first place for that?\Yeah.\Here's my certificate.\Certificate of Merit\1st year division\1st place, backwards-style jumping rope\Kaga Rin response:	You really did your best. This is fantastic.
context: I'm gonna guess you got first place for that?\Yeah.\Here's my certificate.\Certificate of Merit\1st year division\1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic. response:	But I know I could've done better with regular style jumping rope...
context: Yeah.\Here's my certificate.\Certificate of Merit\1st year division\1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope... response:	Well, they only gave you one chance...
context: Here's my certificate.\Certificate of Merit\1st year division\1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance... response:	Yeah...
context: Certificate of Merit\1st year division\1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah... response:	Anyway, it's true that you learned to jump rope a lot.
context: 1st year division\1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot. response:	I know it, at least.
context: 1st place, backwards-style jumping rope\Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least. response:	Right.
context: Kaga Rin\You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right. response:	I lost weight!
context: You really did your best. This is fantastic.\But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right.\I lost weight! response:	Huh?
context: But I know I could've done better with regular style jumping rope...\Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right.\I lost weight!\Huh? response:	Cut it out!
context: Well, they only gave you one chance...\Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right.\I lost weight!\Huh?\Cut it out! response:	Are we almost there?
context: Yeah...\Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right.\I lost weight!\Huh?\Cut it out!\Are we almost there? response:	Maybe 10 more minutes...
context: Anyway, it's true that you learned to jump rope a lot.\I know it, at least.\Right.\I lost weight!\Huh?\Cut it out!\Are we almost there?\Maybe 10 more minutes... response:	They'll want to see those wobbly front teeth.
context: I know it, at least.\Right.\I lost weight!\Huh?\Cut it out!\Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth. response:	Right!
context: Right.\I lost weight!\Huh?\Cut it out!\Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right! response:	How many times do I have to tell you? Don't touch them if you can help it!
context: I lost weight!\Huh?\Cut it out!\Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it! response:	And I'll show them how I can jump rope, too!
context: Huh?\Cut it out!\Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too! response:	Of course.
context: Cut it out!\Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course. response:	I bet my mom and dad will be surprised
context: Are we almost there?\Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised response:	to see how you've shot up since the last time.
context: Maybe 10 more minutes...\They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time. response:	I wonder if I'm taller than Auntie now.
context: They'll want to see those wobbly front teeth.\Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now. response:	I don't think you're that tall yet.
context: Right!\How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet. response:	I'll have to tell Grandpa, too.
context: How many times do I have to tell you? Don't touch them if you can help it!\And I'll show them how I can jump rope, too!\Of course.\I bet my mom and dad will be surprised\to see how you've shot up since the last time.\I wonder if I'm taller than Auntie now.\I don't think you're that tall yet.\I'll have to tell Grandpa, too. response:	We're back!
