context: That's right! response:	We're here to save Kagome
context: with the head of our despised enemy's son!\I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru! response:	There is nothing like victory in war!
context: I don't care who he is...\But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war! response:	What victory?
context: But you can't use human blood and flesh to resurrect him!\Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory? response:	We let them go.
context: Well, you're going to be the first!\Come at me!\And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory?\We let them go. response:	I cannot use this sword.
context: Come at me!\And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory?\We let them go.\I cannot use this sword. response:	Tenseiga is a sword of healing.
context: And you'll become fodder for Tetsusaiga!\Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory?\We let them go.\I cannot use this sword.\Tenseiga is a sword of healing. response:	I cannot kill my enemies with it.
context: Ohh!\You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory?\We let them go.\I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it. response:	The other sword that Father left... Tetsusaiga.
context: You are the one, Lord Sesshomaru!\There is nothing like victory in war!\What victory?\We let them go.\I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga. response:	Wind Scar!
context: There is nothing like victory in war!\What victory?\We let them go.\I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar! response:	And to think... I cannot wield that sword Tetsusaiga.
context: What victory?\We let them go.\I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga. response:	Gotcha!
context: We let them go.\I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha! response:	Pinned down like this, you can't use that sword, can you?
context: I cannot use this sword.\Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you? response:	W-What?!
context: Tenseiga is a sword of healing.\I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?! response:	What're you doing?!
context: I cannot kill my enemies with it.\The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?! response:	Stay down, Inuyasha.
context: The other sword that Father left... Tetsusaiga.\Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?!\Stay down, Inuyasha. response:	They are my prey.
context: Wind Scar!\And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?!\Stay down, Inuyasha.\They are my prey. response:	No way!
context: And to think... I cannot wield that sword Tetsusaiga.\Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?!\Stay down, Inuyasha.\They are my prey.\No way! response:	You stay out of this!
context: Gotcha!\Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?!\Stay down, Inuyasha.\They are my prey.\No way!\You stay out of this! response:	Enough!
context: Pinned down like this, you can't use that sword, can you?\W-What?!\What're you doing?!\Stay down, Inuyasha.\They are my prey.\No way!\You stay out of this!\Enough! response:	Why you...!
context: W-What?!\What're you doing?!\Stay down, Inuyasha.\They are my prey.\No way!\You stay out of this!\Enough!\Why you...! response:	Don't get in my way!
context: What're you doing?!\Stay down, Inuyasha.\They are my prey.\No way!\You stay out of this!\Enough!\Why you...!\Don't get in my way! response:	Ohh... Why can't they join forces at a time like this?!
context: Stay down, Inuyasha.\They are my prey.\No way!\You stay out of this!\Enough!\Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?! response:	Why you...!
context: They are my prey.\No way!\You stay out of this!\Enough!\Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...! response:	I do not need any help.
context: No way!\You stay out of this!\Enough!\Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help. response:	Shaddup!
context: You stay out of this!\Enough!\Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help.\Shaddup! response:	They're so reckless!
context: Enough!\Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help.\Shaddup!\They're so reckless! response:	Are they really siblings?
context: Why you...!\Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help.\Shaddup!\They're so reckless!\Are they really siblings? response:	What're they thinking anyway?
context: Don't get in my way!\Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help.\Shaddup!\They're so reckless!\Are they really siblings?\What're they thinking anyway? response:	If they're in disarray, we must stay united.
context: Ohh... Why can't they join forces at a time like this?!\Why you...!\I do not need any help.\Shaddup!\They're so reckless!\Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united. response:	We'll combine all our powers at once.
context: Why you...!\I do not need any help.\Shaddup!\They're so reckless!\Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once. response:	Let's!
context: I do not need any help.\Shaddup!\They're so reckless!\Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's! response:	Okay!
context: Shaddup!\They're so reckless!\Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's!\Okay! response:	Awright!
context: They're so reckless!\Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's!\Okay!\Awright! response:	Give me life!
context: Are they really siblings?\What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's!\Okay!\Awright!\Give me life! response:	Supreme Master!
context: What're they thinking anyway?\If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's!\Okay!\Awright!\Give me life!\Supreme Master! response:	We shall offer you their lives in but a moment!
context: If they're in disarray, we must stay united.\We'll combine all our powers at once.\Let's!\Okay!\Awright!\Give me life!\Supreme Master!\We shall offer you their lives in but a moment! response:	I want it now!
context: We'll combine all our powers at once.\Let's!\Okay!\Awright!\Give me life!\Supreme Master!\We shall offer you their lives in but a moment!\I want it now! response:	Karan!
context: Let's!\Okay!\Awright!\Give me life!\Supreme Master!\We shall offer you their lives in but a moment!\I want it now!\Karan! response:	Master!
context: Okay!\Awright!\Give me life!\Supreme Master!\We shall offer you their lives in but a moment!\I want it now!\Karan!\Master! response:	He... he devoured his own kin to revive himself!
context: Awright!\Give me life!\Supreme Master!\We shall offer you their lives in but a moment!\I want it now!\Karan!\Master!\He... he devoured his own kin to revive himself! response:	You there... The two sons of the Great Dog-Demon.
context: Give me life!\Supreme Master!\We shall offer you their lives in but a moment!\I want it now!\Karan!\Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon. response:	Your turn is next!
context: Supreme Master!\We shall offer you their lives in but a moment!\I want it now!\Karan!\Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next! response:	Shunran!
context: We shall offer you their lives in but a moment!\I want it now!\Karan!\Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran! response:	Karan!
context: I want it now!\Karan!\Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran!\Karan! response:	Shuran!
context: Karan!\Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran!\Karan!\Shuran! response:	He can't have!
context: Master!\He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran!\Karan!\Shuran!\He can't have! response:	Dogs!
context: He... he devoured his own kin to revive himself!\You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran!\Karan!\Shuran!\He can't have!\Dogs! response:	You will now feel my wrath!
context: You there... The two sons of the Great Dog-Demon.\Your turn is next!\Shunran!\Karan!\Shuran!\He can't have!\Dogs!\You will now feel my wrath! response:	You're still mumbling in your sleep!
context: Your turn is next!\Shunran!\Karan!\Shuran!\He can't have!\Dogs!\You will now feel my wrath!\You're still mumbling in your sleep! response:	I'll wake you up!
context: Shunran!\Karan!\Shuran!\He can't have!\Dogs!\You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up! response:	Move!
context: Karan!\Shuran!\He can't have!\Dogs!\You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up!\Move! response:	Wind Scar!
context: Shuran!\He can't have!\Dogs!\You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up!\Move!\Wind Scar! response:	I did it!
context: He can't have!\Dogs!\You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up!\Move!\Wind Scar!\I did it! response:	It didn't work.
context: Dogs!\You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up!\Move!\Wind Scar!\I did it!\It didn't work. response:	You got the strength to fight my old man.
context: You will now feel my wrath!\You're still mumbling in your sleep!\I'll wake you up!\Move!\Wind Scar!\I did it!\It didn't work.\You got the strength to fight my old man. response:	I'll give you that!
context: You're still mumbling in your sleep!\I'll wake you up!\Move!\Wind Scar!\I did it!\It didn't work.\You got the strength to fight my old man.\I'll give you that! response:	But I...
context: I'll wake you up!\Move!\Wind Scar!\I did it!\It didn't work.\You got the strength to fight my old man.\I'll give you that!\But I... response:	Don't get cocky, Inuyasha!
context: Move!\Wind Scar!\I did it!\It didn't work.\You got the strength to fight my old man.\I'll give you that!\But I...\Don't get cocky, Inuyasha! response:	Don't compare him to Ryukotsusei whom you defeated!
context: Wind Scar!\I did it!\It didn't work.\You got the strength to fight my old man.\I'll give you that!\But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated! response:	He has the power of the Sacred Jewel shards now!
context: I did it!\It didn't work.\You got the strength to fight my old man.\I'll give you that!\But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now! response:	It's a huge cat-demon!
context: It didn't work.\You got the strength to fight my old man.\I'll give you that!\But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon! response:	He's resurrected!
context: You got the strength to fight my old man.\I'll give you that!\But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected! response:	But in order to revive...
context: I'll give you that!\But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected!\But in order to revive... response:	he needed live sacrificial offerings.
context: But I...\Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected!\But in order to revive...\he needed live sacrificial offerings. response:	Maybe the dog was offered.
context: Don't get cocky, Inuyasha!\Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected!\But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered. response:	No way!
context: Don't compare him to Ryukotsusei whom you defeated!\He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected!\But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered.\No way! response:	Die!
context: He has the power of the Sacred Jewel shards now!\It's a huge cat-demon!\He's resurrected!\But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered.\No way!\Die! response:	Lord Sesshomaru!
context: It's a huge cat-demon!\He's resurrected!\But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered.\No way!\Die!\Lord Sesshomaru! response:	You can become a part of me, too.
context: He's resurrected!\But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered.\No way!\Die!\Lord Sesshomaru!\You can become a part of me, too. response:	Lord Sesshomaru!
context: But in order to revive...\he needed live sacrificial offerings.\Maybe the dog was offered.\No way!\Die!\Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru! response:	Lord... Sesshomaru...
context: he needed live sacrificial offerings.\Maybe the dog was offered.\No way!\Die!\Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru... response:	Why that...!
context: Maybe the dog was offered.\No way!\Die!\Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru...\Why that...! response:	Tenseiga?
context: No way!\Die!\Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru...\Why that...!\Tenseiga? response:	You want me to draw you?
context: Die!\Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru...\Why that...!\Tenseiga?\You want me to draw you? response:	Father, why did you leave me the Tensaiga?
context: Lord Sesshomaru!\You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru...\Why that...!\Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga? response:	I still do not know.
context: You can become a part of me, too.\Lord Sesshomaru!\Lord... Sesshomaru...\Why that...!\Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know. response:	However...
context: Lord Sesshomaru!\Lord... Sesshomaru...\Why that...!\Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know.\However... response:	That's!
context: Lord... Sesshomaru...\Why that...!\Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know.\However...\That's! response:	What's that sword?
context: Why that...!\Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know.\However...\That's!\What's that sword? response:	It won't work, kid! Its blade is too dull.
context: Tenseiga?\You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know.\However...\That's!\What's that sword?\It won't work, kid! Its blade is too dull. response:	Die!
context: You want me to draw you?\Father, why did you leave me the Tensaiga?\I still do not know.\However...\That's!\What's that sword?\It won't work, kid! Its blade is too dull.\Die! response:	Why?!
context: Father, why did you leave me the Tensaiga?\I still do not know.\However...\That's!\What's that sword?\It won't work, kid! Its blade is too dull.\Die!\Why?! response:	I'm losing...
context: I still do not know.\However...\That's!\What's that sword?\It won't work, kid! Its blade is too dull.\Die!\Why?!\I'm losing... response:	I'm losing...
context: However...\That's!\What's that sword?\It won't work, kid! Its blade is too dull.\Die!\Why?!\I'm losing...\I'm losing... response:	I'm losing my power!
context: That's!\What's that sword?\It won't work, kid! Its blade is too dull.\Die!\Why?!\I'm losing...\I'm losing...\I'm losing my power! response:	B-Bastard, what did you do?!
context: What's that sword?\It won't work, kid! Its blade is too dull.\Die!\Why?!\I'm losing...\I'm losing...\I'm losing my power!\B-Bastard, what did you do?! response:	The rest is up to you and Tetsusaiga.
context: It won't work, kid! Its blade is too dull.\Die!\Why?!\I'm losing...\I'm losing...\I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga. response:	Hold it!
context: Die!\Why?!\I'm losing...\I'm losing...\I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it! response:	Give me...
context: Why?!\I'm losing...\I'm losing...\I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it!\Give me... response:	Give me my soul!
context: I'm losing...\I'm losing...\I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it!\Give me...\Give me my soul! response:	Wind Scar!
context: I'm losing...\I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it!\Give me...\Give me my soul!\Wind Scar! response:	Give me... life!
context: I'm losing my power!\B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it!\Give me...\Give me my soul!\Wind Scar!\Give me... life! response:	I'm taking these back.
context: B-Bastard, what did you do?!\The rest is up to you and Tetsusaiga.\Hold it!\Give me...\Give me my soul!\Wind Scar!\Give me... life!\I'm taking these back. response:	Sis!
context: The rest is up to you and Tetsusaiga.\Hold it!\Give me...\Give me my soul!\Wind Scar!\Give me... life!\I'm taking these back.\Sis! response:	Y-You three!
context: Hold it!\Give me...\Give me my soul!\Wind Scar!\Give me... life!\I'm taking these back.\Sis!\Y-You three! response:	What happened to us?
context: Give me...\Give me my soul!\Wind Scar!\Give me... life!\I'm taking these back.\Sis!\Y-You three!\What happened to us? response:	I thought the master had killed us.
context: Give me my soul!\Wind Scar!\Give me... life!\I'm taking these back.\Sis!\Y-You three!\What happened to us?\I thought the master had killed us. response:	But why?
context: Wind Scar!\Give me... life!\I'm taking these back.\Sis!\Y-You three!\What happened to us?\I thought the master had killed us.\But why? response:	It's because of Lord Sesshomaru's power!
context: Give me... life!\I'm taking these back.\Sis!\Y-You three!\What happened to us?\I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power! response:	Your master took your lives.
context: I'm taking these back.\Sis!\Y-You three!\What happened to us?\I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power!\Your master took your lives. response:	And Lord Sesshomaru used the Tenseiga to restore them.
context: Sis!\Y-You three!\What happened to us?\I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them. response:	Sesshomaru?!
context: Y-You three!\What happened to us?\I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?! response:	Why that...!
context: What happened to us?\I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...! response:	Hey, you should be grateful!
context: I thought the master had killed us.\But why?\It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...!\Hey, you should be grateful! response:	Right, Lord Sesshomaru?
context: But why?\It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru? response:	Huh? Lord Sesshomaru?
context: It's because of Lord Sesshomaru's power!\Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru? response:	Oh, don't leave me!
context: Your master took your lives.\And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me! response:	So whaddya want?
context: And Lord Sesshomaru used the Tenseiga to restore them.\Sesshomaru?!\Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want? response:	Shall we continue our fight?
context: Sesshomaru?!\Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want?\Shall we continue our fight? response:	No, we'll return to the west.
context: Why that...!\Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want?\Shall we continue our fight?\No, we'll return to the west. response:	Sis!
context: Hey, you should be grateful!\Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want?\Shall we continue our fight?\No, we'll return to the west.\Sis! response:	It's over.
context: Right, Lord Sesshomaru?\Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want?\Shall we continue our fight?\No, we'll return to the west.\Sis!\It's over. response:	There's no reason to seek revenge anymore.
context: Huh? Lord Sesshomaru?\Oh, don't leave me!\So whaddya want?\Shall we continue our fight?\No, we'll return to the west.\Sis!\It's over.\There's no reason to seek revenge anymore. response:	Tell that to Sesshomaru.
context: Oh, don't leave me!\So whaddya want?\Shall we continue our fight?\No, we'll return to the west.\Sis!\It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru. response:	We're not that close.
context: So whaddya want?\Shall we continue our fight?\No, we'll return to the west.\Sis!\It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close. response:	You should know that.
context: Shall we continue our fight?\No, we'll return to the west.\Sis!\It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close.\You should know that. response:	Well, when you feel like talking to him.
context: No, we'll return to the west.\Sis!\It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close.\You should know that.\Well, when you feel like talking to him. response:	Yeah.
context: Sis!\It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close.\You should know that.\Well, when you feel like talking to him.\Yeah. response:	We've been saved!
context: It's over.\There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close.\You should know that.\Well, when you feel like talking to him.\Yeah.\We've been saved! response:	The cat-demons won't be back.
context: There's no reason to seek revenge anymore.\Tell that to Sesshomaru.\We're not that close.\You should know that.\Well, when you feel like talking to him.\Yeah.\We've been saved!\The cat-demons won't be back. response:	So you're safe now.
context: Tell that to Sesshomaru.\We're not that close.\You should know that.\Well, when you feel like talking to him.\Yeah.\We've been saved!\The cat-demons won't be back.\So you're safe now. response:	Thank you so much!
context: We're not that close.\You should know that.\Well, when you feel like talking to him.\Yeah.\We've been saved!\The cat-demons won't be back.\So you're safe now.\Thank you so much! response:	Thanks to you, we can live here in peace now.
context: You should know that.\Well, when you feel like talking to him.\Yeah.\We've been saved!\The cat-demons won't be back.\So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now. response:	We'll be off now.
context: Well, when you feel like talking to him.\Yeah.\We've been saved!\The cat-demons won't be back.\So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now. response:	Oh...
context: Yeah.\We've been saved!\The cat-demons won't be back.\So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now.\Oh... response:	I wasn't able to help Lord Sesshomaru again!
context: We've been saved!\The cat-demons won't be back.\So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again! response:	It's too late.
context: The cat-demons won't be back.\So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late. response:	Just forget it.
context: So you're safe now.\Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it. response:	With these guys around,
context: Thank you so much!\Thanks to you, we can live here in peace now.\We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it.\With these guys around, response:	no wonder the mortals are scared.
context: Thanks to you, we can live here in peace now.\We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it.\With these guys around,\no wonder the mortals are scared. response:	What a burden to be lumped in with them!
context: We'll be off now.\Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it.\With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them! response:	I'll say!
context: Oh...\I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it.\With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say! response:	Hey mutt! You expect those mortals to thank you?
context: I wasn't able to help Lord Sesshomaru again!\It's too late.\Just forget it.\With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you? response:	What?!
context: It's too late.\Just forget it.\With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you?\What?! response:	By the way, we still have a score to settle.
context: Just forget it.\With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle. response:	Hey! Anytime!
context: With these guys around,\no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle.\Hey! Anytime! response:	Don't get wise!
context: no wonder the mortals are scared.\What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise! response:	Inuyasha! Sit!
context: What a burden to be lumped in with them!\I'll say!\Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise!\Inuyasha! Sit! response:	What're you doing anyway?!
context: I'll say!\Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise!\Inuyasha! Sit!\What're you doing anyway?! response:	Damn!
context: Hey mutt! You expect those mortals to thank you?\What?!\By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise!\Inuyasha! Sit!\What're you doing anyway?!\Damn! response:	In the mountains... In the forest...
context: What?!\By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise!\Inuyasha! Sit!\What're you doing anyway?!\Damn!\In the mountains... In the forest... response:	In the wind...
context: By the way, we still have a score to settle.\Hey! Anytime!\Don't get wise!\Inuyasha! Sit!\What're you doing anyway?!\Damn!\In the mountains... In the forest...\In the wind... response:	In my dreams...
context: Hey! Anytime!\Don't get wise!\Inuyasha! Sit!\What're you doing anyway?!\Damn!\In the mountains... In the forest...\In the wind...\In my dreams... response:	Lord Sesshomaru, where are you?
context: Don't get wise!\Inuyasha! Sit!\What're you doing anyway?!\Damn!\In the mountains... In the forest...\In the wind...\In my dreams...\Lord Sesshomaru, where are you? response:	With faithful Jaken at your heels...
context: Inuyasha! Sit!\What're you doing anyway?!\Damn!\In the mountains... In the forest...\In the wind...\In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels... response:	Rin.
context: What're you doing anyway?!\Damn!\In the mountains... In the forest...\In the wind...\In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin. response:	Huh?
context: Damn!\In the mountains... In the forest...\In the wind...\In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin.\Huh? response:	Oh! Lord Sesshomaru!
context: In the mountains... In the forest...\In the wind...\In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin.\Huh?\Oh! Lord Sesshomaru! response:	Let us go.
context: In the wind...\In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin.\Huh?\Oh! Lord Sesshomaru!\Let us go. response:	C'mon.
context: In my dreams...\Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin.\Huh?\Oh! Lord Sesshomaru!\Let us go.\C'mon. response:	Okay!
context: Lord Sesshomaru, where are you?\With faithful Jaken at your heels...\Rin.\Huh?\Oh! Lord Sesshomaru!\Let us go.\C'mon.\Okay! response:	I will wait all alone.
