context: A spider on his back... response:	Yes. According to Inuyasha...
context: I was not!\You were!\We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here!\Meany! response:	So it's appeared!
context: You were!\We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here!\Meany!\So it's appeared! response:	Die!
context: We should go back now.\I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here!\Meany!\So it's appeared!\Die! response:	The spirit is safe.
context: I'm worried about the late princess' soul.\Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here!\Meany!\So it's appeared!\Die!\The spirit is safe. response:	But is this it? How boring.
context: Please don't go, Master Monk!\I'm so afraid!\Oh dear! You are very safe here!\Meany!\So it's appeared!\Die!\The spirit is safe.\But is this it? How boring. response:	Wait... There's still something outside.
context: I'm so afraid!\Oh dear! You are very safe here!\Meany!\So it's appeared!\Die!\The spirit is safe.\But is this it? How boring.\Wait... There's still something outside. response:	It wasn't just one.
context: Oh dear! You are very safe here!\Meany!\So it's appeared!\Die!\The spirit is safe.\But is this it? How boring.\Wait... There's still something outside.\It wasn't just one. response:	They're all carrying human souls!
context: Meany!\So it's appeared!\Die!\The spirit is safe.\But is this it? How boring.\Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls! response:	So many!
context: So it's appeared!\Die!\The spirit is safe.\But is this it? How boring.\Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls!\So many! response:	What're they going to do with them?
context: Die!\The spirit is safe.\But is this it? How boring.\Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls!\So many!\What're they going to do with them? response:	Let's go after them! Right now!
context: The spirit is safe.\But is this it? How boring.\Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls!\So many!\What're they going to do with them?\Let's go after them! Right now! response:	Master Monk... Please wait!
context: But is this it? How boring.\Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls!\So many!\What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait! response:	What were you doing?!
context: Wait... There's still something outside.\It wasn't just one.\They're all carrying human souls!\So many!\What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?! response:	I suspect that this princess too is a demon...
context: It wasn't just one.\They're all carrying human souls!\So many!\What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon... response:	Little fox, you're also a meany!
context: They're all carrying human souls!\So many!\What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany! response:	I'm sorry!
context: So many!\What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry! response:	Priestess Kikyo seems a bit depressed.
context: What're they going to do with them?\Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed. response:	It must be that monk's fault...
context: Let's go after them! Right now!\Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault... response:	I don't know what holds you back here...
context: Master Monk... Please wait!\What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here... response:	but this world is not for you.
context: What were you doing?!\I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you. response:	Return to where you belong!
context: I suspect that this princess too is a demon...\Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you.\Return to where you belong! response:	I can't sleep.
context: Little fox, you're also a meany!\I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\I can't sleep. response:	Priestess Kikyo...
context: I'm sorry!\Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\I can't sleep.\Priestess Kikyo... response:	Where is she going so late at night?
context: Priestess Kikyo seems a bit depressed.\It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\I can't sleep.\Priestess Kikyo...\Where is she going so late at night? response:	Because of those words this afternoon...
context: It must be that monk's fault...\I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\I can't sleep.\Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon... response:	maybe she's going someplace far away...
context: I don't know what holds you back here...\but this world is not for you.\Return to where you belong!\I can't sleep.\Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away... response:	Souls of tragic women...
context: but this world is not for you.\Return to where you belong!\I can't sleep.\Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women... response:	Come to me.
context: Return to where you belong!\I can't sleep.\Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women...\Come to me. response:	Priestess Kikyo is manipulating the demons...
context: I can't sleep.\Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons... response:	You cannot cross to the netherworld, Priestess?
context: Priestess Kikyo...\Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess? response:	You are one who has died.
context: Where is she going so late at night?\Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died. response:	Please overlook my presence.
context: Because of those words this afternoon...\maybe she's going someplace far away...\Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence. response:	I want to live quietly in this village.
context: maybe she's going someplace far away...\Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence.\I want to live quietly in this village. response:	If you want to live quietly...
context: Souls of tragic women...\Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly... response:	why do you gather the souls of the dead?
context: Come to me.\Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead? response:	Well, that's...
context: Priestess Kikyo is manipulating the demons...\You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead?\Well, that's... response:	It seems that you cannot sustain that body...
context: You cannot cross to the netherworld, Priestess?\You are one who has died.\Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body... response:	without those souls.
context: You are one who has died.\Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body...\without those souls. response:	What are you... going to do?
context: Please overlook my presence.\I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body...\without those souls.\What are you... going to do? response:	I will return you to where you belong!
context: I want to live quietly in this village.\If you want to live quietly...\why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body...\without those souls.\What are you... going to do?\I will return you to where you belong! response:	I do this for your sake!
context: If you want to live quietly...\why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body...\without those souls.\What are you... going to do?\I will return you to where you belong!\I do this for your sake! response:	You cannot escape my Demon-Binding Spell!
context: why do you gather the souls of the dead?\Well, that's...\It seems that you cannot sustain that body...\without those souls.\What are you... going to do?\I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell! response:	I will extinguish your light! Save your soul!
context: Well, that's...\It seems that you cannot sustain that body...\without those souls.\What are you... going to do?\I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul! response:	Save?
context: It seems that you cannot sustain that body...\without those souls.\What are you... going to do?\I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save? response:	You?! Save my soul?!
context: without those souls.\What are you... going to do?\I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save?\You?! Save my soul?! response:	If you hadn't interfered, you wouldn't have died.
context: What are you... going to do?\I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died. response:	Just what... are you trying to do?
context: I will return you to where you belong!\I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do? response:	The living are carving new moments in their lives.
context: I do this for your sake!\You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives. response:	But... Time has stopped for the dead, like you.
context: You cannot escape my Demon-Binding Spell!\I will extinguish your light! Save your soul!\Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you. response:	It can never mix.
context: I will extinguish your light! Save your soul!\Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix. response:	How sad...
context: Save?\You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix.\How sad... response:	Sad, you say?
context: You?! Save my soul?!\If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix.\How sad...\Sad, you say? response:	Me?
context: If you hadn't interfered, you wouldn't have died.\Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix.\How sad...\Sad, you say?\Me? response:	Who's there!?
context: Just what... are you trying to do?\The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix.\How sad...\Sad, you say?\Me?\Who's there!? response:	Sayo...
context: The living are carving new moments in their lives.\But... Time has stopped for the dead, like you.\It can never mix.\How sad...\Sad, you say?\Me?\Who's there!?\Sayo... response:	Were you... watching?
context: But... Time has stopped for the dead, like you.\It can never mix.\How sad...\Sad, you say?\Me?\Who's there!?\Sayo...\Were you... watching? response:	Sayo...
context: It can never mix.\How sad...\Sad, you say?\Me?\Who's there!?\Sayo...\Were you... watching?\Sayo... response:	I'm sorry. I frightened you.
context: How sad...\Sad, you say?\Me?\Who's there!?\Sayo...\Were you... watching?\Sayo...\I'm sorry. I frightened you. response:	Priestess Kikyo...
context: Sad, you say?\Me?\Who's there!?\Sayo...\Were you... watching?\Sayo...\I'm sorry. I frightened you.\Priestess Kikyo... response:	Good bye...
context: Me?\Who's there!?\Sayo...\Were you... watching?\Sayo...\I'm sorry. I frightened you.\Priestess Kikyo...\Good bye... response:	I'm sorry.
context: Who's there!?\Sayo...\Were you... watching?\Sayo...\I'm sorry. I frightened you.\Priestess Kikyo...\Good bye...\I'm sorry. response:	Let's go.
context: Sayo...\Were you... watching?\Sayo...\I'm sorry. I frightened you.\Priestess Kikyo...\Good bye...\I'm sorry.\Let's go. response:	We have to save the souls of those women.
context: Were you... watching?\Sayo...\I'm sorry. I frightened you.\Priestess Kikyo...\Good bye...\I'm sorry.\Let's go.\We have to save the souls of those women. response:	Huh?
context: Sayo...\I'm sorry. I frightened you.\Priestess Kikyo...\Good bye...\I'm sorry.\Let's go.\We have to save the souls of those women.\Huh? response:	So where?
context: I'm sorry. I frightened you.\Priestess Kikyo...\Good bye...\I'm sorry.\Let's go.\We have to save the souls of those women.\Huh?\So where? response:	Well...
context: Priestess Kikyo...\Good bye...\I'm sorry.\Let's go.\We have to save the souls of those women.\Huh?\So where?\Well... response:	The demon who stole the souls disappeared without leaving a clue.
context: Good bye...\I'm sorry.\Let's go.\We have to save the souls of those women.\Huh?\So where?\Well...\The demon who stole the souls disappeared without leaving a clue. response:	It's no use returning to that mansion.
context: I'm sorry.\Let's go.\We have to save the souls of those women.\Huh?\So where?\Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion. response:	Isn't it that you don't want to return?
context: Let's go.\We have to save the souls of those women.\Huh?\So where?\Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return? response:	That young princess was really smitten with you.
context: We have to save the souls of those women.\Huh?\So where?\Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you. response:	Ahem...
context: Huh?\So where?\Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem... response:	Are you tired of this?
context: So where?\Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem...\Are you tired of this? response:	Think about it... What's the point in all this?
context: Well...\The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem...\Are you tired of this?\Think about it... What's the point in all this? response:	It's not like we'll find a Sacred Jewel fragment.
context: The demon who stole the souls disappeared without leaving a clue.\It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem...\Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment. response:	Not again!
context: It's no use returning to that mansion.\Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem...\Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again! response:	Look, we're helping people.
context: Isn't it that you don't want to return?\That young princess was really smitten with you.\Ahem...\Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people. response:	And that's what I'm tired of!
context: That young princess was really smitten with you.\Ahem...\Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people.\And that's what I'm tired of! response:	I'm gonna be a great demon someday...
context: Ahem...\Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday... response:	so why must I help petty humans?
context: Are you tired of this?\Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans? response:	Acting like a villain!
context: Think about it... What's the point in all this?\It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain! response:	When you're actually quite a saint.
context: It's not like we'll find a Sacred Jewel fragment.\Not again!\Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint. response:	W-what?!
context: Not again!\Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint.\W-what?! response:	Don't put me down!
context: Look, we're helping people.\And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint.\W-what?!\Don't put me down! response:	I'm flattering you.
context: And that's what I'm tired of!\I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint.\W-what?!\Don't put me down!\I'm flattering you. response:	Anyway, I don't like this, so I'm out.
context: I'm gonna be a great demon someday...\so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint.\W-what?!\Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out. response:	Understand?
context: so why must I help petty humans?\Acting like a villain!\When you're actually quite a saint.\W-what?!\Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand? response:	Are you listening?!
context: Acting like a villain!\When you're actually quite a saint.\W-what?!\Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand?\Are you listening?! response:	What's that?
context: When you're actually quite a saint.\W-what?!\Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand?\Are you listening?!\What's that? response:	An octopus!
context: W-what?!\Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand?\Are you listening?!\What's that?\An octopus! response:	It's a person!
context: Don't put me down!\I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand?\Are you listening?!\What's that?\An octopus!\It's a person! response:	That's terrible!
context: I'm flattering you.\Anyway, I don't like this, so I'm out.\Understand?\Are you listening?!\What's that?\An octopus!\It's a person!\That's terrible! response:	Hurry!
context: Anyway, I don't like this, so I'm out.\Understand?\Are you listening?!\What's that?\An octopus!\It's a person!\That's terrible!\Hurry! response:	W-what?!
context: Understand?\Are you listening?!\What's that?\An octopus!\It's a person!\That's terrible!\Hurry!\W-what?! response:	Help someone!
context: Are you listening?!\What's that?\An octopus!\It's a person!\That's terrible!\Hurry!\W-what?!\Help someone! response:	This priest is just unconscious.
context: What's that?\An octopus!\It's a person!\That's terrible!\Hurry!\W-what?!\Help someone!\This priest is just unconscious. response:	He's moaning.
context: An octopus!\It's a person!\That's terrible!\Hurry!\W-what?!\Help someone!\This priest is just unconscious.\He's moaning. response:	What?! Don't scare us!
context: It's a person!\That's terrible!\Hurry!\W-what?!\Help someone!\This priest is just unconscious.\He's moaning.\What?! Don't scare us! response:	What about Kagome?
context: That's terrible!\Hurry!\W-what?!\Help someone!\This priest is just unconscious.\He's moaning.\What?! Don't scare us!\What about Kagome? response:	A demon?
context: Hurry!\W-what?!\Help someone!\This priest is just unconscious.\He's moaning.\What?! Don't scare us!\What about Kagome?\A demon? response:	Yes...
context: W-what?!\Help someone!\This priest is just unconscious.\He's moaning.\What?! Don't scare us!\What about Kagome?\A demon?\Yes... response:	You say that Kagome looks like that demon.
context: Help someone!\This priest is just unconscious.\He's moaning.\What?! Don't scare us!\What about Kagome?\A demon?\Yes...\You say that Kagome looks like that demon. response:	She was in human form...
context: This priest is just unconscious.\He's moaning.\What?! Don't scare us!\What about Kagome?\A demon?\Yes...\You say that Kagome looks like that demon.\She was in human form... response:	but in actuality, a frightening demon!
context: He's moaning.\What?! Don't scare us!\What about Kagome?\A demon?\Yes...\You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon! response:	That priestess.
context: What?! Don't scare us!\What about Kagome?\A demon?\Yes...\You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon!\That priestess. response:	A priestess... who resembles me?
context: What about Kagome?\A demon?\Yes...\You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me? response:	She was able to deflect my master's spiritual powers.
context: A demon?\Yes...\You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers. response:	Oh yes...
context: Yes...\You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes... response:	Her name... was Kikyo.
context: You say that Kagome looks like that demon.\She was in human form...\but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo. response:	If you're lying, you'll really pay!
context: She was in human form...\but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay! response:	I'm not lying.
context: but in actuality, a frightening demon!\That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying. response:	That woman lured away Ionely souls of dead women...
context: That priestess.\A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women... response:	Never mind that!
context: A priestess... who resembles me?\She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that! response:	The name! How do you know her name was Kikyo?!
context: She was able to deflect my master's spiritual powers.\Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?! response:	The village children addressed her so.
context: Oh yes...\Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so. response:	I'm not mistaken... They called her Kikyo.
context: Her name... was Kikyo.\If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo. response:	The stolen souls...
context: If you're lying, you'll really pay!\I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls... response:	were being accumulated by Kikyo?
context: I'm not lying.\That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo? response:	Kikyo...
context: That woman lured away Ionely souls of dead women...\Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo?\Kikyo... response:	Are you still in this world?
context: Never mind that!\The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo?\Kikyo...\Are you still in this world? response:	Didn't...you die on that day?!
context: The name! How do you know her name was Kikyo?!\The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo?\Kikyo...\Are you still in this world?\Didn't...you die on that day?! response:	She's still alive!
context: The village children addressed her so.\I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo?\Kikyo...\Are you still in this world?\Didn't...you die on that day?!\She's still alive! response:	If she walks this earth...!
context: I'm not mistaken... They called her Kikyo.\The stolen souls...\were being accumulated by Kikyo?\Kikyo...\Are you still in this world?\Didn't...you die on that day?!\She's still alive!\If she walks this earth...! response:	I...want...to save you!
context: The stolen souls...\were being accumulated by Kikyo?\Kikyo...\Are you still in this world?\Didn't...you die on that day?!\She's still alive!\If she walks this earth...!\I...want...to save you! response:	Was it wise to let Inuyasha go alone?
context: were being accumulated by Kikyo?\Kikyo...\Are you still in this world?\Didn't...you die on that day?!\She's still alive!\If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone? response:	He shot off like a bullet.
context: Kikyo...\Are you still in this world?\Didn't...you die on that day?!\She's still alive!\If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet. response:	Inuyasha still probably loves Kikyo.
context: Are you still in this world?\Didn't...you die on that day?!\She's still alive!\If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo. response:	What?!
context: Didn't...you die on that day?!\She's still alive!\If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?! response:	That's why it's better if we stay away...
context: She's still alive!\If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away... response:	Why?
context: If she walks this earth...!\I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away...\Why? response:	I think I understand.
context: I...want...to save you!\Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away...\Why?\I think I understand. response:	Huh?
context: Was it wise to let Inuyasha go alone?\He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away...\Why?\I think I understand.\Huh? response:	The woman he once loved may have changed.
context: He shot off like a bullet.\Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away...\Why?\I think I understand.\Huh?\The woman he once loved may have changed. response:	If so...
context: Inuyasha still probably loves Kikyo.\What?!\That's why it's better if we stay away...\Why?\I think I understand.\Huh?\The woman he once loved may have changed.\If so... response:	he would not want others to see her.
context: What?!\That's why it's better if we stay away...\Why?\I think I understand.\Huh?\The woman he once loved may have changed.\If so...\he would not want others to see her. response:	What're you talking about?
context: That's why it's better if we stay away...\Why?\I think I understand.\Huh?\The woman he once loved may have changed.\If so...\he would not want others to see her.\What're you talking about? response:	She may turn out better than before.
context: Why?\I think I understand.\Huh?\The woman he once loved may have changed.\If so...\he would not want others to see her.\What're you talking about?\She may turn out better than before. response:	Then what?
context: I think I understand.\Huh?\The woman he once loved may have changed.\If so...\he would not want others to see her.\What're you talking about?\She may turn out better than before.\Then what? response:	Well, I'd get back with her...
context: Huh?\The woman he once loved may have changed.\If so...\he would not want others to see her.\What're you talking about?\She may turn out better than before.\Then what?\Well, I'd get back with her... response:	Oh, I see...
context: The woman he once loved may have changed.\If so...\he would not want others to see her.\What're you talking about?\She may turn out better than before.\Then what?\Well, I'd get back with her...\Oh, I see... response:	She seemed awfully cold just now.
context: If so...\he would not want others to see her.\What're you talking about?\She may turn out better than before.\Then what?\Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now. response:	I don't think you imagined that.
context: he would not want others to see her.\What're you talking about?\She may turn out better than before.\Then what?\Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that. response:	This is so maddening...!
context: What're you talking about?\She may turn out better than before.\Then what?\Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...! response:	What is Inuyasha up to?!
context: She may turn out better than before.\Then what?\Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?! response:	Err... Kagome.
context: Then what?\Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?!\Err... Kagome. response:	What is it?
context: Well, I'd get back with her...\Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?!\Err... Kagome.\What is it? response:	Umm... Shall we go after Inuyasha?
context: Oh, I see...\She seemed awfully cold just now.\I don't think you imagined that.\This is so maddening...!\What is Inuyasha up to?!\Err... Kagome.\What is it?\Umm... Shall we go after Inuyasha? response:	No way!
