context: What's that? response:	Is this for some kind of advertising campaign?
context: I spent all that time practicing,\but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part. response:	Oh? Really?
context: but I can't take any cards!\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really? response:	Luck of the draw, more or less.
context: Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really?\Luck of the draw, more or less. response:	Anyway, Mashima.
context: Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima. response:	I don't mind putting Ayase in the middle for now,
context: Yes! That's one win!\Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now, response:	but won't we need to rethink our order
context: Gloom\I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order response:	when we face stronger schools?
context: I'm guessing that Komano was up against Eikou's strongest player.\Bad luck on your part.\Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools? response:	Yeah.
context: Bad luck on your part.\Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools?\Yeah. response:	Will Hokuo use a standard order?
context: Oh? Really?\Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools?\Yeah.\Will Hokuo use a standard order? response:	Who are the two Class A Hokuo players?
context: Luck of the draw, more or less.\Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools?\Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players? response:	We just need you, me, and Ayase to win.
context: Anyway, Mashima.\I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools?\Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win. response:	So we should try to
context: I don't mind putting Ayase in the middle for now,\but won't we need to rethink our order\when we face stronger schools?\Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to response:	match Kana-chan and Desktomu-kun against the Class A players.
context: but won't we need to rethink our order\when we face stronger schools?\Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players. response:	That would be...
context: when we face stronger schools?\Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be... response:	That's right. Where's Chihaya-chan?
context: Yeah.\Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan? response:	She's over there sending a text.
context: Will Hokuo use a standard order?\Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text. response:	Again?
context: Who are the two Class A Hokuo players?\We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text.\Again? response:	She's been sending a lot of texts recently.
context: We just need you, me, and Ayase to win.\So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text.\Again?\She's been sending a lot of texts recently. response:	It must be him, you know?
context: So we should try to\match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text.\Again?\She's been sending a lot of texts recently.\It must be him, you know? response:	Wataya Arata.
context: match Kana-chan and Desktomu-kun against the Class A players.\That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text.\Again?\She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata. response:	Who's that?
context: That would be...\That's right. Where's Chihaya-chan?\She's over there sending a text.\Again?\She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata.\Who's that? response:	The person who taught Ayase karuta.
context: That's right. Where's Chihaya-chan?\She's over there sending a text.\Again?\She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata.\Who's that?\The person who taught Ayase karuta. response:	He's ridiculously good.
context: She's over there sending a text.\Again?\She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata.\Who's that?\The person who taught Ayase karuta.\He's ridiculously good. response:	He's in Fukui right now,
context: Again?\She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata.\Who's that?\The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now, response:	so Ayase must have started a karuta club
context: She's been sending a lot of texts recently.\It must be him, you know?\Wataya Arata.\Who's that?\The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club response:	so she could see him at nationals.
context: It must be him, you know?\Wataya Arata.\Who's that?\The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals. response:	Swift!
context: Wataya Arata.\Who's that?\The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals.\Swift! response:	Swift waters parted by the jagged rocks!
context: Who's that?\The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks! response:	Well, she's obsessed with karuta,
context: The person who taught Ayase karuta.\He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta, response:	so I'm pretty sure she just wants to play strong opponents.
context: He's ridiculously good.\He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents. response:	Let's get going.
context: He's in Fukui right now,\so Ayase must have started a karuta club\so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going. response:	It's time for our second match.
context: so Ayase must have started a karuta club\so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match. response:	Is our next opponent, Shuryukan, strong?
context: so she could see him at nationals.\Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong? response:	They're pretty serious about karuta.
context: Swift!\Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta. response:	But you can take it easy, Kana-chan.
context: Swift waters parted by the jagged rocks!\Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan. response:	Oh, okay!
context: Well, she's obsessed with karuta,\so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay! response:	now the flower blooms
context: so I'm pretty sure she just wants to play strong opponents.\Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms response:	No more can we hear the sounds of the waterfall
context: Let's get going.\It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall response:	Got it!
context: It's time for our second match.\Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall\Got it! response:	Sorry about that.
context: Is our next opponent, Shuryukan, strong?\They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall\Got it!\Sorry about that. response:	I swung too hard.
context: They're pretty serious about karuta.\But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall\Got it!\Sorry about that.\I swung too hard. response:	My life means nothing after all the agonizing I have endured,
context: But you can take it easy, Kana-chan.\Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall\Got it!\Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured, response:	Thank you very much.
context: Oh, okay!\now the flower blooms\No more can we hear the sounds of the waterfall\Got it!\Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much. response:	Kana-chan won!
context: now the flower blooms\No more can we hear the sounds of the waterfall\Got it!\Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won! response:	Nice job! It's your first victory!
context: No more can we hear the sounds of the waterfall\Got it!\Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won!\Nice job! It's your first victory! response:	Yes!
context: Got it!\Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won!\Nice job! It's your first victory!\Yes! response:	You can do it, Desktomu-kun!
context: Sorry about that.\I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won!\Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun! response:	I feel as though my body is on fire with Ibuki mugwort
context: I swung too hard.\My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won!\Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort response:	My fear is that you will forget your promise to never forget me,
context: My life means nothing after all the agonizing I have endured,\Thank you very much.\Kana-chan won!\Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me, response:	Thank you very much!
context: Thank you very much.\Kana-chan won!\Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much! response:	That was my first win!
context: Kana-chan won!\Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win! response:	That's great, Kana-chan! Congrats!
context: Nice job! It's your first victory!\Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats! response:	Thank you so much!
context: Yes!\You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much! response:	Shuryukan must have something against men.
context: You can do it, Desktomu-kun!\I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men. response:	Yeah.
context: I feel as though my body is on fire with Ibuki mugwort\My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men.\Yeah. response:	I almost lost'cause my opponent had a scary face.
context: My fear is that you will forget your promise to never forget me,\Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face. response:	Group B Preliminaries
context: Thank you very much!\That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries response:	Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy
context: That was my first win!\That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy response:	Today was the first time I've ever felt like I was the one attacking.
context: That's great, Kana-chan! Congrats!\Thank you so much!\Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking. response:	It feels so good when you take a card from the bottom right side
context: Thank you so much!\Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side response:	of the opponent's field!
context: Shuryukan must have something against men.\Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field! response:	I know what you mean!
context: Yeah.\I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean! response:	We've made it out of the group stage.
context: I almost lost'cause my opponent had a scary face.\Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean!\We've made it out of the group stage. response:	We just have to win two more matches to win the tournament.
context: Group B Preliminaries\Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament. response:	I think we have a shot.
context: Eikou University High School Mizusawa High School Shuryukan Hanasaki Academy\Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot. response:	But if we lose once, it's over.
context: Today was the first time I've ever felt like I was the one attacking.\It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over. response:	That's why I think we should change the order
context: It feels so good when you take a card from the bottom right side\of the opponent's field!\I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order response:	so the three of us can't lose!
context: of the opponent's field!\I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose! response:	Our next opponent, Tomihara West High School,
context: I know what you mean!\We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School, response:	has one really strong player!
context: We've made it out of the group stage.\We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player! response:	Then we should match Desktomu-kun against that player!
context: We just have to win two more matches to win the tournament.\I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player! response:	We don't know what order they're going to use.
context: I think we have a shot.\But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use. response:	Chihaya-chan!
context: But if we lose once, it's over.\That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan! response:	Um, excuse me.
context: That's why I think we should change the order\so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me. response:	Can I go home now?
context: so the three of us can't lose!\Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me.\Can I go home now? response:	Huh?
context: Our next opponent, Tomihara West High School,\has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me.\Can I go home now?\Huh? response:	What are you saying, Desktomu-kun?!
context: has one really strong player!\Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me.\Can I go home now?\Huh?\What are you saying, Desktomu-kun?! response:	Stupid, you can't leave now.
context: Then we should match Desktomu-kun against that player!\We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me.\Can I go home now?\Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now. response:	But you'll have enough wins without me,
context: We don't know what order they're going to use.\Chihaya-chan!\Um, excuse me.\Can I go home now?\Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me, response:	and I can't beat anyone.
context: Chihaya-chan!\Um, excuse me.\Can I go home now?\Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone. response:	Y-You don't need to worry about that.
context: Um, excuse me.\Can I go home now?\Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that. response:	Don't get all cocky because you lucked into a win!
context: Can I go home now?\Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win! response:	Huh?
context: Huh?\What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh? response:	What's wrong with you?!
context: What are you saying, Desktomu-kun?!\Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?! response:	I'm only here because you need five people
context: Stupid, you can't leave now.\But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?!\I'm only here because you need five people response:	to make it to the national tournament!
context: But you'll have enough wins without me,\and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament! response:	Anyone could take my spot!
context: and I can't beat anyone.\Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot! response:	You don't need Oe-san or me!
context: Y-You don't need to worry about that.\Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me! response:	That's not true, Desktomu-kun!
context: Don't get all cocky because you lucked into a win!\Huh?\What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun! response:	It is!
context: Huh?\What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is! response:	Your goal is to reach the national tournament
context: What's wrong with you?!\I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament response:	because there's someone you want to meet!
context: I'm only here because you need five people\to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament\because there's someone you want to meet! response:	Huh?
context: to make it to the national tournament!\Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament\because there's someone you want to meet!\Huh? response:	That's all you care about!
context: Anyone could take my spot!\You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament\because there's someone you want to meet!\Huh?\That's all you care about! response:	Anyway, I'm going home.
context: You don't need Oe-san or me!\That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament\because there's someone you want to meet!\Huh?\That's all you care about!\Anyway, I'm going home. response:	There's a test coming up,
context: That's not true, Desktomu-kun!\It is!\Your goal is to reach the national tournament\because there's someone you want to meet!\Huh?\That's all you care about!\Anyway, I'm going home.\There's a test coming up, response:	and I didn't get any sleep last night.
context: It is!\Your goal is to reach the national tournament\because there's someone you want to meet!\Huh?\That's all you care about!\Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night. response:	Komano.
context: Your goal is to reach the national tournament\because there's someone you want to meet!\Huh?\That's all you care about!\Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night.\Komano. response:	I'll let you skip the semi-finals,
context: because there's someone you want to meet!\Huh?\That's all you care about!\Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals, response:	but you'll be playing in the finals.
context: Huh?\That's all you care about!\Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals. response:	That's an order.
context: That's all you care about!\Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order. response:	Taichi!
context: Anyway, I'm going home.\There's a test coming up,\and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order.\Taichi! response:	He can't take any cards with that mindset.
context: There's a test coming up,\and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order.\Taichi!\He can't take any cards with that mindset. response:	That's right!
context: and I didn't get any sleep last night.\Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order.\Taichi!\He can't take any cards with that mindset.\That's right! response:	Just forget about him.
context: Komano.\I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order.\Taichi!\He can't take any cards with that mindset.\That's right!\Just forget about him. response:	It's not his fault!
context: I'll let you skip the semi-finals,\but you'll be playing in the finals.\That's an order.\Taichi!\He can't take any cards with that mindset.\That's right!\Just forget about him.\It's not his fault! response:	We're still playing karuta individually.
context: but you'll be playing in the finals.\That's an order.\Taichi!\He can't take any cards with that mindset.\That's right!\Just forget about him.\It's not his fault!\We're still playing karuta individually. response:	We aren't a team yet...
context: That's an order.\Taichi!\He can't take any cards with that mindset.\That's right!\Just forget about him.\It's not his fault!\We're still playing karuta individually.\We aren't a team yet... response:	Huh?
context: Taichi!\He can't take any cards with that mindset.\That's right!\Just forget about him.\It's not his fault!\We're still playing karuta individually.\We aren't a team yet...\Huh? response:	Anyway, we have to win and make it to the finals.
context: He can't take any cards with that mindset.\That's right!\Just forget about him.\It's not his fault!\We're still playing karuta individually.\We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals. response:	The four of us need to score three wins.
context: That's right!\Just forget about him.\It's not his fault!\We're still playing karuta individually.\We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins. response:	So we can play with Komano again.
context: Just forget about him.\It's not his fault!\We're still playing karuta individually.\We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again. response:	I will now read Mizusawa High School's order.
context: It's not his fault!\We're still playing karuta individually.\We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order. response:	Chihaya, you definitely can't lose.
context: We're still playing karuta individually.\We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose. response:	Huh?
context: We aren't a team yet...\Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh? response:	I'm only here because you need five people to make
context: Huh?\Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make response:	it to the national tournament!
context: Anyway, we have to win and make it to the finals.\The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make\it to the national tournament! response:	Oh, no...
context: The four of us need to score three wins.\So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make\it to the national tournament!\Oh, no... response:	I never realized that Desktomu-kun felt that way.
context: So we can play with Komano again.\I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make\it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way. response:	Here comes spring, now the flower blooms
context: I will now read Mizusawa High School's order.\Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make\it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms response:	Tomihara West High! Victory!
context: Chihaya, you definitely can't lose.\Huh?\I'm only here because you need five people to make\it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory! response:	Yeah!
context: Huh?\I'm only here because you need five people to make\it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah! response:	The sight of the lonely moon in the early morning
context: I'm only here because you need five people to make\it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning response:	Got it!
context: it to the national tournament!\Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning\Got it! response:	Nice job, E-chan!
context: Oh, no...\I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan! response:	I was able to hold onto mine.
context: I never realized that Desktomu-kun felt that way.\Here comes spring, now the flower blooms\Tomihara West High! Victory!\Yeah!\The sight of the lonely moon in the early morning\Got it!\Nice job, E-chan!\I was able to hold onto mine. response:	Way to go, Sano-senpai!
