context: Hosu General Hospital response:	Two days since the Hosu incident,
context: I can't hear you!\Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in. response:	Earphone Jack, please tell the escaping hostages what to do.
context: Tetsutetsu Tetsutetsu - Quirk: Steel Eijiro Kirishima - Quirk: Hardening\Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do. response:	R-Right, Death Arms.
context: Yes, Mr. Fourth Kind!\Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms. response:	Let's go!
context: Pro Hero - Death Arms\How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go! response:	This is a pro hero! Do as I say!
context: How many hostages are there?\From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say! response:	I will escort you! Come below with me!
context: From what I can hear, there are two.\Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me! response:	We're saved!
context: Kyoka Jiro - Quirk: Earphone Jack\All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved! response:	Thank you, hero!
context: All right. We're breaking in.\Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved!\Thank you, hero! response:	Oki Mariner
context: Earphone Jack, please tell the escaping hostages what to do.\R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved!\Thank you, hero!\Oki Mariner response:	Tsuyu Asui - Quirk: Frog
context: R-Right, Death Arms.\Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved!\Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog response:	Ribbit.
context: Let's go!\This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved!\Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit. response:	Froppy!
context: This is a pro hero! Do as I say!\I will escort you! Come below with me!\We're saved!\Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy! response:	Ribbit?
context: I will escort you! Come below with me!\We're saved!\Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy!\Ribbit? response:	How are things on your end?
context: We're saved!\Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy!\Ribbit?\How are things on your end? response:	I've finished cleaning the deck, Sirius.
context: Thank you, hero!\Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy!\Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius. response:	It's boring just training and cleaning the deck every day, isn't it?
context: Oki Mariner\Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy!\Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it? response:	Yes, a little.
context: Tsuyu Asui - Quirk: Frog\Ribbit.\Froppy!\Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little. response:	It was the same when I did my internship.
context: Ribbit.\Froppy!\Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship. response:	I was confused by the difference between the image I had of what a hero
context: Froppy!\Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero response:	was when I was a kid and what the reality was.
context: Ribbit?\How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was. response:	I imagined something a lot showier,
context: How are things on your end?\I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier, response:	but in reality, it's a daily grind of training and patrols and cleaning.
context: I've finished cleaning the deck, Sirius.\It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning. response:	On top of that, I even had to wash the captain's underwear!
context: It's boring just training and cleaning the deck every day, isn't it?\Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear! response:	What part of this is being a hero? I thought.
context: Yes, a little.\It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought. response:	Did you get tired of it?
context: It was the same when I did my internship.\I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it? response:	At first, I did.
context: I was confused by the difference between the image I had of what a hero\was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did. response:	But after becoming the captain's sidekick, I realized
context: was when I was a kid and what the reality was.\I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized response:	what was really important for a hero.
context: I imagined something a lot showier,\but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero. response:	What's really important? What is it?
context: but in reality, it's a daily grind of training and patrols and cleaning.\On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it? response:	You have to find the answer to that yourself.
context: On top of that, I even had to wash the captain's underwear!\What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself. response:	Right?
context: What part of this is being a hero? I thought.\Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself.\Right? response:	Ribbit.
context: Did you get tired of it?\At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself.\Right?\Ribbit. response:	Hey, Froppy!
context: At first, I did.\But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself.\Right?\Ribbit.\Hey, Froppy! response:	What're you playing around for?
context: But after becoming the captain's sidekick, I realized\what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself.\Right?\Ribbit.\Hey, Froppy!\What're you playing around for? response:	Just because frogs have big mouths doesn't mean you can spend all your time gabbing.
context: what was really important for a hero.\What's really important? What is it?\You have to find the answer to that yourself.\Right?\Ribbit.\Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing. response:	And Sirius, I ordered you to supervise her.
context: What's really important? What is it?\You have to find the answer to that yourself.\Right?\Ribbit.\Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her. response:	Make sure you're doing your job properly!
context: You have to find the answer to that yourself.\Right?\Ribbit.\Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly! response:	I've finished cleaning, Captain.
context: Right?\Ribbit.\Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain. response:	And I'm supervising her properly!
context: Ribbit.\Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly! response:	Ribbit.
context: Hey, Froppy!\What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit. response:	Oh, is that right?
context: What're you playing around for?\Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit.\Oh, is that right? response:	I guess I jumped to conclusions.
context: Just because frogs have big mouths doesn't mean you can spend all your time gabbing.\And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit.\Oh, is that right?\I guess I jumped to conclusions. response:	I see, I see! My bad!
context: And Sirius, I ordered you to supervise her.\Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit.\Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad! response:	I'm sorry!
context: Make sure you're doing your job properly!\I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit.\Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry! response:	Was I too cute for words, Froppy?
context: I've finished cleaning, Captain.\And I'm supervising her properly!\Ribbit.\Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy? response:	She's dumbfounded.
context: And I'm supervising her properly!\Ribbit.\Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded. response:	I always say this, but you can't just make your face cute.
context: Ribbit.\Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute. response:	Below the neck, you're too macho...
context: Oh, is that right?\I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho... response:	Your face is also too rugged, though...
context: I guess I jumped to conclusions.\I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though... response:	What did you say?!
context: I see, I see! My bad!\I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?! response:	When I do this for kids, they love it!
context: I'm sorry!\Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it! response:	Yeah! They love making fun of it!
context: Was I too cute for words, Froppy?\She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it! response:	Because it's not cute at all.
context: She's dumbfounded.\I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all. response:	How cute.
context: I always say this, but you can't just make your face cute.\Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all.\How cute. response:	Captain Selkie, there's a message from the Japan Coast Guard!
context: Below the neck, you're too macho...\Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard! response:	All right, I'll be there right away!
context: Your face is also too rugged, though...\What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away! response:	Froppy, help me unfasten the ropes.
context: What did you say?!\When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes. response:	We'll probably be sailing out.
context: When I do this for kids, they love it!\Yeah! They love making fun of it!\Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out. response:	Ribbit!
context: Yeah! They love making fun of it!\Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit! response:	It's me.
context: Because it's not cute at all.\How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit!\It's me. response:	That's right. You're good at this.
context: How cute.\Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit!\It's me.\That's right. You're good at this. response:	One, two! One, two! One, two!
context: Captain Selkie, there's a message from the Japan Coast Guard!\All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit!\It's me.\That's right. You're good at this.\One, two! One, two! One, two! response:	I see. Got it!
context: All right, I'll be there right away!\Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit!\It's me.\That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it! response:	The ropes are unfastened!
context: Froppy, help me unfasten the ropes.\We'll probably be sailing out.\Ribbit!\It's me.\That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened! response:	Sailors! We're making an emergency departure!
context: We'll probably be sailing out.\Ribbit!\It's me.\That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure! response:	-Aye aye, sir! -Aye aye, sir! -Ribbit!
context: Ribbit!\It's me.\That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit! response:	Full speed ahead!
context: It's me.\That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead! response:	All right, the Oki Mariner is sailing out!
context: That's right. You're good at this.\One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out! response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music
context: One, two! One, two! One, two!\I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music response:	Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.
context: I see. Got it!\The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them. response:	Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello
context: The ropes are unfastened!\Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello response:	Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.
context: Sailors! We're making an emergency departure!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far. response:	Stowaways?
context: -Aye aye, sir! -Aye aye, sir! -Ribbit!\Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways? response:	The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.
context: Full speed ahead!\All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan. response:	The Coast Guard inspected the Nysan,
context: All right, the Oki Mariner is sailing out!\Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan, response:	but the stowaways were nowhere to be found.
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 8/1 Height: 154 cm Blood Type: A Likes: Rock Music\Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found. response:	However, after more careful investigation,
context: Kyoka Jiro Quirk: Earphone Jack She can insert the plugs on her earlobes into her opponent and channel loud sounds into them.\Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation, response:	they found cargo missing from the ship's freight list.
context: Affiliation: U.A. High School Hero Class 1-A Birthday: 2/12 Height: 150 cm Blood Type: B Likes: Jello\Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list. response:	Do you know what this means, Froppy?
context: Tsuyu Asui Quirk: Frog She can do pretty much everything a frog can, like stretch out her tongue really far.\Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy? response:	Ribbit.
context: Stowaways?\The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit. response:	I think it means that before the Coast Guard arrived,
context: The Coast Guard got a tip that there were stowaways on the trade ship, Nysan.\The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived, response:	the stowaways moved the cargo to another ship and ran away.
context: The Coast Guard inspected the Nysan,\but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away. response:	The stowaways may have been smuggling brokers.
context: but the stowaways were nowhere to be found.\However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers. response:	That's correct!
context: However, after more careful investigation,\they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct! response:	That's not cute...
context: they found cargo missing from the ship's freight list.\Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct!\That's not cute... response:	How cute.
context: Do you know what this means, Froppy?\Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct!\That's not cute...\How cute. response:	The job we've taken on this time
context: Ribbit.\I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct!\That's not cute...\How cute.\The job we've taken on this time response:	is to secure the stowaways thought to have escaped on a small boat
context: I think it means that before the Coast Guard arrived,\the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct!\That's not cute...\How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat response:	and deliver them to the Coast Guard!
context: the stowaways moved the cargo to another ship and ran away.\The stowaways may have been smuggling brokers.\That's correct!\That's not cute...\How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard! response:	Based on the Nysan's position,
context: The stowaways may have been smuggling brokers.\That's correct!\That's not cute...\How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position, response:	this is the area of the ocean where the smaller boat is predicted to land.
context: That's correct!\That's not cute...\How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land. response:	The Coast Guard and other sea rescue heroes are also searching for the boat.
context: That's not cute...\How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat. response:	We will be responsible for...
context: How cute.\The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for... response:	The sun will set soon.
context: The job we've taken on this time\is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon. response:	You guys search for the boat with the radar!
context: is to secure the stowaways thought to have escaped on a small boat\and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar! response:	I will look for them in the ocean.
context: and deliver them to the Coast Guard!\Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean. response:	That is all!
context: Based on the Nysan's position,\this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean.\That is all! response:	Now, get to work, sailors!
context: this is the area of the ocean where the smaller boat is predicted to land.\The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean.\That is all!\Now, get to work, sailors! response:	-Aye aye, sir! -Aye aye, sir! -Ribbit!
context: The Coast Guard and other sea rescue heroes are also searching for the boat.\We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean.\That is all!\Now, get to work, sailors!\-Aye aye, sir! -Aye aye, sir! -Ribbit! response:	Selkie Quirk: Spotted Seal
context: We will be responsible for...\The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean.\That is all!\Now, get to work, sailors!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Selkie Quirk: Spotted Seal response:	Sea Rescue Hero: Selkie!
context: The sun will set soon.\You guys search for the boat with the radar!\I will look for them in the ocean.\That is all!\Now, get to work, sailors!\-Aye aye, sir! -Aye aye, sir! -Ribbit!\Selkie Quirk: Spotted Seal\Sea Rescue Hero: Selkie! response:	Quirk: Spotted Seal.
