context: We're Gonna Be *** response:	I know I know, let's play hide and seek!
context: She's not just the eldest, she's a nympho!\Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed, response:	have lots of self-confidence,
context: Did you hear a word I said?!\You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence, response:	and never let anyone tell you what to do.
context: You're thinking of Futaba. She's just the Eldest.\He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do. response:	Also...
context: He didn't hear what I said...\What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do.\Also... response:	Good morning, Sugisaki-kun!
context: What do we do to become a nympho just like you?\Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun! response:	Hey, I'm talking here!
context: Umm...well...\Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here! response:	Your big sister's pretty too.
context: Tell us, tell us!\Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too. response:	And fashionable, like a model!
context: Always keep yourself clean and well groomed,\have lots of self-confidence,\and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model! response:	Oh...well...
context: have lots of self-confidence,\and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model!\Oh...well... response:	You must be a nympho too!
context: and never let anyone tell you what to do.\Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model!\Oh...well...\You must be a nympho too! response:	Yeah, I guess they both are.
context: Also...\Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model!\Oh...well...\You must be a nympho too!\Yeah, I guess they both are. response:	How dare you!
context: Good morning, Sugisaki-kun!\Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model!\Oh...well...\You must be a nympho too!\Yeah, I guess they both are.\How dare you! response:	W-What? It's a compliment!
context: Hey, I'm talking here!\Your big sister's pretty too.\And fashionable, like a model!\Oh...well...\You must be a nympho too!\Yeah, I guess they both are.\How dare you!\W-What? It's a compliment! response:	She IS a nympho!
context: Your big sister's pretty too.\And fashionable, like a model!\Oh...well...\You must be a nympho too!\Yeah, I guess they both are.\How dare you!\W-What? It's a compliment!\She IS a nympho! response:	W-Where did you learn that word?!
context: And fashionable, like a model!\Oh...well...\You must be a nympho too!\Yeah, I guess they both are.\How dare you!\W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?! response:	Why exactly are you teaching little kids words they shouldn't know?
context: Oh...well...\You must be a nympho too!\Yeah, I guess they both are.\How dare you!\W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know? response:	Are you serious?!
context: You must be a nympho too!\Yeah, I guess they both are.\How dare you!\W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?! response:	I couldn't help it! Besides, you started it-
context: Yeah, I guess they both are.\How dare you!\W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it- response:	You moron, you're gonna get them in all kinds of trouble.
context: How dare you!\W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble. response:	Trouble?
context: W-What? It's a compliment!\She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble? response:	Duh...there are a lot of weirdos lurking out there.
context: She IS a nympho!\W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there. response:	Go say I wanna be a nympho! in front of some creep
context: W-Where did you learn that word?!\Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep response:	and see what happens.
context: Why exactly are you teaching little kids words they shouldn't know?\Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens. response:	Catch my drift?
context: Are you serious?!\I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift? response:	Nymphos, nymphos, nymphos...
context: I couldn't help it! Besides, you started it-\You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos... response:	We're gonna be nymphos...
context: You moron, you're gonna get them in all kinds of trouble.\Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos... response:	Anyway, this isn't my problem.
context: Trouble?\Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem. response:	Take responsibility and clean up your mess!
context: Duh...there are a lot of weirdos lurking out there.\Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess! response:	You know,
context: Go say I wanna be a nympho! in front of some creep\and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know, response:	I wish you could be my big sister too.
context: and see what happens.\Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too. response:	I wanna be a nympho just like you, and then-
context: Catch my drift?\Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then- response:	Forget it.
context: Nymphos, nymphos, nymphos...\We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it. response:	I said forget it!
context: We're gonna be nymphos...\Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it.\I said forget it! response:	You can't be a nympho unless you're born with innate talent,
context: Anyway, this isn't my problem.\Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent, response:	and years of dedication and training!
context: Take responsibility and clean up your mess!\You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training! response:	You two could spend your whole lives trying and never even come close!
context: You know,\I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close! response:	So give it up!
context: I wish you could be my big sister too.\I wanna be a nympho just like you, and then-\Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up! response:	But...
context: I wanna be a nympho just like you, and then-\Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up!\But... response:	NEVER say the word nympho ever again!
context: Forget it.\I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up!\But...\NEVER say the word nympho ever again! response:	And stay away from me...got it?
context: I said forget it!\You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up!\But...\NEVER say the word nympho ever again!\And stay away from me...got it? response:	Y-Yes...
context: You can't be a nympho unless you're born with innate talent,\and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up!\But...\NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes... response:	Aww...don't cry, don't cry...
context: and years of dedication and training!\You two could spend your whole lives trying and never even come close!\So give it up!\But...\NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry... response:	It's...it's better this way.
context: You two could spend your whole lives trying and never even come close!\So give it up!\But...\NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way. response:	There there, don't cry...
context: So give it up!\But...\NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry... response:	Don't cry.
context: But...\NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry...\Don't cry. response:	Micchan, that was so cool!
context: NEVER say the word nympho ever again!\And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry...\Don't cry.\Micchan, that was so cool! response:	You're so kind...I know that was tough love,
context: And stay away from me...got it?\Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry...\Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love, response:	you didn't want them wasting their lives trying to become nymphos.
context: Y-Yes...\Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry...\Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos. response:	I wanna be a nympho just like you Micchan!
context: Aww...don't cry, don't cry...\It's...it's better this way.\There there, don't cry...\Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan! response:	Nympho! Nympho!
context: It's...it's better this way.\There there, don't cry...\Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho! response:	Nympho! Nympho!
context: There there, don't cry...\Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho! response:	F-Futaba!
context: Don't cry.\Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho!\F-Futaba! response:	Crap, I forgot she was there the whole time!
context: Micchan, that was so cool!\You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time! response:	I wanna be a super nympho, just like Micchan!
context: You're so kind...I know that was tough love,\you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan! response:	Okay, permission granted.
context: you didn't want them wasting their lives trying to become nymphos.\I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted. response:	Yay!
context: I wanna be a nympho just like you Micchan!\Nympho! Nympho!\Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay! response:	Morning, super nympho.
context: Nympho! Nympho!\Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay!\Morning, super nympho. response:	Don't call me a nympho!
context: Nympho! Nympho!\F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay!\Morning, super nympho.\Don't call me a nympho! response:	Geez, I know it's Saturday but you sleep way too late.
context: F-Futaba!\Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay!\Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late. response:	Hey, that's Hitoha's drawer!
context: Crap, I forgot she was there the whole time!\I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay!\Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer! response:	This is...
context: I wanna be a super nympho, just like Micchan!\Okay, permission granted.\Yay!\Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is... response:	Serious Squadron...
context: Okay, permission granted.\Yay!\Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is...\Serious Squadron... response:	Gachi Rangers!
context: Yay!\Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is...\Serious Squadron...\Gachi Rangers! response:	I knew it!
context: Morning, super nympho.\Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is...\Serious Squadron...\Gachi Rangers!\I knew it! response:	What's up with this lame belt?
context: Don't call me a nympho!\Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is...\Serious Squadron...\Gachi Rangers!\I knew it!\What's up with this lame belt? response:	That's the Gach-
context: Geez, I know it's Saturday but you sleep way too late.\Hey, that's Hitoha's drawer!\This is...\Serious Squadron...\Gachi Rangers!\I knew it!\What's up with this lame belt?\That's the Gach- response:	Don't tell anyone I like Gachi Rangers.
context: Hey, that's Hitoha's drawer!\This is...\Serious Squadron...\Gachi Rangers!\I knew it!\What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers. response:	Including dad and Micchan!
context: This is...\Serious Squadron...\Gachi Rangers!\I knew it!\What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan! response:	Wh-What is it?
context: Serious Squadron...\Gachi Rangers!\I knew it!\What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it? response:	And what's up with this belt?
context: Gachi Rangers!\I knew it!\What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it?\And what's up with this belt? response:	Who knows?
context: I knew it!\What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it?\And what's up with this belt?\Who knows? response:	I feel like I've seen this somewhere...
context: What's up with this lame belt?\That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it?\And what's up with this belt?\Who knows?\I feel like I've seen this somewhere... response:	I got it!
context: That's the Gach-\Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it?\And what's up with this belt?\Who knows?\I feel like I've seen this somewhere...\I got it! response:	It looks just like it!
context: Don't tell anyone I like Gachi Rangers.\Including dad and Micchan!\Wh-What is it?\And what's up with this belt?\Who knows?\I feel like I've seen this somewhere...\I got it!\It looks just like it! response:	A vibrating ab-belt?
context: Including dad and Micchan!\Wh-What is it?\And what's up with this belt?\Who knows?\I feel like I've seen this somewhere...\I got it!\It looks just like it!\A vibrating ab-belt? response:	Is Hitoha on a diet too?
context: Wh-What is it?\And what's up with this belt?\Who knows?\I feel like I've seen this somewhere...\I got it!\It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too? response:	A Gachi Rangers tank top!
context: And what's up with this belt?\Who knows?\I feel like I've seen this somewhere...\I got it!\It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top! response:	I'll just try it on...
context: Who knows?\I feel like I've seen this somewhere...\I got it!\It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on... response:	Are you awake Futaba?
context: I feel like I've seen this somewhere...\I got it!\It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba? response:	Come eat breakfast-
context: I got it!\It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba?\Come eat breakfast- response:	What're you doing?
context: It looks just like it!\A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba?\Come eat breakfast-\What're you doing? response:	Who knows?
context: A vibrating ab-belt?\Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba?\Come eat breakfast-\What're you doing?\Who knows? response:	Come on Futaba, wash your face and brush your teeth!
context: Is Hitoha on a diet too?\A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba?\Come eat breakfast-\What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth! response:	Why can't we find this dumb belt!
context: A Gachi Rangers tank top!\I'll just try it on...\Are you awake Futaba?\Come eat breakfast-\What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt! response:	I checked every electronics store AND health place and none of them carry it!
context: I'll just try it on...\Are you awake Futaba?\Come eat breakfast-\What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it! response:	Then again, it's not like I could afford one if they did.
context: Are you awake Futaba?\Come eat breakfast-\What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did. response:	Me neither, I've only got 200 yen.
context: Come eat breakfast-\What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen. response:	Gachi-smashing every foe, yeah!
context: What're you doing?\Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah! response:	Standing tall to protect our planet!
context: Who knows?\Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet! response:	Bingo!
context: Come on Futaba, wash your face and brush your teeth!\Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo! response:	Ryuuta?
context: Why can't we find this dumb belt!\I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo!\Ryuuta? response:	Where'd he go...
context: I checked every electronics store AND health place and none of them carry it!\Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo!\Ryuuta?\Where'd he go... response:	S-Stop!
context: Then again, it's not like I could afford one if they did.\Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo!\Ryuuta?\Where'd he go...\S-Stop! response:	We'll pay you...We'll pay you later, I swear!
context: Me neither, I've only got 200 yen.\Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo!\Ryuuta?\Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear! response:	Treated like a pervert again...this is all Hitoha's fault.
context: Gachi-smashing every foe, yeah!\Standing tall to protect our planet!\Bingo!\Ryuuta?\Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault. response:	I'm sorry I ripped your tank top!
context: Standing tall to protect our planet!\Bingo!\Ryuuta?\Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top! response:	This might not make up for it, but...
context: Bingo!\Ryuuta?\Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but... response:	True Feelings
context: Ryuuta?\Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings response:	I drew this for you! I know it's just a bad sketch!
context: Where'd he go...\S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch! response:	I'm so sorry.
context: S-Stop!\We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry. response:	I forgive you.
context: We'll pay you...We'll pay you later, I swear!\Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you. response:	Really?
context: Treated like a pervert again...this is all Hitoha's fault.\I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you.\Really? response:	This is way cooler.
context: I'm sorry I ripped your tank top!\This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you.\Really?\This is way cooler. response:	I'm so happy you like it!
context: This might not make up for it, but...\True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you.\Really?\This is way cooler.\I'm so happy you like it! response:	Hey, how dare you sneak behind my back and apologize, you traitor!
context: True Feelings\I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you.\Really?\This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor! response:	You should be honest and apologize too, Micchan.
context: I drew this for you! I know it's just a bad sketch!\I'm so sorry.\I forgive you.\Really?\This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan. response:	Honest...?
context: I'm so sorry.\I forgive you.\Really?\This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...? response:	What kind of *** pig are you that you can't even fit in a diet belt?
context: I forgive you.\Really?\This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt? response:	Never, never! I can't do it!
context: Really?\This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it! response:	I'm home.
context: This is way cooler.\I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home. response:	Daddy!
context: I'm so happy you like it!\Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home.\Daddy! response:	Dinner's almost ready.
context: Hey, how dare you sneak behind my back and apologize, you traitor!\You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home.\Daddy!\Dinner's almost ready. response:	Want a beer, daddy?
context: You should be honest and apologize too, Micchan.\Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home.\Daddy!\Dinner's almost ready.\Want a beer, daddy? response:	No, I'd better lay off.
context: Honest...?\What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home.\Daddy!\Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off. response:	I'm trying to watch my weight.
context: What kind of *** pig are you that you can't even fit in a diet belt?\Never, never! I can't do it!\I'm home.\Daddy!\Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight. response:	We thank you for this meal.
context: Never, never! I can't do it!\I'm home.\Daddy!\Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal. response:	Where's Mitsuba?
context: I'm home.\Daddy!\Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba? response:	Hitoha!
context: Daddy!\Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba?\Hitoha! response:	You dropped this.
context: Dinner's almost ready.\Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba?\Hitoha!\You dropped this. response:	It's broken!
context: Want a beer, daddy?\No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba?\Hitoha!\You dropped this.\It's broken! response:	Oh, I remember now!
context: No, I'd better lay off.\I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba?\Hitoha!\You dropped this.\It's broken!\Oh, I remember now! response:	DAD took it out because he wanted to use it for his diet!
context: I'm trying to watch my weight.\We thank you for this meal.\Where's Mitsuba?\Hitoha!\You dropped this.\It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet! response:	Dad...wanted this?
context: We thank you for this meal.\Where's Mitsuba?\Hitoha!\You dropped this.\It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this? response:	Oh, that's that thing you like...the Gachi Rangers?
context: Where's Mitsuba?\Hitoha!\You dropped this.\It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers? response:	Y-You knew?
context: Hitoha!\You dropped this.\It's broken!\Oh, I remember now!\DAD took it out because he wanted to use it for his diet!\Dad...wanted this?\Oh, that's that thing you like...the Gachi Rangers?\Y-You knew? response:	Your daddy knows everything about his daughters, sweetheart.
