context: Let's go! response:	Doryo Bridge
context: Your face says the suffering is so painful, too painful to bear...\Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another. response:	Even so,
context: Do you think you'll be able to forget?\No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another.\Even so, response:	the people here won't ever forget us.
context: No, not a chance!\Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us. response:	I won't forget.
context: Because you and I are living for that moment.\You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us.\I won't forget. response:	I won't forget, even if I die.
context: You were great, middle school duo!\Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us.\I won't forget.\I won't forget, even if I die. response:	Thank you.
context: Because you're a musician, just like me.\Good job, pianist!\Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us.\I won't forget.\I won't forget, even if I die.\Thank you. response:	It's all thanks to you.
context: Good job, pianist!\Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us.\I won't forget.\I won't forget, even if I die.\Thank you.\It's all thanks to you. response:	Because you accompanied me. Because you played the piano for me.
context: Unprecedented. One mishap after another.\Even so,\the people here won't ever forget us.\I won't forget.\I won't forget, even if I die.\Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me. response:	Thank you, Kousei Arima.
context: Even so,\the people here won't ever forget us.\I won't forget.\I won't forget, even if I die.\Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima. response:	She's merciless.
context: the people here won't ever forget us.\I won't forget.\I won't forget, even if I die.\Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless. response:	That unbending gaze.
context: I won't forget.\I won't forget, even if I die.\Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless.\That unbending gaze. response:	Even from the back,
context: I won't forget, even if I die.\Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless.\That unbending gaze.\Even from the back, response:	she won't let me give up.
context: Thank you.\It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless.\That unbending gaze.\Even from the back,\she won't let me give up. response:	Please support me!
context: It's all thanks to you.\Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless.\That unbending gaze.\Even from the back,\she won't let me give up.\Please support me! response:	The one who was being supported...
context: Because you accompanied me. Because you played the piano for me.\Thank you, Kousei Arima.\She's merciless.\That unbending gaze.\Even from the back,\she won't let me give up.\Please support me!\The one who was being supported... response:	Thank you. Thank you.
context: Thank you, Kousei Arima.\She's merciless.\That unbending gaze.\Even from the back,\she won't let me give up.\Please support me!\The one who was being supported...\Thank you. Thank you. response:	I see... So I passed out again.
context: She's merciless.\That unbending gaze.\Even from the back,\she won't let me give up.\Please support me!\The one who was being supported...\Thank you. Thank you.\I see... So I passed out again. response:	First... Oof!
context: That unbending gaze.\Even from the back,\she won't let me give up.\Please support me!\The one who was being supported...\Thank you. Thank you.\I see... So I passed out again.\First... Oof! response:	Safe!
context: Even from the back,\she won't let me give up.\Please support me!\The one who was being supported...\Thank you. Thank you.\I see... So I passed out again.\First... Oof!\Safe! response:	Lucky!
context: she won't let me give up.\Please support me!\The one who was being supported...\Thank you. Thank you.\I see... So I passed out again.\First... Oof!\Safe!\Lucky! response:	What the heck was that, Tsubaki?
context: Please support me!\The one who was being supported...\Thank you. Thank you.\I see... So I passed out again.\First... Oof!\Safe!\Lucky!\What the heck was that, Tsubaki? response:	Yay!
context: The one who was being supported...\Thank you. Thank you.\I see... So I passed out again.\First... Oof!\Safe!\Lucky!\What the heck was that, Tsubaki?\Yay! response:	Little kids are so gung-ho!
context: Thank you. Thank you.\I see... So I passed out again.\First... Oof!\Safe!\Lucky!\What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho! response:	I know, even though the water's so cold.
context: I see... So I passed out again.\First... Oof!\Safe!\Lucky!\What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho!\I know, even though the water's so cold. response:	Yeah, but you used to dive from the Courage Bridge all the time.
context: First... Oof!\Safe!\Lucky!\What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time. response:	Not to mention, always shoving Arima-kun off it...
context: Safe!\Lucky!\What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it... response:	Kousei!
context: Lucky!\What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei! response:	That was no biggie!
context: What the heck was that, Tsubaki?\Yay!\Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie! response:	Kousei always laughed it off himself.
context: Yay!\Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie!\Kousei always laughed it off himself. response:	I wouldn't call that no biggie.
context: Little kids are so gung-ho!\I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie. response:	Sure it was.
context: I know, even though the water's so cold.\Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was. response:	I know it for a fact.
context: Yeah, but you used to dive from the Courage Bridge all the time.\Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was.\I know it for a fact. response:	Did something happen between you and Arima-kun?
context: Not to mention, always shoving Arima-kun off it...\Kousei!\That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun? response:	N-N-N-Not a thing! Don't say freaky things like that!
context: Kousei!\That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that! response:	Nailed it...
context: That was no biggie!\Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it... response:	Well, okay, then.
context: Kousei always laughed it off himself.\I wouldn't call that no biggie.\Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then. response:	I mean, being upbeat is your only saving grace.
context: I wouldn't call that no biggie.\Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace. response:	But yesterday and today, you kind of haven't been yourself. Tsubaki...
context: Sure it was.\I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki... response:	Your eyes are cloudy.
context: I know it for a fact.\Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy. response:	Hey!
context: Did something happen between you and Arima-kun?\N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey! response:	If it isn't Kashiwagi and Tsubaki!
context: N-N-N-Not a thing! Don't say freaky things like that!\Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki! response:	What a coincidence!
context: Nailed it...\Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence! response:	Yo, Saito-senpai!
context: Well, okay, then.\I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai! response:	Long time no see!
context: I mean, being upbeat is your only saving grace.\But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai!\Long time no see! response:	Hey, check out that uniform.
context: But yesterday and today, you kind of haven't been yourself. Tsubaki...\Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform. response:	Now that's a high school student!
context: Your eyes are cloudy.\Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform.\Now that's a high school student! response:	I haven't seen you since graduation.
context: Hey!\If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation. response:	You burning up the league as usual?
context: If it isn't Kashiwagi and Tsubaki!\What a coincidence!\Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual? response:	Oh, I'm on fire! How about you?
context: What a coincidence!\Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you? response:	It's tough being a first year again. I'm nothing but a gofer.
context: Yo, Saito-senpai!\Long time no see!\Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer. response:	And if they'd just let me play shortstop, I'd be the best, you know?
context: Long time no see!\Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know? response:	The former captain of our baseball team.
context: Hey, check out that uniform.\Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team. response:	Totally hot, dependable, and the one all the girls dreamed about.
context: Now that's a high school student!\I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about. response:	So unlike someone else I know.
context: I haven't seen you since graduation.\You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know. response:	A complete tool,
context: You burning up the league as usual?\Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool, response:	not to be depended on...
context: Oh, I'm on fire! How about you?\It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool,\not to be depended on... response:	No one's idea of a dreamboat...
context: It's tough being a first year again. I'm nothing but a gofer.\And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool,\not to be depended on...\No one's idea of a dreamboat... response:	It's okay. It's okay.
context: And if they'd just let me play shortstop, I'd be the best, you know?\The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool,\not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay. response:	I do know that Kousei has lots of good qualities besides playing the piano, after all!
context: The former captain of our baseball team.\Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool,\not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all! response:	Looks like rain, huh?
context: Totally hot, dependable, and the one all the girls dreamed about.\So unlike someone else I know.\A complete tool,\not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh? response:	Cloudy weather.
context: So unlike someone else I know.\A complete tool,\not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather. response:	Your eyes are cloudy.
context: A complete tool,\not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy. response:	It's okay. It's okay.
context: not to be depended on...\No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay. response:	So why am I feeling so uneasy, then?
context: No one's idea of a dreamboat...\It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then? response:	Hey, Tsubaki?
context: It's okay. It's okay.\I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki? response:	Yes?
context: I do know that Kousei has lots of good qualities besides playing the piano, after all!\Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes? response:	This was no coincidence, see.
context: Looks like rain, huh?\Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes?\This was no coincidence, see. response:	The former captain of our baseball team. Totally hot, dependable,
context: Cloudy weather.\Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable, response:	and the one all the girls dreamed about.
context: Your eyes are cloudy.\It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about. response:	I dreamed about him, too.
context: It's okay. It's okay.\So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too. response:	But I was never able to tell him,
context: So why am I feeling so uneasy, then?\Hey, Tsubaki?\Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him, response:	and my love melted away with the snow on graduation day, and it was over.
context: Hey, Tsubaki?\Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over. response:	That's the kind of love I thought it was.
context: Yes?\This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was. response:	I'm happy. I'm so happy.
context: This was no coincidence, see.\The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy. response:	Look, I'm serious about this, okay?
context: The former captain of our baseball team. Totally hot, dependable,\and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay? response:	And yet why... why isn't my heart sparkling, I wonder?
context: and the one all the girls dreamed about.\I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder? response:	I bet if this was back around graduation,
context: I dreamed about him, too.\But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation, response:	my heart would've been sparkling like a starry sky in winter.
context: But I was never able to tell him,\and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter. response:	So she's out of the hospital.
context: and my love melted away with the snow on graduation day, and it was over.\That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital. response:	All right.
context: That's the kind of love I thought it was.\I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right. response:	Don't get the wrong idea.
context: I'm happy. I'm so happy.\Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right.\Don't get the wrong idea. response:	She just needed an accompanist.
context: Look, I'm serious about this, okay?\And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right.\Don't get the wrong idea.\She just needed an accompanist. response:	Hop, skip, jump! Hop, skip, jump!
context: And yet why... why isn't my heart sparkling, I wonder?\I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right.\Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump! response:	As if you can see right through me, into my heart...
context: I bet if this was back around graduation,\my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right.\Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart... response:	Hop, skip... hop, skip...
context: my heart would've been sparkling like a starry sky in winter.\So she's out of the hospital.\All right.\Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip... response:	Always, out of nowhere, you...
context: So she's out of the hospital.\All right.\Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you... response:	Hop...
context: All right.\Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop... response:	Skip...
context: Don't get the wrong idea.\She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop...\Skip... response:	Hey.
context: She just needed an accompanist.\Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop...\Skip...\Hey. response:	What are you doing?
context: Hop, skip, jump! Hop, skip, jump!\As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop...\Skip...\Hey.\What are you doing? response:	Isn't it obvious?
context: As if you can see right through me, into my heart...\Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop...\Skip...\Hey.\What are you doing?\Isn't it obvious? response:	Playing hopscotch.
context: Hop, skip... hop, skip...\Always, out of nowhere, you...\Hop...\Skip...\Hey.\What are you doing?\Isn't it obvious?\Playing hopscotch. response:	She said she was waiting for someone.
context: Always, out of nowhere, you...\Hop...\Skip...\Hey.\What are you doing?\Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone. response:	Yeah.
context: Hop...\Skip...\Hey.\What are you doing?\Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone.\Yeah. response:	Shh! Shh!
context: Skip...\Hey.\What are you doing?\Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone.\Yeah.\Shh! Shh! response:	There.
context: Hey.\What are you doing?\Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone.\Yeah.\Shh! Shh!\There. response:	Why are you holding out your hand?
context: What are you doing?\Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone.\Yeah.\Shh! Shh!\There.\Why are you holding out your hand? response:	My gift for getting out of the hospital. I'll take it now.
context: Isn't it obvious?\Playing hopscotch.\She said she was waiting for someone.\Yeah.\Shh! Shh!\There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now. response:	No gift?
context: Playing hopscotch.\She said she was waiting for someone.\Yeah.\Shh! Shh!\There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift? response:	That's horrible of you! Watari-kun gave me flowers!
context: She said she was waiting for someone.\Yeah.\Shh! Shh!\There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers! response:	And you're the one who made such a mess of my performance!
context: Yeah.\Shh! Shh!\There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance! response:	When I was gunning to win it all!
context: Shh! Shh!\There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all! response:	You liar!
context: There.\Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar! response:	Don't make women cry!
context: Why are you holding out your hand?\My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar!\Don't make women cry! response:	This is why men are so...!
context: My gift for getting out of the hospital. I'll take it now.\No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar!\Don't make women cry!\This is why men are so...! response:	All right, then! I'll do something for you, okay?
context: No gift?\That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar!\Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay? response:	You'll do anything I ask?
context: That's horrible of you! Watari-kun gave me flowers!\And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar!\Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask? response:	Sure, sure.
context: And you're the one who made such a mess of my performance!\When I was gunning to win it all!\You liar!\Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure. response:	No matter what?
context: When I was gunning to win it all!\You liar!\Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure.\No matter what? response:	No matter what.
context: You liar!\Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure.\No matter what?\No matter what. response:	Yippee!
context: Don't make women cry!\This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure.\No matter what?\No matter what.\Yippee! response:	I knew it...
context: This is why men are so...!\All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure.\No matter what?\No matter what.\Yippee!\I knew it... response:	Hmm, what should I ask for?
context: All right, then! I'll do something for you, okay?\You'll do anything I ask?\Sure, sure.\No matter what?\No matter what.\Yippee!\I knew it...\Hmm, what should I ask for? response:	I know!
context: You'll do anything I ask?\Sure, sure.\No matter what?\No matter what.\Yippee!\I knew it...\Hmm, what should I ask for?\I know! response:	Enter a piano competition.
context: Sure, sure.\No matter what?\No matter what.\Yippee!\I knew it...\Hmm, what should I ask for?\I know!\Enter a piano competition. response:	It's your turn now.
context: No matter what?\No matter what.\Yippee!\I knew it...\Hmm, what should I ask for?\I know!\Enter a piano competition.\It's your turn now. response:	There's no way I can do that.
context: No matter what.\Yippee!\I knew it...\Hmm, what should I ask for?\I know!\Enter a piano competition.\It's your turn now.\There's no way I can do that. response:	Why not? You were playing fine that day.
context: Yippee!\I knew it...\Hmm, what should I ask for?\I know!\Enter a piano competition.\It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day. response:	Are you still afraid?
context: I knew it...\Hmm, what should I ask for?\I know!\Enter a piano competition.\It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid? response:	There you go again, looking down!
context: Hmm, what should I ask for?\I know!\Enter a piano competition.\It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down! response:	We're all afraid, you know... to get up onstage.
context: I know!\Enter a piano competition.\It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down!\We're all afraid, you know... to get up onstage. response:	Maybe you'll mess up. Maybe they'll totally reject you.
context: Enter a piano competition.\It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down!\We're all afraid, you know... to get up onstage.\Maybe you'll mess up. Maybe they'll totally reject you. response:	Even so, you grit your teeth and get up onstage anyway.
context: It's your turn now.\There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down!\We're all afraid, you know... to get up onstage.\Maybe you'll mess up. Maybe they'll totally reject you.\Even so, you grit your teeth and get up onstage anyway. response:	Something compels us... moves us to play music.
context: There's no way I can do that.\Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down!\We're all afraid, you know... to get up onstage.\Maybe you'll mess up. Maybe they'll totally reject you.\Even so, you grit your teeth and get up onstage anyway.\Something compels us... moves us to play music. response:	Is it like that for you, too?
context: Why not? You were playing fine that day.\Are you still afraid?\There you go again, looking down!\We're all afraid, you know... to get up onstage.\Maybe you'll mess up. Maybe they'll totally reject you.\Even so, you grit your teeth and get up onstage anyway.\Something compels us... moves us to play music.\Is it like that for you, too? response:	Everything you say and do... it all sparkles so brightly.
