context: The treasure that was stored in your house response:	has definitely been transferred into my hands.
context: Sure.\Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time response:	that the Royal Princess' guards were on the premises?
context: Make sure to guard the gates on the actual day.\Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises? response:	In the first place, not even Triangle-class mages
context: Yes, sir!\Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages response:	would stand a chance against this door.
context: Mr. Colbert...\You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door. response:	Even this Institute's guards have to show off to the Palace.
context: You are taking the guard from the vault to guard the gates?\After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace. response:	That's very true.
context: After all, everything is so sudden that we're shorthanded.\But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true. response:	Princess of the Kingdom of Tristein,
context: But didn't I hear that Fouquet the Sculptor was after the treasure here?\Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein, response:	Her Highness, Lady Henrietta has arrived!
context: Even so, what thief would choose the precise time\that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived! response:	What beauty...
context: that the Royal Princess' guards were on the premises?\In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty... response:	That's the princess of Tristein?
context: In the first place, not even Triangle-class mages\would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein? response:	I'm more beautiful than she is!
context: would stand a chance against this door.\Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein?\I'm more beautiful than she is! response:	Don't you think so?
context: Even this Institute's guards have to show off to the Palace.\That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so? response:	Well...
context: That's very true.\Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so?\Well... response:	Hey, she's cute.
context: Princess of the Kingdom of Tristein,\Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so?\Well...\Hey, she's cute. response:	You stay quiet! You're only a familiar, you're being rude!
context: Her Highness, Lady Henrietta has arrived!\What beauty...\That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so?\Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude! response:	Yeah, yeah...
context: What beauty...\That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so?\Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah... response:	Mr. Osman, I apologize for this sudden, selfish request.
context: That's the princess of Tristein?\I'm more beautiful than she is!\Don't you think so?\Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request. response:	Not at all!
context: I'm more beautiful than she is!\Don't you think so?\Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all! response:	The students and I have all been eagerly awaiting your arrival.
context: Don't you think so?\Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival. response:	This one year, I really wanted to see it with my own eyes.
context: Well...\Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes. response:	Oh, is that...
context: Hey, she's cute.\You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that... response:	A personal matter.
context: You stay quiet! You're only a familiar, you're being rude!\Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter. response:	Hold on...
context: Yeah, yeah...\Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter.\Hold on... response:	What part of that is your vaunted swordsmanship?
context: Mr. Osman, I apologize for this sudden, selfish request.\Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter.\Hold on...\What part of that is your vaunted swordsmanship? response:	Are you taking this seriously?
context: Not at all!\The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter.\Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously? response:	It's impossible to attempt to do something in just one day.
context: The students and I have all been eagerly awaiting your arrival.\This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter.\Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day. response:	After all...
context: This one year, I really wanted to see it with my own eyes.\Oh, is that...\A personal matter.\Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all... response:	What?
context: Oh, is that...\A personal matter.\Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all...\What? response:	I'm more used to panty-washing...
context: A personal matter.\Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all...\What?\I'm more used to panty-washing... response:	Hold it! Hold on! I'll be serious!
context: Hold on...\What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all...\What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious! response:	I'll do it, yeah yeah yeah!
context: What part of that is your vaunted swordsmanship?\Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all...\What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah! response:	A guest, a guest...
context: Are you taking this seriously?\It's impossible to attempt to do something in just one day.\After all...\What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest... response:	Sheesh... Who is it so late at night?
context: It's impossible to attempt to do something in just one day.\After all...\What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night? response:	Right, coming right up...
context: After all...\What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up... response:	Who are you?!
context: What?\I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?! response:	It's been a while...
context: I'm more used to panty-washing...\Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?!\It's been a while... response:	Louise FranCoise!
context: Hold it! Hold on! I'll be serious!\I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?!\It's been a while...\Louise FranCoise! response:	Your Highness, the Princess!
context: I'll do it, yeah yeah yeah!\A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?!\It's been a while...\Louise FranCoise!\Your Highness, the Princess! response:	Louise! Louise, it went that way!
context: A guest, a guest...\Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?!\It's been a while...\Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way! response:	Wait!
context: Sheesh... Who is it so late at night?\Right, coming right up...\Who are you?!\It's been a while...\Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way!\Wait! response:	If anything happens that makes you want to cry,
context: Right, coming right up...\Who are you?!\It's been a while...\Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry, response:	please make sure to tell me.
context: Who are you?!\It's been a while...\Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry,\please make sure to tell me. response:	I will make sure to embrace you.
context: It's been a while...\Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you. response:	Then, I will make sure to help you out when you're in a bind, Louise!
context: Louise FranCoise!\Your Highness, the Princess!\Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise! response:	Louise, Louise... Good old Louise...
context: Your Highness, the Princess!\Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise... response:	You should not, Princess!
context: Louise! Louise, it went that way!\Wait!\If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess! response:	To come to such a humble abode by yourself!
context: Wait!\If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself! response:	Stop those formalities, Louise FranCoise.
context: If anything happens that makes you want to cry,\please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise. response:	We are friends, are we not?
context: please make sure to tell me.\I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not? response:	Princess, those words are too much for me...
context: I will make sure to embrace you.\Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me... response:	Um, how do you guys know each other?
context: Then, I will make sure to help you out when you're in a bind, Louise!\Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other? response:	When the Princess was but a young girl,
context: Louise, Louise... Good old Louise...\You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl, response:	I was honored to be her playmate.
context: You should not, Princess!\To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate. response:	Please say childhood friends.
context: To come to such a humble abode by yourself!\Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends. response:	Oh, I've wanted to see you all this time.
context: Stop those formalities, Louise FranCoise.\We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time. response:	Princess...
context: We are friends, are we not?\Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess... response:	I'm sorry.
context: Princess, those words are too much for me...\Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess...\I'm sorry. response:	Ever since Father passed away,
context: Um, how do you guys know each other?\When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess...\I'm sorry.\Ever since Father passed away, response:	I haven't had anyone that I could open my heart to.
context: When the Princess was but a young girl,\I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess...\I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to. response:	Princess, I was surprised when I received a letter from you.
context: I was honored to be her playmate.\Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess...\I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you. response:	Oh, I see. Because the Princess was coming,
context: Please say childhood friends.\Oh, I've wanted to see you all this time.\Princess...\I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming, response:	you quickly wanted me to show off...
context: Oh, I've wanted to see you all this time.\Princess...\I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off... response:	You stay quiet!
context: Princess...\I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet! response:	Why are you standing there like an idiot, right before the Princess?!
context: I'm sorry.\Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?! response:	It is well.
context: Ever since Father passed away,\I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well. response:	Please be at ease, Mr. Familiar.
context: I haven't had anyone that I could open my heart to.\Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar. response:	She's too cute...
context: Princess, I was surprised when I received a letter from you.\Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar.\She's too cute... response:	What are you staring at?!
context: Oh, I see. Because the Princess was coming,\you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?! response:	Please forgive him. He really knows no manners.
context: you quickly wanted me to show off...\You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners. response:	So much that he stands up against Count Mott.
context: You stay quiet!\Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott. response:	I have been wanting to see you as well.
context: Why are you standing there like an idiot, right before the Princess?!\It is well.\Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well. response:	I wondered what kind of person
context: It is well.\Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person response:	the familiar that stood up to a nobleman was.
context: Please be at ease, Mr. Familiar.\She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was. response:	Princess?!
context: She's too cute...\What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?! response:	Rest assured, Louise.
context: What are you staring at?!\Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise. response:	It caused a bit of a stir within the Palace,
context: Please forgive him. He really knows no manners.\So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace, response:	but there will be no punishment.
context: So much that he stands up against Count Mott.\I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment. response:	Then, Princess, you...
context: I have been wanting to see you as well.\I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you... response:	Did you forget? I promised you long ago
context: I wondered what kind of person\the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago response:	that I would help you out when you were in a bind.
context: the familiar that stood up to a nobleman was.\Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind. response:	I am a princess for now, you know.
context: Princess?!\Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know. response:	Princess...
context: Rest assured, Louise.\It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess... response:	There is no way that I can thank you!
context: It caused a bit of a stir within the Palace,\but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess...\There is no way that I can thank you! response:	Louise, you summoned a splendid familiar.
context: but there will be no punishment.\Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar. response:	On the contrary!
context: Then, Princess, you...\Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary! response:	Such a vulgar, strange creature is the biggest mistake of my life!
context: Did you forget? I promised you long ago\that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life! response:	Ouch... That hurts...
context: that I would help you out when you were in a bind.\I am a princess for now, you know.\Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts... response:	I'm telling you it hurts!
context: I am a princess for now, you know.\Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts! response:	I'm telling you, stay put!
context: Princess...\There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put! response:	This was the most fun I have had in the past few years.
context: There is no way that I can thank you!\Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years. response:	Thank you, Louise FranCoise.
context: Louise, you summoned a splendid familiar.\On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise. response:	The same goes for me, Princess.
context: On the contrary!\Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess. response:	Mr. Familiar...
context: Such a vulgar, strange creature is the biggest mistake of my life!\Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar... response:	Me?
context: Ouch... That hurts...\I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar...\Me? response:	Please do your best tomorrow.
context: I'm telling you it hurts!\I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar...\Me?\Please do your best tomorrow. response:	Well, you can look forward to it.
context: I'm telling you, stay put!\This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar...\Me?\Please do your best tomorrow.\Well, you can look forward to it. response:	Damn you!
context: This was the most fun I have had in the past few years.\Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar...\Me?\Please do your best tomorrow.\Well, you can look forward to it.\Damn you! response:	Such behavior to the princess!
context: Thank you, Louise FranCoise.\The same goes for me, Princess.\Mr. Familiar...\Me?\Please do your best tomorrow.\Well, you can look forward to it.\Damn you!\Such behavior to the princess! response:	Why do you always...
context: The same goes for me, Princess.\Mr. Familiar...\Me?\Please do your best tomorrow.\Well, you can look forward to it.\Damn you!\Such behavior to the princess!\Why do you always... response:	Damn it, don't dodge them!
context: Mr. Familiar...\Me?\Please do your best tomorrow.\Well, you can look forward to it.\Damn you!\Such behavior to the princess!\Why do you always...\Damn it, don't dodge them! response:	Stay quiet! Damn you, why are you such an idiot?!
context: Me?\Please do your best tomorrow.\Well, you can look forward to it.\Damn you!\Such behavior to the princess!\Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?! response:	Freedom is the best treasure, after all.
context: Please do your best tomorrow.\Well, you can look forward to it.\Damn you!\Such behavior to the princess!\Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all. response:	Good night.
context: Well, you can look forward to it.\Damn you!\Such behavior to the princess!\Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night. response:	Princess?
context: Damn you!\Such behavior to the princess!\Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night.\Princess? response:	We will now begin the presentation of this year's familiars.
context: Such behavior to the princess!\Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night.\Princess?\We will now begin the presentation of this year's familiars. response:	That was Tabitha the Snowy Wind.
context: Why do you always...\Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night.\Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind. response:	Understand?
context: Damn it, don't dodge them!\Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night.\Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand? response:	One bow, and you come back.
context: Stay quiet! Damn you, why are you such an idiot?!\Freedom is the best treasure, after all.\Good night.\Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back. response:	Don't you dare try to do anything unnecessary!
context: Freedom is the best treasure, after all.\Good night.\Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary! response:	After all that you've made me practice, is that it?!
context: Good night.\Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?! response:	It's all right now.
context: Princess?\We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now. response:	The Princess already saw what you were really like!
context: We will now begin the presentation of this year's familiars.\That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like! response:	Next up... Miss Louise de La Valliere!
context: That was Tabitha the Snowy Wind.\Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere! response:	Here goes.
context: Understand?\One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes. response:	Okay...
context: One bow, and you come back.\Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes.\Okay... response:	Let me introduce you.
context: Don't you dare try to do anything unnecessary!\After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes.\Okay...\Let me introduce you. response:	This is my familiar, Hiraga Saito.
context: After all that you've made me practice, is that it?!\It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes.\Okay...\Let me introduce you.\This is my familiar, Hiraga Saito. response:	His type is a...
context: It's all right now.\The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes.\Okay...\Let me introduce you.\This is my familiar, Hiraga Saito.\His type is a... response:	Go for it, Louise the Zero!
context: The Princess already saw what you were really like!\Next up... Miss Louise de La Valliere!\Here goes.\Okay...\Let me introduce you.\This is my familiar, Hiraga Saito.\His type is a...\Go for it, Louise the Zero! response:	His type is a...
