context: How irresponsible. response:	You don't care if she dies or succeeds?
context: shall not tear off your wings.\Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners. response:	You're so strict.
context: Return to the earth, and sing,\flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict. response:	He is one of my own, Spriggan.
context: flutter in the skies, and sing,\bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan. response:	I have no respect to show a being of flesh.
context: bow your head to the noble garden and sing,\for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh. response:	Who is she?
context: for the great Gealach of Tir na nOg has arrived.\Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she? response:	Try not to talk to her too much.
context: Well, well, two strapping young men to greet me.\How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much. response:	She's the Queen of Faeries.
context: How kind of you both.\My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much.\She's the Queen of Faeries. response:	She commands all of the creatures of the night in Britain.
context: My queen, you ought not speak directly with the commoners.\You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain. response:	Titania.
context: You're so strict.\He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania. response:	You're perhaps the only one besides my husband that calls me by my name, Thorn.
context: He is one of my own, Spriggan.\I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn. response:	Where's the king?
context: I have no respect to show a being of flesh.\Who is she?\Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king? response:	He gets rambunctious, so I left him behind.
context: Who is she?\Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind. response:	I wanted to see you and your hatchling today.
context: Try not to talk to her too much.\She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today. response:	Oh?
context: She's the Queen of Faeries.\She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh? response:	You worship that foreign god.
context: She commands all of the creatures of the night in Britain.\Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh?\You worship that foreign god. response:	You're called a priest, are you not?
context: Titania.\You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh?\You worship that foreign god.\You're called a priest, are you not? response:	Y-Yeah.
context: You're perhaps the only one besides my husband that calls me by my name, Thorn.\Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh?\You worship that foreign god.\You're called a priest, are you not?\Y-Yeah. response:	Yes, though the scent is faint...
context: Where's the king?\He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh?\You worship that foreign god.\You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint... response:	Be gone.
context: He gets rambunctious, so I left him behind.\I wanted to see you and your hatchling today.\Oh?\You worship that foreign god.\You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint...\Be gone. response:	That was uncivil.
context: I wanted to see you and your hatchling today.\Oh?\You worship that foreign god.\You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint...\Be gone.\That was uncivil. response:	He'll merely wander the woods for a while.
context: Oh?\You worship that foreign god.\You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint...\Be gone.\That was uncivil.\He'll merely wander the woods for a while. response:	I'll return him after the hour of honey mead.
context: You worship that foreign god.\You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint...\Be gone.\That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead. response:	Now, Thorn, would you introduce me to your wife?
context: You're called a priest, are you not?\Y-Yeah.\Yes, though the scent is faint...\Be gone.\That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife? response:	Wow, a redhead.
context: Y-Yeah.\Yes, though the scent is faint...\Be gone.\That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead. response:	She'll become a great mage.
context: Yes, though the scent is faint...\Be gone.\That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage. response:	Oberon... What are you doing?
context: Be gone.\That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing? response:	Shucks, you found me.
context: That was uncivil.\He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me. response:	You weren't even trying to hide.
context: He'll merely wander the woods for a while.\I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide. response:	Faerie King Oberon.
context: I'll return him after the hour of honey mead.\Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon. response:	She's neither a toy nor a doll.
context: Now, Thorn, would you introduce me to your wife?\Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll. response:	Stand back, please.
context: Wow, a redhead.\She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please. response:	What, are you jealous?
context: She'll become a great mage.\Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please.\What, are you jealous? response:	You've finally come to that, huh?
context: Oberon... What are you doing?\Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please.\What, are you jealous?\You've finally come to that, huh? response:	I like it.
context: Shucks, you found me.\You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please.\What, are you jealous?\You've finally come to that, huh?\I like it. response:	How manly.
context: You weren't even trying to hide.\Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please.\What, are you jealous?\You've finally come to that, huh?\I like it.\How manly. response:	The one who wears a shell of flesh...
context: Faerie King Oberon.\She's neither a toy nor a doll.\Stand back, please.\What, are you jealous?\You've finally come to that, huh?\I like it.\How manly.\The one who wears a shell of flesh... response:	Seeing change in a halfling like yourself is splendid.
context: She's neither a toy nor a doll.\Stand back, please.\What, are you jealous?\You've finally come to that, huh?\I like it.\How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid. response:	You'd only been watching from the shadows until now,
context: Stand back, please.\What, are you jealous?\You've finally come to that, huh?\I like it.\How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now, response:	but you're trying to end your wandering by having a human nearby.
context: What, are you jealous?\You've finally come to that, huh?\I like it.\How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby. response:	Watching you act as though you were her parent or mate is quite fun.
context: You've finally come to that, huh?\I like it.\How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun. response:	Although...
context: I like it.\How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although... response:	I wonder how long you can keep up your false kindness for this one person.
context: How manly.\The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person. response:	Ow, ow, ow!
context: The one who wears a shell of flesh...\Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow! response:	You mustn't bully children, dear.
context: Seeing change in a halfling like yourself is splendid.\You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear. response:	You're here to see his mate today, aren't you?
context: You'd only been watching from the shadows until now,\but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you? response:	You're so soft when it comes to kids, Titania.
context: but you're trying to end your wandering by having a human nearby.\Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania. response:	Unfortunately, I'm not as unscrupulous as you are.
context: Watching you act as though you were her parent or mate is quite fun.\Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are. response:	You're so mean!
context: Although...\I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean! response:	Fine.
context: I wonder how long you can keep up your false kindness for this one person.\Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine. response:	Let's just hurry up and wake this sleepy-head.
context: Ow, ow, ow!\You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head. response:	Magic power.
context: You mustn't bully children, dear.\You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head.\Magic power. response:	I knew it.
context: You're here to see his mate today, aren't you?\You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it. response:	Our robin is beautiful when she opens her eyes.
context: You're so soft when it comes to kids, Titania.\Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it.\Our robin is beautiful when she opens her eyes. response:	Good morning, sweet maid who bears the name of birds.
context: Unfortunately, I'm not as unscrupulous as you are.\You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds. response:	Did you have sweet dreams?
context: You're so mean!\Fine.\Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams? response:	U-Uh...
context: Fine.\Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh... response:	Who are you?
context: Let's just hurry up and wake this sleepy-head.\Magic power.\I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh...\Who are you? response:	Morning, Chise.
context: Magic power.\I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh...\Who are you?\Morning, Chise. response:	Elias.
context: I knew it.\Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh...\Who are you?\Morning, Chise.\Elias. response:	Rejected.
context: Our robin is beautiful when she opens her eyes.\Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh...\Who are you?\Morning, Chise.\Elias.\Rejected. response:	A hatchling's imprinting sure is strong.
context: Good morning, sweet maid who bears the name of birds.\Did you have sweet dreams?\U-Uh...\Who are you?\Morning, Chise.\Elias.\Rejected.\A hatchling's imprinting sure is strong. response:	She just caught on to how terrible a person you are.
context: Did you have sweet dreams?\U-Uh...\Who are you?\Morning, Chise.\Elias.\Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are. response:	Um...
context: U-Uh...\Who are you?\Morning, Chise.\Elias.\Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um... response:	You were asleep for a while.
context: Who are you?\Morning, Chise.\Elias.\Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um...\You were asleep for a while. response:	How do you feel?
context: Morning, Chise.\Elias.\Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um...\You were asleep for a while.\How do you feel? response:	Are you tired or in pain?
context: Elias.\Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um...\You were asleep for a while.\How do you feel?\Are you tired or in pain? response:	Uh, I'm not.
context: Rejected.\A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um...\You were asleep for a while.\How do you feel?\Are you tired or in pain?\Uh, I'm not. response:	Good.
context: A hatchling's imprinting sure is strong.\She just caught on to how terrible a person you are.\Um...\You were asleep for a while.\How do you feel?\Are you tired or in pain?\Uh, I'm not.\Good. response:	Sorry to scare you.
context: She just caught on to how terrible a person you are.\Um...\You were asleep for a while.\How do you feel?\Are you tired or in pain?\Uh, I'm not.\Good.\Sorry to scare you. response:	Nice to meet you.
context: Um...\You were asleep for a while.\How do you feel?\Are you tired or in pain?\Uh, I'm not.\Good.\Sorry to scare you.\Nice to meet you. response:	I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg
context: You were asleep for a while.\How do you feel?\Are you tired or in pain?\Uh, I'm not.\Good.\Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg response:	And I'm her husband, Oberon!
context: How do you feel?\Are you tired or in pain?\Uh, I'm not.\Good.\Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon! response:	Nice to meet you.
context: Are you tired or in pain?\Uh, I'm not.\Good.\Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you. response:	Albion?
context: Uh, I'm not.\Good.\Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you.\Albion? response:	Tir?
context: Good.\Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you.\Albion?\Tir? response:	An old name for the island of Great Britain.
context: Sorry to scare you.\Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you.\Albion?\Tir?\An old name for the island of Great Britain. response:	Tir na nOg is the land of fairies
context: Nice to meet you.\I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you.\Albion?\Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies response:	Hey, girl, Chise, was it?
context: I'm Titania, queen of all faeries who live in Albion as well as Tir na nOg\And I'm her husband, Oberon!\Nice to meet you.\Albion?\Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it? response:	You aren't afraid of him?
context: And I'm her husband, Oberon!\Nice to meet you.\Albion?\Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him? response:	Are you okay?
context: Nice to meet you.\Albion?\Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay? response:	Not distressed?
context: Albion?\Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay?\Not distressed? response:	Sure.
context: Tir?\An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay?\Not distressed?\Sure. response:	Yes, I'm fine.
context: An old name for the island of Great Britain.\Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay?\Not distressed?\Sure.\Yes, I'm fine. response:	Oh, yeah?
context: Tir na nOg is the land of fairies\Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay?\Not distressed?\Sure.\Yes, I'm fine.\Oh, yeah? response:	I'm glad.
context: Hey, girl, Chise, was it?\You aren't afraid of him?\Are you okay?\Not distressed?\Sure.\Yes, I'm fine.\Oh, yeah?\I'm glad. response:	Yup.
context: You aren't afraid of him?\Are you okay?\Not distressed?\Sure.\Yes, I'm fine.\Oh, yeah?\I'm glad.\Yup. response:	As long as you aren't scared.
context: Are you okay?\Not distressed?\Sure.\Yes, I'm fine.\Oh, yeah?\I'm glad.\Yup.\As long as you aren't scared. response:	So, do you have kids yet?
context: Not distressed?\Sure.\Yes, I'm fine.\Oh, yeah?\I'm glad.\Yup.\As long as you aren't scared.\So, do you have kids yet? response:	Huh?
context: Sure.\Yes, I'm fine.\Oh, yeah?\I'm glad.\Yup.\As long as you aren't scared.\So, do you have kids yet?\Huh? response:	You're married, aren't you?
context: Yes, I'm fine.\Oh, yeah?\I'm glad.\Yup.\As long as you aren't scared.\So, do you have kids yet?\Huh?\You're married, aren't you? response:	Maybe you're too little still.
context: Oh, yeah?\I'm glad.\Yup.\As long as you aren't scared.\So, do you have kids yet?\Huh?\You're married, aren't you?\Maybe you're too little still. response:	I bet your child would be an excellent mage.
context: I'm glad.\Yup.\As long as you aren't scared.\So, do you have kids yet?\Huh?\You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage. response:	Kids are cute.
context: Yup.\As long as you aren't scared.\So, do you have kids yet?\Huh?\You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute. response:	Especially blondes!
context: As long as you aren't scared.\So, do you have kids yet?\Huh?\You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute.\Especially blondes! response:	Seriously.
context: So, do you have kids yet?\Huh?\You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute.\Especially blondes!\Seriously. response:	We really love blondes.
context: Huh?\You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute.\Especially blondes!\Seriously.\We really love blondes. response:	Spriggan.
context: You're married, aren't you?\Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute.\Especially blondes!\Seriously.\We really love blondes.\Spriggan. response:	Go.
context: Maybe you're too little still.\I bet your child would be an excellent mage.\Kids are cute.\Especially blondes!\Seriously.\We really love blondes.\Spriggan.\Go. response:	Ow, ow, ow!
context: I bet your child would be an excellent mage.\Kids are cute.\Especially blondes!\Seriously.\We really love blondes.\Spriggan.\Go.\Ow, ow, ow! response:	Not there, stop! Ow, ow, ow!
context: Kids are cute.\Especially blondes!\Seriously.\We really love blondes.\Spriggan.\Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow! response:	I guess he's kind of really stupid.
context: Especially blondes!\Seriously.\We really love blondes.\Spriggan.\Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid. response:	Pay him no mind.
context: Seriously.\We really love blondes.\Spriggan.\Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind. response:	Do forgive my fool of a husband.
context: We really love blondes.\Spriggan.\Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband. response:	I-Is he all right?
context: Spriggan.\Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right? response:	Don't worry.
context: Go.\Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right?\Don't worry. response:	He's enjoying it.
context: Ow, ow, ow!\Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right?\Don't worry.\He's enjoying it. response:	No!
context: Not there, stop! Ow, ow, ow!\I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right?\Don't worry.\He's enjoying it.\No! response:	Oh.
context: I guess he's kind of really stupid.\Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right?\Don't worry.\He's enjoying it.\No!\Oh. response:	He's one of those people.
context: Pay him no mind.\Do forgive my fool of a husband.\I-Is he all right?\Don't worry.\He's enjoying it.\No!\Oh.\He's one of those people. response:	Kids?
context: Do forgive my fool of a husband.\I-Is he all right?\Don't worry.\He's enjoying it.\No!\Oh.\He's one of those people.\Kids? response:	By kids, does he mean...
context: I-Is he all right?\Don't worry.\He's enjoying it.\No!\Oh.\He's one of those people.\Kids?\By kids, does he mean... response:	Is something the matter?
context: Don't worry.\He's enjoying it.\No!\Oh.\He's one of those people.\Kids?\By kids, does he mean...\Is something the matter? response:	No.
context: He's enjoying it.\No!\Oh.\He's one of those people.\Kids?\By kids, does he mean...\Is something the matter?\No. response:	It's nothing.
context: No!\Oh.\He's one of those people.\Kids?\By kids, does he mean...\Is something the matter?\No.\It's nothing. response:	Elias?
context: Oh.\He's one of those people.\Kids?\By kids, does he mean...\Is something the matter?\No.\It's nothing.\Elias? response:	Nothing, my gut just...
context: He's one of those people.\Kids?\By kids, does he mean...\Is something the matter?\No.\It's nothing.\Elias?\Nothing, my gut just... response:	I don't know.
context: Kids?\By kids, does he mean...\Is something the matter?\No.\It's nothing.\Elias?\Nothing, my gut just...\I don't know. response:	Oh dear, oh dear.
context: By kids, does he mean...\Is something the matter?\No.\It's nothing.\Elias?\Nothing, my gut just...\I don't know.\Oh dear, oh dear. response:	This good-for-nothing makes himself useful once in a while.
context: Is something the matter?\No.\It's nothing.\Elias?\Nothing, my gut just...\I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while. response:	I'll be excusing myself now, especially since this idiot is here.
context: No.\It's nothing.\Elias?\Nothing, my gut just...\I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here. response:	We'll talk another time.
context: It's nothing.\Elias?\Nothing, my gut just...\I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time. response:	I'm glad I got to meet the hatchling mage.
context: Elias?\Nothing, my gut just...\I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage. response:	Come visit us someday.
context: Nothing, my gut just...\I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday. response:	We'll hold a banquet.
context: I don't know.\Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet. response:	I'll go, if you intend to let us come home.
context: Oh dear, oh dear.\This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home. response:	We'll see.
context: This good-for-nothing makes himself useful once in a while.\I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see. response:	Every being of the night, including she and you, are my adorable little children.
context: I'll be excusing myself now, especially since this idiot is here.\We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children. response:	Well then, good day.
context: We'll talk another time.\I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day. response:	Toodles!
context: I'm glad I got to meet the hatchling mage.\Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles! response:	Don't you dare think of setting foot there, even if the queen allows it.
context: Come visit us someday.\We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it. response:	It's no place for a half-baked creature with a shell of flesh.
context: We'll hold a banquet.\I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh. response:	Those with shells bring only calamity.
context: I'll go, if you intend to let us come home.\We'll see.\Every being of the night, including she and you, are my adorable little children.\Well then, good day.\Toodles!\Don't you dare think of setting foot there, even if the queen allows it.\It's no place for a half-baked creature with a shell of flesh.\Those with shells bring only calamity. response:	I know.
