context: The experiments we've run so far response:	prove that the D-mails are being sent to the past.
context: That's sexual harassment, and she doesn't have to accept it.\Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic... response:	Physical time travel!
context: Here's yours, Okarin!\Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel! response:	Mayuri, is there still barley tea in the fridge?
context: Thanks.\No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge? response:	One second.
context: No, wait. I said we're having a Round Table!\You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second. response:	Realistic.
context: You're the one who wanted me to bring lunch.\Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second.\Realistic. response:	It's me!
context: Don't mind him.\Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second.\Realistic.\It's me! response:	The Organization has initiated an operation to tear apart the lab.
context: Obviously, it isn't anything important.\You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second.\Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab. response:	The words of me, Hououin Kyouma,
context: You can say that after you hear the discussion topic...\Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second.\Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma, response:	fail to reach them!
context: Physical time travel!\Mayuri, is there still barley tea in the fridge?\One second.\Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them! response:	Do they ever?
context: Mayuri, is there still barley tea in the fridge?\One second.\Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them!\Do they ever? response:	Then why are you ignoring my awesome topic?
context: One second.\Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic? response:	Because it's impossible.
context: Realistic.\It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible. response:	We can send messages to the past.
context: It's me!\The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past. response:	It must be possible...
context: The Organization has initiated an operation to tear apart the lab.\The words of me, Hououin Kyouma,\fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past.\It must be possible... response:	It's not.
context: The words of me, Hououin Kyouma,\fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past.\It must be possible...\It's not. response:	We can send thirty-six bytes plus some extra.
context: fail to reach them!\Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past.\It must be possible...\It's not.\We can send thirty-six bytes plus some extra. response:	Three messages, with six characters.
context: Do they ever?\Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past.\It must be possible...\It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters. response:	No more.
context: Then why are you ignoring my awesome topic?\Because it's impossible.\We can send messages to the past.\It must be possible...\It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more. response:	If you want to experiment, why not be the guinea pig?
context: Because it's impossible.\We can send messages to the past.\It must be possible...\It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig? response:	That's if you don't mind ending up as a gel-Okarin.
context: We can send messages to the past.\It must be possible...\It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin. response:	Gel-Okarin, huh?
context: It must be possible...\It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh? response:	That'd really hurt.
context: It's not.\We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt. response:	SERN's experiments prove the difficulties
context: We can send thirty-six bytes plus some extra.\Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties response:	inherent to physical time travel.
context: Three messages, with six characters.\No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel. response:	Even using the LHC, biggest in the world,
context: No more.\If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world, response:	they've had no success.
context: If you want to experiment, why not be the guinea pig?\That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success. response:	We can't possibly do it with this equipment.
context: That's if you don't mind ending up as a gel-Okarin.\Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment. response:	Then how do the messages get to the past?
context: Gel-Okarin, huh?\That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past? response:	I don't know.
context: That'd really hurt.\SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know. response:	That's the problem.
context: SERN's experiments prove the difficulties\inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know.\That's the problem. response:	Like I said before,
context: inherent to physical time travel.\Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know.\That's the problem.\Like I said before, response:	SERN's trying to use the lifter-black hole combination
context: Even using the LHC, biggest in the world,\they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know.\That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination response:	to achieve time travel.
context: they've had no success.\We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know.\That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel. response:	The Phone Microwave probably works on the same principle.
context: We can't possibly do it with this equipment.\Then how do the messages get to the past?\I don't know.\That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle. response:	But the microwave doesn't have anything
context: Then how do the messages get to the past?\I don't know.\That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything response:	to function as a lifter.
context: I don't know.\That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter. response:	So where is it?
context: That's the problem.\Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter.\So where is it? response:	I don't know.
context: Like I said before,\SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter.\So where is it?\I don't know. response:	We're limited in the times we can send D-mail, too.
context: SERN's trying to use the lifter-black hole combination\to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter.\So where is it?\I don't know.\We're limited in the times we can send D-mail, too. response:	Currently, we can't be sure that this machine
context: to achieve time travel.\The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter.\So where is it?\I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine response:	really sends messages to the past.
context: The Phone Microwave probably works on the same principle.\But the microwave doesn't have anything\to function as a lifter.\So where is it?\I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past. response:	Before we continue,
context: But the microwave doesn't have anything\to function as a lifter.\So where is it?\I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue, response:	we should deal with the issues before us first.
context: to function as a lifter.\So where is it?\I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue,\we should deal with the issues before us first. response:	Boring!
context: So where is it?\I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue,\we should deal with the issues before us first.\Boring! response:	99.9 of science is boring.
context: I don't know.\We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue,\we should deal with the issues before us first.\Boring!\99.9 of science is boring. response:	If you call yourself a scientist...
context: We're limited in the times we can send D-mail, too.\Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue,\we should deal with the issues before us first.\Boring!\99.9 of science is boring.\If you call yourself a scientist... response:	I'm not a scientist!
context: Currently, we can't be sure that this machine\really sends messages to the past.\Before we continue,\we should deal with the issues before us first.\Boring!\99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist! response:	I'm a mad scientist!
context: really sends messages to the past.\Before we continue,\we should deal with the issues before us first.\Boring!\99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist! response:	Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.
context: Before we continue,\we should deal with the issues before us first.\Boring!\99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm. response:	Miss Makise...
context: we should deal with the issues before us first.\Boring!\99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise... response:	You aren't a...
context: Boring!\99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a... response:	Shut up!
context: 99.9 of science is boring.\If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a...\Shut up! response:	Not another word!
context: If you call yourself a scientist...\I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a...\Shut up!\Not another word! response:	Because that's impossible!
context: I'm not a scientist!\I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a...\Shut up!\Not another word!\Because that's impossible! response:	Get back on topic, already.
context: I'm a mad scientist!\Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a...\Shut up!\Not another word!\Because that's impossible!\Get back on topic, already. response:	Continuing on to the reports.
context: Yo, I heard you like fail, so we put some fail in your fail, so you can facepalm while you facepalm.\Miss Makise...\You aren't a...\Shut up!\Not another word!\Because that's impossible!\Get back on topic, already.\Continuing on to the reports. response:	How's the translation of
context: Miss Makise...\You aren't a...\Shut up!\Not another word!\Because that's impossible!\Get back on topic, already.\Continuing on to the reports.\How's the translation of response:	the SERN server documents going, Christina?
context: You aren't a...\Shut up!\Not another word!\Because that's impossible!\Get back on topic, already.\Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina? response:	AKA, 2channer!
context: Shut up!\Not another word!\Because that's impossible!\Get back on topic, already.\Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina?\AKA, 2channer! response:	I told you that's not true!
context: Not another word!\Because that's impossible!\Get back on topic, already.\Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true! response:	Then you sure know your memes.
context: Because that's impossible!\Get back on topic, already.\Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true!\Then you sure know your memes. response:	I do not!
context: Get back on topic, already.\Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true!\Then you sure know your memes.\I do not! response:	Nothing to report.
context: Continuing on to the reports.\How's the translation of\the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true!\Then you sure know your memes.\I do not!\Nothing to report. response:	I see.
context: How's the translation of\the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true!\Then you sure know your memes.\I do not!\Nothing to report.\I see. response:	Continue your investigations...
context: the SERN server documents going, Christina?\AKA, 2channer!\I told you that's not true!\Then you sure know your memes.\I do not!\Nothing to report.\I see.\Continue your investigations... response:	2channer!
context: AKA, 2channer!\I told you that's not true!\Then you sure know your memes.\I do not!\Nothing to report.\I see.\Continue your investigations...\2channer! response:	Stop calling me that!
context: I told you that's not true!\Then you sure know your memes.\I do not!\Nothing to report.\I see.\Continue your investigations...\2channer!\Stop calling me that! response:	Daru's up next. How's the hacking coming?
context: Then you sure know your memes.\I do not!\Nothing to report.\I see.\Continue your investigations...\2channer!\Stop calling me that!\Daru's up next. How's the hacking coming? response:	No change.
context: I do not!\Nothing to report.\I see.\Continue your investigations...\2channer!\Stop calling me that!\Daru's up next. How's the hacking coming?\No change. response:	Probably, until I analyze the mysterious program
context: Nothing to report.\I see.\Continue your investigations...\2channer!\Stop calling me that!\Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program response:	on the other server, there'll be no change.
context: I see.\Continue your investigations...\2channer!\Stop calling me that!\Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change. response:	How's the IBN 5100 analysis going?
context: Continue your investigations...\2channer!\Stop calling me that!\Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going? response:	Be great if I could do it.
context: 2channer!\Stop calling me that!\Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it. response:	What do you mean?
context: Stop calling me that!\Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean? response:	Huh?
context: Daru's up next. How's the hacking coming?\No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean?\Huh? response:	You haven't started the analysis?
context: No change.\Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean?\Huh?\You haven't started the analysis? response:	How should I do that?
context: Probably, until I analyze the mysterious program\on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean?\Huh?\You haven't started the analysis?\How should I do that? response:	Where's the IBN 5100?
context: on the other server, there'll be no change.\How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean?\Huh?\You haven't started the analysis?\How should I do that?\Where's the IBN 5100? response:	How would I know?
context: How's the IBN 5100 analysis going?\Be great if I could do it.\What do you mean?\Huh?\You haven't started the analysis?\How should I do that?\Where's the IBN 5100?\How would I know? response:	It can't be...
context: Be great if I could do it.\What do you mean?\Huh?\You haven't started the analysis?\How should I do that?\Where's the IBN 5100?\How would I know?\It can't be... response:	Okarin, what's wrong?
context: What do you mean?\Huh?\You haven't started the analysis?\How should I do that?\Where's the IBN 5100?\How would I know?\It can't be...\Okarin, what's wrong? response:	Christina...
context: Huh?\You haven't started the analysis?\How should I do that?\Where's the IBN 5100?\How would I know?\It can't be...\Okarin, what's wrong?\Christina... response:	Did I, by any chance, not find the IBN 5100?
context: You haven't started the analysis?\How should I do that?\Where's the IBN 5100?\How would I know?\It can't be...\Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100? response:	You don't even know where it is.
context: How should I do that?\Where's the IBN 5100?\How would I know?\It can't be...\Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is. response:	I see.
context: Where's the IBN 5100?\How would I know?\It can't be...\Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see. response:	So if I decide to believe what you say, you found the IBN 5100.
context: How would I know?\It can't be...\Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100. response:	Yes.
context: It can't be...\Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes. response:	I carried it back here with you.
context: Okarin, what's wrong?\Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you. response:	But you're the only one with any memory of that.
context: Christina...\Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you.\But you're the only one with any memory of that. response:	The D-mails probably changed the past.
context: Did I, by any chance, not find the IBN 5100?\You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past. response:	Changed the past...
context: You don't even know where it is.\I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past... response:	But we've only sent minor stuff.
context: I see.\So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff. response:	The Butterfly Effect.
context: So if I decide to believe what you say, you found the IBN 5100.\Yes.\I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff.\The Butterfly Effect. response:	Sending one message into the past
context: Yes.\I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past response:	causes the world line to split.
context: I carried it back here with you.\But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past\causes the world line to split. response:	From a world where we didn't buy a Lotto-6 ticket
context: But you're the only one with any memory of that.\The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket response:	to one where we did.
context: The D-mails probably changed the past.\Changed the past...\But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did. response:	Little by little, this changes what was meant to happen.
context: Changed the past...\But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen. response:	One change causes another,
context: But we've only sent minor stuff.\The Butterfly Effect.\Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen.\One change causes another, response:	and they pile on top of one another.
context: The Butterfly Effect.\Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another. response:	It's one of the long-recognized risks of altering the past.
context: Sending one message into the past\causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past. response:	Then where is the IBN 5100?
context: causes the world line to split.\From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100? response:	Let me ask this instead.
context: From a world where we didn't buy a Lotto-6 ticket\to one where we did.\Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead. response:	Where was it?
context: to one where we did.\Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead.\Where was it? response:	Yes, when I asked my dad, he said it used to be here, but...
context: Little by little, this changes what was meant to happen.\One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but... response:	It's gone now.
context: One change causes another,\and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now. response:	I see.
context: and they pile on top of one another.\It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see. response:	Well?
context: It's one of the long-recognized risks of altering the past.\Then where is the IBN 5100?\Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see.\Well? response:	There was an IBN 5100 at Yanabayashi Shrine.
context: Then where is the IBN 5100?\Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine. response:	But it's gone now.
context: Let me ask this instead.\Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now. response:	No one knows when it was taken or by whom.
context: Where was it?\Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom. response:	A dead end, huh?
context: Yes, when I asked my dad, he said it used to be here, but...\It's gone now.\I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh? response:	But it's strange to donate a PC to a shrine.
context: It's gone now.\I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine. response:	I wonder who'd have done that.
context: I see.\Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that. response:	Feyris-chan?
context: Well?\There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan? response:	What's up?
context: There was an IBN 5100 at Yanabayashi Shrine.\But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan?\What's up? response:	Here's the list I wrote of ten questions
context: But it's gone now.\No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan?\What's up?\Here's the list I wrote of ten questions response:	to ask the maids, at the next event.
context: No one knows when it was taken or by whom.\A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan?\What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event. response:	Let me see...
context: A dead end, huh?\But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan?\What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see... response:	If you could go back and redo one thing from your past, what would it be?
context: But it's strange to donate a PC to a shrine.\I wonder who'd have done that.\Feyris-chan?\What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be? response:	What would you do, Feyris-chan?
context: I wonder who'd have done that.\Feyris-chan?\What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan? response:	Let me think...
context: Feyris-chan?\What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think... response:	Feyris... doesn't look back at her past! Let's go.
context: What's up?\Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go. response:	It's the task of the cat-eared maid,
context: Here's the list I wrote of ten questions\to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid, response:	who brings everyone happiness, to forge ahead!
context: to ask the maids, at the next event.\Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead! response:	Oh, my phone!
context: Let me see...\If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone! response:	Hi, this is Feyris.
context: If you could go back and redo one thing from your past, what would it be?\What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris. response:	Kyouma.
context: What would you do, Feyris-chan?\Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris.\Kyouma. response:	A PC?
context: Let me think...\Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris.\Kyouma.\A PC? response:	An IBN 5100.
context: Feyris... doesn't look back at her past! Let's go.\It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris.\Kyouma.\A PC?\An IBN 5100. response:	Did your family give it to Yanabayashi Shrine?
context: It's the task of the cat-eared maid,\who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris.\Kyouma.\A PC?\An IBN 5100.\Did your family give it to Yanabayashi Shrine? response:	I don't really remember...
context: who brings everyone happiness, to forge ahead!\Oh, my phone!\Hi, this is Feyris.\Kyouma.\A PC?\An IBN 5100.\Did your family give it to Yanabayashi Shrine?\I don't really remember... response:	But you're right. My dad did have a lot of old PCs.
context: Oh, my phone!\Hi, this is Feyris.\Kyouma.\A PC?\An IBN 5100.\Did your family give it to Yanabayashi Shrine?\I don't really remember...\But you're right. My dad did have a lot of old PCs. response:	Kyouma...
