context: How audacious it was for them to attempt to inflict even one injury upon me. response:	Such extreme examples of those who did not keep their places.
context: B- b- but didn't we just rescue you from that dinosaur?\B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear? response:	Unbelievable. What sort of goofing-off have you been up to?
context: B- Bulma- san, at any rate, we need the Dragon Radar!\If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to? response:	G- goofing-off, she says. Scratch, scratch...
context: If everything works out, we may still be able to get our wish granted!\What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch... response:	Bulma- san, pardon me for a second.
context: What's this? You still haven't gotten our wish granted?\I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second. response:	Kuririn- san, I've got it. It's that way!
context: I saw from the Radar all seven Dragon Balls had been gathered in one place.\I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way! response:	Okay, we're off!
context: I was sure you were the ones who had gotten them together,\and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off! response:	Hold on! Tell me what's going on!
context: and I was on my way to meet you.\And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on! response:	We're in a hurry right now, so we'll explain later.
context: And now what do I hear?\Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later. response:	Bulma- san, please wait for us back at that island.
context: Unbelievable. What sort of goofing-off have you been up to?\G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island. response:	Huh!? You've got to be kidding! You expect me to walk back from here?
context: G- goofing-off, she says. Scratch, scratch...\Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here? response:	How can you? This is so mean of you!
context: Bulma- san, pardon me for a second.\Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you! response:	Oh yeah, Father has arrived!
context: Kuririn- san, I've got it. It's that way!\Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived! response:	R- really? How is he? Has he gotten much stronger?
context: Okay, we're off!\Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger? response:	Gohan, let's hurry!
context: Hold on! Tell me what's going on!\We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry! response:	Right!
context: We're in a hurry right now, so we'll explain later.\Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right! response:	Son- kun, huh?
context: Bulma- san, please wait for us back at that island.\Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right!\Son- kun, huh? response:	I didn't think he would turn out as handsome as he did.
context: Huh!? You've got to be kidding! You expect me to walk back from here?\How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did. response:	With Yamucha as my boyfriend, all he and I have ever done is fight...
context: How can you? This is so mean of you!\Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight... response:	Maybe I blew it.
context: Oh yeah, Father has arrived!\R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it. response:	Wha- wha-
context: R- really? How is he? Has he gotten much stronger?\Gohan, let's hurry!\Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha- response:	What are you doing?!
context: Gohan, let's hurry!\Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha-\What are you doing?! response:	What the?
context: Right!\Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha-\What are you doing?!\What the? response:	Y- you're not a... Super Saiyan...
context: Son- kun, huh?\I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha-\What are you doing?!\What the?\Y- you're not a... Super Saiyan... response:	T- taken a liking?
context: I didn't think he would turn out as handsome as he did.\With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha-\What are you doing?!\What the?\Y- you're not a... Super Saiyan...\T- taken a liking? response:	S- sure enough, Commander Ginyu is planning on doing that...
context: With Yamucha as my boyfriend, all he and I have ever done is fight...\Maybe I blew it.\Wha- wha-\What are you doing?!\What the?\Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that... response:	Amazing! How was he able to find that much power in his condition?
context: Maybe I blew it.\Wha- wha-\What are you doing?!\What the?\Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition? response:	H- here it comes...
context: Wha- wha-\What are you doing?!\What the?\Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes... response:	C - Change!!
context: What are you doing?!\What the?\Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!! response:	H- how come... I'm... over... there?
context: What the?\Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!!\H- how come... I'm... over... there? response:	I've made an exchange, your body for mine.
context: Y- you're not a... Super Saiyan...\T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine. response:	Y- you did what?
context: T- taken a liking?\S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what? response:	Commander Ginyu!
context: S- sure enough, Commander Ginyu is planning on doing that...\Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu! response:	Here's your Scouter.
context: Amazing! How was he able to find that much power in his condition?\H- here it comes...\C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu!\Here's your Scouter. response:	All right, we're returning to the ship.
context: H- here it comes...\C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship. response:	Freeza- sama may be on his way back, as well.
context: C - Change!!\H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well. response:	Yes, sir!
context: H- how come... I'm... over... there?\I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir! response:	This body is even faster!
context: I've made an exchange, your body for mine.\Y- you did what?\Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster! response:	So this is the reason why he injured himself...
context: Y- you did what?\Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster!\So this is the reason why he injured himself... response:	Oh no! At this rate I, I mean, he and Kuririn will meet up!
context: Commander Ginyu!\Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up! response:	Dammit, not only am I unfamiliar with this body,
context: Here's your Scouter.\All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body, response:	but with this wound, I can't fly so well.
context: All right, we're returning to the ship.\Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well. response:	On top of that, if I manage to safely get back to Earth,
context: Freeza- sama may be on his way back, as well.\Yes, sir!\This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth, response:	l'll probably just get Chichi angry at me again.
context: Yes, sir!\This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again. response:	L - look at the face l've got now!
context: This body is even faster!\So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again.\L - look at the face l've got now! response:	l'm done for!
context: So this is the reason why he injured himself...\Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again.\L - look at the face l've got now!\l'm done for! response:	What's this? Goku and Ginyu have exchanged bodies!
context: Oh no! At this rate I, I mean, he and Kuririn will meet up!\Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again.\L - look at the face l've got now!\l'm done for!\What's this? Goku and Ginyu have exchanged bodies! response:	Flying toward Freeza's spaceship in search of the Dragon Balls were
context: Dammit, not only am I unfamiliar with this body,\but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again.\L - look at the face l've got now!\l'm done for!\What's this? Goku and Ginyu have exchanged bodies!\Flying toward Freeza's spaceship in search of the Dragon Balls were response:	Gohan, Kuririn, Vegeta, and Ginyu!
context: but with this wound, I can't fly so well.\On top of that, if I manage to safely get back to Earth,\l'll probably just get Chichi angry at me again.\L - look at the face l've got now!\l'm done for!\What's this? Goku and Ginyu have exchanged bodies!\Flying toward Freeza's spaceship in search of the Dragon Balls were\Gohan, Kuririn, Vegeta, and Ginyu! response:	The battle revolving around the Dragon Balls has taken yet another radical turn!
