context: Does it hurt? response:	I hate how it's come down to this.
context: We're hungry, too. We don't have any food for monsters...\You don't mean...\Num-num...\No, don't eat me! I don't taste good!\Num-num...\Help me, bro!\Huh? Ouch...\To think I'd meet travelers here. response:	What a curiosity you are.
context: You don't mean...\Num-num...\No, don't eat me! I don't taste good!\Num-num...\Help me, bro!\Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are. response:	You must not have known, but it's dangerous here at night.
context: Num-num...\No, don't eat me! I don't taste good!\Num-num...\Help me, bro!\Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night. response:	A ghoul haunts this place.
context: No, don't eat me! I don't taste good!\Num-num...\Help me, bro!\Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place. response:	A ghoul...
context: Num-num...\Help me, bro!\Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul... response:	Come to my house if you'd like.
context: Help me, bro!\Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul...\Come to my house if you'd like. response:	I wouldn't like to hear of people being eaten in my mountain village.
context: Huh? Ouch...\To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village. response:	Bro...
context: To think I'd meet travelers here.\What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro... response:	My name is Sabame. I am the lord of this land.
context: What a curiosity you are.\You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land. response:	I'd like to hear about your travels.
context: You must not have known, but it's dangerous here at night.\A ghoul haunts this place.\A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels. response:	Hey, he isn't really a monster, is he?
context: A ghoul haunts this place.\A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he? response:	I'm not sure.
context: A ghoul...\Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure. response:	Good evening, Lord Sabame.
context: Come to my house if you'd like.\I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame. response:	Out on watch? You are such a hard working man.
context: I wouldn't like to hear of people being eaten in my mountain village.\Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man. response:	I'm just looking out for my village.
context: Bro...\My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village. response:	We live in peace thanks to you, my lord.
context: My name is Sabame. I am the lord of this land.\I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord. response:	Come to think of it, where did that monster baby go?
context: I'd like to hear about your travels.\Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go? response:	This is my residence.
context: Hey, he isn't really a monster, is he?\I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence. response:	Do come in.
context: I'm not sure.\Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence.\Do come in. response:	It's an old country dance. Do you not like it?
context: Good evening, Lord Sabame.\Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence.\Do come in.\It's an old country dance. Do you not like it? response:	More please, lots of it!
context: Out on watch? You are such a hard working man.\I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence.\Do come in.\It's an old country dance. Do you not like it?\More please, lots of it! response:	Thanks.
context: I'm just looking out for my village.\We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence.\Do come in.\It's an old country dance. Do you not like it?\More please, lots of it!\Thanks. response:	You're a really great guy, feeding us strangers like this.
context: We live in peace thanks to you, my lord.\Come to think of it, where did that monster baby go?\This is my residence.\Do come in.\It's an old country dance. Do you not like it?\More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this. response:	I enjoy listening to travelers' tales.
context: Come to think of it, where did that monster baby go?\This is my residence.\Do come in.\It's an old country dance. Do you not like it?\More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales. response:	Since I've never left this land myself.
context: This is my residence.\Do come in.\It's an old country dance. Do you not like it?\More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself. response:	Yeah? But I bet you've got some interesting stories, too.
context: Do come in.\It's an old country dance. Do you not like it?\More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too. response:	Like that ghoul in the burnt-out temple.
context: It's an old country dance. Do you not like it?\More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple. response:	It's not a pretty story.
context: More please, lots of it!\Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story. response:	There used to be a nunnery up there.
context: Thanks.\You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there. response:	The nun took in orphans from the surrounding villages.
context: You're a really great guy, feeding us strangers like this.\I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages. response:	They were forced to work like farm animals.
context: I enjoy listening to travelers' tales.\Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals. response:	And if they disobeyed...
context: Since I've never left this land myself.\Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed... response:	After working for a few years, they'd be sold off.
context: Yeah? But I bet you've got some interesting stories, too.\Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off. response:	The heavens must've had enough of it.
context: Like that ghoul in the burnt-out temple.\It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it. response:	One night, lightning struck the temple and set it alight.
context: It's not a pretty story.\There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight. response:	It was all gone in a few minutes.
context: There used to be a nunnery up there.\The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes. response:	Nun, children, and all.
context: The nun took in orphans from the surrounding villages.\They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all. response:	That's awful. All the kids, too?
context: They were forced to work like farm animals.\And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too? response:	We regretted not doing something earlier.
context: And if they disobeyed...\After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier. response:	It's too late for regrets, but we pray for those poor souls.
context: After working for a few years, they'd be sold off.\The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls. response:	-And the ghoul? -It's the ghost of the nun.
context: The heavens must've had enough of it.\One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun. response:	She couldn't go up to heaven, I suppose.
context: One night, lightning struck the temple and set it alight.\It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose. response:	She appears nightly and eats those that happen to pass by.
context: It was all gone in a few minutes.\Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by. response:	I'm so glad we weren't one of them.
context: Nun, children, and all.\That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them. response:	All thanks to you.
context: That's awful. All the kids, too?\We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you. response:	I'm glad to hear that.
context: We regretted not doing something earlier.\It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that. response:	It's late now.
context: It's too late for regrets, but we pray for those poor souls.\-And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that.\It's late now. response:	Feel free to stay here and rest as long as you wish.
context: -And the ghoul? -It's the ghost of the nun.\She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish. response:	Hey, bro? Do you believe everything he said?
context: She couldn't go up to heaven, I suppose.\She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said? response:	About the ghoul, no.
context: She appears nightly and eats those that happen to pass by.\I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no. response:	Yeah. And about how the temple was burnt down by lightning.
context: I'm so glad we weren't one of them.\All thanks to you.\I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning. response:	Those oil stains must mean somebody set it on fire.
context: All thanks to you.\I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire. response:	We'll see in time.
context: I'm glad to hear that.\It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time. response:	You think a demon will come here?
context: It's late now.\Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here? response:	I-I'm not scared, you know.
context: Feel free to stay here and rest as long as you wish.\Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here?\I-I'm not scared, you know. response:	But jeez, this house sure is cold.
context: Hey, bro? Do you believe everything he said?\About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold. response:	I think there's a draft.
context: About the ghoul, no.\Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft. response:	Bro, are you asleep?
context: Yeah. And about how the temple was burnt down by lightning.\Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep? response:	What you have on your back can move people and change the world.
context: Those oil stains must mean somebody set it on fire.\We'll see in time.\You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world. response:	It's a source of great power.
context: We'll see in time.\You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power. response:	Listen now, Dororo.
context: You think a demon will come here?\I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo. response:	This is your papa's lifelong ambition.
context: I-I'm not scared, you know.\But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition. response:	What am I supposed to do? I haven't the slightest clue.
context: But jeez, this house sure is cold.\I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue. response:	Keeping true to your ambition when it could mean life or death...
context: I think there's a draft.\Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death... response:	that isn't something just anyone can do.
context: Bro, are you asleep?\What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do. response:	Don't blame me. I've been on my own all this time.
context: What you have on your back can move people and change the world.\It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time. response:	Why'd you have to die, Mama?
context: It's a source of great power.\Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama? response:	Bro, there's something there!
context: Listen now, Dororo.\This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there! response:	Bro, wake up! Come on!
context: This is your papa's lifelong ambition.\What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on! response:	-Bro! -Stand back.
context: What am I supposed to do? I haven't the slightest clue.\Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back. response:	It spat silk? Hey!
context: Keeping true to your ambition when it could mean life or death...\that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey! response:	You did it, bro!
context: that isn't something just anyone can do.\Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey!\You did it, bro! response:	Huh?
context: Don't blame me. I've been on my own all this time.\Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey!\You did it, bro!\Huh? response:	What the...
context: Why'd you have to die, Mama?\Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey!\You did it, bro!\Huh?\What the... response:	What is this?
context: Bro, there's something there!\Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey!\You did it, bro!\Huh?\What the...\What is this? response:	It took the caterpillar.
context: Bro, wake up! Come on!\-Bro! -Stand back.\It spat silk? Hey!\You did it, bro!\Huh?\What the...\What is this?\It took the caterpillar. response:	Phew, that scared me.
context: -Bro! -Stand back.\It spat silk? Hey!\You did it, bro!\Huh?\What the...\What is this?\It took the caterpillar.\Phew, that scared me. response:	It must be some moth or butterfly monster.
context: It spat silk? Hey!\You did it, bro!\Huh?\What the...\What is this?\It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster. response:	This powder makes my skin tingle. It's not poison, is it?
context: You did it, bro!\Huh?\What the...\What is this?\It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it? response:	Wash it off.
context: Huh?\What the...\What is this?\It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off. response:	Let's use that pond in the garden.
context: What the...\What is this?\It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden. response:	Hey bro? Was that huge thing...?
context: What is this?\It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...? response:	A demon.
context: It took the caterpillar.\Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon. response:	It took that caterpillar monster away.
context: Phew, that scared me.\It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away. response:	You think it came to save its kid?
context: It must be some moth or butterfly monster.\This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away.\You think it came to save its kid? response:	Lord Sabame.
context: This powder makes my skin tingle. It's not poison, is it?\Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame. response:	I finally got you some food. Two of them, too.
context: Wash it off.\Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too. response:	The children must be happy today.
context: Let's use that pond in the garden.\Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today. response:	They could not eat.
context: Hey bro? Was that huge thing...?\A demon.\It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat. response:	It is too strong.
context: A demon.\It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat.\It is too strong. response:	You were beaten?
context: It took that caterpillar monster away.\You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat.\It is too strong.\You were beaten? response:	The one The Twelfth could not devour.
context: You think it came to save its kid?\Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat.\It is too strong.\You were beaten?\The one The Twelfth could not devour. response:	It has come for what was taken from it.
context: Lord Sabame.\I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat.\It is too strong.\You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it. response:	I will let nothing and nobody lay a finger on you or the children.
context: I finally got you some food. Two of them, too.\The children must be happy today.\They could not eat.\It is too strong.\You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children. response:	For my land and for my people.
context: The children must be happy today.\They could not eat.\It is too strong.\You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people. response:	Born into this world
context: They could not eat.\It is too strong.\You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world response:	There is no salvation
context: It is too strong.\You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world\There is no salvation response:	The distorted shape of the heart
context: You were beaten?\The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world\There is no salvation\The distorted shape of the heart response:	Yet it beats courageously
context: The one The Twelfth could not devour.\It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously response:	There is no turning back
context: It has come for what was taken from it.\I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back response:	Even from the path of evil
context: I will let nothing and nobody lay a finger on you or the children.\For my land and for my people.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil response:	Witnessing the withering seasons
context: For my land and for my people.\Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons response:	We search for the truth
context: Born into this world\There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth response:	In our ugliness
context: There is no salvation\The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness response:	We don't even recognize the pain
context: The distorted shape of the heart\Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain response:	As we peel back the skin
context: Yet it beats courageously\There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin response:	We are forever tormented by our stupidity
context: There is no turning back\Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity response:	But if the dawn never comes
context: Even from the path of evil\Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes response:	Through the painful night
context: Witnessing the withering seasons\We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night response:	You who distrusts nothing
context: We search for the truth\In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing response:	You will be able to love this accursed world
context: In our ugliness\We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world response:	Now that we carry the world on our shoulders
context: We don't even recognize the pain\As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders response:	It's time to take it back
context: As we peel back the skin\We are forever tormented by our stupidity\But if the dawn never comes\Through the painful night\You who distrusts nothing\You will be able to love this accursed world\Now that we carry the world on our shoulders\It's time to take it back response:	Maimai-onba
