context: Scrambled Eggs response:	Let's do this, then.
context: I can't talk to the other girls about it.\There's someone I like.\Where is everyone?\I need grub.\I need food!\That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it. response:	S-So we went to buy curtains,
context: There's someone I like.\Where is everyone?\I need grub.\I need food!\That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains, response:	but all of us had differing tastes.
context: Where is everyone?\I need grub.\I need food!\That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes. response:	Uesugi-kun...
context: I need grub.\I need food!\That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun... response:	How long do I need to be here for?
context: I need food!\That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for? response:	We all chose different curtains, and things got kind of ugly at one point.
context: That's not quite right.\I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point. response:	I haven't even had breakfast yet.
context: I'm in dire need of food!\Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet. response:	I am in dire need of some food!
context: Yup, that's how Itsuki would say it.\S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food! response:	You must have been surprised when you saw Dad with us.
context: S-So we went to buy curtains,\but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us. response:	Yeah.
context: but all of us had differing tastes.\Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah. response:	I accidentally wrote our old address when I signed up for the giveaway with you.
context: Uesugi-kun...\How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you. response:	Although we all got to be here together as a result.
context: How long do I need to be here for?\We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result. response:	It's Miku.
context: We all chose different curtains, and things got kind of ugly at one point.\I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku. response:	I could never tell from how she looks.
context: I haven't even had breakfast yet.\I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks. response:	All you need is love!
context: I am in dire need of some food!\You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks.\All you need is love! response:	Don't give up!
context: You must have been surprised when you saw Dad with us.\Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks.\All you need is love!\Don't give up! response:	Observe her carefully!
context: Yeah.\I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks.\All you need is love!\Don't give up!\Observe her carefully! response:	Love all the way!
context: I accidentally wrote our old address when I signed up for the giveaway with you.\Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks.\All you need is love!\Don't give up!\Observe her carefully!\Love all the way! response:	Itsuki says there's something bothering Miku, too.
context: Although we all got to be here together as a result.\It's Miku.\I could never tell from how she looks.\All you need is love!\Don't give up!\Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too. response:	I think I've got a rough idea of what it is, and it happened last month.
context: It's Miku.\I could never tell from how she looks.\All you need is love!\Don't give up!\Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month. response:	Don't tell me, what's bothering Miku is...
context: I could never tell from how she looks.\All you need is love!\Don't give up!\Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is... response:	I'm disappointed in myself.
context: All you need is love!\Don't give up!\Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself. response:	Since when did I bother thinking about this kind of thing?
context: Don't give up!\Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing? response:	I feel a creepy stare on me.
context: Observe her carefully!\Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me. response:	I give up.
context: Love all the way!\Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up. response:	Please stop being mean and tell me.
context: Itsuki says there's something bothering Miku, too.\I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up.\Please stop being mean and tell me. response:	That's against the rules.
context: I think I've got a rough idea of what it is, and it happened last month.\Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up.\Please stop being mean and tell me.\That's against the rules. response:	Try a little harder.
context: Don't tell me, what's bothering Miku is...\I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up.\Please stop being mean and tell me.\That's against the rules.\Try a little harder. response:	I want you to get it right, too, Futaro.
context: I'm disappointed in myself.\Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up.\Please stop being mean and tell me.\That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro. response:	At least show me your legs, then.
context: Since when did I bother thinking about this kind of thing?\I feel a creepy stare on me.\I give up.\Please stop being mean and tell me.\That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then. response:	Wait, what? Why?
context: I feel a creepy stare on me.\I give up.\Please stop being mean and tell me.\That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why? response:	Grandpa.
context: I give up.\Please stop being mean and tell me.\That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why?\Grandpa. response:	What?
context: Please stop being mean and tell me.\That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why?\Grandpa.\What? response:	I saw you trying to lay your hands on my granddaughter again.
context: That's against the rules.\Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why?\Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again. response:	I haven't done anything today.
context: Try a little harder.\I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why?\Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today. response:	Miku, has he done anything to you?
context: I want you to get it right, too, Futaro.\At least show me your legs, then.\Wait, what? Why?\Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you? response:	H-He hasn't.
context: At least show me your legs, then.\Wait, what? Why?\Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't. response:	That old man figured out she's Miku just by looking at her.
context: Wait, what? Why?\Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her. response:	Miku, I'll catch up later.
context: Grandpa.\What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later. response:	Grandpa!
context: What?\I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa! response:	I mean, Master!
context: I saw you trying to lay your hands on my granddaughter again.\I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa!\I mean, Master! response:	I have a request!
context: I haven't done anything today.\Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa!\I mean, Master!\I have a request! response:	I wanted to ask for relationship advice.
context: Miku, has he done anything to you?\H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa!\I mean, Master!\I have a request!\I wanted to ask for relationship advice. response:	The way I met him was the worst.
context: H-He hasn't.\That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa!\I mean, Master!\I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst. response:	But I went on to realize that I love him.
context: That old man figured out she's Miku just by looking at her.\Miku, I'll catch up later.\Grandpa!\I mean, Master!\I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him. response:	Nino, please...
context: Miku, I'll catch up later.\Grandpa!\I mean, Master!\I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him.\Nino, please... response:	Don't say any more.
context: Grandpa!\I mean, Master!\I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him.\Nino, please...\Don't say any more. response:	He's...
context: I mean, Master!\I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him.\Nino, please...\Don't say any more.\He's... response:	No!
context: I have a request!\I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him.\Nino, please...\Don't say any more.\He's...\No! response:	I can't say it!
context: I wanted to ask for relationship advice.\The way I met him was the worst.\But I went on to realize that I love him.\Nino, please...\Don't say any more.\He's...\No!\I can't say it! response:	I already know, though.
context: The way I met him was the worst.\But I went on to realize that I love him.\Nino, please...\Don't say any more.\He's...\No!\I can't say it!\I already know, though. response:	I told him how I felt just the other day.
context: But I went on to realize that I love him.\Nino, please...\Don't say any more.\He's...\No!\I can't say it!\I already know, though.\I told him how I felt just the other day. response:	But I don't know if I did the right thing.
context: Nino, please...\Don't say any more.\He's...\No!\I can't say it!\I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing. response:	So I wanted to ask...
context: Don't say any more.\He's...\No!\I can't say it!\I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask... response:	When someone confesses to you, do you think about them more?
context: He's...\No!\I can't say it!\I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more? response:	If I'm just speaking from experience...
context: No!\I can't say it!\I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience... response:	Sorry, I don't think it worked out that way for me.
context: I can't say it!\I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me. response:	I have feelings for Futaro-kun, too.
context: I already know, though.\I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too. response:	So please, let me keep things the way they are for now.
context: I told him how I felt just the other day.\But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now. response:	Oh, so just telling him how I feel isn't enough?
context: But I don't know if I did the right thing.\So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough? response:	Huh?
context: So I wanted to ask...\When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh? response:	No, I mean...
context: When someone confesses to you, do you think about them more?\If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean... response:	You said it was horrible the way you met him, right?
context: If I'm just speaking from experience...\Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean...\You said it was horrible the way you met him, right? response:	Are you sure you love him?
context: Sorry, I don't think it worked out that way for me.\I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him? response:	He appeared as a force of destruction against something that was dear to me.
context: I have feelings for Futaro-kun, too.\So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me. response:	But one night, I mistook him for my Prince Charming and fell in love.
context: So please, let me keep things the way they are for now.\Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love. response:	And soon, I came to realize
context: Oh, so just telling him how I feel isn't enough?\Huh?\No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize response:	that what I rejected was his role and not him as a person.
context: Huh?\No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person. response:	Once I realized that he was my prince, I couldn't control myself anymore.
context: No, I mean...\You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore. response:	What...
context: You said it was horrible the way you met him, right?\Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What... response:	And you fell in love, just like that?
context: Are you sure you love him?\He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that? response:	Don't you think that's too self-centered?
context: He appeared as a force of destruction against something that was dear to me.\But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that?\Don't you think that's too self-centered? response:	You're right.
context: But one night, I mistook him for my Prince Charming and fell in love.\And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that?\Don't you think that's too self-centered?\You're right. response:	I creep myself out too, honestly.
context: And soon, I came to realize\that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that?\Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly. response:	I don't intend to give up, though.
context: that what I rejected was his role and not him as a person.\Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that?\Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly.\I don't intend to give up, though. response:	I mean, this is my love.
context: Once I realized that he was my prince, I couldn't control myself anymore.\What...\And you fell in love, just like that?\Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love. response:	What's the point if it doesn't make me happy?
context: What...\And you fell in love, just like that?\Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy? response:	Wh-What if there's someone else who likes the same guy?
context: And you fell in love, just like that?\Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy? response:	What if that person cares about him way more than you do?
context: Don't you think that's too self-centered?\You're right.\I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do? response:	Well, I guess...
context: You're right.\I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess... response:	I'd feel bad, but I'd walk over them to get with him, if I had to.
context: I creep myself out too, honestly.\I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to. response:	I think that's how I'd feel.
context: I don't intend to give up, though.\I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel. response:	Sh-She's unstoppable.
context: I mean, this is my love.\What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable. response:	She's a runaway train of love!
context: What's the point if it doesn't make me happy?\Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love! response:	She won't even listen to me!
context: Wh-What if there's someone else who likes the same guy?\What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me! response:	I thought she wanted advice!
context: What if that person cares about him way more than you do?\Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice! response:	I'm glad I talked to you.
context: Well, I guess...\I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you. response:	I guess a confession isn't enough.
context: I'd feel bad, but I'd walk over them to get with him, if I had to.\I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough. response:	What are you going to do?!
context: I think that's how I'd feel.\Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?! response:	I'll take his hand.
context: Sh-She's unstoppable.\She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?!\I'll take his hand. response:	No, I'll hug him.
context: She's a runaway train of love!\She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?!\I'll take his hand.\No, I'll hug him. response:	And if he still doesn't take the hint,
context: She won't even listen to me!\I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?!\I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint, response:	I'll kiss him.
context: I thought she wanted advice!\I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?!\I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him. response:	Th-That's not a good idea! You shouldn't kiss him out of nowhere!
context: I'm glad I talked to you.\I guess a confession isn't enough.\What are you going to do?!\I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere! response:	You're right.
context: I guess a confession isn't enough.\What are you going to do?!\I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right. response:	Now that you mention it...
context: What are you going to do?!\I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it... response:	He'll be turned off if I'm bad at it.
context: I'll take his hand.\No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it...\He'll be turned off if I'm bad at it. response:	Have you done any kiss scenes yet?!
context: No, I'll hug him.\And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?! response:	Wh-What do you think you're doing?
context: And if he still doesn't take the hint,\I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing? response:	Come on, we're sisters!
context: I'll kiss him.\Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters! response:	It's wrong because we're sisters!
context: Th-That's not a good idea! You shouldn't kiss him out of nowhere!\You're right.\Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters! response:	I'm going to sneak out at night to see him.
context: You're right.\Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him. response:	Dad's going to be a problem when I do.
context: Now that you mention it...\He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do. response:	So I need you to keep an eye on him for me, Ichika.
context: He'll be turned off if I'm bad at it.\Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika. response:	Nino's going to meet up with Futaro-kun.
context: Have you done any kiss scenes yet?!\Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun. response:	And she might even kiss him.
context: Wh-What do you think you're doing?\Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him. response:	I can't stop her anymore.
context: Come on, we're sisters!\It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore. response:	She's not a coward like I am.
context: It's wrong because we're sisters!\I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am. response:	She doesn't care what anyone thinks.
context: I'm going to sneak out at night to see him.\Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks. response:	To Futaro
context: Dad's going to be a problem when I do.\So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro response:	She loves him with everything she has.
context: So I need you to keep an eye on him for me, Ichika.\Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has. response:	I don't even stand a chance.
context: Nino's going to meet up with Futaro-kun.\And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has.\I don't even stand a chance. response:	I don't have the right.
context: And she might even kiss him.\I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has.\I don't even stand a chance.\I don't have the right. response:	Washroom...
context: I can't stop her anymore.\She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has.\I don't even stand a chance.\I don't have the right.\Washroom... response:	Ichika.
context: She's not a coward like I am.\She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has.\I don't even stand a chance.\I don't have the right.\Washroom...\Ichika. response:	What's wrong?
context: She doesn't care what anyone thinks.\To Futaro\She loves him with everything she has.\I don't even stand a chance.\I don't have the right.\Washroom...\Ichika.\What's wrong? response:	Ichika...
context: To Futaro\She loves him with everything she has.\I don't even stand a chance.\I don't have the right.\Washroom...\Ichika.\What's wrong?\Ichika... response:	Don't cry.
context: She loves him with everything she has.\I don't even stand a chance.\I don't have the right.\Washroom...\Ichika.\What's wrong?\Ichika...\Don't cry. response:	I know, it's been a while. Let's go to our secret place.
context: I don't even stand a chance.\I don't have the right.\Washroom...\Ichika.\What's wrong?\Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place. response:	Dad.
context: I don't have the right.\Washroom...\Ichika.\What's wrong?\Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad. response:	He'd never expect us to be up here.
context: Washroom...\Ichika.\What's wrong?\Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here. response:	What do I do?
context: Ichika.\What's wrong?\Ichika...\Don't cry.\I know, it's been a while. Let's go to our secret place.\Dad.\He'd never expect us to be up here.\What do I do? response:	I'm supposed to stop him for Nino.
