context: Looks like the first piece will be moving soon. response:	Question: Do you desire the destruction of the Imanity?
context: Dealer Player\The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck.\Stand.\Has he just given up?\He didn't even look at the cards. response:	Looks like the game's over.
context: The dealer has to draw another card whenever he's below 17,\so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck.\Stand.\Has he just given up?\He didn't even look at the cards.\Looks like the game's over. response:	Yeah, it's over.
context: so he has a high chance of going bust.\But you haven't had that happen even once.\Pretty impressive luck.\Stand.\Has he just given up?\He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over. response:	With a natural blackjack, you get back 2.5 times what you bet.
context: But you haven't had that happen even once.\Pretty impressive luck.\Stand.\Has he just given up?\He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet. response:	I win.
context: Pretty impressive luck.\Stand.\Has he just given up?\He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win. response:	No...
context: Stand.\Has he just given up?\He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win.\No... response:	The potential of humanity...
context: Has he just given up?\He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win.\No...\The potential of humanity... response:	Steph, my granddaughter...
context: He didn't even look at the cards.\Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win.\No...\The potential of humanity...\Steph, my granddaughter... response:	Grandfather!
context: Looks like the game's over.\Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win.\No...\The potential of humanity...\Steph, my granddaughter...\Grandfather! response:	If your opponent is another human, you're just screwed.
context: Yeah, it's over.\With a natural blackjack, you get back 2.5 times what you bet.\I win.\No...\The potential of humanity...\Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed. response:	Screwed. Screwed.
context: With a natural blackjack, you get back 2.5 times what you bet.\I win.\No...\The potential of humanity...\Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed. response:	Wha Grandfather?!
context: I win.\No...\The potential of humanity...\Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?! response:	Grandfather!
context: No...\The potential of humanity...\Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?!\Grandfather! response:	What a hollow victory...
context: The potential of humanity...\Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?!\Grandfather!\What a hollow victory... response:	Fulfilled people are just an urban legend anyway.
context: Steph, my granddaughter...\Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?!\Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway. response:	I refuse to accept this!
context: Grandfather!\If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?!\Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this! response:	How did I lose?
context: If your opponent is another human, you're just screwed.\Screwed. Screwed.\Wha Grandfather?!\Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose? response:	Huh? Wasn't blackjack a game of pure chance?
context: Screwed. Screwed.\Wha Grandfather?!\Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance? response:	Card counting.
context: Wha Grandfather?!\Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting. response:	Card coun What?
context: Grandfather!\What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What? response:	You turn the cards into numbers and count them.
context: What a hollow victory...\Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What?\You turn the cards into numbers and count them. response:	Cards between two and six are +1,
context: Fulfilled people are just an urban legend anyway.\I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1, response:	ten and above are -1,
context: I refuse to accept this!\How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1, response:	and seven through nine are 0.
context: How did I lose?\Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0. response:	You count the numbers of cards that have been played
context: Huh? Wasn't blackjack a game of pure chance?\Card counting.\Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played response:	to mathematically find a numerical probability for what will played next.
context: Card counting.\Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next. response:	Scales Scales
context: Card coun What?\You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales response:	So you use math in a game?
context: You turn the cards into numbers and count them.\Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game? response:	I didn't know that was possible...
context: Cards between two and six are +1,\ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game?\I didn't know that was possible... response:	Wait, isn't that cheating?
context: ten and above are -1,\and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating? response:	Cheating refers to things like the forced shuffle you were doing.
context: and seven through nine are 0.\You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing. response:	You noticed?
context: You count the numbers of cards that have been played\to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed? response:	It made counting much easier.
context: to mathematically find a numerical probability for what will played next.\Scales Scales\So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier. response:	He used my own cheat to beat me?
context: Scales Scales\So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier.\He used my own cheat to beat me? response:	Whoa, where are you going?
context: So you use math in a game?\I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going? response:	Work.
context: I didn't know that was possible...\Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going?\Work. response:	Remember those policies you proposed yesterday?
context: Wait, isn't that cheating?\Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going?\Work.\Remember those policies you proposed yesterday? response:	I have to meet with the nobles who oppose them now.
context: Cheating refers to things like the forced shuffle you were doing.\You noticed?\It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going?\Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now. response:	That took longer than I thought.
context: You noticed?\It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going?\Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought. response:	I guess I'll go act like a king for once, then.
context: It made counting much easier.\He used my own cheat to beat me?\Whoa, where are you going?\Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then. response:	I'll get you for this!
context: He used my own cheat to beat me?\Whoa, where are you going?\Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this! response:	Don't think you can get away
context: Whoa, where are you going?\Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away response:	with such tyranny against nobles!
context: Work.\Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away\with such tyranny against nobles! response:	Former nobles.
context: Remember those policies you proposed yesterday?\I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away\with such tyranny against nobles!\Former nobles. response:	Your titles, your land, your money, holdings...
context: I have to meet with the nobles who oppose them now.\That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away\with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings... response:	You lost it all.
context: That took longer than I thought.\I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away\with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings...\You lost it all. response:	Well, a quick reformation like this meant people like them were sure to show up.
context: I guess I'll go act like a king for once, then.\I'll get you for this!\Don't think you can get away\with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up. response:	I'm honestly surprised it took this long.
context: I'll get you for this!\Don't think you can get away\with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long. response:	Still, the way you did it was just mean.
context: Don't think you can get away\with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean. response:	I'd worked so hard to keep them under control peacefully...
context: with such tyranny against nobles!\Former nobles.\Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully... response:	Huh? Keep them under control?
context: Former nobles.\Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control? response:	I used the data from the large-scale experiments we'd conducted on the
context: Your titles, your land, your money, holdings...\You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the response:	lands belonging to the royal family to distribute the commercial rights
context: You lost it all.\Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights response:	to the major noble factions that back my family.
context: Well, a quick reformation like this meant people like them were sure to show up.\I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family. response:	I used those successes to keep the other major nobles in check,
context: I'm honestly surprised it took this long.\Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check, response:	and quietly split off the smaller groups to slowly whittle down power of the opposition.
context: Still, the way you did it was just mean.\I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition. response:	If I'd won over those last few guys that just showed up,
context: I'd worked so hard to keep them under control peacefully...\Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up, response:	we could've had a complete and bloodless victory over the entire opposition!
context: Huh? Keep them under control?\I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition! response:	Uh, is something wrong?
context: I used the data from the large-scale experiments we'd conducted on the\lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong? response:	I-I don't think this is possible, but Steph... are you actually... not an idiot?
context: lands belonging to the royal family to distribute the commercial rights\to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot? response:	What did you think I was until now?
context: to the major noble factions that back my family.\I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now? response:	I mean, Steph... you're a Steph, right?
context: I used those successes to keep the other major nobles in check,\and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right? response:	Are you using my name as a derogatory term, or am I imagining it?
context: and quietly split off the smaller groups to slowly whittle down power of the opposition.\If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it? response:	Am I imagining it?!
context: If I'd won over those last few guys that just showed up,\we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?! response:	Shut up, Steph. You're just a Steph.
context: we could've had a complete and bloodless victory over the entire opposition!\Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph. response:	That is possibly the most unfair insult in history!
context: Uh, is something wrong?\I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history! response:	In fact, I graduated top of my class at the most prestigious academy in the country,
context: I-I don't think this is possible, but Steph... are you actually... not an idiot?\What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country, response:	and I have connections with every major family through my former classmates.
context: What did you think I was until now?\I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates. response:	She graduated high school and has lots of friends...
context: I mean, Steph... you're a Steph, right?\Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends... response:	If you think about it, she's a princess and has a lot of money...
context: Are you using my name as a derogatory term, or am I imagining it?\Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money... response:	And she has big boobs...
context: Am I imagining it?!\Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs... response:	S-Sora? Shiro?
context: Shut up, Steph. You're just a Steph.\That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro? response:	We didn't decide what we were going to make you do for that last game, did we?
context: That is possibly the most unfair insult in history!\In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we? response:	We're doing it now, Steph. No mercy.
context: In fact, I graduated top of my class at the most prestigious academy in the country,\and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy. response:	W-Wait
context: and I have connections with every major family through my former classmates.\She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait response:	No!
context: She graduated high school and has lots of friends...\If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait\No! response:	Th-Th-There are t-t-too many people!
context: If you think about it, she's a princess and has a lot of money...\And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait\No!\Th-Th-There are t-t-too many people! response:	Shiro, don't let go of my hand, no matter what!
context: And she has big boobs...\S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait\No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what! response:	Same to you, brother!
context: S-Sora? Shiro?\We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait\No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother! response:	It was your idea to come to town, Sora. What's going on?
context: We didn't decide what we were going to make you do for that last game, did we?\We're doing it now, Steph. No mercy.\W-Wait\No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on? response:	We've got something we need to do.
context: We're doing it now, Steph. No mercy.\W-Wait\No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do. response:	Wait, is everyone looking at us funny?
context: W-Wait\No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny? response:	That's because...
context: No!\Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny?\That's because... response:	I'm dressed like this! Of course they're looking!
context: Th-Th-There are t-t-too many people!\Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking! response:	Woof.
context: Shiro, don't let go of my hand, no matter what!\Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking!\Woof. response:	Couldn't you have come up with a better demand than this?
context: Same to you, brother!\It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this? response:	Steph, paw.
context: It was your idea to come to town, Sora. What's going on?\We've got something we need to do.\Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this?\Steph, paw. response:	Woof!
context: We've got something we need to do.\Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this?\Steph, paw.\Woof! response:	I can't disobey!
context: Wait, is everyone looking at us funny?\That's because...\I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this?\Steph, paw.\Woof!\I can't disobey! response:	That's the rule.
context: That's because...\I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this?\Steph, paw.\Woof!\I can't disobey!\That's the rule. response:	In accordance with the pledges, you're our dog for the day.
context: I'm dressed like this! Of course they're looking!\Woof.\Couldn't you have come up with a better demand than this?\Steph, paw.\Woof!\I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day. response:	She's a Dog for a Day
context: Woof.\Couldn't you have come up with a better demand than this?\Steph, paw.\Woof!\I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day response:	No, your outfit is weird...
context: Couldn't you have come up with a better demand than this?\Steph, paw.\Woof!\I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird... response:	but they seem scared.
context: Steph, paw.\Woof!\I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird...\but they seem scared. response:	It's because the king of Elkia is walking around
context: Woof!\I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around response:	with someone dressed as a warbeast, woof!
context: I can't disobey!\That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof! response:	Wait.
context: That's the rule.\In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait. response:	You're dressed like a warbeast?
context: In accordance with the pledges, you're our dog for the day.\She's a Dog for a Day\No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast? response:	Exceed rank 14.
context: She's a Dog for a Day\No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast?\Exceed rank 14. response:	Their territory is one of the three largest nations, the Eastern Federation.
context: No, your outfit is weird...\but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation. response:	They possess superior senses and physical abilities,
context: but they seem scared.\It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities, response:	as well as a sixth sense that allows them to read minds!
context: It's because the king of Elkia is walking around\with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds! response:	In other words, the Eastern Federation...
context: with someone dressed as a warbeast, woof!\Wait.\You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation... response:	is an Eden composed entirely of hot girls with animal ears?!
context: Wait.\You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?! response:	No, there are men and elders, too...
context: You're dressed like a warbeast?\Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too... response:	Okay! That's it! That Arcadia is mine!
context: Exceed rank 14.\Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine! response:	We're going after the animal girls!
context: Their territory is one of the three largest nations, the Eastern Federation.\They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine!\We're going after the animal girls! response:	Right... now!
context: They possess superior senses and physical abilities,\as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine!\We're going after the animal girls!\Right... now! response:	Wait! They're one of the three biggest countries in the world!
context: as well as a sixth sense that allows them to read minds!\In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine!\We're going after the animal girls!\Right... now!\Wait! They're one of the three biggest countries in the world! response:	Conquer the animal girl kingdom. Now.
context: In other words, the Eastern Federation...\is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine!\We're going after the animal girls!\Right... now!\Wait! They're one of the three biggest countries in the world!\Conquer the animal girl kingdom. Now. response:	Silence!
context: is an Eden composed entirely of hot girls with animal ears?!\No, there are men and elders, too...\Okay! That's it! That Arcadia is mine!\We're going after the animal girls!\Right... now!\Wait! They're one of the three biggest countries in the world!\Conquer the animal girl kingdom. Now.\Silence! response:	You and your false ears shall not stand between me and the real ones!
