context: If I were to borrow Tendo's words... response:	I'm starting to get into it.
context: I'm going to hit it.\Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared, response:	but I guess it's more important to have an even stronger will to attack.
context: Soy, soy, soy!\By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack. response:	Satori!
context: By attacking with that in mind, our opponents' blocks become confused.\Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori! response:	Stick your hands up, damn it!
context: Soy!\It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it! response:	I don't care if your prediction ends up wrong!
context: It's obvious when you see their faces.\I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong! response:	I put you in there knowing damn well that might be a possibility!
context: I can't believe Sugawara was able\to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility! response:	Right!
context: to fearlessly charge like that again, right after he was shut down!\I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right! response:	Here he comes!
context: I'm sure he's scared,\but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right!\Here he comes! response:	Are you finally back, Tiredyama-kun?
context: but I guess it's more important to have an even stronger will to attack.\Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right!\Here he comes!\Are you finally back, Tiredyama-kun? response:	Watch out for the back of your head.
context: Satori!\Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right!\Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head. response:	Kageyama, one more, nice serve!
context: Stick your hands up, damn it!\I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right!\Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve! response:	He just got back and he was able to serve like that?
context: I don't care if your prediction ends up wrong!\I put you in there knowing damn well that might be a possibility!\Right!\Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that? response:	It's coming back!
context: I put you in there knowing damn well that might be a possibility!\Right!\Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back! response:	Chance ball! Be careful with...
context: Right!\Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with... response:	Got it
context: Here he comes!\Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with...\Got it response:	Got it!
context: Are you finally back, Tiredyama-kun?\Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with...\Got it\Got it! response:	The first touch turned right into a set?
context: Watch out for the back of your head.\Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with...\Got it\Got it!\The first touch turned right into a set? response:	Damn!
context: Kageyama, one more, nice serve!\He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with...\Got it\Got it!\The first touch turned right into a set?\Damn! response:	There it is! The straight-down hit!
context: He just got back and he was able to serve like that?\It's coming back!\Chance ball! Be careful with...\Got it\Got it!\The first touch turned right into a set?\Damn!\There it is! The straight-down hit! response:	I-I didn't really see it, but everything's so fast!
context: It's coming back!\Chance ball! Be careful with...\Got it\Got it!\The first touch turned right into a set?\Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast! response:	One point behind!
context: Chance ball! Be careful with...\Got it\Got it!\The first touch turned right into a set?\Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind! response:	Shiratorizawa Karasuno
context: Got it\Got it!\The first touch turned right into a set?\Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno response:	Now I really don't know who's going to win!
context: Got it!\The first touch turned right into a set?\Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win! response:	That bastard!
context: The first touch turned right into a set?\Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard! response:	Great job, Hinata! Awesome!
context: Damn!\There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome! response:	I thought that our usual quick would have been enough of a surprise attack,
context: There it is! The straight-down hit!\I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack, response:	Thanks!
context: I-I didn't really see it, but everything's so fast!\One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks! response:	but this time he came at me on purpose.
context: One point behind!\Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose. response:	That's fricking dangerous!
context: Shiratorizawa Karasuno\Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose.\That's fricking dangerous! response:	Go, go!
context: Now I really don't know who's going to win!\That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose.\That's fricking dangerous!\Go, go! response:	Hey! You guys aren't being loud enough!
context: That bastard!\Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose.\That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough! response:	Be Courageous Warriors
context: Great job, Hinata! Awesome!\I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose.\That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors response:	Shiratorizawa Karasuno
context: I thought that our usual quick would have been enough of a surprise attack,\Thanks!\but this time he came at me on purpose.\That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno response:	Now they're in double digits...
context: Thanks!\but this time he came at me on purpose.\That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits... response:	Concentrate on the one!
context: but this time he came at me on purpose.\That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one! response:	His serves are intense. Try to stop him at one!
context: That's fricking dangerous!\Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one! response:	Hey, why isn't Semi-san our main setter?
context: Go, go!\Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter? response:	He's way better than Shirabu-san, to be honest.
context: Hey! You guys aren't being loud enough!\Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest. response:	It all depends on what you consider to be better.
context: Be Courageous Warriors\Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better. response:	I think Shirabu-san's pretty reliable, so I like him.
context: Shiratorizawa Karasuno\Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him. response:	I know what makes me inferior to Shirabu.
context: Now they're in double digits...\Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu. response:	The need to show just how strong I am.
context: Concentrate on the one!\His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am. response:	Even though I know Shiratorizawa's setter doesn't need that right now,
context: His serves are intense. Try to stop him at one!\Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now, response:	it can't be stopped.
context: Hey, why isn't Semi-san our main setter?\He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped. response:	But serves... With serves, I'm free!
context: He's way better than Shirabu-san, to be honest.\It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free! response:	No-touch ace!
context: It all depends on what you consider to be better.\I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free!\No-touch ace! response:	All right!
context: I think Shirabu-san's pretty reliable, so I like him.\I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free!\No-touch ace!\All right! response:	Be Courageous Warriors
context: I know what makes me inferior to Shirabu.\The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free!\No-touch ace!\All right!\Be Courageous Warriors response:	Nice kill, Semi!
context: The need to show just how strong I am.\Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free!\No-touch ace!\All right!\Be Courageous Warriors\Nice kill, Semi! response:	Shiratorizawa Karasuno
context: Even though I know Shiratorizawa's setter doesn't need that right now,\it can't be stopped.\But serves... With serves, I'm free!\No-touch ace!\All right!\Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno response:	Semi!
context: it can't be stopped.\But serves... With serves, I'm free!\No-touch ace!\All right!\Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno\Semi! response:	Semi!
context: But serves... With serves, I'm free!\No-touch ace!\All right!\Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno\Semi!\Semi! response:	I have to find the right words to say to them...
context: No-touch ace!\All right!\Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno\Semi!\Semi!\I have to find the right words to say to them... response:	Shiratorizawa!
context: All right!\Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno\Semi!\Semi!\I have to find the right words to say to them...\Shiratorizawa! response:	Shiratorizawa!
context: Be Courageous Warriors\Nice kill, Semi!\Shiratorizawa Karasuno\Semi!\Semi!\I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa! response:	Shiratorizawa!
context: Nice kill, Semi!\Shiratorizawa Karasuno\Semi!\Semi!\I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa!\Shiratorizawa! response:	Shiratorizawa!
context: Shiratorizawa Karasuno\Semi!\Semi!\I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa! response:	Don't shut up!
context: Semi!\Semi!\I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Don't shut up! response:	Shiratorizawa!
context: Semi!\I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Don't shut up!\Shiratorizawa! response:	This is exactly when we should be cheering!
context: I have to find the right words to say to them...\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering! response:	Shiratorizawa!
context: Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa! response:	We're going to finish this.
context: Shiratorizawa!\Shiratorizawa!\Shiratorizawa!\Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this. response:	Yeah.
context: Shiratorizawa!\Shiratorizawa!\Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this.\Yeah. response:	Do another one, Eita-kun.
context: Shiratorizawa!\Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this.\Yeah.\Do another one, Eita-kun. response:	Shiratorizawa!
context: Don't shut up!\Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this.\Yeah.\Do another one, Eita-kun.\Shiratorizawa! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Shiratorizawa!\This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this.\Yeah.\Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Shiratorizawa!
context: This is exactly when we should be cheering!\Shiratorizawa!\We're going to finish this.\Yeah.\Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Shiratorizawa!\We're going to finish this.\Yeah.\Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: We're going to finish this.\Yeah.\Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Yeah.\Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Do another one, Eita-kun.\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	The City of Trees, Sendai, lies below
context: Shiratorizawa!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below response:	And when you look up, the magnificent Sendai Castle
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle response:	Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno! response:	Our school, our glorious Shiratorizawa Academy
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy response:	Fire it up...
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up... response:	Our glorious Shiratorizawa Academy
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy response:	Eita-kun! One more, nice serve!
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve! response:	Chance ball!
context: The City of Trees, Sendai, lies below\And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball! response:	Wakatoshi!
context: And when you look up, the magnificent Sendai Castle\Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi! response:	But he's that far from the net...
context: Fire it up, fire it up, Karasuno! Get it, get it, Karasuno!\Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi!\But he's that far from the net... response:	All right!
context: Our school, our glorious Shiratorizawa Academy\Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi!\But he's that far from the net...\All right! response:	He stopped it!
context: Fire it up...\Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi!\But he's that far from the net...\All right!\He stopped it! response:	Shoyo...
context: Our glorious Shiratorizawa Academy\Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi!\But he's that far from the net...\All right!\He stopped it!\Shoyo... response:	N-Nice block...
context: Eita-kun! One more, nice serve!\Chance ball!\Wakatoshi!\But he's that far from the net...\All right!\He stopped it!\Shoyo...\N-Nice block... response:	Was that a block?
context: Chance ball!\Wakatoshi!\But he's that far from the net...\All right!\He stopped it!\Shoyo...\N-Nice block...\Was that a block? response:	I told him to do a soft block,
context: Wakatoshi!\But he's that far from the net...\All right!\He stopped it!\Shoyo...\N-Nice block...\Was that a block?\I told him to do a soft block, response:	but that was more of an insanely close receive than a quick block.
context: But he's that far from the net...\All right!\He stopped it!\Shoyo...\N-Nice block...\Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block. response:	I'd be too scared of that hitting my face to ever do that!
context: All right!\He stopped it!\Shoyo...\N-Nice block...\Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that! response:	Now Karasuno's at double digits, too!
context: He stopped it!\Shoyo...\N-Nice block...\Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too! response:	Shiratorizawa Karasuno
context: Shoyo...\N-Nice block...\Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: N-Nice block...\Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Haikyu!! Karasuno High School vs Shiratorizawa Academy
context: Was that a block?\I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy response:	Shiratorizawa Karasuno
context: I told him to do a soft block,\but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno response:	Now Karasuno's at double digits, too!
context: but that was more of an insanely close receive than a quick block.\I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too! response:	Right. All right! Yeah...
context: I'd be too scared of that hitting my face to ever do that!\Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah... response:	Don't get so worked up over a lucky shot!
context: Now Karasuno's at double digits, too!\Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot! response:	That's a block that got in the way of a receive.
context: Shiratorizawa Karasuno\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive. response:	U-Ushijima-san, you just got stopped by a nameless first-year.
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year. response:	Guess you've still got a ways to go.
context: Haikyu!! Karasuno High School vs Shiratorizawa Academy\Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go. response:	I guess so.
context: Shiratorizawa Karasuno\Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so. response:	Ushijima-san is a great ace that's always marked.
context: Now Karasuno's at double digits, too!\Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked. response:	Of course, he's going to be stopped sometimes.
context: Right. All right! Yeah...\Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes. response:	But to think that tiny first-year did it...
context: Don't get so worked up over a lucky shot!\That's a block that got in the way of a receive.\U-Ushijima-san, you just got stopped by a nameless first-year.\Guess you've still got a ways to go.\I guess so.\Ushijima-san is a great ace that's always marked.\Of course, he's going to be stopped sometimes.\But to think that tiny first-year did it... response:	Hinata, you're serving next.
