context: Fairy Tail has been completely absorbed by the hyperspace magic Anima, response:	which was used by an alternate world Edolas
context: However, our kingdom basically encompasses the entire world.\It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated...\I don't get it!\Your highness! response:	Your highness!
context: It is true that there is no obvious reason for a further strengthening of the army.\Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated...\I don't get it!\Your highness!\Your highness! response:	Your highness!
context: Isn't it because there are still a few pockets of resistance?\If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated...\I don't get it!\Your highness!\Your highness!\Your highness! response:	We will be able to extract magic power
context: If that were it, we alone would easily suffice.\I don't get it!\Whoa man, this is all so like, complicated...\I don't get it!\Your highness!\Your highness!\Your highness!\We will be able to extract magic power response:	from the giant lacrima after 4 days, right on schedule!
context: I don't get it!\Whoa man, this is all so like, complicated...\I don't get it!\Your highness!\Your highness!\Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule! response:	This girl is the Aide to the Chief of Staff of the Royal Army, Coco.
context: Whoa man, this is all so like, complicated...\I don't get it!\Your highness!\Your highness!\Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco. response:	We did it!
context: I don't get it!\Your highness!\Your highness!\Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it! response:	Not enough...
context: Your highness!\Your highness!\Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough... response:	Your highness, what did you just say?
context: Your highness!\Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough...\Your highness, what did you just say? response:	I said it was not enough.
context: Your highness!\We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough...\Your highness, what did you just say?\I said it was not enough. response:	If I may, your highness...
context: We will be able to extract magic power\from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough...\Your highness, what did you just say?\I said it was not enough.\If I may, your highness... response:	That lacrima represents the magic power of an entire Earthland city!
context: from the giant lacrima after 4 days, right on schedule!\This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough...\Your highness, what did you just say?\I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city! response:	It's enough to power the kingdom's magic for the next 10 years!
context: This girl is the Aide to the Chief of Staff of the Royal Army, Coco.\We did it!\Not enough...\Your highness, what did you just say?\I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years! response:	Our great kingdom of Edolas must have no limits.
context: We did it!\Not enough...\Your highness, what did you just say?\I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits. response:	Give it to us...
context: Not enough...\Your highness, what did you just say?\I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us... response:	Give more magic power to us...
context: Your highness, what did you just say?\I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us... response:	What I seek is eternity!
context: I said it was not enough.\If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us...\What I seek is eternity! response:	An endless supply of magic power!
context: If I may, your highness...\That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us...\What I seek is eternity!\An endless supply of magic power! response:	And this man is the king of Edolas, Faust!
context: That lacrima represents the magic power of an entire Earthland city!\It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us...\What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust! response:	Okay... Stay right there...
context: It's enough to power the kingdom's magic for the next 10 years!\Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us...\What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there... response:	Hold it!
context: Our great kingdom of Edolas must have no limits.\Give it to us...\Give more magic power to us...\What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it! response:	What is he doing?
context: Give it to us...\Give more magic power to us...\What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it!\What is he doing? response:	I wonder how much longer'til we get to the Royal City...
context: Give more magic power to us...\What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City... response:	We just left, remember?
context: What I seek is eternity!\An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember? response:	And they told us it would take 5 days to walk there.
context: An endless supply of magic power!\And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there. response:	Our Aera aren't working properly, so we have no choice but to walk.
context: And this man is the king of Edolas, Faust!\Okay... Stay right there...\Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk. response:	Can we really not use magic anymore?
context: Okay... Stay right there...\Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore? response:	I don't know.
context: Hold it!\What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know. response:	But it doesn't bode well...
context: What is he doing?\I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know.\But it doesn't bode well... response:	Happy, help out!
context: I wonder how much longer'til we get to the Royal City...\We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know.\But it doesn't bode well...\Happy, help out! response:	I've never seen a frog like this before.
context: We just left, remember?\And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know.\But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before. response:	I'll bring it back as a present for Lucy!
context: And they told us it would take 5 days to walk there.\Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know.\But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy! response:	I don't think she'll like it.
context: Our Aera aren't working properly, so we have no choice but to walk.\Can we really not use magic anymore?\I don't know.\But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it. response:	It's huge!
context: Can we really not use magic anymore?\I don't know.\But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge! response:	Natsu, it's attacking!
context: I don't know.\But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge!\Natsu, it's attacking! response:	All right!
context: But it doesn't bode well...\Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge!\Natsu, it's attacking!\All right! response:	Fist of the...
context: Happy, help out!\I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge!\Natsu, it's attacking!\All right!\Fist of the... response:	I forgot I can't use magic!
context: I've never seen a frog like this before.\I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge!\Natsu, it's attacking!\All right!\Fist of the...\I forgot I can't use magic! response:	Yup! I can't use magic, either!
context: I'll bring it back as a present for Lucy!\I don't think she'll like it.\It's huge!\Natsu, it's attacking!\All right!\Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either! response:	In that case, I'll do it even without magic!
context: I don't think she'll like it.\It's huge!\Natsu, it's attacking!\All right!\Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic! response:	Natsu?
context: It's huge!\Natsu, it's attacking!\All right!\Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu? response:	Scary Lucy!
context: Natsu, it's attacking!\All right!\Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu?\Scary Lucy! response:	Scary Lucy-san!
context: All right!\Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu?\Scary Lucy!\Scary Lucy-san! response:	Quit calling me scary!
context: Fist of the...\I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu?\Scary Lucy!\Scary Lucy-san!\Quit calling me scary! response:	That guy wasn't much.
context: I forgot I can't use magic!\Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu?\Scary Lucy!\Scary Lucy-san!\Quit calling me scary!\That guy wasn't much. response:	But why are you here?
context: Yup! I can't use magic, either!\In that case, I'll do it even without magic!\Natsu?\Scary Lucy!\Scary Lucy-san!\Quit calling me scary!\That guy wasn't much.\But why are you here? response:	It's... not like I was worried about you, or anything.
context: In that case, I'll do it even without magic!\Natsu?\Scary Lucy!\Scary Lucy-san!\Quit calling me scary!\That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything. response:	You say a lot of stuff, but you're Lucy, all right.
context: Natsu?\Scary Lucy!\Scary Lucy-san!\Quit calling me scary!\That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right. response:	How does that follow exactly?
context: Scary Lucy!\Scary Lucy-san!\Quit calling me scary!\That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly? response:	See, those kinds of lines are totally Lucy.
context: Scary Lucy-san!\Quit calling me scary!\That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy. response:	I wanna show Lucy this scary Lucy.
context: Quit calling me scary!\That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy. response:	I can't wait to see the look on the real one's face!
context: That guy wasn't much.\But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face! response:	So I'm a fake?!
context: But why are you here?\It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?! response:	Technique 12: The Back-Crack Bridge!
context: It's... not like I was worried about you, or anything.\You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge! response:	Yup, she's scary all right.
context: You say a lot of stuff, but you're Lucy, all right.\How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right. response:	Can this continue for 5 days?
context: How does that follow exactly?\See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days? response:	I can tell it's going to be hard going... Seriously.
context: See, those kinds of lines are totally Lucy.\I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously. response:	Crap.
context: I wanna show Lucy this scary Lucy.\I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap. response:	I've been thrown to one whacked out place.
context: I can't wait to see the look on the real one's face!\So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place. response:	Sheesh... This is messed up.
context: So I'm a fake?!\Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up. response:	I see. They thought you were Exceeds, and reported it.
context: Technique 12: The Back-Crack Bridge!\Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it. response:	That's what drew them to us.
context: Yup, she's scary all right.\Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us. response:	I still can't believe that Erza's our enemy.
context: Can this continue for 5 days?\I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy. response:	Well, either one's scary, though.
context: I can tell it's going to be hard going... Seriously.\Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though. response:	Oh?
context: Crap.\I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh? response:	No, no... I was talking about Erza!
context: I've been thrown to one whacked out place.\Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh?\No, no... I was talking about Erza! response:	To us, what's unbelievable is that we could ever get along with Erza.
context: Sheesh... This is messed up.\I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza. response:	Mysterious, isn't it?
context: I see. They thought you were Exceeds, and reported it.\That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it? response:	There isn't a wizard out there who doesn't fear her.
context: That's what drew them to us.\I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her. response:	Just seeing her face means certain death.
context: I still can't believe that Erza's our enemy.\Well, either one's scary, though.\Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death. response:	I really don't want to run into her.
context: Well, either one's scary, though.\Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her. response:	The one I know is scary enough!
context: Oh?\No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough! response:	Look, we're here. Can you see it?
context: No, no... I was talking about Erza!\To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it? response:	It's a city, Happy!
context: To us, what's unbelievable is that we could ever get along with Erza.\Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy! response:	Walking for days sure was tough.
context: Mysterious, isn't it?\There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough. response:	The buildings are kind of round?
context: There isn't a wizard out there who doesn't fear her.\Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round? response:	Let's hurry.
context: Just seeing her face means certain death.\I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round?\Let's hurry. response:	Thank you so much for coming with us.
context: I really don't want to run into her.\The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us. response:	F-Follow me.
context: The one I know is scary enough!\Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us.\F-Follow me. response:	You won't be able to go any farther without some magic weapons.
context: Look, we're here. Can you see it?\It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons. response:	Thanks a bunch, Scary Lucy!
context: It's a city, Happy!\Walking for days sure was tough.\The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy! response:	Scary Lucy!
context: Walking for days sure was tough.\The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy! response:	You pickin' a fight?!
context: The buildings are kind of round?\Let's hurry.\Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?! response:	This is the city of Louen.
context: Let's hurry.\Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?!\This is the city of Louen. response:	Until a little while ago, magic was bought and sold normally.
context: Thank you so much for coming with us.\F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally. response:	But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.
context: F-Follow me.\You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden. response:	And that's not all. Even possessing it is a crime.
context: You won't be able to go any farther without some magic weapons.\Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime. response:	Just possessing it is a crime?
context: Thanks a bunch, Scary Lucy!\Scary Lucy!\You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime? response:	What happened to the people who could always use it?
context: Scary Lucy!\You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it? response:	What?
context: You pickin' a fight?!\This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it?\What? response:	You just make sure not to have it on you, right?
context: This is the city of Louen.\Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it?\What?\You just make sure not to have it on you, right? response:	And wait, what do you mean people who could always use magic?
context: Until a little while ago, magic was bought and sold normally.\But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it?\What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic? response:	It looks like in this world, magic is an object.
context: But now, with the kingdom's Guild Hunt, trafficking in magic is forbidden.\And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it?\What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object. response:	Object?
context: And that's not all. Even possessing it is a crime.\Just possessing it is a crime?\What happened to the people who could always use it?\What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object? response:	By saying that magic is limited here,
context: Just possessing it is a crime?\What happened to the people who could always use it?\What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object?\By saying that magic is limited here, response:	it means that there aren't people like us who hold magic within their own bodies.
context: What happened to the people who could always use it?\What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies. response:	Physical objects like lacrima can hold magic power.
context: What?\You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power. response:	So if you combine them with weapons or other daily items, you create magic items.
context: You just make sure not to have it on you, right?\And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items. response:	That's referred to generally as magic.
context: And wait, what do you mean people who could always use magic?\It looks like in this world, magic is an object.\Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic. response:	So the wizards over here just use magic items?
context: It looks like in this world, magic is an object.\Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items? response:	I suppose.
context: Object?\By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose. response:	We're here.
context: By saying that magic is limited here,\it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose.\We're here. response:	There's a magic black market underground here.
context: it means that there aren't people like us who hold magic within their own bodies.\Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose.\We're here.\There's a magic black market underground here. response:	You'll need it if you want to travel.
context: Physical objects like lacrima can hold magic power.\So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose.\We're here.\There's a magic black market underground here.\You'll need it if you want to travel. response:	Black market?
context: So if you combine them with weapons or other daily items, you create magic items.\That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose.\We're here.\There's a magic black market underground here.\You'll need it if you want to travel.\Black market? response:	Guess we gotta play by the rules here to use magic.
context: That's referred to generally as magic.\So the wizards over here just use magic items?\I suppose.\We're here.\There's a magic black market underground here.\You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic. response:	Aye.
context: So the wizards over here just use magic items?\I suppose.\We're here.\There's a magic black market underground here.\You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic.\Aye. response:	You adapt quick.
context: I suppose.\We're here.\There's a magic black market underground here.\You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick. response:	At the same time, another Earthland wizard can be seen entering Louen.
context: We're here.\There's a magic black market underground here.\You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen. response:	So then, where should I start?
context: There's a magic black market underground here.\You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start? response:	Guess I should get it over with and ask.
context: You'll need it if you want to travel.\Black market?\Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask. response:	Hey. I'd like to ask you something.
context: Black market?\Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something. response:	Hey, wait!
context: Guess we gotta play by the rules here to use magic.\Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait! response:	This Edolas place don't got a lot of friendly people, do it?
context: Aye.\You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it? response:	Looks like there's always some kiddies rarin' to play with me though, no matter where I go.
context: You adapt quick.\At the same time, another Earthland wizard can be seen entering Louen.\So then, where should I start?\Guess I should get it over with and ask.\Hey. I'd like to ask you something.\Hey, wait!\This Edolas place don't got a lot of friendly people, do it?\Looks like there's always some kiddies rarin' to play with me though, no matter where I go. response:	You got a problem with us, bud?
