context: Madam Manager! Madam Manager! response:	I'll call the young master!
context: Look!\Wow, you're right!\So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?! response:	W-What?
context: Wow, you're right!\So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What? response:	Please, the age of the newlyweds!
context: So, what is this notebook?\Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds! response:	I don't need the attendance list! Just their ages!
context: Oh, no!\It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages! response:	Please!
context: It's written here that their daughter doesn't like fish!\I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please! response:	Please!
context: I'd better let the kitchen know!\But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please!\Please! response:	Finally found you...
context: But the notebook...\Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please!\Please!\Finally found you... response:	W-Why...
context: Do you mind telling me the age of the newlyweds?!\W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please!\Please!\Finally found you...\W-Why... response:	How?
context: W-What?\Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please!\Please!\Finally found you...\W-Why...\How? response:	It's all thanks to Ko...
context: Please, the age of the newlyweds!\I don't need the attendance list! Just their ages!\Please!\Please!\Finally found you...\W-Why...\How?\It's all thanks to Ko... response:	Hey, what the heck?!
context: I don't need the attendance list! Just their ages!\Please!\Please!\Finally found you...\W-Why...\How?\It's all thanks to Ko...\Hey, what the heck?! response:	Please go back with me, for Ko's sake.
context: Please!\Please!\Finally found you...\W-Why...\How?\It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake. response:	What are you talking about?!
context: Please!\Finally found you...\W-Why...\How?\It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?! response:	Let's see...
context: Finally found you...\W-Why...\How?\It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?!\Let's see... response:	The train back to the city...
context: W-Why...\How?\It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?!\Let's see...\The train back to the city... response:	Ohana?
context: How?\It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?!\Let's see...\The train back to the city...\Ohana? response:	Ko?!
context: It's all thanks to Ko...\Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?!\Let's see...\The train back to the city...\Ohana?\Ko?! response:	Thank you, thank you, thank you!
context: Hey, what the heck?!\Please go back with me, for Ko's sake.\What are you talking about?!\Let's see...\The train back to the city...\Ohana?\Ko?!\Thank you, thank you, thank you! response:	What?
context: Please go back with me, for Ko's sake.\What are you talking about?!\Let's see...\The train back to the city...\Ohana?\Ko?!\Thank you, thank you, thank you!\What? response:	What do you mean, what?!
context: What are you talking about?!\Let's see...\The train back to the city...\Ohana?\Ko?!\Thank you, thank you, thank you!\What?\What do you mean, what?! response:	I can't say it enough times!
context: Let's see...\The train back to the city...\Ohana?\Ko?!\Thank you, thank you, thank you!\What?\What do you mean, what?!\I can't say it enough times! response:	I was able to find Tohru!
context: The train back to the city...\Ohana?\Ko?!\Thank you, thank you, thank you!\What?\What do you mean, what?!\I can't say it enough times!\I was able to find Tohru! response:	It's really all thanks to-
context: Ohana?\Ko?!\Thank you, thank you, thank you!\What?\What do you mean, what?!\I can't say it enough times!\I was able to find Tohru!\It's really all thanks to- response:	Hey, what are you doing?
context: Ko?!\Thank you, thank you, thank you!\What?\What do you mean, what?!\I can't say it enough times!\I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing? response:	S-Sorry! I'll be right there!
context: Thank you, thank you, thank you!\What?\What do you mean, what?!\I can't say it enough times!\I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there! response:	Be right where?
context: What?\What do you mean, what?!\I can't say it enough times!\I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where? response:	Hey, Ko?
context: What do you mean, what?!\I can't say it enough times!\I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where?\Hey, Ko? response:	Where are you going?!
context: I can't say it enough times!\I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where?\Hey, Ko?\Where are you going?! response:	Huh? Back to the Kissuiso, of course!
context: I was able to find Tohru!\It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where?\Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course! response:	This is where the real work begins.
context: It's really all thanks to-\Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where?\Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins. response:	I need to prepare myself!
context: Hey, what are you doing?\S-Sorry! I'll be right there!\Be right where?\Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself! response:	Sorry for the hassle. I'll text you later!
context: S-Sorry! I'll be right there!\Be right where?\Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later! response:	I'm glad...
context: Be right where?\Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad... response:	Coming, coming!
context: Hey, Ko?\Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming! response:	Hello, you've reached Kissuiso.
context: Where are you going?!\Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming!\Hello, you've reached Kissuiso. response:	Order a massage for the customers in the Moon Room.
context: Huh? Back to the Kissuiso, of course!\This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room. response:	Right now!
context: This is where the real work begins.\I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now! response:	Time is money!
context: I need to prepare myself!\Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now!\Time is money! response:	And I'll need you to take care of the
context: Sorry for the hassle. I'll text you later!\I'm glad...\Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now!\Time is money!\And I'll need you to take care of the response:	customers in the Wave Room during dinner.
context: I'm glad...\Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now!\Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner. response:	I'm sorry,
context: Coming, coming!\Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now!\Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry, response:	Roger! I, Jiromaru, will demonstrate my best work!
context: Hello, you've reached Kissuiso.\Order a massage for the customers in the Moon Room.\Right now!\Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work! response:	we are unfortunately fully booked tonight.
context: Order a massage for the customers in the Moon Room.\Right now!\Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight. response:	Oh...
context: Right now!\Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh... response:	No, it's fine.
context: Time is money!\And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh...\No, it's fine. response:	Thank you.
context: And I'll need you to take care of the\customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh...\No, it's fine.\Thank you. response:	What am I doing?
context: customers in the Wave Room during dinner.\I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh...\No, it's fine.\Thank you.\What am I doing? response:	Sorry to make you wait.
context: I'm sorry,\Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh...\No, it's fine.\Thank you.\What am I doing?\Sorry to make you wait. response:	A helmet?
context: Roger! I, Jiromaru, will demonstrate my best work!\we are unfortunately fully booked tonight.\Oh...\No, it's fine.\Thank you.\What am I doing?\Sorry to make you wait.\A helmet? response:	The staff at the parking lot lent me one.
context: we are unfortunately fully booked tonight.\Oh...\No, it's fine.\Thank you.\What am I doing?\Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one. response:	Uh... Sorry, I figured
context: Oh...\No, it's fine.\Thank you.\What am I doing?\Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured response:	everything would go well if I were to bring you back.
context: No, it's fine.\Thank you.\What am I doing?\Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back. response:	You were supposed to be enjoying your friend's wedding too.
context: Thank you.\What am I doing?\Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too. response:	I'm sorry for...
context: What am I doing?\Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for... response:	You came here thinking this would be for the best, right?
context: Sorry to make you wait.\A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right? response:	Yeah.
context: A helmet?\The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right?\Yeah. response:	Then I'm fine with it.
context: The staff at the parking lot lent me one.\Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it. response:	If you trusted me enough to think that I'd make everything work,
context: Uh... Sorry, I figured\everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work, response:	I'll have to do just that.
context: everything would go well if I were to bring you back.\You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that. response:	What?
context: You were supposed to be enjoying your friend's wedding too.\I'm sorry for...\You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What? response:	Okay, let's go!
context: I'm sorry for...\You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What?\Okay, let's go! response:	I got the feeling someone
context: You came here thinking this would be for the best, right?\Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What?\Okay, let's go!\I got the feeling someone response:	told me those same words before.
context: Yeah.\Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What?\Okay, let's go!\I got the feeling someone\told me those same words before. response:	Hurry.
context: Then I'm fine with it.\If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What?\Okay, let's go!\I got the feeling someone\told me those same words before.\Hurry. response:	Okay!
context: If you trusted me enough to think that I'd make everything work,\I'll have to do just that.\What?\Okay, let's go!\I got the feeling someone\told me those same words before.\Hurry.\Okay! response:	Thank you, Tohru!
context: I'll have to do just that.\What?\Okay, let's go!\I got the feeling someone\told me those same words before.\Hurry.\Okay!\Thank you, Tohru! response:	What?
context: What?\Okay, let's go!\I got the feeling someone\told me those same words before.\Hurry.\Okay!\Thank you, Tohru!\What? response:	Thank you!
context: Okay, let's go!\I got the feeling someone\told me those same words before.\Hurry.\Okay!\Thank you, Tohru!\What?\Thank you! response:	Hang on tight!
context: I got the feeling someone\told me those same words before.\Hurry.\Okay!\Thank you, Tohru!\What?\Thank you!\Hang on tight! response:	Umm...
context: told me those same words before.\Hurry.\Okay!\Thank you, Tohru!\What?\Thank you!\Hang on tight!\Umm... response:	Pardon me!
context: Hurry.\Okay!\Thank you, Tohru!\What?\Thank you!\Hang on tight!\Umm...\Pardon me! response:	Inside this oversized helmet was a scent unfamiliar to me.
context: Okay!\Thank you, Tohru!\What?\Thank you!\Hang on tight!\Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me. response:	So this is what a boy's hair smells like?
context: Thank you, Tohru!\What?\Thank you!\Hang on tight!\Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like? response:	Ko's hair, too?
context: What?\Thank you!\Hang on tight!\Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too? response:	Well...
context: Thank you!\Hang on tight!\Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too?\Well... response:	According to Minchi, Mr. Ren is a bit...
context: Hang on tight!\Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit... response:	different today.
context: Umm...\Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit...\different today. response:	Okay.
context: Pardon me!\Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit...\different today.\Okay. response:	Tohru Miyagishi, reporting for duty!
context: Inside this oversized helmet was a scent unfamiliar to me.\So this is what a boy's hair smells like?\Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit...\different today.\Okay.\Tohru Miyagishi, reporting for duty! response:	I apologize for being late!
context: So this is what a boy's hair smells like?\Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit...\different today.\Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late! response:	Mr. Ren.
context: Ko's hair, too?\Well...\According to Minchi, Mr. Ren is a bit...\different today.\Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren. response:	Right. Get to work right away.
context: Well...\According to Minchi, Mr. Ren is a bit...\different today.\Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren.\Right. Get to work right away. response:	Yes, sir!
context: According to Minchi, Mr. Ren is a bit...\different today.\Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren.\Right. Get to work right away.\Yes, sir! response:	How did you find him?
context: different today.\Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren.\Right. Get to work right away.\Yes, sir!\How did you find him? response:	It's all thanks to Ko.
context: Okay.\Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren.\Right. Get to work right away.\Yes, sir!\How did you find him?\It's all thanks to Ko. response:	Who?
context: Tohru Miyagishi, reporting for duty!\I apologize for being late!\Mr. Ren.\Right. Get to work right away.\Yes, sir!\How did you find him?\It's all thanks to Ko.\Who? response:	It's a long story.
context: I apologize for being late!\Mr. Ren.\Right. Get to work right away.\Yes, sir!\How did you find him?\It's all thanks to Ko.\Who?\It's a long story. response:	Then whatever.
context: Mr. Ren.\Right. Get to work right away.\Yes, sir!\How did you find him?\It's all thanks to Ko.\Who?\It's a long story.\Then whatever. response:	Isn't that where you're supposed to say, Doesn't matter. Tell me?
context: Right. Get to work right away.\Yes, sir!\How did you find him?\It's all thanks to Ko.\Who?\It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me? response:	Get to your workstation already.
context: Yes, sir!\How did you find him?\It's all thanks to Ko.\Who?\It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already. response:	Do you mind letting Minko do the frying, Mr. Ren?
context: How did you find him?\It's all thanks to Ko.\Who?\It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren? response:	Not at all.
context: It's all thanks to Ko.\Who?\It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all. response:	Minko!
context: Who?\It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko! response:	Okay!
context: It's a long story.\Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko!\Okay! response:	Fry up the tenpura.
context: Then whatever.\Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko!\Okay!\Fry up the tenpura. response:	Huh?
context: Isn't that where you're supposed to say, Doesn't matter. Tell me?\Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko!\Okay!\Fry up the tenpura.\Huh? response:	What, you can't even do that?
context: Get to your workstation already.\Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko!\Okay!\Fry up the tenpura.\Huh?\What, you can't even do that? response:	What have you been watching all this time?
context: Do you mind letting Minko do the frying, Mr. Ren?\Not at all.\Minko!\Okay!\Fry up the tenpura.\Huh?\What, you can't even do that?\What have you been watching all this time? response:	Right! I mean...
context: Not at all.\Minko!\Okay!\Fry up the tenpura.\Huh?\What, you can't even do that?\What have you been watching all this time?\Right! I mean... response:	Yes, I can do it!
context: Minko!\Okay!\Fry up the tenpura.\Huh?\What, you can't even do that?\What have you been watching all this time?\Right! I mean...\Yes, I can do it! response:	I'll do it! Please let me!
context: Okay!\Fry up the tenpura.\Huh?\What, you can't even do that?\What have you been watching all this time?\Right! I mean...\Yes, I can do it!\I'll do it! Please let me! response:	Okay!
context: Fry up the tenpura.\Huh?\What, you can't even do that?\What have you been watching all this time?\Right! I mean...\Yes, I can do it!\I'll do it! Please let me!\Okay! response:	I felt like I heard the noise of something starting to operate.
context: Huh?\What, you can't even do that?\What have you been watching all this time?\Right! I mean...\Yes, I can do it!\I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate. response:	I see.
context: What, you can't even do that?\What have you been watching all this time?\Right! I mean...\Yes, I can do it!\I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate.\I see. response:	Is that notebook helping out?
context: What have you been watching all this time?\Right! I mean...\Yes, I can do it!\I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out? response:	Yeah!
context: Right! I mean...\Yes, I can do it!\I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out?\Yeah! response:	The Madam Manager really is amazing.
context: Yes, I can do it!\I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out?\Yeah!\The Madam Manager really is amazing. response:	I know, right?
context: I'll do it! Please let me!\Okay!\I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out?\Yeah!\The Madam Manager really is amazing.\I know, right? response:	Well, I do keep a notebook of my own, too.
context: Okay!\I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out?\Yeah!\The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too. response:	Really?
context: I felt like I heard the noise of something starting to operate.\I see.\Is that notebook helping out?\Yeah!\The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too.\Really? response:	What? Stop acting so surprised.
context: I see.\Is that notebook helping out?\Yeah!\The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised. response:	Okay, let's get to work!
context: Is that notebook helping out?\Yeah!\The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised.\Okay, let's get to work! response:	Umm, Tomoe...
context: Yeah!\The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe... response:	I know.
context: The Madam Manager really is amazing.\I know, right?\Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe...\I know. response:	All customers are equal,
context: I know, right?\Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe...\I know.\All customers are equal, response:	thus, we need to treat them all equally.
context: Well, I do keep a notebook of my own, too.\Really?\What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe...\I know.\All customers are equal,\thus, we need to treat them all equally. response:	That's what Madam Manager lives for!
context: Really?\What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe...\I know.\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for! response:	That's what Kissuiso stands for!
context: What? Stop acting so surprised.\Okay, let's get to work!\Umm, Tomoe...\I know.\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for! response:	Right?
context: Okay, let's get to work!\Umm, Tomoe...\I know.\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right? response:	Yeah!
context: Umm, Tomoe...\I know.\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right?\Yeah! response:	I made a mistake.
context: I know.\All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right?\Yeah!\I made a mistake. response:	Bamboo
context: All customers are equal,\thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right?\Yeah!\I made a mistake.\Bamboo response:	There.
context: thus, we need to treat them all equally.\That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right?\Yeah!\I made a mistake.\Bamboo\There. response:	This is our inn's special meal.
context: That's what Madam Manager lives for!\That's what Kissuiso stands for!\Right?\Yeah!\I made a mistake.\Bamboo\There.\This is our inn's special meal. response:	Special bamboo.
context: That's what Kissuiso stands for!\Right?\Yeah!\I made a mistake.\Bamboo\There.\This is our inn's special meal.\Special bamboo. response:	Please enjoy!
context: Right?\Yeah!\I made a mistake.\Bamboo\There.\This is our inn's special meal.\Special bamboo.\Please enjoy! response:	Thank you.
context: Yeah!\I made a mistake.\Bamboo\There.\This is our inn's special meal.\Special bamboo.\Please enjoy!\Thank you. response:	Thank you.
context: I made a mistake.\Bamboo\There.\This is our inn's special meal.\Special bamboo.\Please enjoy!\Thank you.\Thank you. response:	Please enjoy your stay.
context: Bamboo\There.\This is our inn's special meal.\Special bamboo.\Please enjoy!\Thank you.\Thank you.\Please enjoy your stay. response:	This is so good!
context: There.\This is our inn's special meal.\Special bamboo.\Please enjoy!\Thank you.\Thank you.\Please enjoy your stay.\This is so good! response:	We're done over here, Mr. Ren!
context: This is our inn's special meal.\Special bamboo.\Please enjoy!\Thank you.\Thank you.\Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren! response:	Okay. Now I need you to do the kneading.
context: Special bamboo.\Please enjoy!\Thank you.\Thank you.\Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading. response:	Yes, sir!
context: Please enjoy!\Thank you.\Thank you.\Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir! response:	Six... Seven... Eight...
context: Thank you.\Thank you.\Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight... response:	The sound has changed!
context: Thank you.\Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight...\The sound has changed! response:	Right!
context: Please enjoy your stay.\This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight...\The sound has changed!\Right! response:	Do you mind tasting my fish tenpura?
context: This is so good!\We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight...\The sound has changed!\Right!\Do you mind tasting my fish tenpura? response:	Sure!
context: We're done over here, Mr. Ren!\Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight...\The sound has changed!\Right!\Do you mind tasting my fish tenpura?\Sure! response:	Here.
context: Okay. Now I need you to do the kneading.\Yes, sir!\Six... Seven... Eight...\The sound has changed!\Right!\Do you mind tasting my fish tenpura?\Sure!\Here. response:	It's good. Go with this.
context: Yes, sir!\Six... Seven... Eight...\The sound has changed!\Right!\Do you mind tasting my fish tenpura?\Sure!\Here.\It's good. Go with this. response:	Thank you!
context: Six... Seven... Eight...\The sound has changed!\Right!\Do you mind tasting my fish tenpura?\Sure!\Here.\It's good. Go with this.\Thank you! response:	Did you note how the oil sound changed when it was ready?
context: The sound has changed!\Right!\Do you mind tasting my fish tenpura?\Sure!\Here.\It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready? response:	Yes, sir!
context: Right!\Do you mind tasting my fish tenpura?\Sure!\Here.\It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir! response:	Oh, you were here.
context: Do you mind tasting my fish tenpura?\Sure!\Here.\It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here. response:	W-What are you doing?!
context: Sure!\Here.\It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here.\W-What are you doing?! response:	I was feeling warm and delighted.
context: Here.\It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted. response:	What's that supposed to mean?!
context: It's good. Go with this.\Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?! response:	Warm, huh...
context: Thank you!\Did you note how the oil sound changed when it was ready?\Yes, sir!\Oh, you were here.\W-What are you doing?!\I was feeling warm and delighted.\What's that supposed to mean?!\Warm, huh... response:	Well, for her first time, it was indeed well-done.
