context: Chance ball! response:	Left!
context: All right!\Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line!\Got it!\The ball's not coming down. So amazing.\Nice cover, Makki! response:	It's coming back!
context: Bring it around, bring it around!\Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line!\Got it!\The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back! response:	Chance ball!
context: Hurry and bring the rotation around.\Bring the shrimp\one step closer to the back line!\Got it!\The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back!\Chance ball! response:	Fly
context: Bring the shrimp\one step closer to the back line!\Got it!\The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back!\Chance ball!\Fly response:	Again?!
context: one step closer to the back line!\Got it!\The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back!\Chance ball!\Fly\Again?! response:	The sides of the court
context: Got it!\The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back!\Chance ball!\Fly\Again?!\The sides of the court response:	as much as possible.
context: The ball's not coming down. So amazing.\Nice cover, Makki!\It's coming back!\Chance ball!\Fly\Again?!\The sides of the court\as much as possible. response:	Aoba Johsai Karasuno
context: Nice cover, Makki!\It's coming back!\Chance ball!\Fly\Again?!\The sides of the court\as much as possible.\Aoba Johsai Karasuno response:	All right!
context: It's coming back!\Chance ball!\Fly\Again?!\The sides of the court\as much as possible.\Aoba Johsai Karasuno\All right! response:	That little guy's amazing.
context: Chance ball!\Fly\Again?!\The sides of the court\as much as possible.\Aoba Johsai Karasuno\All right!\That little guy's amazing. response:	Volleyball, more than anything,
context: Fly\Again?!\The sides of the court\as much as possible.\Aoba Johsai Karasuno\All right!\That little guy's amazing.\Volleyball, more than anything, response:	is a sport where you keep jumping continuously,
context: Again?!\The sides of the court\as much as possible.\Aoba Johsai Karasuno\All right!\That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously, response:	so I believe it's also a battle with gravity.
context: The sides of the court\as much as possible.\Aoba Johsai Karasuno\All right!\That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity. response:	Jumping as decoy,
context: as much as possible.\Aoba Johsai Karasuno\All right!\That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy, response:	jumping to block,
context: Aoba Johsai Karasuno\All right!\That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block, response:	and jumping to spike.
context: All right!\That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block,\and jumping to spike. response:	Nishinoya, nice cover!
context: That little guy's amazing.\Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block,\and jumping to spike.\Nishinoya, nice cover! response:	As the rally keeps going,
context: Volleyball, more than anything,\is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block,\and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going, response:	Go back! Go back! One more! One more!
context: is a sport where you keep jumping continuously,\so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block,\and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more! response:	fatigue sets in and your mental faculties decline.
context: so I believe it's also a battle with gravity.\Jumping as decoy,\jumping to block,\and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline. response:	Left, left!
context: Jumping as decoy,\jumping to block,\and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left! response:	We're gonna stop them one more time!
context: jumping to block,\and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time! response:	To be honest, you want to skip the blocking,
context: and jumping to spike.\Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking, response:	and I've had times where I hoped someone else would spike it.
context: Nishinoya, nice cover!\As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it. response:	When long rallies continue and I get deprived of oxygen, I think,
context: As the rally keeps going,\Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think, response:	Hurry up and drop, ball... Preferably on the other side.
context: Go back! Go back! One more! One more!\fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side. response:	Bring it!
context: fatigue sets in and your mental faculties decline.\Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it! response:	If I slow down even for a moment, it'll delay everyone else.
context: Left, left!\We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else. response:	At my height, if I ease off on my jumps even a little,
context: We're gonna stop them one more time!\To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little, response:	I'll be shot down in an instant.
context: To be honest, you want to skip the blocking,\and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant. response:	Run! Run!
context: and I've had times where I hoped someone else would spike it.\When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run! response:	Jump! Jump!
context: When long rallies continue and I get deprived of oxygen, I think,\Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run!\Jump! Jump! response:	If you want to stay here!
context: Hurry up and drop, ball... Preferably on the other side.\Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run!\Jump! Jump!\If you want to stay here! response:	Like hell
context: Bring it!\If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run!\Jump! Jump!\If you want to stay here!\Like hell response:	am I going to let you spike freely!
context: If I slow down even for a moment, it'll delay everyone else.\At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run!\Jump! Jump!\If you want to stay here!\Like hell\am I going to let you spike freely! response:	Right now, the sides of the court...
context: At my height, if I ease off on my jumps even a little,\I'll be shot down in an instant.\Run! Run!\Jump! Jump!\If you want to stay here!\Like hell\am I going to let you spike freely!\Right now, the sides of the court... response:	And then...
context: I'll be shot down in an instant.\Run! Run!\Jump! Jump!\If you want to stay here!\Like hell\am I going to let you spike freely!\Right now, the sides of the court...\And then... response:	Break through the middle!
context: Run! Run!\Jump! Jump!\If you want to stay here!\Like hell\am I going to let you spike freely!\Right now, the sides of the court...\And then...\Break through the middle! response:	Pipe penetration!
context: Jump! Jump!\If you want to stay here!\Like hell\am I going to let you spike freely!\Right now, the sides of the court...\And then...\Break through the middle!\Pipe penetration! response:	Nice point!
context: If you want to stay here!\Like hell\am I going to let you spike freely!\Right now, the sides of the court...\And then...\Break through the middle!\Pipe penetration!\Nice point! response:	Hinata!
context: Like hell\am I going to let you spike freely!\Right now, the sides of the court...\And then...\Break through the middle!\Pipe penetration!\Nice point!\Hinata! response:	Damn it!
context: am I going to let you spike freely!\Right now, the sides of the court...\And then...\Break through the middle!\Pipe penetration!\Nice point!\Hinata!\Damn it! response:	Sorry. I totally got lured out.
context: Right now, the sides of the court...\And then...\Break through the middle!\Pipe penetration!\Nice point!\Hinata!\Damn it!\Sorry. I totally got lured out. response:	I knew that this would be the perfect timing for a pipe,
context: And then...\Break through the middle!\Pipe penetration!\Nice point!\Hinata!\Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe, response:	and yet... just now...
context: Break through the middle!\Pipe penetration!\Nice point!\Hinata!\Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now... response:	I was about to toss to Hinata.
context: Pipe penetration!\Nice point!\Hinata!\Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata. response:	I was about to have my toss taken.
context: Nice point!\Hinata!\Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken. response:	Nice determination, Hinata!
context: Hinata!\Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata! response:	Thanks!
context: Damn it!\Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata!\Thanks! response:	The ultimate... decoy.
context: Sorry. I totally got lured out.\I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata!\Thanks!\The ultimate... decoy. response:	Aoba Johsai Karasuno
context: I knew that this would be the perfect timing for a pipe,\and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata!\Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno response:	Karasuno caught up.
context: and yet... just now...\I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata!\Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up. response:	They're tied.
context: I was about to toss to Hinata.\I was about to have my toss taken.\Nice determination, Hinata!\Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up.\They're tied. response:	I'll go get the towels.
context: I was about to have my toss taken.\Nice determination, Hinata!\Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up.\They're tied.\I'll go get the towels. response:	Thanks.
context: Nice determination, Hinata!\Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up.\They're tied.\I'll go get the towels.\Thanks. response:	Thanks.
context: Thanks!\The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up.\They're tied.\I'll go get the towels.\Thanks.\Thanks. response:	The rallies are lasting a lot longer than the first and second set.
context: The ultimate... decoy.\Aoba Johsai Karasuno\Karasuno caught up.\They're tied.\I'll go get the towels.\Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set. response:	That's got to be tiring.
context: Aoba Johsai Karasuno\Karasuno caught up.\They're tied.\I'll go get the towels.\Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring. response:	But...
context: Karasuno caught up.\They're tied.\I'll go get the towels.\Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But... response:	I'm jealous.
context: They're tied.\I'll go get the towels.\Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But...\I'm jealous. response:	What are we going to do about 10's broad cross?
context: I'll go get the towels.\Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But...\I'm jealous.\What are we going to do about 10's broad cross? response:	Let's get rid
context: Thanks.\Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But...\I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid response:	of that broad cross.
context: Thanks.\The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But...\I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid\of that broad cross. response:	Aoba Johsai Karasuno
context: The rallies are lasting a lot longer than the first and second set.\That's got to be tiring.\But...\I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid\of that broad cross.\Aoba Johsai Karasuno response:	Tanaka, nice point!
context: That's got to be tiring.\But...\I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid\of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point! response:	In the next rotation, Hinata will be in the back line.
context: But...\I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid\of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line. response:	Hey! Are you all right?
context: I'm jealous.\What are we going to do about 10's broad cross?\Let's get rid\of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right? response:	I-I'm fine...
context: What are we going to do about 10's broad cross?\Let's get rid\of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine... response:	Make sure you cash in all you've got before moving into the back line.
context: Let's get rid\of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line. response:	I know that!
context: of that broad cross.\Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that! response:	Kunimi, nice receive!
context: Aoba Johsai Karasuno\Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive! response:	Kindachi!
context: Tanaka, nice point!\In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive!\Kindachi! response:	12! 12!
context: In the next rotation, Hinata will be in the back line.\Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive!\Kindachi!\12! 12! response:	Nishinoya, nice receive!
context: Hey! Are you all right?\I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive!\Kindachi!\12! 12!\Nishinoya, nice receive! response:	Chance!
context: I-I'm fine...\Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive!\Kindachi!\12! 12!\Nishinoya, nice receive!\Chance! response:	Is he going to do another broad... or wait... Huh?
context: Make sure you cash in all you've got before moving into the back line.\I know that!\Kunimi, nice receive!\Kindachi!\12! 12!\Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh? response:	No mark?
context: I know that!\Kunimi, nice receive!\Kindachi!\12! 12!\Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh?\No mark? response:	Did they give up on the block?
context: Kunimi, nice receive!\Kindachi!\12! 12!\Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block? response:	All right! Go free, Hinata!
context: Kindachi!\12! 12!\Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block?\All right! Go free, Hinata! response:	I can see really well.
context: 12! 12!\Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block?\All right! Go free, Hinata!\I can see really well. response:	Nice receive!
context: Nishinoya, nice receive!\Chance!\Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block?\All right! Go free, Hinata!\I can see really well.\Nice receive! response:	Was there no mark on purpose?!
context: Chance!\Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block?\All right! Go free, Hinata!\I can see really well.\Nice receive!\Was there no mark on purpose?! response:	In this short amount of time...
context: Is he going to do another broad... or wait... Huh?\No mark?\Did they give up on the block?\All right! Go free, Hinata!\I can see really well.\Nice receive!\Was there no mark on purpose?!\In this short amount of time... response:	Just how fast at switching gears are they?
context: No mark?\Did they give up on the block?\All right! Go free, Hinata!\I can see really well.\Nice receive!\Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they? response:	Now a dump?!
context: Did they give up on the block?\All right! Go free, Hinata!\I can see really well.\Nice receive!\Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they?\Now a dump?! response:	A dump attack taking advantage of our moment of hesitation.
context: All right! Go free, Hinata!\I can see really well.\Nice receive!\Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation. response:	Let's get rid of that broad.
context: I can see really well.\Nice receive!\Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad. response:	Get rid of it? How?
context: Nice receive!\Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How? response:	That shrimp's broad is god-like.
context: Was there no mark on purpose?!\In this short amount of time...\Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like. response:	It's really fast, but his body will go with the momentum,
context: In this short amount of time...\Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum, response:	so he won't be able to redirect the ball.
context: Just how fast at switching gears are they?\Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball. response:	Yeah.
context: Now a dump?!\A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah. response:	Instead of blocking that broad cross, we'll use a dig.
context: A dump attack taking advantage of our moment of hesitation.\Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig. response:	Right!
context: Let's get rid of that broad.\Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right! response:	An unstoppable block is just going to get in the way of receiving the ball.
context: Get rid of it? How?\That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball. response:	No matter how difficult things get, don't forget to think and communicate!
context: That shrimp's broad is god-like.\It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate! response:	Nice receive!
context: It's really fast, but his body will go with the momentum,\so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive! response:	We can't even bring Seijoh down with that!
context: so he won't be able to redirect the ball.\Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that! response:	Damn. Right when we don't want them to get ahead,
context: Yeah.\Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead, response:	his turn to serve comes up.
context: Instead of blocking that broad cross, we'll use a dig.\Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up. response:	We'll end this in one!
context: Right!\An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one! response:	Right!
context: An unstoppable block is just going to get in the way of receiving the ball.\No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one!\Right! response:	Rule the Court
context: No matter how difficult things get, don't forget to think and communicate!\Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one!\Right!\Rule the Court response:	Net in! All right! Lucky!
context: Nice receive!\We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one!\Right!\Rule the Court\Net in! All right! Lucky! response:	There's nothing you could have done about that. Move on.
context: We can't even bring Seijoh down with that!\Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one!\Right!\Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on. response:	Damn it. We're two points behind again.
context: Damn. Right when we don't want them to get ahead,\his turn to serve comes up.\We'll end this in one!\Right!\Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again. response:	Stay calm.
context: his turn to serve comes up.\We'll end this in one!\Right!\Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm. response:	Sorry! Cover!
context: We'll end this in one!\Right!\Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm.\Sorry! Cover! response:	All right!
context: Right!\Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm.\Sorry! Cover!\All right! response:	Got it!
context: Rule the Court\Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm.\Sorry! Cover!\All right!\Got it! response:	Kageyama!
context: Net in! All right! Lucky!\There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm.\Sorry! Cover!\All right!\Got it!\Kageyama! response:	Asahi, last!
context: There's nothing you could have done about that. Move on.\Damn it. We're two points behind again.\Stay calm.\Sorry! Cover!\All right!\Got it!\Kageyama!\Asahi, last! response:	That was close!
context: Damn it. We're two points behind again.\Stay calm.\Sorry! Cover!\All right!\Got it!\Kageyama!\Asahi, last!\That was close! response:	Calm down! Don't lose your cool!
context: Stay calm.\Sorry! Cover!\All right!\Got it!\Kageyama!\Asahi, last!\That was close!\Calm down! Don't lose your cool! response:	This isn't ending any time soon...
context: Sorry! Cover!\All right!\Got it!\Kageyama!\Asahi, last!\That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon... response:	When you make it through a long rally,
context: All right!\Got it!\Kageyama!\Asahi, last!\That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally, response:	you can shift the game's momentum.
context: Got it!\Kageyama!\Asahi, last!\That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum. response:	With this rally, getting that one point will be crucial.
context: Kageyama!\Asahi, last!\That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial. response:	Cover!
context: Asahi, last!\That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover! response:	I'm not going to let you have it... the point, or our momentum!
context: That was close!\Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum! response:	It connected!
context: Calm down! Don't lose your cool!\This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum!\It connected! response:	But who'll get the last hit?
context: This isn't ending any time soon...\When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit? response:	Center!
context: When you make it through a long rally,\you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit?\Center! response:	Shoyo, we're counting on you!
context: you can shift the game's momentum.\With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit?\Center!\Shoyo, we're counting on you! response:	Break through!
context: With this rally, getting that one point will be crucial.\Cover!\I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit?\Center!\Shoyo, we're counting on you!\Break through! response:	Stop him!
context: Cover!\I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit?\Center!\Shoyo, we're counting on you!\Break through!\Stop him! response:	All right!
context: I'm not going to let you have it... the point, or our momentum!\It connected!\But who'll get the last hit?\Center!\Shoyo, we're counting on you!\Break through!\Stop him!\All right! response:	Aoba Johsai Karasuno
context: It connected!\But who'll get the last hit?\Center!\Shoyo, we're counting on you!\Break through!\Stop him!\All right!\Aoba Johsai Karasuno response:	Damn. They've used up their two timeouts.
context: But who'll get the last hit?\Center!\Shoyo, we're counting on you!\Break through!\Stop him!\All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts. response:	It can't be helped.
context: Center!\Shoyo, we're counting on you!\Break through!\Stop him!\All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped. response:	They've got to physically break that momentum with a timeout,
context: Shoyo, we're counting on you!\Break through!\Stop him!\All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout, response:	or Seijoh's going to take control.
context: Break through!\Stop him!\All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control. response:	A-At times like this, your voice is important!
context: Stop him!\All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important! response:	Something... Isn't there something?
context: All right!\Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something? response:	Make sure you're using your voice!
context: Aoba Johsai Karasuno\Damn. They've used up their two timeouts.\It can't be helped.\They've got to physically break that momentum with a timeout,\or Seijoh's going to take control.\A-At times like this, your voice is important!\Something... Isn't there something?\Make sure you're using your voice! response:	Something to change the momentum?
