context: As we continued ourjourney in pursuit of Naraku, response:	in a strange turn of events,
context: Huh? What is it?\How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off! response:	What's this? The demonic aura is thickening.
context: How did you overcome the grip of the demonic aura?\Demonic aura?\Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening. response:	What is this?
context: Demonic aura?\Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening.\What is this? response:	What's that?!
context: Was there such a thing here?\You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening.\What is this?\What's that?! response:	This feeling...
context: You really don't sense it?\I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening.\What is this?\What's that?!\This feeling... response:	Huh?!
context: I guess it means she's very extraordinary.\Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening.\What is this?\What's that?!\This feeling...\Huh?! response:	The demonic aura... is rising from the castle.
context: Anyway, we can't be wasting time here!\The demon head flew off!\What's this? The demonic aura is thickening.\What is this?\What's that?!\This feeling...\Huh?!\The demonic aura... is rising from the castle. response:	This one is just a decoy to distract me!
context: The demon head flew off!\What's this? The demonic aura is thickening.\What is this?\What's that?!\This feeling...\Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me! response:	The real one is inside the castle!
context: What's this? The demonic aura is thickening.\What is this?\What's that?!\This feeling...\Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle! response:	Damn, no time to waste!
context: What is this?\What's that?!\This feeling...\Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste! response:	Why don't you get back...
context: What's that?!\This feeling...\Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste!\Why don't you get back... response:	inside the castle?!
context: This feeling...\Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste!\Why don't you get back...\inside the castle?! response:	Then the demon took the guise of the princess...
context: Huh?!\The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste!\Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess... response:	and devoured the monks and priestesses
context: The demonic aura... is rising from the castle.\This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste!\Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses response:	who came to exorcise the castle?
context: This one is just a decoy to distract me!\The real one is inside the castle!\Damn, no time to waste!\Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle? response:	She said I was the hundredth one.
context: The real one is inside the castle!\Damn, no time to waste!\Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one. response:	Hmm... the demon...
context: Damn, no time to waste!\Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon... response:	Why did it come afteryou, and not me?
context: Why don't you get back...\inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me? response:	That demon devours spiritual power.
context: inside the castle?!\Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power. response:	Once it devoured the powers of one hundred,
context: Then the demon took the guise of the princess...\and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred, response:	it was going to be completely reborn.
context: and devoured the monks and priestesses\who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn. response:	Oh, I see!
context: who came to exorcise the castle?\She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see! response:	It means I was number 101.
context: She said I was the hundredth one.\Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see!\It means I was number 101. response:	Otherwise, there's no way
context: Hmm... the demon...\Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see!\It means I was number 101.\Otherwise, there's no way response:	it wouldn't have come after someone with my powers.
context: Why did it come afteryou, and not me?\That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see!\It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers. response:	Right?
context: That demon devours spiritual power.\Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see!\It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right? response:	Are you listening?!
context: Once it devoured the powers of one hundred,\it was going to be completely reborn.\Oh, I see!\It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right?\Are you listening?! response:	Ademon head?
context: it was going to be completely reborn.\Oh, I see!\It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right?\Are you listening?!\Ademon head? response:	What're those things coming out of the princess'body?
context: Oh, I see!\It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right?\Are you listening?!\Ademon head?\What're those things coming out of the princess'body? response:	W-What is iteating?
context: It means I was number 101.\Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right?\Are you listening?!\Ademon head?\What're those things coming out of the princess'body?\W-What is iteating? response:	I hid the spiritual powers of 99 victims inside that body.
context: Otherwise, there's no way\it wouldn't have come after someone with my powers.\Right?\Are you listening?!\Ademon head?\What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body. response:	One more...
context: it wouldn't have come after someone with my powers.\Right?\Are you listening?!\Ademon head?\What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more... response:	I missed my chance with that monk.
context: Right?\Are you listening?!\Ademon head?\What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk. response:	Young woman... What is that on yourperson?
context: Are you listening?!\Ademon head?\What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk.\Young woman... What is that on yourperson? response:	The Sacred Jewel shards!
context: Ademon head?\What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards! response:	It may be more effective
context: What're those things coming out of the princess'body?\W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective response:	than the powers that a mere human possesses.
context: W-What is iteating?\I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses. response:	She's going to eat me!
context: I hid the spiritual powers of 99 victims inside that body.\One more...\I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses.\She's going to eat me! response:	Shippo! Yourfox fire!
context: One more...\I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire! response:	O-Okay!
context: I missed my chance with that monk.\Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire!\O-Okay! response:	Fox Fire!
context: Young woman... What is that on yourperson?\The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire!\O-Okay!\Fox Fire! response:	Now's our chance!
context: The Sacred Jewel shards!\It may be more effective\than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire!\O-Okay!\Fox Fire!\Now's our chance! response:	N-Not so fast!
context: It may be more effective\than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire!\O-Okay!\Fox Fire!\Now's our chance!\N-Not so fast! response:	You will notget away.
context: than the powers that a mere human possesses.\She's going to eat me!\Shippo! Yourfox fire!\O-Okay!\Fox Fire!\Now's our chance!\N-Not so fast!\You will notget away. response:	Stay put and be eaten!
context: She's going to eat me!\Shippo! Yourfox fire!\O-Okay!\Fox Fire!\Now's our chance!\N-Not so fast!\You will notget away.\Stay put and be eaten! response:	You will notget away.
context: Shippo! Yourfox fire!\O-Okay!\Fox Fire!\Now's our chance!\N-Not so fast!\You will notget away.\Stay put and be eaten!\You will notget away. response:	Stay put and be eaten!
context: O-Okay!\Fox Fire!\Now's our chance!\N-Not so fast!\You will notget away.\Stay put and be eaten!\You will notget away.\Stay put and be eaten! response:	Why you...!
context: Fox Fire!\Now's our chance!\N-Not so fast!\You will notget away.\Stay put and be eaten!\You will notget away.\Stay put and be eaten!\Why you...! response:	So the true form finally showed up!
context: Now's our chance!\N-Not so fast!\You will notget away.\Stay put and be eaten!\You will notget away.\Stay put and be eaten!\Why you...!\So the true form finally showed up! response:	Inuyasha!
context: N-Not so fast!\You will notget away.\Stay put and be eaten!\You will notget away.\Stay put and be eaten!\Why you...!\So the true form finally showed up!\Inuyasha! response:	You're late!
context: You will notget away.\Stay put and be eaten!\You will notget away.\Stay put and be eaten!\Why you...!\So the true form finally showed up!\Inuyasha!\You're late! response:	She was just on the verge of being eaten!
context: Stay put and be eaten!\You will notget away.\Stay put and be eaten!\Why you...!\So the true form finally showed up!\Inuyasha!\You're late!\She was just on the verge of being eaten! response:	Shaddup!
context: You will notget away.\Stay put and be eaten!\Why you...!\So the true form finally showed up!\Inuyasha!\You're late!\She was just on the verge of being eaten!\Shaddup! response:	Be grateful I came at least!
context: Stay put and be eaten!\Why you...!\So the true form finally showed up!\Inuyasha!\You're late!\She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least! response:	W-What?!
context: Why you...!\So the true form finally showed up!\Inuyasha!\You're late!\She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least!\W-What?! response:	Now, now...
context: So the true form finally showed up!\Inuyasha!\You're late!\She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least!\W-What?!\Now, now... response:	Why you...!
context: Inuyasha!\You're late!\She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least!\W-What?!\Now, now...\Why you...! response:	How dare you...
context: You're late!\She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least!\W-What?!\Now, now...\Why you...!\How dare you... response:	How dare you scar my face?!
context: She was just on the verge of being eaten!\Shaddup!\Be grateful I came at least!\W-What?!\Now, now...\Why you...!\How dare you...\How dare you scar my face?! response:	Unforgivable!
context: Shaddup!\Be grateful I came at least!\W-What?!\Now, now...\Why you...!\How dare you...\How dare you scar my face?!\Unforgivable! response:	You won't get away with this!
context: Be grateful I came at least!\W-What?!\Now, now...\Why you...!\How dare you...\How dare you scar my face?!\Unforgivable!\You won't get away with this! response:	So what're you gonna do?!
context: W-What?!\Now, now...\Why you...!\How dare you...\How dare you scar my face?!\Unforgivable!\You won't get away with this!\So what're you gonna do?! response:	Causing all this trouble!
context: Now, now...\Why you...!\How dare you...\How dare you scar my face?!\Unforgivable!\You won't get away with this!\So what're you gonna do?!\Causing all this trouble! response:	Well, it's coming to an end!
context: Why you...!\How dare you...\How dare you scar my face?!\Unforgivable!\You won't get away with this!\So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end! response:	You half-demon!
context: How dare you...\How dare you scar my face?!\Unforgivable!\You won't get away with this!\So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end!\You half-demon! response:	This time, I won't miss!
context: How dare you scar my face?!\Unforgivable!\You won't get away with this!\So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end!\You half-demon!\This time, I won't miss! response:	Prepare to die!
context: Unforgivable!\You won't get away with this!\So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end!\You half-demon!\This time, I won't miss!\Prepare to die! response:	The demon!
context: You won't get away with this!\So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end!\You half-demon!\This time, I won't miss!\Prepare to die!\The demon! response:	Is it unconscious?
context: So what're you gonna do?!\Causing all this trouble!\Well, it's coming to an end!\You half-demon!\This time, I won't miss!\Prepare to die!\The demon!\Is it unconscious? response:	The... lord! Lord!
context: Causing all this trouble!\Well, it's coming to an end!\You half-demon!\This time, I won't miss!\Prepare to die!\The demon!\Is it unconscious?\The... lord! Lord! response:	Why you...!
context: Well, it's coming to an end!\You half-demon!\This time, I won't miss!\Prepare to die!\The demon!\Is it unconscious?\The... lord! Lord!\Why you...! response:	Quit moving around!
context: You half-demon!\This time, I won't miss!\Prepare to die!\The demon!\Is it unconscious?\The... lord! Lord!\Why you...!\Quit moving around! response:	What's so funny?!
context: This time, I won't miss!\Prepare to die!\The demon!\Is it unconscious?\The... lord! Lord!\Why you...!\Quit moving around!\What's so funny?! response:	The occupants of this castle buried my head
context: Prepare to die!\The demon!\Is it unconscious?\The... lord! Lord!\Why you...!\Quit moving around!\What's so funny?!\The occupants of this castle buried my head response:	as a means to ward off evil.
context: The demon!\Is it unconscious?\The... lord! Lord!\Why you...!\Quit moving around!\What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil. response:	Foolish humans!
context: Is it unconscious?\The... lord! Lord!\Why you...!\Quit moving around!\What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans! response:	That's why I cursed the princess to death.
context: The... lord! Lord!\Why you...!\Quit moving around!\What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death. response:	And I borrowed her appearance.
context: Why you...!\Quit moving around!\What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance. response:	And into her corpse, I hid the spiritual powers
context: Quit moving around!\What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers response:	that I stole from those I devoured.
context: What's so funny?!\The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured. response:	So the lord was merely guarding the princess' body.
context: The occupants of this castle buried my head\as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body. response:	As well as a decoy
context: as a means to ward off evil.\Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy response:	in case someone came close to figuring out the truth!
context: Foolish humans!\That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth! response:	Too bad, Demon Head!
context: That's why I cursed the princess to death.\And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head! response:	That you had to deal with us!
context: And I borrowed her appearance.\And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us! response:	Think so?
context: And into her corpse, I hid the spiritual powers\that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us!\Think so? response:	Now you die!
context: that I stole from those I devoured.\So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us!\Think so?\Now you die! response:	Stop!
context: So the lord was merely guarding the princess' body.\As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us!\Think so?\Now you die!\Stop! response:	Miroku!
context: As well as a decoy\in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us!\Think so?\Now you die!\Stop!\Miroku! response:	Whaddya want, Miroku?!
context: in case someone came close to figuring out the truth!\Too bad, Demon Head!\That you had to deal with us!\Think so?\Now you die!\Stop!\Miroku!\Whaddya want, Miroku?! response:	Don't interfere!
context: Too bad, Demon Head!\That you had to deal with us!\Think so?\Now you die!\Stop!\Miroku!\Whaddya want, Miroku?!\Don't interfere! response:	Before you're destroyed, I must ask you something.
context: That you had to deal with us!\Think so?\Now you die!\Stop!\Miroku!\Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something. response:	Like what?!
context: Think so?\Now you die!\Stop!\Miroku!\Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something.\Like what?! response:	Monk...
context: Now you die!\Stop!\Miroku!\Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something.\Like what?!\Monk... response:	Why didn't you make an appearance sooner?
context: Stop!\Miroku!\Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something.\Like what?!\Monk...\Why didn't you make an appearance sooner? response:	You had me overpowered.
context: Miroku!\Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something.\Like what?!\Monk...\Why didn't you make an appearance sooner?\You had me overpowered. response:	Ademon with a powerful demonic aura like that...
context: Whaddya want, Miroku?!\Don't interfere!\Before you're destroyed, I must ask you something.\Like what?!\Monk...\Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that... response:	you could've appeared anytime you wanted.
context: Don't interfere!\Before you're destroyed, I must ask you something.\Like what?!\Monk...\Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted. response:	Until now, I had to be extremely careful about coming out.
context: Before you're destroyed, I must ask you something.\Like what?!\Monk...\Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out. response:	Because I knew that there was a demon with
context: Like what?!\Monk...\Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with response:	a more powerful demonic aura that could take control of me.
context: Monk...\Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me. response:	Huh?
context: Why didn't you make an appearance sooner?\You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh? response:	A strongerdemonic aura?
context: You had me overpowered.\Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura? response:	Yes... The mass of demonic aura controlled by Naraku.
context: Ademon with a powerful demonic aura like that...\you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku. response:	However... Naraku is no longer in this region.
context: you could've appeared anytime you wanted.\Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region. response:	So there's no need to hide myself in this castle anymore!
context: Until now, I had to be extremely careful about coming out.\Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore! response:	Damn!
context: Because I knew that there was a demon with\a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn! response:	Now I can have my fill of monks and priestesses!
context: a more powerful demonic aura that could take control of me.\Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses! response:	Well, I won't let you!
context: Huh?\A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you! response:	Wind Scar!
context: A strongerdemonic aura?\Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar! response:	He did it!
context: Yes... The mass of demonic aura controlled by Naraku.\However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar!\He did it! response:	It's still alive!
context: However... Naraku is no longer in this region.\So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar!\He did it!\It's still alive! response:	The Wind Scardidn't work!
context: So there's no need to hide myself in this castle anymore!\Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar!\He did it!\It's still alive!\The Wind Scardidn't work! response:	This is just the beginning...
context: Damn!\Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar!\He did it!\It's still alive!\The Wind Scardidn't work!\This is just the beginning... response:	I'll restore my body
context: Now I can have my fill of monks and priestesses!\Well, I won't let you!\Wind Scar!\He did it!\It's still alive!\The Wind Scardidn't work!\This is just the beginning...\I'll restore my body response:	and wreak havoc on this land!
context: Well, I won't let you!\Wind Scar!\He did it!\It's still alive!\The Wind Scardidn't work!\This is just the beginning...\I'll restore my body\and wreak havoc on this land! response:	What?!
context: Wind Scar!\He did it!\It's still alive!\The Wind Scardidn't work!\This is just the beginning...\I'll restore my body\and wreak havoc on this land!\What?! response:	Wind Tunnel!
context: He did it!\It's still alive!\The Wind Scardidn't work!\This is just the beginning...\I'll restore my body\and wreak havoc on this land!\What?!\Wind Tunnel! response:	It's all over.
context: It's still alive!\The Wind Scardidn't work!\This is just the beginning...\I'll restore my body\and wreak havoc on this land!\What?!\Wind Tunnel!\It's all over. response:	Damn, what a nuisance!
context: The Wind Scardidn't work!\This is just the beginning...\I'll restore my body\and wreak havoc on this land!\What?!\Wind Tunnel!\It's all over.\Damn, what a nuisance! response:	Look!
context: This is just the beginning...\I'll restore my body\and wreak havoc on this land!\What?!\Wind Tunnel!\It's all over.\Damn, what a nuisance!\Look! response:	The sky's returning to normal!
context: I'll restore my body\and wreak havoc on this land!\What?!\Wind Tunnel!\It's all over.\Damn, what a nuisance!\Look!\The sky's returning to normal! response:	The demon was destroyed
context: and wreak havoc on this land!\What?!\Wind Tunnel!\It's all over.\Damn, what a nuisance!\Look!\The sky's returning to normal!\The demon was destroyed response:	and the demonic aura overthe castle has disappeared.
context: What?!\Wind Tunnel!\It's all over.\Damn, what a nuisance!\Look!\The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared. response:	So it's all because this demon named Naraku is gone?
context: Wind Tunnel!\It's all over.\Damn, what a nuisance!\Look!\The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone? response:	That's why the demons in this region are acting up?
context: It's all over.\Damn, what a nuisance!\Look!\The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up? response:	It seems so.
context: Damn, what a nuisance!\Look!\The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so. response:	Then I'll be getting very busy!
context: Look!\The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy! response:	Business will be booming.
context: The sky's returning to normal!\The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy!\Business will be booming. response:	Old woman...
context: The demon was destroyed\and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy!\Business will be booming.\Old woman... response:	I have one piece of advice. Retire!
context: and the demonic aura overthe castle has disappeared.\So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy!\Business will be booming.\Old woman...\I have one piece of advice. Retire! response:	You're just a fake exorcist anyway.
context: So it's all because this demon named Naraku is gone?\That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy!\Business will be booming.\Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway. response:	Inuyasha, don't be so blunt.
context: That's why the demons in this region are acting up?\It seems so.\Then I'll be getting very busy!\Business will be booming.\Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt. response:	Shut your mouth!
context: It seems so.\Then I'll be getting very busy!\Business will be booming.\Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth! response:	If it weren't forme, the monk would be dead meat right now!
context: Then I'll be getting very busy!\Business will be booming.\Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now! response:	And I'm grateful to you.
context: Business will be booming.\Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you. response:	Will ya listen to her?!
context: Old woman...\I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?! response:	I think it's made her overconfident.
context: I have one piece of advice. Retire!\You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident. response:	Yes, but I think people like herlive a long time.
context: You're just a fake exorcist anyway.\Inuyasha, don't be so blunt.\Shut your mouth!\If it weren't forme, the monk would be dead meat right now!\And I'm grateful to you.\Will ya listen to her?!\I think it's made her overconfident.\Yes, but I think people like herlive a long time. response:	Well, I agree about that... but...
