context: How to contact Luna Nova? response:	What's this now? Have the seeds of love finally sprouted in your withered heart?
context: What are you talking about?\She left her hat in my car, so I simply wanted to inform her before she starts missing it.\Aw man, how boring.\Unfortunately, the witches are on a different network than ours.\I see.\Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her. response:	No goal! No goal! No goal!
context: She left her hat in my car, so I simply wanted to inform her before she starts missing it.\Aw man, how boring.\Unfortunately, the witches are on a different network than ours.\I see.\Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal! response:	The results of that soccer match have escalated into this?
context: Aw man, how boring.\Unfortunately, the witches are on a different network than ours.\I see.\Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this? response:	Their country's always had underlying enmity brewing.
context: Unfortunately, the witches are on a different network than ours.\I see.\Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing. response:	So this is an outlet for their pent-up discontent.
context: I see.\Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent. response:	It looks like some of them are only in it for the entertainment.
context: Why don't you deliver it to her in person instead?\I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment. response:	I think so too. They're using the opportunity to go wild.
context: I could, but I get the feeling we'll meet again soon enough.\She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild. response:	Look. This is No Goal Wave.
context: She always appears when you least expect her.\No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave. response:	People can vent their anger over the other country there.
context: No goal! No goal! No goal!\The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there. response:	Their userbase has been exploding recently.
context: The results of that soccer match have escalated into this?\Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently. response:	Guess I should start up ER...
context: Their country's always had underlying enmity brewing.\So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER... response:	ER?
context: So this is an outlet for their pent-up discontent.\It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER...\ER? response:	Emotion Refresh. It's an app with some sort of healing effect.
context: It looks like some of them are only in it for the entertainment.\I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect. response:	It feels like everyone's been using it lately, what with this tense atmosphere in town.
context: I think so too. They're using the opportunity to go wild.\Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town. response:	Take action!
context: Look. This is No Goal Wave.\People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action! response:	Take action!
context: People can vent their anger over the other country there.\Their userbase has been exploding recently.\Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action! response:	Raise your hands!
context: Their userbase has been exploding recently.\Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action!\Raise your hands! response:	Raise your hands!
context: Guess I should start up ER...\ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action!\Raise your hands!\Raise your hands! response:	Release the shutter on this scene like it's the moment of a lifetime
context: ER?\Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Emotion Refresh. It's an app with some sort of healing effect.\It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Release the shutter on this scene like it's the moment of a lifetime
context: It feels like everyone's been using it lately, what with this tense atmosphere in town.\Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime response:	One scene shattaa kiru you ni setsuna wo utsushite
context: Take action!\Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite response:	Turn it into a story that can speak for itself
context: Take action!\Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Raise your hands!\Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Turn it into a story that can speak for itself
context: Raise your hands!\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself response:	tsukuriageru na mo naki hitotsu no story
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Release the shutter on this scene like it's the moment of a lifetime\One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	Every single one of us can become a hero
context: One scene shattaa kiru you ni setsuna wo utsushite\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero response:	watashitachi wa dare datte hiiro ni nareru
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Turn it into a story that can speak for itself\tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	The possibility hides within us, don't you think?
context: tsukuriageru na mo naki hitotsu no story\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think? response:	kanousei wo himeta sonzai, sou deshou?
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou? response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: Every single one of us can become a hero\watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: watashitachi wa dare datte hiiro ni nareru\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Your first steps forward can be small to start
context: kanousei wo himeta sonzai, sou deshou?\The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start response:	fumidashita ippo ga hajime wa chiisaku tatte
context: The possibility hides within us, don't you think?\kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte response:	Keep it up, and we can create a brand-new future
context: kanousei wo himeta sonzai, sou deshou?\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Your first steps forward can be small to start\fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: fumidashita ippo ga hajime wa chiisaku tatte\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	Keep it up, and we can create a brand-new future
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future response:	kitto atarashii mirai wo egaki daserunda
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	I'll always believe no matter what
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what response:	donna toki mo shinjiteiru yo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: Keep it up, and we can create a brand-new future\kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	In this world and in my dreams
context: kitto atarashii mirai wo egaki daserunda\I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams response:	kono sekai wo, jibun no yume wo
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: I'll always believe no matter what\donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	This uncontrollable urge is compelling me to begin
context: donna toki mo shinjiteiru yo\In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin response:	osaekirenai shoudou wa hajimari no aizu datte sa
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: In this world and in my dreams\kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	Telling me to go out and find the me I haven't become yet
context: kono sekai wo, jibun no yume wo\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet response:	mada watashi ga shiranai watashi ni deau tame
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go! response:	kimeta yo
context: This uncontrollable urge is compelling me to begin\osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo response:	So off I go!
context: osaekirenai shoudou wa hajimari no aizu datte sa\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go! response:	kimeta yo
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again response:	osorenaide try again
context: Telling me to go out and find the me I haven't become yet\mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again response:	Don't be afraid to try again
context: mada watashi ga shiranai watashi ni deau tame\So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again response:	osorenaide try again
context: So off I go!\kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again response:	Keep getting up and fly away
context: kimeta yo\So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away response:	nando datte fly away
context: So off I go!\kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away response:	Keep getting up and fly away
context: kimeta yo\Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away response:	nando datte fly away
context: Don't be afraid to try again\osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away response:	It's showtime!
context: osorenaide try again\Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime! response:	It's showtime!
context: Don't be afraid to try again\osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime! response:	Oh I don't want to miss a thing
context: osorenaide try again\Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing response:	Oh I don't want to miss a thing
context: Keep getting up and fly away\nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing response:	Starting from here
context: nando datte fly away\Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here response:	kono basho kara
context: Keep getting up and fly away\nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara response:	Starting from here
context: nando datte fly away\It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here response:	kono basho kara
context: It's showtime!\It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara response:	Little Witch Academia
context: It's showtime!\Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia response:	Little Witch Academia
context: Oh I don't want to miss a thing\Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia response:	I can't believe you not only brought Diana back,
context: Oh I don't want to miss a thing\Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back, response:	but also unlocked the fifth Word along the way.
context: Starting from here\kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way. response:	It surprised me too!
context: kono basho kara\Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too! response:	And now there are only two more Words left!
context: Starting from here\kono basho kara\Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left! response:	You've finally reached the sixth Word.
context: kono basho kara\Little Witch Academia\Little Witch Academia\I can't believe you not only brought Diana back,\but also unlocked the fifth Word along the way.\It surprised me too!\And now there are only two more Words left!\You've finally reached the sixth Word. response:	How do you read it?
