context: I'm Kagome Higurashi. response:	Born into an old and respected family of shrine keepers,
context: So...\I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse. response:	I used to think this kid was just a puppet...
context: I see.\Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet... response:	But he didn't kill the hostage girl.
context: Naraku's demonic aura remains hidden.\I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl. response:	Nordid he allow himself to be killed by Sesshomaru.
context: I've had my Soul Collectors look fortraces of him...\But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru. response:	Kohaku, if you keep defying Naraku,
context: But there's not even a hint of his barrier.\How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku, response:	you won't live long.
context: How has he hidden such a strong demonic aura?\Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long. response:	Although I shouldn't be one to talk.
context: Geez!\Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk. response:	Naraku disappeared.
context: Get the Sacred Jewel shard from Kohaku's corpse.\I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared. response:	And Kohaku along with him.
context: I used to think this kid was just a puppet...\But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him. response:	Kohaku...
context: But he didn't kill the hostage girl.\Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him.\Kohaku... response:	Where are you?
context: Nordid he allow himself to be killed by Sesshomaru.\Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him.\Kohaku...\Where are you? response:	Sango...
context: Kohaku, if you keep defying Naraku,\you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him.\Kohaku...\Where are you?\Sango... response:	Miroku.
context: you won't live long.\Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him.\Kohaku...\Where are you?\Sango...\Miroku. response:	So... Miroku went to woo Sango?
context: Although I shouldn't be one to talk.\Naraku disappeared.\And Kohaku along with him.\Kohaku...\Where are you?\Sango...\Miroku.\So... Miroku went to woo Sango? response:	That must be it.
context: Naraku disappeared.\And Kohaku along with him.\Kohaku...\Where are you?\Sango...\Miroku.\So... Miroku went to woo Sango?\That must be it. response:	Kagome even suggested that
context: And Kohaku along with him.\Kohaku...\Where are you?\Sango...\Miroku.\So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that response:	Sango's been secretly waiting forthis.
context: Kohaku...\Where are you?\Sango...\Miroku.\So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis. response:	Kirara... Do you mind?
context: Where are you?\Sango...\Miroku.\So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind? response:	You must be worried about yourbrother.
context: Sango...\Miroku.\So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother. response:	Well... yes.
context: Miroku.\So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes. response:	It's easier said than done, but don't worry too much.
context: So... Miroku went to woo Sango?\That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much. response:	Uh-huh.
context: That must be it.\Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh. response:	I understand what you're going through.
context: Kagome even suggested that\Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through. response:	Do you want to be alone, after all?
context: Sango's been secretly waiting forthis.\Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through.\Do you want to be alone, after all? response:	Huh?
context: Kirara... Do you mind?\You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through.\Do you want to be alone, after all?\Huh? response:	So...
context: You must be worried about yourbrother.\Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through.\Do you want to be alone, after all?\Huh?\So... response:	is that all?
context: Well... yes.\It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through.\Do you want to be alone, after all?\Huh?\So...\is that all? response:	Huh?
context: It's easier said than done, but don't worry too much.\Uh-huh.\I understand what you're going through.\Do you want to be alone, after all?\Huh?\So...\is that all?\Huh? response:	Err... no...
context: Uh-huh.\I understand what you're going through.\Do you want to be alone, after all?\Huh?\So...\is that all?\Huh?\Err... no... response:	After all, considering the way you usually are...
context: I understand what you're going through.\Do you want to be alone, after all?\Huh?\So...\is that all?\Huh?\Err... no...\After all, considering the way you usually are... response:	I thought aftergiving me the pep talk...
context: Do you want to be alone, after all?\Huh?\So...\is that all?\Huh?\Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk... response:	you'd do something lecherous.
context: Huh?\So...\is that all?\Huh?\Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous. response:	Sango... you...
context: So...\is that all?\Huh?\Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you... response:	You should have told me sooner if that's what you wanted.
context: is that all?\Huh?\Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted. response:	Hmm?
context: Huh?\Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted.\Hmm? response:	Now that's a good one.
context: Err... no...\After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one. response:	Damn! Everyone's crazy around here!
context: After all, considering the way you usually are...\I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one.\Damn! Everyone's crazy around here! response:	I guess there's no other way but to study.
context: I thought aftergiving me the pep talk...\you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study. response:	I don't understand a thing!
context: you'd do something lecherous.\Sango... you...\You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing! response:	At times like this...
context: Sango... you...\You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing!\At times like this... response:	Hello, Setsuko?
context: You should have told me sooner if that's what you wanted.\Hmm?\Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing!\At times like this...\Hello, Setsuko? response:	You ask someone else.
context: Hmm?\Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing!\At times like this...\Hello, Setsuko?\You ask someone else. response:	Okay, thanks!
context: Now that's a good one.\Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing!\At times like this...\Hello, Setsuko?\You ask someone else.\Okay, thanks! response:	All right.'Bye.
context: Damn! Everyone's crazy around here!\I guess there's no other way but to study.\I don't understand a thing!\At times like this...\Hello, Setsuko?\You ask someone else.\Okay, thanks!\All right.'Bye. response:	Huh? Now why did I call herin the first place?
context: I guess there's no other way but to study.\I don't understand a thing!\At times like this...\Hello, Setsuko?\You ask someone else.\Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place? response:	Sis, your textbook...
context: I don't understand a thing!\At times like this...\Hello, Setsuko?\You ask someone else.\Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook... response:	I didn't do a thing last night.
context: At times like this...\Hello, Setsuko?\You ask someone else.\Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night. response:	Sis, hey...
context: Hello, Setsuko?\You ask someone else.\Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night.\Sis, hey... response:	- Sis... - Don't talk to me!
context: You ask someone else.\Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me! response:	I'll forgeteverything I memorized.
context: Okay, thanks!\All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized. response:	I have to catch up today!
context: All right.'Bye.\Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today! response:	He's here... Inuyasha.
context: Huh? Now why did I call herin the first place?\Sis, your textbook...\I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha. response:	Yo!
context: Sis, your textbook...\I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha.\Yo! response:	W-Why?!
context: I didn't do a thing last night.\Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha.\Yo!\W-Why?! response:	You're late, so I came to get you.
context: Sis, hey...\- Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha.\Yo!\W-Why?!\You're late, so I came to get you. response:	Hey, let's go!
context: - Sis... - Don't talk to me!\I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha.\Yo!\W-Why?!\You're late, so I came to get you.\Hey, let's go! response:	Are you kidding?!
context: I'll forgeteverything I memorized.\I have to catch up today!\He's here... Inuyasha.\Yo!\W-Why?!\You're late, so I came to get you.\Hey, let's go!\Are you kidding?! response:	I have a test tomorrow!
context: I have to catch up today!\He's here... Inuyasha.\Yo!\W-Why?!\You're late, so I came to get you.\Hey, let's go!\Are you kidding?!\I have a test tomorrow! response:	Why're you so mad?
context: He's here... Inuyasha.\Yo!\W-Why?!\You're late, so I came to get you.\Hey, let's go!\Are you kidding?!\I have a test tomorrow!\Why're you so mad? response:	I'm off!
context: Yo!\W-Why?!\You're late, so I came to get you.\Hey, let's go!\Are you kidding?!\I have a test tomorrow!\Why're you so mad?\I'm off! response:	Listen! Do NOTgo outside.
context: W-Why?!\You're late, so I came to get you.\Hey, let's go!\Are you kidding?!\I have a test tomorrow!\Why're you so mad?\I'm off!\Listen! Do NOTgo outside. response:	Stay put in the house and wait.
context: You're late, so I came to get you.\Hey, let's go!\Are you kidding?!\I have a test tomorrow!\Why're you so mad?\I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait. response:	Understand?
context: Hey, let's go!\Are you kidding?!\I have a test tomorrow!\Why're you so mad?\I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand? response:	Awright!
context: Are you kidding?!\I have a test tomorrow!\Why're you so mad?\I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand?\Awright! response:	I'll be back this evening.
context: I have a test tomorrow!\Why're you so mad?\I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand?\Awright!\I'll be back this evening. response:	Huh? Where's Kagome?
context: Why're you so mad?\I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand?\Awright!\I'll be back this evening.\Huh? Where's Kagome? response:	She left.
context: I'm off!\Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand?\Awright!\I'll be back this evening.\Huh? Where's Kagome?\She left. response:	Oh dear!
context: Listen! Do NOTgo outside.\Stay put in the house and wait.\Understand?\Awright!\I'll be back this evening.\Huh? Where's Kagome?\She left.\Oh dear! response:	She forgot herlunch.
context: Stay put in the house and wait.\Understand?\Awright!\I'll be back this evening.\Huh? Where's Kagome?\She left.\Oh dear!\She forgot herlunch. response:	Lunch?
context: Understand?\Awright!\I'll be back this evening.\Huh? Where's Kagome?\She left.\Oh dear!\She forgot herlunch.\Lunch? response:	Can you take it to her?
context: Awright!\I'll be back this evening.\Huh? Where's Kagome?\She left.\Oh dear!\She forgot herlunch.\Lunch?\Can you take it to her? response:	Hmm?
context: I'll be back this evening.\Huh? Where's Kagome?\She left.\Oh dear!\She forgot herlunch.\Lunch?\Can you take it to her?\Hmm? response:	Here.
context: Huh? Where's Kagome?\She left.\Oh dear!\She forgot herlunch.\Lunch?\Can you take it to her?\Hmm?\Here. response:	If I follow Kagome's scent, I'll catch up to herright away.
context: She left.\Oh dear!\She forgot herlunch.\Lunch?\Can you take it to her?\Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away. response:	Someone! Catch him!
context: Oh dear!\She forgot herlunch.\Lunch?\Can you take it to her?\Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him! response:	Hold it!
context: She forgot herlunch.\Lunch?\Can you take it to her?\Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it! response:	Hey, move outta there!
context: Lunch?\Can you take it to her?\Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it!\Hey, move outta there! response:	W-Wanna die?!
context: Can you take it to her?\Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it!\Hey, move outta there!\W-Wanna die?! response:	Kagome's world is pretty dangerous, too.
context: Hmm?\Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it!\Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too. response:	What now?
context: Here.\If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it!\Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now? response:	What're you doing?! C'mon!
context: If I follow Kagome's scent, I'll catch up to herright away.\Someone! Catch him!\Hold it!\Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon! response:	Huh?
context: Someone! Catch him!\Hold it!\Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon!\Huh? response:	What's the matter?
context: Hold it!\Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon!\Huh?\What's the matter? response:	Ears!
context: Hey, move outta there!\W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon!\Huh?\What's the matter?\Ears! response:	Cut it out!
context: W-Wanna die?!\Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon!\Huh?\What's the matter?\Ears!\Cut it out! response:	See ya!
context: Kagome's world is pretty dangerous, too.\What now?\What're you doing?! C'mon!\Huh?\What's the matter?\Ears!\Cut it out!\See ya! response:	Hey! Thank you!
context: What now?\What're you doing?! C'mon!\Huh?\What's the matter?\Ears!\Cut it out!\See ya!\Hey! Thank you! response:	Man! What a dangerous world!
context: What're you doing?! C'mon!\Huh?\What's the matter?\Ears!\Cut it out!\See ya!\Hey! Thank you!\Man! What a dangerous world! response:	What's the matter, Kagome?
context: Huh?\What's the matter?\Ears!\Cut it out!\See ya!\Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome? response:	Err... nothing.
context: What's the matter?\Ears!\Cut it out!\See ya!\Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing. response:	Oh no! What's Inuyasha doing here?!
context: Ears!\Cut it out!\See ya!\Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?! response:	Sit!
context: Cut it out!\See ya!\Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit! response:	Sit, huh?
context: See ya!\Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh? response:	Well then, Higurashi, you can stand.
context: Hey! Thank you!\Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh?\Well then, Higurashi, you can stand. response:	Why'd she do this?!
context: Man! What a dangerous world!\What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?! response:	What's wrong with you?!
context: What's the matter, Kagome?\Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?! response:	Didn't I make it clear that you were to stay home?!
context: Err... nothing.\Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?! response:	Shaddup!
context: Oh no! What's Inuyasha doing here?!\Sit!\Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup! response:	I couldn't help it! Yourma asked me.
context: Sit!\Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me. response:	Asked you?
context: Sit, huh?\Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me.\Asked you? response:	Here.
context: Well then, Higurashi, you can stand.\Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me.\Asked you?\Here. response:	My lunch.
context: Why'd she do this?!\What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me.\Asked you?\Here.\My lunch. response:	He came to bring this to me.
context: What's wrong with you?!\Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me.\Asked you?\Here.\My lunch.\He came to bring this to me. response:	Wait, Inuyasha.
context: Didn't I make it clear that you were to stay home?!\Shaddup!\I couldn't help it! Yourma asked me.\Asked you?\Here.\My lunch.\He came to bring this to me.\Wait, Inuyasha. response:	Err... Huh?
context: Shaddup!\I couldn't help it! Yourma asked me.\Asked you?\Here.\My lunch.\He came to bring this to me.\Wait, Inuyasha.\Err... Huh? response:	Let's share.
context: I couldn't help it! Yourma asked me.\Asked you?\Here.\My lunch.\He came to bring this to me.\Wait, Inuyasha.\Err... Huh?\Let's share. response:	It's all squished to one side...
context: Asked you?\Here.\My lunch.\He came to bring this to me.\Wait, Inuyasha.\Err... Huh?\Let's share.\It's all squished to one side... response:	I won't be able to concentrate at home.
context: Here.\My lunch.\He came to bring this to me.\Wait, Inuyasha.\Err... Huh?\Let's share.\It's all squished to one side...\I won't be able to concentrate at home. response:	I'll stay in the library until evening.
context: My lunch.\He came to bring this to me.\Wait, Inuyasha.\Err... Huh?\Let's share.\It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening. response:	I have to study!
context: He came to bring this to me.\Wait, Inuyasha.\Err... Huh?\Let's share.\It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study! response:	Higurashi!
context: Wait, Inuyasha.\Err... Huh?\Let's share.\It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study!\Higurashi! response:	Hojo!
context: Err... Huh?\Let's share.\It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study!\Higurashi!\Hojo! response:	Is yourneuralgia cured?
context: Let's share.\It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study!\Higurashi!\Hojo!\Is yourneuralgia cured? response:	H-Hojo...
context: It's all squished to one side...\I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study!\Higurashi!\Hojo!\Is yourneuralgia cured?\H-Hojo... response:	You're still young, so you must take care of yourbody.
context: I won't be able to concentrate at home.\I'll stay in the library until evening.\I have to study!\Higurashi!\Hojo!\Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody. response:	I made up this healthy menu foryou.
context: I'll stay in the library until evening.\I have to study!\Higurashi!\Hojo!\Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou. response:	Try it, will you?
context: I have to study!\Higurashi!\Hojo!\Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you? response:	T-Thank you!
context: Higurashi!\Hojo!\Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you?\T-Thank you! response:	See ya!
context: Hojo!\Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you?\T-Thank you!\See ya! response:	Hojo is so meticulous.
context: Is yourneuralgia cured?\H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you?\T-Thank you!\See ya!\Hojo is so meticulous. response:	Oh! That's it!
context: H-Hojo...\You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you?\T-Thank you!\See ya!\Hojo is so meticulous.\Oh! That's it! response:	Why didn't I think of it earlier?!
context: You're still young, so you must take care of yourbody.\I made up this healthy menu foryou.\Try it, will you?\T-Thank you!\See ya!\Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?! response:	I can ask Hojo forthe notes!
context: I made up this healthy menu foryou.\Try it, will you?\T-Thank you!\See ya!\Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes! response:	Hojo, wait up!
context: Try it, will you?\T-Thank you!\See ya!\Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up! response:	Hojo!
context: T-Thank you!\See ya!\Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up!\Hojo! response:	Hojo!
context: See ya!\Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up!\Hojo!\Hojo! response:	Oh, I just remembered.
context: Hojo is so meticulous.\Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up!\Hojo!\Hojo!\Oh, I just remembered. response:	This is herbal medicine,
context: Oh! That's it!\Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up!\Hojo!\Hojo!\Oh, I just remembered.\This is herbal medicine, response:	but it's supposed to work on all kinds of ailments.
context: Why didn't I think of it earlier?!\I can ask Hojo forthe notes!\Hojo, wait up!\Hojo!\Hojo!\Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments. response:	Huh?
context: I can ask Hojo forthe notes!\Hojo, wait up!\Hojo!\Hojo!\Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh? response:	Oh, thank you.
context: Hojo, wait up!\Hojo!\Hojo!\Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you. response:	Listen, Higurashi.
context: Hojo!\Hojo!\Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you.\Listen, Higurashi. response:	Health is a matter of the mind.
context: Hojo!\Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind. response:	Live a wholesome life, eat three meals daily.
context: Oh, I just remembered.\This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily. response:	A-All right.
context: This is herbal medicine,\but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right. response:	Bye!
context: but it's supposed to work on all kinds of ailments.\Huh?\Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right.\Bye! response:	Oh...
context: Huh?\Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right.\Bye!\Oh... response:	Higurashi, eat properly!
context: Oh, thank you.\Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right.\Bye!\Oh...\Higurashi, eat properly! response:	Hey, wait!
context: Listen, Higurashi.\Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right.\Bye!\Oh...\Higurashi, eat properly!\Hey, wait! response:	Hojo!
context: Health is a matter of the mind.\Live a wholesome life, eat three meals daily.\A-All right.\Bye!\Oh...\Higurashi, eat properly!\Hey, wait!\Hojo! response:	Hojo...
context: Live a wholesome life, eat three meals daily.\A-All right.\Bye!\Oh...\Higurashi, eat properly!\Hey, wait!\Hojo!\Hojo... response:	I'm home.
context: A-All right.\Bye!\Oh...\Higurashi, eat properly!\Hey, wait!\Hojo!\Hojo...\I'm home. response:	I couldn't borrow any notes.
context: Bye!\Oh...\Higurashi, eat properly!\Hey, wait!\Hojo!\Hojo...\I'm home.\I couldn't borrow any notes. response:	Sis, take a look!
context: Oh...\Higurashi, eat properly!\Hey, wait!\Hojo!\Hojo...\I'm home.\I couldn't borrow any notes.\Sis, take a look! response:	Huh?
context: Higurashi, eat properly!\Hey, wait!\Hojo!\Hojo...\I'm home.\I couldn't borrow any notes.\Sis, take a look!\Huh? response:	What's the matter?
context: Hey, wait!\Hojo!\Hojo...\I'm home.\I couldn't borrow any notes.\Sis, take a look!\Huh?\What's the matter? response:	A strange-looking youth in a red outfit
context: Hojo!\Hojo...\I'm home.\I couldn't borrow any notes.\Sis, take a look!\Huh?\What's the matter?\A strange-looking youth in a red outfit response:	captured a bank robber.
