context: Ten years ago, somewhere in Tokyo. response:	Now, let's begin.
context: Maybe it was a bad idea to bring Hana.\Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward. response:	All we were told was that
context: Hey, Akari...\She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward.\All we were told was that response:	to protect their rights, measures were taken to keep their personal information confidential.
context: She's been swimming this whole time.\I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential. response:	So I looked into it myself,
context: I wonder what really happened to them.\Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself, response:	and they found out, and fired me.
context: Were there any photos?\No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me. response:	Why did you decide to do that?
context: No, I heard all our materials on them were destroyed.\I was on the task force,\and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that? response:	Something wasn't right.
context: I was on the task force,\and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that?\Something wasn't right. response:	Wasn't right?
context: and even I don't know where they went afterward.\All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that?\Something wasn't right.\Wasn't right? response:	Were those children really being kept safe?
context: All we were told was that\to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that?\Something wasn't right.\Wasn't right?\Were those children really being kept safe? response:	I didn't have any proof,
context: to protect their rights, measures were taken to keep their personal information confidential.\So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that?\Something wasn't right.\Wasn't right?\Were those children really being kept safe?\I didn't have any proof, response:	but it didn't seem that way to me.
context: So I looked into it myself,\and they found out, and fired me.\Why did you decide to do that?\Something wasn't right.\Wasn't right?\Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me. response:	What's happening?
context: and they found out, and fired me.\Why did you decide to do that?\Something wasn't right.\Wasn't right?\Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me.\What's happening? response:	What's going on?
context: Why did you decide to do that?\Something wasn't right.\Wasn't right?\Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me.\What's happening?\What's going on? response:	What happened to them after that?
context: Something wasn't right.\Wasn't right?\Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me.\What's happening?\What's going on?\What happened to them after that? response:	Unfortunately, I don't know.
context: Wasn't right?\Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me.\What's happening?\What's going on?\What happened to them after that?\Unfortunately, I don't know. response:	You'll have to ask the guys who fired me.
context: Were those children really being kept safe?\I didn't have any proof,\but it didn't seem that way to me.\What's happening?\What's going on?\What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me. response:	Thank you.
context: I didn't have any proof,\but it didn't seem that way to me.\What's happening?\What's going on?\What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you. response:	And thanks for the drink.
context: but it didn't seem that way to me.\What's happening?\What's going on?\What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink. response:	Do you know where they went?
context: What's happening?\What's going on?\What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink.\Do you know where they went? response:	As you said, the government had no records on them,
context: What's going on?\What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them, response:	but they had names inside the company.
context: What happened to them after that?\Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company. response:	And they had numbers, too.
context: Unfortunately, I don't know.\You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too. response:	Each of them had a serial number between three and eight.
context: You'll have to ask the guys who fired me.\Thank you.\And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight. response:	Which means there was also a one and two.
context: Thank you.\And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two. response:	Or maybe there were even more.
context: And thanks for the drink.\Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more. response:	Are they still involved in some kind of illegal weapons development?
context: Do you know where they went?\As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development? response:	Sometimes, I think they are.
context: As you said, the government had no records on them,\but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are. response:	Takashi Kanda committed suicide,
context: but they had names inside the company.\And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide, response:	and I inherited this company and you.
context: And they had numbers, too.\Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you. response:	This is Kube, right?
context: Each of them had a serial number between three and eight.\Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right? response:	Kanda-san, yes?
context: Which means there was also a one and two.\Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right?\Kanda-san, yes? response:	I've been set up.
context: Or maybe there were even more.\Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right?\Kanda-san, yes?\I've been set up. response:	But not by you.
context: Are they still involved in some kind of illegal weapons development?\Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you. response:	Be careful.
context: Sometimes, I think they are.\Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful. response:	I think that our meeting was
context: Takashi Kanda committed suicide,\and I inherited this company and you.\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\I think that our meeting was response:	a very fortunate event for both parties.
context: and I inherited this company and you.\This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\I think that our meeting was\a very fortunate event for both parties. response:	You think, eh?
context: This is Kube, right?\Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\I think that our meeting was\a very fortunate event for both parties.\You think, eh? response:	Puck, could you kill someone?
context: Kanda-san, yes?\I've been set up.\But not by you.\Be careful.\I think that our meeting was\a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone? response:	Or do you ever think you want to kill someone?
context: I've been set up.\But not by you.\Be careful.\I think that our meeting was\a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone? response:	There is a high probability
context: But not by you.\Be careful.\I think that our meeting was\a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability response:	that the weapons I devise will be used to take lives on the battlefield.
context: Be careful.\I think that our meeting was\a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield. response:	In that sense, it is true that I am a party to murder.
context: I think that our meeting was\a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder. response:	But I have never thought about killing a specific individual,
context: a very fortunate event for both parties.\You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual, response:	nor would I do such a thing.
context: You think, eh?\Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing. response:	Takashi Kanda has committed suicide.
context: Puck, could you kill someone?\Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide. response:	My sole reason for existing is to do my job.
context: Or do you ever think you want to kill someone?\There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job. response:	Puck does not lie.
context: There is a high probability\that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie. response:	I'm out.
context: that the weapons I devise will be used to take lives on the battlefield.\In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie.\I'm out. response:	And we're running out of capsules, too.
context: In that sense, it is true that I am a party to murder.\But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie.\I'm out.\And we're running out of capsules, too. response:	This is bad.
context: But I have never thought about killing a specific individual,\nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie.\I'm out.\And we're running out of capsules, too.\This is bad. response:	If Siren-sama awakens, we'll be fine.
context: nor would I do such a thing.\Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie.\I'm out.\And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine. response:	We can make new capsules.
context: Takashi Kanda has committed suicide.\My sole reason for existing is to do my job.\Puck does not lie.\I'm out.\And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules. response:	Is the seat next to you free?
context: My sole reason for existing is to do my job.\Puck does not lie.\I'm out.\And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free? response:	Sure.
context: Puck does not lie.\I'm out.\And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free?\Sure. response:	Thanks.
context: I'm out.\And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free?\Sure.\Thanks. response:	Want some?
context: And we're running out of capsules, too.\This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free?\Sure.\Thanks.\Want some? response:	Oh, my.
context: This is bad.\If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free?\Sure.\Thanks.\Want some?\Oh, my. response:	What a kind offer to a girl you've just met. Thank you.
context: If Siren-sama awakens, we'll be fine.\We can make new capsules.\Is the seat next to you free?\Sure.\Thanks.\Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you. response:	You were swimming a lot, weren't you?
context: We can make new capsules.\Is the seat next to you free?\Sure.\Thanks.\Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you? response:	My quota is 1,200 meters a day.
context: Is the seat next to you free?\Sure.\Thanks.\Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day. response:	Are you on the swim team or something?
context: Sure.\Thanks.\Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something? response:	No, I'm not.
context: Thanks.\Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not. response:	But I've been told to exercise, so I can stay healthy.
context: Want some?\Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy. response:	Well, that's a good thing, yeah...
context: Oh, my.\What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah... response:	Yes.
context: What a kind offer to a girl you've just met. Thank you.\You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes. response:	I'm glad they gave me such kind advice.
context: You were swimming a lot, weren't you?\My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice. response:	I could never do that.
context: My quota is 1,200 meters a day.\Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice.\I could never do that. response:	Two squirrels?
context: Are you on the swim team or something?\No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice.\I could never do that.\Two squirrels? response:	Did you make a friend, Pitz?
context: No, I'm not.\But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice.\I could never do that.\Two squirrels?\Did you make a friend, Pitz? response:	Lappa is my friend.
context: But I've been told to exercise, so I can stay healthy.\Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice.\I could never do that.\Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend. response:	Hey...
context: Well, that's a good thing, yeah...\Yes.\I'm glad they gave me such kind advice.\I could never do that.\Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend.\Hey... response:	Does that squirrel talk?
context: Yes.\I'm glad they gave me such kind advice.\I could never do that.\Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend.\Hey...\Does that squirrel talk? response:	Squirrels don't talk.
context: I'm glad they gave me such kind advice.\I could never do that.\Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend.\Hey...\Does that squirrel talk?\Squirrels don't talk. response:	You're right.
context: I could never do that.\Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend.\Hey...\Does that squirrel talk?\Squirrels don't talk.\You're right. response:	How can I be the heroine, when I'm the only one without a squirrel?
context: Two squirrels?\Did you make a friend, Pitz?\Lappa is my friend.\Hey...\Does that squirrel talk?\Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel? response:	This whole thing is squirrely!
context: Did you make a friend, Pitz?\Lappa is my friend.\Hey...\Does that squirrel talk?\Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely! response:	The project's finally nearing its final stages.
context: Lappa is my friend.\Hey...\Does that squirrel talk?\Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages. response:	This install device
context: Hey...\Does that squirrel talk?\Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages.\This install device response:	seems to be a system to give the subject a specific dream.
context: Does that squirrel talk?\Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream. response:	Why does it come in pairs?
context: Squirrels don't talk.\You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs? response:	Sorry, Ban-kun.
context: You're right.\How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun. response:	I'll take care of the rest myself. You can go home for today.
context: How can I be the heroine, when I'm the only one without a squirrel?\This whole thing is squirrely!\The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today. response:	My contract with my sponsor means
context: This whole thing is squirrely!\The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means response:	that I can't show anyone the tests, even you.
context: The project's finally nearing its final stages.\This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you. response:	Sorry, did that upset you?
context: This install device\seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you? response:	No, I'm your assistant, so of course I'll do whatever you say.
context: seems to be a system to give the subject a specific dream.\Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say. response:	But...
context: Why does it come in pairs?\Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But... response:	Can you do it all on your own?
context: Sorry, Ban-kun.\I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own? response:	You're right.
context: I'll take care of the rest myself. You can go home for today.\My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own?\You're right. response:	Wouldn't it be convenient if there were another one of me?
context: My contract with my sponsor means\that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me? response:	I'm back.
context: that I can't show anyone the tests, even you.\Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me?\I'm back. response:	I'm so glad.
context: Sorry, did that upset you?\No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad. response:	It's still blooming beautifully.
context: No, I'm your assistant, so of course I'll do whatever you say.\But...\Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad.\It's still blooming beautifully. response:	Isn't that nice?
context: But...\Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad.\It's still blooming beautifully.\Isn't that nice? response:	But it seems to me you like sitting by the window more than you like the plant.
context: Can you do it all on your own?\You're right.\Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad.\It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant. response:	Is that true?
context: You're right.\Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad.\It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true? response:	You're amazing, Mao-san!
context: Wouldn't it be convenient if there were another one of me?\I'm back.\I'm so glad.\It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san! response:	You know everything!
context: I'm back.\I'm so glad.\It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san!\You know everything! response:	A long time ago, I wasn't allowed to go outside when I wanted.
context: I'm so glad.\It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted. response:	I can do that now, so I'm really happy!
context: It's still blooming beautifully.\Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy! response:	Now that I can visit it whenever I want, the world I see outside the window
context: Isn't that nice?\But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window response:	looks totally different than it used to. It makes me happy to see it!
context: But it seems to me you like sitting by the window more than you like the plant.\Is that true?\You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it! response:	Okay, Setsuna.
context: Is that true?\You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna. response:	Time for your medical checkup.
context: You're amazing, Mao-san!\You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup. response:	I'm not sick, so why do you give me so many examinations?
context: You know everything!\A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations? response:	Because you're that important to me.
context: A long time ago, I wasn't allowed to go outside when I wanted.\I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me. response:	So sit in that machine today.
context: I can do that now, so I'm really happy!\Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today. response:	A medical equipment manufacturer?
context: Now that I can visit it whenever I want, the world I see outside the window\looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer? response:	Akari did some research,
context: looks totally different than it used to. It makes me happy to see it!\Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer?\Akari did some research, response:	and found that this research group was connected with Macbeth Enterprises.
context: Okay, Setsuna.\Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises. response:	Then there's probably something here.
context: Time for your medical checkup.\I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here. response:	Well, well...
context: I'm not sick, so why do you give me so many examinations?\Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well... response:	Good to see both of you.
context: Because you're that important to me.\So sit in that machine today.\A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well...\Good to see both of you. response:	You, too.
context: So sit in that machine today.\A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well...\Good to see both of you.\You, too. response:	Amarok and Malkin...
context: A medical equipment manufacturer?\Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well...\Good to see both of you.\You, too.\Amarok and Malkin... response:	We can assume they're the enemy leaders, right?
context: Akari did some research,\and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well...\Good to see both of you.\You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right? response:	I think so.
context: and found that this research group was connected with Macbeth Enterprises.\Then there's probably something here.\Well, well...\Good to see both of you.\You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so. response:	But since they have avatar bodies,
context: Then there's probably something here.\Well, well...\Good to see both of you.\You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies, response:	they must have thought of themselves as being from Earth
context: Well, well...\Good to see both of you.\You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth response:	until they awakened as Planetary Gears.
context: Good to see both of you.\You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears. response:	When did they awaken?
context: You, too.\Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken? response:	If you kiss, you can read someone's mind for a second, can't you?
context: Amarok and Malkin...\We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you? response:	I think we have special powers because we're designer children.
context: We can assume they're the enemy leaders, right?\I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children. response:	Is that why they lock us up?
context: I think so.\But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up? response:	And why we can only see the outside from the window?
context: But since they have avatar bodies,\they must have thought of themselves as being from Earth\until they awakened as Planetary Gears.\When did they awaken?\If you kiss, you can read someone's mind for a second, can't you?\I think we have special powers because we're designer children.\Is that why they lock us up?\And why we can only see the outside from the window? response:	Amara... Moco.
