context: You are to light the lanterns hidden in the forest around us. response:	They're within 500 meter radius around the camp.
context: He's a big fish, so big you Esquires won't be able to land even a scratch on him.\I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish...\Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth. response:	Okay, this will protect you somewhat until you dry.
context: I'll soak you in triple-C holy water for extra protection. Come here.\Why is -\such a big fish...\Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry. response:	You're not doing it to Okumura?
context: Why is -\such a big fish...\Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura? response:	Umm... He's, lessee... allergic to holy water.
context: such a big fish...\Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water. response:	Allergic to holy water? Is that even possible?!
context: Is this some kind of -\a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?! response:	By the way, where's Yukio?
context: a joke?\Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio? response:	He was in the way so I sent him away.
context: Whoopsie, that was close. It wouldn't be a pretty sight if I soaked you.\In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away. response:	What's going on here?
context: In the beginning God created the heaven and the earth.\Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here? response:	The demon bugs of this forest are supposed to be bound to Tamers.
context: Okay, this will protect you somewhat until you dry.\You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers. response:	What's happening?
context: You're not doing it to Okumura?\Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening? response:	Why is there an emergency number if no one picks up?
context: Umm... He's, lessee... allergic to holy water.\Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up? response:	I can't contact the other teachers either.
context: Allergic to holy water? Is that even possible?!\By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either. response:	Why's a big one like Amaimon attacking us?
context: By the way, where's Yukio?\He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us? response:	I wonder...
context: He was in the way so I sent him away.\What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder... response:	Hey!
context: What's going on here?\The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder...\Hey! response:	I dunno know why, but he's probably after me.
context: The demon bugs of this forest are supposed to be bound to Tamers.\What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder...\Hey!\I dunno know why, but he's probably after me. response:	I know.
context: What's happening?\Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder...\Hey!\I dunno know why, but he's probably after me.\I know. response:	Don't worry, this barrier should hold against even Amaimon.
context: Why is there an emergency number if no one picks up?\I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder...\Hey!\I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon. response:	But it looks like he's got some kinda plan this time.
context: I can't contact the other teachers either.\Why's a big one like Amaimon attacking us?\I wonder...\Hey!\I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time. response:	The next time he attacks you'll leave here with the Demon-Slaying Blade.
context: Why's a big one like Amaimon attacking us?\I wonder...\Hey!\I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade. response:	With the Demon-Slaying Blade?
context: I wonder...\Hey!\I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade? response:	I bow down to beg your permission.
context: Hey!\I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission. response:	Take it.
context: I dunno know why, but he's probably after me.\I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it. response:	Huh, what? What's wrong?
context: I know.\Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it.\Huh, what? What's wrong? response:	Weren't you going on about how you wanted it back?
context: Don't worry, this barrier should hold against even Amaimon.\But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back? response:	And weren't you supposed to suppress my power?
context: But it looks like he's got some kinda plan this time.\The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power? response:	You told me not to use my flames!
context: The next time he attacks you'll leave here with the Demon-Slaying Blade.\With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames! response:	Shut up already. I warned you,
context: With the Demon-Slaying Blade?\I bow down to beg your permission.\Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you, response:	but you went and used them anyway, didn't you?
context: I bow down to beg your permission.\Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you? response:	I saw it, nyahahaha
context: Take it.\Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha response:	The point is, how are you gonna fight without your flames?
context: Huh, what? What's wrong?\Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames? response:	That's...
context: Weren't you going on about how you wanted it back?\And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's... response:	Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.
context: And weren't you supposed to suppress my power?\You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far. response:	Think about it.
context: You told me not to use my flames!\Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it. response:	Moriyama, where are you going?
context: Shut up already. I warned you,\but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going? response:	Shiemi?
context: but you went and used them anyway, didn't you?\I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going?\Shiemi? response:	Hey, hey, hey! Someone stop her!
context: I saw it, nyahahaha\The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her! response:	Is that a parasite?
context: The point is, how are you gonna fight without your flames?\That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite? response:	Shiemi!
context: That's...\Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi! response:	What did you do to her?
context: Amaimon is the King of Earth, he ain't a little imp like the ones you've fought so far.\Think about it.\Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi!\What did you do to her? response:	I just made a demon bug lay her egg in her.
context: Think about it.\Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her. response:	It took a while for it to hatch and connect to the nerves though.
context: Moriyama, where are you going?\Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though. response:	But now she'll do whatever I command.
context: Shiemi?\Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command. response:	Wait, you broccoli!
context: Hey, hey, hey! Someone stop her!\Is that a parasite?\Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli! response:	You wait!
context: Is that a parasite?\Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli!\You wait! response:	Go! I'll follow you!
context: Shiemi!\What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli!\You wait!\Go! I'll follow you! response:	Okumura!
context: What did you do to her?\I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli!\You wait!\Go! I'll follow you!\Okumura! response:	You're staying in there no matter what happens! Got it?
context: I just made a demon bug lay her egg in her.\It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli!\You wait!\Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it? response:	That's...
context: It took a while for it to hatch and connect to the nerves though.\But now she'll do whatever I command.\Wait, you broccoli!\You wait!\Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it?\That's... response:	He's doing it again...
context: But now she'll do whatever I command.\Wait, you broccoli!\You wait!\Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it?\That's...\He's doing it again... response:	Wait!
context: Wait, you broccoli!\You wait!\Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it?\That's...\He's doing it again...\Wait! response:	What the hell do you want from me?
context: You wait!\Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it?\That's...\He's doing it again...\Wait!\What the hell do you want from me? response:	What do you need Shiemi for?
context: Go! I'll follow you!\Okumura!\You're staying in there no matter what happens! Got it?\That's...\He's doing it again...\Wait!\What the hell do you want from me?\What do you need Shiemi for? response:	Let's see...
context: Okumura!\You're staying in there no matter what happens! Got it?\That's...\He's doing it again...\Wait!\What the hell do you want from me?\What do you need Shiemi for?\Let's see... response:	Yeah! I'll make her my wife!
context: You're staying in there no matter what happens! Got it?\That's...\He's doing it again...\Wait!\What the hell do you want from me?\What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife! response:	Huh?
context: That's...\He's doing it again...\Wait!\What the hell do you want from me?\What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife!\Huh? response:	Do you promise to be faithful to me in good times and in bad,
context: He's doing it again...\Wait!\What the hell do you want from me?\What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad, response:	in sickness and in health?
context: Wait!\What the hell do you want from me?\What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health? response:	Will you love me and honor me
context: What the hell do you want from me?\What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me response:	all the days of your life?
context: What do you need Shiemi for?\Let's see...\Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me\all the days of your life? response:	Then seal this covenant with a kiss.
context: Let's see...\Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss. response:	Don't screw with me!
context: Yeah! I'll make her my wife!\Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me! response:	That's my line.
context: Huh?\Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me!\That's my line. response:	Hold back a little, dammit.
context: Do you promise to be faithful to me in good times and in bad,\in sickness and in health?\Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me!\That's my line.\Hold back a little, dammit. response:	Why won't you draw your sword?
context: in sickness and in health?\Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me!\That's my line.\Hold back a little, dammit.\Why won't you draw your sword? response:	Don't be so pretentious.
context: Will you love me and honor me\all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me!\That's my line.\Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious. response:	That shithead!
context: all the days of your life?\Then seal this covenant with a kiss.\Don't screw with me!\That's my line.\Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious.\That shithead! response:	Bon, don't!
context: Then seal this covenant with a kiss.\Don't screw with me!\That's my line.\Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious.\That shithead!\Bon, don't! response:	Wait, she told us to stay here!
context: Don't screw with me!\That's my line.\Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious.\That shithead!\Bon, don't!\Wait, she told us to stay here! response:	Bon, calm down...
context: That's my line.\Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious.\That shithead!\Bon, don't!\Wait, she told us to stay here!\Bon, calm down... response:	Man, it's been a while since the last time I was pissed off this badly.
context: Hold back a little, dammit.\Why won't you draw your sword?\Don't be so pretentious.\That shithead!\Bon, don't!\Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly. response:	Wipe your ass with that calm down!
context: Why won't you draw your sword?\Don't be so pretentious.\That shithead!\Bon, don't!\Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down! response:	Not this again...
context: Don't be so pretentious.\That shithead!\Bon, don't!\Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again... response:	Shima!
context: That shithead!\Bon, don't!\Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again...\Shima! response:	You're kidding me! Stop! You'll get yourselves killed!
context: Bon, don't!\Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed! response:	I can't believe this...
context: Wait, she told us to stay here!\Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this... response:	Why am I surrounded by nothing but idiots? I can't go along!
context: Bon, calm down...\Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along! response:	Hellooo?
context: Man, it's been a while since the last time I was pissed off this badly.\Wipe your ass with that calm down!\Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo? response:	Wasn't this girl important to you?
context: Wipe your ass with that calm down!\Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you? response:	Why aren't you taking this seriously?
context: Not this again...\Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously? response:	Drop dead!
context: Shima!\You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead! response:	Then I don't need her anymore.
context: You're kidding me! Stop! You'll get yourselves killed!\I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore. response:	I could take one of her eyes as a souvenir.
context: I can't believe this...\Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir. response:	One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.
context: Why am I surrounded by nothing but idiots? I can't go along!\Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some. response:	Why are you leaving us out of the fun? We're joing in!
context: Hellooo?\Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in! response:	Stop! Don't!
context: Wasn't this girl important to you?\Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't! response:	Okumura! Get out of there if you have a chance!
context: Why aren't you taking this seriously?\Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance! response:	I'm here to save Moriyama.
context: Drop dead!\Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama. response:	Listen, go back!
context: Then I don't need her anymore.\I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back! response:	Damn!
context: I could take one of her eyes as a souvenir.\One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back!\Damn! response:	Koneko, what are you trying to do to Moriyama?
context: One of our cousins has this hobby of collecting human eyeballs, he asked me to bring him some.\Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama? response:	Broccoli...
context: Why are you leaving us out of the fun? We're joing in!\Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli... response:	Shima!
context: Stop! Don't!\Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima! response:	Shima!
context: Okumura! Get out of there if you have a chance!\I'm here to save Moriyama.\Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima!\Shima! response:	Neko?
context: I'm here to save Moriyama.\Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima!\Shima!\Neko? response:	Konekomaru!
context: Listen, go back!\Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima!\Shima!\Neko?\Konekomaru! response:	Were you laughing at me?
context: Damn!\Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima!\Shima!\Neko?\Konekomaru!\Were you laughing at me? response:	I've got no business with you.
context: Koneko, what are you trying to do to Moriyama?\Broccoli...\Shima!\Shima!\Neko?\Konekomaru!\Were you laughing at me?\I've got no business with you. response:	Okumura's the one who's pissing me off!
context: Broccoli...\Shima!\Shima!\Neko?\Konekomaru!\Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off! response:	You act all random, then you save a person...
context: Shima!\Shima!\Neko?\Konekomaru!\Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person... response:	You have no talent, then you save the day...
context: Shima!\Neko?\Konekomaru!\Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day... response:	I can't figure you out!
context: Neko?\Konekomaru!\Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out! response:	What the hell are you?
context: Konekomaru!\Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out!\What the hell are you? response:	What are you talking about?
context: Were you laughing at me?\I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out!\What the hell are you?\What are you talking about? response:	I don't like to be ignored.
context: I've got no business with you.\Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out!\What the hell are you?\What are you talking about?\I don't like to be ignored. response:	Stop!
context: Okumura's the one who's pissing me off!\You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out!\What the hell are you?\What are you talking about?\I don't like to be ignored.\Stop! response:	Guys...
context: You act all random, then you save a person...\You have no talent, then you save the day...\I can't figure you out!\What the hell are you?\What are you talking about?\I don't like to be ignored.\Stop!\Guys... response:	You can't defeat Satan alone.
context: You have no talent, then you save the day...\I can't figure you out!\What the hell are you?\What are you talking about?\I don't like to be ignored.\Stop!\Guys...\You can't defeat Satan alone. response:	I'll help you, even though I can't do much.
context: I can't figure you out!\What the hell are you?\What are you talking about?\I don't like to be ignored.\Stop!\Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much. response:	Rin, we're here for you.
context: What the hell are you?\What are you talking about?\I don't like to be ignored.\Stop!\Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you. response:	Don't forget that you're not alone!
context: What are you talking about?\I don't like to be ignored.\Stop!\Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone! response:	Guys... you were all so kind to me...
context: I don't like to be ignored.\Stop!\Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me... response:	Rin!
context: Stop!\Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin! response:	It's a trap! Don't listen to him!
context: Guys...\You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him! response:	Yukio, I'm sorry...
context: You can't defeat Satan alone.\I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry... response:	I'm not good at lying and tricking people.
context: I'll help you, even though I can't do much.\Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people. response:	So I'll...
context: Rin, we're here for you.\Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll... response:	I'll use my power for a gentler purpose!
context: Don't forget that you're not alone!\Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose! response:	Come! I'll play with you!
context: Guys... you were all so kind to me...\Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you! response:	Whee!
context: Rin!\It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee! response:	What's that?
context: It's a trap! Don't listen to him!\Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee!\What's that? response:	What's happening to Okumura?
context: Yukio, I'm sorry...\I'm not good at lying and tricking people.\So I'll...\I'll use my power for a gentler purpose!\Come! I'll play with you!\Whee!\What's that?\What's happening to Okumura? response:	That's a demon sword... the Kurikara.
