context: Freeze! response:	Put your hands up and slowly turn this way!
context: Stop bugging me! I told you I didn't need one yet!\It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right...\Um...\Hey, old man! response:	The reception's horrible when you stand there!
context: It's not that... The real estate agency in front of the station...\Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right...\Um...\Hey, old man!\The reception's horrible when you stand there! response:	You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.
context: Oh, the electronics shop next to the realty agency!\I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right...\Um...\Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static. response:	No, I'm just...
context: I've been waiting for you! Hurry in!\It's been acting like this for a while.\Right...\Um...\Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just... response:	This ain't a TV from the old days... You think you can fix it by doing that?
context: It's been acting like this for a while.\Right...\Um...\Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that? response:	You're right.
context: Right...\Um...\Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right. response:	They haven't disclosed it.
context: Um...\Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it. response:	It's fixed.
context: Hey, old man!\The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it.\It's fixed. response:	And because it's enclosed under a thick veil...
context: The reception's horrible when you stand there!\You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil... response:	You're kidding!
context: You're the one who told me that if I switched to the digital whatever, there wouldn't be any static.\No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil...\You're kidding! response:	If I recall correctly, you're Li...
context: No, I'm just...\This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li... response:	Li Shun Sheng.
context: This ain't a TV from the old days... You think you can fix it by doing that?\You're right.\They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng. response:	Li-san, right?
context: You're right.\They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right? response:	That's right. I heard from the realty agency.
context: They haven't disclosed it.\It's fixed.\And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency. response:	Are you from China?
context: It's fixed.\And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency.\Are you from China? response:	Yes, I'm an exchange student.
context: And because it's enclosed under a thick veil...\You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student. response:	Well, I know it must be difficult coping with the cultural differences and such, but...
context: You're kidding!\If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but... response:	Get along with your neighbors and don't cause any trouble!
context: If I recall correctly, you're Li...\Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble! response:	Yes.
context: Li Shun Sheng.\Li-san, right?\That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes. response:	Ah, Haraguchi-san!
context: Li-san, right?\That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san! response:	He'll be moving into this room from today...
context: That's right. I heard from the realty agency.\Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today... response:	I'm Li Shun Sheng.
context: Are you from China?\Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng. response:	Li-san, you got that?
context: Yes, I'm an exchange student.\Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that? response:	You don't need to force yourself to be too friendly.
context: Well, I know it must be difficult coping with the cultural differences and such, but...\Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly. response:	O-Okay.
context: Get along with your neighbors and don't cause any trouble!\Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay. response:	I've confirmed the target.
context: Yes.\Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target. response:	Show me what you're made of...
context: Ah, Haraguchi-san!\He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target.\Show me what you're made of... response:	The so-called black Grim Reaper.
context: He'll be moving into this room from today...\I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper. response:	Episode One The Fallen Star of a Contract... (Part One)
context: I'm Li Shun Sheng.\Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One) response:	Say, say, say, say.
context: Li-san, you got that?\You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say. response:	I bet you're still in your teens, Ayame-chan.
context: You don't need to force yourself to be too friendly.\O-Okay.\I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan. response:	Come on, I'm already twenty-two!
context: O-Okay.\I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two! response:	Oh, next week's my birthday, so come over and celebrate!
context: I've confirmed the target.\Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate! response:	That goes for the customer over there as well!
context: Show me what you're made of...\The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well! response:	What do you two do for a living?
context: The so-called black Grim Reaper.\Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living? response:	What do you think?
context: Episode One The Fallen Star of a Contract... (Part One)\Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living?\What do you think? response:	Financial business? Loan sharks?
context: Say, say, say, say.\I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living?\What do you think?\Financial business? Loan sharks? response:	No way.
context: I bet you're still in your teens, Ayame-chan.\Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living?\What do you think?\Financial business? Loan sharks?\No way. response:	Land sharks?
context: Come on, I'm already twenty-two!\Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living?\What do you think?\Financial business? Loan sharks?\No way.\Land sharks? response:	Why do you think that? It's a more respectable business.
context: Oh, next week's my birthday, so come over and celebrate!\That goes for the customer over there as well!\What do you two do for a living?\What do you think?\Financial business? Loan sharks?\No way.\Land sharks?\Why do you think that? It's a more respectable business. response:	No way! I bet you're one of those folks.
context: That goes for the customer over there as well!\What do you two do for a living?\What do you think?\Financial business? Loan sharks?\No way.\Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks. response:	W-We're civil servants, you know, civil servants.
context: What do you two do for a living?\What do you think?\Financial business? Loan sharks?\No way.\Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants. response:	Come on! The only civil servants with such rugged faces are detectives.
context: What do you think?\Financial business? Loan sharks?\No way.\Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives. response:	Excuse me, gentlemen.
context: Financial business? Loan sharks?\No way.\Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen. response:	It's time for the next rotation.
context: No way.\Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation. response:	Bye-bye. Make sure to call for me next time.
context: Land sharks?\Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time. response:	Next week... Promise!
context: Why do you think that? It's a more respectable business.\No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise! response:	Sure, sure.
context: No way! I bet you're one of those folks.\W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure. response:	I thought that girl looked like her.
context: W-We're civil servants, you know, civil servants.\Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure.\I thought that girl looked like her. response:	A completely different impression, though.
context: Come on! The only civil servants with such rugged faces are detectives.\Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure.\I thought that girl looked like her.\A completely different impression, though. response:	Women sure can masquerade themselves well with make-up.
context: Excuse me, gentlemen.\It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure.\I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up. response:	Isn't it risky to be in this kind of place anyway?
context: It's time for the next rotation.\Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure.\I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway? response:	Don't worry. We can write it off as a business expense.
context: Bye-bye. Make sure to call for me next time.\Next week... Promise!\Sure, sure.\I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense. response:	No, not about that! If the boss hears about this...
context: Next week... Promise!\Sure, sure.\I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this... response:	Hey!
context: Sure, sure.\I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey! response:	Sir, it would be most problematic...
context: I thought that girl looked like her.\A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic... response:	if you were to act as a stalker toward our girls.
context: A completely different impression, though.\Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls. response:	Wrong!
context: Women sure can masquerade themselves well with make-up.\Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong! response:	This is the police! Clear the way!
context: Isn't it risky to be in this kind of place anyway?\Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way! response:	Halt!
context: Don't worry. We can write it off as a business expense.\No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way!\Halt! response:	Are you being chased?
context: No, not about that! If the boss hears about this...\Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way!\Halt!\Are you being chased? response:	Huh?
context: Hey!\Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way!\Halt!\Are you being chased?\Huh? response:	This way.
context: Sir, it would be most problematic...\if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way!\Halt!\Are you being chased?\Huh?\This way. response:	No, I have to run away!
context: if you were to act as a stalker toward our girls.\Wrong!\This is the police! Clear the way!\Halt!\Are you being chased?\Huh?\This way.\No, I have to run away! response:	Quiet!
context: Wrong!\This is the police! Clear the way!\Halt!\Are you being chased?\Huh?\This way.\No, I have to run away!\Quiet! response:	But...
context: This is the police! Clear the way!\Halt!\Are you being chased?\Huh?\This way.\No, I have to run away!\Quiet!\But... response:	E-Excuse me!
context: Halt!\Are you being chased?\Huh?\This way.\No, I have to run away!\Quiet!\But...\E-Excuse me! response:	Were you gazing at the stars?
context: Are you being chased?\Huh?\This way.\No, I have to run away!\Quiet!\But...\E-Excuse me!\Were you gazing at the stars? response:	Yes.
context: Huh?\This way.\No, I have to run away!\Quiet!\But...\E-Excuse me!\Were you gazing at the stars?\Yes. response:	In the middle of the city?
context: This way.\No, I have to run away!\Quiet!\But...\E-Excuse me!\Were you gazing at the stars?\Yes.\In the middle of the city? response:	Yes.
context: No, I have to run away!\Quiet!\But...\E-Excuse me!\Were you gazing at the stars?\Yes.\In the middle of the city?\Yes. response:	Even when you know the stars in the sky are all fake?
context: Quiet!\But...\E-Excuse me!\Were you gazing at the stars?\Yes.\In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake? response:	Have we met before?
context: But...\E-Excuse me!\Were you gazing at the stars?\Yes.\In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake?\Have we met before? response:	Haraguchi-san?
context: E-Excuse me!\Were you gazing at the stars?\Yes.\In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san? response:	Huh?
context: Were you gazing at the stars?\Yes.\In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san?\Huh? response:	As I thought, right?
context: Yes.\In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san?\Huh?\As I thought, right? response:	From Room 202?
context: In the middle of the city?\Yes.\Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san?\Huh?\As I thought, right?\From Room 202? response:	I'm Li. I moved in next door just today.
context: Yes.\Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san?\Huh?\As I thought, right?\From Room 202?\I'm Li. I moved in next door just today. response:	I-I have to go.
context: Even when you know the stars in the sky are all fake?\Have we met before?\Haraguchi-san?\Huh?\As I thought, right?\From Room 202?\I'm Li. I moved in next door just today.\I-I have to go. response:	Thanks.
context: Have we met before?\Haraguchi-san?\Huh?\As I thought, right?\From Room 202?\I'm Li. I moved in next door just today.\I-I have to go.\Thanks. response:	Um...
context: Haraguchi-san?\Huh?\As I thought, right?\From Room 202?\I'm Li. I moved in next door just today.\I-I have to go.\Thanks.\Um... response:	Chiaki, it's me, Jean.
context: Huh?\As I thought, right?\From Room 202?\I'm Li. I moved in next door just today.\I-I have to go.\Thanks.\Um...\Chiaki, it's me, Jean. response:	Jean!
context: As I thought, right?\From Room 202?\I'm Li. I moved in next door just today.\I-I have to go.\Thanks.\Um...\Chiaki, it's me, Jean.\Jean! response:	I'm glad you're okay.
context: From Room 202?\I'm Li. I moved in next door just today.\I-I have to go.\Thanks.\Um...\Chiaki, it's me, Jean.\Jean!\I'm glad you're okay. response:	Jean, what's going on? Where's Louis?
context: I'm Li. I moved in next door just today.\I-I have to go.\Thanks.\Um...\Chiaki, it's me, Jean.\Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis? response:	Quiet.
context: I-I have to go.\Thanks.\Um...\Chiaki, it's me, Jean.\Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet. response:	Louis was tied up with some complications.
context: Thanks.\Um...\Chiaki, it's me, Jean.\Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications. response:	Who are they?
context: Um...\Chiaki, it's me, Jean.\Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications.\Who are they? response:	It looks like they're cops.
context: Chiaki, it's me, Jean.\Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications.\Who are they?\It looks like they're cops. response:	They suddenly came into the club.
context: Jean!\I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications.\Who are they?\It looks like they're cops.\They suddenly came into the club. response:	They're already on to us.
context: I'm glad you're okay.\Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications.\Who are they?\It looks like they're cops.\They suddenly came into the club.\They're already on to us. response:	Is there anyone else who came into contact with you?
context: Jean, what's going on? Where's Louis?\Quiet.\Louis was tied up with some complications.\Who are they?\It looks like they're cops.\They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you? response:	No... What happened to Louis?
context: Quiet.\Louis was tied up with some complications.\Who are they?\It looks like they're cops.\They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis? response:	I can't tell you much right now.
context: Louis was tied up with some complications.\Who are they?\It looks like they're cops.\They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now. response:	All I can say is that he's taking refuge somewhere safe.
context: Who are they?\It looks like they're cops.\They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe. response:	You still have it with you, right?
context: It looks like they're cops.\They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right? response:	Where is it now?
context: They suddenly came into the club.\They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now? response:	Louis told me not to tell anyone else.
context: They're already on to us.\Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else. response:	Not even a partner.
context: Is there anyone else who came into contact with you?\No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else.\Not even a partner. response:	Take me to Louis!
context: No... What happened to Louis?\I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis! response:	I know it's dangerous!
context: I can't tell you much right now.\All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis!\I know it's dangerous! response:	You...
context: All I can say is that he's taking refuge somewhere safe.\You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis!\I know it's dangerous!\You... response:	Are you okay?
context: You still have it with you, right?\Where is it now?\Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis!\I know it's dangerous!\You...\Are you okay? response:	No, get away from here now!
context: Where is it now?\Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis!\I know it's dangerous!\You...\Are you okay?\No, get away from here now! response:	But...
context: Louis told me not to tell anyone else.\Not even a partner.\Take me to Louis!\I know it's dangerous!\You...\Are you okay?\No, get away from here now!\But... response:	Run!
context: Not even a partner.\Take me to Louis!\I know it's dangerous!\You...\Are you okay?\No, get away from here now!\But...\Run! response:	Lancernopt synchrotron radiation?
context: Take me to Louis!\I know it's dangerous!\You...\Are you okay?\No, get away from here now!\But...\Run!\Lancernopt synchrotron radiation? response:	Contractor...
context: I know it's dangerous!\You...\Are you okay?\No, get away from here now!\But...\Run!\Lancernopt synchrotron radiation?\Contractor... response:	Are you going to be okay with this kind of team?
context: You...\Are you okay?\No, get away from here now!\But...\Run!\Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team? response:	Any changes to the plan can result in unexpected setbacks.
context: Are you okay?\No, get away from here now!\But...\Run!\Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks. response:	We have to act carefully.
context: No, get away from here now!\But...\Run!\Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully. response:	Just like this.
context: But...\Run!\Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this. response:	Doesn't it look beautiful when they're aligned like this?
context: Run!\Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this? response:	It's pretty difficult, you know.
context: Lancernopt synchrotron radiation?\Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know. response:	Then again, I have no idea why the hell I'm doing this.
context: Contractor...\Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this. response:	This is the price I have to pay for my contract.
context: Are you going to be okay with this kind of team?\Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract. response:	Good.
context: Any changes to the plan can result in unexpected setbacks.\We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good. response:	Louis is dead.
context: We have to act carefully.\Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good.\Louis is dead. response:	You're lying...
context: Just like this.\Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good.\Louis is dead.\You're lying... response:	It isn't a lie. Louis is dead.
context: Doesn't it look beautiful when they're aligned like this?\It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good.\Louis is dead.\You're lying...\It isn't a lie. Louis is dead. response:	He was murdered.
context: It's pretty difficult, you know.\Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good.\Louis is dead.\You're lying...\It isn't a lie. Louis is dead.\He was murdered. response:	It wasn't expected...
context: Then again, I have no idea why the hell I'm doing this.\This is the price I have to pay for my contract.\Good.\Louis is dead.\You're lying...\It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected... response:	for a contractor as formidable as Louis to appear.
context: This is the price I have to pay for my contract.\Good.\Louis is dead.\You're lying...\It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear. response:	Contractor?
context: Good.\Louis is dead.\You're lying...\It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor? response:	Louis was a contractor, too?
context: Louis is dead.\You're lying...\It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too? response:	That's right. You weren't supposed to know.
context: You're lying...\It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know. response:	Who was that man?
context: It isn't a lie. Louis is dead.\He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man? response:	Huh?
context: He was murdered.\It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man?\Huh? response:	The man who hit me on the head.
context: It wasn't expected...\for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man?\Huh?\The man who hit me on the head. response:	He's probably not alive anymore, but he seemed like someone you knew.
context: for a contractor as formidable as Louis to appear.\Contractor?\Louis was a contractor, too?\That's right. You weren't supposed to know.\Who was that man?\Huh?\The man who hit me on the head.\He's probably not alive anymore, but he seemed like someone you knew. response:	I-I don't know.
