context: Are memories precious? response:	Yes! I wish I could gather every single one and keep them in a treasure box.
context: President Aria's favorite mug!\My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes!\Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th... response:	Th?
context: My, my!\Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes!\Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th? response:	This is a really big SOS, Akari!
context: Oh no! The phone's ringing!\Akari, I'll clean this up, so could you get it please?\Yes!\Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari! response:	What's the matter, Alice?
context: Akari, I'll clean this up, so could you get it please?\Yes!\Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari!\What's the matter, Alice? response:	We were worried.
context: Yes!\Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari!\What's the matter, Alice?\We were worried. response:	You sounded so panicked over the phone...
context: Coming!\Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari!\What's the matter, Alice?\We were worried.\You sounded so panicked over the phone... response:	Here.
context: Hello, this is the Aria Company.\Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari!\What's the matter, Alice?\We were worried.\You sounded so panicked over the phone...\Here. response:	Thank you.
context: Th-Th-Th-Th-Th-Th...\Th?\This is a really big SOS, Akari!\What's the matter, Alice?\We were worried.\You sounded so panicked over the phone...\Here.\Thank you. response:	And one for you, too.
context: Th?\This is a really big SOS, Akari!\What's the matter, Alice?\We were worried.\You sounded so panicked over the phone...\Here.\Thank you.\And one for you, too. response:	Athena's unusually quick and responsive today, isn't she?
context: This is a really big SOS, Akari!\What's the matter, Alice?\We were worried.\You sounded so panicked over the phone...\Here.\Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she? response:	Now that you mention it...
context: What's the matter, Alice?\We were worried.\You sounded so panicked over the phone...\Here.\Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it... response:	On top of that, she said we must be her friends.
context: We were worried.\You sounded so panicked over the phone...\Here.\Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends. response:	To tell you the truth...
context: You sounded so panicked over the phone...\Here.\Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth... response:	Athena...
context: Here.\Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth...\Athena... response:	Athena!
context: Thank you.\And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth...\Athena...\Athena! response:	Please snap out of it!
context: And one for you, too.\Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth...\Athena...\Athena!\Please snap out of it! response:	Athena! Athena! Athena! Athena!
context: Athena's unusually quick and responsive today, isn't she?\Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth...\Athena...\Athena!\Please snap out of it!\Athena! Athena! Athena! Athena! response:	Athena-
context: Now that you mention it...\On top of that, she said we must be her friends.\To tell you the truth...\Athena...\Athena!\Please snap out of it!\Athena! Athena! Athena! Athena!\Athena- response:	Thank goodness! You woke up...
context: On top of that, she said we must be her friends.\To tell you the truth...\Athena...\Athena!\Please snap out of it!\Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up... response:	You are?
context: To tell you the truth...\Athena...\Athena!\Please snap out of it!\Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up...\You are? response:	Eh? Umm...
context: Athena...\Athena!\Please snap out of it!\Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up...\You are?\Eh? Umm... response:	Who might you be?
context: Athena!\Please snap out of it!\Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up...\You are?\Eh? Umm...\Who might you be? response:	And that's what happened.
context: Please snap out of it!\Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up...\You are?\Eh? Umm...\Who might you be?\And that's what happened. response:	And that's what happened!
context: Athena! Athena! Athena! Athena!\Athena-\Thank goodness! You woke up...\You are?\Eh? Umm...\Who might you be?\And that's what happened.\And that's what happened! response:	We also have black tea, if you'd like.
context: Athena-\Thank goodness! You woke up...\You are?\Eh? Umm...\Who might you be?\And that's what happened.\And that's what happened!\We also have black tea, if you'd like. response:	No, thank you. I'm fine for now.
context: Thank goodness! You woke up...\You are?\Eh? Umm...\Who might you be?\And that's what happened.\And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now. response:	I see. Please tell me when you'd like some more.
context: You are?\Eh? Umm...\Who might you be?\And that's what happened.\And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more. response:	Looks like her memory loss altered her personality as well.
context: Eh? Umm...\Who might you be?\And that's what happened.\And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well. response:	My, my.
context: Who might you be?\And that's what happened.\And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my. response:	I'm at a complete loss about what to do...
context: And that's what happened.\And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do... response:	I'm so sorry! I know it's really sudden.
context: And that's what happened!\We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden. response:	It's all right. After all, it's for Athena's sake.
context: We also have black tea, if you'd like.\No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake. response:	Has she seen a doctor?
context: No, thank you. I'm fine for now.\I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor? response:	Eh?
context: I see. Please tell me when you'd like some more.\Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh? response:	Ah, right, first stop should be the hospital, shouldn't it?
context: Looks like her memory loss altered her personality as well.\My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it? response:	Yes! I think...
context: My, my.\I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think... response:	President Aria.
context: I'm at a complete loss about what to do...\I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria. response:	If you don't lose some weight, you'll get diabetes someday.
context: I'm so sorry! I know it's really sudden.\It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday. response:	Athena, his name!
context: It's all right. After all, it's for Athena's sake.\Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name! response:	You remember President Aria's name?
context: Has she seen a doctor?\Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name? response:	Yes.
context: Eh?\Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name?\Yes. response:	It just happened to come out naturally.
context: Ah, right, first stop should be the hospital, shouldn't it?\Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name?\Yes.\It just happened to come out naturally. response:	Maybe now she'll remember...
context: Yes! I think...\President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name?\Yes.\It just happened to come out naturally.\Maybe now she'll remember... response:	Ah, y-you're right.
context: President Aria.\If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name?\Yes.\It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right. response:	Athena.
context: If you don't lose some weight, you'll get diabetes someday.\Athena, his name!\You remember President Aria's name?\Yes.\It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right.\Athena. response:	Yes?
context: Athena, his name!\You remember President Aria's name?\Yes.\It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right.\Athena.\Yes? response:	What's my name?
context: You remember President Aria's name?\Yes.\It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right.\Athena.\Yes?\What's my name? response:	Who are you?
context: Yes.\It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right.\Athena.\Yes?\What's my name?\Who are you? response:	What's her name?
context: It just happened to come out naturally.\Maybe now she'll remember...\Ah, y-you're right.\Athena.\Yes?\What's my name?\Who are you?\What's her name? response:	Who is she?
context: Maybe now she'll remember...\Ah, y-you're right.\Athena.\Yes?\What's my name?\Who are you?\What's her name?\Who is she? response:	Who is that?
context: Ah, y-you're right.\Athena.\Yes?\What's my name?\Who are you?\What's her name?\Who is she?\Who is that? response:	I knew it! It's really no use!
context: Athena.\Yes?\What's my name?\Who are you?\What's her name?\Who is she?\Who is that?\I knew it! It's really no use! response:	It's no use, it's no use!
context: Yes?\What's my name?\Who are you?\What's her name?\Who is she?\Who is that?\I knew it! It's really no use!\It's no use, it's no use! response:	A-A-Alice, calm down! It's no use, it's no use!
context: What's my name?\Who are you?\What's her name?\Who is she?\Who is that?\I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use! response:	A-A-Alice, calm down!
context: Who are you?\What's her name?\Who is she?\Who is that?\I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down! response:	Athena.
context: What's her name?\Who is she?\Who is that?\I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena. response:	Eh?
context: Who is she?\Who is that?\I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena.\Eh? response:	What is it, Alicia?
context: Who is that?\I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena.\Eh?\What is it, Alicia? response:	She remembered again!
context: I knew it! It's really no use!\It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena.\Eh?\What is it, Alicia?\She remembered again! response:	She recognizes Alicia!
context: It's no use, it's no use!\A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena.\Eh?\What is it, Alicia?\She remembered again!\She recognizes Alicia! response:	What kind of magic did you use?
context: A-A-Alice, calm down! It's no use, it's no use!\A-A-Alice, calm down!\Athena.\Eh?\What is it, Alicia?\She remembered again!\She recognizes Alicia!\What kind of magic did you use? response:	Wow...
context: A-A-Alice, calm down!\Athena.\Eh?\What is it, Alicia?\She remembered again!\She recognizes Alicia!\What kind of magic did you use?\Wow... response:	My, my. Did it seem like magic?
context: Athena.\Eh?\What is it, Alicia?\She remembered again!\She recognizes Alicia!\What kind of magic did you use?\Wow...\My, my. Did it seem like magic? response:	It's nothing to worry about. I'm sure it's just a temporary memory mix-up.
context: Eh?\What is it, Alicia?\She remembered again!\She recognizes Alicia!\What kind of magic did you use?\Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up. response:	In the meantime, why don't you stay with her today and see if she gets any better?
context: What is it, Alicia?\She remembered again!\She recognizes Alicia!\What kind of magic did you use?\Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better? response:	If she doesn't, we'll take her to the hospital tomorrow.
context: She remembered again!\She recognizes Alicia!\What kind of magic did you use?\Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow. response:	How does that sound?
context: She recognizes Alicia!\What kind of magic did you use?\Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound? response:	Y-Yes, we'll do that.
context: What kind of magic did you use?\Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that. response:	Well then, I'm off to work.
context: Wow...\My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work. response:	Have a good day!
context: My, my. Did it seem like magic?\It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day! response:	Thank you very much, Alicia.
context: It's nothing to worry about. I'm sure it's just a temporary memory mix-up.\In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia. response:	Somehow, I feel much better now.
context: In the meantime, why don't you stay with her today and see if she gets any better?\If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now. response:	Yeah.
context: If she doesn't, we'll take her to the hospital tomorrow.\How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah. response:	Hey, why don't we take her to places she knows?
context: How does that sound?\Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows? response:	You're right.
context: Y-Yes, we'll do that.\Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows?\You're right. response:	Instead of staying in this room, Athena might recover faster elsewhere.
context: Well then, I'm off to work.\Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere. response:	I'll keep you two company!
context: Have a good day!\Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company! response:	I'm sure she'll remember lots of things if we go to places she's used to.
context: Thank you very much, Alicia.\Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to. response:	What is it?
context: Somehow, I feel much better now.\Yeah.\Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it? response:	Now that I've calmed down, I just had a scary thought.
context: Yeah.\Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought. response:	Right now, Athena is quick, responsive, and isn't clumsy at all.
context: Hey, why don't we take her to places she knows?\You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all. response:	Maybe it's actually okay if her memory doesn't come back...
context: You're right.\Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back... response:	You know that's not right...
context: Instead of staying in this room, Athena might recover faster elsewhere.\I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right... response:	The shop we're headed to now serves lots of different hot chocolates.
context: I'll keep you two company!\I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates. response:	Really? I'm looking forward to it!
context: I'm sure she'll remember lots of things if we go to places she's used to.\What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it! response:	On top of that, Athena is a regular, so they have a special menu just for her.
context: What is it?\Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her. response:	Athena, have you remembered anything?
context: Now that I've calmed down, I just had a scary thought.\Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything? response:	No...
context: Right now, Athena is quick, responsive, and isn't clumsy at all.\Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No... response:	Yes. We'll also have this, this... and this please.
context: Maybe it's actually okay if her memory doesn't come back...\You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please. response:	They all look so delicious!
context: You know that's not right...\The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please.\They all look so delicious! response:	That's really correct!
context: The shop we're headed to now serves lots of different hot chocolates.\Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct! response:	Ah, it is?
context: Really? I'm looking forward to it!\On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct!\Ah, it is? response:	That's amazing, Athena!
context: On top of that, Athena is a regular, so they have a special menu just for her.\Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct!\Ah, it is?\That's amazing, Athena! response:	Thank you.
context: Athena, have you remembered anything?\No...\Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct!\Ah, it is?\That's amazing, Athena!\Thank you. response:	President Maa, say pretty please.
context: No...\Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct!\Ah, it is?\That's amazing, Athena!\Thank you.\President Maa, say pretty please. response:	Athena!
context: Yes. We'll also have this, this... and this please.\They all look so delicious!\That's really correct!\Ah, it is?\That's amazing, Athena!\Thank you.\President Maa, say pretty please.\Athena! response:	You recognize President Maa!
context: They all look so delicious!\That's really correct!\Ah, it is?\That's amazing, Athena!\Thank you.\President Maa, say pretty please.\Athena!\You recognize President Maa! response:	Do you remember me?
context: That's really correct!\Ah, it is?\That's amazing, Athena!\Thank you.\President Maa, say pretty please.\Athena!\You recognize President Maa!\Do you remember me? response:	Now, now. Easy now, easy...
context: Ah, it is?\That's amazing, Athena!\Thank you.\President Maa, say pretty please.\Athena!\You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy... response:	That was delicious!
context: That's amazing, Athena!\Thank you.\President Maa, say pretty please.\Athena!\You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy...\That was delicious! response:	Where shall we go next?
context: Thank you.\President Maa, say pretty please.\Athena!\You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy...\That was delicious!\Where shall we go next? response:	This isn't working!
context: President Maa, say pretty please.\Athena!\You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy...\That was delicious!\Where shall we go next?\This isn't working! response:	We're going back to Orange Planet!
context: Athena!\You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy...\That was delicious!\Where shall we go next?\This isn't working!\We're going back to Orange Planet! response:	Huh?
context: You recognize President Maa!\Do you remember me?\Now, now. Easy now, easy...\That was delicious!\Where shall we go next?\This isn't working!\We're going back to Orange Planet!\Huh? response:	Is our walk over already?
context: Do you remember me?\Now, now. Easy now, easy...\That was delicious!\Where shall we go next?\This isn't working!\We're going back to Orange Planet!\Huh?\Is our walk over already? response:	I'm going to try and jog her memory in a more familiar setting.
context: Now, now. Easy now, easy...\That was delicious!\Where shall we go next?\This isn't working!\We're going back to Orange Planet!\Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting. response:	My, Athena!
context: That was delicious!\Where shall we go next?\This isn't working!\We're going back to Orange Planet!\Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena! response:	You finally have a day off, and you're not going out?
context: Where shall we go next?\This isn't working!\We're going back to Orange Planet!\Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out? response:	Please have your friend make herself at home!
context: This isn't working!\We're going back to Orange Planet!\Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home! response:	Who was that person just now? Please have your friend make herself at home!
context: We're going back to Orange Planet!\Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home! response:	Please have your friend make herself at home!
context: Huh?\Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home! response:	Athena, just concentrate on one thing at a time.
context: Is our walk over already?\I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time. response:	Out of all of these...
context: I'm going to try and jog her memory in a more familiar setting.\My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these... response:	Athena, which one is your favorite oar that you always use?
context: My, Athena!\You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use? response:	Wow, this is really hard!
context: You finally have a day off, and you're not going out?\Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard! response:	Th-That's correct...
context: Please have your friend make herself at home!\Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct... response:	That's amazing!
context: Who was that person just now? Please have your friend make herself at home!\Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct...\That's amazing! response:	You're recovering slowly but surely, Athena!
context: Please have your friend make herself at home!\Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena! response:	Thank you, Akari.
context: Athena, just concentrate on one thing at a time.\Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari. response:	Amazing! You remembered my name!
context: Out of all of these...\Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name! response:	Umm...
context: Athena, which one is your favorite oar that you always use?\Wow, this is really hard!\Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name!\Umm... response:	I'm sorry.
context: Wow, this is really hard!\Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name!\Umm...\I'm sorry. response:	Ah, I know! How about this?
context: Th-That's correct...\That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name!\Umm...\I'm sorry.\Ah, I know! How about this? response:	I'm sure Alicia will be back soon, so why don't we all go to the Aria Company?
context: That's amazing!\You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name!\Umm...\I'm sorry.\Ah, I know! How about this?\I'm sure Alicia will be back soon, so why don't we all go to the Aria Company? response:	I'm sorry for asking you to carry President Aria, Athena.
context: You're recovering slowly but surely, Athena!\Thank you, Akari.\Amazing! You remembered my name!\Umm...\I'm sorry.\Ah, I know! How about this?\I'm sure Alicia will be back soon, so why don't we all go to the Aria Company?\I'm sorry for asking you to carry President Aria, Athena. response:	It's all right. I like the way President Aria feels.
context: Thank you, Akari.\Amazing! You remembered my name!\Umm...\I'm sorry.\Ah, I know! How about this?\I'm sure Alicia will be back soon, so why don't we all go to the Aria Company?\I'm sorry for asking you to carry President Aria, Athena.\It's all right. I like the way President Aria feels. response:	What's the matter? Are you all right, Alice?
